English,Bengali
Open system,মুক্ত ব্যবস্থা
Operating frequency,অপারেটিং ফ্রিকোয়েন্সি
Operating system,অপারেটিং সিস্টেম
Operation,অপারেশন
Operator,অপারেটর
Optical fibre,অপটিকাল ফাইবার
Optical frequency,অপটিক্যাল ফ্রিকোয়েন্সি
Optical reduction,অপটিক্যাল হ্রাস
Optical resolution,অপটিক্যাল রেজোলিউশন
Optical track,অপটিক্যাল ট্র্যাক
Optimum working frequency,সর্বোত্তম কাজের ফ্রিকোয়েন্সি
Optocoupler,অপ্টোকুপলার
Optoelectronics,অপটোলেক্ট্রনিক্স
OR gate,বা গেট
Orbit,কক্ষপথ
Oscillator,দোলক
Oscillogram,অসিলগ্রাম
Oscillograph,অসিলোগ্রাফ
Oscilloscope,অসিলোস্কোপ
Outer interleaver,বাইরের ইন্টারলিভার
Outgoing feeder,বহির্গামী ফিডার
Output,আউটপুট
Output level,আউটপুট স্তর
Output meter,আউটপুট মিটার
Output transformer,আউটপুট ট্রান্সফর্মার
Output valve,আউটপুট ভালভ
Output waveform,আউটপুট তরঙ্গরূপ
Outside broadcast (OB),বাইরের সম্প্রচার (ওবি)
Oven,চুলা
Over coupling,ওভার কাপলিং
Over modulation,ওভার মড্যুলেশন
Over voltage,ভোল্টেজ ওভার
Overall attenuation,সামগ্রিক মনোযোগ
Overall broadcast reliability,সামগ্রিক সম্প্রচার নির্ভরযোগ্যতা
Overall efficiency,সামগ্রিক যোগ্যতা
Overall reception reliability,সামগ্রিক অভ্যর্থনা নির্ভরযোগ্যতা
Overall response,সামগ্রিক প্রতিক্রিয়া
Overall system,সামগ্রিক সিস্টেম
Overdubbing,ওভারডাবিং
Overhead line,ওভারহেড লাইন
Overhead wire,ওভারহেড তার
Overload,ওভারলোড
Overload protection devices,ওভারলোড সুরক্ষা ডিভাইস
Overload trip,ওভারলোড ট্রিপ
Oversampling,ওভারস্যাম্পলিং
Packed,প্যাকড
Packet switching,প্যাকেট স্যুইচিং
Packetization,প্যাকেটাইজেশন
Packetized,প্যাকেটাইজড
Pad,প্যাড
Paging,পেজিং
Pan screen,প্যান স্ক্রিন
Panel,প্যানেল
Panning,প্যানিং
Panorama,প্যানোরামা
Parabolic microphone,প্যারাবোলিক মাইক্রোফোন
Paradigm shift,দৃষ্টান্ত শিফট
Paradox,প্যারাডক্স
Parallel port,সমান্তরাল পোর্ট
Parameter,প্যারামিটার
Parasitic loss,পরজীবী ক্ষতি
Parasitic oscillation,পরজীবী দোলন
Parity bit,সমতা বিট
Parity testing,সমতা পরীক্ষা
Parsec,পার্সেক
Partial resolution,আংশিক রেজোলিউশন
Passband,পাসব্যান্ড
Passive,প্যাসিভ
Passive network,প্যাসিভ নেটওয়ার্ক
Password,পাসওয়ার্ড
Patch,প্যাচ
Patch cord,প্যাচ কর্ড
Path loss,পথ ক্ষতি
Pattern,প্যাটার্ন
Payload,পে -লোড
Peak altitude,পিক উচ্চতা
Peak anode current,পিক অ্যানোড কারেন্ট
Peak limiter,পিক সীমাবদ্ধ
Peak load,শীর্ষ লোড
Peak value,সর্বোচ্চ মূল্য
Peaking,পিকিং
Peak-to-peak voltage,পিক-টু-পিক ভোল্টেজ
Peer-to-peer,পিয়ার-টু-পিয়ার
Perceptional model,উপলব্ধি মডেল
Perceptual model,উপলব্ধি মডেল
Performance,কর্মক্ষমতা
Perigee,পেরিগি
Periodic test,পর্যায়ক্রমিক পরীক্ষা
Peripheral,পেরিফেরাল
Peripherals,পেরিফেরালস
Permeability,ব্যাপ্তিযোগ্যতা
Permittivity,অনুমতি
Phantom power supply,ফ্যান্টম পাওয়ার সাপ্লাই
Phase,পর্যায়
Phase alteration line,পর্যায় পরিবর্তন লাইন
Phase comparator,ফেজ তুলনামূলক
Phase delay,পর্যায় বিলম্ব
Phase discriminator,পর্যায় বৈষম্যমূলক
Phase locked loop frequency synthesizer,ফেজ লকড লুপ ফ্রিকোয়েন্সি সিনথেসাইজার
Phase modulation,ফেজ মডুলেশন
Phase reversal,ফেজ রিভার্সাল
Phase shift keying,ফেজ শিফট কীিং
Phone in console,কনসোলে ফোন
Phone in programme,প্রোগ্রামে ফোন
Physical layer,পদার্থের স্তর
Pictorial,চিত্রযুক্ত
Piezoelectric,পাইজোইলেক্ট্রিক
Pilot generator,পাইলট জেনারেটর
Pilot signal,পাইলট সিগন্যাল
Pilot tone,পাইলট টোন
Piracy,জলদস্যুতা
Pitch,পিচ
Pixel,পিক্সেল
Pixelization,পিক্সেলাইজেশন
Plant,উদ্ভিদ
Plasma,প্লাজমা
Platform,প্ল্যাটফর্ম
Play back,পিছনে খেলুন
Play back amplifier,এমপ্লিফায়ার পিছনে খেলুন
Play back head,পিছনে মাথা খেলুন
Playlist,প্লেলিস্ট
Playout,প্লেআউট
Plotter,চক্রান্তকারী
Plug,প্লাগ
Pneumatic control system,বায়ুসংক্রান্ত নিয়ন্ত্রণ ব্যবস্থা
Polarisation,মেরুকরণ
Polarity,মেরুতা
Polygon,বহুভুজ
Polynomial,বহুবর্ষ
Polyphase filter bank,পলিফেজ ফিল্টার ব্যাংক
Porch,বারান্দা
Porous absorber,ছিদ্রযুক্ত শোষণকারী
Port,বন্দর
Positive peak,ইতিবাচক শিখর
Post synchronisation,পোস্ট সিঙ্ক্রোনাইজেশন
Potentiometer,পেন্টিওমিটার
Power,শক্তি
Power amplifier,শক্তি বিবর্ধক
Power combining,শক্তি সংমিশ্রণ
Power consumption,শক্তি খরচ
Power control,ক্ষমতা নিয়ন্ত্রণ
Power density,শক্তি ঘনত্ব
Power distribution,বিদ্যুৎ বিতরণ
Power failure,শক্তি ব্যর্থতা
Power gain,বিদ্যুৎ লাভ
Power indicator,ক্ষমতা সূচক
Power interface,পাওয়ার ইন্টারফেস
Power supply,বিদ্যুৎ সরবরাহ
Power supply- schematic,বিদ্যুৎ সরবরাহ- স্কিম্যাটিক
Power switch,পাওয়ার সুইচ
Power transformer,পাওয়ার ট্রান্সফর্মার
Precedence effect,অগ্রাধিকার প্রভাব
Predictive coding,ভবিষ্যদ্বাণীমূলক কোডিং
Pre-emphasis,প্রাক-জোর
Pre-mix,প্রাক-মিশ্রণ
Pre-recorded,প্রাক-রেকর্ড করা
Preservation,সংরক্ষণ
Press button,প্রেস বাটন
Pressure testing,চাপ পরীক্ষা
Primary colour,প্রাথমিক রঙ
Primary coverage,প্রাথমিক কভারেজ
Primitive polynomial,আদিম বহুবর্ষ
Printed circuit board (PCB),মুদ্রিত সার্কিট বোর্ড (পিসিবি)
Printer,প্রিন্টার
Procedure,পদ্ধতি
Process,প্রক্রিয়া
Processing,প্রক্রিয়াজাতকরণ
Processor,প্রসেসর
Profile,প্রোফাইল
Program multiplexing,প্রোগ্রাম মাল্টিপ্লেক্সিং
Programme (program),প্রোগ্রাম (প্রোগ্রাম)
Programmer,প্রোগ্রামার
Project management,প্রকল্প পরিচালনা
Proliferation,বিস্তার
Propagation,প্রচার
Propagation  of radio waves,রেডিও তরঙ্গ প্রচার
Propagation curve,প্রচার বক্ররেখা
Property,সম্পত্তি
Proportional,সমানুপাতিক
Protection ratio,সুরক্ষা অনুপাত
Protective relay,প্রতিরক্ষামূলক রিলে
Protocol,প্রোটোকল
Prototype,প্রোটোটাইপ
Proxy server,প্রক্সি সার্ভার
Psychoacoustic coder,সাইকোএকৌস্টিক কোডার
Psychoacoustic mode,সাইকোএকৌস্টিক মোড
Psychoacoustic model,সাইকোএকৌস্টিক মডেল
Psychoacoustic phenomenon,সাইকোঅ্যাকোস্টিক ঘটনা
Psychoacoustics,সাইকোঅ্যাকস্টিকস
Psychometric chart,সাইকোমেট্রিক চার্ট
Public address amplifier,পাবলিক ঠিকানা পরিবর্ধক
Public broadcaster,পাবলিক ব্রডকাস্টার
Pulse,স্পন্দন
Pulse code modulation,পালস কোড মডুলেশন
Pulse generator,নাড়ি জেনারেটর
Pulse modulation,নাড়ি মডুলেশন
Pulse rise time,নাড়ি বৃদ্ধির সময়
Pulse width,নাড়ির প্রস্থ
Punched card,পাঞ্চ কার্ড
Puncturing,পাঙ্কচারিং
Push button,বোতাম চাপা
Push pull power amplifier,পুশ পুল পাওয়ার এমপ্লিফায়ার
Quadraphonic,চতুর্ভুজ
Quadrature,চতুর্ভুজ
Quality,গুণ
Quality control,মান নিয়ন্ত্রণ
Quality factor,মানের ফ্যাক্টর
Quantity,পরিমাণ
Quantization,কোয়ান্টাইজেশন
Quantization error,কোয়ান্টাইজেশন ত্রুটি
Quantizing,কোয়ান্টাইজিং
Quenching,শোধন
Radiated power,বিকিরিত শক্তি
Radiation,বিকিরণ
Radiation efficiency,বিকিরণ দক্ষতা
Radio,রেডিও
Radio activity hazards,রেডিও ক্রিয়াকলাপের ঝুঁকি
Radio astronomy,রেডিও জ্যোতির্বিজ্ঞান
Radio frequency,বেতার কম্পাঙ্ক
Radio frequency (RF) drive,রেডিও ফ্রিকোয়েন্সি (আরএফ) ড্রাইভ
Radio frequency (RF) feeder,রেডিও ফ্রিকোয়েন্সি (আরএফ) ফিডার
Radio frequency (RF) oscillator,রেডিও ফ্রিকোয়েন্সি (আরএফ) দোলক
Radio frequency (RF) synthesizer,রেডিও ফ্রিকোয়েন্সি (আরএফ) সিনথেসাইজার
Radio interference,রেডিও হস্তক্ষেপ
Radio location,রেডিও অবস্থান
Radio networking (RN) channel,রেডিও নেটওয়ার্কিং (আরএন) চ্যানেল
Radio propagation medium,রেডিও প্রচারের মাধ্যম
Radio receiver,রেডিও রিসিভার
Radio regulations,রেডিও বিধিমালা
Radio signal,রেডিও সংকেত
Radio spectrum,রেডিও বর্ণালী
Radio tracking,রেডিও ট্র্যাকিং
Radio transmitter,রেডিও ট্রান্সমিটার
Radio wave,বেতার তরঙ্গ
Radius,ব্যাসার্ধ
Ramp,র‌্যাম্প
Random,এলোমেলো
Random data,এলোমেলো ডেটা
Random error,ক্রমাগত ত্রুটি
Random fluctuations,এলোমেলো ওঠানামা
Range,পরিসীমা
Raster,রাস্টার
Raster image format,রাস্টার ইমেজ ফর্ম্যাট
Rate control,হার নিয়ন্ত্রণ
Rate of change,পরিবরতনের হার
Rated capacity,ক্ষমতার বিপরিতে
Rated horse power,রেটেড ঘোড়া শক্তি
Rated power,হারের ক্ষমতা
Rating,রেটিং
R-C coupling,আর-সি কাপলিং
Reactance,প্রতিক্রিয়া
Reaction,প্রতিক্রিয়া
Reactive component,প্রতিক্রিয়াশীল উপাদান
Reactive load,প্রতিক্রিয়াশীল লোড
Reagent etching,রিএজেন্ট এচিং
Real time transmission,রিয়েল টাইম ট্রান্সমিশন
Rebroadcasting,পুনরায় প্রচার
Receiver,রিসিভার
Receiving antenna,অ্যান্টেনা গ্রহণ
Receiving centre,গ্রহণ কেন্দ্র
Reception,অভ্যর্থনা
Reception report,অভ্যর্থনা প্রতিবেদন
Reception survey,অভ্যর্থনা জরিপ
Reciprocal,পারস্পরিক
Reconstruction filter,পুনর্গঠন ফিল্টার
Recordable,রেকর্ডযোগ্য
Recorded,নথিভুক্ত
Recorder,রেকর্ডার
Recording,রেকর্ডিং
Recording booth,রেকর্ডিং বুথ
Recording head,রেকর্ডিং মাথা
Recording on disc,ডিস্কে রেকর্ডিং
Recording room,রেকর্ডিং রুম
Recording system,রেকর্ডিং সিস্টেম
Recording tape,রেকর্ডিং টেপ
Rectification,সংশোধন
Rectified signal,সংশোধন সংকেত
Rectifier,সংশোধনকারী
Recycle,পুনর্ব্যবহার
Redundancy,অপ্রয়োজনীয়তা
Redundant,অপ্রয়োজনীয়
Redundant element,অপ্রয়োজনীয় উপাদান
Re-engineering,পুনরায় ইঞ্জিনিয়ারিং
Re-enlargement,পুনরায় এনলার্জমেন্ট
Reference frequency,রেফারেন্স ফ্রিকোয়েন্সি
Reference value,সটোিস
Reflecting layer,স্তর প্রতিফলিত
Reflecting medium,প্রতিফলন মাধ্যম
Reflecting surface,পৃষ্ঠ প্রতিফলিত
Reflection,প্রতিচ্ছবি
Reflector,প্রতিফলক
Reflector for antenna,অ্যান্টেনার জন্য প্রতিফলক
Refraction,প্রতিসরণ
Refractive index,প্রতিসরাঙ্ক
Refrigeration,রেফ্রিজারেশন
Regeneration,পুনর্জন্ম
Register,নিবন্ধন
Regulating valve,ভালভ নিয়ন্ত্রণ
Regulation,নিয়ন্ত্রণ
Regulator,নিয়ামক
Regulatory,নিয়ন্ত্রক
Reinforcement,শক্তিবৃদ্ধি
Relational,সম্পর্কিত
Relative permittivity,সম্পর্কিত সম্ভাব্যতা
Relay,রিলে
Relay centre,রিলে সেন্টার
Relay muting,রিলে নিঃশব্দ
Relay transmitter,রিলে ট্রান্সমিটার
Release,মুক্তি
Release no volt,কোন ভোল্ট প্রকাশ করুন
Reliability,নির্ভরযোগ্যতা
Reliable,নির্ভরযোগ্য
Remote,দূরবর্তী
Remote control,দূরবর্তী নিয়ন্ত্রণ
Remote control and navigation system,রিমোট কন্ট্রোল এবং নেভিগেশন সিস্টেম
Remote control unit,রিমোট কন্ট্রোল ইউনিট
Remote system,দূরবর্তী সিস্টেম
Remotely controlled equipment,দূরবর্তীভাবে নিয়ন্ত্রিত সরঞ্জাম
Repeat coil,পুনরাবৃত্তি কয়েল
Repeater,রিপিটার
Replacement,প্রতিস্থাপন
Replenishment,পুনরায় পরিশোধ
Reproduce,পুনরুত্পাদন
Reproduction,প্রজনন
Re-recording,পুনরায় রেকর্ডিং
Research and development,গবেষণা ও উন্নয়ন
Reset,রিসেট
Residual reshuffling,অবশিষ্টাংশের পুনরুত্থান
Residue,অবশিষ্টাংশ
Resistance,প্রতিরোধ
Resistance load,প্রতিরোধের লোড
Resistor,প্রতিরোধক
Resolution,রেজোলিউশন
Resonance,অনুরণন
Resonance frequency,অনুরণন ফ্রিকোয়েন্সি
Resonant,অনুরণন
Resonant line,অনুরণন লাইন
Resonator,রেজোনেটর
Resource,সংস্থান
Resource sharing,রিসোর্স শেয়ারিং
Responding period,প্রতিক্রিয়া সময়
Response,প্রতিক্রিয়া
Restoration,পুন: প্রতিষ্ঠা
Resultant,ফলাফল
Retention,ধরে রাখা
Retransmission,Retransmission
Retrieval,পুনরুদ্ধার
Retrieval engine,পুনরুদ্ধার ইঞ্জিন
Retry,পুনরায় চেষ্টা করা
Return,প্রত্যাবর্তন
Return path,ফিরে পথ
Reverberation,পুনর্বিবেচনা
Reverberation  time,পুনর্বিবেচনার সময়
Reverse biased diode,বিপরীত পক্ষপাতদুষ্ট ডায়োড
Reverse current,বিপরীতমুখী বিদ্যুৎ
Revolving,ঘূর্ণায়মান
Rewind,রিওয়াইন্ড
Rewirable fuse,পুনঃনির্মাণ ফিউজ
Rewiring,পুনর্নির্মাণ
Rewritable,পুনর্লিখনযোগ্য
RF drive,আরএফ ড্রাইভ
RF feeder,আরএফ ফিডার
RF hazards,আরএফ বিপত্তি
RF protection ratio,আরএফ সুরক্ষা অনুপাত
Rheostat,রিওস্ট্যাট
Ribbon,ফিতা
Rivet,রিভেট
Rivetted joint,Rivetted যৌথ
Rivetting,Rivetting
RN channel,আরএন চ্যানেল
Robot,রোবট
Robotics,যন্ত্রমানব নির্মাণ বিদ্যা
Roll in,রোল ইন
Roll out,রোল আউট
Root,মূল
Rotary,রোটারি
Rotation,ঘূর্ণন
Route,রুট
Router,রাউটার
Routine operations,রুটিন অপারেশন
Routing,রাউটিং
Run time,সময় চালান
Safety arrangement,সুরক্ষা ব্যবস্থা
Safety interlock,সুরক্ষা ইন্টারলক
Sag,সাগ
Salient features,প্রধান বৈশিষ্ট্য
Sample,নমুনা
Sample and hold circuit,নমুনা এবং হোল্ড সার্কিট
Sample size,সাধারন মাপ
Sampled data,নমুনাযুক্ত ডেটা
Sampling,নমুনা
Sampling rate,নমুনা রেট
Sampling saturation,স্যাম্পলিং স্যাচুরেশন
Sampling theory/theorem,নমুনা তত্ত্ব/উপপাদ্য
Satellite,স্যাটেলাইট
Satellite communication,স্যাটেলাইট যোগাযোগ
Satellite coverage,স্যাটেলাইট কভারেজ
Satellite digital link,স্যাটেলাইট ডিজিটাল লিঙ্ক
Satellite interference,স্যাটেলাইট হস্তক্ষেপ
Satellite radio,স্যাটেলাইট রেডিও
Satellite radio transmission,স্যাটেলাইট রেডিও ট্রান্সমিশন
Satellite transmission,স্যাটেলাইট সংক্রমণ
Saturated air,স্যাচুরেটেড এয়ার
Saturating current,স্যাচুরেটিং কারেন্ট
Saturation,স্যাচুরেশন
Saw tooth wave,দাঁত তরঙ্গ দেখেছি
Scalability,স্কেলাবিলিটি
Scale,স্কেল
Scale factor,স্কেল ফ্যাক্টর
Scaling,স্কেলিং
Scanned beam,স্ক্যান মরীচি
Scanner,স্ক্যানার
Scanning frequency,স্ক্যানিং ফ্রিকোয়েন্সি
Scanning line,স্ক্যানিং লাইন
Scattering,বিক্ষিপ্ত
Scenario,দৃশ্য
Scheduler,সময়সূচী
Schematic,স্কিম্যাটিক
Schottkey barrier,স্কটকি বাধা
Scintillation,সিন্টিলেশন
Scrambler,স্ক্র্যামব্লার
Scrambling,স্ক্র্যাম্বলিং
Scrap,স্ক্র্যাপ
Scraping,স্ক্র্যাপিং
Scratch,স্ক্র্যাচ
Screen,পর্দা
Screen burn,স্ক্রিন বার্ন
Screen bypass,স্ক্রিন বাইপাস
Screen current,স্ক্রিন কারেন্ট
Screen grid,স্ক্রিন গ্রিড
Screen saver,স্ক্রিন সেভার
Screened cable,স্ক্রিন করা কেবল
Screening,স্ক্রিনিং
Scroll,স্ক্রোল
Scroll bar,স্ক্রল বার
Scrolling,স্ক্রোলিং
Search engine,খোঁজ যন্ত্র
Secondary,মাধ্যমিক
Secondary cell,মাধ্যমিক সেল
Sector,সেক্টর
Segment,বিভাগ
Self diagnostic,স্ব ডায়াগনস্টিক
Semiconductor,অর্ধপরিবাহী
Sender,প্রেরক
Sensitivity,সংবেদনশীলতা
Sensor,সেন্সর
Sequence,ক্রম
Serial,সিরিয়াল
Serial access,সিরিয়াল অ্যাক্সেস
Serial port,সিরিয়াল পোর্ট
Series resonance,সিরিজ অনুরণন
Server,সার্ভার
Setup,সেটআপ
Shading,শেডিং
Shadow,ছায়া
Shannon’s theorem,শ্যাননের উপপাদ্য
Shaping,রুপিং
Shareware,শেয়ারওয়্যার
Sheath,খাপ
Shift,শিফট
Shifting,স্থানান্তর
Shock,ধাক্কা
Short circuit,শর্ট সার্কিট
Short circuit test,শর্ট সার্কিট পরীক্ষা
Short wave,সংক্ষিপ্ত তরঙ্গ
Short wave centre,শর্ট ওয়েভ সেন্টার
Shortcut,শর্টকাট
Shutdown,শাটডাউন
Shutdown signal,শাটডাউন সিগন্যাল
Side band,সাইড ব্যান্ড
Side band power,সাইড ব্যান্ড শক্তি
Signal,সংকেত
Signal amplitude,সংকেত প্রশস্ততা
Signal flow graph,সংকেত প্রবাহ গ্রাফ
Signal generator,সংকেত উৎপাদক
Signal light,আলোক সঙ্গকেত
Signal routing,সিগন্যাল রাউটিং
Signal strength,সংকেত শক্তি
Signal to cross talk ratio,টক অনুপাত ক্রস করতে সংকেত
Signal to noise ratio,শব্দ অনুপাত থেকে সংকেত
Signal to unweighted noise ratio,অদম্য শব্দ অনুপাতের সংকেত
Signalling and switching,সংকেত এবং স্যুইচিং
Signalling bit,সংকেত বিট
Significant sidebands,গুরুত্বপূর্ণ সাইডব্যান্ডস
Simplex,সিম্প্লেক্স
Simulation,সিমুলেশন
Simulator,সিমুলেটর
Simulcast,সিমুলকাস্ট
Simultaneous masking,একযোগে মাস্কিং
Sine component,সাইন উপাদান
Sine wave,সাইন ওয়েভ
Single frequency network,একক ফ্রিকোয়েন্সি নেটওয়ার্ক
Single phase motor,একক ফেজ মোটর
Site,সাইট
Site layout plan,সাইট লেআউট পরিকল্পনা
Skilled operator,দক্ষ অপারেটর
Skip distance,দূরত্ব এড়িয়ে যান
Sky wave,আকাশ তরঙ্গ
Sky wave propagation,আকাশ তরঙ্গ প্রচার
Slab,স্ল্যাব
Slant path,স্ল্যান্ট পাথ
Slot,স্লট
Smart card,স্মার্ট কার্ড
Sodium vapour lamp,সোডিয়াম বাষ্প প্রদীপ
Soft key,নরম কী
Software,সফটওয়্যার
Solar activity,সৌর ক্রিয়াকলাপ
Solar energy,সৌরশক্তি
Solar flares,সৌর শিখা
Solar powered,সৌর শক্তি
Solid state,কঠিন অবস্থা
Solid state storage,সলিড স্টেট স্টোরেজ
Solid state transmitter,সলিড স্টেট ট্রান্সমিটার
Sort,সাজান
Sound,শব্দ
Sound absorption,শব্দ শোষণ
Sound balance,শব্দ ভারসাম্য
Sound detector,সাউন্ড ডিটেক্টর
Sound mixer,সাউন্ড মিক্সার
Sound perspective,শব্দ দৃষ্টিকোণ
Sound power,শব্দ শক্তি
Sound proof,সাউন্ড প্রুফ
Sound recording,সাউন্ড রেকর্ডিং
Sound reflection,শব্দ প্রতিচ্ছবি
Sound transmission loss,সাউন্ড ট্রান্সমিশন ক্ষতি
Source,সূত্র
Source encoder,উত্স এনকোডার
Space,স্থান
Space diversity,স্থান বৈচিত্র্য
Space telecasting,স্পেস টেলিকাস্টিং
Space wave,স্পেস ওয়েভ
Spacing,ব্যবধান
Spam,স্প্যাম
Spamming,স্প্যামিং
Span,স্প্যান
Spare bit,অতিরিক্ত বিট
Spares,স্পেয়ারস
Sparking,স্পার্কিং
Spatial,স্থানিক
Spatial effect,স্থানিক প্রভাব
Spatial redundancy,স্থানিক অপ্রয়োজনীয়তা
Special effect,বিশেষ প্রভাব
Special effects amplifier,বিশেষ প্রভাব পরিবর্ধক
Specialization,বিশেষীকরণ
Specification,স্পেসিফিকেশন
Spectral absorption,বর্ণালী শোষণ
Spectral band replication,বর্ণালী ব্যান্ড প্রতিলিপি
Spectral distribution,বর্ণালী বিতরণ
Spectral redundancy,বর্ণালী অপ্রয়োজনীয়তা
Spectrophotometer,স্পেকট্রোফোটোমিটার
Spectroscope,বর্ণালী
Spectrum,বর্ণালী
Spectrum analyzer,বর্ণালি বিশ্লেষক
Spectrum shaping,বর্ণালী আকার
Speech articulation,বক্তৃতা বক্তৃতা
Speech channel,স্পিচ চ্যানেল
Speech compression,বক্তৃতা সংকোচনের
Speech encoding,স্পিচ এনকোডিং
Speech recognition,কন্ঠ সনান্তকরণ
Spin,স্পিন
Spiral,সর্পিল
Splicing,স্প্লিকিং
Splitter,স্প্লিটার
Spool,স্পুল
Sporadic,বিক্ষিপ্ত
Spot beams,স্পট বিমস
Spread sheet,ছড়িয়ে পড়া শিট
Spurious and harmonic radiation,উত্সাহী এবং সুরেলা বিকিরণ
Spurious sideband frequencies,উত্সাহী সাইডব্যান্ড ফ্রিকোয়েন্সি
Squeezed video,ভিডিও চেপে
Stamping,স্ট্যাম্পিং
Standard software,স্ট্যান্ডার্ড সফ্টওয়্যার
Standardization,মানীকরণ
Standby,অপেক্ষা করো
Standby equipment,স্ট্যান্ডবাই সরঞ্জাম
Standing wave,স্থায়ী তরঙ্গ
Standing wave ratio,স্থায়ী তরঙ্গ অনুপাত
Starting torque,টর্ক শুরু
Start-stop,স্টপ শুরু
Static,স্থির
Statistical method,পরিসংখ্যান পদ্ধতি
Status,স্থিতি
Status indication,স্থিতি ইঙ্গিত
Steady,স্থির
Stereo,স্টেরিও
Stereo balance,স্টেরিও ভারসাম্য
Stereo encoder,স্টেরিও এনকোডার
Stereo generator,স্টেরিও জেনারেটর
Stereo mode,স্টেরিও মোড
Stereo transmission,স্টেরিও ট্রান্সমিশন
Stereophonic sound reproduction,স্টেরিওফোনিক সাউন্ড প্রজনন
Stereophony,স্টেরিওফনি
Stereoscopy,স্টেরিওস্কোপি
Still picture,এখনও ছবি
Stimulus,উদ্দীপনা
Stopband,স্টপব্যান্ড
Storage,স্টোরেজ
Storage battery room,স্টোরেজ ব্যাটারি রুম
Storage device,স্টোরেজ ডিভাইস
Stratosphere,স্ট্র্যাটোস্ফিয়ার
Streaming,স্ট্রিমিং
Stretch,প্রসারিত
String,স্ট্রিং
Structured,কাঠামোগত
Studio block,স্টুডিও ব্লক
Studio centre,স্টুডিও সেন্টার
Studio lighting,স্টুডিও আলো
Studio monitors,স্টুডিও মনিটর
Stylus,স্টাইলাস
Subband encoding,সাবব্যান্ড এনকোডিং
Subband masking,সাবব্যান্ড মাস্কিং
Subband samples,সাবব্যান্ড নমুনা
Subnet,সাবনেট
Subsampling,সাবমলিং
Subscriber,গ্রাহক
Sudden ionosphere disturbance,হঠাৎ আয়নোস্ফিয়ারের ব্যাঘাত
Sun spot activity,সান স্পট ক্রিয়াকলাপ
Super power transmitter,সুপার পাওয়ার ট্রান্সমিটার
Super sampling,সুপার স্যাম্পলিং
Super socket,সুপার সকেট
Superheated vapour,সুপারহিটেড বাষ্প
Superheterodyne,সুপারহিটারোডিন
Superheterodyne converter,সুপারহিটারোডিন রূপান্তরকারী
Superheterodyne receiver,সুপারহিটারোডিন রিসিভার
Superimposed (current),সুপারিম্পোজড (বর্তমান)
Superimposition,সুপারিপজিশন
Superposition,সুপারপজিশন
Supersonic,সুপারসোনিক
Supply duct,সরবরাহ নালী
Suppression grid,দমন গ্রিড
Surface noise,পৃষ্ঠের শব্দ
Surface wave,পৃষ্ঠ তরঙ্গ
Surfing,সার্ফিং
Surge,উত্সাহ
Surroundings,চারপাশ
Susceptance,সংবেদন
Susceptibility,সংবেদনশীলতা
Suspended,স্থগিত
Swap,অদলবদল
Sweep circuit,সুইপ সার্কিট
Switch,স্যুইচ
Switch board,স্যুইচ বোর্ড
Switch on control unit,নিয়ন্ত্রণ ইউনিট চালু করুন
Switching,স্যুইচিং
Symbol rate,প্রতীক হার
Symmetrical,প্রতিসম
Sync (synchronous),সিঙ্ক (সিঙ্ক্রোনাস)
Sync pulse,সিঙ্ক ডাল
Sync transfer,সিঙ্ক ট্রান্সফার
Synchronization,সিঙ্ক্রোনাইজেশন
Synchronized,সিঙ্ক্রোনাইজড
Synchronous,সিঙ্ক্রোনাস
Synchronous motor,সিঙ্ক্রোনাস মোটর
Synergic,সিনারজিক
Synergistic,সিনারজিস্টিক
Synergy,সিনারজি
Syntactic,সিনট্যাকটিক
Syntax,বাক্য গঠন
Syntax error,বাক্যগঠন ত্রুটি
Synthesizer,সিনথেসাইজার
Synthesizer cards,সিনথেসাইজার কার্ড
System,পদ্ধতি
System architecture,সিস্টেম আর্কিটেকচার
System design,ব্যবস্থা পরিকল্পনা
System menu,সিস্টেম মেনু
Tag,ট্যাগ
Talk back,ফিরে কথা
Tape,টেপ
Tape recorder,টেপ রেকর্ডার
Tape slicing,টেপ স্লাইসিং
Tapered,ট্যাপার্ড
Target,লক্ষ্য
Tariff,শুল্ক
Task bar,টাস্ক বার
Technical,প্রযুক্তিগত
Technical challenge,প্রযুক্তিগত চ্যালেঞ্জ
Technical features,প্রযুক্তিগত বৈশিষ্ট্য
Technical guidelines,প্রযুক্তিগত নির্দেশিকা
Technical parameter,টেকনিক্যাল প্যারামিটার
Technical quality,প্রযুক্তিগত গুণ
Technical snag,প্রযুক্তিগত ছিনতাই
Technique,প্রযুক্তি
Technological constraint,প্রযুক্তিগত সীমাবদ্ধতা
Technology,প্রযুক্তি
Technology assessment,প্রযুক্তি মূল্যায়ন
Telecasting,টেলিকাস্টিং
Telecine,টেলিসিন
Telegraphy,টেলিগ্রাফি
Telematics,টেলিমেটিক্স
Telemetering,টেলিমেটারিং
Telephone,টেলিফোন
Teletext,টেলিটেক্সট
Television,টেলিভিশন
Temperature,তাপমাত্রা
Temperature control,যথোপযুক্ত সৃষ্টিকর্তা
Temporal,অস্থায়ী
Temporal management,অস্থায়ী পরিচালনা
Temporal redundancy,অস্থায়ী অপ্রয়োজনীয়তা
Tensile strength,টেনসিল শক্তি
Tentacle,তাঁবু
Terabyte (TB),টেরাবাইট (টিবি)
Terminal,টার্মিনাল
