English,Punjabi
pull,ਖਿੱਚੋ
pulley,ਪੁਲੀ
punched card,ਪੰਚ ਕਾਰਡ
punch card machine,ਪੰਚ ਕਾਰਡ ਮਸ਼ੀਨ
punching machine,ਪੰਚਿੰਗ ਮਸ਼ੀਨ
pure bending,ਸ਼ੁੱਧ ਝੁਕਣਾ
pure decimal,ਸ਼ੁੱਧ ਦਸ਼ਮਲਵ
pure geometry,ਸ਼ੁੱਧ ਜਿਓਮੈਟਰੀ
pure induction,ਸ਼ੁੱਧ ਇੰਡਕਸ਼ਨ
purely transcendental,ਪੂਰੀ ਤਰ੍ਹਾਂ ਪਾਰਦਰਸ਼ੀ
pure mathematics,ਸ਼ੁੱਧ ਗਣਿਤ
pure number,ਸ਼ੁੱਧ ਨੰਬਰ
pure strategy,ਸ਼ੁੱਧ ਰਣਨੀਤੀ
pyramid,ਪਿਰਾਮਿਡ
pyramidal solid,ਪਿਰਾਮਿਡਲ ਠੋਸ
pyramidal surface,ਪਿਰਾਮਿਡਲ ਸਤਹ
Q.E.D.,QED
quadrangle,ਚਤੁਰਭੁਜ
quadrangular prism,ਚਤੁਰਭੁਜ ਪ੍ਰਿਜ਼ਮ
quadrant,ਚਤੁਰਭੁਜ
quadratic,ਚਤੁਰਭੁਜ
quadratic cost,ਚਤੁਰਭੁਜ ਲਾਗਤ
quadratic cost function ,ਕੁਆਡ੍ਰੈਟਿਕ ਲਾਗਤ ਫੰਕਸ਼ਨ
quadratic curve,ਚਤੁਰਭੁਜ ਵਕਰ
quadratic equation,ਚਤੁਰਭੁਜ ਸਮੀਕਰਨ
quadratic expression,ਚਤੁਰਭੁਜ ਸਮੀਕਰਨ
quadratic form,ਚਤੁਰਭੁਜ ਰੂਪ
quadratic function,ਚਤੁਰਭੁਜ ਫੰਕਸ਼ਨ
quadratic functional,ਚਤੁਰਭੁਜ ਕਾਰਜਸ਼ੀਲ
quadratic interpolation ,ਚਤੁਰਭੁਜ ਇੰਟਰਪੋਲੇਸ਼ਨ
quadratic objective function,ਚਤੁਰਭੁਜ ਉਦੇਸ਼ ਫੰਕਸ਼ਨ
quadratic programming ,ਚਤੁਰਭੁਜ ਪ੍ਰੋਗਰਾਮਿੰਗ
quadratic reciprocity ,ਚਤੁਰਭੁਜ ਪਰਸਪਰਤਾ
quadratic surface,ਚਤੁਰਭੁਜ ਸਤਹ
quadratic term,ਚਤੁਰਭੁਜ ਮਿਆਦ
quadrature formula,ਚਤੁਰਭੁਜ ਫਾਰਮੂਲਾ
quadrilateral,ਚਤੁਰਭੁਜ
qualitative analysis,ਗੁਣਾਤਮਕ ਵਿਸ਼ਲੇਸ਼ਣ
quality control,ਗੁਣਵੱਤਾ ਕੰਟਰੋਲ
quantum mechanics,ਕੁਆਂਟਮ ਮਕੈਨਿਕਸ
quantum number,ਕੁਆਂਟਮ ਨੰਬਰ
quantum statistics ,ਕੁਆਂਟਮ ਅੰਕੜੇ
quarter ,ਤਿਮਾਹੀ
quartic,ਕੁਆਰਟਿਕ
quartile,ਚੌਥਾਈ
quasi linear constitutive equation,ਅਰਧ ਲੀਨੀਅਰ ਸੰਵਿਧਾਨਕ ਸਮੀਕਰਨ
quasi regular,ਅਰਧ ਨਿਯਮਤ
quaternion,quaternion
queue length,ਕਤਾਰ ਦੀ ਲੰਬਾਈ
queuing model,ਕਤਾਰ ਮਾਡਲ
queuing problem,ਕਤਾਰ ਵਿੱਚ ਸਮੱਸਿਆ
queuing process,ਕਤਾਰਬੰਦੀ ਦੀ ਪ੍ਰਕਿਰਿਆ
queuing system,ਕਤਾਰ ਸਿਸਟਮ
queuing theory,ਕਤਾਰ ਸਿਧਾਂਤ
quintile,ਕੁਇੰਟਲ
quintuplet,quintuplet
quotation,ਹਵਾਲਾ
quotient,ਭਾਗ
quotient field,ਭਾਗ ਖੇਤਰ
quotient group,ਭਾਗ ਸਮੂਹ
quotient law,ਭਾਗ ਕਾਨੂੰਨ
quotient set,ਭਾਗ ਸੈੱਟ
quotient space,ਭਾਗ ਸਥਾਨ
quotient topology,ਭਾਗ ਟੋਪੋਲੋਜੀ
radial,ਰੇਡੀਅਲ
radian,ਰੇਡੀਅਨ
radian measure,ਰੇਡੀਅਨ ਮਾਪ
radical,ਰੈਡੀਕਲ
radical axis,ਰੈਡੀਕਲ ਧੁਰਾ
radical sign,ਰੈਡੀਕਲ ਚਿੰਨ੍ਹ
radius,ਘੇਰੇ
radius of convergence,ਕਨਵਰਜੈਂਸ ਦਾ ਘੇਰਾ
radius of curvature,ਵਕਰਤਾ ਦਾ ਘੇਰਾ
radius vector,ਰੇਡੀਅਸ ਵੈਕਟਰ
radix,radix
random error,ਬੇਤਰਤੀਬ ਗਲਤੀ
random function,ਬੇਤਰਤੀਬ ਫੰਕਸ਼ਨ
randomization,ਰੈਂਡਮਾਈਜ਼ੇਸ਼ਨ
randomised blocks,ਬੇਤਰਤੀਬ ਬਲਾਕ
random model,ਬੇਤਰਤੀਬ ਮਾਡਲ
random number,ਬੇਤਰਤੀਬ ਨੰਬਰ
random sampling,ਬੇਤਰਤੀਬ ਨਮੂਨਾ
random variable,ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
range,ਸੀਮਾ
range of convergence,ਕਨਵਰਜੈਂਸ ਦੀ ਰੇਂਜ
range of integration,ਏਕੀਕਰਣ ਦੀ ਸੀਮਾ
range of relation,ਸਬੰਧ ਦੀ ਸੀਮਾ
range space,ਸੀਮਾ ਸਪੇਸ
rank,ਦਰਜਾ
rank correlation,ਰੈਂਕ ਸਬੰਧ
rank of matrix,ਮੈਟ੍ਰਿਕਸ ਦਾ ਦਰਜਾ
rank order statistics,ਰੈਂਕ ਆਰਡਰ ਦੇ ਅੰਕੜੇ
rate of change,ਤਬਦੀਲੀ ਦੀ ਦਰ
rate of convergence,ਕਨਵਰਜੈਂਸ ਦੀ ਦਰ
Ratio,ਅਨੁਪਾਤ
Rational,ਤਰਕਸ਼ੀਲ
rational expression,ਤਰਕਸ਼ੀਲ ਸਮੀਕਰਨ
rational field,ਤਰਕਸ਼ੀਲ ਖੇਤਰ
rational function,ਤਰਕਸ਼ੀਲ ਫੰਕਸ਼ਨ
rationalisation of the denominator,ਭਾਜ ਦਾ ਤਰਕਸੰਗਤੀਕਰਨ
rational number,ਤਰਕਸ਼ੀਲ ਸੰਖਿਆ
rational number field,ਤਰਕਸ਼ੀਲ ਸੰਖਿਆ ਖੇਤਰ
rational operation,ਤਰਕਸੰਗਤ ਕਾਰਵਾਈ
ratio test,ਅਨੁਪਾਤ ਟੈਸਟ
raw data,ਕੱਚਾ ਡਾਟਾ
ray,ਕਿਰਨ
ray vector,ਰੇ ਵੈਕਟਰ
real,ਅਸਲੀ
real axis,ਅਸਲੀ ਧੁਰਾ
real continuum,ਅਸਲੀ ਨਿਰੰਤਰਤਾ
real line,ਅਸਲੀ ਲਾਈਨ
real linear vector space,ਅਸਲ ਰੇਖਿਕ ਵੈਕਟਰ ਸਪੇਸ
real matrix,ਅਸਲੀ ਮੈਟ੍ਰਿਕਸ
real number,ਅਸਲੀ ਨੰਬਰ
real number field,ਅਸਲ ਨੰਬਰ ਖੇਤਰ
real part,ਅਸਲੀ ਹਿੱਸਾ
real polynomial,ਅਸਲ ਬਹੁਪਦ
real quadratic,ਅਸਲ ਚਤੁਰਭੁਜ
real root,ਅਸਲੀ ਜੜ੍ਹ
real space,ਅਸਲੀ ਸਪੇਸ
real time system,ਰੀਅਲ ਟਾਈਮ ਸਿਸਟਮ
real valued function,ਅਸਲ ਕੀਮਤੀ ਫੰਕਸ਼ਨ
real variable,ਅਸਲੀ ਵੇਰੀਏਬਲ
real vector space,ਅਸਲ ਵੈਕਟਰ ਸਪੇਸ
reciprocal,ਪਰਸਪਰ
reciprocal matrix,ਪਰਸਪਰ ਮੈਟ੍ਰਿਕਸ
rectangle,ਆਇਤਕਾਰ
rectangular,ਆਇਤਾਕਾਰ
rectangular array,ਆਇਤਾਕਾਰ ਐਰੇ
rectangular axis,ਆਇਤਾਕਾਰ ਧੁਰਾ
rectangular density function,ਆਇਤਾਕਾਰ ਘਣਤਾ ਫੰਕਸ਼ਨ
rectangular hyperbola,ਆਇਤਾਕਾਰ ਹਾਈਪਰਬੋਲਾ
rectangular matrix,ਆਇਤਾਕਾਰ ਮੈਟ੍ਰਿਕਸ
"rectangular parellelopiped 
 (cuboid)",ਆਇਤਾਕਾਰ ਪੈਰੇਲਲੋਪਾਈਪਡ (ਘਣ)
rectifiable curve,ਠੀਕ ਕਰਨ ਯੋਗ ਕਰਵ
recurrence formula,ਆਵਰਤੀ ਫਾਰਮੂਲਾ
recurring decimal,ਆਵਰਤੀ ਦਸ਼ਮਲਵ
recursion formula,ਆਵਰਤੀ ਫਾਰਮੂਲਾ
reduced echelon form,ਘਟਾਇਆ ਗਿਆ ਏਕਲੋਨ ਫਾਰਮ
reductio-ad-absurdum,reduction-ad-absurdum
reduction formula,ਘਟਾਉਣ ਦਾ ਫਾਰਮੂਲਾ
reference line,ਹਵਾਲਾ ਲਾਈਨ
reference point,ਹਵਾਲਾ ਬਿੰਦੂ
reflected wave,ਪ੍ਰਤੀਬਿੰਬਿਤ ਲਹਿਰ
reflection,ਪ੍ਰਤੀਬਿੰਬ
reflexive law,ਰਿਫਲੈਕਸਿਵ ਕਾਨੂੰਨ
region of convergence,ਕਨਵਰਜੈਂਸ ਦਾ ਖੇਤਰ
region of divergence,ਵਿਭਿੰਨਤਾ ਦਾ ਖੇਤਰ
region of integration,ਏਕੀਕਰਣ ਦਾ ਖੇਤਰ
regression analysis,ਰਿਗਰੈਸ਼ਨ ਵਿਸ਼ਲੇਸ਼ਣ
regression curve,ਰਿਗਰੈਸ਼ਨ ਕਰਵ
regression equation,ਰਿਗਰੈਸ਼ਨ ਸਮੀਕਰਨ
regression line,ਰਿਗਰੈਸ਼ਨ ਲਾਈਨ
regression model,ਰਿਗਰੈਸ਼ਨ ਮਾਡਲ
regular curve,ਨਿਯਮਤ ਕਰਵ
regular hexagon,ਨਿਯਮਤ ਹੈਕਸਾਗਨ
regular matrix,ਨਿਯਮਤ ਮੈਟ੍ਰਿਕਸ
regular tetrahedron,ਨਿਯਮਤ tetrahedron
relative complement,ਰਿਸ਼ਤੇਦਾਰ ਪੂਰਕ
relative maximum,ਰਿਸ਼ਤੇਦਾਰ ਅਧਿਕਤਮ
relative minimum,ਅਨੁਸਾਰੀ ਘੱਟੋ-ਘੱਟ
relative probability (conditional probability),ਰਿਸ਼ਤੇਦਾਰ ਸੰਭਾਵਨਾ (ਸ਼ਰਤ ਸੰਭਾਵਨਾ)
relative velocity,ਰਿਸ਼ਤੇਦਾਰ ਗਤੀ
Relativity,ਰਿਲੇਟੀਵਿਟੀ
relativity theory,ਰਿਲੇਟੀਵਿਟੀ ਥਿਊਰੀ
reliability,ਭਰੋਸੇਯੋਗਤਾ
reliability problem,ਭਰੋਸੇਯੋਗਤਾ ਸਮੱਸਿਆ
remainder term,ਬਾਕੀ ਮਿਆਦ
remainder theorem,ਬਾਕੀ ਪ੍ਰਮੇਯ
repeated limit,ਦੁਹਰਾਇਆ ਸੀਮਾ
repeated Riemann integral,ਰੀਮੈਨ ਇੰਟੀਗਰਲ ਨੂੰ ਦੁਹਰਾਇਆ ਗਿਆ
representation,ਨੁਮਾਇੰਦਗੀ
Residue,ਬਾਕੀ ਦੇ
residue at a pole,ਖੰਭੇ &#39;ਤੇ ਰਹਿੰਦ-ਖੂੰਹਦ
resolution,ਮਤਾ
resolution of forces,ਤਾਕਤਾਂ ਦਾ ਹੱਲ
resolution of velocities,ਵੇਗ ਦਾ ਹੱਲ
resultant,ਨਤੀਜੇ ਵਜੋਂ
resultant force,ਨਤੀਜਾ ਬਲ
resultant vector,ਨਤੀਜਾ ਵੈਕਟਰ
revised simplex technique,ਸੰਸ਼ੋਧਿਤ ਸਿੰਪਲੈਕਸ ਤਕਨੀਕ
rhombus,ਰੋਮਬਸ
Riemann integral,ਰੀਮੈਨ ਅਟੁੱਟ
right angle,ਸੱਜੇ ਕੋਣ
right angled triangle,ਸੱਜੇ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ
right circular cone,ਸੱਜੇ ਗੋਲਾਕਾਰ ਕੋਨ
right coset,ਸਹੀ coset
right cylinder,ਸੱਜੇ ਸਿਲੰਡਰ
right handed,ਸੱਜੇ ਹੱਥ
right inverse,ਸੱਜੇ ਉਲਟ
rigorous proof,ਸਖ਼ਤ ਸਬੂਤ
ring,ਰਿੰਗ
ring of integers,ਪੂਰਨ ਅੰਕਾਂ ਦੀ ਰਿੰਗ
R-integrable,ਆਰ-ਏਕੀਕ੍ਰਿਤ
root,ਰੂਟ
root mean square,ਮੂਲ ਦਾ ਮਤਲਬ ਵਰਗ
root of a polynomial,ਬਹੁਪਦ ਦਾ ਮੂਲ
rotation,ਰੋਟੇਸ਼ਨ
rounding error,ਰਾਊਂਡਿੰਗ ਗਲਤੀ
row,ਕਤਾਰ
row-by-column multiplication,ਕਤਾਰ-ਦਰ-ਕਾਲਮ ਗੁਣਾ
row equivalence,ਕਤਾਰ ਬਰਾਬਰੀ
row matrix,ਕਤਾਰ ਮੈਟ੍ਰਿਕਸ
row rank,ਕਤਾਰ ਦਾ ਦਰਜਾ
saddle point,ਕਾਠੀ ਬਿੰਦੂ
sample,ਨਮੂਨਾ
sample means,ਨਮੂਨਾ ਦਾ ਮਤਲਬ ਹੈ
sample point,ਨਮੂਨਾ ਬਿੰਦੂ
sample size,ਨਮੂਨਾ ਦਾ ਆਕਾਰ
sample space,ਨਮੂਨਾ ਸਪੇਸ
sample standard deviation,ਨਮੂਨਾ ਮਿਆਰੀ ਵਿਵਹਾਰ
sample survey,ਨਮੂਨਾ ਸਰਵੇਖਣ
sample variance,ਨਮੂਨਾ ਪਰਿਵਰਤਨ
sampling,ਨਮੂਨਾ
sampling distribution,ਨਮੂਨਾ ਵੰਡ
sampling error,ਨਮੂਨਾ ਗਲਤੀ
sampling interval,ਨਮੂਨਾ ਅੰਤਰਾਲ
sampling method,ਨਮੂਨਾ ਵਿਧੀ
sampling theory,ਨਮੂਨਾ ਥਿਊਰੀ
sampling with replacement,ਬਦਲਣ ਦੇ ਨਾਲ ਨਮੂਨਾ ਲੈਣਾ
scalar,ਸਕੇਲਰ
scalar field,ਸਕੇਲਰ ਖੇਤਰ
scalar matrix,ਸਕੇਲਰ ਮੈਟ੍ਰਿਕਸ
scalar multiple,ਸਕੇਲਰ ਮਲਟੀਪਲ
scalar multiplication,ਸਕੇਲਰ ਗੁਣਾ
scalar product,ਸਕੇਲਰ ਉਤਪਾਦ
scalar quantity,ਸਕੇਲਰ ਮਾਤਰਾ
scalar triple product,ਸਕੇਲਰ ਟ੍ਰਿਪਲ ਉਤਪਾਦ
scelene triangle,scelene ਤਿਕੋਣ
scattered diagram,ਖਿੰਡੇ ਹੋਏ ਚਿੱਤਰ
Schrodinger equation,ਸ਼੍ਰੋਡਿੰਗਰ ਸਮੀਕਰਨ
seasonal fluctuation,ਮੌਸਮੀ ਉਤਰਾਅ-ਚੜ੍ਹਾਅ
secant,secant
secant method,secant ਢੰਗ
second derivative,ਦੂਜਾ ਡੈਰੀਵੇਟਿਵ
second order,ਦੂਜਾ ਕ੍ਰਮ
section,ਅਨੁਭਾਗ
sector,ਸੈਕਟਰ
segment of a curve,ਇੱਕ ਕਰਵ ਦਾ ਖੰਡ
self — adjoint,ਸਵੈ-ਸਬੰਧਤ
self adjoint operator,ਸਵੈ ਸਹਾਇਕ ਆਪਰੇਟਰ
self — conjugate,ਸਵੈ - ਸੰਜੋਗ
semiaxis,semiaxis
semicircle,ਅਰਧ ਚੱਕਰ
semi - definite matrix,ਅਰਧ-ਨਿਸ਼ਚਿਤ ਮੈਟ੍ਰਿਕਸ
semi - definite quadratic form,ਅਰਧ - ਨਿਸ਼ਚਿਤ ਚਤੁਰਭੁਜ ਰੂਪ
semigroup,ਅਰਧ ਸਮੂਹ
semi - interval,ਅਰਧ ਅੰਤਰਾਲ
semi major axis,ਅਰਧ ਪ੍ਰਮੁੱਖ ਧੁਰਾ
semi minor axis,ਅਰਧ ਮਾਮੂਲੀ ਧੁਰੀ
separable polynomial,ਵੱਖ ਕਰਨ ਯੋਗ ਬਹੁਪਦ
separation of variables,ਵੇਰੀਏਬਲ ਦਾ ਵੱਖ ਹੋਣਾ
sequence,ਕ੍ਰਮ
sequencing theory,ਕ੍ਰਮ ਸਿਧਾਂਤ
sequential analysis,ਕ੍ਰਮਵਾਰ ਵਿਸ਼ਲੇਸ਼ਣ
sequential sampling,ਕ੍ਰਮਵਾਰ ਨਮੂਨਾ
serial correlation,ਲੜੀਵਾਰ ਸਬੰਧ
series,ਲੜੀ
set,ਸੈੱਟ
sextant,ਸੈਕਸਟੈਂਟ
Shewhart control charts,Shewhart ਕੰਟਰੋਲ ਚਾਰਟ
sign,ਚਿੰਨ੍ਹ
signature of a matrix,ਇੱਕ ਮੈਟ੍ਰਿਕਸ ਦੇ ਦਸਤਖਤ
signature of quadratic form,ਚਤੁਰਭੁਜ ਰੂਪ ਦੇ ਦਸਤਖਤ
signed number,ਦਸਤਖਤ ਕੀਤੇ ਨੰਬਰ
significance level,ਮਹੱਤਤਾ ਦਾ ਪੱਧਰ
significance test,ਮਹੱਤਤਾ ਟੈਸਟ
significant digit,ਮਹੱਤਵਪੂਰਨ ਅੰਕ
sign test,ਸਾਈਨ ਟੈਸਟ
signum function,ਸਾਈਨਮ ਫੰਕਸ਼ਨ
similar ellipses,ਸਮਾਨ ਅੰਡਾਕਾਰ
similar figures,ਸਮਾਨ ਅੰਕੜੇ
similarity,ਸਮਾਨਤਾ
similar matrices,ਸਮਾਨ ਮੈਟ੍ਰਿਕਸ
simple closed curve,ਸਧਾਰਨ ਬੰਦ ਕਰਵ
simple correlation,ਸਧਾਰਨ ਸਬੰਧ
simple harmonic motion,ਸਧਾਰਨ ਹਾਰਮੋਨਿਕ ਮੋਸ਼ਨ
simple random sampling,ਸਧਾਰਨ ਬੇਤਰਤੀਬ ਨਮੂਨਾ
simplex,ਸਿੰਪਲੈਕਸ
simplex algorithm,ਸਿੰਪਲੈਕਸ ਐਲਗੋਰਿਦਮ
simplex tableau,ਸਿੰਪਲੈਕਸ ਝਾਂਕੀ
Simpson's one - third rule,ਸਿੰਪਸਨ ਦਾ ਇੱਕ - ਤੀਜਾ ਨਿਯਮ
simulation technique,ਸਿਮੂਲੇਸ਼ਨ ਤਕਨੀਕ
simultaneous differential equations,ਸਮਕਾਲੀ ਅੰਤਰ ਸਮੀਕਰਨਾਂ
simultaneous equations,ਸਮਕਾਲੀ ਸਮੀਕਰਨਾਂ
sine,ਸਾਈਨ
sine curve,ਸਾਈਨ ਕਰਵ
singleton,ਸਿੰਗਲਟਨ
single valued function,ਸਿੰਗਲ ਮੁੱਲ ਵਾਲਾ ਫੰਕਸ਼ਨ
singular integral,ਇਕਵਚਨ ਅਟੁੱਟ
singularity,ਇਕੱਲਤਾ
singular matrix,ਇਕਵਚਨ ਮੈਟ੍ਰਿਕਸ
singular solution,ਇਕਵਚਨ ਹੱਲ
size of sample,ਨਮੂਨੇ ਦਾ ਆਕਾਰ
skewed distribution,ਤਿੱਖੀ ਵੰਡ
skew-Hermitian matrix,skew-Hermitian ਮੈਟਰਿਕਸ
skewness,ਤਿੱਖਾਪਨ
skew symmetric matrix,ਸਕਿਊ ਸਮਮਿਤੀ ਮੈਟ੍ਰਿਕਸ
slack variable,ਢਿੱਲਾ ਵੇਰੀਏਬਲ
slope,ਢਲਾਨ
slope gradient,ਢਲਾਨ ਗਰੇਡੀਐਂਟ
small brackets,ਛੋਟੇ ਬਰੈਕਟ
smooth curve,ਨਿਰਵਿਘਨ ਕਰਵ
smooth function,ਨਿਰਵਿਘਨ ਫੰਕਸ਼ਨ
smoothing of time series,ਸਮੇਂ ਦੀ ਲੜੀ ਦਾ ਨਿਰਵਿਘਨ
solar system,ਸੂਰਜੀ ਸਿਸਟਮ
solenoidal vector,solenoidal ਵੈਕਟਰ
solid,ਠੋਸ
solid geometry,ਠੋਸ ਜਿਓਮੈਟਰੀ
solution,ਦਾ ਹੱਲ
solution in series,ਲੜੀ ਵਿੱਚ ਹੱਲ
solution matrix,ਹੱਲ ਮੈਟਰਿਕਸ
solution of a triangle,ਇੱਕ ਤਿਕੋਣ ਦਾ ਹੱਲ
solution space,ਹੱਲ ਸਪੇਸ
Sonine polynomial,ਸੋਨੀਨ ਬਹੁਪਦ
space,ਸਪੇਸ
space curve,ਸਪੇਸ ਕਰਵ
spanning set,ਫੈਲਿਆ ਸੈੱਟ
spatial correlogram,ਸਥਾਨਿਕ correlogram
special linear group,ਵਿਸ਼ੇਸ਼ ਰੇਖਿਕ ਸਮੂਹ
special orthogonal group,ਵਿਸ਼ੇਸ਼ ਆਰਥੋਗੋਨਲ ਸਮੂਹ
specific gravity,ਖਾਸ ਗੰਭੀਰਤਾ
spectral mapping theorem,ਸਪੈਕਟ੍ਰਲ ਮੈਪਿੰਗ ਥਿਊਰਮ
spectrum of a function,ਇੱਕ ਫੰਕਸ਼ਨ ਦਾ ਸਪੈਕਟ੍ਰਮ
sphere,ਗੋਲਾ
spherical coordinate system,ਗੋਲਾਕਾਰ ਤਾਲਮੇਲ ਸਿਸਟਮ
spherical polar coordinate,ਗੋਲਾਕਾਰ ਧਰੁਵੀ ਤਾਲਮੇਲ
spherical triangle,ਗੋਲਾਕਾਰ ਤਿਕੋਣ
spherical trigonometry,ਗੋਲਾਕਾਰ ਤਿਕੋਣਮਿਤੀ
spiral,ਚੂੜੀਦਾਰ
square,ਵਰਗ
square brackets,ਵਰਗ ਬਰੈਕਟ
square integrable,ਵਰਗ ਏਕੀਕ੍ਰਿਤ
square matrix,ਵਰਗ ਮੈਟ੍ਰਿਕਸ
square root,ਵਰਗਮੂਲ
stage of sampling,ਨਮੂਨਾ ਲੈਣ ਦੇ ਪੜਾਅ
staircase function,ਪੌੜੀ ਫੰਕਸ਼ਨ
standard deviation,ਮਿਆਰੀ ਭਟਕਣ
standard inner product,ਮਿਆਰੀ ਅੰਦਰੂਨੀ ਉਤਪਾਦ
state of equilibrium,ਸੰਤੁਲਨ ਦੀ ਸਥਿਤੀ
stationary curve,ਸਥਿਰ ਕਰਵ
stationary point,ਸਥਿਰ ਬਿੰਦੂ
stationary value,ਸਥਿਰ ਮੁੱਲ
statistic,ਅੰਕੜਾ
statistical,ਅੰਕੜਾ
statistical data,ਅੰਕੜਾ ਡਾਟਾ
statistical distribution,ਅੰਕੜਾ ਵੰਡ
statistical hypothesis,ਅੰਕੜਾ ਅਨੁਮਾਨ
statistical inference,ਅੰਕੜਾ ਅਨੁਮਾਨ
statistical model,ਅੰਕੜਾ ਮਾਡਲ
statistical population,ਅੰਕੜਾ ਆਬਾਦੀ
statistical quality control,ਅੰਕੜਾ ਗੁਣਵੱਤਾ ਨਿਯੰਤਰਣ
statistics,ਅੰਕੜੇ
steady,ਸਥਿਰ
steady state solution,ਸਥਿਰ ਰਾਜ ਦਾ ਹੱਲ
steep ascent (of a curve),ਖੜੀ ਚੜ੍ਹਾਈ (ਵਕਰ ਦੀ)
steepest ascent design,ਸਭ ਤੋਂ ਉੱਚੀ ਚੜ੍ਹਾਈ ਦਾ ਡਿਜ਼ਾਈਨ
steepest descent,ਸਭ ਤੋਂ ਉੱਚੀ ਉਤਰਾਈ
step function,ਕਦਮ ਫੰਕਸ਼ਨ
Stirling series,ਸਟਰਲਿੰਗ ਲੜੀ
stochastic,ਸਟੋਚੈਸਟਿਕ
stochastic matrix,ਸਟੋਚੈਸਟਿਕ ਮੈਟ੍ਰਿਕਸ
stochastic model,ਸਟੋਚੈਸਟਿਕ ਮਾਡਲ
stochastic programming,ਸਟੋਚੈਸਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
stochastic variable,ਸਟੋਚੈਸਟਿਕ ਵੇਰੀਏਬਲ
Stokes’ theorem,ਸਟੋਕਸ ਦਾ ਸਿਧਾਂਤ
straight line,ਸਿੱਧੀ ਲਾਈਨ
strata chart,ਸਤਰ ਚਾਰਟ
stratification,ਪੱਧਰੀਕਰਨ
stratified sampling,ਪੱਧਰੀ ਨਮੂਨਾ
stream-line,ਸਟ੍ਰੀਮ-ਲਾਈਨ
stress,ਤਣਾਅ
strictly convex function,ਸਖਤੀ ਨਾਲ ਕਨਵੈਕਸ ਫੰਕਸ਼ਨ
strictly decreasing,ਸਖਤੀ ਨਾਲ ਘਟ ਰਿਹਾ ਹੈ
strictly increasing,ਸਖਤੀ ਨਾਲ ਵਧ ਰਿਹਾ ਹੈ
strictly monotonic function,ਸਖਤੀ ਨਾਲ ਮੋਨੋਟੋਨਿਕ ਫੰਕਸ਼ਨ
"Student's test (Student's ""t"" test)",ਵਿਦਿਆਰਥੀ ਦਾ ਟੈਸਟ (ਵਿਦਿਆਰਥੀ ਦਾ &quot;ਟੀ&quot; ਟੈਸਟ)
sub-collection,ਉਪ-ਸੰਗ੍ਰਹਿ
sub determinant,ਉਪ ਨਿਰਣਾਇਕ
subfield,ਸਬਫੀਲਡ
subgroup,ਉਪ ਸਮੂਹ
sub-interval,ਉਪ-ਅੰਤਰਾਲ
submatrix,ਸਬਮੈਟ੍ਰਿਕਸ
subscript,ਸਬਸਕ੍ਰਿਪਟ
subsequence,ਬਾਅਦ
subset,ਸਬਸੈੱਟ
subspace,ਸਬਸਪੇਸ
substitution,ਬਦਲ
subtangent,ਸਬਟੈਂਜੈਂਟ
subtend,ਘਟਾਓ
subtract,ਘਟਾਓ
subtraction,ਘਟਾਓ
successive,ਲਗਾਤਾਰ
successive differentiation,ਲਗਾਤਾਰ ਭਿੰਨਤਾ
successive integration,ਲਗਾਤਾਰ ਏਕੀਕਰਨ
successor,ਉੱਤਰਾਧਿਕਾਰੀ
suffix,ਪਿਛੇਤਰ
sum,ਜੋੜ
sum function,ਜੋੜ ਫੰਕਸ਼ਨ
summable,ਜੋੜਨਯੋਗ
summand,ਸੰਮਨ
summation,ਸਾਰ
summation convention,ਸੰਮਤੀ ਸੰਮੇਲਨ
summation formula,ਸਮੀਕਰਨ ਫਾਰਮੂਲਾ
summation of series,ਲੜੀ ਦਾ ਸਾਰ
summation sign,ਸਾਰ ਚਿੰਨ੍ਹ
sum to infinity,ਅਨੰਤਤਾ ਦਾ ਜੋੜ
superscript,ਸੁਪਰਸਕ੍ਰਿਪਟ
superset,ਸੁਪਰਸੈੱਟ
supersonic flow,ਸੁਪਰਸੋਨਿਕ ਵਹਾਅ
supplementary angle,ਪੂਰਕ ਕੋਣ
supporting hyperplane,ਹਾਈਪਰਪਲੇਨ ਦਾ ਸਮਰਥਨ ਕਰਦਾ ਹੈ
support of function,ਫੰਕਸ਼ਨ ਦਾ ਸਮਰਥਨ
suppose,ਮੰਨ ਲਓ
supremum,ਸਰਵਉੱਚ
surd,surd
surface,ਸਤ੍ਹਾ
surface area,ਸਤਹ ਖੇਤਰ
surface integral,ਸਤਹ ਅਟੁੱਟ
surjection,ਸਰਜੈਕਸ਼ਨ
surjective,ਸਰਜੈਕਟਿਵ
surjective map,ਸਰਜੈਕਟਿਵ ਨਕਸ਼ਾ
symbol,ਚਿੰਨ੍ਹ
symbolic logic,ਪ੍ਰਤੀਕ ਤਰਕ
symbolic model,ਪ੍ਰਤੀਕ ਮਾਡਲ
symmetric,ਸਮਮਿਤੀ
symmetrical,ਸਮਮਿਤੀ
symmetric determinant,ਸਮਮਿਤੀ ਨਿਰਧਾਰਕ
symmetric difference,ਸਮਮਿਤੀ ਅੰਤਰ
symmetric matrix,ਸਮਮਿਤੀ ਮੈਟ੍ਰਿਕਸ
system analysis,ਸਿਸਟਮ ਵਿਸ਼ਲੇਸ਼ਣ
