English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu 
retreat,पीछे हटना,পশ্চাদপসৰণ,পশ্চাদপসরণ,પીછેહઠ,ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ,പിൻവാങ്ങുക,माघार,ପଛକୁ,ਪਿੱਛੇ ਹਟਣਾ,பின்வாங்க,తిరోగమనం
retrospective,"भूतलक्षी, पूर्वव्यापी/अनुदर्शी",পুৰ্বদৃষ্টিসম্পন্ন,পূর্ববর্তী,પૂર્વદર્શી,ಸಿಂಹಾವಲೋಕನ,റിട്രോസ്പെക്റ്റീവ്,पूर्वलक्षी,ପ୍ରତ୍ୟାବର୍ତ୍ତନ,ਪਿਛਾਖੜੀ,சுயபரிசோதனை,పునరాలోచన
return wall,प्रतिवृत्त भित्ति,ৰিটাৰ্ণ ৱাল,রিটার্ন প্রাচীর,પરત દિવાલ,ಹಿಂತಿರುಗುವ ಗೋಡೆ,മടക്ക മതിൽ,परतीची भिंत,ଫେରସ୍ତ କାନ୍ଥ |,ਵਾਪਸੀ ਕੰਧ,திரும்பும் சுவர்,తిరిగి గోడ
reveal,"पख, पक्ष",প্ৰকাশ কৰা.,প্রকাশ করা,ઉઘાડી,ಬಹಿರಂಗಪಡಿಸಿ,വെളിപ്പെടുത്തുക,प्रकट करणे,ପ୍ରକାଶ,ਪ੍ਰਗਟ,வெளிப்படுத்த,బహిర్గతం
revenue,राजस्व,ৰাজহ,রাজস্ব,આવક,ಆದಾಯ,വരുമാനം,महसूल,ରାଜସ୍ୱ,ਮਾਲੀਆ,வருவாய்,ఆదాయం
reverse,"पृष्‍ठ या पट भाग (सिक्का), पराजय",বিপৰীত,বিপরীত,વિપરીત,ಹಿಮ್ಮುಖ,വിപരീതം,उलट,ଓଲଟା,ਉਲਟਾ,தலைகீழ்,రివర్స్
reversed stratigraphy,प्रतिलोम स्तर-विन्यास,ৰিভাৰ্ছড ষ্ট্ৰেটিগ্ৰাফী,বিপরীত স্ট্র্যাটিগ্রাফি,વિપરીત સ્ટ્રેટેગ્રાફી,ರಿವರ್ಸ್ಡ್ ಸ್ಟ್ರಾಟಿಗ್ರಫಿ,വിപരീത സ്ട്രാറ്റിഗ്രാഫി,उलट स्ट्रॅटेग्राफी,ଓଲଟା ଷ୍ଟ୍ରାଟିଗ୍ରାଫି |,ਉਲਟ ਸਟ੍ਰੈਟਿਗ੍ਰਾਫੀ,தலைகீழ் ஸ்ட்ராடிகிராபி,రివర్స్డ్ స్ట్రాటిగ్రఫీ
revetment,पुश्तादीवारी,ৰিভেটমেণ্ট,revetment,ઉત્સુકતા,ರಿವೆಟ್ಮೆಂಟ್,റിവെറ്റ്മെന്റ്,आक्रोश,ପ୍ରକାଶ,revetment,வெளிப்படுத்தல்,రివెట్మెంట్
review,"समीक्षा, पुनर्निरीलक्षण",পুনৰীক্ষণ,পুনঃমূল্যায়ন,સમીક્ષા,ಸಮೀಕ್ಷೆ,അവലോകനം,पुनरावलोकन,ସମୀକ୍ଷା,ਸਮੀਖਿਆ,விமர்சனம்,సమీక్ష
revision,पुनर्विचार,সংশোধন,পুনর্বিবেচনা,પુનરાવર્તન,ಪರಿಷ್ಕರಣೆ,പുനരവലോകനം,पुनरावृत्ती,ସଂଶୋଧନ,ਸੰਸ਼ੋਧਨ,திருத்தம்,పునర్విమర్శ
revisionism,"संशोधनवाद, पुनरावृत्‍तिवाद",সংশোধনবাদ,সংশোধনবাদ,સંશોધનવાદ,ಪರಿಷ್ಕರಣವಾದ,റിവിഷനിസം,सुधारणावाद,ସଂଶୋଧନ,ਸੋਧਵਾਦ,திருத்தல்வாதம்,రివిజనిజం
revisionist,"सशोधनवादी, पुनरावृत्‍तिवादी",সংশোধনবাদী,সংশোধনবাদী,સુધારણાવાદી,ಪರಿಷ್ಕರಣೆವಾದಿ,റിവിഷനിസ്റ്റ്,सुधारणावादी,ସଂଶୋଧନକାରୀ,ਸੋਧਵਾਦੀ,திருத்தல்வாதி,రివిజనిస్ట్
revival,पुनर्रुत्थान,পুনৰুজ্জীৱন,পুনরুজ্জীবন,પુનરુત્થાન,ಪುನರುಜ್ಜೀವನ,പുനരുജ്ജീവനം,पुनरुज्जीवन,ପୁନର୍ଜୀବନ,ਬੇਦਾਰੀ,மறுமலர்ச்சி,పునరుజ్జీవనం
revival of treaties,(संधियों का) पुन:प्रवर्तन,সন্ধিসমূহৰ পুনৰুজ্জীৱন,চুক্তির পুনরুজ্জীবন,સંધિઓનું પુનરુત્થાન,ಒಪ್ಪಂದಗಳ ಪುನರುಜ್ಜೀವನ,ഉടമ്പടികളുടെ പുനരുജ്ജീവനം,करारांचे पुनरुज्जीवन,ଚୁକ୍ତିଗୁଡ଼ିକର ପୁନର୍ଜୀବନ |,ਸੰਧੀਆਂ ਦੀ ਮੁੜ ਸੁਰਜੀਤੀ,ஒப்பந்தங்களின் மறுமலர்ச்சி,ఒప్పందాల పునరుద్ధరణ
revivalism,पुनरुज्जीवनवाद,পুনৰুজ্জীৱনবাদ,পুনরুজ্জীবনবাদ,પુનરુત્થાનવાદ,ಪುನರುಜ್ಜೀವನ,നവോത്ഥാനം,पुनरुज्जीवनवाद,ପୁନର୍ଜୀବନ,ਪੁਨਰਜਾਗਰਣਵਾਦ,மறுமலர்ச்சி,పునరుజ్జీవనం
revivalist movement,पुनरुज्जीवन आंदोलन,পুনৰুজ্জীৱনবাদী আন্দোলন,পুনরুজ্জীবন আন্দোলন,પુનરુત્થાનવાદી ચળવળ,ಪುನರುಜ್ಜೀವನ ಚಳುವಳಿ,നവോത്ഥാന പ്രസ്ഥാനം,पुनरुज्जीवन चळवळ,ପୁନର୍ଜୀବିତ ଆନ୍ଦୋଳନ |,ਪੁਨਰ ਸੁਰਜੀਤੀ ਲਹਿਰ,மறுமலர்ச்சி இயக்கம்,పునరుజ్జీవన ఉద్యమం
revoke,प्रतिसंहरण,বাতিল কৰক,প্রত্যাহার,રદ કરવું,ರದ್ದು,റദ്ദാക്കുക,मागे घेणे,ପ୍ରତ୍ୟାହାର,ਰੱਦ ਕਰੋ,திரும்பப் பெறு,రద్దు
revolt,विद्रोह,বিদ্ৰোহ,বিদ্রোহ,બળવો,ದಂಗೆ,കലാപം,बंड,ବିଦ୍ରୋହ,ਬਗਾਵਤ,கிளர்ச்சி,తిరుగుబాటు
revolution,"क्रांति, आन्दोलन",বিপ্লৱ,বিপ্লব,ક્રાંતિ,ಕ್ರಾಂತಿ,വിപ്ലവം,क्रांती,ବିପ୍ଳବ,ਇਨਕਲਾਬ,புரட்சி,విప్లవం
revolutionary,क्रांतिकारी,বিপ্লৱী,বিপ্লবী,ક્રાંતિકારી,ಕ್ರಾಂತಿಕಾರಿ,വിപ്ലവകാരി,क्रांतिकारी,ବ revolutionary ପ୍ଳବିକ,ਇਨਕਲਾਬੀ,புரட்சிகரமான,విప్లవకారుడు
revolving platform,"घूमता चबूतरा, भ्रमिल चत्वर",ঘূৰ্ণনশীল মঞ্চ,ঘূর্ণায়মান প্ল্যাটফর্ম,ફરતું પ્લેટફોર્મ,ಸುತ್ತುವ ವೇದಿಕೆ,കറങ്ങുന്ന പ്ലാറ്റ്ഫോം,फिरणारे व्यासपीठ,ଘୂର୍ଣ୍ଣନ ପ୍ଲାଟଫର୍ମ |,ਘੁੰਮਦਾ ਪਲੇਟਫਾਰਮ,சுழலும் மேடை,తిరిగే వేదిక
Rhinoceros,राइनोसिरस (गेंडा वंश),গঁড়,গণ্ডার,ગેંડા,ಘೇಂಡಾಮೃಗ,കാണ്ടാമൃഗം,गेंडा,ଗଧ,ਗੈਂਡਾ,காண்டாமிருகம்,ఖడ్గమృగం
rhomboid dagger,चौकोनी कटार,ৰম্ব&#39;ইড ডেগাৰ,রম্বয়েড ড্যাগার,રોમ્બોઇડ ડેગર,ರೋಂಬಾಯ್ಡ್ ಕಠಾರಿ,റോംബോയിഡ് ഡാഗർ,rhomboid खंजीर,ରୋମ୍ବୋଏଡ୍ ଖଞ୍ଜା |,rhomboid ਖੰਜਰ,rhomboid dagger,రాంబాయిడ్ బాకు
rhomboidal section,चौकोनी काट,ৰম্বোইডাল অংশ,রম্বোইডাল বিভাগ,રોમ્બોઇડલ વિભાગ,ರೋಂಬಾಯ್ಡ್ ವಿಭಾಗ,rhomboidal വിഭാഗം,rhomboidal विभाग,ରୋମ୍ବୋଏଡାଲ୍ ବିଭାଗ |,rhomboidal ਭਾਗ,rhomboidal பிரிவு,rhomboidal విభాగం
rhombus,समचतुर्भुज,ৰম্বছ,রম্বস,સમચતુર્ભુજ,ರೋಂಬಸ್,റോംബസ്,समभुज चौकोन,ରମ୍ବସ୍,ਰੋਮਬਸ,ரோம்பஸ்,రాంబస్
rhyparography,"अश्लील चित्रण, अशिष्ट चित्रण",ৰাইপেৰ&#39;গ্ৰাফী,rhyparography,rhyparography,ರೈಪರೋಗ್ರಫಿ,റിപ്പറോഗ്രാഫി,rhyparography,ରାଇଫାରୋଗ୍ରାଫି |,rhyparography,ரைபரோகிராபி,రైపరోగ్రఫీ
rhyton,"शृंगपात्र, राइटोन",ৰাইটন,রাইটন,રાયટોન,ರೈಟನ್,റൈറ്റൺ,रायटन,ରାଇଟନ୍ |,ਰਾਇਟਨ,ரைட்டன்,రైటన్
rib,"पसली, रिब",পাঁজৰ,পাঁজর,પાંસળી,ಪಕ್ಕೆಲುಬು,വാരിയെല്ല്,बरगडी,ପଟି,ਪਸਲੀ,விலா எலும்பு,పక్కటెముక
rib bone,पसली की हड् डी,পাঁজৰৰ হাড়,পাঁজরের হাড়,પાંસળીનું હાડકું,ಪಕ್ಕೆಲುಬಿನ ಮೂಳೆ,വാരിയെല്ല് അസ്ഥി,बरगडीचे हाड,ପଟି ହାଡ |,ਪਸਲੀ ਦੀ ਹੱਡੀ,விலா எலும்பு,పక్కటెముక ఎముక
ribbed vessel,फांकेदार पात्र,ৰিবযুক্ত পাত্ৰ,পাঁজরযুক্ত পাত্র,પાંસળીવાળું જહાજ,ಪಕ್ಕೆಲುಬಿನ ಪಾತ್ರೆ,വാരിയെല്ലുള്ള പാത്രം,ribbed भांडे,ରିବଡ୍ ପାତ୍ର |,ਪੱਸਲੀ ਵਾਲਾ ਭਾਂਡਾ,ribbed பாத்திரம்,ribbed నౌకను
ribbon-flake,पट्टी-शल्क,ফিতা-ফ্লেক,ফিতা-ফ্লেক,રિબન-ફ્લેક,ರಿಬ್ಬನ್-ಫ್ಲೇಕ್,റിബൺ-ഫ്ലേക്ക്,रिबन-फ्लेक,ରିବନ୍-ଫ୍ଲେକ୍ |,ਰਿਬਨ-ਫਲੇਕ,ரிப்பன்-ஃப்ளேக்,రిబ్బన్-ఫ్లేక్
ridge (=flange=shoulder),"मंगरा, कूट",ৰিজ (=ফ্লেঞ্জ=কান্ধ),রিজ (= ফ্ল্যাঞ্জ = কাঁধ),રીજ (= ફ્લેંજ = ખભા),ರಿಡ್ಜ್ (=ಫ್ಲೇಂಜ್=ಭುಜ),വരമ്പ് (=ഫ്ലാഞ്ച്=തോളിൽ),रिज (=flange=खांदा),ରିଜ୍ (= ଫ୍ଲେଞ୍ଜ୍ = କାନ୍ଧ),ਰਿਜ (= ਫਲੈਂਜ = ਮੋਢੇ),ரிட்ஜ் (=பட்டை=தோள்,శిఖరం (=ఫ్లాంజ్=భుజం)
ridge rib,कमरखी छत शलाका,ৰিজ ৰিব,রিজ পাঁজর,રીજ પાંસળી,ರಿಡ್ಜ್ ಪಕ್ಕೆಲುಬು,റിഡ്ജ് വാരിയെല്ല്,रिज बरगडी,ରିଜ୍ ରିବ୍ |,ਰਿਜ ਰਿਬ,முகடு விலா எலும்பு,రిడ్జ్ పక్కటెముక
rifle,"घूसर रंग, भूरा रंग",ৰাইফল,রাইফেল,રાઈફલ,ರೈಫಲ್,റൈഫിൾ,रायफल,ରାଇଫଲ,ਰਾਈਫਲ,துப்பாக்கி,రైఫిల్
right of occupancy,"अभिधारिता अधिकार, अधिभोगाधिकार",দখলৰ অধিকাৰ,দখলের অধিকার,ભોગવટાનો અધિકાર,ವಶಪಡಿಸಿಕೊಳ್ಳುವ ಹಕ್ಕು,താമസത്തിനുള്ള അവകാശം,वहिवाटीचा अधिकार,ଅଧିକାରର ଅଧିକାର,ਕਿੱਤੇ ਦਾ ਅਧਿਕਾਰ,வசிக்கும் உரிமை,ఆక్రమణ హక్కు
right of passage,मार्गाधिकार,ৰাইট অৱ পেচেজ,উত্তরণের অধিকার,પસાર થવાનો અધિકાર,ಅಂಗೀಕಾರದ ಹಕ್ಕು,കടന്നുപോകാനുള്ള അവകാശം,मार्गाचा अधिकार,ପାସ୍ ର ଅଧିକାର,ਲੰਘਣ ਦਾ ਹੱਕ,செல்லும் உரிமை,మార్గం యొక్క హక్కు
right-handed door,दाहिना रुख कपाट,সোঁহাতৰ দুৱাৰ,ডান হাতের দরজা,જમણા હાથનો દરવાજો,ಬಲಗೈ ಬಾಗಿಲು,വലംകൈ വാതിൽ,उजव्या हाताचा दरवाजा,ଡାହାଣ ହାତର କବାଟ |,ਸੱਜੇ ਹੱਥ ਦਾ ਦਰਵਾਜ਼ਾ,வலது கை கதவு,కుడిచేతి తలుపు
righteousness of Annexation,विलिनीकरण की पवित्रता,সংলগ্নকৰণৰ ধাৰ্মিকতা,সংযুক্তির ন্যায়পরায়ণতা,જોડાણની પ્રામાણિકતા,ಸೇರ್ಪಡೆಯ ನೀತಿ,കൂട്ടിച്ചേർക്കലിന്റെ നീതി,संलग्नीकरणाची धार्मिकता,ଆନେ୍ଦାଳନର ଧାର୍ମିକତା |,ਅਨੇਕਸ਼ਨ ਦੀ ਧਾਰਮਿਕਤਾ,இணைப்பின் நீதி,అనుబంధం యొక్క ధర్మం
rim,"अवंठ, कार, रिम,परिधि",ৰিম,রিম,કિનાર,ರಿಮ್,റിം,रिम,ରିମ୍,ਰਿਮ,விளிம்பு,అంచు
rim lock,"रिम ताला, बाहरी ताला",ৰিম লক,রিম লক,રિમ લોક,ರಿಮ್ ಲಾಕ್,റിം ലോക്ക്,रिम लॉक,ରିମ୍ ଲକ୍ |,ਰਿਮ ਲਾਕ,விளிம்பு பூட்டு,రిమ్ లాక్
rineau,पट्ट-अलंकरण,rineau,রিনাউ,રીનાઉ,ರಿನೋ,റിനോ,रिनाऊ,rineau,ਰੀਨੇਊ,ரினோ,రినో
ring,"वलय, धेरा, वृत्त",আঙুঠি,রিং,રિંગ,ಉಂಗುರ,മോതിരം,अंगठी,ରିଙ୍ଗ୍ |,ਰਿੰਗ,மோதிரம்,రింగ్
ring end (=ring terminal),वलयांत,ৰিং শেষ (=ৰিং টাৰ্মিনেল),রিং শেষ (= রিং টার্মিনাল),રિંગ એન્ડ (=રિંગ ટર્મિનલ),ರಿಂಗ್ ಎಂಡ್ (=ರಿಂಗ್ ಟರ್ಮಿನಲ್),റിംഗ് എൻഡ് (=റിംഗ് ടെർമിനൽ),रिंग एंड (=रिंग टर्मिनल),ରିଙ୍ଗ୍ ଏଣ୍ଡ୍ (= ରିଙ୍ଗ୍ ଟର୍ମିନାଲ୍),ਰਿੰਗ ਐਂਡ (=ਰਿੰਗ ਟਰਮੀਨਲ),வளைய முனை (=வளைய முனையம்),రింగ్ ముగింపు (=రింగ్ టెర్మినల్)
ring stone,वलय प्रस्तर,ৰিং ষ্টোন,রিং পাথর,રિંગ પથ્થર,ಉಂಗುರದ ಕಲ್ಲು,മോതിരക്കല്ല്,रिंग स्टोन,ରିଙ୍ଗ୍ ପଥର |,ਰਿੰਗ ਪੱਥਰ,மோதிர கல்,ఉంగరపు రాయి
ring well (=brick-well),"वलय कूप, इष्टिका कूप",ৰিং ৱেল (=ইটা-কুঁৱা),কূপ বাজান (=ইট-কূপ),કૂવો વગાડો (= ઈંટનો કૂવો),ರಿಂಗ್ ವೆಲ್ (=ಇಟ್ಟಿಗೆ ಬಾವಿ),വളയം നന്നായി (=ഇഷ്ടിക കിണർ),चांगले वाजवा (=विट-विहीर),ଭଲ ଭାବରେ ବାଜନ୍ତୁ (= ଇଟା-କୂଅ),ਰਿੰਗ ਖੂਹ (=ਇੱਟ-ਖੂਹ),வளைய கிணறு (=செங்கல் கிணறு),రింగ్ బావి (=ఇటుక బావి)
ring wells,मंडल-कूप,ৰিং ৱেলছ,রিং কূপ,રીંગ કુવાઓ,ರಿಂಗ್ ಬಾವಿಗಳು,വളയ കിണറുകൾ,रिंग विहिरी,କୂଅ,ਰਿੰਗ ਖੂਹ,வளைய கிணறுகள்,రింగ్ బావులు
ring-finger,अनामिका,ৰিং-ফিংগাৰ,রিং-আঙুল,રિંગ-આંગળી,ಉಂಗುರದ ಬೆರಳು,മോതിര വിരൽ,अंगठी-बोट,ରିଙ୍ଗ-ଆଙ୍ଗୁଠି |,ਰਿੰਗ-ਉਂਗਲ,மோதிர விரல்,ఉంగరపు వేలు
ring-root (pottery),"वलयपाद, पेंदी",ৰিং-ৰুট (মৃৎশিল্প),রিং-মূল (মৃৎপাত্র),રીંગ-રુટ (માટીના વાસણો),ರಿಂಗ್ ರೂಟ್ (ಕುಂಬಾರಿಕೆ),റിംഗ് റൂട്ട് (മൺപാത്ര നിർമ്മാണം),रिंग रूट (मातीची भांडी),ରିଙ୍ଗ-ରୁଟ୍ (କୁମ୍ଭାର),ਰਿੰਗ-ਰੂਟ (ਮਿੱਟੀ ਦੇ ਬਰਤਨ),ரிங்-ரூட் (மட்பாண்டம்),రింగ్-రూట్ (కుండలు)
ringlet,केशकुंडलिका,ringlet,রিংলেট,રિંગલેટ,ರಿಂಗ್ಲೆಟ್,വളയം,रिंगलेट,ରିଙ୍ଗଲେଟ୍ |,ਰਿੰਗਲੇਟ,வளையம்,రింగ్లెట్
rinzaffato,प्रथम लेप,rinzaffato,রিনজাফাতো,રિન્ઝાફાટો,rinzaffato,rinzaffato,rinzaffato,ରିଞ୍ଜାଫାଟୋ |,rinzaffato,ரின்சாஃபாடோ,రిన్జాఫాటో
riparian civilzation,तटवर्ती सभ्यता,ৰিপাৰিয়ান সভ্যতা,নদী সভ্যতা,નદીની સંસ્કૃતિ,ನದಿಯ ನಾಗರಿಕತೆ,നദീതീര നാഗരികത,नदीवरील सभ्यता,ଉପକୂଳ ସଭ୍ୟତା |,ਰਿਪੇਰੀਅਨ ਸਭਿਅਤਾ,நதிக்கரை நாகரிகம்,నదీతీర నాగరికత
ripping knife,कर्तक चाकू,ৰিপিং কটাৰী,ছিঁড়ে ফেলা ছুরি,ફાડી નાખતી છરી,ಸೀಳುವ ಚಾಕು,കീറുന്ന കത്തി,फाडणारा चाकू,ଛୁରୀ,ਚੀਰਦਾ ਚਾਕੂ,கிழிக்கும் கத்தி,చీల్చే కత్తి
ripple mark,उर्मि-चिह्न,ৰিপল মাৰ্ক,লহরী চিহ্ন,લહેરનું નિશાન,ಏರಿಳಿತ ಗುರುತು,അലകളുടെ അടയാളം,तरंग चिन्ह,ରିପଲ୍ ମାର୍କ |,ਲਹਿਰ ਦਾ ਨਿਸ਼ਾਨ,சிற்றலை குறி,అలల గుర్తు
rippled Badarian vase,लहरदार बडेरी कलश,rippled বদৰিয়ান ফুলদানি,ripped Badarian দানি,લહેરાયેલ બડેરિયન ફૂલદાની,ಅಲೆಗಳ ಬಡರಿಯನ್ ಹೂದಾನಿ,അലകളുയർന്ന ബദരിയൻ പാത്രം,लहरी बदरियन फुलदाणी,ବାଦାରିଆନ୍ ପାତ୍ର |,rippled Badarian ਫੁੱਲਦਾਨ,அலையடித்த பதரியன் குவளை,అలలుగా బదరియన్ జాడీ
rise,"आरोह, चढ़ाव",উদয় হোৱা,উঠা,વધારો,ಏರಿಕೆ,ഉയരുക,उदय,ଉଠ,ਵਧਣਾ,உயர்வு,పెరుగుతాయి
riser,आरोहक-सोपान,riser,রাইজার,રાઈઝર,ರೈಸರ್,ഉദയം,राइजर,ରାଇଜର,ਰਾਈਜ਼ਰ,எழுச்சி,రైసర్
rising,"विप्लव, बल्वी",rising,উদীয়মান,વધતું,ಏರುತ್ತಿದೆ,ഉയരുന്നു,वाढत आहे,ଉଠୁଛି |,ਵਧ ਰਿਹਾ ਹੈ,உயரும்,పెరుగుతున్నాయి
Riss glaciation,रिस हिमावर्तन,ৰিছ হিমবাহ,রিস হিমবাহ,રીસ હિમનદી,ರಿಸ್ ಹಿಮನದಿ,റിസ് ഗ്ലേസിയേഷൻ,Riss हिमनदी,ରିସ୍ ଗ୍ଲାସିଏସନ୍ |,ਰਿਸ ਗਲੇਸ਼ੀਏਸ਼ਨ,ரிஸ் பனிப்பாறை,రిస్ హిమానీనదం
ritualistic,कर्मकांडीय,আচাৰ-ব্যৱহাৰৰ,আচারিক,ધાર્મિક,ಶಾಸ್ತ್ರೋಕ್ತ,ആചാരപരമായ,विधी,ରୀତିନୀତି,ਰਸਮੀ,சடங்கு,ఆచారబద్ధమైన
river deposits,नदी निक्षेप,নদীৰ নিক্ষেপ,নদীর আমানত,નદી થાપણો,ನದಿ ನಿಕ್ಷೇಪಗಳು,നദി നിക്ഷേപങ്ങൾ,नदी ठेवी,ନଦୀ ଜମା,ਨਦੀ ਡਿਪਾਜ਼ਿਟ,நதி வைப்பு,నది నిక్షేపాలు
river terrace,"नदी वेदिका, नदी उत्तल",নদীৰ টেৰেচ,নদীর বারান্দা,નદી ટેરેસ,ನದಿ ತಾರಸಿ,നദി ടെറസ്,नदीची टेरेस,ନଦୀ ଟେରାସ୍ |,ਨਦੀ ਦੀ ਛੱਤ,நதி மொட்டை மாடி,నది చప్పరము
rock bed,शैल संस्तर,শিলৰ বিচনা,শিলা বিছানা,રોક બેડ,ಕಲ್ಲಿನ ಹಾಸಿಗೆ,പാറ കിടക്ക,रॉक बेड,ପଥର ଶଯ୍ୟା |,ਚੱਟਾਨ ਦਾ ਬਿਸਤਰਾ,பாறை படுக்கை,రాతి మంచం
rock cut architecture,"शिलावस्तु, शैलकृत वास्तु",শিল কাটি স্থাপত্য,শিলা কাটা স্থাপত্য,રોક કટ આર્કિટેક્ચર,ರಾಕ್ ಕಟ್ ವಾಸ್ತುಶಿಲ್ಪ,റോക്ക് കട്ട് വാസ്തുവിദ്യ,रॉक कट आर्किटेक्चर,ପଥର କଟ୍ ସ୍ଥାପତ୍ୟ |,ਚੱਟਾਨ ਕੱਟ ਆਰਕੀਟੈਕਚਰ,பாறை வெட்டப்பட்ட கட்டிடக்கலை,రాక్ కట్ ఆర్కిటెక్చర్
rock cut cave,"शैलकृत गुफा, शैलगृह",শিল কাটি গুহা,পাথর কাটা গুহা,રોક કાપી ગુફા,ರಾಕ್ ಕಟ್ ಗುಹೆ,പാറ മുറിച്ച ഗുഹ,रॉक कट गुहा,ପଥର କଟା ଗୁମ୍ଫା |,ਚੱਟਾਨ ਕੱਟ ਗੁਫਾ,பாறை வெட்டப்பட்ட குகை,రాక్ కట్ గుహ
rock cut edict,"शिलोत्कीर्ण धर्मादेश, शिलालेख-धर्मादेश, शिलालेख-धर्मादे",শিল কাটি আদেশ,শিলা কাটা আদেশ,રોક કટ હુકમ,ರಾಕ್ ಕಟ್ ಶಾಸನ,പാറ വെട്ടി ശാസന,रॉक कट हुकूम,ରକ୍ କଟ୍ ଏଡିଟ୍ |,ਚੱਟਾਨ ਕੱਟ ਦਾ ਹੁਕਮ,பாறை வெட்டு ஆணை,రాక్ కట్ శాసనం
rock dwelling,शैलकृत निवास,শিলৰ বাসস্থান,শিলা বাসস্থান,રોક નિવાસ,ಬಂಡೆಯ ವಾಸಸ್ಥಾನ,പാറ വാസസ്ഥലം,खडक निवास,ପଥର ନିବାସ,ਚੱਟਾਨ ਨਿਵਾਸ,பாறை குடியிருப்பு,రాతి నివాసం
rock inscription (=rock-cut inscription),शिला-लेख,শিলালিপি (=শিল-কাট শিলালিপি),শিলালিপি (=পাথর কাটা শিলালিপি),રોક શિલાલેખ (= રોક-કટ શિલાલેખ),ಶಿಲಾ ಶಾಸನ (=ರಾಕ್-ಕಟ್ ಶಾಸನ),ശിലാ ലിഖിതം (=പാറ മുറിച്ച ലിഖിതം),रॉक शिलालेख (= रॉक-कट शिलालेख),ପଥର ଲେଖା (= ପଥର କଟା ଲେଖା),ਰਾਕ ਸ਼ਿਲਾਲੇਖ (=ਚਟਾਨ-ਕੱਟ ਸ਼ਿਲਾਲੇਖ),பாறை கல்வெட்டு (=பாறை வெட்டு கல்வெட்டு),శిలా శాసనం (=రాక్-కట్ శాసనం)
rock painting,शैल चित्रकला,শিলৰ চিত্ৰকলা,রক পেইন্টিং,રોક પેઇન્ટિંગ,ರಾಕ್ ಪೇಂಟಿಂಗ್,റോക്ക് പെയിന്റിംഗ്,रॉक पेंटिंग,ପଥର ଚିତ୍ର,ਰਾਕ ਪੇਂਟਿੰਗ,பாறை ஓவியம்,రాక్ పెయింటింగ్
rock shelter,शैलाश्रय,শিলৰ আশ্ৰয়,শিলা আশ্রয়,રોક આશ્રય,ರಾಕ್ ಆಶ್ರಯ,പാറ അഭയം,रॉक निवारा,ପଥର ଆଶ୍ରୟ,ਚੱਟਾਨ ਆਸਰਾ,பாறை தங்குமிடம்,రాక్ షెల్టర్
rojina,रोजीना,ৰজিনা,রোজিনা,રોજિના,ರೋಜಿನಾ,റോജിന,रोजिना,ରୋଜିନା,ਰੋਜ਼ੀਨਾ,ரோஜினா,రోజినా
roll and fillet molding,कुंडल-पट्टी सज्जा,ৰোল আৰু ফিলেট মল্ডিং,রোল এবং ফিললেট ছাঁচনির্মাণ,રોલ અને ફીલેટ મોલ્ડિંગ,ರೋಲ್ ಮತ್ತು ಫಿಲೆಟ್ ಮೋಲ್ಡಿಂಗ್,റോൾ ആൻഡ് ഫില്ലറ്റ് മോൾഡിംഗ്,रोल आणि फिलेट मोल्डिंग,ରୋଲ୍ ଏବଂ ଫିଲେଟ୍ ମୋଲିଡିଂ |,ਰੋਲ ਅਤੇ ਫਿਲਟ ਮੋਲਡਿੰਗ,ரோல் மற்றும் ஃபில்லட் மோல்டிங்,రోల్ మరియు ఫిల్లెట్ మౌల్డింగ్
roll cornice,"कुंडलित कार्निस, कुंडलित कपोतपालि",ৰোল কৰ্নিচ,রোল কার্নিশ,રોલ કોર્નિસ,ರೋಲ್ ಕಾರ್ನಿಸ್,റോൾ cornice,रोल कॉर्निस,ରୋଲ୍ କର୍ନିସ୍ |,ਰੋਲ cornice,ரோல் கார்னிஸ்,రోల్ కార్నిస్
roll moulding,कुंडलिनी,ৰোল মল্ডিং,রোল ছাঁচনির্মাণ,રોલ મોલ્ડિંગ,ರೋಲ್ ಮೋಲ್ಡಿಂಗ್,റോൾ മോൾഡിംഗ്,रोल मोल्डिंग,ରୋଲ୍ ମୋଲିଡିଂ |,ਰੋਲ ਮੋਲਡਿੰਗ,ரோல் மோல்டிங்,రోల్ మౌల్డింగ్
rolled cleavers,वेल्लित विदारणियाँ,ৰোল কৰা ক্লিভাৰ,ঘূর্ণিত cleavers,રોલ્ડ ક્લીવર્સ,ಸುತ್ತಿಕೊಂಡ ಕ್ಲೀವರ್ಗಳು,ഉരുട്ടിയ ക്ലീവറുകൾ,गुंडाळलेले क्लीव्हर्स,ଗଡ଼ାଯାଇଥିବା କ୍ଲିଭର୍ସ |,ਰੋਲਡ ਕਲੀਵਰ,உருட்டப்பட்ட கிளீவர்ஸ்,చుట్టిన క్లీవర్లు
rolled glass,वेल्लित काँच,গুড়ি কৰা কাঁচ,ঘূর্ণিত কাচ,રોલ્ડ કાચ,ಸುತ್ತಿಕೊಂಡ ಗಾಜು,ഉരുട്ടിയ ഗ്ലാസ്,रोल केलेला ग्लास,ଗଡ଼ାଯାଇଥିବା କାଚ |,ਰੋਲਡ ਕੱਚ,உருட்டப்பட்ட கண்ணாடி,చుట్టిన గాజు
