Punjabi,Telugu
ਰੀਸਟਾਰਟ,పున art ప్రారంభం
ਰੀਸਟਾਰਟ ਸਥਿਤੀ,పున art ప్రారంభం
ਨਿਰਦੇਸ਼ ਰੀਸਟਾਰਟ ਕਰੋ,సూచనలను పున art ప్రారంభించండి
ਰੀਸਟਾਰਟ ਪੁਆਇੰਟ,పున art ప్రారంభం
ਰੀਸਟੋਰ,పునరుద్ధరించండి
"ਧਾਰਨ ਅਵਧੀ
 ਚੈਕ","నిలువరించు కాలం
 తనిఖీ"
Retrofit,రెట్రోఫిట్
ਰੀਟਰੋਫਿਟ ਟੈਸਟਿੰਗ,రెట్రోఫిట్ పరీక్ష
ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ,మళ్లీ ప్రయత్నించండి
ਵਾਪਸੀ,తిరిగి
ਵਾਪਸੀ ਦਾ ਪਤਾ,తిరిగి చిరునామా
ਵਾਪਸ ਕਰੋ ਚੈਨਲ,రిటర్న్ ఛానెల్
ਰਿਟਰਨ ਅੱਖਰ,రిటర్న్ క్యారెక్టర్
ਵਾਪਸੀ ਕੋਡ,రిటర్న్ కోడ్
"ਵਾਪਸੀ ਕੋਡ
 ਰਜਿਸਟਰ","రిటర్న్ కోడ్
 రిజిస్టర్"
ਵਾਪਸੀ ਮੁੱਲ,తిరిగి వచ్చిన విలువ
ਵਾਪਸੀ ਨਿਰਦੇਸ਼,రిటర్న్ ఇన్స్ట్రక్షన్
ਵਾਪਸੀ ਦਾ ਨੁਕਸਾਨ,తిరిగి నష్టం
ਵਾਪਸੀ ਦੀ ਮਿਆਦ,తిరిగి వచ్చే కాలం
"ਵਾਪਸ-ਕਰਨ ਲਈ
 ਹਵਾਲਾ
 ਰਿਕਾਰਡਿੰਗ","తిరిగి
 సూచన
 రికార్డింగ్"
"ਰਿਟਰਨ-ਟੂ-ਜ਼ੀਰੋ
 ਰਿਕਾਰਡਿੰਗ","రిటర్న్-టు-జీరో
 రికార్డింగ్"
ਮੁੜ ਵਰਤੋਂ ਯੋਗ ਪ੍ਰੋਗਰਾਮ,పునర్వినియోగ కార్యక్రమం
ਮੁੜ ਵਰਤੋਂਯੋਗ ਸਰੋਤ,పునర్వినియోగ వనరు
ਮੁੜ ਵਰਤੋਂਯੋਗ ਰੁਟੀਨ,పునర్వినియోగ దినచర్య
ਤਬਦੀਲੀ,రివర్సల్ ఫంక్షన్
ਉਲਟਾ ਬਰੇਕ,రివర్స్ బ్రేక్
ਰਿਵਰਸ ਕੈਪਸਟਾਨ,రివర్స్ క్యాప్స్టాన్
ਉਲਟਾ ਚੈਨਲ,రివర్స్ ఛానెల్
"ਉਲਟਾ ਚੈਨਲ
 ਸਮਰੱਥਾ","రివర్స్ ఛానెల్
 సామర్ధ్యం"
ਉਲਟਾ ਕਲਿੱਪਿੰਗ,రివర్స్ క్లిప్పింగ్
"ਉਲਟਾ ਕੋਡ
 ਸ਼ਬਦਕੋਸ਼","రివర్స్ కోడ్
 నిఘంటువు"
"ਉਲਟਾ ਦਿਸ਼ਾ
 ਵਹਾਅ","రివర్స్ డైరెక్షన్
 ప్రవాహం"
ਉਲਟਾ ਇੰਡੈਕਸਿੰਗ,రివర్స్ ఇండెక్సింగ్
"ਰਿਵਰਸ ਰਿਕਵਰੀ
 ਸਮਾਂ","రివర్స్ రికవరీ
 సమయం"
ਉਲਟਾ ਵੀਡੀਓ,రివర్స్ వీడియో
ਵਾਪਸੀਯੋਗ ਕਾਉਂਟਰ,రివర్సిబుల్ కౌంటర్
"ਉਲਟਾ
 ਚੁੰਬਕੀ ਪ੍ਰਕਿਰਿਆ","రివర్సిబుల్
 అయస్కాంత ప్రక్రియ"
ਵਾਪਸੀਯੋਗ ਪ੍ਰਕਿਰਿਆ,రివర్సిబుల్ ప్రక్రియ
ਕਵਿਤਾ ਕਵਿਤਾ,రివైండ్ కీ
ਰੀਵਾਈਡ ਟਾਈਮ,సమయం రివైండ్ చేయండి
ਮੁੜ ਲਿਖੋ,తిరిగి వ్రాయడం
ਸਹੀ ਜਾਇਜ਼,కుడి సమర్థన
"ਸੱਜੇ ਲੀਨੀਅਰ
 ਵਿਆਕਰਣ","కుడి సరళ
 వ్యాకరణం"
ਸੱਜਾ ਸ਼ਿਫਟ,కుడి షిఫ్ట్
ਸਹੀ ਉਪਸ੍ਰੀ,కుడి సబ్‌ట్రీ
ਰਿੰਗ,రింగ్
ਵਾਪਸ ਟੋਨ ਰਿੰਗ ਕਰੋ,రింగ్ బ్యాక్ టోన్
ਰਿੰਗ ਮੈਡਕਟਰ,రింగ్ కండక్టర్
ਰਿੰਗ ਕਾਉਂਟਰ,రింగ్ కౌంటర్
ਰਿੰਗ,రింగ్ డౌన్
ਰਿੰਗ ਨੈਟਵਰਕ,రింగ్ నెట్‌వర్క్
"ਰਿੰਗ ਸ਼ਿਫਟ (= ਚੱਕਰਵਾਦ)
 ਸ਼ਿਫਟ)","రింగ్ షిఫ్ట్ (= చక్రీయ
 మార్పు)"
ਰਿੰਗ ਯਾਤਰਾ,రింగ్ ట్రిప్
"ਰਿਪਲ ਕੈਰੀ ਐਡਰ
 (= ਰਿਪਲ ਐਡਮਰ)","అలల క్యారీ యాడర్
 (= అలల అడెర్)"
ਰਿਪਲ ਕਾ counter ਂਟਰ,అలల కౌంటర్
ਵਧਣ ਦਾ ਸਮਾਂ,లేచే సమయము
ਖਤਰੇ ਦਾ ਮੁਲਾਂਕਣ,ప్రమాదం యొక్క అంచనా
ਰੋਲ ਸੰਕੇਤਕ,పాత్ర సూచిక
ਵਾਪਸ ਰੋਲ ਕਰੋ,వెనుకకు రోల్ చేయండి
ਵਾਪਸ ਲੈ ਜਾਓ ਰੁਟੀਨ,రోల్ బ్యాక్ రొటీన్
ਅੰਦਰ ਰੋਲ,వరుసలో
ਵੇਲਨਾ,విడుదల
ਰੋਟਰੀ ਡਾਇਲ,రోటరీ డయల్
ਹਦਾਇਤਾਂ ਨੂੰ ਘੁੰਮਾਓ,బోధనను తిప్పండి
"ਰੋਟੇਸ਼ਨਲ ਸਥਿਤੀ
 ਸੈਂਸਿੰਗ","భ్రమణ స్థానం
 సెన్సింగ్"
"ਰੋਟੇਸ਼ਨਲ ਸਥਿਤੀ
 ਸੈਂਸਰ","భ్రమణ స్థానం
 నమోదు చేయు పరికరము"
ਗੋਲ ਗਲਤੀ,రౌండింగ్ లోపం
ਰੂਟ ਖੰਡ,మార్గం విభాగం
ਰੁਟੀਨ,దినచర్య
ਰੂਟਿੰਗ,రౌటింగ్
ਰੁਕੀ,రౌటింగ్ అనుబంధం
ਰੂਟਿੰਗ ਕੋਡ,రౌటింగ్ కోడ్
ਰੂਟਿੰਗ ਇੰਡੀਕੇਟਰ,రౌటింగ్ సూచిక
ਰੂਟਿੰਗ ਕੁੰਜੀ,రౌటింగ్ కీ
ਰੂਟਿੰਗ ਟੈਸਟ,రౌటింగ్ పరీక్ష
ਕਤਾਰ ਬਾਈਨਰੀ,రో బైనరీ
ਕਤਾਰ ਕਾਲਮ,వరుస కాలమ్
ਕਤਾਰ ਪਿੱਚ,వరుస పిచ్
ਕਤਾਰ ਸਕੈਨਿੰਗ,రో స్కానింగ్
ਕਤਾਰ ਵੈਕਟਰ,వరుస వెక్టర్
ਰਨ,రన్
ਰਨ ਬੁੱਕ,రన్ బుక్
ਚਾਰਟ ਚਲਾਓ,రన్ చార్ట్
ਡਾਇਗਰਾਮ ਚਲਾਓ,రన్ రేఖాచిత్రం
ਰਨ ਅਵਧੀ,రన్ వ్యవధి
ਲੋਕੇਟਰ ਚਲਾਓ,లొకేటర్‌ను రన్ చేయండి
ਰਨ ਮੋਡ,రన్ మోడ్
ਚੱਲ ਰਿਹਾ ਸਮਾਂ,నడుస్తున్న సమయం
ਕਦਮ ਚਲਾਓ,దశ దశ
ਚਲਾਏ ਗਏ ਕਾਰਜਕਾਰੀ,రన్ షెడ్యూల్
ਸਟ੍ਰੀਮ ਚਲਾਓ,రన్ స్ట్రీమ్
"ਸਮਾਂ ਚਲਾਓ
 (= ਕਾਰਜਕਾਰੀ
 ਸਮਾਂ)","రన్ సమయం
 (= అమలు
 సమయం)"
ਯੂਨਿਟ ਚਲਾਓ,రన్ యూనిట్
"ਨਮੂਨਾ ਵਾਲਾ ਡਾਟਾ
 ਸਿਸਟਮ","నమూనా డేటా
 వ్యవస్థ"
ਨਮੂਨਾ,నమూనా
ਸੈਮ (ਕ੍ਰਮਵਾਰ ਪਹੁੰਚ ਵਿਧੀ),సామ్ (సీక్వెన్షియల్ యాక్సెస్ పద్ధతి)
ਸੈਟੇਲਾਈਟ ਕੰਪਿਕਾ,ఉపగ్రహ కంప్యూటర్
ਸੈਟੇਲਾਈਟ ਪ੍ਰੋਸੈਸਰ,ఉపగ్రహ ప్రాసెసర్
ਸੈਟੇਲਾਈਟ ਰਿਲੇਅ,ఉపగ్రహ రిలే
ਸੰਤੁਸ਼ਟੀ,సంతృప్తి
"ਸੰਤੁਸ਼ਟੀ
 ਸਮੱਸਿਆ","సంతృప్తి
 సమస్య"
ਸੰਤ੍ਰਿਪਤਾ,సంతృప్తత
ਸੰਤ੍ਰਿਪਤ ਆਵਾਜ਼,సంతృప్త శబ్దం
ਸੰਤ੍ਰਿਪਤ ਟੈਸਟਿੰਗ,సంతృప్త పరీక్ష
ਸੰਭਾਲੋ ਖੇਤਰ,ప్రాంతాన్ని సేవ్ చేయండి
ਸਕੇਲਰ,స్కేలార్
ਸਕੇਲਰ ਆਈਟਮ,స్కేలార్ అంశం
ਸਕੇਲਰ ਵੇਰੀਏਬਲ,స్కేలార్ వేరియబుల్
ਸਕੇਲਰ ਫੈਕਟਰ,స్కేలార్ కారకం
ਸਕੇਲਿੰਗ,స్కేలింగ్
ਸਕੈਨ,స్కాన్
ਸਕੈਨਰ,స్కానర్
ਸਕੈਨਿੰਗ ਸੀਮਾ,స్కానింగ్ పరిమితి
ਸਕੈਨਿੰਗ ਮਸ਼ੀਨ,స్కానింగ్ మెషిన్
ਸਕੈਨਿੰਗ ਵਿਧੀ,స్కానింగ్ పద్ధతి
ਸਕੈਨਿੰਗ ਰੇਟ,స్కానింగ్ రేటు
ਸਕੈਨ ਯੂਨਿਟ,స్కానింగ్ యూనిట్
ਸਕੈਨ ਪੀਰੀਅਡ,స్కాన్ కాలం
ਸਕੈਟਰ ਫਾਰਮੈਟ,స్కాటర్ ఫార్మాట్
ਸਕੈਟਰ ਪਾੜੇ,స్కాటర్ గ్యాప్
ਸਕੈਟਰ ਲੋਡਿੰਗ,స్కాటర్ లోడింగ్
ਸਕੈਟਰ ਪੜ੍ਹੋ,స్కాటర్ చదవండి
"ਤਹਿ
 ਡਾ time ਨਟਾਈਮ","షెడ్యూల్ చేయబడింది
 పనికిరాని సమయం"
"ਤਹਿ
 ਰੱਖ ਰਖਾਵ","షెడ్యూల్ చేయబడింది
 నిర్వహణ"
"ਤਹਿ
 ਓਪਰੇਸ਼ਨ","షెడ్యూల్ చేయబడింది
 ఆపరేషన్"
"ਅੱਪਡੇਟ ਅੱਯੂਬ
 (= ਸ਼ਡਿ r ਲਰ)","షెడ్యూల్ ఉద్యోగం
 (= షెడ్యూలర్)"
"ਸਮਾਸੂਚੀ, ਕਾਰਜ - ਕ੍ਰਮ
 ਰੱਖ ਰਖਾਵ","షెడ్యూల్
 నిర్వహణ"
"ਸ਼ਡਿ r ਲਰ
 (= ਤਹਿ ਨੌਕਰੀ)","షెడ్యూలర్
 (= షెడ్యూల్ ఉద్యోగం)"
"ਸ਼ਡਿ r ਲਰ ਕੰਮ
 ਖੇਤਰ","షెడ్యూలర్ పని
 ప్రాంతం"
"ਤਹਿ ਕਰਨਾ
 ਐਲਗੋਰਿਦਮ","షెడ్యూలింగ్
 అల్గోరిథం"
ਤਹਿ,షెడ్యూలింగ్ సిద్ధాంతం
ਸਕੀਮਾ,స్కీమా
ਸ਼ਮਸਿਟ ਟਰਿੱਗਰ,ష్మిత్ ట్రిగ్గర్
"ਸਕੋਨਹੇਜ
 ਐਲਗੋਰਿਦਮ","స్కోన్‌హేజ్
 అల్గోరిథం"
"ਵਿਗਿਆਨਕ
 ਹਦਾਇਤ ਸੈਟ","శాస్త్రీయ
 ఇన్స్ట్రక్షన్ సెట్"
ਵਿਗਿਆਨਕ ਸੰਕੇਤ,శాస్త్రీయ సంజ్ఞామానం
ਘੁਟਾਲੇ,కత్తెర
ਸਕੋਰ ਕਾਰਡ,స్కోరు కార్డు
ਸਕ੍ਰੈਮਬਲਰ,స్క్రాంబ్లర్
ਸਕ੍ਰੈਚ,స్క్రాచ్
ਸਕ੍ਰੈਚ ਪੈਡ,స్క్రాచ్ ప్యాడ్
ਸਕ੍ਰੈਚ ਟੇਪ,స్క్రాచ్ టేప్
ਸਕਰੀਨ,స్క్రీన్
"ਸਕਰੀਨ ਗੁਣ
 ਬਾਈਟ","స్క్రీన్ లక్షణం
 బైట్"
ਸਕ੍ਰੀਨ ਸੰਪਾਦਕ,స్క్రీన్ ఎడిటర్
ਸਕਰੀਨ ਜੇਨਰੇਟਰ,స్క్రీన్ జనరేటర్
ਸਕ੍ਰੀਨ ਲੋਡ,స్క్రీన్ లోడ్
"ਸਕਰੀਨ ਮੁਖੀ
 ਪ੍ਰੋਗਰਾਮ","స్క్రీన్ ఆధారిత
 ప్రోగ్రామ్"
ਸਕ੍ਰੀਨ ਪੜੋ,స్క్రీన్ రీడ్
ਸਕ੍ਰੌਲ ਕਰੋ,స్క్రోల్
"ਖੋਜ ਅਤੇ
 ਸੰਮਿਲਨ
 ਐਲਗੋਰਿਦਮ","శోధన మరియు
 చొప్పించడం
 అల్గోరిథం"
ਖੋਜ ਚੱਕਰ,శోధన చక్రం
ਖੋਜ,శోధిస్తోంది
ਖੋਜ ਕੁੰਜੀ,శోధన కీ
ਖੋਜ ਭਾਸ਼ਾ,శోధన భాష
ਖੋਜ ਦਾ ਸਮਾਂ,శోధన సమయం
ਖੋਜ ਰੁੱਖ,శోధన చెట్టు
ਖੋਜ ਸ਼ਬਦ,శోధన పదం
ਸੈਕੰਡਰੀ ਐਕਸੈਸ,ద్వితీయ ప్రాప్యత
ਸੈਕੰਡਰੀ ਕੰਸੋਲ,ద్వితీయ కన్సోల్
"ਸੈਕੰਡਰੀ ਕੰਟਰੋਲ
 ਬਿੰਦੂ","ద్వితీయ నియంత్రణ
 పాయింట్"
"ਸੈਕੰਡਰੀ
 ਮੰਜ਼ਿਲ","ద్వితీయ
 గమ్యం"
"ਸੈਕੰਡਰੀ ਐਂਟਰੀ
 ਬਿੰਦੂ","ద్వితీయ ప్రవేశం
 పాయింట్"
ਸੈਕੰਡਰੀ ਫਾਈਲ,ద్వితీయ ఫైల్
ਸੈਕੰਡਰੀ ਕੁੰਜੀ,ద్వితీయ కీ
"ਸੈਕੰਡਰੀ ਲਾਜ਼ੀਕਲ
 ਯੂਨਿਟ ਕੁੰਜੀ","ద్వితీయ తార్కిక
 యూనిట్ కీ"
ਸੈਕੰਡਰੀ ਮੈਮੋਰੀ,సెకండరీ మెమరీ
ਸੈਕੰਡਰੀ ਸਟੇਸ਼ਨ,ద్వితీయ స్టేషన్
ਸੈਕੰਡਰੀ ਸਟੋਰੇਜ,ద్వితీయ నిల్వ
ਸੈਕੰਡਰੀ ਸਟੋਰ,సెకండరీ స్టోర్
"ਦੂਜਾ ਕੰਪਿ computer ਟਰ
 ਉਮਰ","రెండవ కంప్యూటర్
 వయస్సు"
"ਦੂਜੀ ਪੀੜ੍ਹੀ
 ਕੰਪਿ computer ਟਰ","రెండవ తరం
 కంప్యూటర్"
"ਦੂਜਾ ਪੱਧਰ
 ਸੰਬੋਧਨ ਕਰਨਾ","రెండవ స్థాయి
 చిరునామా"
ਦੂਜਾ ਸਰੋਤ,రెండవ మూలం
ਵਿਭਾਗੀ ਕੇਂਦਰ,సెక్షనల్ సెంటర్
ਸੈਕਸ਼ਨ ਹੈਡਰ,విభాగం శీర్షిక
ਭਾਗ ਦਾ ਨਾਮ,విభాగం పేరు
ਭਾਗ ਨੰਬਰ,విభాగం సంఖ్య
ਭਾਗ ਪਾਠ,విభాగం వచనం
ਸੁਰੱਖਿਆ,భద్రత
"ਸੁਰੱਖਿਆ
 ਸਰਟੀਫਿਕੇਸ਼ਨ","భద్రత
 ధృవీకరణ"
ਖੇਤਰ ਦੀ ਭਾਲ ਕਰੋ,ప్రాంతాన్ని వెతకండి
ਕੁੰਜੀ ਭਾਲੋ,కీని వెతకండి
ਸਮਾਂ ਭਾਲੋ,సమయం వెతకండి
ਖੰਡ ਨਿਸ਼ਾਨ,సెగ్మెంట్ మార్క్
ਖੰਡ ਨੰਬਰ,సెగ్మెంట్ సంఖ్య
ਸਿਖਾਉਣ ਦਾ ਸੰਕੇਤ,సిగ్నల్ స్వాధీనం
ਚੁਣੋ,ఎంచుకోండి
ਚੋਣ ਚੈੱਕ,ఎంపిక తనిఖీ
ਚੋਣ ਅਨੁਪਾਤ,ఎంపిక నిష్పత్తి
ਚੋਣ-ਤਬਦੀਲੀ ਪਹੁੰਚ,ఎంపిక-పునరుద్ధరణ విధానం
ਚੋਣ ਸਿਗਨਲ,ఎంపిక సిగ్నల్
ਚੋਣ ਕ੍ਰਮਬੱਧ,ఎంపిక క్రమబద్ధీకరణ
ਚੋਣ ਦਾ ਸਮਾਂ,ఎంపిక సమయం
ਚੋਣਵੇਂ ਅਸੈਂਬਲੀ,సెలెక్టివ్ అసెంబ్లీ
ਚੋਣਵੇਂ ਕਾਲਿੰਗ,సెలెక్టివ్ కాలింగ్
ਚੋਣਵੇਂ ਬਿਲਡਰ,సెలెక్టివ్ కాంబినర్
ਚੋਣਵੇਂ ਡੰਪ,సెలెక్టివ్ డంప్
ਚੋਣਵੇਂ ਮਿਟਾਓ,సెలెక్టివ్ ఎరేస్
ਚੋਣਵੇਂ ਫੇਡਿੰਗ,సెలెక్టివ్ ఫేడింగ్
ਚੋਣਵੇਂ ਸੂਚੀ,సెలెక్టివ్ ఇండెక్స్
ਚੋਣਵੀਂ ਸੂਚੀ,సెలెక్టివ్ లిస్టింగ్
ਚੋਣਵੇਂ ਰਿੰਗਿੰਗ,సెలెక్టివ్ రింగింగ్
ਚੋਣਵੇਂ ਟਰੇਸ,సెలెక్టివ్ ట్రేస్
ਲਾਈਨ ਚੁਣੋ,పంక్తిని ఎంచుకోండి
ਚੋਣਕਾਰ,సెలెక్టర్
ਚੋਣਕਾਰ ਚੈਨਲ,సెలెక్టర్ ఛానెల్
ਚੋਣਕਾਰ mode ੰਗ,సెలెక్టర్ మోడ్
ਚੋਣਕਾਰ ਕਲਮ,సెలెక్టర్ పెన్
"ਸਵੈ-ਅਨੁਕੂਲ
 ਕੰਪਿ computer ਟਰ","స్వీయ-అనుకూల
 కంప్యూటర్"
"ਸਵੈ-ਅਨੁਕੂਲ
 ਪ੍ਰਕਿਰਿਆ","స్వీయ-అనుకూల
 ప్రక్రియ"
"ਸਵੈ-ਅਨੁਕੂਲ
 ਪ੍ਰੋਗਰਾਮ","స్వీయ-అనుకూల
 ప్రోగ్రామ్"
ਸਵੈ ਚੈਕਿੰਗ ਕੋਡ,స్వీయ తనిఖీ కోడ్
"ਸਵੈ-ਜਾਂਚ
 ਗਿਣਤੀ","స్వీయ తనిఖీ
 సంఖ్య"
"ਸਵੈ-ਕੰਪਾਈਲਿੰਗ
 ਕੰਪਿ computer ਟਰ","స్వీయ పరిహారం
 కంప్యూటర్"
ਸਵੈ-ਪੂਰਕ ਕੋਡ,స్వీయ-పూర్తి కోడ్
ਸਵੈ ਪਰਿਭਾਸ਼ਾ,స్వీయ నిర్వచించడం
"ਸਵੈ ਪਰਿਭਾਸ਼ਾ
 ਡੀਲਿਮਿਟਰ","స్వీయ నిర్వచించడం
 డీలిమిటర్"
ਸਵੈ-ਪ੍ਰਭਾਸ਼ਿਤ ਅਵਧੀ,స్వీయ నిర్వచించే పదం
"ਸਵੈ ਖੋਜ
 ਕੋਡ","సెల్ఫ్ డిమార్కింగ్
 కోడ్"
ਸਵੈ-ਦੋਹਰਾ,స్వీయ-ద్వంద్వ
ਸਵੈ ਵਿਸਤਾਰ,స్వీయ విస్తరణ
ਸਵੈ-ਸਿਖਲਾਈ,స్వంతగా నేర్చుకొనుట
ਸਵੈ-ਸਿਖਲਾਈ ਪ੍ਰਕਿਰਿਆ,స్వీయ అభ్యాస ప్రక్రియ
"ਸਵੈ ਨਿਗਰਾਨੀ
 ਸਿਸਟਮ","స్వీయ పర్యవేక్షణ
 వ్యవస్థ"
"ਸਵੈ-ਸੰਗਠਿਤ
 ਕੰਪਿ computer ਟਰ","స్వీయ ఆర్గనైజింగ్
 కంప్యూటర్"
"ਸਵੈ-ਸੰਗਠਿਤ
 ਪ੍ਰੋਗਰਾਮ","స్వీయ ఆర్గనైజింగ్
 ప్రోగ్రామ్"
"ਸਵੈ-ਸੰਗਠਿਤ
 ਸਿਸਟਮ","స్వీయ ఆర్గనైజింగ్
 వ్యవస్థ"
ਸਵੈ-ਹਵਾਲਾ ਸੂਚੀ,స్వీయ సూచన జాబితా
"ਸਵੈ-ਰਿਸ਼ਤੇਦਾਰ
 ਪਤਾ","స్వీయ బంధువు
 చిరునామా"
"ਸਵੈ-ਰਿਸ਼ਤੇਦਾਰ
 ਸੰਬੋਧਨ ਕਰਨਾ","స్వీయ బంధువు
 చిరునామా"
"ਸਵੈ-ਬਦਲਣਾ
 ਪ੍ਰੋਗਰਾਮ","స్వీయ-సంబంధం
 ప్రోగ్రామ్"
ਸਵੈ-ਰੀਸੈਟਿੰਗ ਲੂਪ (= ਸਵੈ ਰੀਸਟੋਰਿੰਗ ਲੂਪ),స్వీయ-పున est ప్రారంభం లూప్ (= స్వీయ పునరుద్ధరణ లూప్)
ਸਵੈ-ਬਹਾਲ ਲੂਪ,స్వీయ పునరుద్ధరించే లూప్
ਸੈਮੈਂਟਿਕ ਮੈਟ੍ਰਿਕਸ,సెమాంటిక్ మ్యాట్రిక్స్
ਸੈਮੈਂਟਿਕ ਨੈਟਵਰਕ,సెమాంటిక్ నెట్‌వర్క్
ਅਰਥਵਾਦੀ,సెమాంటిక్స్
"ਸੈਮੀਕੋਂਡਕਟਰ
 ਲੇਜ਼ਰ","సెమీకండక్టర్
 లేజర్"
"ਅਰਧ-ਕੰਡਕਟਰ
 ਯਾਦਦਾਸ਼ਤ","సెమీ కండక్టర్
 మెమరీ"
ਅਰਧ-ਸਮੂਹ,సెమీ గ్రూప్
ਅਰਧ-ਰਿੰਗ,సెమీ-రింగ్
ਅਰਧ-ਥਯੂ ਸਿਸਟਮ,సెమీ-త్యూ సిస్టమ్
"ਭੇਜਣ ਵਾਲੇ-ਰਿਸੀਵਰ
 ਅਖੀਰੀ ਸਟੇਸ਼ਨ","పంపినవారి-రిసీవర్
 టెర్మినల్"
ਸਿਰਫ ਸੇਵਾ ਭੇਜੋ,పంపండి-మాత్రమే సేవ
ਭਾਵਨਾ,సెన్స్
ਸੈਂਸ ਐਂਪਲੀਫਾਇਰ,సెన్స్ యాంప్లిఫైయర్
ਭਾਵਨਾ ਚਾਨਣ,సెన్స్ లైట్
ਸੈਂਸ ਸਵਿੱਚ,సెన్స్ స్విచ్
ਭਾਵਨਾ ਹਵਾ,సెన్స్ వైండింగ్
ਸੈਂਸਿੰਗ ਤੱਤ,సెన్సింగ్ ఎలిమెంట్
ਸੈਂਸਿੰਗ ਸਿਗਨਲ,సెన్సింగ్ సిగ్నల్
ਸੈਂਸਿੰਗ ਸਟੇਸ਼ਨ,సెన్సింగ్ స్టేషన్
ਸੈਂਸਰ,నమోదు చేయు పరికరము
ਸੈਂਸਰ ਅਧਾਰਤ,సెన్సార్ ఆధారిత
ਸੈਂਸਰ ਅਧਾਰਤ ਕੰਪਿ computer ਟਰ,సెన్సార్ ఆధారిత కంప్యూటర్
"ਸੈਂਸਰ ਅਧਾਰਤ
 ਸਿਸਟਮ","సెన్సార్ ఆధారిత
 వ్యవస్థ"
ਸੰਮੇਲਨ ਵਿਸ਼ਲੇਸ਼ਣ,సెన్స్టివిటీ విశ్లేషణ
ਵਾਕ,వాక్యం
ਵਾਕ ਕੁੰਜੀ,వాక్య కీ
ਵਾਕ ਪ੍ਰਤੀਕ,వాక్య చిహ్నం
ਦਿਮਾਗੀ ਫਾਰਮ,సెంటెన్షియల్ ఫారం
STANINEL (= ਝੰਡਾ),సెంటినెల్ (= జెండా)
ਵੱਖ ਕਰਨ ਵਾਲੇ,సెపరేటర్
ਸੇਟੇਰੀ ਨੰਬਰ,సెప్టెనరీ సంఖ్య
ਸੇਪਟੀ,సెప్టెట్
ਤਰਤੀਬ,సీక్వెన్స్
ਕ੍ਰਮ ਚੈੱਕ,సీక్వెన్స్ చెక్
"ਕ੍ਰਮ ਚੈਕਿੰਗ
 ਰੁਟੀਨ","సీక్వెన్స్ చెకింగ్
 దినచర్య"
"ਤਰਤੀਬ
 ਕੰਪਿ computer ਟਰ","సీక్వెన్స్
 కంప్యూటర్"
"ਕ੍ਰਮ ਨਿਯੰਤਰਣ
 ਰਜਿਸਟਰ","సీక్వెన్స్ కంట్రోల్
 రిజిస్టర్"
"ਕ੍ਰਮ ਨਿਯੰਤਰਣ
 ਚੇਪੀ","సీక్వెన్స్ కంట్రోల్
 టేప్"
ਕ੍ਰਮ ਕਾਉਂਟਰ,సీక్వెన్స్ కౌంటర్
ਕ੍ਰਮ ਗਲਤੀ,సీక్వెన్స్ లోపం
"ਤਰਤੀਬ
 ਜੇਨਰੇਟਰ","సీక్వెన్స్
 జనరేటర్"
ਕ੍ਰਮ ਮਾਨੀਟਰ,సీక్వెన్స్ మానిటర్
ਕ੍ਰਮ ਪੈਕਿੰਗ,సీక్వెన్స్ ప్యాకింగ్
ਸੀਕੁਇਂਸਰ,సీక్వెన్సర్
ਕ੍ਰਮ ਰਜਿਸਟਰ,సీక్వెన్స్ రిజిస్టర్
ਕ੍ਰਮ ਸਿੰਬਲ,సీక్వెన్స్ సింబల్
ਕ੍ਰਮ ਟਾਈਮਰ,సీక్వెన్స్ టైమర్
ਸੀਕੁਵੈਨਿੰਗ,సీక్వెన్సింగ్
"ਸੀਕੁਵੈਨਿੰਗ
 ਮਾਪਦੰਡ","సీక్వెన్సింగ్
 ప్రమాణం"
ਸੀਕੁਵੈਨਿੰਗ ਕੁੰਜੀ,సీక్వెన్సింగ్ కీ
ਤਵੀਦਾਰ,సీక్వెన్సీ
ਕ੍ਰਮਵਾਰ ਪਹੁੰਚ,సీక్వెన్షియల్ యాక్సెస్
"ਕ੍ਰਮਵਾਰ ਪਹੁੰਚ
 ਵਿਧੀ","సీక్వెన్షియల్ యాక్సెస్
 విధానం"
"ਕ੍ਰਮਵਾਰ ਪਹੁੰਚ
 ਸਟੋਰੇਜ","సీక్వెన్షియల్ యాక్సెస్
 నిల్వ"
"ਕ੍ਰਮਵਾਰ
 ਐਲਗੋਰਿਦਮ","సీక్వెన్షియల్
 అల్గోరిథం"
"ਕ੍ਰਮਵਾਰ ਬੈਚ
 ਕਾਰਵਾਈ","సీక్వెన్షియల్ బ్యాచ్
 ప్రాసెసింగ్"
ਕ੍ਰਮਵਾਰ ਸਰਕਟ,సీక్వెన్షియల్ సర్క్యూట్
"ਕ੍ਰਮਵਾਰ
 ਸ਼ੁਭਕਾਮਨਾਵਾਂ","సీక్వెన్షియల్
 కొల్లాటింగ్"
"ਕ੍ਰਮਵਾਰ
 ਕੰਪਿ computer ਟਰ","సీక్వెన్షియల్
 కంప్యూటర్"
ਕ੍ਰਮਵਾਰ ਡਾਟਾ ਸੈੱਟ,సీక్వెన్షియల్ డేటా సెట్
ਕ੍ਰਮਵਾਰ ਫਾਈਲ,సీక్వెన్షియల్ ఫైల్
