ab initio,আৰম্ভৰপৰা
single entry system,একল প্রৱিষ্টি পদ্ধতি
single fare,একল ভাৰা
single file system,একল ফাইল পদ্ধতি
sir,মহোদয়
site,"স্থান, স্থল, থলী"
site plan,স্থল-নক্সা
sitting member,আসীন সদস্য
situation,1. অৱস্থিতি 2. পৰিস্থিতি
situations vacant,(বিজ্ঞাপন) ৰিক্ত স্থান
situations wanted,(বিজ্ঞাপন) কাম লাগে
skeleton staff,অত্যল্প কর্মচাৰীগণ
skilled labourer,কুশল শ্রমিক
slack season,"মন্দাৰ সময়, অলস কাল"
slackness,শিথিলতা
slander,মিথ্যা অপযশ
sleeper class,"শয়ন দবা, শোৱনি শ্রেণী"
sliding scale,(মূল্যমানৰ লগত বেতনৰ) সামঞ্জস্য ব্যৱস্থা
slip,"ছিটা, পটি, ৰোকা"
slow down,"মন্থৰ হ, ধীৰে চল"
slum,বস্তি
slump,হঠাতে হোৱা মন্দাৱস্থা
small savings fund,ক্ষুদ্র সঞ্চয় নিধি
small scale enterprise,লঘু উদ্যম
small scale industry,লঘু উদ্যোগ
smartness,"সপ্রতিভ অৱস্থা, প্রাণচঞ্চলতা"
smooth,নির্বিঘ্ন
snap inspection,আকস্মিক নিৰীক্ষণ
snap strike,আকস্মিক ধর্মঘট
social security,সামাজিক সুৰক্ষা
social welfare,সামাজিক কল্যাণ
software,"চফ্‌ট্‌ৱেৰ, প্রক্রিয়া সামগ্রী"
sojourn,"অৱস্থান, বিৰাম"
sole,1.একমাত্র 2. একল
sole agency,একল অভিকৰণ
sole owner,এক মাত্র গৰাকী
solemn,1.সত্যনিষ্ঠা 2. গম্ভীৰ
solemn affirmation,সত্যনিষ্ঠ প্রতিজ্ঞান
solemnity,"সত্যনিষ্ঠা, গম্ভীৰতা, গাম্ভীর্য্য"
solemnize,বিধিবৎ অনুষ্ঠাপিত কৰ
solemnly,সত্যনিষ্ঠাপূর্বক
solicit,বাঞ্চা কৰ
solidarity,"সংহতি, একোদ্দেশ্য"
solitary,"1.একান্ত 2. একমাত্র, অকলশৰীয়া"
solitary case,অকলশৰীয়া গোচৰ
solution,সমাধান
solve,সমাধান কৰ
sorting,"শ্রেণী বিভাজন, চিজিল"
sorting appliance,চিজিলকৰণ উপযন্ত্র
source,উৎস
source of income,আয়ৰ উৎস
souvenir,"স্মৃতিচিহ্ন, স্মৃতিগ্রন্থ"
sovereign,সার্বভৌম
sovereignty,সার্বভৌমত্ব
space,"1.মহাকাশ, অন্তৰীক্ষ 2. অন্তৰ, ব্যৱধান 3. স্থান, ঠাই"
spacing,"স্থান বিন্যাস, স্থান ব্যৱধান"
spade work,প্রাৰম্ভিক কার্য্য
spare,অতিৰিক্ত
spare copy,অতিৰিক্ত প্রতি
spare time,অতিৰিক্ত সময়
speaker,1.অধ্যক্ষ 2. বক্তা
special,বিশেষ
special ability test,বিশেষ যোগ্যতা পৰীক্ষণ
special allowance,বিশেষ ভাট্টা
special cell,বিশেষ প্রকোষ্ঠ
special commendation,বিশেষ প্রশংসা
special compensatory allownce,বিশেষ প্রতিকাৰ ভাট্টা
special drive,বিশেষ অভিযান
special grant,বিশেষ অনুদান
special messanger,বিশেষ বার্ত্তাবাহক
special pay,বিশেষ বেতন
special power of attorney,বিশেষ মোক্তাৰনামা
special protection group (SPG),বিশেষ ৰক্ষণ গোট
specialist,বিশেষজ্ঞ
specialization,বিশেষজ্ঞতা
specific,1.সুনির্দিষ্ট 2. বিশিষ্ট
specific denial,স্পষ্ট খণ্ডন
specific reason,বিশিষ্ট কাৰণ
specification,1.সুনির্দিষ্টকৰণ 2. বিশিষ্টকৰণ
specimen signature,নমুনা হস্তাক্ষৰ
speculation,1.আগ-পাচ গুণ 2. হৰণাশংকাপূর্ণ কার্য্য কৰ
speech,বক্তব্য
speed,1. গতি 2. শীঘ্রতা
speed breaker,গতিৰোধক
speed limit,গতি সীমা
speed post,"তীব্র ডাক, স্পীড পোষ্ট্‌"
speedy action,দ্রুত কার্য্যব্যৱস্থা
sphere,ক্ষেত্র
spiral binding,সর্পিল বন্ধনী
split duty,বিভাজিত ডিউটি
spokesman (=spokes person),মুখপাত্র
sponsor,পৃষ্ঠপোষক
sponsorship,পৃষ্ঠপোষকতা
spot inspection,ঘটনাস্থল পৰিদর্শন
spot payment,স্থল ধনদান
spouse,জীৱনসঙ্গী
squad,"উপদল, গোট"
stability,"স্থিৰতা, স্থায়িত্ব"
staff,কর্মচাৰী-বর্গ
staff association,কর্মচাৰী সংঘ
staff inspection unit (SIU),ষ্টাফ নিৰীক্ষণ একক
staff quarter,ষ্টাফ কোৱার্টাৰ
staff room,"কর্মচাৰী কক্ষ, ষ্টাফ ৰূম"
staff welfare fund,কর্মচাৰী কল্যাণ নিধি
stage,"1.অৱস্থা, চৰণ, পর্য্যায় 2. রংগমঞ্চ, মঞ্চ"
stagnation,গতিৰোধ
stake,"1.গোঁজ, খুটি 2. পণ, বাজি 3. সংশয় 4. বঁটা, লাভ 5. ব্যৱসায়ৰ অংশ"
stalemate,অচলাৱস্থা
stamp,"1.টিকট, ষ্টাম্প্‌ 2. মোহৰ, মুদ্রাংক"
stamp duty,ষ্টাম্প্‌ শুল্ক
stamp pad,মোহৰ পেড
stamp paper,ষ্টাম্প্‌ কাগজ
stamped envelope,টিকট লগা লেফাফা
stand,1.থিয় হ 2. অটল হ 3. স্থান অধিকাৰ কৰ 4. প্রার্থী হ 5. চকুত পৰা হ6.সন্মত হ7.সহ্য কৰ8.দায়িত্ব পালন কৰ9.
standard,মানক
standard agreement,মানক চুক্তি
standard deduction,মানক কর্ত্তন
standard format,মানক সংৰূপ
standard man-hours,মানক শ্রম-ঘণ্টা
standard of living,জীৱন নির্বাহৰ মান
standard performance,মানক দক্ষতা
standard rate,মানক হাৰ
standardization,মানকীকৰণ
standby arrangements,আপাত-উপযোগী ব্যৱস্থা
standing,স্থায়ী
standing commission,স্থায়ী আয়োগ
standing committee,স্থায়ী সমিতি
standing order,স্থায়ী আদেশ
standstill,"নিশ্চলতা, পৰিৱর্ত্তনহীনতা"
starred,তরাংকিত
starred question,তরাংকিত প্রশ্ন
starter,আৰম্ভক
starting salary,আৰম্ভিক বেতন
state,"1.ৰাজ্য, প্রদেশ 2. স্থিতি, দশা"
state banquet,ৰাজভোজ
state government,ৰাজ্য চৰকাৰ
state guest,ৰাজকীয় অতিথি
state list,ৰাজ্যিক সূচী
state of health,স্বাস্থ্যৰ অৱস্থা
statement,বিবৃতি
statement of account,লেখা বিৱৰণ
statement of facts,তথ্যৰ বিৱৰণ
statesman,বিচক্ষণ
static,স্থিৰ
station,"ষ্টেছন, কেন্দ্র"
station leave,ষ্টেছন এৰাৰ অনুমতি
stationary stock,স্থিৰ ষ্টক
stationery,লেখন সামগ্রী
statistical,পাৰিসাংখ্যিক
statistical data,পাৰিসাংখ্যিক তথ্য
statistics,পৰিসংখ্যা বিজ্ঞান
status,1.স্থিতি 2. প্রতিষ্ঠা
status quo,স্থিতাৱস্থা
status report,স্থিতি ৰিপোর্ট
status symbol,প্রতিষ্ঠা প্রতীক
statute,"পৰিনিয়ম, বিধান, সংবিধি"
statutory,"সংবিধিবদ্ধ, পৰিনিয়ত, বিধিনির্দেশিত"
statutory body,সংবিধিবদ্ধনিকায়
statutory holiday,সংবিধিবদ্ধঅৱকাশ
statutory rights,সংবিধিবদ্ধঅধিকাৰ
stay,1.স্থগন 2. স্থগনাদেশ
STD (subsriber trunk dialling),এছ.টি.ডি
steady growth,নিয়ত বিকাশ
steep increase,তীব্র বৃদ্ধি
steering committee,"বিষয়- নির্বাচন সমিতি, বিষয়- সম্পাদন সমিতি"
stenography,আশুলিপি
sterilization,1.বন্ধ্যকৰণ 2. নির্বীজাণু কৰণ 3. অক্ষম কৰণ 4. (ভূমি) অনুর্ব্র কৰণ
stern action,কঠোৰ কার্য্যব্যৱস্থা
stigma,"লাঞ্চনা, কলংক"
stimulation,উদ্দীপন
stipend,"বৃত্তি, বেতন"
stipulate,"1.চুক্তি কৰ 2. চর্ত বান্ধি দে 3. কথা দে, প্রতিশ্রুতি দে 4. নির্দিষ্ট কৰ"
stipulated time limit,নির্দিষ্ট কৰি দিয়া সময় সীমা
stipulation,নির্দিষ্ট কৰণ
stock,"সামগ্রী, মাল, ষ্টক"
stock register,ষ্টক ৰেজিষ্টাৰ
stock valuation,মালৰ মূল্যাংকন
stock-taking,ষ্টক বা মালৰ পৰীক্ষা
stopgap arrangement,অতঃকালীন ব্যৱস্থা
storage,"1. ভাণ্ডাৰণ, সংগ্রহণ 2. গোদাম"
storage capacity,ভাণ্ডাৰণ ক্ষমতা
storage space,ভাণ্ডাৰণ স্থল
store,"ভাণ্ডাৰত ৰাখ, সংগ্রহ কৰ, গোদামত ৰাখ"
straight,"1.চিধা, সৰল 2. থিয়, স্পষ্ট"
strain,"চাপ, বিকৃতি"
strange,1.অপৰিচিত 2. বিচিত্র
stranger,"অপৰিচিত, অচিনাকি"
strata,স্তৰ
strategy,"ৰণনীতি, কার্য্যনীতি, কৌশল"
stratification,স্তৰণ
streamline,সুসংবদ্ধ কৰ
strength,1.সামর্থ্য 2. শক্তি 3. সংখ্যা
strengthen,"শক্তিশালী কৰ, মজপুত কৰ"
strenuous,শ্রমসাধ্য
stress,"1.হেঁচা, মানসিক চাপ 2. জোৰ দে, বল দে"
stress management,মানসিক চাপ ব্যৱস্থাপনা
strict,কঠোৰ
strictly,কঠোৰভাৱে
strictness,কঠোৰতা
stricture,কটু সমালোচনা
strike,ধর্মঘট
strike call,ধর্মঘট আহ্বান
stringency,1.সংকোচন 2. কঠোৰতা 3. নাটনি
strip,1. পটী 2. বিমান অৱতৰণ ক্ষেত্র
strive,প্রয়াস কৰ
strong room,1.কোষ কক্ষ 2. সুৰক্ষিত কক্ষ
structural,সংৰচনাত্মক
structure,সংৰচনা
structured interview,সংৰচিত সাক্ষাৎকাৰ
structured pay,সংৰচিত বেতন
struggle,সংঘর্ষ
stubborn,"দৃঢ়চিত্ত, স্থিৰসংকল্প"
studious,1.অধ্যয়নশীল 2. পৰিশ্রমী
study,অধ্যয়ন
study leave,অধ্যয়ন ছুটী
stuff,সামগ্রী
stupendous,"1.প্রকাণ্ড, বৃহৎ 2. চমৎকাৰ, বিস্ময়কৰ"
style,শৈলী
sub (subordinate),উপ
sub sub-paragraph,উপ-উপ পৰিচ্ছেদ
sub-committee,উপ-সমিতি
sub-contract,উপ-চুক্তি
sub-district,উপ-জিলা
sub-division,"1.উপবিভাগ 2. উপমণ্ডল, মহকুমা 3. উপ-বিভাজন"
sub-head,উপ-শীর্ষ
subject,1.বিষয় 2. বিষয়বস্তু 3. প্রজা
subjective,1. আত্মনিষ্ঠ 2. ব্যক্তিনিষ্ঠ
subjudice,ন্যায়াধীন
sublease,উপ-পট্টা
subletting,উপভোৰোণ
submission,"1. প্রস্তুতিকৰণ 2. মানি লোৱা, স্বীকাৰ কৰা 3. নিবেদন 4. সমর্পণ, সমর্পিত কৰা"
submissive,"1.পৰবশপৰায়ণ, আজ্ঞাবহ 2. বিনয়ী, নম্র 3. সৈমান হোৱা, সৈমান"
subordinate office,অধীনস্থ কার্য্যালয়
subordinate services,অধীনস্থ সেৱাসমূহ
subordinate staff,অধীনস্থ কর্মচাৰীবর্গ
subparagraph,উপ-পৰিচ্ছেদ
subrule,উপ-নিয়ম
subscribe,"1. চান্দা বা শুল্ক দে 2. গ্রাহক হ 3. সমর্থন কৰ, সহমত দে 4. হস্তাক্ষৰ কৰ 5. অঙ্গীকাৰ কৰ 6. (চিন্তা) গ"
subscribed capital,প্রত্যয়িত পুঁজি
subscriber,1.দাতা 2. নিয়মিত গ্রাহক
subscription,"1. স্বাক্ষৰপূর্বক গ্রহণ 2. স্বাক্ষৰ কৰণ 3. বৰঙণি, চান্দা 4. গ্রাহকত্ব"
subsection,উপ-ধাৰা
subsequent,"পাছৰ, পৰবর্ত্তী"
subsequent action,পৰবর্ত্তী কার্য্যব্যৱস্থা
subsequently,"পাছত, তৎপশ্চাৎ"
subsidiary,1.গৌণ 2. সহায়ক
subsidiary bodies,1.গৌণ নিকায় 2. সহায়ক নিকায়
subsidiary industry,1.গৌণ উদ্যোগ 2. সহায়ক উদ্যোগ
subsidiary mandate,সহায়ক অধিদেশ
subsidiary receipt,গৌণ প্রাপ্তি
subsidiary register,সহায়ক ৰেজিষ্টাৰ
subsidise,ৰাজসাহায্য দে
subsidised,ৰাজসাহায্যপ্রাপ্ত
subsidized accommodation,ৰাজসাহায্যপ্রাপ্ত আবাস
subsidy,ৰাজসাহায্য
subsistence,নির্বাহ
subsistence allowance,নির্বাহ ভাট্টা
subsistence grant,নির্বাহ অনুদান
substandard,অৱমানক
substantial,1.সাৰবত্তা 2. পর্য্যাপ্ত
substantiate,1.সাৰযুক্ত কৰ 2. বাস্তৱায়িত কৰ 3. সপ্রমাণ কৰ 4. সাবস্ত্য কৰ
substantive,মূল
substantive pay,মূল পদ বেতন
substantive post,মূল পদ
substitute,"1.বদলি কৰ, প্রতিস্থাপিত কৰ, প্রতিকল্প ব্যৱহাৰ কৰ 2. বিকল্প স্বৰূপ হ, প্রতিপাদক হ"
substitution,"প্রতিস্থাপন, প্রতিপাদক"
suburban,উপনগৰীয়
subvention,1. স্থায়ী সাহায্যনিধি 2. নিয়মিত চৰকাৰী সাহায্য
subversion,"ধ্বংস, কুটাঘাতমূলক কার্য্য"
subway,ভূমিগত (পাৰ) পথ
succeeding,পৰবর্ত্তী
succession,উত্তৰাধিকাৰ
successive,"উত্তৰোত্তৰ, আনুক্রমিক"
successor,উত্তৰাধিকাৰী
succour,"(সংকটত)সহায়তা, সহায়তা প্রদান কৰ"
sue,মোকর্দমা চলা
suffer,1.সহ্য কৰ 2. পীড়িত হ
suffering,"কষ্ট, পীড়া"
sufficient,পর্যাপ্ত
suffix,1.শেষত লগাই দিয়া 2. প্রত্যয় পৰসর্গ
suffrage,ভোটদানৰ অধিকাৰ
suggestion,পৰামর্শ
suggestion box,পৰামর্শ বাকচ
suggestions book,পৰামর্শ পুস্তিকা
suggestive,"1.ইঙ্গিত দিয়া, সূচক 2. উত্তেজক, প্রকোপক 3. যৌনগন্ধি"
suicide,আত্মহত্যা
suit,"1. দাবী, মোকর্দ্দমা, বাদ 2. উপযুক্ত হ"
suitability,1.উপযুক্ততা 2. ঔচিত্য
suitable action,উপযুক্ত কাওর্য্যব্যৱস্থা
suited,উপযুক্ত
sum,1.ধনৰাশি 2. যোগফল
sum up,সমাহাৰ কৰ
summarily,1.প্রায় বিনা বিচাৰে 2. সংক্ষিপ্ত কালত
summary,সাৰ
summary trial,সংক্ষিপ্ত বিচাৰ
summing up,"উপসংহাৰ, সমাহাৰ"
summit,1. শিখৰ 2. শীর্ষ সন্মিলন
summon,1. চমঅন জাৰি কৰ 2. মাতি পঠিওৱা
sumptuary allowance,ব্যয় ভাট্টা
sundry,বিবিধ
suo moto,"নিজে নিজে, স্বপ্রেৰণাৰে"
super timescale,অধিসময় মান
superannuation,অধিবর্ষিতা
superannuation pension,অধিবর্ষিতা পেন্সন
superficial,"1.পৃষ্ঠীয় 2. উপৰুৱা, আন্তৰিকতাহীন"
superfluous,1.প্রয়োজনাধিক 2. অপব্যয়পূর্ণ 3. রৈ যোৱা 4. অতিৰিক্ত
superimpose,1. সমাৰোপ কৰ 2. অধ্যাৰোপিত কৰ
superior,"উচ্চ, শ্রেষ্ঠ"
superiority,"উচ্চতা, শ্রেষ্ঠতা"
supernumerary,অধিসংখ্য
supernumerary post,অধিসংখ্য পদ
superscribe,ওপৰত লিখ
superscription,ওপৰলেখন
supersede,অধিক্রমণ কৰ
supersession,অধিক্রমণ
superstructure,অধিৰচনা
supertax,অতিকৰ
supervision,"পর্য্যৱেক্ষণ, তত্ত্বাৱধান"
supervisor,"পর্য্যৱেক্ষক, তত্ত্বাৱধায়ক"
supervisory staff,পর্য্যৱেক্ষী কর্মচাৰী-বর্গ
supplement,1.পৰিশিষ্ট 2. পৰিপূৰক
supplementary,পৰিপূৰক
supplementary budget,পৰিপূৰক বাজেট
supplementary cost,পৰিপূৰক ব্যয়
supplementary demand,পৰিপূৰক দাবী
supplementary grant,পৰিপূৰক অনুদান
supplementary question,পৰিপূৰক প্রশ্ন
supplementary rules,পৰিপূৰক নিয়মাৱলী
supplier,যোগানকাৰী
supply,যোগান
support,1.সমর্থন 2. ভৰণ-পোষণ 3. সহায়তা 4. অৱলম্বন
supporter,সমর্থক
supporting documents,সমর্থক নথি
suppress,দমন
supremacy,সর্বোচ্চতা
supreme,সর্বোচ্চ
surcharge,"অধিভাৰ, ওপৰঞ্চি কৰ"
surety,1.আমানত 2. নিশ্চিততা
surety bond,আমানত বন্ধক-পত্র
surface inspection,পৃষ্ঠীয় নিৰীক্ষণ
surface transport,পথ পৰিবহণ
surgery,"অস্ত্রোপচাৰ, শৈল্য-চিকিৎসা"
surname,উপাধি
surplus,"অধিশেষ, ৰাহি"
surplus budget,ৰাহি বাজেট
surplus report,ৰাহি ৰিপোর্ট
surplus staff,ৰাহি কর্মচাৰী বর্গ
surprise check,আকস্মিক পৰীক্ষা
surprise visit,আকস্মিক ভ্রমণ
surrender,আত্মসমর্পণ
surroundings,পৰিৱেশ
surtax,"অধিকৰ, অতিকৰ"
surveillance,"তীক্ষ্ণ নিৰীক্ষণ, সন্দর্শন"
survey,জৰীপ
survey report,জৰীপ প্রতিবেদন
survival,"উত্তৰজীৱন, উৎবর্তন"
surviving,"উত্তৰজীৱী, অৱশিষ্ট"
survivor,"উত্তৰজীৱী, উৎবর্তক"
susceptibility,"প্রৱণতা, সূক্ষগ্রাহিতা"
suspect,"সন্দেহজনক, সন্দেহ কৰ"
suspend,নিলম্বিত কৰ
suspense,"1. কৌতূহল 2. নিলম্বিত অৱস্থা 3. স্থগন, মূলতবী"
suspense account,মূলতবী জমাবহী
suspension,"নিলম্বন, মূলতবী"
suspension order,নিলম্বন আদেশ
suspicion,"সন্দেহ, সংশয়"
sustainable,স্থায়ী
sustainable growth,স্থায়ী বিকাশ
sustained,স্থায়ী হৈ থকা
swear,শপত গ্রহণ কৰ
swearing-in-ceremony,শপত গ্রহণ অনুষ্ঠান
syllabus,পাঠ্য-বিৱৰণ
symbol,প্রতীক
symmetry,"সমমিতি, সমৰূপতা"
sympathy,"সহানুভূতি, সমবেদনা"
sympathy strike,সহানুভূতি ধর্মঘট
symposium,"আলোচনা সভা, আলোচনা চক্র"
symptom,লক্ষণ
synchronise,"একেলগে হোৱা, একেলগে ঘটা"
synopsis,"1.ৰূপৰেখা 2. বিষয়-সংক্ষেপ, সাৰ-সংক্ষেপ"
synthesis,1.সংশ্লেষণ 2. কৃত্রিম
synthetic,সংশ্লেষিত
system,"1.পদ্ধতি, প্রণালী 2. নিকায়, যন্ত্র"
systematic,পদ্ধতিগত
systematic work,পদ্ধতিগত কাম
systems analysis,পদ্ধতিগত বিশ্লেষণ
tab folder,টেব ফ’ল্ডাৰ
table,1. সাৰণী 2. মেজ
table of contents,বিষয়-সূচী
table of the house,সদনৰ মেজ
tableau,প্রতীকপট
tabular,সাৰণীবদ্ধ
tabulated statement,সাৰণীবদ্ধ বিৱৰণ
tabulation,সাৰণীবদ্ধ কৰ
tabulator,1.সাৰণীকাৰ 2. সাৰণীযন্ত্র
tackle,1. বলেৰে ধৰি ৰাখ 2. সমাধান কৰ 3. যুঁজি চা
tact,যুক্তি
tactful,চতুৰ
tactic,"যুক্তি, কৌশল"
tag,1.টেগ 2. সংযোজিত কৰ
take home pay,হাতলৈ অহা বেতন
take over,1. কার্য্যভাৰ ল 2. অধিকাৰ কৰ
talent search,প্রতিভা সন্ধান
talented,প্রতিভাশালী
tally,"গণনা, সংখ্যা"
tally card,গণনা কার্ড
tampering,"1. বেয়া কৰা, নষ্ট কৰা 2. অবৈধ হস্তক্ষেপ কৰা 3. অবৈধ পৰিবর্ত্তন কৰা"
tangible,মূর্ত্ত
tangible asset,মূর্ত্ত পৰিসম্পত্তি
tape,"টেপ, ফিটা"
tapping,1. (সম্পদৰ) উপযোগ কৰ 2. (ফোন) টেপ কৰ
tardiness,"শিথিলতা, আলস্য"
target,লক্ষ্য
target date,লক্ষ্য তিথি
tariff,"1. আমদানি শুল্ক, শুল্ক 2. নিৰিখ, হাৰ, মাচুল"
tarnish,"মলিন কৰ, অনুজ্জ্বল কৰ"
task,"কার্য্য, কাম"
task force,কার্য্য দল
tax,কৰ
tax abatement,কৰ কম হোৱা
tax adjustment,কৰ সমাযোজন
tax assessment,কৰ নির্দ্ধাৰণ
tax avoidance (tax loophole),কৰ পৰিহাৰ
tax consultant,কৰ পৰামর্শদাতা
tax declaration,কৰ ঘোষণা
tax deducted at source,উৎসত কটা কৰ
tax deduction,কৰ কর্ত্তন
tax evasion,কৰ ফাঁকি
tax exemption,কৰ অব্যাহতি
tax free,কৰমুক্ত
tax payer,কৰদাতা
tax rebate,কৰ ৰেহাই
tax return,কৰ বিৱৰণী
tax schedule,কৰ অনুসূচী
taxable,"কৰাৰোপণসাধ্য, কৰদেয়, কৰযোগ্য"
taxable income,"কৰাৰোপণসাধ্যআয়, কৰদেয়আয়, কৰযোগ্যআয়"
taxation,কৰ আৰোপ
team spirit,"টীম ভাৱনা, সহযোগ ভাৱনা, দলগত উদ্যম"
team work,"দলগত সহযোগিতা, টীম কার্য্য"
tear gas,কন্দুৱা গেচ
technical,কাৰিকৰী
technical advice,কাৰিকৰী পৰামর্শ
technical college,কাৰিকৰী কলেজ
technical data,কাৰিকৰী পৰিসংখ্যা
technical post,কাৰিকৰী পদ
technical qualification,"কাৰিকৰী যোগ্যতা, কাৰিকৰী অর্হতা"
technical skill,কাৰিকৰী দক্ষতা
technical term,"কাৰিকৰী শব্দ, কাৰিকৰী পৰিভাষা"
technical training,কাৰিকৰী প্রশিক্ষণ
technician,"কাৰিকৰী কর্মী, যন্ত্রবিৎ"
technique,"কৌশল, কায়দা, কিটিপ"
technocracy,প্রযুক্তিতন্ত্র
technocrat,প্রযুক্তিতান্ত্রিক বিষয়া
technological,প্রযুক্তিগত
technologist,প্রযুক্তিবিদ
technology,প্রযুক্তি
telebanking,দূৰ-বেংকিং
telegram,তাঁৰ
telegraphic address,তাঁৰ ঠিকনা
telegraphy,তাঁৰ-সঞ্চাৰ
teleprinter message,দূৰমুদ্রক বার্ত্তা
television,টেলিভিছন
teleworking,দূৰকার্য্য
telex,টেলেক্স
teller,গণক যন্ত্র
temper,"মেজাজ, স্বভাৱ"
temperament,"মেজাজ, স্বভাৱ"
temperamental,"বেয়া মেজাজৰ, ক্রোধশীল"
temperature,উষ্ণতা
tempo,গতি
temporary,"অস্থায়ী, সাময়িক"
temporary advance,অস্থায়ী অগ্রীম
temporary appointment,অস্থায়ী নিযুক্তি
temporary disability,"অস্থায়ী অপাৰগতা, অস্থায়ী অক্ষমতা"
temporary post,অস্থায়ী পদ
temporary restriction,অস্থায়ী প্রতিবন্ধকতা
temporary vacancy,অস্থায়ী ৰিক্ততা
temptation,প্রলোভন
tenable,মান্য
tenacity,1.দৃঢ়তা 2. অধ্যৱসায়
tenancy,ৰায়তি স্বত্ব
tenant,ৰায়ত
tendency,"1.উপায়, পথ 2. বাসনা, ইচ্ছা 3. লক্ষ্য"
tender,নিবিদা
tender box,নিবিদা বাকচ
tender notice,নিবিদা জাননী
tenderer,নিবিদা প্রদানকাৰী
tentative,"অনিশ্চিত, অনুমিত"
tenure,"1.কার্য্যকাল 2. পট্টা, পট্টাৰ ম্যাদ"
tenure of land,পট্টাৰ ম্যাদ
tenure of office,পদধাৰণ অৱধি
tenure of post,পদকাল
tenure of work,কার্য্যাৱধি
tenure post,সাৱধিক পদ
term,"অৱধি, ম্যাদ"
term loan,ম্যাদী ঋণ
term of office,পদাৱধি
terminable,"সমাপ্য, সমাপনীয়"
terminal (report etc.),(ৰিপোর্ট আদি) আৱধিক
terminal tax,সীমা কৰ
termination,সমাপ্তি
termination clause,সমাপ্তি দফা
termination notice,সমাপ্তি জাননী
termination of service,সেৱা-সমাপ্তি
terminology,শব্দাৱলী
terms,1. নিবন্ধন 2. চর্ত্তাৱলী 3. সম্বন্ধ
terms and conditions,নিবন্ধন আৰু চর্ত্তাৱলী
terms of delivery,অর্পণৰ চর্ত্তাৱলী
terms of reference,বিচার্য্য বিষয়
terms of service,"সেৱাৰ চর্ত্তাৱলী, চাকৰিৰ চর্ত্তাৱলী"
territory,ভূখণ্ড
terror,সন্ত্রাস
terrorism,সন্ত্রাসবাদ
terrorist,সন্ত্রাসবাদী
tertiary benefit,তৃতীয়ক হিতলাভ
test,পৰীক্ষণ
test charge,পৰীক্ষণ ব্যয়
test check,নমুনা পৰীক্ষণ
testament,নিদর্শন পত্র
tester,পৰীক্ষক
testify,1.সাক্ষ্য দে 2. প্রমাণিত কৰ
testimonial,1.সাক্ষ্য স্বৰূপ 2. প্রশাংসাসূচক
testimony,সাক্ষ্য
testing report,পৰীক্ষণ ৰিপোর্ট
text,1.পাঠ 2. কলেৱৰ
thankful,কৃতজ্ঞ
theme,বিষয়
therapy,চিকিৎসা
third party,তৃতীয় পক্ষ
thoroughly,পুংখানুপুংখভাৱে
thoughtful,চিন্তাশীল
threat,ভাবুকি
thrift,মিতব্যয়িতা
through,দ্বাৰা
throw out,"প্রদর্শন কৰ, বিশৃংখল কৰ, বিশিষ্ট কৰ, বিযুক্ত কৰ"
thumb impression,"অস্বীকাৰ কৰ, দলিয়াই পেলা"
thumping majority,বিশাল সংখ্যাগৰিষ্ঠতা
ticket,টিকট
tie,1.বান্ধ 2. গাঁঠি 3. (খেল) সমানে সমানে 4. সহযোগিতা
tied loan,নিবদ্ধ ঋণ
tier,"স্তৰ, তৰপ"
tilt,"1.হলা, কাতি কৰ 2. পক্ষ ল"
time,"সময়, কাল"
time allowed,অনুমত সময়
time barred,"সময়বর্জিত, কালাতীত"
time bound,সময়বদ্ধ
time card,সময়-কার্ড
time deposit (=fixed deposit),ম্যাদী জমা
time keeping,সময়-পালন
time limit,সময়সীমা
time off,স্বাল্পাৱকাশ
time overrun,সময় লংঘন
time rate (time work),"কালানুপাতী দৰ, কালানুপাতী কার্য্য"
time recording machine,সময় লেখিত্র
time scale,সময়-মান
time schedule,সময় অনুসূচী
time stamp,সময় মোহৰ
time study equipment,সময় অধ্যয়ন যতন
time table,সময়-সাৰণী
timed programme,সময়বদ্ধ কার্য্যসূচী
timing,1.সময় 2. সময় নির্দ্ধাৰণ
tips,অগ্রিম সংকেত
title,"1. শিৰোনাম 2. উপাধি, খিতাপ 3. হক, দাবী"
title holder,দাবীদাৰ
toilet,1.শৌচালয় 2. প্রসাধন কক্ষ
token,"প্রতীক, সাংকেতিক"
token member,প্রতীক সদস্য
token pay,প্রতীক বেতন
token strike,প্রতীক ধর্মঘট
tone,"স্বৰ, সুৰ"
tone down,ঢিলাই দে
tone up,তীব্র কৰ
tool,"সঁজুলি, হাথিয়াৰ"
tool down strike,সঁজুলিবন্ধ ধর্মঘট
top,"শীর্ষ, উচ্চ, পৰম"
top level decision,উচ্চস্তৰীয় আলোচনা
top management,শীর্ষ ব্যৱস্থাপনা
top official,শীর্ষ পদাধিকাৰী
top priority,উচ্চ অগ্রাধিকাৰ
top ranking,শীর্ষস্থ
top secret,পৰম গুপ্ত
topic,"বিষয়, প্রসঙ্গ"
topmost,সর্ব্বোচ্চ
topography,স্থলাকৃতি
torture,"যন্ত্রণা, যাতনা"
total,1.যোগ 2. মুঠ
total service,মুঠ সেৱা
tough,কঠোৰ
tour,"ভ্রমণ, চফৰ, যাত্রা"
tour programme,যাত্রা কার্য্যক্রম
tour report,যাত্রা ৰিপোর্ট
tout,দালাল
town (city),নগৰ (মহানগৰ)
township,নগৰী
