Hindi,Telugu
पावर परिपथ विच्छेदक,"పవర్ సర్క్యూట్
 బ్రేకర్"
पावर सघनता स्पेक्ट्रम,"శక్తి సాంద్రత
 స్పెక్ట్రం"
क्षीण विद्युत् विधा,పవర్ డౌన్ మోడ్
विद्युत् सन्निक्षेप,పవర్ డంప్
विद्युत भंग पुनः प्राप्ति,"శక్తి విఫలమవుతుంది
 రికవరీ"
विद्युत् सीमित प्रणाल,"పవర్ లిమిటెడ్
 ఛానెల్"
विद्युत अनुमार्गण,పవర్ రౌటింగ్
घात समुच्चय,పవర్ సెట్
कोडांतरण पूर्व काल,ప్రీ-అసెంబ్లీ సమయం
पूर्वत कूट,ప్రాధాన్యత కోడ్
पूर्वत पदानुक्रम,"ప్రాధాన్యత
 సోపానక్రమం"
पूर्वता पद परिचयन,"ప్రాధాన్యత
 పార్సింగ్"
"परिशुद्धता, परिशुद्धि",ఖచ్చితత్వం
पूर्व कूटलिखित फार्म,ముందేడ్ రూపం
अनुभाषकपूर्व क्रमादेश,"ప్రీకాంపిలర్
 ప్రోగ్రామ్"
पूर्व प्रतिबंध,ముందస్తు షరతులు
पूर्वनिर्धारित प्रक्रम,ముందే నిర్వచించిన ప్రక్రియ
"निर्धारक, विधेय",ప్రిడికేట్
निर्धारक कलन,కాలిక్యులస్‌ను అంచనా వేయండి
निर्धारक रूपांतरक,"ప్రిడికేట్
 ట్రాన్స్ఫార్మర్"
रिक्तिपूर्व नियतन,ముందస్తు కేటాయింపు
पूर्वलग्न कूट,ఉపసర్గ కోడ్
पूर्वलग्न संकेतन,ఉపసర్గ సంజ్ఞామానం
पूर्वलग्न संकारक,ఉపసర్గ ఆపరేటర్
पूर्वक्रमी पथक्रमन,ప్రీఆర్డర్ ట్రావెర్సల్
पूर्वसंसाधित्र,ప్రిప్రాసెసర్
पूर्वसंसाधित्र अनुदेश,"ప్రిప్రాసెసర్
 ప్రకటన"
प्रस्तुति परत,ప్రదర్శన పొర
पूर्व निर्धारित,ప్రీసెట్
पूर्वनिर्धारित नियंत्रण लाइन,ప్రీసెట్ కంట్రోల్ లైన్
पूर्वनिर्धारित प्राचल,ప్రీసెట్ పరామితి
"छँटाई पूर्व, शाटन पूर्व",ప్రీసార్ట్
भंडारण पूर्व,ప్రీస్టోర్
निर्देश पता,"Ump హ
 చిరునామా
 (= సూచన
 చిరునామా)"
निर्देश अनुदेश,"Ump హ
 సూచన"
निरोधक अनुरक्षण,నివారణ నిర్వహణ
प्राथमिक केंद्र,ప్రాథమిక కేంద్రం
प्राथमिक प्रवेश बिंदु,"ప్రాథమిక ప్రవేశం
 పాయింట్"
प्राथमिक संचिका,ప్రాథమిక ఫైల్
प्राथमिक फलन,ప్రాథమిక ఫంక్షన్
प्राथमिक सूचकांक,ప్రాథమిక సూచిక
प्राथमिक कुंजी,ప్రాథమిక కీ
प्राथमिक स्मृति,ప్రాథమిక జ్ఞాపకశక్తి
प्राथमिक संसाधन एकक,"ప్రాథమిక
 ప్రాసెసింగ్ యూనిట్"
प्राथमिक स्थान नियतन,"ప్రాథమిక స్థలం
 కేటాయింపు"
प्राथमिक केन्द्र,ప్రాథమిక స్టేషన్
प्राथमिक भंडारण,ప్రాథమిక నిల్వ
मुख्य फोकस,ప్రధాన దృష్టి
मूख्य विस्थापन,ప్రైమ్ షిఫ్ట్
पूर्वग आँकड़ा प्रकार,ఆదిమ డేటా రకం
पूर्वग अवयव,ఆదిమ మూలకం
पूर्वग पुनरावर्ती फलन,"ఆదిమ పునరావృత
 ఫంక్షన్"
मुख्य घटक विश्लेषण,"ప్రిన్సిపాల్
 భాగం
 విశ్లేషణ"
मुद्रण दंड,ప్రింట్ బార్
मुद्रण शृंखला,ముద్రణ గొలుసు
मुद्रण विपर्यास अनुपात,ముద్రణ కాంట్రాస్ట్ రేషియో
मुद्रण विपर्यास संकेत,ప్రింట్ కాంట్రాస్ట్ సిగ్నల్
मूद्रण नियंत्रण संप्रतीक,"ముద్రణ నియంత్రణ
 పాత్ర"
मुद्रित पृष्ठ,ప్రింట్ కట్
मुद्रण आँकड़ा समुच्चय,డేటా సెట్ ముద్రణ
मुद्रण ड्रम,ప్రింట్ డ్రమ్
मुद्रित पत्रक फार्म,ప్రింటెడ్ కార్డ్ ఫారం
मुद्रित परिपथ पट्ट,"ప్రింటెడ్ సర్క్యూట్
 బోర్డు"
मुद्रित्र,ప్రింటర్
मुद्रित्र संरूप,ప్రింటర్ ఫార్మాట్
मुद्रित्र प्रचालन चाल,"ప్రింటర్ ఆపరేటింగ్
 వేగం"
मुद्रित्र आलेखित्र,ప్రింటర్ ప్లాటర్
मुद्रित द्रुत घूर्णन,ప్రింటర్ స్కిప్పింగ్
मुद्रित्र अंतरालन संचित्र,"ప్రింటర్ అంతరం
 చార్ట్"
मुदित्र चाल,ప్రింటర్ వేగం
मुद्रण संरूप,ప్రింట్ ఫార్మాట్
मुद्रण परिकलित्र,ప్రింటింగ్ కాలిక్యులేటర్
मुद्रण गणित्र,ప్రింటింగ్ కౌంటర్
मुद्रण पंक्ति,ప్రింట్ లైన్
मुद्रण अभिलेख,ప్రింట్ రికార్డ్
मुद्रण अभिलेख प्रवेशिका,"ప్రింట్ రికార్డ్
 శీర్షిక"
मुद्रण परिवेषक,ప్రింట్ సర్వర్
अमुद्रणीय संप्रतीक,ముద్రణను ముద్రించండి
मुद्रण चक्रिका,ప్రింట్ వీల్
वरीयन,ప్రాధాన్యత ఇవ్వండి
वरीयता कूटलेखित्र,ప్రాధాన్యత ఎన్‌కోడర్
वरीयता सूचक,ప్రాధాన్యత సూచిక
वरीयता अंतरायन,ప్రాధాన్యత అంతరాయం
वरीयता सीमा,ప్రాధాన్యత పరిమితి
वरीयता संख्या,ప్రాధాన్యత సంఖ్య
वरीयता संसाधन,ప్రాధాన్యత ప్రాసెసింగ్
वरीयता पंक्ति,ప్రాధాన్యత క్యూ
वरीयता नेमका,ప్రాధాన్యత దినచర్య
वरीयता नियोजक,ప్రాధాన్యత షెడ్యూలర్
वरीयता नियोजन तंत्र,"ప్రాధాన్యత షెడ్యూలింగ్
 వ్యవస్థ"
वरीयता संरचना,ప్రాధాన్యత నిర్మాణం
गोपनीयता,గోప్యత
निजी पता स्थान,"ప్రైవేట్ చిరునామా
 స్థలం"
निजी स्वाचालित टेलिफोन केंद्र,"ప్రైవేట్ ఆటోమేటిక్
 మార్పిడి"
निजी शाखा टेलिफोन केंद्र,"ప్రైవేట్ బ్రాంచ్
 మార్పిడి"
गुप्त कूट,ప్రైవేట్ కోడ్
निजी क्रमादेश संग्रह,ప్రైవేట్ లైబ్రరీ
विशेषाधिकार अनुदेश,"ప్రత్యేక హక్కు
 సూచన"
प्रायिकतात्मक स्वचल प्ररूप,"సంభావ్యత
 ఆటోమాటా"
प्रायिकता कलन,"సంభావ్యత
 కాలిక్యులస్"
समस्या आँकड़े,సమస్య డేటా
समस्या विवरण,"సమస్య
 వివరణ"
समस्या निर्धारण,"సమస్య
 సంకల్పం"
समस्या निदान,సమస్య నిర్ధారణ
समस्या संचिका,సమస్య ఫైల్
समस्या निवेश टेप,"సమస్య ఇన్పుట్
 టేప్"
समस्यामूलक भाषा,"సమస్య ఆధారిత
 భాష"
समस्या मूलक क्रमादेश,సమస్య ప్రోగ్రామ్
समस्या स्थिति,సమస్య స్థితి
समस्या अवधि,సమస్య సమయం
प्रक्रियात्मक संक्षिप्तीकरण,"విధానపరమైన
 సంగ్రహణ"
प्रकियात्मक भाषा,"విధానపరమైన
 భాష"
प्रक्रियात्मक अनुदेश,"విధానపరమైన
 ప్రకటన"
प्रक्रिया स्वतंत्र चर,"విధానం
 వాదన"
प्रक्रिया विभाग,విధాన విభాగం
प्रक्रिया क्रमादेश संग्रह,ప్రక్రియ లైబ్రరీ
प्रक्रिया नाम,విధాన పేరు
प्रक्रियामूलक भाषा,"విధానం
 ఆధారిత
 భాష"
प्रक्रिया संदर्भ,"విధానం
 సూచన"
प्रक्रिया अनुदेश,"విధానం
 ప్రకటన"
प्रक्रिया उपक्रमादेश,"విధానం
 ఉపప్రోగ్రామ్"
प्रक्रम संचित्र,ప్రాసెస్ చార్ట్
प्रक्रम जाँच,ప్రాసెస్ చెక్
प्रक्रम नियंत्रण,ప్రక్రియ నియంత్రణ
प्रक्रम नियंत्रण तंत्र,"ప్రక్రియ నియంత్రణ
 వ్యవస్థ"
प्रक्रम निरूपक,ప్రాసెస్ డిస్క్రిప్టర్
प्रक्रम अपवाद,ప్రాసెస్ మినహాయింపు
संसाधन,ప్రాసెసింగ్
संसाधन क्षमता,"ప్రాసెసింగ్
 సామర్థ్యం"
संसाधन बहुसूत्र,"ప్రాసెసింగ్
 మల్టీథ్రెడ్"
संसाधन तंत्र,ప్రాసెసింగ్ సిస్టమ్
संसाधन एकक,ప్రాసెసింగ్ యూనిట్
प्रक्रम अंतरायन पत्रक,"ప్రాసెస్ అంతరాయం
 కార్డు"
प्रक्रम प्रबंध,"ప్రక్రియ
 నిర్వహణ"
प्रक्रम दृष्टतमीकरण,"ప్రక్రియ
 సర్వోత్తమీకరణం"
संसाधित्र,ప్రాసెసర్
संसाधित्र नियतन,"ప్రాసెసర్
 కేటాయింపు"
संसाधित्र आधारभूत अनुदेश,"ప్రాసెసర్ బేసిక్
 సూచన"
संसाधित्र परिबंध,ప్రాసెసర్ బౌండ్
संसाधित्र त्रुटि अंतरायन,"ప్రాసెసర్ లోపం
 అంతరాయం"
संसाधित्र अग्रांत,"ప్రాసెసర్ ఫ్రంట్
 ముగింపు"
संसाधित्र अंतरापृष्ठ,"ప్రాసెసర్
 ఇంటర్ఫేస్"
संसाधित्र संगठन,"ప్రాసెసర్
 సంస్థ"
संसाधित्र अवस्थिति शब्द,"ప్రాసెసర్ స్థితి
 పదం"
संसाधित्र भंडारण,ప్రాసెసర్ నిల్వ
संसाधित्र काल,ప్రాసెసర్ సమయం
गुणनफल क्षेत्र,ఉత్పత్తి ప్రాంతం
प्रत्यक्ष गुणनफल,"ఉత్పత్తి సమూహం
 (= ప్రత్యక్ష
 ఉత్పత్తి)"
उत्पादन नियंत्रण,ఉత్పత్తి నియంత్రణ
उत्पादन नेमका,ఉత్పత్తి దినచర్య
उत्पादन नियम पद्धति,"ఉత్పత్తి నియమం
 వ్యవస్థ"
उत्पादन धाव,ప్రొడక్షన్ రన్
उत्पादन काल,ఉత్పత్తి సమయం
उच्चतम प्राथमिकता कार्य,ఉత్పాదక పని
उत्पादी काल,ఉత్పాదక సమయం
"क्रमादेश, प्रोग्राम",ప్రోగ్రామ్
क्रमादेश अभिगम,ప్రోగ్రామ్ యాక్సెస్
क्रमादेश पता गणित्र,"ప్రోగ్రామ్ చిరునామా
 కౌంటర్"
क्रमादेशिकी,ప్రోగ్రామాటిక్స్
क्रमादेश खंडक,ప్రోగ్రామ్ బ్లాక్
क्रमादेश विच्चेद बिंदु,"ప్రోగ్రామ్ బ్రేక్
 పాయింట్"
क्रमादेश पत्रक,ప్రోగ్రామ్ కార్డ్
क्रमादेश शृंखलन,ప్రోగ్రామ్ చైనింగ్
क्रमादेश जाँच,ప్రోగ్రామ్ చెక్
क्रमादेश जाँच बाधा,"ప్రోగ్రామ్ చెక్
 అంతరాయం"
क्रमादेश जाँच,ప్రోగ్రామ్ చెక్అవుట్
क्रमादेश संगतता,"ప్రోగ్రామ్
 అనుకూలత"
क्रमादेश अनुभाषण,"ప్రోగ్రామ్
 సంగ్రహం"
क्रमादेशष समापन,"ప్రోగ్రామ్
 పూర్తి"
क्रमादेश नियंत्रण,ప్రోగ్రామ్ నియంత్రణ
क्रमादेश नियंत्रण आँकड़ा,"ప్రోగ్రామ్ నియంత్రణ
 సమాచారం"
क्रमादेश नियंत्रक,"ప్రోగ్రామ్
 నియంత్రిక"
क्रमादेश नियंत्रण एकक,"ప్రోగ్రామ్ నియంత్రణ
 యూనిట్"
क्रमादेश शुद्धता उपपत्ति,"ప్రోగ్రామ్
 ఖచ్చితత్వ రుజువు"
क्रमादेश गणित्र,ప్రోగ్రామ్ కౌంటర్
क्रमादेश भंग,"ప్రోగ్రామ్
 క్రాష్"
क्रमादेश आँकड़ा समुच्चय,ప్రోగ్రామ్ డేటా సెట్
क्रमादेश दोषमार्जन,"ప్రోగ్రామ్
 డీబగ్గింగ్"
क्रमादेश नियोजन,"ప్రోగ్రామ్
కుళ్ళిపోవడం"
क्रमादेश अभिकल्पना,ప్రోగ్రామ్ డిజైన్
क्रमादेश अभिकल्पना भाषा,"ప్రోగ్రామ్ డిజైన్
 భాష"
क्रमादेश विकास तंत्र,"ప్రోగ్రామ్
 అభివృద్ధి
 వ్యవస్థ"
क्रमादेश प्रलेखन,"ప్రోగ్రామ్
 డాక్యుమెంటేషన్"
क्रमादेश ड्रम,ప్రోగ్రామ్ డ్రమ్
क्रमादेश त्रुटि,ప్రోగ్రామ్ లోపం
क्रमादेश घटना अभिलेखन,"ప్రోగ్రామ్ ఈవెంట్
 రికార్డింగ్"
क्रमादेश अपवाद,ప్రోగ్రామ్ మినహాయింపు
क्रमादेश निष्पादन,ప్రోగ్రామ్ అమలు
क्रमादेश निष्पादन काल,"ప్రోగ్రామ్ అమలు
 సమయం"
क्रमादेश आनयन काल,"ప్రోగ్రామ్ పొందండి
 సమయం"
क्रमादेश संचिका,ప్రోగ్రామ్ ఫైల్
क्रमादेश प्रवाह संचित्र,ప్రోగ్రామ్ ఫ్లోచార్ట్
क्रमादेश प्रकार्य कुंजी,"ప్రోగ్రామ్ ఫంక్షన్
 కీ"
क्रमादेश जनित प्राचल,"ప్రోగ్రామ్
 ఉత్పత్తి
 పరామితి"
क्रमादेश जनक,ప్రోగ్రామ్ జనరేటర్
क्रमादेश विराम,ప్రోగ్రామ్ హాల్ట్
क्रमादेश निरपेक्ष प्रतिरूपक,"ప్రోగ్రామ్
 స్వతంత్ర
 మాడ్యులారిటీ"
क्रमानुदेश,"ప్రోగ్రామ్
 సూచన"
क्रमादेश बाधा,"ప్రోగ్రామ్
 అంతరాయం"
क्रमादेश स्तर,ప్రోగ్రామ్ స్థాయి
क्रमादेश संग्रह,ప్రోగ్రామ్ లైబ్రరీ
क्रमादेश पंक्ति,ప్రోగ్రామ్ లైన్
क्रमादेश शृंखलन,ప్రోగ్రామ్ లింకింగ్
क्रमादेश सूचीयन,ప్రోగ్రామ్ జాబితా
क्रमादेश भारक,ప్రోగ్రామ్ లోడర్
क्रमादेश भारण नेमका,"ప్రోగ్రామ్ లోడింగ్
 దినచర్య"
क्रमादेश स्थान,ప్రోగ్రామ్ స్థానం
क्रमादेश तर्क सरणी,"ప్రోగ్రామ్ లాజిక్
 అమరిక"
क्रमादेश्य आँकड़ा नियंत्रण एकक,"ప్రోగ్రామబుల్
 డేటా నియంత్రణ యూనిట్"
क्रमादेश्य युक्ति,"ప్రోగ్రామబుల్
 పరికరం"
क्रमादेश्य प्रकार्य कुंजी,"ప్రోగ్రామబుల్
 ఫంక్షన్ కీ"
क्रमादेश्य निवेश निर्णय युक्ति,"ప్రోగ్రామబుల్
 ఇన్పుట్ అవుట్పుట్
 పరికరం"
क्रमादेश्य तर्क सरणी,"ప్రోగ్రామబుల్
 లాజిక్ శ్రేణి"
क्रमादेश्य अनुरक्षण,"ప్రోగ్రామబుల్
 నిర్వహణ"
क्रमादेश्य उपसाधन अंतरापृष्ठ,"ప్రోగ్రామబుల్
 పెరిఫెరెల్
 ఇంటర్ఫేస్"
क्रमादेश्य पठन मात्र स्मृति,"ప్రోగ్రామబుల్
 చదవడానికి మాత్రమే
 మెమరీ"
क्रमादेश्य सुदूर प्रदर्श अंतक,"ప్రోగ్రామబుల్
 రిమోట్ డిస్ప్లే
 టెర్మినల్"
क्रमादेश्य भंडारण,"ప్రోగ్రామబుల్
 నిల్వ"
क्रमादेश्य अंतक,"ప్రోగ్రామబుల్
 టెర్మినల్"
क्रमादेशित जाँच,"ప్రోగ్రామ్ చేయబడింది
 తనిఖీ"
क्रमादेशित अभिकलित्र,"ప్రోగ్రామ్ చేయబడింది
 కంప్యూటర్"
क्रमादेशित सन्निक्षेप,"ప్రోగ్రామ్ చేయబడింది
 డంప్"
क्रमादेशित अनुदेश,"ప్రోగ్రామ్ చేయబడింది
 సూచన"
क्रमादेशित तर्क,ప్రోగ్రామ్ చేసిన లాజిక్
क्रमादेशित तर्क सरणी,"ప్రోగ్రామ్ చేసిన లాజిక్
 అమరిక"
क्रमादेशित संकारक तंत्र,"ప్రోగ్రామ్ చేయబడింది
 ఆపరేటర్ సిస్టమ్"
"क्रमादेशक, क्रमादेशित्र",ప్రోగ్రామర్
क्रमादेशित्र एकक,ప్రోగ్రామర్ యూనిట్
"क्रमदेशन, प्रोग्रामन",ప్రోగ్రామింగ్
क्रमादेशन संगतता,"ప్రోగ్రామింగ్
 అనుకూలత"
क्रमादेशन परिवेश,"ప్రోగ్రామింగ్
 పర్యావరణం"
क्रमादेश प्रवाह संचित्र,"ప్రోగ్రామింగ్
 ఫ్లోచార్ట్"
क्रमादेश प्रवाह आरेख,"ప్రోగ్రామింగ్ ప్రవాహం
 రేఖాచిత్రం"
क्रमादेश भाषा,"ప్రోగ్రామింగ్
 భాష"
क्रमादेश प्रतिरूपक,"ప్రోగ్రామింగ్
 మాడ్యూల్"
क्रमादेश कथन,"ప్రోగ్రామింగ్
 ప్రకటన"
प्रोग्रामन आलम्ब परिवेश,"ప్రోగ్రామింగ్
 మద్దతు
 పర్యావరణం"
क्रमादेशन तंत्र,"ప్రోగ్రామింగ్
 వ్యవస్థ"
क्रमादेशन सिद्धांत,"ప్రోగ్రామింగ్
 సిద్ధాంతం"
क्रमादेश विधा,ప్రోగ్రామ్ మోడ్
क्रमादेश आपरिवर्तन,"ప్రోగ్రామ్
 మార్పు"
क्रमादेश प्रतिरूपक,ప్రోగ్రామ్ మాడ్యూల్
क्रमादेश उद्गम,ప్రోగ్రామ్ మూలం
क्रमादेश संकुल,ప్రోగ్రామ్ ప్యాకేజీ
क्रमादेश प्राचल,"ప్రోగ్రామ్
 పరామితి"
क्रमादेश पश्च संपादन,ప్రోగ్రామ్ పోస్ట్ చేయబడింది
क्रमादेश तैयारी,"ప్రోగ్రామ్
 తయారీ"
क्रमादेश ग्राही पठन,ప్రోగ్రామ్ రీడ్-ఇన్
क्रमादेश पंजी,ప్రోగ్రామ్ రిజిస్టర్
क्रमादेश पुनःस्थानन,"ప్రోగ్రామ్
 పున oc స్థాపన"
क्रमादेश धाव,ప్రోగ్రామ్ రన్
क्रमादेश नियोजक,ప్రోగ్రామ్ షెడ్యూలర్
क्रमादेश खंड,ప్రోగ్రామ్ విభాగం
क्रमादेश खंडन,"ప్రోగ్రామ్
 విభజన"
क्रमादेश वरण,ప్రోగ్రామ్ ఎంపిక
क्रमादेश वरणित्र,ప్రోగ్రామ్ సెలెక్టర్
क्रमादेश सुग्राही भ्रंश,"ప్రోగ్రామ్ సెన్సిటివ్
 తప్పు"
क्रमादेश सुग्राही कुसंक्रिया,"ప్రోగ్రామ్ సెన్సిటివ్
 పనిచేయకపోవడం"
क्रमादेश विनिर्देश,"ప్రోగ్రామ్
 స్పెసిఫికేషన్"
क्रमानुदेश,"ప్రోగ్రామ్
 ప్రకటన"
क्रमादेश चरण,ప్రోగ్రామ్ దశ
क्रमादेश विराम,ప్రోగ్రామ్ స్టాప్
क्रमादेश भंडारण,ప్రోగ్రామ్ నిల్వ
क्रमादेश संरचना,ప్రోగ్రామ్ నిర్మాణం
क्रमादेश स्विच,ప్రోగ్రామ్ స్విచ్
क्रमादेश परीक्षण,ప్రోగ్రామ్ పరీక్ష
क्रमादेश परीक्षणकाल,"ప్రోగ్రామ్ పరీక్ష
 సమయం"
क्रमादेश अनुरेखण,ప్రోగ్రామ్ ట్రేసింగ్
क्रमादेश रूपांतरण,"ప్రోగ్రామ్
 పరివర్తన"
क्रमादेश अनुवाद,"ప్రోగ్రామ్
 అనువాదం"
क्रमादेश एकक,ప్రోగ్రామ్ యూనిట్
क्रमादेश सत्यापन,"ప్రోగ్రామ్
 ధృవీకరణ"
प्रगामी हस्तगत,ప్రగతిశీల క్యారీ
प्रग्रामी अधिवाह,"ప్రగతిశీల
 ఓవర్ఫ్లో"
प्रक्षेप फलन,"ప్రొజెక్షన్
 ఫంక్షన్"
आह्‍वान,ప్రాంప్ట్
आह्‍वान सुविधा,ప్రాంప్ట్ సౌకర్యం
प्रूफ सूची,రుజువు జాబితా
संचरित त्रुटि,ప్రచారం చేసిన లోపం
संचरण त्रुटि,ప్రచారం లోపం
संचरण स्थिरांक,"ప్రచారం
 స్థిరాంకం"
संचरण विलंब,ప్రచారం ఆలస్యం
संचरण हानि,ప్రచారం నష్టం
उचित पूर्वज,సరైన పూర్వీకుడు
उचित उपालेख,సరైన సబ్‌గ్రాఫ్
गुणधर्म संसूचक,ఆస్తి డిటెక్టర్
आनुपातिक अंतरण,"వద్ద నిష్పత్తి
 అంతరం"
साध्यात्मक कलन,"ప్రతిపాదన
 కాలిక్యులస్"
स्वामित्व प्रक्रिया सामग्री,యాజమాన్య సాఫ్ట్‌వేర్
स्वामित्व क्रमादेश,యాజమాన్య కార్యక్రమం
रक्षित क्षेत्र,రక్షిత ఫీల్డ్
रक्षित संचिका,రక్షిత ఫైల్
"रक्षित स्थान, रक्षित स्थानन",రక్షిత స్థానం
रक्षित स्मृति,రక్షిత జ్ఞాపకం
रक्षण प्रणाल,రక్షణ ఛానల్
रक्षण प्रांत,రక్షణ డొమైన్
रक्षण कुंजी,రక్షణ కీ
रक्षण क्रियाविधि,"రక్షణ
 విధానం"
रक्षण विस्तृति,రక్షణ వ్యవధి
रक्षक फ्रेम,ప్రొటెక్టర్ ఫ్రేమ్
सदेशाचार,ప్రోటోకాల్
सदेशाचार परिवर्तक,ప్రోటోకాల్ కన్వర్టర్
सदेशाचार पदानुक्रम,ప్రోటోకాల్ సోపానక్రమం
सदेशाचार अनुवाद,"ప్రోటోకాల్
 అనువాదం"
आदिप्ररूप क्रमादेश,ప్రోటోటైప్ ప్రోగ్రామ్
आदिप्ररूप कथन,"ప్రోటోటైప్
 ప్రకటన"
प्रमाणन,రుజువు
प्रमाणन काल,సమయం రుజువు
छद्म अनुप्रयोग क्रमादेश,"సూడోఅప్లికేషన్
 ప్రోగ్రామ్"
छद्म कालद,సూడోక్లాక్
छद्म कूट,సూడో కోడ్
छद्म प्रसंकेतक,సూడోక్యూరర్
छद्म संचिका पता,సూడోఫైల్ చిరునామా
छद्म अनुदेश,సూడో-ఇన్స్ట్రక్షన్
छद्म भाषा,నకిలీ భాష
छद्म रव अनुक्रम,"సూడో-శబ్దం
 సీక్వెన్స్"
छद्म संक्रिया कूट,సూడో ఆప్కోడ్
छद्म संक्रिया,నకిలీ ఆపరేషన్
छद्म यादृच्छिक,నకిలీ రాండమ్
छद्म यादृच्छिक संख्या,"నకిలీ రాండమ్
 సంఖ్య"
छद्म चर,సూడో వేరియబుల్
प्रकाशन भाषा,"ప్రచురణ
 భాష"
जन आँकड़ा जालक्रम,"పబ్లిక్ డేటా
 నెట్‌వర్క్"
जन कुंजी तंत्र,పబ్లిక్ కీ సిస్టమ్
जन सदेश सेवा,"పబ్లిక్ మెసేజ్
 సేవ"
सार्वजनिक जालक्रम,పబ్లిక్ నెట్‌వర్క్
सार्वजनिक संकुल जालक्रम,"పబ్లిక్ ప్యాకెట్
 నెట్‌వర్క్"
अधोकर्षक प्रतिरोधक,రిజిస్టర్ లాగండి
उत्कर्षण प्रतिरोधक,రిజిస్టర్ లాగండి
स्पंद,పల్స్
स्पंद आयाम,పల్స్ వ్యాప్తి
स्पंद आयाम माडुलन,"పల్స్ వ్యాప్తి
 మాడ్యులేషన్"
स्पंद कूट,పల్స్ కోడ్
स्पंद अवधि,పల్స్ వ్యవధి
स्पंद जनन,పల్స్ తరం
स्पंद जनित्र,పల్స్ జనరేటర్
स्पंद तुंगता,పల్స్ ఎత్తు
स्पंदक,పల్సర్
स्पंद दर,పల్స్ రేటు
स्पंद पुनर्जनन,పల్స్ పునరుత్పత్తి
स्पंद पुनरावर्तन आवृत्ति,"పల్స్ పునరావృతం
 తరచుదనం"
स्पंद पुनरावर्तन दर,"పల్స్ పునరావృతం
 రేటు"
स्पंद रूपण,పల్స్ షేపింగ్
स्पंद विस्तारक,పల్స్ స్ట్రెచర్
स्पंद रज्जु,పల్స్ స్ట్రింగ్
स्पंदावली,పల్స్ రైలు
स्पंद प्रवर्तित दिवमानित्र,"పల్స్-ట్రిగ్గర్డ్
 ఫ్లిప్-ఫ్లాప్"
"स्पंद विस्तार, स्पंद चौड़ाई",పల్స్ వెడల్పు
पंपन प्रमेयिका,పంపింగ్ లెమ్మా
"छिद्रण, छिद्रित्र",పంచ్
छिद्रण पत्रक,పంచ్ కార్డ్
छिद्रित स्तंभ,పంచ్ కాలమ్
छिद्रित पत्रक,పంచ్ కార్డ్
छिद्रित पत्रक पठित्र,"పంచ్ కార్డ్
 రీడర్"
छिद्रित कागज टेप,"పంచ్ కాగితం
 టేప్"
छिद्रित टेप,పంచ్ టేప్
छिद्रित टेप कूट,పంచ్ టేప్ కోడ్
छिद्रित टेप पठित्र,"పంచ్ టేప్
 రీడర్"
छिद्रण स्थिति,గుద్దే స్థానం
छिद्रण केन्द्र,పంచ్ స్టేషన్
छिद्रण पथ,పంచ్ మార్గం
छिद्रण स्थिति,పంచ్ స్థానం
छिद्रण पंक्ति,పంచ్ రో
छिद्रण केन्द्र,పంచ్ స్టేషన్
छिद्रण टेप,పంచ్ టేప్
छिद्रण टेप कूट,పంచ్ టేప్ కోడ్
विराम चिह्‍नन,విరామచిహ్నాలు
विराम संप्रतीक,"విరామచిహ్నాలు
 పాత్ర"
"विराम प्रतीक, परिसीमक","విరామచిహ్నాలు
 చిహ్నం"
शुद्ध द्वि-आधारी संख्यान पद्धति,"స్వచ్ఛమైన బైనరీ
 సంఖ్య
 చిహ్నం"
शुद्ध यंत्र सहाय अनुवाद,"స్వచ్ఛమైన
 మెషిన్-ఎయిడెడ్
 అనువాదం"
शुद्ध यंत्र अनुवाद,"స్వచ్ఛమైన యంత్రం
 అనువాదం"
संभर,పుష్
दाब बटन डायलन,పుష్-బటన్ డయలింగ్
अधोसंभर,క్రిందికి త్రోయు
अधोसंभर स्वचलप्ररूप,"క్రిందికి త్రోయు
 ఆటోమాటా"
अधोसंभर स्वचालन,"క్రిందికి త్రోయు
 ఆటోమేషన్"
अधोसंभर सूची,పుష్-డౌన్ జాబితా
अधोसंभर पंक्ति,పుష్-డౌన్ క్యూ
अधोसंभर चिति,పుష్-డౌన్ స్టాక్
अधोसंभर भंडारण,పుష్-డౌన్ నిల్వ
संभर अनुदेश,పుష్ ఇన్స్ట్రక్షన్
संभर झंप अनुदेश,"పుష్ జంప్
 సూచన"
उत्संभर सूची,పుష్-అప్ జాబితా
उत्संभर भंडारण,పుష్-అప్ నిల్వ
चतुः बस प्रेषाभिग्राही,"క్వాడ్-బస్
 ట్రాన్స్‌సీవర్"
चतुः घनत्व,క్వాడ్ సాంద్రత
द्विघाती क्रमादेशन,"క్వాడ్రాటిక్
 ప్రోగ్రామింగ్"
समकोणिक आयाम माडुलन,క్వాడ్రేచర్ యాంప్లిట్యూడ్ మాడ్యులేషన్
चतुः छिद्री,క్వాడ్రిపంటల్
चतुष्क,నాలుగు రెట్లు
चतुष्पंजी,"నాలుగు రెట్లు పొడవు
 రిజిస్టర్
 (= Uadruple
 రిజిస్టర్)"
चतुष्पंजी,నాలుగు రెట్లు రిజిస్టర్
विशेषक,క్వాలిఫైయర్
गुणता आश्वासन,నాణ్యత హామీ
प्रमात्रीकरण,పరిమాణీకరణ
प्रमात्रक,క్వాంటిఫైయర్
क्वान्टमीकरण त्रुटि,పరిమాణ లోపం
