Marathi,Hindi
प्रतिध्वनी,अनुनादक
"उत्तर, प्रतिसाद, अहवाल","उत्तर, अनुक्रिया, प्रतिवेदन"
विराम द्या,विराम
पुन्हा सुरू करा,पुनः प्रारम्भ
अवशिष्ट तुळई,अवशिष्ट किरण
"परिणाम, परिणाम, परिणाम","परिणाम, फल, नतीजा"
परिणामी परिणाम,"परिणामी, निराकरण फल"
मंद,मंदित
सौम्य,मंदक
जाळीदार,रेटिक्यूल
"डोळयातील पडदा, डोळयातील पडदा","दृष्टिपटल, रेटिना"
परत रॉकेट,पश्चगतिक राकेट
"अनुनाद, प्रतिगमन, प्रतिक्षेप","प्रतिध्वनि, प्रतिगमन, प्रतिघाव"
अनुसरण करा,अनुरणन
उलट,उत्क्रमण
"उलट, उलट, उलट, उलट","उत्क्रम, प्रतिलोम, प्रतीप, रिवर्स"
मागास पूर्वाग्रह,पश्चदिशिक बायस
उलटसुलभता,उत्क्रमणीयता
उलट करण्यायोग्य,उत्क्रमणीय
रोटेशन,परिक्रमण
फिरणे,परिक्रमण करना
रेनॉल्ड्स क्रमांक,रेनल्ड्स् संख्या
प्रवाह नियंत्रक,धारा नियंत्रक
विषम लांबी,विषम लंबाक्ष
"त्रिकोणी क्रिस्टल्स, समांतर षटकोनी क्रिस्टल्स","त्रिसमनताक्ष क्रिस्टल, समांतर षटफलकीय क्रिस्टल"
"रोमबोइड प्रिझम, चतुर्भुज प्रिझम","रॉम्बायडीय प्रिज्म, चतुष्कोणी प्रिज्म"
गवंडी रहा,रहो मेसॉन
"ताल, ताल, ताल","लय, ताल, नैज आवर्तिता"
घड्याळाच्या दिशेने,दक्षिणावर्ती
अनुलंब प्रिझम,लंब प्रिज्म
उजव्या हाताचा नियम,दक्षिणहस्त नियम
उजव्या बाजूचा स्क्रू,दक्षिणवर्ती पेंच
समतुल्य प्रिझम,समवर्ग प्रिज्म
मजबूत,दृढ़
चिकाटी,दृढ़ता
"अचूक पुरावा, अचूक पुरावा","परिशुद्ध प्रमाण, परिशुद्ध उपपत्ति"
"आवाज, वाद्य","निनाद, वादन"
उर्मिका,ऊर्मिका
आनंदाचा दिवस,उत्थानकाल
रोबो,रोबो
रॉकेट क्रिया,राकेट क्रिया
रॉकेट,राकेट
रॉकेट विज्ञान,राकेट विज्ञान
"खडक, हालचाल, स्विंग","रॉकन, संदोलन, डोलन"
roentgen,रून्टगेन
"roentgen-रे, क्ष-किरण","रून्टगेन-किरण, ऐक्सकिरण"
"रोलिंग, रोल, (सं.), गोलाकार, रोलिंग (सं.)","लोटन, रोल, (सं.), गोल बनाना, बेलना (क्रि.)"
"बेलनी, लोटनी, लोटनिक (वि.), वेलन, लोटन (सं.)","बेलनी, लोटनी, लोटनिक (वि.), वेल्लन, लोटन (सं.)"
फिरणारा,घूर्णी
"फिरणे, फिरणे (v.), वर्तुळाकार, चाकांचे (v.)","घूर्णन करना, घूमना (क्रि.), चक्राकार, पहियारूपी (वि.)"
फिरणारा,घूर्णी
"फिरणे, फिरणे","घूर्णन, आवर्तन"
"रोटेशनल, रोटेशनल, रोटेशनल","घूर्णी, घूर्णात्मक, घूर्णनी"
"रोटेशनल, रोटेटर","घूर्णी, रोटेटर"
"रोटेशनल, रोटेशनल","घूर्णनी, घूर्णी"
"रोटर, रोटर","रोटर, घूर्णक"
"खडबडीत, खडबडीत","रुक्ष, स्थूल"
"बंद करा, बंद करा","निकटन, निष्कोणन"
संक्रमण वेळ,गमनागमन काल
मार्ग,मार्ग
"दिनचर्या, दिनचर्या","नित्यक्रम, नेमका"
"पद्मराग, माणिक, लाल, याकूत","पद्मराग, माणिक्य, लाल, याकूत"
"रुबी लेसर, रुबी लेसर","रूबी लेसर, माणिक्य लेसर"
"रडर, नियंत्रण","रडर, दिकनियन्त्रक"
नियम,नियम
अधोरेखित जाळी,रेखांकित ग्रेटिंग
"आलेख, रेषा","रेखांकन, रेखाएँ"
"चालवा, परंपरा","धाव, परम्परा"
धावपटू,धावी
"करार, करार, फुटणे","संविदार, संविदारण, फटना"
रदरफोर्ड स्कॅटरिंग,रदरफ़र्ड प्रकीर्णन
रदरफोर्ड,रदरफ़र्ड
रायडबर्ग,रिडबर्ग
सुरक्षित भार,निरापद लोड
"सुरक्षित, सुरक्षित","निरापद, सुरक्षा"
"सेफ्टी फ्यूज, बिकफोर्ड फ्यूज","सुरक्षा फ्यूज, बिकफोर्ड फ्यूज"
सुरक्षा झडप,सुरक्षा वाल्व
"नमुना, नमुना","प्रतिदर्श, नमूना"
"नमुना (v.), नमुना (n.)","प्रतिदर्शी (वि.), प्रतिचयन (सं.)"
सँडविच,सैंडविच
"उपग्रह, उपकंपनी, अनुगामी","उपग्रह, अनुषंगी, अनुगामी"
उपनदी रेषा,अनुषंगी रेखा
समाधान करण्यासाठी,संतृप्त करना
शनि रिंग,शनि-वलय
savart,सवार्ट
स्केलर,अदिश
चरण गुणक,सोपानी गुणक
"विखुरणे, विखुरणे","प्रकीर्ण, प्रकीर्णन"
विखुरण्याची प्रक्रिया,प्रकीर्णी प्रक्रम
दृष्टी,दृश्य
वाढवणे,"प्रस्फुरण, प्रस्फुर"
"स्क्रॅच (आवाज), ओरखडा","खरखर (ध्वनि), खरोंच"
"चाळणी, चाळणी (सं.), चालवा","छन्नी, चाली (सं.), चालना, छानना (क्रि.), आवरण, पर्दा, स्क्रीन"
sku टक लावून पाहणे,स्कू गेज़
"बंद करणे, सील करणे, सील करणे (वर.)","बंद करना, मोहर लगाना, मुंह बंद करना (क्रि.)"
"हंगामी फरक, हंगामी चढउतार","ऋतुनिष्ठ उच्चावचन, मौसमी उतार-चढ़आव"
secant नियम,सीकेन्ट नियम
"दुसरा (सं.), दुसरा (वि.)","सेकंड (सं.), द्वितीय (वि.)"
"दुय्यम, दुय्यम","द्वितीयक, गौण"
"1 विभाग, विभाग, विभाग, विभाग, विभाग","1अनुभाग, खंड, परिच्छेद, काट, सेक्शन"
"क्षेत्र, क्षेत्र, क्षेत्र","अवखंड, त्रिज्यखंड, सेक्टर"
दीर्घकाळ टिकणारा,"दीर्घकालिक, चिरंतन"
बीजन,बीजारोपण
भूकंपशास्त्र,भूकंपविज्ञान
भूकंपशास्त्र,भूकंपविज्ञान
भूकंपशास्त्र,भूकंपमिति
निवडकता,वरणक्षमता
"स्वत:, स्वत:","स्वतः, स्व"
आंतरिक ऊर्जा,नैज ऊर्जा
उत्स्फूर्त दोलन,स्वोत्तेजित दोलन
सेमीकंडक्टर,अर्ध चालक
अर्ध अनुभवजन्य,अर्ध आनुभविक
अर्ध-अनंत,अर्ध-अनंत
अर्ध-लॉग आलेख पत्रक,अर्ध-लॉग ग्राफ-पत्र
गोलाकार अधिक कोन,गोलार्थ धन कोण
अर्थ,संवेद
संवेदनशील,सुग्राहीकृत
"संवेदनशील, संवेदनशील, संवेदनशील, संवेदनशील","सुग्राही, सूक्ष्मग्राही, संवेदनशील, संवेदी"
"ध्वनी रिसीव्हर दिवा क्रेस्ट, ध्वनी प्राप्तकर्ता ज्योत","ध्वनिग्राही दीप शिखा, ध्वनिग्राही ज्वाला"
"संवेदनशीलता, संवेदनशीलता, संवेदनशीलता","सुग्राहिता, सूक्ष्मग्रहिता, संवेदनशीलता"
"सक्रियकरण, संवेदना","सक्रियकरण, संवेदनीकरण"
सेन्सर,संवेदक
वेगळे करण्यायोग्य,पृथक्करणीय
"वेगळे करणे, वेगळे करणे, वेगळे करणे, अंतर","पृथकन, प्रथक्करण, पार्थक्य, अंतराल"
अष्टक,सप्तक
septode,सेप्टोड
अनुक्रमणिका,अनुक्रमण
मालिका मालिका मालिका (नकाशा),"श्रेणी, माला, सीरीज (मानचित्र)"
सर्वो मोटर,सर्वो-मोटर
"सेट अप, सेट अप, सेट अप, सेट अप, माउंट","अस्तमन, व्यवस्थान, विन्यासन, विन्यास, आदृढ़न"
"निकृष्ट, छायांकित","अवक्रमित, छायित"
सावली,छाया
आकृती,आकृति
तीक्ष्ण टोक,तीक्ष्ण अंतक
स्पाउट श्रेणी,स्फुट श्रेणी
"कातरणे बल, कातरणे","अपरूपक बल, अपरूपण"
ढाल केलेले न्यूक्लाइड,परिरक्षित न्यूक्लाइड
"निर्मिती, विस्थापन, हस्तांतरण","सृति, विस्थापन, स्थानांतर"
शॉक वेग,प्रघाती वेग
शॉक वेव्ह,प्रघाती तरंग
"लहान, जीर्ण, विसंगत","लघु, शीर्णक, अकर्ण्य"
मोठा आवाज,तीक्ष्ण स्वर
"पार्श्व मार्ग, शंट (सं.), बाजूचा मार्ग, शंट (v.)","पार्श्व पथ, शंट (सं.), पार्श्व पथन, शंटन (क्रि.)"
"बाजू, बाजू, बाजू","पार्श्व, पक्ष, भुजा"
बाजूला,नाक्षत्र
"पाहणे, लक्ष्य ठेवणे, पाहणे, लक्ष्य ठेवणे, लक्ष्य ठेवणे, शोधणे","दृष्टि, लक्ष्यदर्शी, दृष्टि चिह्न, लक्ष्य बांधना, अभिलक्षित करना, अभिसंधान करना"
राशी चिन्ह,"राशि, चिह्न"
"सिग्नल, सिग्नल","संकेत, सिग्नल"
शांत कालावधी,मूक अवधि
सिलिकॉन डायोड,सिलिकन डायोड
सिलिकॉन,सिलिकन
"सिलिकॉन प्लेक, सिलिकॉन वेफर","सिलिकन पटलिका, सिलिकन वेफर"
"साधर्म्य, सादृश्यता","सादृश्य, समरूपता"
अनुकरण करणारा,अनुकारी
एकाच वेळी,युगपत
"चिन्ह, साइन","साइन, ज्या"
एकल आयनीकरण,एकधा आयनन
सिंगल लाइन सिंगल लाइन,"एकल रेखा, एकल लाइन"
एकच पाऊल,एकचरण
"प्रवेश, बुडणे, विसर्जन, कुंड विलीन करणे, सिंक, टाकी","अभिगम, धंसना, निमज्जन, विलय गर्त, सिंक, हौदी"
sinusoidal,ज्यावक्रीय
सायफन,साइफन
सायरन,साइरन
"आकार, आकार (n.), आकार, खोदकाम (v.)","साइज, आमाप (सं.), साइजन, चिक्कण करना (क्रि.)"
"असममित, तिरकस","विषमतलीय, स्क्यू"
"एपिडर्मिस प्रभाव, त्वचा प्रभाव","उपरिस्तर प्रभाव, त्वाचिक प्रभाव"
आकाशी निळा,"आसमानी, नभोनील"
तिरकस श्रेणी,तिर्यक् परास
साप,सर्पी
"स्लिप, स्लिप, स्लिप, स्लिप, समाधान","फिसलना, सर्पण, विसर्पण, स्लिप, घोल"
c रिंग,सी वलय
"स्लिट, स्लिट, स्लिट","स्लिट, रेखाछिद्र, झिरी"
"उतार, उतार, उतार","ढलान, ढाल, प्रवणता"
स्लॉटेड लाइन,खांचित लाइन
मंद अणुभट्टी,मंथर रिऐक्टर
स्मोक्ड,धूमित
प्रेरक कॅपेसिटर,ऊर्मिहारी संधारित्र
"वक्रांचे संवहन, वक्रांचे विलीनीकरण","वक्र का निष्कोणन, वक्र का मसृणीकरण"
सोडर,सोडार
"मऊ, मऊ, कोमल","मृदु, नर्म, कोमल"
अल्पकालीन घटक,अल्पवेधी घटक
सुपर कंडक्टर,सु-अधिचालक
असुरक्षित लक्ष्य,अरक्षित लक्ष्य
कमी डिस्चार्ज ट्यूब,अल्प निर्वाती नलिका
सौर,सौर
"सोल्डर करणे, सोल्डर करणे (सं.), सोल्डर करणे, सोल्डर करणे (n.)","टाँका, सोल्डर (सं.), टाँका लगाना, सोल्डर करना (क्रि.)"
solenoid घटक,परिनालिकीय अवयव
"घन, वस्तुमान, घन","ठोस, पिंड, घनाकृति"
"उपाय, उपाय, उपाय, उपाय","हल, साधन, विलयन, घोल"
सोनिक बूम,ध्वनि बूम
"फोनोमीटर, सोनोमीटर","स्वरमापी, सोनोमीटर"
ध्वनिक,ध्वानिक
"वर्गीकरण, निवड, पृथक्करण","छंटाई, प्रवरण, पृथक्करण"
"आकाश, अवकाश, अवकाश, अवकाश, अवकाश, अवकाश","आकाश, अंतरिक्ष, दिक्स्थान, अवकाश, समष्टि, अंतर"
आकाशीय केबिन,आकाशीय कैबिन
मध्यांतर,अंतरालक
आकाशी,आकाशी
हस्तांतरण मध्यांतर,"अंतरण, अंतराल"
चमकणारा,स्फुलिंग
"आकाशीय, अवकाशीय","आकाशीय, स्थानिक"
"विशिष्ट सापेक्षता, विशिष्ट सापेक्षता","विशिष्ट आपेक्षिकता, विशिष्ट रिलेटिविटी"
"सापेक्ष, विशिष्ट, विशेष","आपेक्षिक, विशिष्ट, विशेष"
तपशील,विनिर्देश
निर्दिष्ट,विनिर्दिष्ट
वर्णक्रमीय,स्पेक्ट्रमी
स्पेक्ट्रोमेट्री,स्पेक्ट्रममिति
"स्पेक्ट्रोस्कोप, स्पेक्ट्रोस्कोप","स्पेक्ट्रमदर्शी, स्पेक्ट्रोस्कोप"
"स्पेक्ट्रोलॉजिस्ट, स्पेक्ट्रम शास्त्रज्ञ","स्पेक्ट्रमिकीविद, स्पेक्ट्रम वैज्ञानिक"
नियमित,नियमित
भाषण,वाक
स्पीडोमीटर,चालमापी
गोल चेंडू,"गोल, गोलक"
"गोलाकार, गोलाकार","गोलाकार, गोलीय"
"स्फेरोमीटर, स्फेरोमीटर","गोलाईमापी, स्फेरोमीटर"
स्पिन रिबाउंड,प्रचक्रण पलटाव
स्पिनिंग टॉप,प्रचक्रमान लट्टू
फिरकी,प्रचक्रण
सर्पिल गती,सर्पिल गति
"फूट, फूट (वि.) फाटणे, फाटणे (n.)","विपाटित, विभक्त (वि.) विपाट, विपाटन (सं.)"
आपोआप,स्वतः
"स्पूल, विंच, रील, व्हॉली","स्पूल, चरखी, रील, वलनी"
यादृच्छिक घटना,कदाचनिक परिघटना
"बिंदू, स्पॉट (ना.), स्पॉट, स्पॉट, ओळखणे, शोधा (व्हे.)","बिन्दु, स्थान (सं.), चित्ती, धब्बा, पहचानना, ढूंढना (क्रि.)"
ऊर्जा कॉम्प्लेक्स,ऊर्जा परिसर
"वसंत ऋतु, वसंत ऋतु, वसंत ऋतु, धबधबा, वसंत ऋतु","कमानी, स्प्रिंग, स्रोत, झरना, सोता, वसंत"
खोटी आवड,मिथ्या आवेश
अतिरिक्त प्रतिध्वनी,इतर प्रतिध्वनि
स्पुतनिक,स्पुत्निक
"चौरस, चौरस, चौरस","वर्ग, स्क्वे यर, चौक"
टिकाऊपणा,स्थायित्व
स्थिर करणे,स्थायीकारी
स्टॅक,चिति
"स्टेज, स्टेज, रँक, समुदाय, स्टेज","अवस्था, चरण, पद, समुदाय, स्टेज"
समांतर वितरण,सांतर वितरण
"मानक, प्रमाणित, ध्वज (सं.), मानक","मानक, प्रमाणित, ध्वज (सं.), मानक"
प्रमाणित,मानकीकृत
मानकीकरण,मानकीकरण
"तारा, तारा","तारा, तारक"
तीव्र प्रभाव,स्टार्क प्रभाव
"प्रवर्तक, स्टार्टर, स्फोटक","प्रवर्तक, आरंभक, स्फोटक"
स्टॅम्पियर,स्टेटैम्पियर
"स्थिती, राज्य, राज्य","स्थिति, अवस्था, राज्य"
विधान,प्रकथन
स्थिर स्थिर इलेक्ट्रोस्टॅटिक आवाज,"स्थिर, स्थैतिक, विद्युत स्थैतिक रव"
स्थिर,स्थैतिक
"निरीक्षण केंद्र, स्टेशन, चंद्र","प्रेक्षणास्थल, केन्द्र, स्टेशन, चांदा"
प्रगतीशील,अप्रगामी
स्तब्ध,स्तब्ध आवेश
सुन्नता टप्पा,स्तब्धता प्रावस्था
निश्चित क्षेत्र,अचल क्षेत्र
प्रगतीशील कण,अप्रगामी कण
स्तब्ध वृत्ती,स्तब्ध प्रावथा
नमुना,प्रतिदर्शज
सांख्यिकीय,सांख्यिकीय
सांख्यिकीय वजन,सांख्यिकीय भार
स्टेटर,स्टेटर
"न बदलणारा, स्थिर, स्थिर, कायम","अपरिवर्ती, अचर, स्थिर, स्थायी"
वाफेची वाफ,"भाप, प्रवाष्प"
स्टीम टर्बाइन,भाप का टर्बाइन
स्टील,इस्पात
स्टीयरिंग बॉक्स,स्टीयरिंग बॉक्स
तार्यांचा,तारकीय
"पाऊल, पाऊल, पाऊल, पाऊल","पग, सोपान, चरण, पद"
क्रमाक्रमाने,"चरणशः, क्रर्मिक"
चरण कार्य,"पग-फलन, सोपान फलन"
स्टेरॅडियन,स्टरेडियन
स्टिरिओस्कोपिक,त्रिविम
स्टिरिओस्कोपिक आवाज,त्रिविम ध्वनि
संलग्नक टक्कर,अनुलगनी संघट्ट
"अपर्या नाभिक, कृष्ण नाभिक","अपार्य न्यूक्लियस, कृष्ण न्यूक्लियस"
"कठीण, कणखर, कणखर, टणक","कड़आ, दुर्नम्य, दृढ़, सुदृढ़"
लवचिकता,दुर्नम्यता
"ठिपका, कलंक","बिन्दुक, वर्तिकाग्री"
सूचकता,बिन्दुकता
"भाभाका, असोत्रा (सं.), स्थावर (वि.), अचल दृश्य","भभका, आसोत्र (सं.), अचल (वि.), अचल दृश्य"
चिथावणी देणे,उद्दीपित करना
उत्तेजन,उद्दीपन
ढवळणारा,विलोडक
स्टोक,स्टोक
"ब्रेक-वॉच, स्टॉक-क्लॉक","विराम-घड़ई, स्टॉक-क्लाक"
उष्णतारोधक,रोधनी
"मर्यादा, थांबा","सीमक, रोक"
थांबण्याची क्षमता,निरोधी विभव
"जेबी ब्रेक घड्याळ, घड्याळ थांबवा","जेबी विराम घड़ई, स्टॉप वाच"
"स्टोरेज, स्टोरेज","संचयन, भंडारण"
स्टोव्ह,स्टोव
"सरळ, सरळ, साधे","ऋजु, सीधा, सरल"
"वितरण, ताण, विकृती, भेदभाव, भेद, फिल्टरिंग (ver.)","वितति, तनाव, विकृति, विभेद, प्रभेद, छानना (क्रि.)"
विकृत,विकृत
स्फिग्मोमॅनोमीटर,विकृतिमापी
"स्ट्रॅटोस्फियर, 2 स्ट्रॅटोस्फियर","समतापमंडल, 2स्ट्रैटोस्फियर"
अवांछित,अवांछित
"विद्युल्लता, विजा","तडित् रेखा, विद्युल्लता"
"नदी, नाला, नाला","सरिता, धारा, नाला"
"पाझर, प्रवाह, प्रवाह","अभिस्रवण, धारा धावन, प्रवाही"
अस्तर,धारारेखित
"शक्ती, ताकद, तीव्रता, एकाग्रता, क्रियाकलाप","सामर्थ्य, प्रबलता, तीव्रता, सांद्रता, सक्रियता"
ताण,प्रतिबल
चाप-अभिनय क्षमता,आर्क-प्रवर्तक विभव
"आर्क स्टार्टिंग व्होल्टेज, व्हॉल्व्ह स्टार्टिंग व्होल्टेज","आर्क प्रारंभिक वोल्टता, वाल्व प्रारंभिक वोल्टता"
"धागा, धागा, धागा, फिलामेंट, दोर, तार, तार, 8. दोरखंड दोष","धागा, सूत्र, सूत्र, तंतु, रज्जु, डोर, डोरी, 8.रज्जुदोष"
"पट्टी, पट्टी, स्ट्रिपिंग, स्ट्रिपिंग, नग्न","पट्टी, स्ट्रिप, छीलन, विपट्टन, नग्नन, निर्लेपन"
"सोलणे, विटन, मुंडण, नग्न","निर्लेपन, विट्टन, छीलन, नग्नन, अपखंडन"
निष्कर्षण प्रतिक्रिया,अंशहरण अभिक्रिया
स्ट्रोबोस्कोप,स्ट्रोबोस्कोप
स्ट्रोक,स्ट्रोक
"मजबूत, खोल, तीक्ष्ण, एकाग्र","प्रबल, गहरा, तेज, सांद्र"
मजबूत संसर्ग,प्रबल संक्रमण
संरचनात्मक,संरचनात्मक
"रचना, पोत","संरचना, बनावट"
सुई,सुई
"उपवर्ग, उपसमूह, उपसमूह","उपवर्ग, उपसमूह, उपग्रुप"
"सूक्ष्म, अतिसूक्ष्म, उपसूक्ष्म","अतिसूक्ष्म, अतिसूक्ष्मदर्शीय, उपसूक्ष्मदर्शीय"
अणु भौतिकशास्त्र,अवनाभिकीय भौतिकी
तळटीप,"पादांक, पादाक्षर, पादलिपि"
"सहायक, सहायक","गौण, सहायक"
"कार्यरत द्रवपदार्थ, सबस्टेट","कार्यद्रव, सबस्टेट"
उप युनिट,उप एकक
हळूहळू,उत्तरोत्तर
सक्शन,चूषण
सक्शन,चूषण
उदास,उमसवाला
"बेरीज, बेरीज, बेरीज परिणाम, बेरीज","योगफल, जोड़, संकलन फल, धनराशि"
रवि,सूर्य
सूर्याचे घड्याळ,धूप घड़ई
"सन ब्लर, सन ब्लॉट","सूर्य कलंक, सूर्य का धब्बा"
सूर्य नक्षत्र,सूर्यतारा
अत्यंत,अति
सुपरकंडक्टिंग धातू,अतिचालक धातु
अतिवाहकता,अतिचालकता
सुपर ड्रायव्हर,अति चालक
राक्षस,महाविशाल
आरोपित,अध्यारोपित
रोपण,अध्यारोपण
सुपरमाले,सुपरमेलाय
अतिसामान्य विक्षेपण,अतिप्रसामान्य बिक्षेपण
लादणे,अध्यारोपण करना
रोपण,अध्यारोपण
अतिसंपृक्तता,अतिसंतृप्ति
अतिसंवेदनशील,अतिसुग्राही
प्रचंड कंपनसंख्या असलेल्या (ध्वनिलहरी),पराध्वनिकी
सुपरसोनिक्स,पराध्वानिकी
अधिरचना,अधिरचना
पूरक,संपूरक
खाद्य पुरवठा,संभरण पूर्ति
"तंत्रज्ञान, आधार","टेक, आधार"
प्रतिबंधित ग्रिड,निरोधक ग्रिड
अतिवाहकता,अतिचालकता
पान,पृष्ठ
"लाट, फुगणे","महोर्मि, प्रोत्कर्ष"
चौकसपणा,चौकसी
"गृहीत प्रवेश, प्रतिसाद","अधिकल्पित प्रवेश्यता, अनुक्रियता"
"संवेदनशीलता, चुंबकीय प्रवृत्ती, ग्रहणक्षमता","सुग्राहिता, चुंबकीय प्रवृत्ति, ग्रहणशालित्व (प्रवृत्ति)"
"निलंबन, लटकणे","निलंबन, लटका हुआ"
चे पालन केले,प्रतिपालित
"पसरणे, समास","प्रसर्प, मार्जन"
"सूज, सूज, सूज","फुल्लन, फूलना, सूजन"
"प्राडोल, डोल","प्रदोल, डोल"
"भोवरा गती, परस्पर गती","भंवरदार गति, परिभ्रामी गति"
स्विच बोर्ड,स्विच पटल
पत्र,अक्षर
सममितीय,सममित
सममितीय,सममित
सममितीने,सममिततः
सममिती,सममितीकरण
सममिती,सममिति
सिंक्रोसायक्लोट्रॉन,सिन्क्रोसाइक्लोट्रॉन
सिंक्रोनाइझेशन,तुल्यकालन
समकालिक असणे,तुल्यकालिक होना
सिंक्रोनायझर,तुल्यकालक
सिंक्रोनाइझेशन,तुल्यकालन
"समकालिकपणे, समकालिकपणे","तुल्यकालिकतः, तुल्यकाल में"
सिंक्रोट्रॉन,सिंक्रोट्रॉन
सिंथेटिक,कृत्रिम
"शरीर, प्रणाली, गट, समुदाय, प्रणाली","निकाय, पदधति, समूह, समुदाय, तंत्र"
"वर्गीकरण, वर्गीकरण, वर्गीकरण-","क्रमबद्ध, वर्गीकरणी, वर्गीकरण-"
"सार्वत्रिक, शरीर","सर्वांगी, दैहिक"
"टॅब्युलेटर, टॅब्युलर मशीन, टॅब्युलर","सारणित्र, सारणी यंत्र, सारणीयक"
"चिन्हांकित, चिन्हांकित, चिन्हांकित","चिह्नत, अंकित, संहित"
शेपटी शेपूट,"पुच्छ, पूँछ"
हळूहळू घट,क्रमिक ह्रास
"कूळ, निर्गमन","उपरितरण, उत्प्रस्थान"
"स्पर्शिक, स्पर्शिक","स्पर्शीय, स्पर्शरेखीय"
"नळी (सं.), नळी, अपूर्णांक, एक्सट्रूजन डायव्हर्जन, टॅपन (v.)","टोंटी (सं.), टोंटीयन, अंश, निष्कासन अपसारण, टैपन (क्रि.)"
"ऑर्डिनल, बारीक बारीक","क्रमसूक्ष्मक, टेपर"
"टॅपर्ड, टॅपर्ड (v.), पेरिअनथ, टेपरॉन (सं.)","शुंडाकार, गावदुम (वि.), क्रमसूक्ष्मण, टेपरन (सं.)"
"knock-key, प्रेस-की","खट-कुंजी, दाब-कुंजी"
"पार्ट रिमूव्हल स्विच, स्पाउट स्विच","अंश निष्कासन स्विच, टोंटी स्विच"
लक्ष्य,लक्ष्य
"तंत्रज्ञान, तंत्र","तकनीक, प्रविधि"
तंत्रज्ञान,प्रौद्योगिकी
दूरदर्शन प्रसारण,टेलीविजन प्रसारण
"तार, तार","तारसंचार, टेलीग्राफी"
टेलिमीटर,दूरमापी
टेलिमेट्री,दूरमिति
फोन,टेलीफोन
"दुर्बिणी, दुर्बिणी, दुर्बिणी","दूरबीन, दूरदर्शक, टेलीस्कोप"
"दूरदर्शन, दूरदर्शन","दूरदर्शन, टेलीविजन"
उष्णता,ताप
कालिक,कालिक
"अल्पकालीन, तात्पुरता, तात्पुरता","अल्पकालिक, अस्थायी, अल्पस्थायी"
कल,प्रवृत्ति
तन्यता,तनन
तन्य,तन्यता
ताण,तनाव
क्षेत्र,प्रदिश
टेरा,टेरा
"शेवट, टर्मिनल, शेवट, शेवट","सिरा, टर्मिनल, अंतस्थ, अंतिम"
"भूभाग, खडकाळ प्रदेश","भूभाग, शैलप्रदेश"
"स्थलीय, स्थलीय, स्थलीय","स्थलीय, पार्थिव, भौमिक"
टेस्ला,टेसला
स्पष्टता चाचणी चार्ट,स्पष्टता परीक्षण चार्ट
चतुर्थांश,"चतुष्टय, चतुष्क"
दुहेरी ट्रॅपेझॉइड,द्विसमलंबाक्ष
टेट्रोड,टेट्रोड
थिओडोलाइट,थियोडोलाइट
सैद्धांतिक,सैद्धांतिक
"उष्णता, उष्णता, उष्णता","तापीय, ऊष्मीय, ऊष्मा"
गरम करणे,तापीयन
गरम करणे,तापायन
tapayni,तापायनी
थर्मोइलेक्ट्रिक जोडी,ताप-वैद्युत युग्म
थर्मोडायनामिक,ऊष्मागतिक
थर्मोडायनामिक्स,ऊष्मागतिकी
थर्मोइलेक्ट्रिक,ताप-वैद्युत
"थर्मामीटर, थर्मामीटर","तापमापी, थर्मामीटर"
थर्मोमेट्री,तापमिति
थर्मोइलेक्ट्रिक बीम,ताप-वैद्युत पुंज
थर्मॉस,थर्मस
समशीतोष्ण,तापस्थायी
"पातळ फिल्म, पातळ थर","तनुफ़इल्म, पतली परत"
स्टिरिओस्कोपिक,त्रिविम
"उंबरठा, उंबरठा","देहली, प्रभावसीमा"
थांबा झडप,उपरोधी वाल्व
"प्रक्षेपण, पडणे","प्रक्षेप, पात"
"जोर, जोर","प्रणोद, क्षेप"
थायरिस्टर,थाइरिस्टर
nat अक्ष,नत अक्ष
अभिनंदन,अभिनमन
"वेळ, कालावधी, कालावधी","समय, काल, अवधि"
"सहनशीलता, सहनशीलता","सह्यता, सहन"
टन,टन
"टोन, टोन, प्रतिमा","स्वरक, टोन, छवि"
"टनेज, वजन","टन भार, भार"
"वेणी, भ्रम, बांगडी, शीर्ष","लटू, भ्रमि, चूड़आ, शीर्ष"
toroid,टोरॉइड
टोरॉइडी,टोरॉइडी
"टॉर्क, क्रॅम्प","बल आघूर्ण, ऐंठन"
टॉर्सिलरी ट्यूब,टॉरिसेलीय नली
"आक्षेप, आक्षेप, 3 आक्षेप","मरोड़, विमोटन, 3 ऐंठन"
धक्का,मरोड़ई
"जोड, योग (संत्रा). पूर्ण, पूर्ण (v.)","जोड़, योग (संत्र). संपूर्ण, पूर्ण (वि.)"
"मार्गक्रमण, मार्गक्रमण","प्रक्षेप-पथ, संछदी"
परस्परावलंबन,अन्योन्यप्रवेश्यता
इंटरकंडक्टिव्हिटी,अंतराचालकता
प्रतिलेखन,अनुलेखन
तफावत,रूपांतर
रूपांतरण,रूपांतरण
"ट्रान्सफॉर्मर, ट्रान्सफॉर्मर","परिणामित्र, ट्रान्फॉर्मर"
क्षणिक,क्षणिक
ट्रान्झिस्टर,ट्रांजिस्टर
संसर्ग,संक्रमण
हस्तांतरण,स्थानांतरण
पारदर्शकता,पारभासकता
संक्रमणक्षमता,संचरणशीलता
"ट्रान्समिशन, ट्रान्समिशन, ट्रान्समिशन, ट्रान्झिट","संचरण, प्रेषण, संचारण, पारगमन"
पारगम्यता,पारगम्यता
"प्रसारित करणे, संप्रेषण करणे","प्रेषण करना, संचार करना"
