English,Assamese
quadratic objective function,দ্বিঘাত বস্তুনিষ্ঠ ফলন
quadratic programming ,দ্বিঘাত প্ৰগ্ৰেমিং দ্বিঘাত প্ৰগ্ৰেমিং
quadratic reciprocity ,দ্বিঘাত উলটিব পৰা নিয়ম
quadratic surface,দ্বিঘাত পৃষ্ঠা
quadratic term,দ্বিঘাত পদ
quadrature formula,দ্বিঘাত সূত্ৰ
quadrilateral,চতুৰ্ভুজ
qualitative analysis,গুণগত বিশ্লেষণ
quality control,গুণগত নিয়ন্ত্ৰণ
quantum mechanics,কোৱাণ্টাম বলবিজ্ঞান
quantum number,কোৱাণ্টাম সংখ্যা
quantum statistics ,কোৱাণ্টাম পৰিসংখ্যা
quarter ,"চতুৰ্থাংশ, চতুৰ্থাংশ, চতুৰ্থাংশ"
quartic,চতুৰ্ভুজ
quartile,চতুৰ্থাংশ
quasi linear constitutive equation,ৰৈখিক নিৰ্মাতা সমীকৰণ
quasi regular,নিয়মীয়া চক্ৰ
quaternion,আড্ডাবাজ
queue length,ৰেখাৰ দৈৰ্ঘ্য
queuing model,লাইন মডেল
queuing problem,শাৰীৰ সমস্যা
queuing process,শাৰী প্ৰক্ৰিয়াকৰণ
queuing system,শাৰী ব্যৱস্থা
queuing theory,ৰেখা তত্ত্ব
quintile,পঞ্চমক
quintuplet,কুইন্টেট
quotation,"হাৰ উদ্ধৃত, মূল্য উদ্ধৃত"
quotient,"ভাগফল, বিভাজন"
quotient field,বিভাগৰ এলেকা
quotient group,বিভাগৰ গোট
quotient law,ভাগফল নিয়ম
quotient set,বিভাগৰ ছেট
quotient space,বিভাগৰ জনসংখ্যা
quotient topology,বিভাগৰ গাঁথনি
radial,ব্যাসাৰ্ধ
radian,ৰেডিয়েন
radian measure,ৰেডিয়ান পৰিমাপ
radical,কৰ্ণী
radical axis,মূলাক্ষ
radical sign,শ্ৰেণীবিভাজন
radius,ব্যাসাৰ্ধ
radius of convergence,অভিসৰণ ব্যাসাৰ্ধ
radius of curvature,বক্ৰতাৰ ব্যাসাৰ্ধ
radius vector,মেৰুত্ব ৰেখা
radix,ৰেডিক্স
random error,যাদৃচ্ছিক ভুল
random function,ৰেণ্ডম ফাংচন
randomization,ৰেণ্ডমাইজেচন
randomised blocks,ৰেণ্ডম ব্লক
random model,ৰেণ্ডম মডেল
random number,যাদৃচ্ছিক সংখ্যা
random sampling,ৰেণ্ডম নমুনা সংগ্ৰহ
random variable,ৰেণ্ডম চলকসমূহ
range,"ৰেঞ্জ, ৰেঞ্জ, ৰেঞ্জ, ৰেঞ্জ"
range of convergence,অভিসৰণ জটিল
range of integration,সংহতি চৌহদ
range of relation,সম্পৰ্ক চৌহদ
range space,কেম্পাছৰ জনসংখ্যা
rank,শ্ৰেণী
rank correlation,ৰেংক সম্পৰ্ক
rank of matrix,মেট্ৰিক্সৰ গ্ৰেড
rank order statistics,অৰ্ডাৰৰ নমুনা সজাওক
rate of change,পৰিৱৰ্তনৰ হাৰ
rate of convergence,অভিসৰণ হাৰ
Ratio,অতুলনীয়
Rational,যুক্তিকৰ
rational expression,যুক্তিসংগত প্ৰকাশ
rational field,যুক্তিসংগত ক্ষেত্ৰ
rational function,যুক্তিসংগত ফলন
rationalisation of the denominator,হৰৰ যুক্তিসংগতকৰণ
rational number,যুক্তিসংগত সংখ্যা
rational number field,যুক্তিসংগত সংখ্যাৰ ক্ষেত্ৰ
rational operation,যুক্তিসংগত কাৰ্য্য
ratio test,অসমতাপূৰ্ণ পৰীক্ষা
raw data,"অপ্ৰচেছড দত্ত, লাভ কৰা অনুসৰি"
ray,"ৰশ্মি, কিৰণ, পাখ-আৰ, ৰায়, শংকুষ, অৰ্ধেখা, আৰ"
ray vector,ৰশ্মি ভেক্টৰ
real,বাস্তৱ
real axis,বাস্তৱ অক্ষ
real continuum,বাস্তৱ ধাৰাবাহিকতা
real line,বাস্তৱ ৰেখা
real linear vector space,বাস্তৱ ৰৈখিক ভেক্টৰ স্থান
real matrix,বাস্তৱ মেট্ৰিক্স
real number,বাস্তৱ সংখ্যা
real number field,বাস্তৱ সংখ্যাৰ ক্ষেত্ৰ
real part,প্ৰকৃত অংশ
real polynomial,বাস্তৱ বহুপদ
real quadratic,বাস্তৱ দ্বিঘাত
real root,বাস্তৱ মালু
real space,বাস্তৱ জনসংখ্যা
real time system,বাস্তৱ সময়ৰ ব্যৱস্থা
real valued function,বাস্তৱ মূল্যৰ ফলন
real variable,বাস্তৱ চলক
real vector space,বাস্তৱ ভেক্টৰ স্থান
reciprocal,"বিপৰীত, পাৰস্পৰিক, পাৰস্পৰিক"
reciprocal matrix,বিপৰীত মেট্ৰিক্স
rectangle,আয়ত
rectangular,"আয়তাকাৰ, সোঁকোণীয়া, সোঁকোণীয়া"
rectangular array,আয়তাকাৰ টেবুল
rectangular axis,"সোঁকোণৰ অক্ষ, সোঁকোণৰ স্থানাংক অক্ষ"
rectangular density function,আয়তাকাৰ ঘনত্বৰ ফলন
rectangular hyperbola,সোঁকোণীয়া হাইপাৰবোলা
rectangular matrix,আয়তাকাৰ মেট্ৰিক্স
rectangular parellelopiped   (cuboid),"আয়তাকাৰ সমান্তৰাল চতুৰ্ভুজ, সোঁকোণ সমান্তৰাল চতুৰ্ভুজ"
rectifiable curve,আৰ্কুৱেট কাৰ্ভ
recurrence formula,পুনৰাবৃত্তি সূত্ৰ
recurring decimal,সময়কালীন দশমিক
recursion formula,টাৰ্ণআউট সূত্ৰ
reduced echelon form,স্তৰভিত্তিক ৰূপ
reductio-ad-absurdum,অসামঞ্জস্যপূৰ্ণ পৰিৱেশন
reduction formula,"লগাৰিদম সূত্ৰ, সমতুল্যতা সূত্ৰ"
reference line,"ৰেফাৰেন্স লাইন, ৰেফাৰেন্স লাইন"
reference point,ৰেফাৰেন্স পইণ্ট ৰেফাৰেন্স পইণ্ট
reflected wave,প্ৰতিফলিত তৰংগ
reflection,প্ৰতিফলন
reflexive law,সমতুল্য নিয়ম
region of convergence,অভিসৰণ অঞ্চল
region of divergence,বিচ্ছিন্ন অঞ্চল
region of integration,সংহতি মণ্ডল
regression analysis,ৰিগ্ৰেছন বিশ্লেষণ
regression curve,ৰিগ্ৰেছন বক্ৰ
regression equation,ৰিগ্ৰেছন সমীকৰণ
regression line,ৰিগ্ৰেছন লাইন
regression model,ৰিগ্ৰেছন মডেল
regular curve,নিয়মীয়া বক্ৰ
regular hexagon,আনকি ষড়ভুজ
regular matrix,নিয়মীয়া মেট্ৰিক্স
regular tetrahedron,সমপক্ষীয়
relative complement,আপেক্ষিক পৰিপূৰক
relative maximum,আপেক্ষিকভাৱে সৰ্বোচ্চ
relative minimum,আপেক্ষিকভাৱে সৰ্বনিম্ন
relative probability (conditional probability),আপেক্ষিক সম্ভাৱনা
relative velocity,আপেক্ষিক বেগ
Relativity,"আপেক্ষিকতা, আপেক্ষিকতা, আপেক্ষিকতা"
relativity theory,আপেক্ষিকতাবাদ তত্ত্ব
reliability,নিৰ্ভৰযোগ্যতা
reliability problem,নিৰ্ভৰযোগ্যতাৰ সমস্যা
remainder term,অৱশিষ্ট পদ
remainder theorem,বাকী উপপাদ্য
repeated limit,পুনৰাবৃত্তিমূলক সীমা
repeated Riemann integral,পুনৰাবৃত্তিমূলক Riemann-অখণ্ড
representation,প্ৰতিনিধিত্ব কৰা
Residue,"অৱশিষ্ট, অৱশিষ্ট"
residue at a pole,অসীমত থাকে
resolution,"বিসৰ্জন, খণ্ডন, পাৰ্থক্য"
resolution of forces,বিচ্ছিন্নতা
resolution of velocities,বেগ সমন্বয়
resultant,ফলাফলৰ ফলাফল
resultant force,ফলস্বৰূপ বল
resultant vector,ফলাফল ভেক্টৰ
revised simplex technique,পৰিৱৰ্তিত একক পদ্ধতি
rhombus,ৰম্বছ
Riemann integral,riemann-অখণ্ড
right angle,"সোঁকোণ, সোঁকোণ"
right angled triangle,সোঁকোণীয়া ত্ৰিভুজ
right circular cone,সোঁফালৰ বৃত্তাকাৰ শঙ্কু
right coset,দক্ষিণ চেট
right cylinder,সোঁফালৰ বৃত্তাকাৰ চিলিণ্ডাৰ
right handed,ঘড়ীৰ কাঁটাৰ দিশত
right inverse,দক্ষিণৰ বিপৰীত
rigorous proof,"সঠিক প্ৰমাণ, সঠিক প্ৰমাণ"
ring,"আঙঠি, আঙঠি"
ring of integers,পূৰ্ণসংখ্যাৰ আঙঠি
R-integrable,R-অখণ্ড
root,"মূল, মূল"
root mean square,বৰ্গমূল মূল
root of a polynomial,বহুপদৰ মূল
rotation,"ঘূৰণ, ঘূৰণ"
rounding error,ঘূৰণীয়া ত্ৰুটি
row,লানি পতা
row-by-column multiplication,শাৰী-স্তম্ভ গুণন
row equivalence,ৰেখা সমতুল্যতা
row matrix,শাৰী মেট্ৰিক্স
row rank,শাৰী ক্ৰম
saddle point,এস্কেপ পইণ্ট
sample,"নমুনা, নমুনা"
sample means,নমুনাৰ গড়
sample point,নমুনা বিন্দু
sample size,নমুনাৰ আকাৰ
sample space,নমুনা স্থান
sample standard deviation,নমুনা-মানক-বিচ্যুতি
sample survey,নমুনা জৰীপ
sample variance,নমুনা ভ্যাৰিয়েন্স
sampling,"নমুনা (v.), নমুনা সংগ্ৰহ (n.)"
sampling distribution,নমুনা বিতৰণ কৰা
sampling error,নমুনা সংগ্ৰহৰ ভুল
sampling interval,নমুনা সংগ্ৰহৰ ব্যৱধান
sampling method,নমুনা সংগ্ৰহ পদ্ধতি
sampling theory,নমুনা সংগ্ৰহৰ নীতি
sampling with replacement,প্ৰতিস্থাপনৰ সৈতে নমুনা সংগ্ৰহ কৰা
scalar,"স্কেলাৰ, স্কেলাৰ"
scalar field,স্কেলাৰ ক্ষেত্ৰ
scalar matrix,স্কেলাৰ মেট্ৰিক্স
scalar multiple,স্কেলাৰ বহুগুণ
scalar multiplication,স্কেলাৰ গুণন
scalar product,স্কেলাৰ উৎপাদন
scalar quantity,স্কেলাৰ
scalar triple product,স্কেলাৰ ট্ৰিপল প্ৰডাক্ট
scelene triangle,স্কেলিন ত্ৰিভুজ
scattered diagram,স্কেটাৰ ডায়াগ্ৰাম
Schrodinger equation,শ্ৰডিংগাৰ সমীকৰণ
seasonal fluctuation,"ঋতুভিত্তিক উঠা-নমা, ঋতুভিত্তিক উঠা-নমা"
secant,"ভেদকাৰী, ভেদকাৰী ৰেখা, ছেকেণ্ট, বিপৰীত কোচাইন"
secant method,বিন্ধি পদ্ধতি
second derivative,দ্বিতীয়
second order,দ্বিতীয় ক্ৰম (দ্বিতীয় প্ৰকাৰ)
section,"ছেকচন, ছেকচন, ছেকচন, ছেকচন, ছেকচন"
sector,"মহকুমা, খণ্ড, খণ্ড"
segment of a curve,বক্ৰ খণ্ড
self — adjoint,আত্মসংলগ্নতা
self adjoint operator,স্ব-সংলগ্ন অপাৰেটৰ
self — conjugate,অটোজাইগাছ
semiaxis,আধা অক্ষ
semicircle,অৰ্ধবৃত্ত
semi - definite matrix,কংক্ৰিটৰ মেট্ৰিক্স
semi - definite quadratic form,অখণ্ড দ্বিঘাত
semigroup,সমীসমুহ
semi - interval,আধা ব্যৱধান
semi major axis,অৰ্থাৎ প্ৰধান অক্ষ
semi minor axis,অৰ্ধ ক্ষুদ্ৰ অক্ষ
separable polynomial,পৃথক কৰিব পৰা বহুপদ
separation of variables,চলক পৃথকীকৰণ
sequence,ক্ৰম
sequencing theory,সূচীকৰণ নীতি
sequential analysis,ক্ৰমিক বিশ্লেষণ
sequential sampling,ক্ৰমিক নমুনা সংগ্ৰহ কৰা
serial correlation,শ্ৰেণীগত সম্পৰ্ক
series,"শৃংখলা, শৃংখলা, শৃংখলা"
set,"aggregate, বতাহৰ দিশ, ধাৰা দিশ, জমা, জমা (ver.)"
sextant,sextant
Shewhart control charts,শ্বেৱাৰ্ট নিয়ন্ত্ৰণ চাৰ্ট
sign,"চিহ্ন, পৰিমাণ"
signature of a matrix,মেট্ৰিক্স মাৰ্কাৰ
signature of quadratic form,দ্বিঘাত দ্বিঘাত চিহ্ন
signed number,শচীন নম্বৰ
significance level,তাৎপৰ্য্যৰ স্তৰ
significance test,তাৎপৰ্য্য পৰীক্ষা
significant digit,উল্লেখযোগ্য নম্বৰ
sign test,নম্বৰ পৰীক্ষা
signum function,চিহ্ন ফলন
similar ellipses,একেধৰণৰ উপবৃত্তাকাৰ
similar figures,সমজাতীয় চিত্ৰ
similarity,"সাদৃশ্য, উপমা"
similar matrices,সমজাতীয় মেট্ৰিক্স
simple closed curve,সহজ বন্ধ বক্ৰ
simple correlation,সহজ সম্পৰ্ক
simple harmonic motion,সহজ হাৰমনিক গতি
simple random sampling,সহজ যাদৃচ্ছিক নমুনা সংগ্ৰহ
simplex,"set, simplex, একপক্ষীয়, সহজ"
simplex algorithm,একমুখী এলগৰিদম
simplex tableau,একক টেবুল
Simpson's one - third rule,simpson ৰ এক তৃতীয়াংশ নিয়ম
simulation technique,চিমুলেচন পদ্ধতি
simultaneous differential equations,সমকালীন অৱভেদ্য সমীকৰণ
simultaneous equations,একেলগে সমীকৰণ
sine,"চিহ্ন, sine"
sine curve,"চাইন বক্ৰ, চাইন বক্ৰ"
singleton,একক
single valued function,একঘেয়ামী কাৰ্য্য
singular integral,অদ্ভুত অখণ্ড
singularity,"অদ্ভুততা, অদ্ভুততা"
singular matrix,অপৰিৱৰ্তিত মেট্ৰিক্স
singular solution,অদ্ভুত সমাধান
size of sample,নমুনাৰ আকাৰ
skewed distribution,অদ্ভুত বিতৰণ
skew-Hermitian matrix,বিষমজাতীয় হাৰ্মিটিয়ান মেট্ৰিক্স
skewness,বিষমতা
skew symmetric matrix,অদ্ভুত প্ৰতিসম মেট্ৰিক্স
slack variable,চলক নূন্যতম কৰা
slope,"ঢাল, ঢাল, ঢাল"
slope gradient,ঢালৰ গ্ৰেডিয়েণ্ট
small brackets,"বন্ধনী, চুটি বান্ধনি"
smooth curve,পোন বক্ৰ
smooth function,বিবিধ কাৰ্য্য
smoothing of time series,সৌৰজগত
solar system,
solenoidal vector,ছ&#39;লেন&#39;ইডাল ভেক্টৰ
solid,"কঠিন, ভৰ, ঘনক"
solid geometry,"ঘন জ্যামিতি, ষ্টেৰিঅ’স্কোপিক জ্যামিতি"
solution,"সমাধান, সঁজুলি"
solution in series,শৃংখলা গঠন সমাধান
solution matrix,সমাধান মেট্ৰিক্স
solution of a triangle,ত্ৰিভুজৰ সমাধান
solution space,সমাধান জনসংখ্যা
Sonine polynomial,ছ&#39;নাইন বহুপদ
space,"আকাশ, মহাকাশ, মহাকাশ, মহাকাশ, মহাকাশ"
space curve,আকাশ বক্ৰ
spanning set,অভিভাৱক ছেট
spatial correlogram,স্থানীয় সম্পৰ্ক ডায়েগ্ৰাম
special linear group,নিৰ্দিষ্ট ৰৈখিক গোট
special orthogonal group,নিৰ্দিষ্ট উলম্ব গোট
specific gravity,"নিৰ্দিষ্ট ঘনত্ব, আপেক্ষিক ঘনত্ব"
spectral mapping theorem,মানৱ মেপিং উপপাদ্য
spectrum of a function,কাৰ্য্যৰ নিয়ম
sphere,"গোলক, গোলক"
spherical coordinate system,গোলাকাৰ স্থানাংক ব্যৱস্থা
spherical polar coordinate,গোলাকাৰ মেৰু স্থানাংক
spherical triangle,গোলাকাৰ ত্ৰিভুজ
spherical trigonometry,গোলাকাৰ ত্ৰিকোণমিতি
spiral,সৰ্পিল
square,"বৰ্গ, বৰ্গ"
square brackets,"গুৰু, গুৰুবন্ধনী"
square integrable,বৰ্গ অখণ্ড
square matrix,বৰ্গক্ষেত্ৰৰ মেট্ৰিক্স
square root,বৰ্গমূল
stage of sampling,নমুনা সংগ্ৰহৰ পৰ্যায়
staircase function,স্তৰভিত্তিক ফলন
standard deviation,মানক বিচ্যুতি
standard inner product,ষ্টেণ্ডাৰ্ড ডিফাৰেন্সিয়েল প্ৰডাক্ট
state of equilibrium,ভাৰসাম্যতা
stationary curve,অজ্ঞান বক্ৰ
stationary point,অজ্ঞান বিন্দু
stationary value,শ্বক কৰা মূল্য
statistic,"নমুনা, চিত্ৰ"
statistical,পৰিসংখ্যাগত
statistical data,পৰিসংখ্যা বিশ্লেষণ
statistical distribution,পৰিসংখ্যাগত বিতৰণ
statistical hypothesis,পৰিসংখ্যাগত অনুমান
statistical inference,পৰিসংখ্যাগত আনুমানিককৰণ
statistical model,পৰিসংখ্যাগত আৰ্হি
statistical population,পৰিসংখ্যাগত জনসংখ্যা
statistical quality control,পৰিসংখ্যাগত গুণগত মান নিয়ন্ত্ৰণ
statistics,"পৰিসংখ্যা, পৰিসংখ্যা"
steady,"অপৰিৱৰ্তিত, স্থিৰ, স্থিৰ, স্থায়ী"
steady state solution,ষ্টেণ্ডিং ষ্টেট সমাধান
steep ascent (of a curve),অধিক প্ৰৱণ মাউন্ট
steepest ascent design,ঢাল-আৰোহণ ডিজাইন
steepest descent,ঠেকতম অৱতৰণ
step function,"ষ্টেপ-ফাংচন, ষ্টেপ-ফাংচন"
Stirling series,ষ্টাৰলিং ৰেঞ্জ
stochastic,"ষ্ট&#39;কেষ্টিক, সম্ভাৱনাবাদী"
stochastic matrix,সম্ভাৱনাবাদী মেট্ৰিক্স
stochastic model,সম্ভাৱনাবাদী আৰ্হি
stochastic programming,সম্ভাৱনামূলক প্ৰগ্ৰেমিং
stochastic variable,সম্ভাৱনাবাদী চলক
Stokes’ theorem,ষ্টোকছ উপপাদ্য
straight line,"সৰলৰেখা, সৰলৰেখা, সৰলৰেখা"
strata chart,"স্তৰৰ লেখচিত্ৰ, বাৰ লেখচিত্ৰ"
stratification,"স্তৰবিন্যাস, স্তৰবিন্যাস"
stratified sampling,স্তৰযুক্ত নমুনা সংগ্ৰহ কৰা
stream-line,"ফ্ল&#39;-লাইন, ষ্ট্ৰিম-লাইন"
stress,চাপ
strictly convex function,শক্তিশালীভাৱে হেলনীয়া কাৰ্য্য
strictly decreasing,নিৰন্তৰ হ্ৰাস পাই আহিছে
strictly increasing,নিৰন্তৰ বৃদ্ধি
strictly monotonic function,অবিৰত অৰ্ডিনেট ফলন
"Student's test (Student's ""t"" test)",ছাত্ৰ পৰীক্ষা (ছাত্ৰ &#39;t&#39; পৰীক্ষা)
sub-collection,উপসংগ্ৰহ
sub determinant,উপ-নিৰ্দিষ্টতাবাদী
subfield,উপ-অঞ্চল
subgroup,"উপশ্ৰেণী, উপগোট, উপগোট"
sub-interval,ব্যৱধান
submatrix,"উপমেট্ৰিক্স, উপমেট্ৰিক্স"
subscript,"ফুটনোট, ফুটনোট, ফুটনোট"
subsequence,উত্তৰাধিকাৰ
subset,উপগোট
subspace,উপজনসংখ্যা
substitution,সলনি কৰা
subtangent,অৰ্ধস্পৰ্শযোগ্য
subtend,"স্থানান্তৰ কৰা, স্থানান্তৰ কৰা"
subtract,"বিয়োগ, বিয়োগ"
subtraction,"বিয়োগ, বিয়োগ"
successive,লাহে লাহে
successive differentiation,প্ৰগতিশীল পাৰ্থক্য
successive integration,প্ৰগতিশীল সংহতি
successor,পাছৰটো
suffix,সংলগ্ন কৰা হৈছে
sum,"যোগফল, যোগফল, যোগফল ফলাফল, যোগফল"
sum function,যোগফল ফলন
summable,সংকলনযোগ্য
summand,যোগাসন ব্লক
summation,সংকলন
summation convention,সংগ্ৰহ সন্মিলন
summation formula,সংকলন সূত্ৰ
summation of series,গ্ৰেড সংগ্ৰহ
summation sign,সংকলন চিহ্ন
sum to infinity,যোগ অসীমলৈ
superscript,"idiot, মূৰ্খ"
superset,অভাৰছেট
supersonic flow,ছুপাৰছনিক প্ৰবাহ
supplementary angle,পৰিপূৰক কোণ
supporting hyperplane,লেকৰ লোমৰ সমতল
support of function,কাৰ্য্যৰ সমৰ্থন
suppose,"imagine, ধৰি লওক"
supremum,ওখ
surd,কৰ্ণী
surface,"পৃষ্ঠ, পৃষ্ঠ, পৃষ্ঠ"
surface area,পৃষ্ঠীয় অংশ
surface integral,পৃষ্ঠা অবিচ্ছেদ্য
surjection,আৱৰণ
surjective,আৱৰণ
surjective map,কভাৰ মেপ
symbol,চিহ্ন
symbolic logic,প্ৰতীকী যুক্তি
symbolic model,প্ৰতীকী আৰ্হি
symmetric,প্ৰতিসম
symmetrical,সমমিতি
symmetric determinant,"প্ৰতিসম নিৰ্ণায়ক, প্ৰতিসম নিৰ্ণায়ক"
symmetric difference,প্ৰতিসম পাৰ্থক্য
symmetric matrix,প্ৰতিসম মেট্ৰিক্স
system analysis,ব্যৱস্থা বিশ্লেষণ ব্যৱস্থা বিশ্লেষণ
systematic sampling,ক্ৰমিক নমুনা সংগ্ৰহ
table,"টেবুল, টেবুল"
tableau,"টেবুল, টেবুল"
table of integrals,অবিচ্ছেদ্য টেবুল
tabular,"টেবুলাৰ, সমতল"
tabular form,টেবুলাৰ ৰূপ
tabular logarithm,"টেবুলাৰ লগাৰিদম, টেবুলাৰ লগাৰিদম"
tabulate,টেবুলত লিখা
tabulated value,টেবুলাৰ মানসমূহ
tabulation,টেবুলেচন
tabulator,"টেবুলাৰ, টেবুলাৰ মেচিন, টেবুলাৰ"
tail,"ঠেং, ঠেং"
tail area (of distribution),ঠেংৰ অঞ্চল (বিতৰণৰ)
tangency,স্পৰ্শ
tangent,"স্পৰ্শক, স্পৰ্শক, স্পৰ্শক, স্পৰ্শক"
tangent hyperplane,লোম সমতল স্পৰ্শ কৰক
tangential,"স্পৰ্শযোগ্য, স্পৰ্শক"
tangential component,স্পৰ্শক উপাদান
tangential section,স্পৰ্শক কাটি
tangent line,স্পৰ্শক ৰেখা
tangent plane,"স্পৰ্শযোগ্য সমতল, স্পৰ্শযোগ্য সমতল"
tangent space,স্পৰ্শ জনসংখ্যা
tape punch,টেপ পাঞ্চ
tape reader,টেপ ৰিডাৰ
Tauberian theorem,টাউব্ৰিৰ উপপাদ্য
Taylor's theorem,টেইলৰ উপপাদ্য
Tchebychev metric,শ্বেবিশ্বেভৰ দূৰত্ব
t-distribution,t-বিতৰণ
telescopic series,আন্তঃপ্ৰজাতিৰ শৃংখলা
temporal coordinates,টেম্প&#39;ৰেল স্থানাংক
temporal relationship,লৌকিক সম্পৰ্ক
temporal variable,সময়ৰ চলক
tensile strength,টান শক্তি
tensor,"ফিল্ড, টেনছৰ"
tensor analysis,ক্ষেত্ৰ বিশ্লেষণ
tensor product,ক্ষেত্ৰৰ উৎপাদন
tentative formulation,অস্থায়ী বিন্যাস
term,ডাক
terminal condition,নিষেধাজ্ঞা শেষ কৰক
terminal velocity dive,চূড়ান্ত বেগ ডুব
terminating decimal,দশমিক সমাপ্ত কৰা
term values,ৰেংক মূল্য
termwise differentiation,ষ্টেপ পাৰ্থক্য
termwise integration,স্তৰভিত্তিক সংহতি
ternary,"ত্ৰিকোণীয়, ত্ৰিকোণীয়"
test,পৰীক্ষা কৰা হৈছে
test for homogeneity of variances,ভ্যাৰিয়েন্স একাকাৰীতাৰ পৰীক্ষা
test function,পৰীক্ষা কাৰ্য্য
test of hypothesis,অনুমান পৰীক্ষণ
test of significance,তাৎপৰ্য্য পৰীক্ষা
test statistics,পৰীক্ষাৰ নমুনা
tetrahedral,চতুৰ্ভুজ
tetrahedral angle,চতুৰ্ভুজ কোণ
tetrahedron,চতুৰ্ভুজ
theorem,উপপাদ্য
theorem of residues,অৱশিষ্ট উপপাদ্য
theoretical demand function,তাত্ত্বিক চাহিদাৰ ফলন
theoretical discrete distribution,তাত্ত্বিক বিচ্ছিন্ন বিতৰণ
theoretical error,তাত্ত্বিক ভুল
theoretical fit,তাত্ত্বিক সমন্বয়
theoretical formulation,তাত্ত্বিক প্ৰণয়ন
theoretical frequency,তাত্ত্বিক কম্পাঙ্ক
theoretically,"নীতিগতভাৱে, নীতিগতভাৱে"
theoretical model,তাত্ত্বিক আৰ্হি
theoretical treatment,তাত্ত্বিক প্ৰণয়ন
theory of equations,সমীকৰণ তত্ত্ব
theory of errors,ভুল তত্ত্ব
theory of estimation,মূল্যায়ন তত্ত্ব
theory of functions,ফাংচন তত্ত্ব
theory of games,গেম তত্ত্ব
theory of gravitation,মহাকৰ্ষণ তত্ত্ব
theory of information,তথ্য তত্ত্ব
theory of replacement (= theory of failure),প্ৰতিস্থাপন নীতি
theory of sets,ছেট তত্ত্ব
theory of waiting lines(= queuing theory),শাৰী তত্ত্ব
theory of waves,তৰংগ তত্ত্ব
Thermodynamic,তাপগতিবিদ্যা
thread of a screw,স্ক্ৰু বেংগল
three dimensional,ষ্টেৰিঅ&#39;স্কোপিক
three dimensional vector analysis,ষ্টেৰিঅ&#39;স্কোপিক ভেক্টৰ বিশ্লেষণ
three-way classification,ট্ৰাইড শ্ৰেণীবিভাজন
throw,"প্ৰজেকচন, ড্ৰপ"
thrust,"ঠেলা, ঠেলা"
time,"সময়, সময়সীমা, সময়সীমা"
time axis,সময় অক্ষ
time dependence,ক&#39;লা নিৰ্ভৰশীলতা
time-dependent constitutive equation,সময় নিৰ্ভৰশীল গঠন সমীকৰণ
time-dependent process,সময় নিৰ্ভৰশীল প্ৰক্ৰিয়া
time-independent term,পোষ্টৰ বন্ধৰ সময়
time interval,সময়ৰ ব্যৱধান
time series,সময় শৃংখলা
time series analysis,সময় শৃংখলা বিশ্লেষণ
time series data,সময় শৃংখলা বিশ্বাস
time sharing system,সময় ব্যৱস্থা
tolerance,"সহনশীলতা, সহনশীলতা"
tolerance interval,সমৰ্থন ব্যৱধান
tolerance level,সহ-মজিয়া
tolerance limit,"সহনশীলতাৰ সীমা, সহনশীলতাৰ সীমা"
topological,টপোলজিকেল
topological dual,টপোলজিকেল দ্বৈততা
topological group,টপোলজিকেল গোট
topological isomorphism,টপোলজিকেল সমৰূপতা
topological linear space,টপোলজিকেল ৰৈখিক স্থান
topologically,টপোলজিকেলভাৱে
topological mapping,ট&#39;প&#39;গ্ৰাফিক মেপিং
topological property,টপোলজিকেল বৈশিষ্ট্য
topological space,টপোলজিকেল জনসংখ্যা
topological vector space,টপোলজিকেল ভেক্টৰ স্থান
topology,"টপোলজি, টপোলজি"
torsion,"কনভলচন, স্পাম, কনভলচন"
torus,"বৃত্তাকাৰ কঠিন-আঙঠি, torus"
total,"মুঠ, যোগফল (স.), সম্পূৰ্ণ, সম্পূৰ্ণ (v.)"
total derivative,সম্পূৰ্ণ ডেৰাইভেটিভ
total differential,নিখুঁত পাৰ্থক্য
total differential equation,সম্পূৰ্ণ অৱভেদ্য সমীকৰণ
total inspection,পুংখানুপুংখ পৰিদৰ্শন কৰা
totally bounded,সম্পূৰ্ণৰূপে বান্ধ খাই আছে
totally ordered set,নিখুঁতভাৱে অৰ্ডাৰ কৰা চেট
total ordering,সম্পূৰ্ণ ক্ৰমিককৰণ
trace,"ট্ৰেচ কৰা, ট্ৰেচ কৰা (n.), বিন্ধা (n.), ট্ৰেচ কৰা (v.)"
trace of matrix,মেট্ৰিক্স ট্ৰেচ
tracing,"ট্ৰেচিং, চিহ্নিত কৰা"
trade off function,নিয়ন্ত্ৰণ কাৰ্য্য
trajectory,"ট্ৰেজেক্টৰী, ট্ৰেজেক্টৰী, ট্ৰেজেক্টৰী"
transcendental,অতিক্ৰমণীয়
transcendental equation,বীজগণিতীয় সমীকৰণ
transcendental function,বীজগণিতীয় ফলন
transcendental number,বীজগণিতীয় সংখ্যা
transfer,"স্থানান্তৰ, স্থানান্তৰ"
transfer function,ডিফাৰেন্সিয়েল ফাংচন
transfinite induction,সসীম আগমন
transfinite number,অসীম সংখ্যা
transform,ভিন্নতা
transformation formula,ৰূপান্তৰ সূত্ৰ
transformation matrix,ৰূপান্তৰ মেট্ৰিক্স
transformation of coordinates,স্থানাংকৰ ৰূপান্তৰ
transformed function,ৰূপান্তৰ কাৰ্য্য
transformed matrix,ৰূপান্তৰিত মেট্ৰিক্স
transshipment problem,শিপিং সমস্যা
