Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Serious,"ସୋଚନୀୟ, ସାଙ୍ଘାତିକ, ଚିନ୍ତାଶୀଳ, ଗମ୍ଭୀର, ଉଦ୍ବେଗଜନକ"
Servant,"ସେବକ, ଚାକିରିଆ, କର୍ମଚାରୀ"
Serve,"ସେବା କରିବା, କାର୍ଯ୍ୟ କରିବା, ପରଷିବା, ଜାରି କରିବା, (ଦଣ୍ଡ) ଭୋଗ କରିବା, କାର୍ଯ୍ୟୋପଗୀ ହେବା"
Service,"ସେବା, ପରିବେଷଣ, ଜାରି, ମରାମତି, ସରକାରୀ କାମ"
Serviceable,"ସେବାଯୋଗ୍ୟ, କାର୍ଯ୍ୟୋପଯୋଗୀ"
Service book,ସେବା ପୁସ୍ତକ
Service conditions,"ସେବା-ସର୍ତ୍ତ, ଚାକିରୀ ସର୍ତ୍ତ"
Service contract,"ସମତ ତାଲିମ, ସମନ ଜାରି"
Service of summon,"ସମନ ତାଲିମ, ସମନ ଜାରି"
Service postage stamp,ସରକାରୀ ଡାକ-ଟିକଟ
Service record,ସେବା ରୋକର୍ଡ
Service roll,"ସେବା ନାମାବଳୀ, ସେବା-ବୃତ୍ତ"
Service rules,ସେବା ନିୟମ
Service verification,ସେବା ସତ୍ୟାପନ
Session,"ଦୀର୍ଘ, କାରାବାସ, ଅଧିବେଶନ, ସତ୍ର, ଅଦାଲତର ବୈଠକ, ଶିକ୍ଷାବର୍ଷ"
Session of parliament,"ସଂସଦ ପତ୍ର, ସଂସଦ ଅଧିବେଶନ"
Set,"ଖରିତ କରବା, ବସାଇବା, ସ୍ଥିର କରିବା, ଅସ୍ତ ହେବା, ବିନିଯୋଗ କରିବା, ବସାମ, ସଜ, ସମୁଦାୟ, ଦୃଢ଼ବଦ୍ଧ, ସ୍ଥିରୀକୃତ, ସଂକଳ୍ପିତ, ଖଚିତ, ବିନ୍ୟାସ, ଅପରିବର୍ତ୍ତିତ, ପୂର୍ବପ୍ରସ୍ତୁତ"
Set aside,"ଅଗ୍ରାହ୍ୟ କରିବା, ନାପସନ୍ଦ କରିବା"
Settlement,"ବ୍ୟବସ୍ଥା, ବନ୍ଦୋବସ୍ତ, ବସତି ସ୍ଥାପନ, ମୀମାଂସା, ରାଜିନାମା, ସ୍ଥିରୀକରଣ, ଋଣ ପରିଶୋଧ"
Set-up,"ଗଠନ କରିବା, ବ୍ୟବସ୍ଥା କରିବା, ଗଠନ, ବ୍ୟବସ୍ଥା, ପ୍ରତିଷ୍ଠା"
Severally,ପୃଥକ୍ ଭାବରେ
Severance of relatiions,ସଂବନ୍ଧ ବିଚ୍ଛେଦ
Severe action,"କଠୋର କାର୍ଯ୍ୟ, କଠୋର ଆଚରଣ"
Sewage,"ମଇଳା ପାଣି, ନାଳବାହିତ ଆବର୍ଜନା"
Sex,"ଲିଙ୍ଗ, ଯୋନି, ଯୌନ, ଯୌନ ସମ୍ବନ୍ଧୀୟ"
Sex discrimination,ଲିଙ୍ଗ ଭେଦଭାବ
Share,"ଅଂଶ, ଭାଗ, ଲଙ୍ଗଳ ଫାଳ, ଅଂଶଧନ, ଭାଗ କରିବା, ସହଭାଗୀ ହେବା"
Share holder,ଅଂଶୀଦାର
Sharing,"ସହଭାଜନ, ଅଂଶଭାଜନ"
Shift,"ପାଳି, ସ୍ଥାନାନ୍ତରଣ, ଚାଲ୍, ସ୍ଥାନାନ୍ତର କରିବା, ବଦଳାଇବା, କୌଶଳ କରିବା, ଚଳିଯିବା"
Shifting,"ସାନାନ୍ତାରମ, ଲବଣ, ପରିବର୍ତ୍ତନ"
Shift system,ପାଳି ପଦ୍ଧତି
Shift transfer,ପାଳି ବଦଳ
Shortage,"କମତି, ଅଭାବ, ନଅଣ୍ଟ"
Shortage of manpower,"ଅଭାବ ଲୋକଶକ୍ତି, ନଅଣ୍ଟ ଜନଶକ୍ତି"
Shortfall,ନଅଣ୍ଟ କମତି
Shorthand,"ଆଶୁଲିପି, ସର୍ଟହେଣ୍ଡ"
Short leave,"ଚୂଡ଼ାନ୍ତ ମନୋନୟନ ତାଲିକା, ଅଳ୍ପାବଧି ଛୁଟି"
Shortlist,ଲଘୁସୂଚୀ
Short notice,"ସାମାନ୍ୟ ସୂଚନା, ସ୍ୱଳ୍ପକାଳୀନ ସୂଚନା"
Short staffed,କମଷ୍ଟାଫ ଯୁକ୍ତ
Short term,"ସ୍ୱଳ୍ପମିଆଦୀ, ସ୍ୱଳ୍ପକାଳୀନ"
Short-term-course,ସ୍ୱଳ୍ପକାଳୀନ ପାଠ୍ୟକ୍ରମ
Short title,ସଂକ୍ଷିପ୍ତ ନାମ
Show cause notice,କାରଣଦର୍ଶା ନୋଟିସ
Shut down,ବନ୍ଦ କରିବା
Sick industry,ରୁଗ୍ ଣ ଶିଳ୍ପ
Sick leave,ବେମାରୀ ଛୁଟି
Sickness benefit,ଅଳ୍ପସ୍ଥତା ସୁବିଧା
Sick report,ଅସୁସ୍ଥତା ରିପୋର୍ଟ
Sign,"ଲକ୍ଷଣ, ଚିହ୍ନ, ରାଶିଚିହ୍ନ, ଇସାରା, ଦସ୍ତଖତ କରିବା, ସ୍ୱାକ୍ଷର କରିବା, ଚିହ୍ନିତ କରିବା, ଇସାରା ଦେବା"
Signature,"ସ୍ୱାକ୍ଷର, ଦସ୍ତଖତ"
Signature campaign,ଦସ୍ତଖତ ଅଭିଯାନ
Signature pad,ଦସ୍ତଖତ ପ୍ୟାଡ୍
Significant,"ତାତ୍ପର୍ଯ୍ୟପୂର୍ଣ୍ଣ, ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ, ସାର୍ଥକ, ଉଲ୍ଲେଖଯୋଗ୍ୟ"
Signify,"ବ୍ୟକ୍ତ କରିବା, ପ୍ରକଟ କରିବା"
Similar,"ସଦୃଶ, ସଜାତୀୟ, ସମତୁଲ୍ୟ"
Simple interest,ସରଳ ସୁଧ
Simultaneous,"ସମକାଳ ଘଟିତ, ଏକକାଳିକ"
Simultaneously,"ଯୁଗପତ୍, ଏକ ସମୟରେ"
Sincere,"ଆନ୍ତରିକ, ସଚ୍ଚୋଟତା"
Sine die,ଅନିର୍ଦ୍ଦିଷ୍ଟ କାଳପାଇଁ
Sine qua non,"ଏକାନ୍ତ ପ୍ରୟୋଜନୀୟ, ଅପରିହାର୍ଯ୍ୟ ସର୍ତ୍ତ"
Single entry system,ଏକମାତ୍ର ପ୍ରବେଶ ପଦ୍ଧତି
Single fare,"ଏକଳ ବଡ଼ା, ଏକ ତରଫା ଭଡ଼ା"
Single file system,ଏକମାତ୍ର ନଧି ପଦ୍ଧତି
Sir,"ମହାଶୟ, ସାର୍ (ଉପାଧିବିଶେଷ)"
Site,"ଗୃହନିର୍ମାଣ ଭୂମି, ଜାଗା, କାର୍ଯ୍ୟସ୍ଥଳ"
Site plan,"ଗୃହ ନିର୍ମାଣ ନକ୍ସା, ଜାଗା ନକ୍ସା"
Sitting member,ଆସୀନ ସଦସ୍ୟ
Situation,"ଅବସ୍ଥା, ଅବସ୍ଥିତି"
Situations vacant,ରିକ୍ତ ସ୍ଥାନ
Situations wanted,କାମ ଆବଶ୍ୟକ
Skeleton staff,ଅତ୍ୟାଳ୍ପ ଷ୍ଟାଫ
Skilled labourer,କୁଶଳୀ ଶ୍ରମିକ
Slackness,"ଶିଥିଳତା, ଢ଼ିଲାପଣ, ମନ୍ଥରତା"
Slack season,"ଶିଥିଳ ସମୟ, ଶିଥିଳ ଅବଧି"
Slander,"ଅପବାଦ, କୁତ୍ସା, ନିନ୍ଦା, ଅପବାଦ ଦେବା, କୁତ୍ସ ରଟିବା"
Sleeper class,ନିଷ୍କ୍ରିୟ ଶ୍ରେଣୀ
Sliding scale,ବିସର୍ପ ମାନ
Slip,"ଖସିଯିବା, ଛାଡ଼ିଦେବା, ଚିରକୁଟ, ପ୍ରମାଦ, ସ୍କଳନ"
Slow down,"କାର୍ଯ୍ୟମନ୍ଥରତା, ବେଗ ହ୍ରାସକରଣ"
Slum,"ଝୁମ୍ପୁଡ଼ି ବସ୍ତି, ବସ୍ତି ଅଞ୍ଚଳ"
Slump,"ମାନ୍ଦା ଅବସ୍ଥା, ହଠାତ୍ ପଡ଼ିଯିବା"
Small savings fund,ସ୍ୱଳ୍ପ ସଂଚୟ ନିଧି
Small scale enterprise,ଲଘୁ ଉଦ୍ୟୋଗ
Small scale industry,କ୍ଷୁଦ୍ର ଶିଳ୍ପ
Smartness,"ପୂର୍ତ୍ତି, ଉତ୍ସାହ, ପରିଚ୍ଛନ୍ନତା"
Smooth,"ମସୃଣ, ଚିକ୍କଣ, ମସୃଣ / ଚିକ୍କଣ କରିବା, ବିର୍ବିଘ୍ନରେ"
Snap inspection,"ହଠାତ୍, ଭାଙ୍ଗିଦେବା, ଫଟୋ ଉଠାଇବା, ହଠାତ୍, ଫଟୋ ଗ୍ରହଣ"
Snap strike,ହଠାତ୍ ଆନ୍ଦୋଳନ
Social security,ସାମାଜିକ ରିରାପତ୍ତା
Social welfare,ସମାଜ କଲ୍ୟାଣ
Software,"ପ୍ରକ୍ରିୟା ସାମଗ୍ରୀ, ସଫ୍ଟ ୱେୟାର"
Sojourn,"କିଛିକାଳ ରହିବା, ଅବସ୍ଥାନ, ବିରାମ"
Sole,"ଏକାକୀ, ଏକା, ତଳିପା, ଜୋତା ତଳି, ତଳି ଲଗାଇବା"
Sole agency,ଏକମାତ୍ର ପ୍ରତିନିଧିତ୍ୱ
Solemn,"ସତ୍ୟନିଷ୍ଠ, ଗମ୍ଭୀର"
Solemn affirmation,ସତ୍ୟନିଷ୍ଠ ପ୍ରତିଜ୍ଞାନ
Solemnity,"ଗମ୍ଭୀରତା, ଗାମ୍ଭୀର୍ଯ୍ୟ"
Solemnize,"ବିଧିବତ୍, ପାଳନ କରିବା"
Solemnly,"ଗମ୍ଭୀରତା, ଗାମ୍ଭୀର୍ଯ୍ୟ"
Sole owner,"ଏକକ ମାଲିକ, ଏକ ସ୍ୱାମୀ"
Solicit,"ମିନତି କରିବା, ଅନୁନୟ କରିବା, ମାଗିବା, ଆନ୍ତରିକ ଭାବେ ଚେହିବା"
Solidarity,"ଏକତ, ଏକତ୍ର, ସଂହତି"
Solitary,"ଏକଲା, ନିଃସଙ୍ଗ, ବିଜନ"
Solitary case,ଏକଜୁଟତା
Solution,"ଦ୍ରବଣ, ସମାଧାନ"
Solve,"ଦ୍ରବ କରିବା, ସମାଧାନ କରିବା"
Sorting,"ବଚ୍ଛାକାମ, ରକମ କରମ କରିବା କାର୍ଯ୍ୟ"
Sorting appliance,ବଚ୍ଛାକାମ ଉପକରଣ
Source,"ଉତ୍ସ, ଉଦ୍ଗମ, ସ୍ରୋତ"
Source of income,"ଆୟମାର୍ଗ, ଆୟପନ୍ଥା"
Souvenir,"ସ୍ମରଣିକା, ସ୍ମାରକୀ"
Sovereign,"ସାର୍ବଭୌମ, ସ୍ରବଶକ୍ତିମାନ"
Sovereignty,"ସାର୍ବଭୌମତ୍ୱ, ସାର୍ବଭୌମ ରାଷ୍ଟ୍ର"
Space,"ବ୍ୟବଧାନ, ଫାଙ୍କା, ମହାକାଶ, ଜାଗା, ଫାଙ୍କା ରଖିବା"
Spacing,"ଅନ୍ତରଣନ, ବ୍ୟବଧାନୀକରଣ"
Spade work,"ପ୍ରସ୍ତୁତ କାର୍ଯ୍ୟ, ପ୍ରାରମ୍ଭିକ କାର୍ଯ୍ୟ"
Spare,"ଅତିରିକ୍ତ, ଅଧିକା, ମିତବ୍ୟୟୀ ହେବା, ଛାଡ଼ିଦେବା, ତ୍ୟାଗ କରିବା"
Spare copy,ଅଧିକା ନକଲ
Spare time,"ପୁରସତ୍, ଫାଙ୍କ ସମୟ"
Speaker,"ବକ୍ତା, ବାଗ୍ମୀ ବ୍ୟକ୍ତି, ବାଚସ୍ପତି, ସ୍ୱରବର୍ଦ୍ଧକ ଯନ୍ତ୍ର"
Special,"ସ୍ୱତନ୍ତ୍ର, ଖାସ୍, ବିଶେଷ"
Special ability test,ବିଶେଷ ଯୋଗ୍ୟତା ପରୀକ୍ଷଣ
Special allowance,ବିଶେଷ ଭତ୍ତା
Special cell,"ସ୍ୱତନ୍ତ୍ର ପ୍ରକୋଷ୍ଠ, ବିଶେଷ ପ୍ରକୋଷ୍ଠ"
Special commendation,ବିଶେଷ ପ୍ରଶଂସା
Special compensatory allownce,ବିଶେଷ କ୍ଷତିପୁରକ ଭତ୍ତା
Special drive,ବିଶେଷ ଅଭିଯାନ
Special grant,ବିଶେଷ ଅନୁଦାନ
Specialist,ବିଶେଷଜ୍ଞ
Specialization,"ବିଶେଷଜ୍ଞତା, ବିଶେଷ ଜ୍ଞାନ ହାସଲ, ବିଶେଷୀକରଣ"
Special messanger,ବିଶେଷ ବାର୍ତ୍ତାବହ
Special pay,ବିଶେଷ ବେଦନ
Special power of attorney,ବିଶେଷ ମୁଖତାରନାମା
Special protection group (SPG),ବିଶେଷ ରକ୍ଷଣଦଳ
Specific,"ବିନିର୍ଦ୍ଦିଷ୍ଟ, ସୁନିର୍ଦ୍ଦିଷ୍ଟ, ସ୍ୱତନ୍ତ୍ର"
Specification,"ସୁନିର୍ଦ୍ଦିଷ୍ଟ ବିକରଣ, ସୁନିର୍ଦ୍ଦିଷ୍ଟକରଣ, ବିନିର୍ଦ୍ଦେଶନ"
Specific denial,ବିଶେଷ ରକ୍ଷଣଦଳ
Specific reason,"ନିର୍ଦ୍ଦିଷ୍ଟ କରାଣ, ବିଶେଷ କାରଣ"
Specimen signature,"ନିଦର୍ଶନ ସ୍ୱାକ୍ଷର, ନମୁନା ସ୍ୱାକ୍ଷର"
Speculation,"ଅନ୍ଦାଜ, ଅଟକଳ, ଜୁଆ"
Speech,"ବଚନ, ବାଣୀ, ଭାଷଣ, ବକ୍ତବ୍ୟ"
Speed,"ଗତି, ବେଗ, ବେଗ ବଢ଼ାଇବା, ଗତି ବଢ଼ାଇବା, ଜୋରରେ ଚଳାଇବା"
Speed breaker,ଗତିରୋଧକ
Speed limit,"ବେଗ ସୀମା, ଗତି ସୀମା"
Speed post,"ବେଗଗାମୀ ଡାକ, ସ୍ପିଡ ପୋଷ୍ଟ"
Speedy action,ତୁରନ୍ତ ପଦକ୍ଷେପ
Sphere,"ଗୋଲକ, ନଭମଣ୍ଡଳ, ପ୍ରଭାବ କ୍ଷେତ୍ର, କାର୍ଯ୍ୟକ୍ଷେତ୍ର"
Spiral binding,ସର୍ପିଳ ବନ୍ଧେଇ
Split duty,ବିଭାଜିତ କର୍ତ୍ତବ୍ୟ
Spokesman (=spokes person),"ମୁଖପାତ୍ର, ପ୍ରବକ୍ତା"
Sponsor,"ପ୍ରୟୋଜିତ କରିବା, ପୋଷକତା କରିବା, ପ୍ରାୟୋ"
Sponsorship,ପ୍ରୟୋଜନତା
Spot inspection,ଘଟଣାସ୍ଥଳ ପରୀକ୍ଷଣ
Spot payment,"ସ୍ଥଳେ ପ୍ରଦାନ, ଘଟଣା ସ୍ଥଳେ ପ୍ରଦାନ, ତତ୍ କ୍ଷଣାତ ପ୍ରଦାନ"
Spouse,"ପତି ବା ପତ୍ନୀ, ଜୀବନ ସାଥୀ"
Squad,"ଦଳ, ସ୍କ୍ୱାର୍ଡ, କ୍ଷୁଦ୍ର କର୍ମୀଗୋଷ୍ଠୀ"
Stability,"ସ୍ଥିରତା, ଦୃଢ଼ତା"
Staff,"କର୍ମଚାରୀବୃନ୍ଦ, ଲାଠି, ଅବଲମ୍ବନ"
Staff association,କର୍ମଚାରୀ ସଂଘ
Staff inspection unit (SIU),କର୍ମଚାରୀ ନିରୀକ୍ଷଣ ଏକକ
Staff quarter,କର୍ମଚାରୀ ନିବାସ
Staff room,କର୍ମଚାରୀ ପ୍ରକୋଷ୍ଠ
Staff welfare fund,କର୍ମଚାରୀ କଲ୍ୟାଣ ନିଧି
Stage,"ଅବସ୍ଥା, ସ୍ତର, ମଞ୍ଚ, ଭାରା, ମଞ୍ଚସ୍ଥ କରିବା, ପ୍ରଦର୍ଶନ କରିବା, ଅଭିନୟ କିରିବା"
Stagnation,"ନିଶ୍ଚଳତା, ସ୍ଥିରତା, ମାନ୍ଦାପଣ"
Stake,"ବାଜି ମାରିବା, ଗୋଜ ମାରିବା, ବାଜି, ଗୋଜ"
Stamp,"ଷ୍ଟାମ୍ପ, ମୁଦ୍ରାଙ୍କ, ଷ୍ଟାମ୍ପ ଦେବା, ମୁଦ୍ରାଙ୍କିତ କରିବା"
Stamp duty,ଷ୍ଟାମ୍ପ ଶୁଳ୍କ
Stamped envelope,ଷ୍ଟାମ୍ପ ଲଫପା
Stamp pad,"ମୋର ପ୍ୟାଡ଼, ଷ୍ଟାମ୍ପ ପ୍ୟାଡ଼"
Stamp paper,ଷ୍ଟାମ୍ପ କାଗଜ
Stand,"ଠିଆହେବା, ଅଚଳ କରିବା, ସ୍ଥିତି, ଷ୍ଟାଣ୍ଡ, ଗତି ବିରତି, ରୁଖା, ଅଚଳ ଅବସ୍ଥା, ଦୃଷ୍ଟିଭଙ୍ଗୀ, ଆଭିମୁଖ୍ୟ"
Standard,ମାନକ
Standard agreement,"ମାନକ ଚୁକ୍ତି, ମାନକ ରାଜିନାମା"
Standard deduction,ମାନକ କାଟ
Standard format,ମାନକ ସଂରୁପ
Standardization,ମାନକୀକରଣ
Standard man-hours,ମାନକ ଶ୍ରମ ଘଟିବା
Standard of living,"ଜୀବନ୍ତ ସ୍ତର, ଜୀବିକା ନିର୍ବହନ ସ୍ତର"
Standard performance,ମାନକ ନିଷ୍ପାଦନ
Standard rate,ମାନକ ଦର
Standby arrangement,"ଆପାତ ବ୍ୟବସ୍ଥା, ଜରୁରୀ ବ୍ୟବସ୍ଥା"
Standing,"ସ୍ଥିତି, ପ୍ରତିଷ୍ଠା, ସ୍ଥାୟୀ, ଠିଆ"
Standing commission,ସ୍ଥାୟୀ ଆୟୋଗ
Standing committee,ସ୍ଥାୟୀ କମିଟି
Standing order,ସ୍ଥାୟୀ ଆଦେଶ
Standstill,"ପୂର୍ଣ୍ଣ ବିରତି, ଅଚଳ, ସ୍ଥିର"
Starred,"ତାରାଙ୍କିତ, ତାରକିତ"
Starred question,ତାରାଙ୍କିତ ପ୍ରଶ୍ନ
Starter,"ଚାଲୁକାରୀ ଯନ୍ତ୍ରାଂଶ, ଆରମ୍ଭକ"
Starting salary,ପ୍ରାରମ୍ଭିକ ବେତନ
State,"ରାଜ୍ୟ, ଅବସ୍ଥା, ଥାଟ, ବ୍ୟକ୍ତ କରିବା, ଜଣାଇବା, କହିବା"
State banquet,ରାଜଭୋଜି
State government,ରାଜ୍ୟ ସରକାର
State guest,"ସରକାରୀ ଅତିଥି, ରାଜ ଅତିଥି"
State list,ରାଜ୍ୟ ତାଲିକା
Stalemate,"ବିବରଣ, କଥନ"
Statement,"ବିକୃତି, ବିବରଣ, କଥନ, ବକ୍ତବ୍ୟ"
Statement of account,ଲେଖା ବିବରଣ
Statement of facts,"ତଥ୍ୟ କଥନ, ତଥ୍ୟ ବୟାନ"
State of health,ସ୍ୱାସ୍ଥ୍ୟର ସ୍ଥିତି
Statesman,ରାଷ୍ଟ୍ରନୀତିଜ୍ଞ
Static,ପରିସଂଖ୍ୟାନବିଦ୍
Station,"କେନ୍ଦ୍ର, ଷ୍ଟେଶନ"
Stationary stock,ସ୍ଥିର ଷ୍ଟକ
Stationery,ଲେଖନ ସାମଗ୍ରୀ
Station leave,"ସ୍ଥାନତ୍ୟାଗ, ରିବାବା ସ୍ଥାନ ଛାଡ଼"
Statistical,"ପରିସଂଖ୍ୟନୀୟ, ପରିସଂଖ୍ୟାନ"
Statistical data,ପରିସଂଖ୍ୟାନ ତଥ୍ୟ
Statistics,ପରିସଂଖ୍ୟନ
Status,"ଅବସ୍ଥା, ମର୍ଯ୍ୟାଦା, ପଦମର୍ଯ୍ୟାଦା"
Status quo,"ପୂର୍ବାବସ୍ଥା, ସ୍ଥିତାବସ୍ଥା"
Status report,ସ୍ଥିତି ର ବିବରଣୀ
Status symbol,ମର୍ଯ୍ୟାଦା ପ୍ରତୀକ
Statute,"ବିଧି, ବିଧାନ, ଆଇନ"
Statutory,"ବୈଧାନିକ, ବିଧିସମ୍ମତ"
Statutory body,ସଠାବିଧିକ ନିକାୟ
Statutory holiday,ସଠାବିଧିକ ଅବକାଶ
Statutory rights,ସଠାବିଧିକ ଅଧିକାର
Stay,"ରହିବା, ସ୍ଥିଗିତ ରଖିବା, ଅଟକିବା"
STD (subsriber trunk dialling),ଉପଭୋକ୍ତା ଟ୍ରଙ୍କ ଡାଏଲିଙ୍ଗ
Steady growth,ସତତବୃଦ୍ଧି
Steep increase,"ତୀଖ, ତୁଙ୍ଗ, ମହଙ୍ଗା"
Steering committee,ପ୍ରଚଳନ କମିଟି
Stenography,"ଷ୍ଟେନୋଗ୍ରାଫି, ଆଶୁଲେଖନ, ଆଶୁଲେଖା, କ୍ଷିପ୍ରିଲିପି"
Sterilization,"ସନ୍ଧ୍ୟାକରଣ, ଜୀବାଣୁମୁକ୍ତକ"
Stern action,କଠୋର ପଦକ୍ଷେପ
Stigma,"ଲାଞ୍ଛନ, କଳଙ୍କ"
Stimulation,"ଉତ୍ତେଜନ, ଉତ୍ତୋଜନ"
Stipend,"ବୃତ୍ତି, ଛାତ୍ରବୃତ୍ତି, ଭତ୍ତା"
Stipulate,"ନିର୍ଦ୍ଧାରଣ କରିବା, ଅନୁବନ୍ଧନ କରିବା"
Stipulated time limit,ନିର୍ଦ୍ଧାରିତ ସମୟ ସୀମା
Stipulation,"ଅନୁବନ୍ଧ, ନିର୍ଦ୍ଧାରଣ"
Stock,"ମହକୁଦ୍ ରଖିବା, ଜମା ରଖିବା, ଗଚ୍ଛିତ ରଖିବା, ଗଣ୍ଡି, ମାଲ, ପୁଞ୍ଜିପତ୍ର, ବଂଶ, ଭମ୍ଡାର, ଷ୍ଟକ୍"
Stock register,"ସମାନ୍ ବିବରଣୀ, ମାଲ ବିବରଣୀ"
Stock-taking,ଷ୍ଟକ ଅଥବା ମାଲର ଜାଠଚ
Stock valuation,ମାଲର ମୂଲ୍ୟାଙ୍କନ
Stopgap arrangement,କାମଚଳା ବ୍ୟବସ୍ଥା
Storage,"ମହଜୁଦ୍, ଭଣ୍ଡାରଣ, ଭଣ୍ଡାରବଡ଼ା"
Storage space,ମାଲରଖା ସ୍ଥାନ
Store,"ଗଚ୍ଛିତ କରିବା, ଷ୍ଟୋର, ଭଣ୍ଡାର, ଗଚ୍ଛିତ ଦ୍ରବ୍ୟ, (କମ୍ପ୍ୟୁଟର) ତତ୍ୟ ସଂରକ୍ଷଣ"
Straight,"ସିଧା, ସରଳ, ସିଧାଭାବରେ"
Strain,"ଅତି ଖଟିବା, ଆୟାସ କରିବା, ଜୋରରରେ ଟାଣିବା, ଛାଣିବା, ଜାତିଧାରା, ଟଣାଭିଡ଼ା, ସ୍ୱର, ଅତି ଖଟଣି"
Strange,"ଅପରିଚିତ, ଅଭୁତ, ଆଶ୍ଚର୍ଯ୍ୟଜନକ"
Stranger,"ଅଜଣା ବ୍ୟକ୍ତି, ଅଚିହ୍ନା ଲୋକ, ପରଦେଶୀ ଲୋକ, ଅନଭିଜ୍ଞ ବ୍ୟକ୍ତି"
Strata,ବିଭିନ୍ନ ସ୍ତର
Strategy,"ଯୁଦ୍ଧ କୌଶଳ, ଚାଲ୍, କାର୍ଯ୍ୟପନ୍ଥା"
Stratification,ସ୍ତରବିନ୍ୟାସ
Streamline,"ପ୍ରବାହ ରେଖା, ବ୍ୟବସ୍ଥିତ ଧାରା, ସୁପ୍ରବାହୀ କରିବା, ବ୍ୟବସ୍ଥିତ କରିବା"
Strength,"ତାକତ, ଜୋର, ସଂଖ୍ୟା, ସାମର୍ଥ୍ୟ, ଶକ୍ତି, ଶକ୍ତିମତ୍ତା"
Strengthen,"ଜୋରଦାର କରିବା, ସାମର୍ଥ କରିବା"
Strenuous,"ଶ୍ରମସାଧ୍ୟ, କଷ୍ଟସାପେକ୍ଷ"
Stress,"ଚାପ, ସ୍ୱରାଘାତ, ଗୁରୁତ୍ୱ"
Stress management,ଚାପ ପରିଚାଳନା
Strict,"କଡ଼ା, ନିୟମାବଦ୍ଧ, କଠୋର"
Strictly,କଠୋରତାପୁର୍ବକ ସର୍ବଥା
Strictness,କଠୋରତା
Stricture,"ଚାରିତ୍ରିକ ଆକ୍ଷେପ, କଟୁ, ଆଲୋଚନା, ଉର୍ତ୍ସନାମୂଳକ ମନ୍ତବ୍ୟ"
Strike,"ବାଡ଼େଇବା, ପ୍ରହାର କରିବା, ଛୁଇଁବା, ଧର୍ମଘଟ, ପ୍ରହାର"
Strike call,ଧର୍ମଘଟ ଡାକରା
Stringency,"ଅକାଟ୍ୟତା, ଅଭାବଗ୍ରସ୍ତତା"
Strip,"କାଢ଼ିନେବା, ଅନାବୃତ୍ତହେବା, ପଟି"
Strive,"ପ୍ରୟାସ କରିବା, ସଂଘର୍ଷ କରିବା"
Storage capacity,"ମହଜୁଦ୍ ସକ୍ଷମ, ଭଣ୍ଡାରଣ ସକ୍ଷମ"
Strong room,"କୋଷ କକ୍ଷ, ନିରାପଦ କକ୍ଷ"
Structural,"ଗଠନ ସମ୍ବନ୍ଧୀୟ, ସଂରଚନାତ୍ମକ"
Structure,"ଚଢ଼ଣ, ଗଠନ, ସଂରଚନା, ସଂସ୍ଥାପନ, ଢ଼ାଞ୍ଚା"
Structured interview,ସଠରଚିତ ସାକ୍ଷାତକାର
Structured pay,ସଂରଚିତ ଦରମା
Struggle,"ସଂଗ୍ରାମ, ସଂଗ୍ରାମ କରିବା, ଯୁଝିବା"
Stubborn,"ଜିଦ୍ଖୋର, ଜିଦ୍ ଖୋର, ଜିଦଖୋର, ଏକଜିଦିଆ"
Studios,ଷ୍ଟୁଡିଓ
Study,"ଅଧ୍ୟୟନ, ପଢ଼ା, ଅଧ୍ୟୟନ କକ୍ଷ, ପଢ଼ିବା, ଅଧ୍ୟୟନ କରିବା"
Study leave,"ପଢ଼ାଛୁଟି, ଅଧ୍ୟୟନାର୍ଥ ଛୁଟି"
Stuff,"ଉପାଦନ, ରଦ୍ଦି ମାଲ୍, ସାମ୍ରଗୀ, ଠେସି ପୂରାଇବା, ଚୁଣ୍ଟିବା, ଠେଲିବା"
Stupendous,"ଅତି ବିଶାଳ, ବିସ୍ମୟକାରୀ"
Style,"ଶୈଳୀ, ଢଙ୍ଗ, ବାଗ, କାର୍ଯ୍ୟଶୈଳୀ"
Sub (subordinate),ଉପ
Sub-committee,"ଉପକମିଟି, ଉପସମିତି"
Sub-contract,ଉପ-ଠିକା
Sub-district,ଉପ-ଜିଲ୍ଲା
Sub-division,"ଉପପ୍ରଭାଗ, ଉପଖଣ୍ଡ"
Sub-head,ଉପଶୀର୍ଷ
Subject,"ବିଷୟ, ପ୍ରଜା, କର୍ତ୍ତୃପକ୍ଷ, ଅଧୀନସ୍ଥ କରିବା, ଅଧୀନ, ପରାଧିନ"
Subjective,"ଆତ୍ମନିଷ୍ଠ, କର୍ତ୍ତୃପଦୀୟ"
Subjudice,"ବିଚାରାଧୀନ, ନିର୍ଣ୍ଣୟାଧୀନ"
Sublease,"ସିକିମୀ ପଟ୍ଟା, ସିକିମୀ ପଟ୍ଟା ଦେବା"
Subletting,ଭଡାରେ ନେଇ ଅନ୍ୟକୁ ଭଡାଦେବା
Submission,"ନିବେଦନ, ଉପସ୍ଥାପନ, ବଶ୍ୟତାସ୍ୱୀକାର"
Submissive,"ବଶବର୍ତ୍ତୀ, ବଶ୍ୟ, ବିନୀତ"
Subordinate office,"ଅଧସ୍ତନ, ଅଧୀନସ୍ଥ, ଅଧୀନ"
