Kannada,Punjabi
ಹುಡುಕಾಟ ಮರ,ਖੋਜ ਰੁੱਖ
"1. ಅನ್ವೇಷಿಸಿ, 2. ಅನ್ವೇಷಿಸಿ","1. ਪੜਚੋਲ ਕਰੋ, 2. ਖੋਜੋ"
ದ್ವಿತೀಯ,ਸੈਕੰਡਰੀ
"1. ವಲಯ, 2. ವಲಯ","1.ਸੈਕਟਰ, 2.ਸੈਕਟਰ"
ಭದ್ರತಾ ನೀತಿ,ਸੁਰੱਖਿਆ ਨੀਤੀ
ಹುಡುಕಾಟ ಪದ,ਖੋਜ ਸ਼ਬਦ
"1.ವಿಭಾಗ, 2.ವಿಭಾಗ","1.ਸੈਕਸ਼ਨ, 2.ਸੈਕਸ਼ਨ"
"1. ವಿಘಟನೆ, 2. ವಿಭಜನೆ","1. ਫਰੈਗਮੈਂਟੇਸ਼ਨ, 2. ਵਿਭਾਜਨ"
ಆಯ್ಕೆ ವಿಂಗಡಣೆ,ਚੋਣ ਲੜੀਬੱਧ
"1.ಸ್ವಯಂಪೂರ್ಣ, 2.ಸ್ವಯಂಪೂರ್ಣ","1.ਸਵੈ-ਮੁਕੰਮਲ, 2.ਸਵੈ-ਮੁਕੰਮਲ"
"1.ಸೆಮ್ಯಾಂಟಿಕ್ಸ್, 2.ಸೆಮ್ಯಾಂಟಿಕ್ಸ್","1.Semantics, 2.Semantics"
ಸೆಮಾಫೋರ್,ਸੈਮਾਫੋਰ
ಅರೆವಾಹಕ,ਸੈਮੀਕੰਡਕਟਰ
ಫ್ಯಾಂಟಸಿ ವೆಬ್,ਕਲਪਨਾ ਵੈੱਬ
ಅನುಕ್ರಮ ಪ್ರವೇಶ ವಿಧಾನ,ਕ੍ਰਮਵਾਰ ਪਹੁੰਚ ਵਿਧੀ
ಸತತ,ਲਗਾਤਾਰ
ಧಾರಾವಾಹಿ,ਸੀਰੀਅਲ
"1.ಸರ್ವರ್, 2.ಸರ್ವರ್","1.ਸਰਵਰ, 2.ਸਰਵਰ"
ಸರ್ವರ್ ಕ್ರ್ಯಾಶ್,ਸਰਵਰ ਕਰੈਸ਼
ಸರ್ವರ್ ಪರವಾನಗಿ,ਸਰਵਰ ਲਾਇਸੰਸ
ಸರ್ವೋ ಗುಣಕ,ਸਰਵੋ ਗੁਣਕ
ಜೊತೆ,ਦਾ ਸੈੱਟ
ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ ಬಿಂದು,ਨਿਰਧਾਰਤ ਬਿੰਦੂ
ನಿರ್ವಹಣೆ,ਪ੍ਰਬੰਧਨ
ನೆರಳು,ਸ਼ੈਡੋ
ಸಿನಿಮಾಟೋಗ್ರಫಿ,ਸਿਨੇਮੈਟੋਗ੍ਰਾਫੀ
ದೆವ್ವ,ਭੂਤ
ಫೈಲ್ ಹಂಚಿಕೊಳ್ಳಿ,ਸ਼ੇਅਰ ਫਾਇਲ
ಹಂಚಿಕೆಯ ಪ್ರವೇಶ,ਸਾਂਝੀ ਪਹੁੰਚ
ಹಂಚಿಕೆ,ਸਾਂਝਾ ਕਰਨਾ
"1. ಬ್ರಾಕೆಟ್ಗಳು, 2. ಆರ್ಮರ್, 3. ಶೆಲ್, 4. ಶೆಲ್","1. ਬਰੈਕਟਸ, 2. ਆਰਮਰ, 3. ਸ਼ੈੱਲ, 4. ਸ਼ੈੱਲ"
ಸ್ಥಳಾಂತರದ ಚಿಹ್ನೆ,ਵਿਸਥਾਪਨ ਪ੍ਰਤੀਕ
ಸಣ್ಣ ಮಾರ್ಗ,ਛੋਟਾ ਰਸਤਾ
ಸಣ್ಣ ಸೂಚನೆ,ਛੋਟੀ ਹਦਾਇਤ
ಒಡಹುಟ್ಟಿದವರು,ਭੈਣ-ਭਰਾ
"1. ಅಡ್ಡ ಪರಿಣಾಮ, 2. ಪ್ರತಿ ಪರಿಣಾಮ","1. ਮਾੜਾ ਪ੍ਰਭਾਵ, 2. ਵਿਰੋਧੀ ਪ੍ਰਭਾਵ"
ಸೈನ್ ಬಿಟ್,ਸਾਈਨ ਬਿੱਟ
ಸಿಗ್ನಲ್,ਇਸ਼ਾਰਾ
ಸಿಗ್ನಲ್ ಸಂಸ್ಕರಣೆ,ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ
ಸಂಕೇತ,ਨੋਟੇਸ਼ਨ
"1.ಸಿಗ್ನಲ್-ಧ್ವನಿ ಅನುಪಾತ, 2.ಸಿಗ್ನಲ್-ಶಬ್ದ ಅನುಪಾತ","1.ਸਿਗਨਲ-ਧੁਨੀ ਅਨੁਪਾਤ, 2.ਸਿਗਨਲ-ਸ਼ੋਰ ਅਨੁਪਾਤ"
"1.ಸಹಿ, 2. ಸಹಿ","1. ਦਸਤਖਤ, 2. ਦਸਤਖਤ"
ಮಾರ್ಕರ್ ಪರೀಕ್ಷೆ,ਮਾਰਕਰ ਟੈਸਟ
ಗಮನಾರ್ಹ ಅಂಕಗಳು,ਮਹੱਤਵਪੂਰਨ ਚਿੰਨ੍ਹ
ಸಿಲಿಕಾನ್ ಚಿಪ್,ਸਿਲੀਕਾਨ ਚਿੱਪ
ಸರಳ ಮೇಲ್ ವರ್ಗಾವಣೆ ಪ್ರೋಟೋಕಾಲ್ (SMTP),ਸਧਾਰਨ ਮੇਲ ਟ੍ਰਾਂਸਫਰ ਪ੍ਰੋਟੋਕੋਲ (SMTP)
ಏಕ,ਸਿੰਗਲ
"1. ಒಂದು ಸಿಗ್ನಲಿಂಗ್ ನೋಡ್, 2. ಸಿಂಪ್ಲೆಕ್ಸ್ ನೋಡ್","1. ਇੱਕ ਸਿਗਨਲਿੰਗ ਨੋਡ, 2. ਸਿੰਪਲੈਕਸ ਨੋਡ"
ಸಿಮ್ಯುಲೇಶನ್,ਸਿਮੂਲੇਸ਼ਨ
ಅನುಕರಿಸುವವನು,ਨਕਲ ਕਰਨ ਵਾਲਾ
"1.ಏಕಕಾಲಿಕ, 2.ಸಿಂಕ್ರೊನಸ್","1. ਸਮਕਾਲੀ, 2. ਸਮਕਾਲੀ"
ಏಕಕಾಲಿಕ ಸಂಸ್ಕರಣೆ,ਸਮਕਾਲੀ ਪ੍ਰਕਿਰਿਆ
ಏಕವ್ಯಕ್ತಿ,ਸੋਲੋ
"1.ಸೈಟ್ ಪರವಾನಗಿ, 2. ಸೈಟ್ ಪರವಾನಗಿ","1.ਸਾਈਟ ਲਾਇਸੰਸ, 2.ਸਾਈਟ ਲਾਇਸੰਸ"
"1.ಗಾತ್ರ, 2.ಗಾತ್ರ","1. ਆਕਾਰ, 2. ਆਕਾਰ"
ಮಾಪನ,ਮਾਪ
"1. ವಿವರಣೆ, 2. ವಿವರಣೆ","1. ਦ੍ਰਿਸ਼ਟਾਂਤ, 2. ਦ੍ਰਿਸ਼ਟਾਂਤ"
ಪ್ಲುಟಿ,pluti
"1.ಪ್ಲೂಟಿ, 2.ಪ್ಲುಟಿಕಾರನ್","1.ਪਲੂਤੀ, 2.ਪਲੂਟੀਕਰਨ"
"1.ಸ್ಲಾಷ್, 2.ಕಟ್","1. ਸਲੈਸ਼, 2. ਕੱਟੋ"
ಕಂಪ್ಯೂಟರ್ ಅಡಿಯಲ್ಲಿ,ਕੰਪਿਊਟਰ ਦੇ ਅਧੀਨ
ಹಾವಿನ ಕಿಟಕಿ ಪ್ರೋಟೋಕಾಲ್,ਸੱਪ ਵਿੰਡੋ ਪ੍ਰੋਟੋਕੋਲ
"1. ಲೋಪ, 2. ಶರಣಾಗತಿ","1. ਛੱਡਣਾ, 2. ਸਮਰਪਣ"
ಸ್ಲಾಟ್,ਸਲਾਟ
SCSI (SCSI),SCSI (SCSI)
ಸ್ಮಾರ್ಟ್ ಕಾರ್ಡ್,ਸਮਾਰਟ ਕਾਰਡ
ನಿಧಾನ ಅಂಚೆ,snail ਮੇਲ
ಸ್ನ್ಯಾಪ್‌ಶಾಟ್,ਸਨੈਪਸ਼ਾਟ
"1.ಸಾಫ್ಟ್ ಕಂಪ್ಯೂಟಿಂಗ್, 2.ಸಾಫ್ಟ್ ಕಂಪ್ಯೂಟಿಂಗ್","1.ਸੌਫਟ ਗਣਨਾ, 2.ਸੌਫਟ ਗਣਨਾ"
ವಿದ್ಯುನ್ಮಾನ ಪ್ರತಿ,ਸਾਫਟ ਕਾਪੀ
ಸುಲಭವಾದ ಫಾಂಟ್,ਆਸਾਨ ਫੌਂਟ
ಸಾಫ್ಟ್ವೇರ್,ਸਾਫਟਵੇਅਰ
ಸಾಫ್ಟ್ವೇರ್ ಎಂಜಿನಿಯರಿಂಗ್,ਸਾਫਟਵੇਅਰ ਇੰਜੀਨੀਅਰਿੰਗ
ಸಾಫ್ಟ್ವೇರ್ ಪರವಾನಗಿ,ਸਾਫਟਵੇਅਰ ਲਾਇਸੰਸ
ಸಾಫ್ಟ್ವೇರ್ ಪೈರಸಿ,ਸਾਫਟਵੇਅਰ ਪਾਇਰੇਸੀ
ಸ್ಪೆಕ್ಟ್ರಮ್,ਸਪੈਕਟ੍ਰਮ
"1.ತಿರುಪು, 2.ಸುರುಳಿ","1.ਸਕ੍ਰੂ, 2.ਸਪਿਰਲ"
"1.ವಿವರ ಹಾಳೆ, 2.ಸ್ಪ್ರೆಡ್‌ಶೀಟ್","1. ਵੇਰਵੇ ਸ਼ੀਟ, 2. ਸਪ੍ਰੈਡਸ਼ੀਟ"
ಪ್ರಮಾಣಿತ,ਮਿਆਰੀ
ಪ್ರಮಾಣಿತ ಸಾಮಾನ್ಯೀಕರಿಸಿದ ಮಾರ್ಕಪ್ ಭಾಷೆ (SGML),ਸਟੈਂਡਰਡ ਜਨਰਲਾਈਜ਼ਡ ਮਾਰਕਅੱਪ ਲੈਂਗੂਏਜ (SGML)
ಪ್ರಮಾಣೀಕರಣ,ਮਾਨਕੀਕਰਨ
ಕಾಯುವ ಸಮಯ,ਉਡੀਕ ਸਮਾਂ
ತಾರಕ್ ಲ್ಯಾನ್,tarak lan
ನಕ್ಷತ್ರ ಸ್ಥಾನ,ਤਾਰਾ ਸਥਿਤੀ
ಆರಂಭದ ಬಿಟ್,ਬਿੱਟ ਸ਼ੁਰੂ
"1. ಕೊರತೆ, 2. ಕೊರತೆ, 3. ಕೊರತೆ ಬಿಕ್ಕಟ್ಟು","1. ਕਮੀ, 2. ਕਮੀ, 3. ਕਮੀ ਸੰਕਟ"
"1.ಸ್ಥಿರ ಸ್ಮರಣೆ, 2.ಸ್ಥಿರ ಸ್ಮರಣೆ","1.ਸਟੈਟਿਕ ਮੈਮੋਰੀ, 2.ਸਟੈਟਿਕ ਮੈਮੋਰੀ"
ಸ್ಥಿತಿ ಚಾನಲ್,ਸਥਿਤੀ ਚੈਨਲ
"1.ಹಂತದ ಗಾತ್ರ, 2.ಹಂತದ ಆಯಾಮಗಳು","1. ਸਟੈਪ ਸਾਈਜ਼, 2. ਸਟੈਪ ਮਾਪ"
ವಿರಾಮ ಮತ್ತು ಕಾಯುವ ಪ್ರೋಟೋಕಾಲ್,ਰੋਕੋ ਅਤੇ ਪ੍ਰੋਟੋਕੋਲ ਦੀ ਉਡੀਕ ਕਰੋ
ಬ್ರೇಕ್ ಕೋಡ್,ਤੋੜ ਕੋਡ
ವಿರಾಮ ಕೀ,ਵਿਰਾਮ ਕੁੰਜੀ
ಶೇಖರಣಾ ಸಾಮರ್ಥ್ಯ,ਸਟੋਰੇਬਿਲਟੀ
ಸಂಗ್ರಹಿಸಲಾದ ಪ್ರೋಗ್ರಾಂ,ਸਟੋਰ ਕੀਤਾ ਪ੍ਰੋਗਰਾਮ
ಸರಣಿ ಡೇಟಾ,ਸੀਰੀਜ਼ ਡਾਟਾ
"1.ಸ್ಟ್ರಕ್ಚರ್ಡ್ ಎನ್ಕೋಡಿಂಗ್, 2.ಸ್ಟ್ರಕ್ಚರ್ಡ್ ಕೋಡಿಂಗ್","1.ਸਟ੍ਰਕਚਰਡ ਏਨਕੋਡਿੰਗ, 2.ਸਟ੍ਰਕਚਰਡ ਕੋਡਿੰਗ"
ರಚನಾತ್ಮಕ ಪ್ರಶ್ನೆ ಭಾಷೆ (SQL),ਸਟ੍ਰਕਚਰਡ ਪੁੱਛਗਿੱਛ ਭਾਸ਼ਾ (SQL)
"1. ಕರಪತ್ರದ ಹಾಳೆ, 2. ಶೈಲಿಯ ಪತ್ರ","1. ਬਰੋਸ਼ਰ ਸ਼ੀਟ, 2. ਸ਼ੈਲੀ ਅੱਖਰ"
ಉಪ ಡೈರೆಕ್ಟರಿ,ਉਪ-ਡਾਇਰੈਕਟਰੀ
"1.ಸಬ್ನೆಟ್, 2.ಸಬ್ನೆಟ್","1.ਸਬਨੈੱਟ, 2.ਸਬਨੈੱਟ"
ಉಪವೃಕ್ಷ,ਸਬਟ੍ਰੀ
"1. ಸಂಕ್ಷೇಪಣ, 2. ಸಂಕ್ಷೇಪಣ","1. ਸੰਖੇਪ, 2. ਸੰਖੇਪ"
"1. ಸೂಪರ್ ಕಂಪ್ಯೂಟರ್, 2. ಸೂಪರ್ ಕಂಪ್ಯೂಟರ್","1. ਸੁਪਰ ਕੰਪਿਊਟਰ, 2. ਸੁਪਰ ਕੰਪਿਊਟਰ"
"1.ಸೂಪರ್ ಕಂಪ್ಯೂಟೇಶನ್, 2.ಸೂಪರ್ ಕಂಪ್ಯೂಟೇಶನ್","1.ਸੁਪਰ ਕੰਪਿਊਟੇਸ਼ਨ, 2.ਸੁਪਰ ਕੰਪਿਊਟੇਸ਼ਨ"
ಪ್ರಮುಖ ಕೀ,ਕੁੰਜੀ
ಉನ್ನತ ಬಳಕೆದಾರ,ਚੋਟੀ ਦੇ ਉਪਭੋਗਤਾ
ಮೇಲ್ವಿಚಾರಣೆಯ ಕಲಿಕೆ,ਨਿਰੀਖਣ ਕੀਤੀ ਸਿਖਲਾਈ
ಸಹಾಯಕ ಚಿಪ್,ਸਹਾਇਕ ਚਿੱਪ
ನಿವ್ವಳ ವ್ಯತ್ಯಾಸ,ਸ਼ੁੱਧ ਪਰਿਵਰਤਨ
"1.ನೆಟ್ ವ್ಯತ್ಯಾಸ, 2.ವಿಭಾಗ, 3.ಸರ್ಫಾನ್","1.ਨੈੱਟ ਵਿਭਿੰਨਤਾ, 2.ਸੈਕਸ਼ਨ, 3.ਸਰਫਨ"
ವಿನಿಮಯ,ਸਵੈਪ
ಒಳಬರುವ,ਅੰਦਰ ਵੱਲ
ಹೊರಹರಿವು,ਵਹਾਅ
ವಿನಿಮಯ,ਸਵੈਪਿੰਗ
"1. ಸ್ವಿಚ್ಡ್ ನೆಟ್‌ವರ್ಕ್, 2. ಬದಲಾಯಿಸಿದ ನೆಟ್ವರ್ಕ್","1. ਸਵਿੱਚਡ ਨੈੱਟਵਰਕ, 2. ਬਦਲਿਆ ਨੈੱਟਵਰਕ"
ಬದಲಾಯಿಸುವುದು,ਬਦਲਣਾ
ಸ್ವಿಚಿಂಗ್ ತತ್ವ,ਬਦਲਣ ਦਾ ਸਿਧਾਂਤ
ಸಾಂಕೇತಿಕ ಪ್ರೋಗ್ರಾಮಿಂಗ್,ਪ੍ਰਤੀਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
ಸಿಂಕ್ರೊನೈಸೇಶನ್,ਸਮਕਾਲੀਕਰਨ
ಸಿಂಕ್ರೊನೈಸರ್,ਸਿੰਕ੍ਰੋਨਾਈਜ਼ਰ
ಸಿಂಕ್ರೊನಸ್,ਸਮਕਾਲੀ
ಸಿಂಕ್ರೊನಸ್ ಸಂಖ್ಯಾ ಶ್ರೇಣಿ (SDH),ਸਮਕਾਲੀ ਸੰਖਿਆਤਮਕ ਲੜੀ (SDH)
ವಾಕ್ಯ ವಿಶ್ಲೇಷಣೆ,ਵਾਕ ਵਿਸ਼ਲੇਸ਼ਣ
ಸಿಸ್ಟಮ್ ವಿಶ್ಲೇಷಣೆ,ਸਿਸਟਮ ਵਿਸ਼ਲੇਸ਼ਣ
ಸಿಸ್ಟಮ್ ಎಂಜಿನಿಯರಿಂಗ್,ਸਿਸਟਮ ਇੰਜੀਨੀਅਰਿੰਗ
"1. ಸಿಸ್ಟಮ್ ಬ್ರೇಕರ್, 2. ಸಿಸ್ಟಮ್ ಹ್ಯಾಕರ್","1. ਸਿਸਟਮ ਤੋੜਨ ਵਾਲਾ, 2. ਸਿਸਟਮ ਹੈਕਰ"
ಸಿಸ್ಟಮ್ ಇಂಟಿಗ್ರೇಟರ್,ਸਿਸਟਮ ਇੰਟੀਗਰੇਟਰ
ಸಿಸ್ಟಮ್ ಲಾಗ್,ਸਿਸਟਮ ਲਾਗ
ಸಿಸ್ಟಮ್ ಕವರ್,ਸਿਸਟਮ ਕਵਰ
ಸಿಸ್ಟಮ್ ನೆಟ್ವರ್ಕ್ ಸ್ಟ್ರಕ್ಚರ್ (SNA),ਸਿਸਟਮ ਨੈੱਟਵਰਕ ਢਾਂਚਾ (SNA)
"1. ಸಿಸ್ಟಮ್ ಪ್ರೋಗ್ರಾಮರ್, 2. ಸಿಸ್ಟಮ್ ಪ್ರೋಗ್ರಾಮರ್","1. ਸਿਸਟਮ ਪ੍ਰੋਗਰਾਮਰ, 2. ਸਿਸਟਮ ਪ੍ਰੋਗਰਾਮਰ"
"1. ಸಿಸ್ಟಮ್ ಮರುಪ್ರಾರಂಭ, 2. ಸಿಸ್ಟಮ್ ಮರುಪ್ರಾರಂಭ","1. ਸਿਸਟਮ ਰੀਸਟਾਰਟ, 2. ਸਿਸਟਮ ਰੀਸਟਾਰਟ"
ವ್ಯವಸ್ಥೆಯ ಮುಕ್ತಾಯ,ਸਿਸਟਮ ਸਮਾਪਤੀ
ಸಿಸ್ಟಮ್ ಪರೀಕ್ಷೆ,ਸਿਸਟਮ ਟੈਸਟ
ಸಿಸ್ಟಮ್ ಉಪಯುಕ್ತತೆ,ਸਿਸਟਮ ਸਹੂਲਤ
"1. ವ್ಯವಸ್ಥಿತ ಕೋಡ್, 2. ವ್ಯವಸ್ಥಿತ ಕೋಡ್","1. ਸਿਸਟਮੈਟਿਕ ਕੋਡ, 2. ਸਿਸਟਮੈਟਿਕ ਕੋਡ"
ಟ್ಯಾಬ್ ಆಜ್ಞೆ,ਟੈਬ ਕਮਾਂਡ
ವೇಳಾಪಟ್ಟಿ,"ਸਮਾਸੂਚੀ, ਕਾਰਜ - ਕ੍ਰਮ"
ಕೋಷ್ಟಕ ಅವಲೋಕನ,ਸਾਰਣੀ ਵਿੱਚ ਸੰਖੇਪ ਜਾਣਕਾਰੀ
ಟೇಬಲ್ ಸ್ಪೇಸ್,ਟੇਬਲ ਸਪੇਸ
ಪ್ಲೇಕ್,ਤਖ਼ਤੀ
"1.ಟ್ಯಾಬ್ಯುಲರ್, 2.ಅರೇ ಅರೇ","1.ਸਾਰਣੀ, 2.ਐਰੇ ਐਰੇ"
ಕೋಷ್ಟಕ ಕಾರ್ಯ,ਸਾਰਣੀ ਫੰਕਸ਼ਨ
"1. ಮಾರ್ಕ್ಡ್ ಆರ್ಕಿಟೆಕ್ಚರ್, 2. ಮಾರ್ಕ್ಡ್ ಸ್ಟ್ರಕ್ಚರ್","1. ਨਿਸ਼ਾਨਬੱਧ ਆਰਕੀਟੈਕਚਰ, 2. ਚਿੰਨ੍ਹਿਤ ਢਾਂਚਾ"
ಗುರುತಿಸಲಾದ ಇಮೇಜ್ ಫೈಲ್ ಫಾರ್ಮ್ (TIFF),ਚਿੰਨ੍ਹਿਤ ਚਿੱਤਰ ਫਾਈਲ ਫਾਰਮ (TIFF)
ಟಂಡೆಮ್ ವ್ಯವಸ್ಥೆ,ਟੈਂਡਮ ਸਿਸਟਮ
ಟೇಪ್ ಸಾಂದ್ರತೆ,ਟੇਪ ਦੀ ਘਣਤਾ
ಟೇಪ್ ಕವರ್,ਟੇਪ ਕਵਰ
ಟಾರ್ ಫೈಲ್,tar ਫਾਈਲ
ಕೆಲಸ,ਕੰਮ
ಕೆಲಸದ ಮಾರ್ಗದರ್ಶಿ,ਕੰਮ ਗਾਈਡ
ಕಾರ್ಯ ಶೆಡ್ಯೂಲರ್,ਟਾਸਕ ਸ਼ਡਿਊਲਰ
ಟ್ರಾನ್ಸ್ಮಿಷನ್ ಕಂಟ್ರೋಲ್ ಪ್ರೋಟೋಕಾಲ್/ಇಂಟರ್ನೆಟ್ ಪ್ರೋಟೋಕಾಲ್ (TCP/IP),ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਕੰਟਰੋਲ ਪ੍ਰੋਟੋਕੋਲ/ਇੰਟਰਨੈੱਟ ਪ੍ਰੋਟੋਕੋਲ (TCP/IP)
ಕತ್ತರಿಸುವ ಕಾರ್ಯಾಚರಣೆ,ਕੱਟਣ ਦੀ ਕਾਰਵਾਈ
ದೂರಸಂಪರ್ಕ,ਦੂਰਸੰਚਾਰ
ದೂರಸಂಪರ್ಕ,ਦੂਰਸੰਚਾਰ
ಟೆಲಿಕಾಂ,ਟੈਲੀਕਾਮ
ದೂರಸಂಪರ್ಕ,ਟੈਲੀਕਾਨਫਰੰਸ
"1. ಟೆಲಿಗ್ರಾಫ್, 2. ಟೆಲಿಗ್ರಾಫಿ","1. ਟੈਲੀਗ੍ਰਾਫ਼, 2. ਟੈਲੀਗ੍ਰਾਫ਼ੀ"
"1. ಟೆಲಿಮೀಟರ್, 2. ಟೆಲಿಮೆಟ್ರಿ","1. ਟੈਲੀਮੀਟਰ, 2. ਟੈਲੀਮੀਟਰੀ"
"1. ದೂರವಾಣಿ, 2. ದೂರವಾಣಿ","1.ਟੈਲੀਫੋਨ, 2.ਟੈਲੀਫੋਨ"
ದೂರವಾಣಿ,ਟੈਲੀਫੋਨ
"1.ಟೆಲಿಪ್ರಿಂಟರ್, 2.ಟೆಲಿಪ್ರಿಂಟರ್","1.ਟੈਲੀਪ੍ਰਿੰਟਰ, 2.ਟੈਲੀਪ੍ਰਿੰਟਰ"
ಟೆಲಿಪ್ರೊಸೆಸಿಂಗ್,ਟੈਲੀਪ੍ਰੋਸੈਸਿੰਗ
"1. ದೂರದರ್ಶನ, 2. ದೂರದರ್ಶನ, 3. ದೂರದರ್ಶನ","1. ਦੂਰਦਰਸ਼ਨ, 2. ਟੈਲੀਵਿਜ਼ਨ, 3. ਦੂਰਦਰਸ਼ਨ"
ಟೆಲೆಕ್ಸ್,telex
"1.ಟ್ರ್ಯಾಪ್ ಅವೇ, 2.ಟೆಲ್ನೆಟ್","1. ਟ੍ਰੈਪ ਦੂਰ, 2. ਟੇਲਨੈੱਟ"
"1.ಉಷ್ಣ, 3.ತಾಪಮಾನ","1. ਗਰਮੀ, 3. ਤਾਪਮਾਨ"
"1.ಆಕಾರದ ಫಲಕ, 2.ಟೆಂಪ್ಲೇಟ್, 3.ರೂಪದ","1. ਆਕਾਰ ਪਲੇਟ, 2. ਟੈਂਪਲੇਟ, 3. ਰੂਪਦਾ"
ಹತ್ತರ ಪೂರಕ,ਦਸ ਦਾ ਪੂਰਕ
ಟೆರಾ ಬೈಟ್,tera ਬਾਈਟ
ಟೆರ್ರಾ ಫಾಲೋಪ್ಸ್,ਟੈਰਾ ਫਾਲੋਪਸ
"1.ಎಂಡ್ ಪಾಯಿಂಟರ್, 2.ಟರ್ಮಿನಲ್ ಕರ್ಸರ್","1.ਐਂਡ ਪੁਆਇੰਟਰ, 2.ਟਰਮੀਨਲ ਕਰਸਰ"
"1.ಎಂಡ್ ನೋಡ್, 2.ಟರ್ಮಿನಲ್ ನೋಡ್","1.ਐਂਡ ਨੋਡ, 2.ਟਰਮੀਨਲ ਨੋਡ"
ಟರ್ಮಿನಲ್ ವಿಂಡೋ,ਟਰਮੀਨਲ ਵਿੰਡੋ
ಕೊನೆಗೊಳ್ಳುತ್ತದೆ,ਖਤਮ
ಟ್ರೈ-ಬೇಸ್,ਟ੍ਰਾਈ-ਬੇਸ
ಮೂರು ಮೂಲ ಕಾರ್ಯಾಚರಣೆ,ਤਿੰਨ ਅਧਾਰ ਕਾਰਵਾਈ
ಪರೀಕ್ಷೆ,ਟੈਸਟਿੰਗ
ಪರೀಕ್ಷಾ ವ್ಯಾಪ್ತಿ,ਟੈਸਟ ਕਵਰੇਜ
ಪರೀಕ್ಷಾ ಮರಣದಂಡನೆ,ਟੈਸਟ ਐਗਜ਼ੀਕਿਊਸ਼ਨ
ಪರೀಕ್ಷಾ ಡೇಟಾ,ਟੈਸਟ ਡਾਟਾ
"1.ಪಠ್ಯ, 2. ಅಧ್ಯಯನ ವಸ್ತು","1. ਪਾਠ, 2. ਅਧਿਐਨ ਸਮੱਗਰੀ"
ಪಠ್ಯ ಪೆಟ್ಟಿಗೆ,ਟੈਕਸਟ ਬਾਕਸ
ಪಠ್ಯ ಕರ್ಸರ್,ਟੈਕਸਟ ਕਰਸਰ
ಪಠ್ಯ ಸಂಪಾದಕ,ਟੈਕਸਟ ਐਡੀਟਰ
ಪಠ್ಯ ಫೈಲ್,ਟੈਕਸਟ ਫਾਈਲ
ಪಠ್ಯಕ್ರಮ,ਪਾਠਕ੍ਰਮ
ಪಠ್ಯ ಪ್ರಕ್ರಿಯೆ,ਟੈਕਸਟ ਪ੍ਰੋਸੈਸਿੰਗ
ಭಾಷಣ-ಪಠ್ಯ (TTS),ਸਪੀਚ-ਟੈਕਸਟ (TTS)
ವಿನ್ಯಾಸ ಮ್ಯಾಪಿಂಗ್,ਟੈਕਸਟ ਮੈਪਿੰਗ
"1.T ಫ್ಲಿಪ್ ಫ್ಲಾಪ್, 2.T-ಬೈನೋಮೀಟರ್","1.T ਫਲਿੱਪ ਫਲਾਪ, 2.T-ਬਾਈਨੋਮੀਟਰ"
ಥರ್ಮಲ್ ಸೀಲ್ ಥರ್ಮಲ್,ਥਰਮਲ ਸੀਲ ਥਰਮਲ
"1.ಪ್ರಿಂಟರ್ ಥಿನ್ ಫಿಲ್ಮ್ ಮೆಮೊರಿ, 2.ಥಿನ್ ಫಿಲ್ಮ್ ಮೆಮೊರಿ","1.ਪ੍ਰਿੰਟਰ ਪਤਲੀ ਫਿਲਮ ਮੈਮੋਰੀ, 2.ਪਤਲੀ ਫਿਲਮ ਮੈਮੋਰੀ"
(TFT) ಥಿನ್ ಫಿಲ್ಮ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್ (TFT),(TFT) ਪਤਲਾ ਫਿਲਮ ਟਰਾਂਜ਼ਿਸਟਰ (TFT)
"1.ಜೆಮಿಂಗ್, 2.ಹ್ಯಾಶಿಂಗ್","1. ਗੇਮਿੰਗ, 2. ਹੈਸ਼ਿੰਗ"
ದಾರದ ಬಳೆ,ਥਰਿੱਡ ਚੂੜੀ
ಥ್ರೆಡಿಂಗ್,ਥਰਿੱਡਿੰਗ
"1.ತ್ರಿಪಕ್ಷೀಯ ಜಾಲ, 2.ತ್ರಿಪಕ್ಷೀಯ ಜಾಲ","1. ਟ੍ਰਾਈਲੇਟਰਲ ਨੈੱਟਵਰਕ, 2. ਟ੍ਰਾਈਲੇਟਰਲ ਨੈੱਟਵਰਕ"
ಹರಿವಿನ ಸಾಮರ್ಥ್ಯ,ਵਹਾਅ ਦੀ ਸਮਰੱਥਾ
ಸಮಯದ ಸಂಕೀರ್ಣತೆ,ਸਮੇਂ ਦੀ ਗੁੰਝਲਤਾ
ಟೈಮ್ ಡಿವಿಷನ್ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (TDM),ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ (TDM)
ಕಾಲಮಿತಿಯೊಳಗೆ,ਸਮਾ ਸੀਮਾ
ಅದೇ ಸಮಯದಲ್ಲಿ,ਇੱਕੋ ਹੀ ਸਮੇਂ ਵਿੱਚ
