abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
television,"టెలివిజన్, దూరదర్శన్"
teleworking,దూరస్థ కార్యము
telex,టెలెక్స్
teller,"గణకుడు, టెల్లర్, డబ్బు లెక్కపెట్టే వ్యక్తి"
temper,స్వభావము
temperament,"స్వభావం, ప్రకృతి"
temperamental,కోపోద్దీప్తము
temperature,ఉష్ణోగ్రత
tempo,గతి
temporary,తాత్కాలిక
temporary advance,"తాత్కాలిక అడ్వాన్సు, బయానా"
temporary appointment,తాత్కాలిక నియామకం
temporary disability,తాత్కాలిక అశక్తత
temporary post,తాక్కలిక పదవి
temporary restriction,తాత్కాలిక ప్రతిబంధం
temporary vacancy,తాత్కాలిక ఖాళీ (ఉద్యోగ సంబంధం)
temptation,"ప్రలోభనం, దురాకర్షణ"
tenable,"వహించదగిన, సమర్థనీయ"
tenacity,గట్టిగా పట్టుకొనెడు గుణము
tenancy,కౌలుదారీ
tenant,"కౌలుదారు, కిరాయదారు"
tendency,ప్రవృత్తి
tender,"టెండరు, ప్రతిపాదన"
tender box,టెండర్ల పెట్టె
tender notice,"టెండరు ప్రకటన, నోటీసు"
tenderer,ప్రతిపాదన దారుడు
tentative,"తాత్కాలిక, ప్రస్తుత"
tenure,"ధారణగడువు (పట్టా, కౌలు, పదవి సం.)"
tenure of land,"భూమి ధారణగడువు, భూమి పట్టా గడువు"
tenure of office,పదవీ కాలం
tenure of post,"పదవీ ధారణగడువు, పదవీ కాలం"
tenure of work,"పనిధారణ గడువు, కార్యధారణ గడువు"
tenure post,ధారణగడువు పద్ధతి
term,"షరతు, నిబంధన, శబ్దం, పదం"
term loan,నిర్ణీతకాల ఋణం
term of office,పదవి కాలం
terminable,సమాప్తమయ్యే
terminal (report etc.),"టర్మినల్, చివరిస్థానం, అడుగు"
terminal tax,"అడంగు పన్ను, మార్గాంత పన్ను"
termination,"సమాప్తి, సమాపనం"
termination clause,సమాపన వాక్యం
termination notice,"సమాప్తి సూచన, నోటీసు"
termination of service,ఉద్యోగ సమాప్తి
terminology,పారిభాషిక పదావళి
terms,నిబంధనలు
terms and conditions,నింబంధనలూ మరియు షరతులూ
terms of delivery,"అప్పగింత షరతులు, నింబంధనలు"
terms of reference,విచారణ నిబంధనలు
terms of service,ఉద్యోగ షరతులు
territory,"దేశభూభాగం, ప్రదేశం"
terror,ఆతంకము
terrorism,ఆతంక వాదము
terrorist,"ఉగ్రవాది, టెర్రరిస్ట్, ఆతంకవాది"
tertiary benefit,తృతీయ లాభదాయకము
test,"పరీక్ష, శోధన, పరీక్షించు, నికష"
test charge,పరీక్ష శుల్కము
test check,మాదిరి తనిఖి (పరీక్షార్థం)
testament,"వీలునామా, విల్లు, మరణశాసనం"
tester,తనిఖీ చేయు పరికరము
testify,"సాక్ష్యమిచ్చు, ప్రమాణితంచేయు"
testimonial,ప్రమాణిత పత్రం
testimony,"సాక్ష్యం, మూజువాణి సాక్ష్యం"
testing report,పరీక్షా నివేదిక
text,"మూలం(గ్రంథ ప్రతి, పాఠ్య సం.)"
thankful,"కృతజ్ఞత గల, సంతోషమును వ్యక్తపరచు"
theme,"విషయము, సంగతి"
therapy,చికిత్స
third party,మూడో పార్టీః ఒప్పందంలోని
thoroughly,"చాలా జాగ్రత్తగా, సంపూర్తిగా"
thoughtful,ఆలోచన గల
threat,బెదిరింపు
thrift,మితవ్యయము
through,"ద్వారా, మారీఫత్తున, మాధ్యంగా"
throw out,విసిరివేయు
thumb impression,వేలిముద్ర
thumping majority,భారీ మెజారిటీ
ticket,టికెట్టు
tie,"ముడి, కట్టుట, సమానమైన (ఆటకు సంబంధించి)"
tied loan,నిబద్ధ రుణము
tier,"శ్రేణి, పంక్తి, వరుస"
tilt,కొంచెము వంచు
time,సమయము
time allowed,అనుమతించు కాలం
time barred,"గడువు తీరిన, కాలదోషం పట్టిన (కోర్టు దావా సం.)"
time bound,సమయ బంధన
time card,సమయ కార్డు
time deposit (=fixed deposit),గడువు డి పాజిట్టు
time keeping,సమయ పాలన
time limit,కాలపరిమితి
time off,స్వల్ప విరామము
time overrun,సమయము త్వరితముగా గడుచుట
time rate (time work),సమయ రేటు
time recording machine,వేళలను నమోదు చేసే యంత్రపరికరాలు
time scale,"కాలమానం, కాలమాన జీతపు శ్రేణి, వేతన శ్రేణి"
time schedule,"కాల అనుసూచి, కాల పరిమితి సూచిక"
time stamp,సమయ సూచన ముద్ర
time study equipment,సమయ అధ్యయన పరికరము
time table,"వేళల పట్టిక, కాల నిర్ణయ పట్టిక"
timed programme,నిర్ణీత సమయ కార్యక్రమము
timing,సమయ నిర్ధారణ
tips,సలహాలు
title,"హక్కుమూలం, బిరుదు, శీర్షిక, పేరు"
title holder,హక్కుదారుడు
toilet,"అలంకరణ, మరుగు దొడ్డి"
token,"చిహ్నం, గుర్తు, ఆనవాలు, లాంఛనం"
token member,లాంఛన సభ్యుడు
token pay,లాంఛన చెల్లింపు
token strike,లాంఛన సమ్మె
tone,"ధ్వని, స్వరము, నాదము"
tone down,"తీవ్రతను తగ్గించు, తగ్గు స్వరము"
tone up,"తీవ్రతని పెంచుట, హెచ్చు స్వరము"
tool,"పనిముట్టు, ఉపకరణం"
tool down strike,పనిముట్టు చేపట్టని సమ్మె
top,"కొన, చివర, శిఖరము"
top level decision,"ఉన్నత స్థాయి చర్చ, ఉన్నత స్థాయి వాదము/తర్కము"
top management,ఉత్తమ కార్య నిర్వహణ
top official,ఉన్నత అధికారి
top priority,"అత్యంత, అగ్ర ప్రాధాన్యత"
top ranking,ఉత్తమ శ్రేణి
top secret,అతి రహస్యం
topic,"విషయం, ప్రస్తావం, విషయాంశం"
topmost,"ఉత్తమోత్తమ, అత్యుత్తమ"
topography,స్థలాకృతి వివరణ
torture,"చిత్రహింస, వేధింపు"
total,"మొత్తము, సమస్తమైన"
total service,"మొత్తము పని, మొత్తము ఉపయోగము"
tough,"గట్టి, ధృఢమైన, కష్టమైన, ఏ మాత్రము ఇష్టము కాని"
tour,"యాత్ర, పర్యటన"
tour programme,పర్యటన కార్యక్రమం
tour report,పర్యటన నివేదిక
tout,"టౌటు, దావా దళారీ"
town (city),"పట్టణము, ఊరు"
township,"బస్తి, చిన్న పట్టణం"
trace,జాడ
tract,"కొంత మేర, కొంత ప్రదేశము"
traction,"లాగుట, ఈడ్చుట, సాగదీయుట, ఘర్షణ చేత కదలిక"
trade agreement,వర్తన ఒప్పందం
trade union,కార్మిక సంఘం
tradition,"సాంప్రదాయము, పారంపర్యముగా తెలుసుకొనబడిన సంగతి"
train,"రైలు, శిక్షణ ఇచ్చు, తర్ఫీదు ఇచ్చు"
trainee,శిక్షణార్థి
traineeship,శిక్షణార్ధిత్వము
trainer,"శిక్షణను అభ్యసించేవాడు, తర్ఫీదు పొందేవాడు"
training,"శిక్షణ, తర్ఫీదు, అభ్యాసము చేయించుట, నేర్పుట"
training centre,శిక్షణ కేంద్రం
training college,శిక్షణ కళాశాల
training division,శిక్షణ విభాగం
training institute,శిక్షణ సంస్థ
training period,శిక్షణ కాలం
training programme,శిక్షణ కార్యక్రమం
training unit,"శిక్షణ యూనిట్, శిక్షణ భాగము"
trait,"చిహ్నము, లక్షణము, గుర్తు"
traitor,"దేశద్రోహి, గద్దర్"
tranquility,"శాంతము, నెమ్మది, పరవశత"
transaction,"వ్యవహరం, లావాదేవీ, ఇచ్చిపుచ్చుకొనుట"
transaction of business,వ్యవహర లావాదేవీ
transcription,"లిపిబద్ధం, లిప్యంతరణం"
transfer,"బదిలీ, బదిలీచేయు, స్థానాంతరణం"
transfer entry,బదిలీ ప్రవేశము
transfer fee,"బదిలీ రుసుము, స్థల మార్పిడి రుసుము"
transfer memorandum,బదిలీ తాఖీదు
transfer on deputation,"డిప్యటేషన్ వల్ల బదిలీ, ఉపనియామకంలో బదిలీ"
transfer order,బదిలీ ఉత్తరువు
transferable goods,బదిలీ చేయబడే సామాను/వస్తువులు
transformation,"మాఱు రూపము, రూపాంతరము, మార్పు, పరిణామము"
transit,"రవాణాలో ఉన్న, దాటిపోవుట, పోవుట సంక్రమణ"
transit duty,"గమన శుల్కము, రవాణా శుల్కం"
transit pass,రవాణా అనుమతి చీటీ
transit visa,రవాణా వీసా
transit workshop,రవాణా సరుకు తయారు చేయు స్థలము
transitional,మధ్యస్థ దశ
translation,"అనువాదం, తర్జుమా, భాషాంతరము"
transliteration,ప్రతిలేఖనం
transmission,"ప్రసారణం, ప్రసారం"
transmit,"ప్రసారం చేయు, సంక్రమింపజేయు, అందచేయు"
transport,"రవాణా, వాహనం, తీసికొనిపోవు"
transport allowance,రవాణా భత్యము
transportation,రవాణా
transposition,"స్థలము మార్చుట, వరుస మార్చుట"
trap,"బోను, వల, ఉచ్చు, ప్యూహం, పన్నుగడ"
travel,ప్రయాణం
travel expenses,ప్రయాణపు ఖర్చులు
traveller’s cheque,ప్రయాణికుడి చెక్కు ట్రావెలర్స్ చెక్కు
travelling allowance,ప్రయాణ భత్యం
travelling allowance bill,ప్రయాణ భత్యం బిల్లు
travelling concession,ప్రయాణ రాయితి/మినహాయింపు
treachery,విశ్వాస ఘాతము
treason,దేశద్రోహం
treasury,"ట్రెజరీ, కోశాగారం, ఖజానా"
treasury bench,"అధికార పక్షము, అధికారిక పక్షము"
treasury deposit recipt(T.D.R.),"ట్రెజరీ, ఖజానా డిపాజిట్ రసీదు, ఖజానా జమా రసీదు"
treasury receipt,ట్రెజరీ/ఖజానా రసీదు
treasury voucher,"ఖజానా వోచర్, ఖజానా చీటీ"
treat,"పరిగణించు, చికిత్స చేయు"
treaty,సంధి ఒప్పందం
treaty of extradition,ప్రత్యర్పణ సంధి
trek,"సుదూర యాత్ర, సుదూర పాదయాత్ర"
trend,"ధోరణి, ఒరవడి"
trespass,అక్రమ ప్రవేశం
trial,"విచారణ, ట్రయల్, మచ్చు, మాదిరి"
trial balance,అంకణ
trial period,విచారణ కాలం
tribal area development,"గిరిజన క్షేత్ర వికాసము, గిరిజన క్షేత్ర అభివృద్ధి"
tribal welfare,గిరిజన సంక్షేమం
tribe,"జాతి, వంశము, వర్గము, గణము, తెగ"
tribunal,"న్యాయస్థానము, ధర్మాసనము, న్యాయాధిపతి స్థానము"
tribute,"శ్రద్ధాంజలి, కానుక, కట్నము, పన్ను"
trim,"చక్కపఱుచు, దిద్దు, అలంకరించు, సిద్ధము చేయు"
trip,"యాత్ర, పర్యటన"
tripartite,త్రిపక్ష
triple,"మూడింతలైన, త్రివిధమైన"
triplicate,"మూడు రెట్లు అగు, ఒక వ్రాత యొక్క మూడవ ప్రతి"
true copy,నకలు
trunk call,ట్రంక్ కాల్
trust,"విశ్వాసం, నమ్మకం, ధర్మనిధి"
trustee,"ధర్మకర్త, ట్రస్టీ"
trustworthy,విశ్వసనీయమైన
turn down,నిరాకరించు
turnkey basis,మొదటి నుంచి చివర వరకు ఆధారము
turnout,"ఉత్పత్తి, దిగుబడి"
turnover,"ఆవర్తనం, అమ్మకం మొత్తం"
turpitude,"దుష్టత్వము, దుర్మార్గము"
tutelage,సంరక్షణాధికారం
twin city,జంటనగరం
twin sharing basis,ద్విభాగస్వామ్య ఆధారము
type,"రకం, తరహా, మాదిరి, ముద్రాక్షరం, టైపు"
typescript,"టైపు చేసిన పత్రం, టైపుప్రతి"
typewriter,"టైపు యంత్రం, రైటరు"
typewriting,టైపు రైటింగ్
typical,విలక్షణమైన
typing,"ఉదాహరణమైన, రకము తెలిపెడు"
typing machine,టైపు చేయుట
typing pool,టైపు చేయు యంత్రము
typographical error,"టైపు దోషం, ముద్రణ దోషము"
ulterior motive,"ఉత్తరోత్తర ఉద్దేశ్యం, గూఢ అభిప్రాయం"
ultimate,"తుది, ఆఖరు, అంతిమ"
ultimate consignee,తుది గ్రహీత
ultimate cost,ఆఖరుధర
ultimate goal,అంతిమ లక్ష్యం
ultimately,"చివరకు, తుదకు"
ultimately objective,"అంతిమ ఉద్దేశం, లక్ష్యం"
ultimatum,"తుది హెచ్చరిక, నిర్ణయానికి తుది అవకాశం"
ultimo,గతమాసం
ultravires,"అధికారాతీత, న్యాయవిరుద్ధ, అధికార బాహ్య"
umpire,"(ఆటల్లో)అంపైర్, నిర్ణేత"
unacceptable,"అంగీకరించదగని, అనంగీకారమైన"
unaccompanied baggage,"ఎవరికీ చెందని సామాను, ఎవరికీ సంబందించని వస్తువులు"
unaided,సహాయం పొందని
unambiguous,"స్పష్టమైన, అసందిగ్ధమైన"
unanimity,"ఏకగ్రీవత, సర్వసమ్మతి, ఏకీ భావం"
unanimous,ఏకగ్రీవముగా
unanimous decision,ఏకగ్రీవ నిర్ణయం
unassuming,"అహంకారము లేని, అభిమానము లేని"
unattached,"అనుబంధంకాని, అనాసక్తమైన"
unauthorized,"అధికారం పొందని, అనధికార, అనధికృత, అధికృతం కాని"
unavoidable,లభ్యము కాని
unavoidable circumstances,"అనివార్య, తప్పనిసరి పరిస్థితులు"
unavoidable delay,అనివార్య జాప్యం
unbecoming,అనుచిత
uncashed,నగదుగా మార్చని
uncertain,అనిశ్చితమైన
unclaimed,"క్లెయిం చేయని, ఎవరికీ చెందని"
unclaimed baggage,క్లెయిం చేయని సామాను
unclassified,"వర్గీకరించని, విభజించని"
uncommitted,"మాట కట్టుబడి లేని, అప్రతిబద్ధ, స్వతంత్ర"
uncommon,అసాధారణ
uncompromising,రాజీపడని
unconditional,"బేషరతు, నిబంధనలేని"
unconfirmed,"ఖాయపడని, ఖాయ పరచని"
unconfirmed report,ఖాయపరచని నివేదిక
unconstitutional,రాజ్యాంగ విరుద్ధమైన
uncontested,పోటీలేని
uncontrolled,"నియంత్రణలేని, అదుపులేని"
uncorroborated,"అస్థిర పరచు, బలపఱచుటకు వీలుకాని"
uncovered demand,పూర్తికాని డిమాండు
undated,"తేదీలేని, తారీఖు లేని"
undelivered letter,"విమోచన లేని ఉత్తరము, అప్పగించని ఉత్తరము"
under,"అధీన, కింది, అల్ప, తక్కువ"
under assessment,అవనిర్ధారణ
under billing,తక్కువ బిల్లు తయారు చేయుట
under certificate of posting,తపాలా ధ్రువపత్రం
under consideration,పరిశీలనలో ఉన్న
under employed,చాలని ఉద్యోగం
under employment,తక్కువ ఉద్యోగం
under examination,"పరీక్షణ, పరిశీలన కొరకు"
under invoicing,సరుకుల పట్టీలో తక్కువ చూపుట
under reference,"ప్రసక్తిలో ఉన్న, నిర్దేశంలో చూపిన"
under-age,తక్కువ వయస్సు
under-estimate,తక్కువ అంచనా
under-hand dealing,రహస్య వ్యవహారము
under-manned,తక్కువ సిబ్బందిగల
under-paid,"చెల్లించని, బాకీ"
under-population,అల్ప జనాభా
under-production,అల్ప ఉత్పత్తి
under-utilization,తక్కువ వినియోగం
under-valuation,తక్కువ విలువ కట్టటం
Underconsumption,"తక్కువ వినియోగపరచుట, తక్కువ అనుభవించుట"
underdeveloped,అభివృద్ధి దశలో ఉన్న
undergraduate,"పూర్వస్నాతక, అండర్ గ్రాడ్యుయేట్ (విద్య సం.)"
underground,"భూగర్భ, అజ్ఞాతవాస"
underlined,"గుర్తించిన, క్రింద గీత గీసిన"
undersigned,"దిగువ సంతకం చేసిన వారు, అడుగున చేవ్రాలు చేసిన"
understanding,అవగాహన శక్తి
undertake,"కార్యబాధ్యత వహించు, చేపట్టు"
undertaking,"ఆరంభము పూనుకొనుట, మాటబద్ధం"
undertrial,"విచారణలో ఉన్న, విచారణాధీనంలో ఉన్న"
undesirable,"కోర దగని, ఉపేక్షిత"
undignified,"అమర్యాదతో కూడిన, అగౌరవముతో కూడిన"
undisbursed loan,"చెల్లించని రుణము, వితరణ చేయని రుణము"
undisputed,"నిర్వివాదమైన, అనుమానము లేని"
undivided,"అభిన్నమైన, అవిభక్తమైన, వేఱు చేయని, ఏకాగ్రమైన"
undoubtedly,నిస్సందేహంగా
undue,"అనుచిత, అక్రమమైన, సరికాని, అనర్హమైన"
undue delay,"అనుచిత జాప్యం, విశేష జాప్యం"
undue influence,అనుచిత ప్రభావం
unearned income,"ఆర్జించని, అనార్జిత ఆదాయం"
unearth,"బహిరంగము చేయు, అన్వేషించు, రహస్యము బట్టబయలు చేయుట"
uneconomical,లాభసాటి కాని
unemployment,నిరుద్యోగం
uneven land,"మెఱక పల్లములు గల నేల, సమతలంగా లేని భూమి"
unexpected delay,"అనుకోని ఆలస్యం, ఆకస్మికమైన"
unexpired,(గడువు)పూర్తికాని
unfair,"అన్యాయమైన, పక్షపాతమైన, నిజాయితీ లేని"
unfair dismissal,"పక్షపాత నిరాకరణ, అన్యాయమైన బర్తరఫు"
unfair labour practices,"అనుచిత కార్మిక పద్ధతులు, వ్యవహారాలు"
unfair means,అక్రమ సాధనోపాయాలు
unfavourable,"ప్రతికూలమైన, విరుద్ధమైన"
unfit,"తగని, యోగ్యత లేని, అనర్హుడైన, సరిపడని"
unfit for promotion,"పదోన్నతికి సరిపడని, పదోన్నతికి సరిపడని"
unforeseen,"అనుకోని, ఊహించని, ఆకస్మికముగా"
unforeseen charges,"అనుకోని భారము మోపు, ఆకస్మిక భారము"
unforeseen circumstances,అనుకోని పరిస్థితులు
unicameral,ఏకసభగల
unicameral legislature,"ఏకసభ విధాన, శాసన మండలి"
unification,ఏకీకరణ
unified scale,ఏకీకృత నియంత్రణ
uniform,"యూనిఫారం, ఏక, సమ, ఏకరీతి, ఏకరూప"
uniform increase,"ఏకరూప వృద్ధి, ఒకే మాదిరి పెరుగుదల"
uniformity,ఏకరూపత
unilateral,ఏకపక్ష
unilateral action,ఏకపక్షచర్య
uninterrupted power supply (UPS),"అంతరాయము లేని పవర్ సప్లై, నిరంతర విద్యుత్ సరఫరా"
uninterrupted service,"అంతరాయం లేని సేవలు, నిరంతర సేవలు"
union,"యూనియన్, సంఘం"
union list,"కేంద్ర జాబితా, పట్టిక, సంఘ సూచిక"
union territory,కేంద్ర పాలిత ప్రాంతము
unionism,సంఘవాదం
unique,"సాటిలేని, అద్వితీయమైన, వేఱొకటి లేని"
unit,"యూనిట్, ప్రమాణం, విభాగం, యూనిట్ ట్రస్ట్ ఆఫ్ ఇండియా వాటా"
unitary,"ఏకవర్గ, ఏకవిషయక, ఏకాత్మక"
united,"సంయుక్త, ఐక్య, సమైక్య"
unity,"ఏకత్వం, ఐకమత్యం"
universal,"సార్వత్రిక, సార్వజనీన, విశ్వజనీస"
unjust,"అన్యాయమైన, న్యాయసంగతంకాని, ఉచితం కాని"
unlawful,చట్ట విరుద్ధ
unlawful purpose,చట్టవిరుద్ధ ప్రయోజనం
unlimited,"అపరిమిత, అపార"
unlimited power,"అపారమైన శక్తి, అమితమైన, అనిశ్చితమైన శక్తి"
unlisted,"జాబితాలో లేని, జాబితాలో వెయ్యని"
unloading,"బరువు దించు, సరుకులు దించి ఖాళీ చేయు"
unmarried,"అవివాహిత, వివాహము కాని వాళ్ళు"
unnatural,"అసహజ, అస్వభావిక"
unnatural death,అసహజ మరణం
unnecessary,అవసరము లేని
unofficial,అనధికార
unofficial letter,అనధికార లేఖ
unofficial note,అనధికార నోటు
unofficial strike,అనధికార సమ్మె
unopposed,"ఆక్షేపణ రహిత, పోటీలేని"
unpaid wages,చెల్లించని వేతనాలు
unparliamentary,"సభా మర్యాదకు విరుద్ధమైన, అమర్యాదకరమైన"
unpopular,"జనసమ్మతం కాని, ప్రజాభిమానం లేని, అప్రియ"
unprecedented,"పూర్వప్రమాణం లేని, ఇంత వరకు జరగని"
unpredictable,"ఊహించలేని, ఒకదాని గురించి ముందే చెప్పలేని"
unproductive,అనుత్పాదక/ఉత్పాదకత లేని
unproductive labour,అనుత్పాదక శ్రమ
unprofitable,లాభదాయకము కాని
unpunctual,"అనియమితమైన, సమయపాలన లేని"
unqualified,"అనర్హ, బేషరతు"
unqualified apology,బేషరతు క్షమాపణ
unquestionable,నిర్వివాదమైన
unrealizable sum,రాబట్టలేని మొత్తం
unreasonable,"బేసబబైన, సబబుకాని, హేతుబద్ధం కాని"
unrecorded,"రికార్డు చెయ్యని, వ్రాతలోలేని"
unregistered document,రిజిస్టరు కాని దస్తావేజు
unregistered firm,"రిజిస్టరు కాని ఫర్మ్, వ్యాపార సంస్థ"
unreserved vacancy,"అనారక్షిత ఖాళీ, అనారక్షిత ఉద్యోగ రిక్త స్థానము"
unsafe,"భద్రతలేని, సురక్షితంగాని"
unsatisfactory,అసంతృప్తికరమైన
unsecured,"భద్రతలేని, హామీలేని"
unsecured loan,హామీలేని ఋణాలు
unserviceable,"నిరుపయోగమైన, పనికిరాని"
unskilled,నైపుణ్యంలేని
unskilled labour,"నైపుణ్యంలేని కార్మికులు, ప్రావీణ్యము లేని శ్రామికులు"
unsound mind,అస్వస్థ చిత్తం
unspecified,అనిర్దిష్టమైన
unstable,అస్థిరమైన
unstable government,అస్థిర ప్రభుత్వము
unstarred,చుక్కగుర్తు
unsuitable,"యుక్తంగాని, తగని"
untenable,సమర్థనీయంకాని
untouchability,"అంటరానితనం, అస్పృశ్యత"
untrained,"శిక్షణ లేని, అశిక్షితుడైన, అభ్యసించని"
untrustworthy,అవిశ్వసనీయమైన
unused,"ఉపయోగము లేని, ఉపయోగించని"
unusual delay,అసాధారణ జాప్యం
unutilized grant,ఉపయోగించని నిధి
unwarranted,"నిష్కారణమైన, ఔచిత్యం లేని"
unwilling,ఇష్టంలేని
unworthy,అయోగ్యమైన
up to date,ఈ రోజువరకు
updation,"ఆధునికమైన, నేటిది, ఈనాటిది"
upgrade,పై శ్రేణి
upgrading,పై శ్రేణికి పెంచు
upgrading of post,పదవిని పై శ్రేణికి పెంచుట
uphold,"సమర్థించు, నిలబెట్టు"
upkeep,"నిర్వహణ, సంరక్షణ"
uplift,"పైకెత్తు, హోదా పెరుగు, సామాజికంగా ఆర్దికంగా ఉన్నతి చెందు"
upper,పైన
upper age limit,గరిష్ఠ వయః పరిమితి
uppermost,అన్నిటి కంటె పై నున్న
upright,"నిలువుగా ఉన్న, నీతి గల, సత్యవంతుడైన"
upset,"కలవరపెట్టు, చెడగొట్టు, అస్తవ్యస్తం చేయు"
upward communication,"పైకి సమాచారము, ఊర్ధ్వముఖ సమాచారము"
upward trend,ఊర్ధ్వ ముఖ ప్రవృత్తి
urban,పట్టణ సంబంధ
urbanization,నగరీకరణ
urgency,"అత్యవసరం, జరూరు, అత్యావశ్యకమైన పరిస్థితి"
urgent,"ఆలస్యము చేయరాని, ఆవశ్యకమైన, వెంటనే"
urgent action,అత్యవసర చర్య
urgent call,"జరూరు పిలుపు, అత్యవసర పిలుపు"
urgent slip,అత్యవసర/జరూరు చీటి
usage,"వాడుక, ప్రయోగం"
useful,ఉపయోగకరమైన
user,"వినియోగదారుడు, ప్రయోగించేవాడు"
user item,"వినియోగ వస్తువు, వినియోగదారుని వస్తువు"
usual,"మామూలు, పరిపాటి, సామాన్యమైన"
usurp,బలవదాక్రమణ చేయు
utility,"ప్రయోజకత, ప్రయోజనము"
utilization,"ఉపయోగపరచుట, వినియోగించుట"
utilization certificate,"ప్రయోజన ప్రమాణ పత్రము, వినియోగ ప్రమాణ పత్రము"
vacancy,ఖాళీ
vacant post,ఖాళీ ఉద్యోగము/పోస్ట్
vacate,ఖాళీ చేయుట
vacation,సెలవు
vacation pay,సెలవు భత్యము
vacuum,"శూన్యం, శూన్యత"
vague idea,అస్పష్ట భావము
valedictory address,ముగింపు ఉపన్యాసం
valedictory function,ముగింపు ఉత్సవము
valedictory session,"ముగింపు సమావేశము, ముగింపు కూడిక"
valid,"(న్యాయ)మాన్య, చెల్లదగిన, న్యాయ సమ్మత"
valid argument,"సాధికారమైన, అధికారిక వాదన"
valid reason,న్యాయ సమ్మతమైన కారణము
validity date,న్యాయసమ్మత తారీఖు
valuation,"మూల్యాంకనం, విలువకట్టటం/మదింపు/నిర్ణయం"
valuation certificate,మూల్యాంకన ప్రమాణ పత్రము
valuation report,మూల్యాంకన నివేదిక
value,"విలువ, మూల్యం, విలువ కట్టు"
valuer,విలువ నిర్ధారకుడు
variable,"అస్థిరమైన, చపలమైన"
variance,"తేడా, వ్యత్యాసం, భేదం"
variant,"మార్పు చెందు, రూపాంతరము చెందు"
variation,"మార్పు, భిన్నత"
variation in quality,"విభిన్నమైన నాణ్యత, విభిన్న లక్షణము"
variety,"రకం, విభిన్నత, వివిధత్వం"
vehicle,"వాహనం, సాధనం"
ventilate,వ్యక్తీకరించు
venture,"వెంచర్, సాహసకృషి"
venue,స్థలం
veracity,"సత్యము, సత్య వాదిత్వము, ఖచ్చితత్వము"
verbal,"నోట మాట చెప్పిన, వ్రాత మూలము కాని"
verbal agreement,"మౌఖిక ఒప్పందం, వ్రాతమూలము కాని ఒప్పందము"
verbal discussion,"వ్రాతమూలము కాని చర్చ, మౌఖిక చర్చ"
verbal order,మౌఖిక ఉత్తరువులు
verbal statement,"వాజ్మూలం, నోటిమాట, మౌఖిక ప్రకటన"
verbal warning,మౌఖిక హెచ్చరిక
verbatim,"మాటకిమాటగా, యథాతథాంగా"
verbatim report,యథాతథ నివేదిక
verdict,"తీర్పు, నిర్ణయం"
verification,"సరినిరూపణ, సరిచూడటం"
verification of antecedents,పూర్వ వర్తనల సరినిరూపణ
verification of stores,నిలవ సామాను/సామగ్రి/స్టోర్సు సరినిరూపణ
verification sheet,సరినిరూపణ పత్రం
verified copy,సరిచూసిన ప్రతి
vernacular,"దేశభాష, మాండలికం, వ్యవహార భాష, సాధారణ భాష"
version,"కథనం, పాఠం, రూపాంతరణం, పాఠాంతరము"
versus,"ఎదురుకక్షి, ఎదిరి, ప్రతిగా"
vertical communication,"లంబరేఖ పద్ధతిలో ఉత్తర ప్రత్యుత్తరాలు, సమాచారప్రసారము"
vertical filing system,ఫైళ్ళను నిలువుగా అమర్చే పద్థతి
vertical mobility,లంబరేఖ పద్ధతిలో చలన శక్తి
very good,"చాలా మంచిది, చాలా యోగ్యమైనది"
vessel,"పాత్ర, నాళము, గొట్టము, ఓడ"
vest,"నిహితం చేయు, సంక్రమింపచేయు"
vested right,ఒక వ్యక్తి అధీనంలో ఉన్న అధికారము/హక్కు
veto,"వీటో, నిషేధం, నిరాకరించు అధికారము"
vetting,"పునరీక్షణ, పరీక్షించు"
vettor,"పరీక్షించు వాడు, పునరీక్షణ చేసే వాడు"
via,"ద్వారా, మార్గాన"
via media,మధ్యమార్గము
viability,"స్వయంభరణ శక్తి, క్షమతి, లాభప్రదము"
viable,"స్వయంభరణ శక్తిగల, లాభప్రదమైన"
vice,"ఉప, దురభ్యాసం, దుష్ట గుణము"
vice versa,"వ్యత్యస్తంగా, విపర్యయంగా, తారుమారుగా"
vicious circle,"విషవలయం, దుష్ట వలయము, చెడు వలయము"
victimise,"బలి చేయు, ఘాతము చేయు"
victimization,"బలి, ఘాతము, హాని, మోసము"
victory,విజయం
video conferencing,దృశ్య సంభాషణ
view,"దృష్టి, అభిప్రాయం, దృశ్యం"
view point,దృక్కోణం
views,"విచారించు, యోచించు, దృష్టి, పరిశీలన"
vigilance,నిఘా
vigilance case,నిఘా కేసు
vigilence clearance,"నిఘా పరిష్కారము, నిఘా తీర్పు"
vigorous,"ప్రబల, శక్తిమంతమైన"
vindictive,ప్రతీకార స్వభావం ఉన్న
violate,"భంగము చేయు, అతిక్రమించు"
violation,"అతిక్రమణ, ఉల్లంఘన"
virtue,"సద్గుణము, సన్మార్గము, సుశీలత"
virtuours,"నీతిమంతుడైన, ధర్మశీలుడైన"
vis-a-vis,"ముఖాముఖి, ప్రతిగా"
visa,"వీసా, విదేశ ప్రవేశానుమతి పత్రం"
visit,"దర్శనము చేయు, వచ్చు"
visiting hours,సందర్శన వేళలు
visitor,"సందర్శకుడు, పరామర్శకుడు ప్రేక్షకుడు, అతిధి"
visitor's book,సందర్శకుల పుస్తకం
visitor's gallery,ప్రేక్షకుల గ్యాలరీ
