Punjabi,Gujarati
ਰਾਣੀ ਮਾਂ,રાણી માતા
ਰਾਣੀ ਰਾਜੀ,રાજવી રાણી
ਕੁਇਜ਼ਲਿੰਗ,ક્વિસલિંગ
ਕੁਇਜ਼ਲਿੰਗ,ક્વિસલિંગ
ਕਿਰਾਇਆ ਛੱਡ ਦਿਓ,ભાડું છોડો
ਕੰਬਣੀ,ધ્રુજારી
ਵਾਰੰਟੋ,વોરન્ટો
ਦੌੜ,રેસ
ਨਸਲੀ ਸਰਵਉੱਚਤਾ,વંશીય સર્વોપરિતા
ਰੈਕ,રેક
ਰੈਕ,રેક
ਛਾਪਾ ਮਾਰਿਆ,દરોડો પાડ્યો
ਛਾਪਾ ਮਾਰਿਆ,દરોડો પાડ્યો
ਰਾਮਪਾਰਟ,રેમ્પાર્ટ
ਰਾਮਪਾਰਟ,રેમ્પાર્ટ
ਲੁੱਟ,લૂંટફાટ
ਰਿਹਾਈ,ખંડણી
ਰਿਹਾਈ,ખંડણી
ਤਬਾਹੀ,તબાહી
ਤਬਾਹੀ,તબાહી
ਖੇਤਰ,ક્ષેત્ર
ਪਿਛਲਾ ਗਾਰਡ,પાછળનો રક્ષક
ਰੀਅਰ ਗਾਰਡ ਐਕਸ਼ਨ,પાછળના રક્ષકની ક્રિયા
ਬਾਗੀ,બળવાખોર
ਬਗਾਵਤ,બળવો
ਬਗਾਵਤ ਦੀ ਮਾਨਤਾ,બળવાની માન્યતા
ਰੀਕੰਡਕਸ਼ਨ,રીકન્ડક્શન
ਪੁਨਰ ਖੋਜ,રિકોનિસન્સ
ਪੁਨਰ ਨਿਰਮਾਣ,પુનઃનિર્માણ
ਰਿਕਾਰਡ,રેકોર્ડ
ਰਿਕਾਰਡ ਦਫਤਰ,રેકોર્ડ ઓફિસ
ਰਿਟਾਇਰਮੈਂਟ ਰਿਕਾਰਡ ਕਰੋ,રેકોર્ડ નિવૃત્તિ
ਲਾਲ ਕਮੀਜ਼,લાલ શર્ટ
ਸੁਧਾਰ,સુધારણા
ਸ਼ਰਨਾਰਥੀ,શરણાર્થી
ਰੀਗਾਲੀਆ,રેગાલિયા
ਰੀਗਾਲੀਆ,રેગાલિયા
ਰੀਗਾਲੀਆ,રેગાલિયા
ਰੀਜੈਂਸੀ,રીજન્સી
ਰੀਜੈਂਟ,કારભારી
ਰੀਜੈਂਟ ਰਾਣੀ,કારભારી રાણી
Regicide,રેજીસાઈડ
ਰੈਜੀਸਾਈਡਸ,રેજીસાઇડ્સ
ਸ਼ਾਸਨ,શાસન
ਸ਼ਾਸਨ,શાસન
ਖੇਤਰ,પ્રદેશ
ਰੀਜਨਲ ਸਾਲ,શાસન વર્ષ
ਰੀਗਨੈਂਟ,રેગ્નન્ટ
ਰੈਗਨਮ,રેગ્નમ
ਰੀਚ,રીક
ਰਾਜ ਕਰੋ,શાસન
ਰਾਜ ਕਰੋ,શાસન
ਰਾਜ ਕਰਨ ਵਾਲਾ ਪਰਿਵਾਰ,રાજ પરિવાર
ਦਹਿਸ਼ਤ ਦਾ ਰਾਜ,આતંકનું શાસન
ਦਹਿਸ਼ਤ ਦਾ ਰਾਜ,આતંકનું શાસન
ਮਜ਼ਬੂਤ,મજબૂત કરો
ਮਜ਼ਬੂਤੀ,મજબૂતીકરણ
ਬਹਾਲੀ,પુનઃસ્થાપન
ਮੁੜ ਨਿਵੇਸ਼ ਕਰੋ,ફરીથી રોકાણ કરો
ਰੀਲੇਅ ਪੋਸਟ,રિલે પોસ્ટ
ਰੀਲੇਅ ਰੂਟ,રિલે માર્ગ
ਰੀਲੇਅ ਸਿਸਟਮ,રિલે સિસ્ટમ
ਜਾਰੀ ਕਰੋ,પ્રકાશન
ਜਾਰੀ ਕਰੋ,પ્રકાશન
ਤਿਆਗ,ત્યાગ
ਤਿਆਗ,ત્યાગ
ਰੀਪਰਟਰੀ (=ਸੂਚੀ),રેપર્ટરી (= ઇન્વેન્ટરી)
ਰਿਪੋਜ਼ਟਰੀ,ભંડાર
ਰਿਪੋਜ਼ਟਰੀ,ભંડાર
ਗਣਤੰਤਰ,પ્રજાસત્તાક
ਗਣਤੰਤਰ ਦਿਵਸ,ગણતંત્ર દિવસ
ਰੀਸਕ੍ਰਿਪਟ,રીસ્ક્રીપ્ટ
ਰੀਸਕ੍ਰਿਪਟ,રીસ્ક્રીપ્ટ
ਨਿਵਾਸੀ,રહેવાસી
ਬਹਾਲੀ,પુનઃસ્થાપન
ਪੁਨਰ-ਉਥਾਨ,પુનરુત્થાન
ਪੁਨਰ-ਉਥਾਨ,પુનરુત્થાન
ਪਿੱਛੇ ਹਟਣਾ,પીછેહઠ
ਉਲਟਾ (ਇੱਕ ਸਿੱਕੇ ਦਾ),ઊલટું (સિક્કાનું)
ਬਗਾਵਤ,બળવો
ਇਨਕਲਾਬ,ક્રાંતિ
"ਇਨਕਲਾਬ, ਫ੍ਰੈਂਚ","ક્રાંતિ, ફ્રેન્ચ"
ਇਨਕਲਾਬ ਸ਼ਾਨਦਾਰ,ક્રાંતિ ભવ્ય
"ਇਨਕਲਾਬ, ਉਦਯੋਗਿਕ","ક્રાંતિ, ઔદ્યોગિક"
ਵਧ ਰਿਹਾ ਹੈ,રાઇઝિંગ
ਰਟਨ-ਬੋਰੋ,રોટન-બરો
ਰਫ ਰਾਈਡਰਜ਼,રફ રાઇડર્સ
ਗੋਲ-ਸਿਰ,રાઉન્ડ-હેડ્સ
ਰੂਟ,રાઉટ
ਸ਼ਾਹੀ ਦਰਸ਼ਕ,રોયલ પ્રેક્ષકો
ਸ਼ਾਹੀ ਚਾਰਟਰ,રોયલ ચાર્ટર
ਰਾਇਲ ਕਰੈਸਟ,રોયલ ક્રેસ્ટ
ਰਾਇਲ ਕਰੈਸਟ,રોયલ ક્રેસ્ટ
ਸ਼ਾਹੀ ਫ਼ਰਮਾਨ,રોયલ હુકમનામું
ਰੁਬਰਿਕ,રૂબ્રિક
ਖੰਡਰ,ખંડેર
ਦੌੜਾਕ,દોડવીર
ਸਾੜ-ਫੂਕ,તોડફોડ
ਸਾਬਰ,સાબર
ਸਾਬਰ,સાબર્સ
ਕੁਰਬਾਨੀ,બલિદાન
ਕੁਰਬਾਨੀ,બલિદાન
ਕੁਰਬਾਨੀ,બલિદાન
ਸੁਰੱਖਿਅਤ ਆਚਰਣ,સલામત આચરણ
ਸੁਰੱਖਿਆ,સેફગાર્ડ
ਸੁਰੱਖਿਆ,સેફગાર્ડ
ਸੁਰੱਖਿਆ ਦੇ ਫਰਜ਼,સુરક્ષા ફરજો
ਸੈਲੀ,સેલી
ਸੈਲੀ-ਪੋਰਟ,સેલી-બંદર
ਰਾਜਦੰਡ,રાજદંડ
ਸਿਮੀਟਰ,સ્કીમિટર
ਦੂਜੀ ਜਾਇਦਾਦ,બીજી એસ્ટેટ
ਸੰਪਰਦਾ,સંપ્રદાય
ਸੰਪਰਦਾ,સંપ્રદાય
ਦੌਰਾ,જપ્તી
ਦੌਰਾ,જપ્તી
ਸੈਨੇਟ,સેનેટ
ਸੈਨੇਟ,સેનેટ
ਸੈਨੇਟ,સેનેટ
ਸੈਨੇਟ,સેનેટ
ਸੇਵਾ (= ਬਾਰਡਰ ਜਾਂ ਵਿਲੀਨ),નોકર (=બોર્ડર અથવા વિલિન)
ਸੇਵਾ (= ਬਾਰਡਰ ਜਾਂ ਵਿਲੀਨ),નોકર (=બોર્ડર અથવા વિલિન)
ਸਰਫਡਮ (ਸੇਰਫਹੁਡ ਜਾਂ ਸਰਫੇਜ),સર્ફડમ (સર્ફહુડ અથવા સર્ફેજ)
ਸਰਫਡਮ (ਸੇਰਫਹੁਡ ਜਾਂ ਸਰਫੇਜ),સર્ફડમ (સર્ફહુડ અથવા સર્ફેજ)
ਸ਼ੈਡੋ ਰਾਜਾ,છાયા રાજા
ਪੈਸੇ ਭੇਜੋ,શિપ મની
ਸਦਮਾ ਫੌਜਾਂ (= ਤੂਫਾਨ ਫੌਜਾਂ),શોક ટુકડીઓ (= તોફાન ટુકડીઓ)
ਛੋਟੀ ਸੰਸਦ,ટૂંકી સંસદ
ਝੜਪ,અથડામણ
ਗੁਲਾਮ,ગુલામ
ਗੁਲਾਮੀ,ગુલામી
ਗੁਲਾਮੀ,ગુલામી
ਸਿਪਾਹੀ ਰਾਜਨੇਤਾ,સૈનિક રાજનેતા
ਬਰਛੀ,ભાલા
ਬਰਛੀ—ਸਿਰ,ભાલા-માથું
ਗੋਲਾ,ગોળાકાર
ਸਫ੍ਰੈਗਿਸਟਿਕਸ,સ્ફ્રાજીસ્ટિક્સ
ਸਿਸਟਮ ਨੂੰ ਵਿਗਾੜਦਾ ਹੈ,સિસ્ટમ બગાડે છે
ਸਕਵਾਇਰ,સ્ક્વેર
ਸਕਵਾਇਰ,સ્ક્વેર
ਸਕਵਾਇਰਚਾਰੀ,સ્ક્વેરઆર્કી
ਸਕਵਾਇਰਚਾਰੀ,સ્ક્વેરઆર્કી
ਮਿਆਰੀ,ધોરણ
ਮਿਆਰੀ-ਦਾਤਾ,ધોરણ-વાહક
ਖੜੀ ਫੌਜ,સ્થાયી સૈન્ય
ਸਥਾਈ ਆਦੇਸ਼,સ્ટેન્ડિંગ ઓર્ડર
ਸਥਾਈ ਆਦੇਸ਼,સ્ટેન્ડિંગ ઓર્ડર
ਸਟੇਟਸਮੈਨ,સ્ટેટ્સમેન
ਪੱਥਰ ਦਾ ਸ਼ਿਲਾਲੇਖ,સ્ટોન શિલાલેખ
ਤੂਫ਼ਾਨ ਫ਼ੌਜ,તોફાન ટુકડીઓ
ਰਣਨੀਤੀ,સ્ટ્રેટેજમ
ਰਣਨੀਤੀ,વ્યૂહરચના
ਰਣਨੀਤੀ,વ્યૂહરચના
ਰਣਨੀਤੀ,વ્યૂહરચના
ਸਟਰੈਟੋਕਰੇਸੀ,સ્ટ્રેટોક્રસી
ਝਗੜਾ,ઝઘડો
ਝਗੜਾ,ઝઘડો
ਮਜ਼ਬੂਤ ਪਕੜ,મજબૂત પકડ
ਮਜ਼ਬੂਤ ਪਕੜ,મજબૂત પકડ
ਸਹਾਇਕ ਟੈਲਾਇੰਸ,પેટાકંપની ટેલિઅન્સ
ਉਤਰਾਧਿਕਾਰ,ઉત્તરાધિકાર
ਉੱਤਰਾਧਿਕਾਰੀ,અનુગામી
ਮੱਤਭੇਦ,મતાધિકાર
ਮਤਦਾਤਾ,મતાધિકારવાદી
ਸਲਤਨਤ,સલ્તનત
ਸਲਤਨਤ ਦੀ ਮਿਆਦ,સલ્તનત સમયગાળો
ਸਮਰਪਣ,શરણાગતિ
ਸੁਜ਼ਰੇਨ,સુઝેરેન
ਸੁਜ਼ਰੇਨ ਰਾਜ,સુઝેરેન રાજ્ય
ਤਲਵਾਰਬਾਜ਼,તલવારબાજ
ਟੈਮਨੀ ਸੋਸਾਇਟੀ,તમ્માની સોસાયટી
ਗੁੱਸੇ ਵਾਲੀ ਤਲਵਾਰ,ટેમ્પર્ડ તલવાર
ਕਿਰਾਏਦਾਰ,ભાડૂત
ਕਿਰਾਏਦਾਰ,ભાડૂત
ਖੇਤਰ,પ્રદેશ
ਖੇਤਰ,પ્રદેશ
ਖੇਤਰੀ ਸਰਕਾਰ,પ્રદેશ સરકાર
ਅੱਤਵਾਦ,આતંકવાદ
ਤੀਜੀ ਜਾਇਦਾਦ,ત્રીજી એસ્ટેટ
ਤਿੰਨ ਜਾਇਦਾਦਾਂ,ત્રણ વસાહતો
ਕਰ,ટોલ
ਟੋਲ ਹਾਊਸ,ટોલ હાઉસ
ਕਬਰ,કબર
ਟੋਰੀ,ટોરી
ਟੋਟੇਮ,ટોટેમ
ਟਾਵਰ,ટાવર
ਟਾਵਰ,ટાવર
ਜਿੱਤ ਦਾ ਟਾਵਰ,વિજય ટાવર
ਗੱਦਾਰ,દેશદ્રોહી
ਧੋਖੇਬਾਜ਼ੀ,વિશ્વાસઘાત
ਦੇਸ਼ਧ੍ਰੋਹ,રાજદ્રોહ
ਸੰਧੀ,સંધિ
ਲੜਾਈ ਦੁਆਰਾ ਅਜ਼ਮਾਇਸ਼ (=ਲੜਾਈ ਦੁਆਰਾ ਪਗਡੰਡੀ),યુદ્ધ દ્વારા અજમાયશ (= લડાઇ દ્વારા પગેરું)
ਸ਼ਰਧਾਂਜਲੀ,શ્રદ્ધાંજલિ
ਸ਼ਰਧਾਂਜਲੀ,શ્રદ્ધાંજલિ
ਸ਼ਰਧਾਂਜਲੀ ਜ਼ਮੀਨ,શ્રદ્ધાંજલિ જમીન
ਤੀਹਰਾ ਗਠਜੋੜ,ત્રિવિધ જોડાણ
ਤ੍ਰੈ ਗੁਣ,ટ્રિપલ entente
ਜਿੱਤ,વિજય
ਜਿੱਤ,વિજય
ਗੜਬੜ,ગરબડ
ਜ਼ਾਲਮ,જુલમી હત્યા
ਜ਼ਾਲਮ,જુલમી હત્યા
ਜ਼ੁਲਮ,જુલમ
ਜ਼ੁਲਮ,જુલમ
ਜ਼ਾਲਮ,જુલમી
ਉਹਲਾਨ,ઉહલાન
ਉਕਾਸੇ,ઉકાસે
ਉਕਾਸੇ,ઉકાસે
ਉਲੇਮਾ,ઉલેમા
ਅਲਟੀਮੇਟਮ,અલ્ટીમેટમ
ਅਲਟੀਮੇਟਮ,અલ્ટીમેટમ
ਅੰਕਲ ਸੈਮ,અંકલ સેમ
ਅਧੀਨ-ਰਾਜੇ,અન્ડર-કિંગ
ਸੰਯੁਕਤ ਆਇਰਿਸ਼ਮੈਨ,યુનાઇટેડ આઇરિશમેન
ਸੰਯੁਕਤ ਰਾਸ਼ਟਰ,સંયુક્ત રાષ્ટ્રો
ਸੰਯੁਕਤ ਸੂਬੇ,સંયુક્ત પ્રાંતો
ਸੰਯੁਕਤ ਸੂਬੇ,સંયુક્ત પ્રાંતો
ਵਿਲੱਖਣ ਕਿਲਾ,અવિશ્વસનીય કિલ્લો
ਯੂਨੀਵਰਸਲ ਰਾਜਾ,સાર્વત્રિક રાજા
ਯੂਨੀਵਰਸਲ ਮਤਾ,સાર્વત્રિક મતાધિકાર
ਵਿਦਰੋਹ,બળવો
ਹੜੱਪਣਾ,હડપચી
ਹੜੱਪਣ ਵਾਲਾ,હડપ કરનાર
ਯੂਟੋਪੀਆ,યુટોપિયા
ਵੰਦਲ,તોડફોડ
ਬਰਬਾਦੀ,તોડફોડ
ਵੈਨਗਾਰਡ,વેનગાર્ડ
ਵੈਨਗਾਰਡ,વાનગાર્ડ
ਵੈਨਗਾਰਡ,વેનગાર્ડ
ਵਾਰੰਜੀਅਨ,વરાંજીયન
ਵਾਰੰਜੀਅਨ ਗਾਰਡ,વરાંજિયન રક્ષક
ਵਾਸਲ,વાસલ
ਵਾਸਲ,વાસલ
ਵਾਸਲ ਰਾਜ,વાસલ રાજ્ય
ਵੈਟੀਕਨ ਕੌਂਸਲ,વેટિકન કાઉન્સિલ
ਜਹਾਜ਼,વહાણ
ਜਹਾਜ਼,વહાણ
ਜਹਾਜ਼,વહાણ
ਉਪ-ਰਾਜੇ,ઉપ-રાજા
ਵਾਇਸਰਾਏ,વાઇસરોય
ਵਾਇਸਰਾਏਲਟੀ = ਵਾਇਸਰਾਇਟੀ,વાઇસરોયલ્ટી = વાઇસરોયશિપ
ਵਿਕਟਰ,વિક્ટર
ਜਿੱਤ,વિજય
ਵਿਲੀਨ,વિલેન
ਯਾਤਰਾ,સફર
ਕਮਜ਼ੋਰ ਕਿਲ੍ਹਾ,સંવેદનશીલ ગઢ
ਕੰਧ ਚਿੱਤਰਕਾਰੀ,વોલ પેઇન્ટિંગ
ਕੰਧ ਚਿੱਤਰਕਾਰੀ,વોલ પેઇન્ટિંગ
ਜੰਗ,યુદ્ધ
ਯੁੱਧ-ਪ੍ਰਭੂ,યુદ્ધ-સ્વામી
ਯੋਧਾ,યોદ્ધા
ਯੋਧਾ,યોદ્ધા
ਯੋਧਾ,યોદ્ધા
ਜੰਗੀ ਜਹਾਜ਼,યુદ્ધ જહાજ
ਪਹਿਰਾ-ਸ਼ਬਦ,વૉચ-વર્ડ
ਕਲਿਆਣਕਾਰੀ ਰਾਜ,કલ્યાણ રાજ્ય
ਭਲਾਈ ਕਾਰਜ,કલ્યાણ કાર્ય
ਵਿਗ,વ્હિગ
ਚਿੱਟਾ ਝੰਡਾ,સફેદ ધ્વજ
ਗੋਰਿਆਂ ਦਾ ਬੋਝ,વ્હાઇટમેનનો બોજ
ਵਿਸ਼ਵ ਸਾਮਰਾਜ,વિશ્વ સામ્રાજ્ય
ਵਿਸ਼ਵ ਅੰਦੋਲਨ,વિશ્વ ચળવળ
ਵਿਸ਼ਵ ਰਾਜਨੀਤੀ,વિશ્વ રાજકારણ
ਵਿਸ਼ਵ ਸ਼ਕਤੀ,વિશ્વ શક્તિ
ਵਿਸ਼ਵ ਯੁੱਧ,વિશ્વ યુદ્ધ
ਵਿਕਰੇਤਾ,Wreeker
ਵਿਨਾਸ਼ਕਾਰੀ ਸੋਧ,બરબાદીનો સુધારો
ਜ਼ੈਨੇਲੇਸਿਸ,ઝેનેલેસિસ
ਜ਼ੈਨੋਫੋਬੀਆ,ઝેનોફોબિયા
ਯੈਂਕੀ,યાન્કી
ਪੀਲੀ ਜੈਕਟ,પીળો જેકેટ
ਪੀਲਾ ਆਦਮੀ,પીળો માણસ
ਪੀਲਾ ਖ਼ਤਰਾ,પીળો જોખમ
ਪੀਲਾ ਪ੍ਰੈਸ,યલો પ્રેસ
ਨੌਜਵਾਨ ਤੁਰਕ,યંગ ટર્ક્સ
ਜ਼ਿਊਸ,ઝિયસ
ਜ਼ਾਇਓਨਿਜ਼ਮ,ઝાયોનિઝમ
ਜੋਰੋਸਟ੍ਰੀਅਨਵਾਦ,પારસી ધર્મ
