Gujarati,English
કેમ્પસ વસ્તી,range space
ગ્રેડ,rank
ક્રમ સહસંબંધ,rank correlation
મેટ્રિક્સનો ગ્રેડ,rank of matrix
સૉર્ટ ઓર્ડર નમૂના,rank order statistics
ફેરફારનો દર,rate of change
કન્વર્જન્સ દર,rate of convergence
અનુપમ,Ratio
તર્કસંગત,Rational
તર્કસંગત અભિવ્યક્તિ,rational expression
તર્કસંગત ક્ષેત્ર,rational field
તર્કસંગત કાર્ય,rational function
છેદનું તર્કસંગતકરણ,rationalisation of the denominator
તાર્કિક અંક,rational number
તર્કસંગત સંખ્યા ક્ષેત્ર,rational number field
તર્કસંગત કામગીરી,rational operation
અપ્રમાણસર પરીક્ષણ,ratio test
"અનપ્રોસેસ્ડ દત્તા, પ્રાપ્ત થયા મુજબ",raw data
"રશ્મિ, કિરણ, પાખ-આર, રે, શંકુશ, અર્ધરેખા, અર",ray
બીમ વેક્ટર,ray vector
વાસ્તવિક,real
વાસ્તવિક ધરી,real axis
વાસ્તવિક સાતત્ય,real continuum
વાસ્તવિક રેખા,real line
વાસ્તવિક રેખીય વેક્ટર જગ્યા,real linear vector space
વાસ્તવિક મેટ્રિક્સ,real matrix
વાસ્તવિક સંખ્યા,real number
વાસ્તવિક સંખ્યા ક્ષેત્ર,real number field
વાસ્તવિક ભાગ,real part
વાસ્તવિક બહુપદી,real polynomial
વાસ્તવિક ચતુર્ભુજ,real quadratic
વાસ્તવિક માલુ,real root
વાસ્તવિક વસ્તી,real space
વાસ્તવિક સમય સિસ્ટમ,real time system
વાસ્તવિક મૂલ્ય કાર્ય,real valued function
વાસ્તવિક ચલ,real variable
વાસ્તવિક વેક્ટર જગ્યા,real vector space
"વ્યસ્ત, પારસ્પરિક, પારસ્પરિક",reciprocal
વ્યસ્ત મેટ્રિક્સ,reciprocal matrix
લંબચોરસ,rectangle
"લંબચોરસ, જમણો ખૂણો, જમણો ખૂણો",rectangular
લંબચોરસ ટેબલ,rectangular array
"જમણો ખૂણો અક્ષ, જમણો ખૂણો સંકલન અક્ષ",rectangular axis
લંબચોરસ ઘનતા કાર્ય,rectangular density function
કાટકોણીય હાઇપરબોલા,rectangular hyperbola
લંબચોરસ મેટ્રિક્સ,rectangular matrix
"લંબચોરસ સમાંતરગ્રામ, જમણો ખૂણો સમાંતર",rectangular parellelopiped   (cuboid)
આર્ક્યુએટ વળાંક,rectifiable curve
પુનરાવર્તન સૂત્ર,recurrence formula
સામયિક દશાંશ,recurring decimal
ટર્નઅરાઉન્ડ ફોર્મ્યુલા,recursion formula
વંશવેલો સ્વરૂપ,reduced echelon form
અસંગત કામગીરી,reductio-ad-absurdum
"લઘુગણક સૂત્ર, સમકક્ષ સૂત્ર",reduction formula
"સંદર્ભ રેખા, સંદર્ભ રેખા",reference line
સંદર્ભ બિંદુ સંદર્ભ બિંદુ,reference point
પ્રતિબિંબિત તરંગ,reflected wave
પ્રતિબિંબ,reflection
સમકક્ષ નિયમ,reflexive law
કન્વર્જન્સ પ્રદેશ,region of convergence
ભિન્ન પ્રદેશ,region of divergence
એકીકરણ પ્રદેશ,region of integration
પાછળ નુ પૃથકરણ,regression analysis
રીગ્રેસન વળાંક,regression curve
રીગ્રેસન સમીકરણ,regression equation
રીગ્રેસન રેખા,regression line
રીગ્રેશન મોડલ,regression model
નિયમિત વળાંક,regular curve
પણ ષટ્કોણ,regular hexagon
નિયમિત મેટ્રિક્સ,regular matrix
સમભુજ,regular tetrahedron
સંબંધિત પૂરક,relative complement
સંબંધિત સર્વોચ્ચ,relative maximum
સંબંધિત સૌથી નીચું,relative minimum
સંબંધિત સંભાવના,relative probability (conditional probability)
સંબંધિત વેગ,relative velocity
"સાપેક્ષતા, સાપેક્ષતા, સાપેક્ષતા",Relativity
સાપેક્ષતા સિદ્ધાંત,relativity theory
વિશ્વસનીયતા,reliability
વિશ્વસનીયતા સમસ્યા,reliability problem
શેષ પોસ્ટ,remainder term
બાકી પ્રમેય,remainder theorem
પુનરાવર્તિત મર્યાદા,repeated limit
પુનરાવર્તિત રીમેન-ઇન્ટિગ્રલ,repeated Riemann integral
પ્રતિનિધિત્વ,representation
"શેષ, અવશેષ",Residue
અનંત પર રહે છે,residue at a pole
"વિસર્જન, ખંડન, તફાવત",resolution
બળ અલગ,resolution of forces
વેગ ગોઠવણ,resolution of velocities
પરિણામી પરિણામ,resultant
પરિણામી બળ,resultant force
પરિણામ વેક્ટર,resultant vector
સંશોધિત એક પદ્ધતિ,revised simplex technique
સમચતુર્ભુજ,rhombus
riemann-અભિન્ન,Riemann integral
"જમણો ખૂણો, જમણો ખૂણો",right angle
જમણો ત્રિકોણ,right angled triangle
જમણો ગોળાકાર શંકુ,right circular cone
દક્ષિણ સમૂહ,right coset
જમણા ગોળાકાર સિલિન્ડર,right cylinder
ઘડિયાળની દિશામાં,right handed
દક્ષિણ વ્યસ્ત,right inverse
"ચોક્કસ પુરાવો, સચોટ પુરાવો",rigorous proof
"રિંગ, રિંગ",ring
પૂર્ણાંક રિંગ,ring of integers
આર-અભિન્ન,R-integrable
"મૂળ, મૂળ",root
વર્ગમૂળ મૂળ,root mean square
બહુપદીનું મૂળ,root of a polynomial
"પરિભ્રમણ, પરિભ્રમણ",rotation
રાઉન્ડિંગ ભૂલ,rounding error
કતાર,row
પંક્તિ-સ્તંભ ગુણાકાર,row-by-column multiplication
રેખા સમાનતા,row equivalence
પંક્તિ મેટ્રિક્સ,row matrix
પંક્તિનો ક્રમ,row rank
એસ્કેપ પોઈન્ટ,saddle point
"નમૂના, નમૂના",sample
નમૂનાનો અર્થ,sample means
નમૂના બિંદુ,sample point
નમૂનાનું કદ,sample size
નમૂના જગ્યા,sample space
નમૂના-માનક-વિચલન,sample standard deviation
નમૂના સર્વેક્ષણ,sample survey
નમૂના તફાવત,sample variance
"નમૂના (v.), નમૂના (n.)",sampling
નમૂના વિતરણ,sampling distribution
નમૂનાની ભૂલ,sampling error
સેમ્પલિંગ અંતરાલ,sampling interval
નમૂના પદ્ધતિ,sampling method
નમૂનાનો સિદ્ધાંત,sampling theory
રિપ્લેસમેન્ટ સાથે સેમ્પલિંગ,sampling with replacement
"સ્કેલર, સ્કેલર",scalar
સ્કેલર ક્ષેત્ર,scalar field
સ્કેલર મેટ્રિક્સ,scalar matrix
સ્કેલર બહુવિધ,scalar multiple
સ્કેલર ગુણાકાર,scalar multiplication
સ્કેલર ઉત્પાદન,scalar product
સ્કેલર,scalar quantity
સ્કેલર ટ્રિપલ ઉત્પાદન,scalar triple product
સ્કેલીન ત્રિકોણ,scelene triangle
સ્કેટર ડાયાગ્રામ,scattered diagram
શ્રોડિન્જર સમીકરણ,Schrodinger equation
"મોસમી વધઘટ, મોસમી વધઘટ",seasonal fluctuation
"પેનિટ્રન્ટ, પેનિટ્રેટિંગ લાઇન, સેકન્ટ, ઇન્વર્સ કોસાઇન",secant
વેધન પદ્ધતિ,secant method
બીજું,second derivative
બીજો ક્રમ (બીજો પ્રકાર),second order
"વિભાગ, વિભાગ, વિભાગ, વિભાગ, વિભાગ",section
"પેટાવિભાગ, ક્ષેત્ર, ક્ષેત્ર",sector
વળાંક સેગમેન્ટ,segment of a curve
સ્વ-આસક્તિ,self — adjoint
સ્વયં જોડાયેલ ઓપરેટર,self adjoint operator
ઓટોઝાઇગસ,self — conjugate
અડધી ધરી,semiaxis
અર્ધવર્તુળ,semicircle
કોંક્રિટ મેટ્રિક્સ,semi - definite matrix
અભિન્ન ચતુર્ભુજ,semi - definite quadratic form
સમિસમુહ,semigroup
અડધો અંતરાલ,semi - interval
અર્થ મુખ્ય ધરી,semi major axis
અર્ધ ગૌણ ધરી,semi minor axis
વિભાજિત બહુપદી,separable polynomial
ચલ અલગતા,separation of variables
ક્રમ,sequence
અનુક્રમણિકા સિદ્ધાંત,sequencing theory
ક્રમિક વિશ્લેષણ,sequential analysis
ક્રમિક નમૂના,sequential sampling
સ્પષ્ટ સહસંબંધ,serial correlation
"શ્રેણી, શ્રેણી, શ્રેણી",series
"એકંદર, પવનની દિશા, પ્રવાહની દિશા, સ્થિર, સ્થિર (ver.)",set
સેક્સટન્ટ,sextant
shewhart નિયંત્રણ ચાર્ટ,Shewhart control charts
"ચિહ્ન, રકમ",sign
મેટ્રિક્સ માર્કર,signature of a matrix
ચતુર્ભુજ ચતુર્ભુજ પ્રતીક,signature of quadratic form
સચિન નંબર,signed number
મહત્વ સ્તર,significance level
મહત્વ પરીક્ષણ,significance test
નોંધપાત્ર ગુણ,significant digit
માર્ક ટેસ્ટ,sign test
પ્રતીક કાર્ય,signum function
સમાન લંબગોળ,similar ellipses
સજાતીય આકૃતિ,similar figures
"સામ્યતા, સામ્યતા",similarity
સજાતીય મેટ્રિક્સ,similar matrices
સરળ બંધ વળાંક,simple closed curve
સરળ સહસંબંધ,simple correlation
સરળ હાર્મોનિક ગતિ,simple harmonic motion
સરળ રેન્ડમ નમૂના,simple random sampling
"સમૂહ, સિમ્પ્લેક્સ, એકતરફી, સરળ",simplex
વન-વે અલ્ગોરિધમ,simplex algorithm
એક ટેબલ,simplex tableau
સિમ્પસનનો એક તૃતીયાંશ નિયમ,Simpson's one - third rule
સિમ્યુલેશન પદ્ધતિ,simulation technique
એક સાથે વિભેદક સમીકરણો,simultaneous differential equations
એક સાથે સમીકરણો,simultaneous equations
"ચિહ્ન, સાઈન",sine
"સાઈન કર્વ, સાઈન કર્વ",sine curve
સોલો,singleton
એકવિધ કાર્ય,single valued function
વિચિત્ર અભિન્ન,singular integral
"વિચિત્રતા, વિચિત્રતા",singularity
અનિવાર્ય મેટ્રિક્સ,singular matrix
વિચિત્ર ઉકેલ,singular solution
નમૂનાનું કદ,size of sample
વિચિત્ર વિતરણ,skewed distribution
વિજાતીય હર્મિટિયન મેટ્રિક્સ,skew-Hermitian matrix
વિપરીત,skewness
વિચિત્ર સપ્રમાણ મેટ્રિક્સ,skew symmetric matrix
ચલ ન્યૂનતમ,slack variable
"ઢાળ, ઢાળ, ઢાળ",slope
ઢાળ ઢાળ,slope gradient
"કૌંસ, ટૂંકા બંધનકર્તા",small brackets
સીધો વળાંક,smooth curve
પરચુરણ કાર્ય,smooth function
સૂર્ય સિસ્ટમ,smoothing of time series
,solar system
સોલેનોઇડલ વેક્ટર,solenoidal vector
"નક્કર, સમૂહ, સમઘન",solid
"ક્યુબિક ભૂમિતિ, સ્ટીરિયોસ્કોપિક ભૂમિતિ",solid geometry
"ઉકેલ, સાધન",solution
શ્રેણી ફોર્મ સોલ્યુશન,solution in series
સોલ્યુશન મેટ્રિક્સ,solution matrix
ત્રિકોણનો ઉકેલ,solution of a triangle
ઉકેલ વસ્તી,solution space
સોનીન બહુપદી,Sonine polynomial
"આકાશ, અવકાશ, અવકાશ, અવકાશ, અવકાશ",space
આકાશ વળાંક,space curve
પિતૃ સમૂહ,spanning set
સ્થાનિક સહસંબંધ રેખાકૃતિ,spatial correlogram
ચોક્કસ રેખીય જૂથ,special linear group
ચોક્કસ વર્ટિકલ જૂથ,special orthogonal group
"ચોક્કસ ઘનતા, સંબંધિત ઘનતા",specific gravity
માનવ મેપિંગ પ્રમેય,spectral mapping theorem
કાર્યનો ધોરણ,spectrum of a function
"ગોળો, ગોળો",sphere
ગોળાકાર સંકલન સિસ્ટમ,spherical coordinate system
ગોળાકાર ધ્રુવીય કોઓર્ડિનેટ્સ,spherical polar coordinate
ગોળાકાર ત્રિકોણ,spherical triangle
ગોળાકાર ત્રિકોણમિતિ,spherical trigonometry
સર્પાકાર,spiral
"ચોરસ, ચોરસ",square
"ગુરુઓ, ગુરુબંધની",square brackets
ચોરસ અભિન્ન,square integrable
ચોરસ મેટ્રિક્સ,square matrix
વર્ગમૂળ,square root
નમૂના લેવાનો તબક્કો,stage of sampling
વંશવેલો કાર્ય,staircase function
પ્રમાણભૂત વિચલન,standard deviation
પ્રમાણભૂત વિભેદક ઉત્પાદન,standard inner product
સંતુલન,state of equilibrium
જડ વળાંક,stationary curve
જડ બિંદુ,stationary point
આઘાતજનક મૂલ્ય,stationary value
"નમૂના, આકૃતિ",statistic
આંકડાકીય,statistical
આંકડાકીય વિશ્લેષણ,statistical data
આંકડાકીય વિતરણ,statistical distribution
આંકડાકીય પૂર્વધારણા,statistical hypothesis
આંકડાકીય અંદાજ,statistical inference
આંકડાકીય મોડેલ,statistical model
આંકડાકીય વસ્તી,statistical population
આંકડાકીય ગુણવત્તા નિયંત્રણ,statistical quality control
"આંકડા, આંકડા",statistics
"અપરિવર્તનશીલ, સતત, સ્થિર, કાયમી",steady
સ્થાયી રાજ્ય ઉકેલ,steady state solution
વધુ સંભવિત માઉન્ટ,steep ascent (of a curve)
ઢોળાવ-ક્લાઇમ્બ ડિઝાઇન,steepest ascent design
સૌથી ઊભો વંશ,steepest descent
પગલું કાર્ય,step function
સ્ટર્લિંગ શ્રેણી,Stirling series
"સ્ટોકેસ્ટિક, સંભવિત",stochastic
સંભવિત મેટ્રિક્સ,stochastic matrix
સંભવિત મોડેલ,stochastic model
સંભવિત પ્રોગ્રામિંગ,stochastic programming
સંભવિત ચલ,stochastic variable
સ્ટોક્સ પ્રમેય,Stokes’ theorem
"સીધી રેખા, સીધી રેખા, સીધી રેખા",straight line
"સ્તર ચાર્ટ, બાર ચાર્ટ",strata chart
"સ્તરીકરણ, સ્તરીકરણ",stratification
સ્તરીય નમૂના,stratified sampling
"પ્રવાહ-રેખા, પ્રવાહ-રેખા",stream-line
તણાવ,stress
મજબૂત વલણવાળું કાર્ય,strictly convex function
સતત ઘટી રહ્યું છે,strictly decreasing
સતત વધારો,strictly increasing
સતત ઓર્ડિનેટ ફંક્શન,strictly monotonic function
વિદ્યાર્થી કસોટી (વિદ્યાર્થી &#39;ટી&#39; ટેસ્ટ),"Student's test (Student's ""t"" test)"
ઉપસંગ્રહ,sub-collection
પેટા-નિર્ધારિત,sub determinant
પેટા-પ્રદેશ,subfield
"પેટાવર્ગ, પેટાજૂથ, પેટાજૂથ",subgroup
અંતરાલ,sub-interval
"સબમેટ્રિક્સ, સબમેટ્રિક્સ",submatrix
"ફૂટનોટ, ફૂટનોટ, ફૂટનોટ",subscript
ઉત્તરાધિકાર,subsequence
સબસેટ,subset
ઉપવસ્તી,subspace
બદલી,substitution
અર્ધ સ્પર્શેન્દ્રિય,subtangent
"સ્થાનાંતરિત કરવું, સ્થાનાંતરિત કરવું",subtend
"બાદબાકી, બાદબાકી",subtract
"બાદબાકી, બાદબાકી",subtraction
ધીમે ધીમે,successive
પ્રગતિશીલ તફાવત,successive differentiation
પ્રગતિશીલ એકીકરણ,successive integration
બાદમાં,successor
જોડાયેલ,suffix
"સરવાળો, સરવાળો, સરવાળો, સરવાળો, સરવાળો",sum
સરવાળો કાર્ય,sum function
કમ્પાઇલેબલ,summable
યોગ બ્લોક,summand
સંકલન,summation
સંગ્રહ સંમેલન,summation convention
સંકલન સૂત્ર,summation formula
ગ્રેડ સંગ્રહ,summation of series
સંકલન પ્રતીક,summation sign
અનંત સુધીનો યોગ,sum to infinity
"મૂર્ખ, મૂર્ખ",superscript
ઓવરસેટ,superset
સુપરસોનિક પ્રવાહ,supersonic flow
પૂરક કોણ,supplementary angle
lacquered ફ્લીસ ફ્લેટ,supporting hyperplane
કાર્યનો આધાર,support of function
"કલ્પના કરો, ધારો",suppose
ઉચ્ચ,supremum
કરણી,surd
"સપાટી, સપાટી, સપાટી",surface
ડોર્સલ વિસ્તાર,surface area
પૃષ્ઠ અભિન્ન,surface integral
આવરણ,surjection
આવરણ,surjective
કવર નકશો,surjective map
હસ્તાક્ષર,symbol
સાંકેતિક તર્ક,symbolic logic
પ્રતીકાત્મક મોડેલ,symbolic model
સપ્રમાણ,symmetric
આઇસોમેટ્રિક,symmetrical
"સપ્રમાણ નિર્ધારક, સપ્રમાણ નિર્ધારક",symmetric determinant
સપ્રમાણ તફાવત,symmetric difference
સપ્રમાણ મેટ્રિક્સ,symmetric matrix
સિસ્ટમ વિશ્લેષણ સિસ્ટમ વિશ્લેષણ,system analysis
સીરીયલ સેમ્પલિંગ,systematic sampling
"ટેબલ, ટેબલ",table
"ટેબલ, ટેબલ",tableau
અભિન્ન કોષ્ટક,table of integrals
"ટેબ્યુલર, સપાટ",tabular
ટેબ્યુલર સ્વરૂપ,tabular form
"ટેબ્યુલર લોગરીધમ, ટેબ્યુલર લોગરીધમ",tabular logarithm
ટેબ્યુલેટ,tabulate
કોષ્ટક મૂલ્યો,tabulated value
ટેબ્યુલેશન,tabulation
"ટેબ્યુલર, ટેબ્યુલર મશીન, ટેબ્યુલર",tabulator
"પૂંછડી, પૂંછડી",tail
પૂંછડીનો વિસ્તાર (વિતરણનો),tail area (of distribution)
સ્પર્શ,tangency
"સ્પર્શક, સ્પર્શક, સ્પર્શક, સ્પર્શક",tangent
ફ્લીસ ફ્લીસને સ્પર્શ કરો,tangent hyperplane
"સ્પર્શેન્દ્રિય, સ્પર્શક",tangential
સ્પર્શક ઘટક,tangential component
સ્પર્શક કટ,tangential section
સ્પર્શરેખા,tangent line
"સ્પર્શેન્દ્રિય વિમાન, સ્પર્શેન્દ્રિય વિમાન",tangent plane
સ્પર્શ વસ્તી,tangent space
ટેપ પંચ,tape punch
ટેપ રીડર,tape reader
ટૌબ્રીનું પ્રમેય,Tauberian theorem
ટેલર પ્રમેય,Taylor's theorem
શેબીશેવ અંતર,Tchebychev metric
ટી-વિતરણ,t-distribution
આંતરજાતિ શ્રેણી,telescopic series
ટેમ્પોરલ કોઓર્ડિનેટ્સ,temporal coordinates
ટેમ્પોરલ સંબંધ,temporal relationship
સમય ચલ,temporal variable
તણાવ શક્તિ,tensile strength
"ક્ષેત્ર, ટેન્સર",tensor
ક્ષેત્ર વિશ્લેષણ,tensor analysis
ક્ષેત્ર ઉત્પાદન,tensor product
કામચલાઉ રૂપરેખાંકન,tentative formulation
પોસ્ટ,term
પ્રતિબંધ સમાપ્ત કરો,terminal condition
અંતિમ વેગ ડાઈવ,terminal velocity dive
સમાપ્તિ દશાંશ,terminating decimal
રેન્ક મૂલ્ય,term values
પગલું વિભેદક,termwise differentiation
તબક્કાવાર એકીકરણ,termwise integration
"ત્રિકોણાકાર, ત્રિકોણાકાર",ternary
પરીક્ષણ,test
વિભિન્ન એકરૂપતાની કસોટી,test for homogeneity of variances
પરીક્ષણ કાર્ય,test function
પૂર્વધારણા પરીક્ષણ,test of hypothesis
મહત્વ પરીક્ષણ,test of significance
પરીક્ષણ નમૂના,test statistics
ટેટ્રાહેડ્રલ,tetrahedral
ટેટ્રાહેડ્રલ કોણ,tetrahedral angle
ચતુર્ભુજ,tetrahedron
પ્રમેય,theorem
શેષ પ્રમેય,theorem of residues
સૈદ્ધાંતિક માંગ કાર્ય,theoretical demand function
સૈદ્ધાંતિક અવ્યવસ્થિત વિતરણ,theoretical discrete distribution
સૈદ્ધાંતિક ભૂલ,theoretical error
સૈદ્ધાંતિક ગોઠવણ,theoretical fit
સૈદ્ધાંતિક રચના,theoretical formulation
સૈદ્ધાંતિક આવર્તન,theoretical frequency
"સિદ્ધાંતમાં, સિદ્ધાંતમાં",theoretically
સૈદ્ધાંતિક મોડેલ,theoretical model
સૈદ્ધાંતિક રચના,theoretical treatment
સમીકરણ સિદ્ધાંત,theory of equations
ભૂલ સિદ્ધાંત,theory of errors
મૂલ્યાંકન સિદ્ધાંત,theory of estimation
કાર્ય સિદ્ધાંત,theory of functions
રમત સિદ્ધાંત,theory of games
ગુરુત્વાકર્ષણ સિદ્ધાંત,theory of gravitation
માહિતી સિદ્ધાંત,theory of information
અવેજી સિદ્ધાંત,theory of replacement (= theory of failure)
સેટ થિયરી,theory of sets
પંક્તિ સિદ્ધાંત,theory of waiting lines(= queuing theory)
તરંગ સિદ્ધાંત,theory of waves
થર્મોડાયનેમિક,Thermodynamic
સ્ક્રૂ બંગડી,thread of a screw
સ્ટીરિયોસ્કોપિક,three dimensional
સ્ટીરિયોસ્કોપિક વેક્ટર વિશ્લેષણ,three dimensional vector analysis
ત્રિપુટી વર્ગીકરણ,three-way classification
"પ્રક્ષેપણ, ડ્રોપ",throw
"જોર, જોર",thrust
"સમય, અવધિ, અવધિ",time
સમય અક્ષ,time axis
કાળી અવલંબન,time dependence
સમય આધારિત માળખું સમીકરણ,time-dependent constitutive equation
સમય આધારિત પ્રક્રિયા,time-dependent process
પોસ્ટ બંધ સમય,time-independent term
સમય અંતરાલ,time interval
સમય શ્રેણી,time series
સમય શ્રેણી વિશ્લેષણ,time series analysis
સમય શ્રેણી ટ્રસ્ટ,time series data
સમય સિસ્ટમ,time sharing system
"સહનશીલતા, સહનશીલતા",tolerance
આધાર અંતરાલ,tolerance interval
સહ-માળ,tolerance level
"સહનશીલતા મર્યાદા, સહનશીલતા મર્યાદા",tolerance limit
ટોપોગ્રાફિક,topological
ટોપોલોજીકલ દ્વૈતતા,topological dual
ટોપોલોજીકલ જૂથ,topological group
ટોપોલોજીકલ આઇસોમોર્ફિઝમ,topological isomorphism
ટોપોલોજીકલ રેખીય જગ્યા,topological linear space
ટોપોલોજીકલ રીતે,topologically
ટોપોગ્રાફિક મેપિંગ,topological mapping
ટોપોલોજીકલ પ્રોપર્ટી,topological property
ટોપોલોજીકલ વસ્તી,topological space
ટોપોલોજીકલ વેક્ટર જગ્યા,topological vector space
"ટોપોલોજી, ટોપોલોજી",topology
"આંચકી, ખેંચાણ, આંચકી",torsion
"ગોળાકાર ઘન-રિંગ, ટોરસ",torus
"કુલ, સરવાળો (ઓ.), સંપૂર્ણ, સંપૂર્ણ (v.)",total
સંપૂર્ણ વ્યુત્પન્ન,total derivative
સંપૂર્ણ વિભેદક,total differential
સંપૂર્ણ વિભેદક સમીકરણ,total differential equation
સંપૂર્ણ તપાસ,total inspection
સંપૂર્ણપણે બંધાયેલ,totally bounded
સંપૂર્ણ ઓર્ડર કરેલ સેટ,totally ordered set
સંપૂર્ણ ક્રમાંકન,total ordering
"ટ્રેસ કરવું, ટ્રેસ કરવું (n.), વીંધવું (n.), ટ્રેસ કરવું (v.)",trace
મેટ્રિક્સ ટ્રેસ,trace of matrix
"ટ્રેસીંગ, માર્કિંગ",tracing
નિયમન કાર્ય,trade off function
"માર્ગ, બોલ, બોલ",trajectory
ગુણાતીત,transcendental
બીજગણિતીય સમીકરણ,transcendental equation
બીજગણિત કાર્ય,transcendental function
બીજગણિત નંબર,transcendental number
"ટ્રાન્સફર, ટ્રાન્સફર",transfer
વિભેદક કાર્ય,transfer function
મર્યાદિત આગમન,transfinite induction
અનંત સંખ્યા,transfinite number
ભિન્નતા,transform
રૂપાંતર સૂત્ર,transformation formula
ટ્રાન્સફોર્મેશન મેટ્રિક્સ,transformation matrix
કોઓર્ડિનેટ્સનું રૂપાંતર,transformation of coordinates
પરિવર્તન કાર્ય,transformed function
પરિવર્તિત મેટ્રિક્સ,transformed matrix
શિપિંગ સમસ્યા,transshipment problem
ક્ષણિક આચરણ,transient behaviour
ક્ષણિક ઉકેલ,transient solution
ચેપ,transition
સંક્રમણ મેટ્રિક્સ,transition matrix
સાંસર્ગિક,transitive
સંક્રમણ નિયમ,transitive law
ચેપી સંબંધ,transitive relation
ચેપીપણું,transitivity
ચેપી એકંદર,transitivity set
ટ્રાન્સફર,translation
પરિવહન ખર્ચ,transportation cost
પરિવહન સમસ્યા,transportation problem
પરિવહન સમય,transportation time
ઍક્સેસ સમીકરણ,transport equation
પરિવર્તિત મેટ્રિક્સ,transposed matrix
મેટ્રિક્સ ચલ,transpose of a matrix
સ્થાનાંતરણ,transposition
ટ્રાન્સવર્સ,transversality
ટ્રાંસવર્સ પ્રતિબંધ,transversality condition
"ત્રાંસી, ત્રાંસી",transverse
ટ્રાંસવર્સ ઝડપ,transverse motion
"ટ્રેપેઝિયમ, ટ્રેપેઝિયમ",trapezium
ટ્રેપેઝોઇડ,trapezoid
ટ્રેપેઝિયમ પ્રિઝમ,trapezoidal prism
"સારવાર, સારવાર",treatment
વૃક્ષ રેખાકૃતિ,tree diagram
"વલણ, વલણ",trend
ઉદય રેખા,trend line
વધારાનું મૂલ્ય,trend value
ત્રિપુટી,triadic
"પરીક્ષણ, પરીક્ષણ, પરીક્ષણ",trial
આરોપાત્મક કાર્ય,trial function
"ત્રિકોણ, ત્રિકોણ",triangle
ત્રિકોણ અસમાનતા,triangle inequality
વેગ ત્રિકોણ,triangle of velocity
ત્રિકોણ પ્રતીક,triangle symbol
ત્રિકોણ સિસ્ટમ,triangle system
ત્રિકોણ,triangulability
"ત્રિકોણાકાર, ત્રિકોણાકાર, ત્રિકોણાકાર",triangular
ત્રિકોણાકાર મેટ્રિક્સ,triangular matrix
"ત્રિકોણ, ત્રિકોણ",triangulation
ત્રિપુટી,trichotomy
ત્રિવિકર્ણી,tridiagonal
ત્રિકોણમિતિ,trigonometric
ત્રિકોણમિતિ વળાંક,trigonometric curve
ત્રિકોણમિતિ સમીકરણો,trigonometric equation
ત્રિકોણમિતિ કાર્ય,trigonometric function
ત્રિકોણમિતિ ઓળખ,trigonometric identity
ત્રિકોણમિતિ શ્રેણી,trigonometric series
ત્રિકોણમિતિ ઉકેલ,trigonometric solution
ત્રિકોણમિતિ પરિવર્તન,trigonometric transformation
ત્રિકોણમિતિ,trigonometry
"ત્રિગુણ, ત્રિધા, ત્રિ-, ત્રિશહ, ત્રિકા, ત્રિહ",triple
ટ્રિપલ એકીકરણ,triple integration
ટ્રિપલ,triplet
દ્વિભાજિત,trisect
ત્રિવિભાજન,trisection
કોણને દ્વિભાજિત કરો,trisection of an angle
સૂક્ષ્મ દેખાવ,trivial form
વ્યર્થ સ્થિતિ,trivial topology
કેન્સરનું ઉષ્ણકટિબંધ,tropic of Cancer
મકર રાશિનું ઉષ્ણકટિબંધ,tropic of Capricorn
ટ્રોપોસ્ફિયર,troposphere
સાચો અર્થ,true mean
સાચું મોડ,true mode
"lunagra, rundit",truncated
"કપાયેલો શંકુ, કપાયેલો શંકુ",truncated cone
તૂટેલું વિતરણ,truncated distribution
તૂટેલી આવર્તન વિતરણ,truncated frequency distribution
"વેધન, કાપવું, ઘસવું, ચંદ્રાકર્ષણ",truncation
રનડાઉન,truncation error
"ચોકસાઈ, સત્યતા",truth
સત્ય કાર્ય,truth function
સત્ય ટેબલ,truth table
સત્યમન,truth value
ટી-નમૂનો,t-statistic
ટી-ટેસ્ટ,t-test
ખલેલ સિદ્ધાંત,turbulence theory
વળાંક,turning point
"ટ્વિચ, ટ્વિસ્ટ, ટ્વિસ્ટ, ટ્વિસ્ટ",twist
"ટ્વિસ્ટેડ વળાંક, અસમાન વળાંક",twisted curve
બે પરિમાણીય,two dimensional
બે પરિમાણીય સતત વિતરણ,two dimensional continuous distribution
બે પરિમાણીય વેક્ટર,two dimensional vector
બાયવર્ગીકરણ,two fold classification
બાયપેરેંટલ કુટુંબ,two parameter family
બે વ્યક્તિની રમત,two person game
બે પગલાની પદ્ધતિ,two phase method
બે તબક્કાના નમૂના,two phase sampling
ડબલ બિંદુ મર્યાદા પ્રતિબંધ,two point boundary condition
બે પૂંછડીવાળું એફ-ટેસ્ટ,two sided F-test
બે પૂંછડીવાળું સામાન્ય પરીક્ષણ,two sided normal test
બે પૂંછડીવાળી એક્સ-ટેસ્ટ,two sided X-test
અંતિમ મૂલ્ય,ultimate value
નિષ્પક્ષ મૂલ્યાંકન,unbiased estimate
વસ્તી તફાવતનો નિષ્પક્ષ અંદાજ,unbiased estimate of population variance
નિષ્પક્ષ રેખીય અંદાજ,unbiased linear estimate
નિષ્પક્ષ બિંદુ અંદાજ,unbiased point estimate
નિષ્પક્ષ પરીક્ષણ,unbiased test
અમર્યાદિત પ્રદેશ,unbounded region
અમર્યાદિત સમૂહ,unbounded set
અમર્યાદિત ઉકેલ,unbounded solution
