ab initio,"મૂળથી, પ્રારંભથી"
syllabus,"પાઠ્યક્રમ, અભ્યાસક્રમ"
symbol,પ્રતીક
symmetry,સમરૂપતા
sympathy,સહાનુભૂતિ
sympathy strike,સહાનુભૂતિ હડતાળ
symposium,પરિસંવાદ
symptom,"લક્ષણ (રોગ, બિમારી ઈત્યાદિના), સંકેત"
synchronise,"સમાંતર, સમરૂપ"
synopsis,"રૂપરેખા, પ્રારૂપ, સારસંક્ષેપ"
synthesis,સંશ્લેષણ
synthetic,"કૃત્રિમ, અકુદરતી"
system,"પ્રક્રિયા, પ્રણાલિ, તંત્ર"
systematic,વ્યવસ્થિત
systematic work,"વ્યવસ્થિત કાર્ય, તંત્રાનુરૂપ કાર્ય"
systems analysis,"પ્રક્રિયા વિશ્લેષણ, તંત્રગત વિશ્લેષણ"
tab folder,ટેબ ફોલ્ડર
table,"ટેબલ, મેજ"
table of contents,"વિષયસૂચિ, કાર્યસૂચિ"
table of the house,"સદન પટલ, ગૃહપટલ"
tableau,ઝાંખી
tabular,"સારણીબદ્ધ, ક્રમબદ્ધ"
tabulated statement,સારણીબદ્ધ વિવરણ
tabulation,"સારણીકરણ, કોષ્ટકીકરણ"
tabulator,"સારણીકાર, સારણીયંત્ર"
tackle,"ઉકેલવું, સમેટવું"
tact,યુક્તિ
tactful,"વ્યવહારકુશળ, ચતુર, નીપુણ, ચાલાક"
tactic,યુક્તિ
tag,"જોડાવું, ટેગ"
take home pay,"હાથવેતન, ચોખ્ખું વેતન, કપાતબાદ વેતન"
take over,અધિગ્રહણ
talent search,"પ્રતિભાખોજ, પ્રતિભાશોધ"
talented,પ્રતિભાશાળી
tally,"સરખાવવું, સરખામણી"
tally card,"સરખામણી કાર્ડ, સરખામણી પત્ર"
tampering,"ગરબડ કરવી, ઉલટસુલટ કરવું, બગાડવું, વિકૃત કરવું"
tangible,મૂર્ત
tangible asset,મૂર્ત સંપત્તિ
tape,"પટ્ટી, ટેપ, ધ્વનિમુદ્રિત પટ્ટી"
tapping,"ધ્વનિમુદ્રણ કરવું, સંસાધનોનો ઉપયોગ કરવો"
tardiness,"આળસ, શિથિલતા, શૈથિલ્ય"
target,"લક્ષ્ય, ધ્યેય"
target date,લક્ષ્ય તારીખ
tariff,"ભાડું, દર"
tarnish,"ગંદુ કરવું, મલીન કરવું"
task,"કામ, કાર્ય"
task force,કાર્યદળ
tax,કર
tax abatement,કરમાં છૂટ
tax adjustment,કર સમાયોજન
tax assessment,કર આકારણી
tax avoidance (tax loophole),કર પરિહાર
tax consultant,કર સલાહકાર
tax declaration,કર જાહેરાત
tax deducted at source,સ્રોત પર કાપેલો દર
tax deduction,કર કપાત
tax evasion,"કર વંચન, કર વંચિતતા"
tax exemption,"કરમુક્તિ, કરમાં છૂટ"
tax free,"કરમુક્ત, કરમુક્તિ, કરમાં છૂટ"
tax payer,કરદાતા
tax rebate,"કર ઘટવો તે, કર રાહત"
tax return,કર વિવરણ
tax schedule,કર અનુસૂચિ
taxable,"કરપાત્ર, કરયોગ્ય"
taxable income,કરપાત્ર આવક
taxation,"કરાધાન, કરનિર્ધારણ"
team spirit,"જૂથ ભાવના, સંઘભાવના, સમૂહભાવના"
team work,"સમૂહકાર્ય, જૂથકાર્ય, સંઘકાર્ય"
tear gas,અશ્રુવાયુ
technical,"તાંત્રિક, તંત્રગત, તંત્રપરક, પારિભાષિક"
technical advice,"તાંત્રિક સલાહ, તંત્રગત સલાહ"
technical college,"તકનીકી મહાવિદ્યાલય, તંત્રગત મહાવિદ્યાલય"
technical data,"તકનીકી આધારસામગ્રી, તંત્રગત આંકડા"
technical post,"તકનીકી હોદ્દો, તંત્રગત પદ"
technical qualification,"તંત્રગત યોગ્યતા, તકનીકી યોગ્યતા"
technical skill,"તંત્રગત કુશળતા, તાંત્રિક કુશળતા"
technical term,પારિભાષિત શબ્દ (અથવા શબ્દસમૂહ)
technical training,"તંત્રગત તાલીમ, તકનીકી તાલીમ"
technician,"તકનીકવિદ, ટેકનીશિયન"
technique,"પ્રવિધિ, ટેકનીક, તકનીક"
technocracy,પ્રૌદ્યોગિકી
technocrat,"પ્રૌદ્યોગવિદ્, પ્રૌદ્યોગિક વિજ્ઞાનશાસ્ત્રી"
technological,પ્રૌદ્યોગિક
technologist,પ્રૌદ્યોગિકીવિદ્
technology,"પ્રૌદ્યોગિકી, તંત્રવિજ્ઞાન"
telebanking,દૂરસ્થ બેંકિંગ
telegram,તાર
telegraphic address,તાર સરનામું
telegraphy,"તારસંચાર, ટેલિગ્રાફી"
teleprinter message,ટેલિપ્રિન્ટર સંદેશ
television,દૂરદર્શન
teleworking,દૂરકાર્ય
telex,ટેલેક્સ
teller,ગણક
temper,"મિજાજ, સ્વભાવ, પ્રકૃતિ"
temperament,"સ્વભાવ, મિજાજ, પ્રકૃતિ, વલણ"
temperamental,"ક્રોધી, અવળચંડો"
temperature,તાપમાન
tempo,"ગતિ, ઝડપ"
temporary,"કામચલાઉ, બિનકાયમી, અસ્થાયી"
temporary advance,કામચલાઉ અગ્રીમ રકમ
temporary appointment,કામચલાઉ નિયુક્તિ
temporary disability,"કામચલાઉ અક્ષમતા, બિનકાયમી અક્ષમતા"
temporary post,"કામચલાઉ પદ, અસ્થાયી પદ"
temporary restriction,"કામચલાઉ પ્રતિબંધ, અસ્થાયી પ્રતિબંધ"
temporary vacancy,"કામચલાઉ ખાલી (પડેલી) જગ્યા, બીનકાયમી જગ્યા"
temptation,"પ્રલોભન, લાલચ, ઈચ્છા, કામના, લાલસા"
tenable,માન્ય
tenacity,"દૃઢતા, લગાવ, લગન"
tenancy,"ભાડેદાર, ભાડાદાર"
tenant,ભાડૂત
tendency,"પ્રવૃત્તિ, ચલણ"
tender,નિવિદા
tender box,નિવિદાપેટી
tender notice,"નિવિદા નોટિસ, નિવિદા માહિતી"
tenderer,નિવિદાકાર
tentative,"વચગાળાનું, અંતરિમ, કામચલાઉ"
tenure,"સમયગાળો, મુદત"
tenure of land,પટ્ટાદારી (જમીનની)
tenure of office,"પદઅવધિ, હોદ્દાની મુદત"
tenure of post,પદ /હોદ્દાની મુદત
tenure of work,"કાર્યમુદત, પદમુદત, કાર્યસમય"
tenure post,"સાવધિ પદ, મુદતબંદી હોદ્દો"
term,"મુદત, કાર્યકાળ, કાર્યસમય"
term loan,મુદતબંધી કરજ
term of office,"પદમુદત, પદઅવધિ"
terminable,સમાપનીય
terminal (report etc.),"આવધિક, અવધિવાળું"
terminal tax,સીમાકર
termination,સમાપ્તિ
termination clause,ફારેગ કરવાનો કાયદો
termination notice,ફારેગ કરવાની સૂચના
termination of service,"સેવાસમાપ્તિ, ફરજ સમાપ્તિ"
terminology,પરિભાષા
terms,"શરતો, સંબંધ, નિબંધન"
terms and conditions,શરતો અને નિબંધન
terms of delivery,સુપ્રત સંબંધી શરત
terms of reference,"વિચારાર્થે, વિચારાર્થ વિષય"
terms of service,"સેવાની શરતો, નોકરીની શરતો"
territory,"પ્રદેશ, ક્ષેત્ર, રાજક્ષેત્ર"
terror,"આતંક, ત્રાસ"
terrorism,"આતંકવાદ, ત્રાસવાદ"
terrorist,"આતંકવાદી, ત્રાસવાદી"
tertiary benefit,"તૃતીયપક્ષ, હિતલાભ"
test,"પરીક્ષા, પરીક્ષણ, તપાસ"
test charge,"પરીક્ષણ મૂલ્ય, પરીક્ષણ ભાડું"
test check,નમૂના પરીક્ષણ
testament,વસિયત
tester,પરીક્ષક
testify,પ્રમાણિત કરવું
testimonial,પ્રમાણપત્ર
testimony,"આધાર, પુરાવા"
testing report,પરીક્ષણ અહેવાલ
text,"પાઠ, વાચના"
thankful,"કૃતજ્ઞ, ઓશિંગણ, આભારી"
theme,"વિષયવસ્તુ, વિષય"
therapy,ચિકિત્સા
third party,"તૃતીય પક્ષ, અન્ય પક્ષ"
thoroughly,સાંગોપાંગ
thoughtful,વિચારયુક્ત
threat,ધમકી
thrift,"કરકસર, મિતવ્યય"
through,"સીધું, પારગામી, ના દ્વારા, ના માધ્યમથી"
throw out,"અસ્વીકાર કરવો, ફગાવી દેવું"
thumb impression,અંગુઠાનું નિશાન
thumping majority,ભારે બહુમતિ
ticket,ટિકિટ
tie,"ગાંઠ, બંધાવું, જોડવું, બરાબર, સમતુલ્ય"
tied loan,"મુદતબંધી કરજ, મુદતબંધી ઋણ"
tier,"સ્તર, ટિયર"
tilt,"ઝુકાવ, લગાવ"
time,"સમય, કાળ"
time allowed,"ફાળવાયેલો સમય, ફાળવેલો સમય"
time barred,કાલાતીત
time bound,મુદતબંધી
time card,સમય કાર્ડ
time deposit (=fixed deposit),સાવધિ જમા
time keeping,સમયપાલન
time limit,"સમયસીમા, સમયમર્યાદા"
time off,અલ્પ અવકાશ
time overrun,સમયબંધન
time rate (time work),સમયાનુપાત
time recording machine,સમયનોંધણી યંત્ર
time scale,"સમયમાન, કાલમાન"
time schedule,સમય અનુસૂચિ
time stamp,સમય(નો) સિક્કો
time study equipment,સમય અધ્યયન ઉપકરણ
time table,સમયપત્રક
timed programme,"સમયબદ્ધ કાર્યક્રમ, નિયત કાર્યક્રમ"
timing,સમયનિર્ધારણ
tips,"સંકેત, બક્ષિસ"
title,"શીર્ષક, ઉપાધિ, પદવી, હક, માલિકી, અટક"
title holder,હકદાર
toilet,"શૌચાલય, સંડાસ"
token,"સંકેત, પ્રતીક, ટોકન, પ્રતીકાત્મક"
token member,"પ્રતીક સભ્ય, પ્રતીકાત્મક સભ્ય"
token pay,"સાંકેતિક વેતન, પ્રતીક વેતન"
token strike,"સાંકેતિક હડતાલ, પ્રતીક હડતાળ"
tone,"સ્વર, સુર, લહેકો"
tone down,"મંદ કરવું, ધીમું પાડવું"
tone up,"ચુસ્તીકરણ, મજબૂતીકરણ"
tool,"ઓજાર, સાધન, ઉપકરણ, હથિયાર"
tool down strike,ઓજાર બંધ હડતાળ
top,"શીર્ષ, ઉચ્ચતમ, શિખર"
top level decision,"શીર્ષસ્થ, વિમર્શ, ઉચ્ચસ્તરીય વિચારવિમર્શ"
top management,"શીર્ષ પ્રબંધન, ઉચ્ચ પ્રબંધન"
top official,ઉચ્ચ અધિકારી
top priority,ઉચ્ચ પ્રાથમિકતા
top ranking,"શીર્ષસ્થ, ઉચ્ચ ક્રમે"
top secret,અતિગોપનીય
topic,"વિષય, વિષયવસ્તુ, પ્રસંગ"
topmost,"સર્વોચ્ચ, શિખર પરનું"
topography,"સ્થળાકૃતિ, સ્થળની રચના, ભૌગોલિક રચના"
torture,"યાતના, ત્રાસ, યંત્રણા, પીડા"
total,"કુલ, સરવાળો"
total service,"કુલ સેવા, સમગ્ર સેવા"
tough,"કઠોર, કડક, મુશ્કેલ"
tour,"પ્રવાસ, યાત્રા"
tour programme,પ્રવાસ કાર્યક્રમ
tour report,પ્રવાસ અહેવાલ
tout,"દલાલ, મારફતિયા, આડતિયા"
town (city),"નગર, શહેર"
township,"નગરી, નગરીય વસાહત"
trace,"પકડી પાડવું, પીછો કરવો, પત્તો લગાવવો"
tract,"ભૂભાગ, જમીનનો એક હિસ્સો"
traction,"કર્ષણ, ખેંચાણ"
trade agreement,વ્યાપાર કરાર
trade union,"શ્રમિક સંઘ, શ્રમિક સંગઠન, કામદાર સંગઠન, કામદાર સંઘ"
tradition,પરંપરા
train,"ટ્રેન, રેલગાડી"
trainee,તાલીમાર્થી
traineeship,તાલીમવૃત્તિ
trainer,"તાલીમદાતા, પ્રશિક્ષક"
training,તાલીમ
training centre,તાલીમકેન્દ્ર
training college,તાલીમ મહાવિદ્યાલય
training division,"તાલીમ વિભાગ, તાલીમ પ્રભાગ"
training institute,તાલીમ સંસ્થાન
training period,"તાલીમ મુદત, તાલીમ(નો) સમયગાળો"
training programme,તાલીમ કાર્યક્રમ
training unit,તાલીમ એકમ
trait,"લક્ષણ, વિશેષક"
traitor,"દેશદ્રોહી, રાષ્ટ્રદોહી"
tranquility,પ્રશાંતિ
transaction,"સંચાલન, વ્યવહાર, લેણદેણ, સોદો"
transaction of business,"કારોબાર સંચાલન, વ્યવસાય સંચાલન"
transcription,"લિપ્યંતરણ, માધ્યમાંતર"
transfer,"બદલી, સ્થાનાંતરણ, હસ્તાંતરણ"
transfer entry,અંતરણ પ્રવિષ્ટિ
transfer fee,"અંતરણ ફી, બદલી ફી"
transfer memorandum,"સ્થાનાંતર પત્ર, સ્થાનાંતર નિવેદન"
transfer on deputation,પ્રતિનિયુક્તિ સ્થાનાંતર
transfer order,"બદલીનો હુકમ, સ્થાનાંતરનો હુકમ"
transferable goods,"જંગમ માલ, જંગમ માલસામાન"
transformation,રૂપાંતર
transit,"પારવાહન, પારગમન, સંક્રમણ"
transit duty,સંક્રમણ વેરો
transit pass,પારગમન પાસ
transit visa,પારગમન વિઝા
transit workshop,પારગમન કાર્યશાળા
transitional,સંક્રમણકાલીન
translation,"અનુવાદ, ભાષાંતર, તરજુમો"
transliteration,લિપ્યંતરણ
transmission,"સંચાલન, સંચરણ (વીજળી કે તારનું) પારેષણ"
transmit,સંપ્રેષિત
transport,પરિવહન
transport allowance,પરિવહન ભથ્થું
transportation,પરિવહન
transposition,"સ્થાનવિનિમય, પલટાવવું"
trap,"જાળ, ફંદો"
travel,"પ્રવાસ, યાત્રા"
travel expenses,પ્રવાસખર્ચ
traveller’s cheque,પ્રવાસી ચેક
travelling allowance,પ્રવાસભથ્થું
travelling allowance bill,પ્રવાસભથ્થાંનું બિલ
travelling concession,"પ્રવાસમાં છૂટ, પ્રવાસલક્ષી રાહત"
treachery,વિશ્વાસઘાત
treason,રાજદ્રોહ
treasury,"તિજોરી, ખજાનો, કોશ"
treasury bench,"સત્તા પક્ષ, શાસક પક્ષ"
treasury deposit recipt(T.D.R.),તિજોરી જમા રસીદ
treasury receipt,તિજોરી રસીદ
treasury voucher,તિજોરી વાઉચર
treat,"ઉપચાર, વ્યવહાર, સત્કાર, દાવત"
treaty,"સંધિ, જોડાણ"
treaty of extradition,પ્રત્યાપર્ણ સંધિ
trek,"દુર્ગમ પથ, દુર્ગમ અથવા કઠિન માર્ગ, કેડી, આડબીડ રસ્તો"
trend,"પ્રવૃત્તિ, પરંપરા"
trespass,"અતિચાર, ઉલ્લંઘન"
trial,"પરીક્ષા, ખટલો, મુકદ્દમો"
trial balance,"કાચો હિસાબ, અધૂરો હિસાબ"
trial period,"પરીક્ષણ સમય, પરીક્ષણ કાળ"
tribal area development,"જનજાતિ ક્ષેત્ર વિકાસ, આદિવાસી ક્ષેત્ર વિકાસ, આદિજાતિ ક્ષેત્ર વિકાસ"
tribal welfare,"જનજાતિ કલ્યાણ, આદિજાતિ કલ્યાણ, આદિવાસી કલ્યાણ"
tribe,"જનજાતિ, આદિવાસી, આદિજાતિ"
tribunal,"અધિકરણ, પંચાયત"
tribute,"શ્રધ્ધાંજલિ, ભાવાંજલિ, સમ્માન, સન્માન"
trim,કાંટછાંટ
trip,"ભ્રમણ, ફેરો"
tripartite,ત્રિપક્ષીય
triple,ત્રણગણું
triplicate,ત્રણ નકલમાં
true copy,ખરી નકલ
trunk call,ટ્રંક કોલ
trust,"ન્યાય, ટ્રસ્ટ, વિશ્વાસ, શ્રદ્ધા, આસ્થા"
trustee,ટ્રસ્ટી
trustworthy,"વિશ્વસનીય, શ્રદ્ધેય, વિશ્વાસપાત્ર"
turn down,અસ્વીકાર કરવો
turnkey basis,સાદ્યંત આધાર
turnout,"ઉત્પાદ, ઉપસ્થિતિ"
turnover,"આવકજાવક, કુલ વેચાણખરીદ, સમગ્ર આવકજાવક"
turpitude,અધમતા
tutelage,"તારણહાર, સરપરસ્ત"
twin city,જોડીયા શહેર
twin sharing basis,દ્વિભાગિતા આધાર
type,"મુદ્રણ, છાપ, છાપકામ, છાપ યંત્ર, પ્રારૂપ, ટાઈપ કરવું, મુદ્રાંકન"
typescript,મુદ્રિત પ્રત
typewriter,ટાઈપરાઈટર
typewriting,ટાઈપરાઈટીંગ
typical,નમૂનેદાર
typing,"મુદ્રાંકન, અક્ષરાંકન"
typing machine,"મુદ્રણ યંત્ર, છાપકામનું યંત્ર"
typing pool,ટાઈપીંગ પૂલ
typographical error,"મુદ્રણદોષ, મુદ્રણક્ષતિ"
ulterior motive,"ગુપ્ત અભિપ્રાય, ગુપ્તમત"
ultimate,"અંતિમ, આખરી, ચરમ, અતિ"
ultimate consignee,"અંતિમ માલ મેળવનાર, આખરી માલ મેળવનાર"
ultimate cost,અંતિમ ખર્ચ
ultimate goal,"અંતિમ લક્ષ્ય, ચરમ લક્ષ્ય"
ultimately,"આખરે, અંતતઃ, છેવટે"
ultimately objective,"આખરી ઉદેશ, અંતિમ હેતુ"
ultimatum,આખરી ચેતવણી
ultimo,"ગયા મહિનાનું, ગત માસનું"
ultravires,"શક્તિબાહ્ય, ક્ષમતાબાહ્ય, અધિકાર બહારનું"
umpire,"અધિનિર્ણાયક, અમ્પાયર"
unacceptable,અસ્વીકાર્ય
unaccompanied baggage,"અસંગી સામાન, સાથે ના હોય તેવો સામાન"
unaided,બિન-સહાયતાપ્રાપ્ત
unambiguous,"અસંદિગ્ધ, સ્પષ્ટ, સુસ્પષ્ટ"
unanimity,"સર્વસંમતિ, સર્વસહમતિ, મતૈક્ય"
unanimous,"એકમત, સર્વાનુમત"
unanimous decision,સર્વાનુમતે થયેલો નિર્ણય
unassuming,"વિનમ્ર, વિનીત, સીધુંસાદું(વ્યક્તિત્વ)"
unattached,"અસંબદ્ધ, સાથે ન હોય તેવું"
unauthorized,બિનઅધિકૃત
unavoidable,"અપરિહાર્ય, અકાટ્ય, ટાળી ન શકાય તેવું"
unavoidable circumstances,"અપરિહાર્ય સ્થિતિ, અપરિહાર્ય પરિસ્થિતિ, અકાટ્ય સ્થિતિ, ટાળી ન શકાય એવા સંજોગો"
unavoidable delay,અપરિહાર્ય વિલંબ
unbecoming,અક્ષોભનીય
uncashed,વટાવ્યા વિનાનું
uncertain,"અનિશ્ચિત, અચોક્કસ"
unclaimed,દાવા વિનાનું
unclaimed baggage,નધણિયાતો સામાન
unclassified,અવર્ગીકૃત
uncommitted,અપ્રતિબદ્ધ
uncommon,"અસામાન્ય, અસાધારણ"
uncompromising,"મતાગ્રહી, દુરાગ્રહી, કટ્ટર"
unconditional,બિનશરતી
unconfirmed,"અપુષ્ટ, આધારહીન"
unconfirmed report,"નિરાધાર અહેવાલ, આધારહીન અહેવાલ, અપુષ્ટ અહેવાલ"
unconstitutional,ગેરબંધારણીય
uncontested,નિર્વિરોધ
uncontrolled,"નિરંકુશ, બેકાબુ"
uncorroborated,"અસંપુષ્ટ, પુષ્ટિ વિનાનું"
uncovered demand,વણસંતોષાયેલી માંગ
undated,"તારીખરહિત, તારીખ વિનાનું"
undelivered letter,"અવિતરિત પત્ર, અવિતરિત ટપાલ"
under,"નીચે, તળે, અધીન, અલ્પ, ન્યુન, થોડું, ઓછું"
under assessment,મૂલ્યાંકનની પ્રક્રિયામાં
under billing,ઓછી રકમનું બિલ
under certificate of posting,ટપાલ(ખાતા) દ્વારા પ્રમાણિત
under consideration,વિચારાધીન
under employed,"ઓછી રોજગારી, (યોગ્યતા કરતા) ઓછું વેતનમાન"
under employment,"ઓછી રોજગારી, કમ રોજગાર"
under examination,"પરીક્ષાધીન, કસોટી(ને) આધીન"
under invoicing,ઓછું મૂલ્યાંકન
under reference,"પ્રસંગાધીન, સંદર્ભાધીન"
under-age,"સગીર વયનું, ઓછી ઉંમરનું"
under-estimate,"અવમૂલ્યન, ઓછું આંકવું તે"
under-hand dealing,ખાનગી સોદો
under-manned,ઓછી /અપૂરતી સંખ્યાવાળું
under-paid,"ઓછું વેતન મેળવનાર, ઓછો પગાર મેળવનાર"
under-population,"કમ જનસંખ્યા, ઓછી વસ્તી"
under-production,"ઉત્પાદન પ્રક્રિયામાં, ઓછું ઉત્પાદન"
under-utilization,"અલ્પ ઉપયોગ, ઓછો ઉપયોગ"
under-valuation,"અવમૂલ્યન, અલ્પમૂલ્યન"
underconsumption,"અલ્પઉપભોગ, ઓછી ખપત"
underdeveloped,"અવિકસીત, અલ્પવિકસિત"
undergraduate,પૂર્વ સ્નાતક
underground,"ભૂમિગત, ભોંયતળિયું"
underlined,"રેખાંકિત, અધોરેખાંકિત"
undersigned,અધો હસ્તાક્ષરિત
understanding,"સમજણ, સમજૂતી, સદભાવના"
undertake,"જવાબદારી લેવી, દાયિત્વ લેવું, વચનબદ્ધતા"
undertaking,"ઉપક્રમ, વચનબદ્ધ"
undertrial,"વિચારાધીન, ખટલાધીન, મુક્દમાધીન"
undesirable,"અનિચ્છનીય, અવાંછનીય"
undignified,"અશોભનીય, અભદ્ર, મર્યાદાહીન"
undisbursed loan,વિતરણ ન કરાયેલું કરજ
undisputed,નિર્વિવાદ
undivided,"અવિભક્ત, અવિભાજિત"
undoubtedly,"નિઃસંદેહ, નિઃશંક"
undue,અનુચિત
undue delay,અનુચિત વિલંબ
undue influence,અનુચિત પ્રભાવ
unearned income,બિનઅર્જિત આવક
unearth,"પત્તો મેળવવો, ખોજી કાઢવું, શોધી કાઢવું"
uneconomical,બિનલાભદાયી
unemployment,"બેરોજગારી, બેકારી"
uneven land,ઉબડખાબડ જમીન
unexpected delay,અપ્રત્યાશિત વિલંબ
unexpired,અસમાપ્ત
unfair,"અનુચિત, ખોટું"
unfair dismissal,અનુચિત બરખાસ્તગી
unfair labour practices,"અનુચિત શ્રમવ્યવહાર, અનુચિત કામગાર વ્યવહાર"
unfair means,અનુચિત સાધનો
unfavourable,"પ્રતિકૂળ, વિરોધી"
unfit,"અયોગ્ય, અસ્વસ્થ"
unfit for promotion,પદોન્નતિ માટે અયોગ્ય
unforeseen,"અપ્રત્યાશિત, અકલ્પનીય"
unforeseen charges,અદૃષ્ટ શુલ્ક
unforeseen circumstances,"અપ્રત્યાશિત સ્થિતિ, પ્રતિફળ સ્થિતિ, અપ્રત્યાશિત સંજોગો"
unicameral,"એકસદનીય, એકપટલીય (રાજવ્યવસ્થા)"
unicameral legislature,એકસદનીય વિધાનસભા
unification,એકીકરણ
unified scale,"એકીકૃત વેતનમાન, સમાન પગારધોરણ"
uniform,ગણવેશ
uniform increase,"એકસમાન વૃદ્ધિ, સમાન વધારો"
uniformity,"સમાનતા, સમરૂપતા"
unilateral,"એકપક્ષીય, એકતરફી"
unilateral action,એકપક્ષી કાર્યવાહી
uninterrupted power supply (UPS),"અબાધિત વીજળી પુરવઠો, અબાધિત વીજ પુરવઠો"
uninterrupted service,"અવિરત સેવા, નિર્બાધ સેવા, સતત સેવા"
union,"સંગઠન, સંઘ"
union list,"સંઘસૂચિ, સંગઠન સૂચિ"
union territory,કેન્દ્રશાસિત પ્રદેશ
unionism,"સંગઠનવાદ, સંઘવાદ"
unique,"અનન્ય, એકમાત્ર, અદ્વિતીય, અતુલ્ય"
unit,એકમ
unitary,"એકમેવ, એકમાત્ર"
united,સંયુક્ત
unity,એકતા
universal,"સાર્વત્રિક, સાર્વભૌમ, સર્વદેશીય"
unjust,"અન્યાયપૂર્ણ, ભેદભાવભરેલું, અનુચિત"
unlawful,ગેરકાયદેસર
unlawful purpose,ગેરકાયદેસરનો હેતુ
unlimited,"અસીમિત, અમર્યાદિત"
unlimited power,"અમર્યાદિત અધિકાર, અમર્યાદિત સત્તા"
unlisted,બિનસૂચિબદ્ધ
unloading,"ભાર, માલ વગેરે ઉતારવો"
unmarried,"અવિવાહિત, અપરિણિત"
unnatural,"અકુદરતી, કૃત્રિમ, અપ્રાકૃતિક"
unnatural death,"અકુદરતી મૃત્યુ, અકાળે અવસાન"
unnecessary,બિનજરૂરી
unofficial,"અનધિકૃત, ગેરકાયદેસર, બિન અધિકૃત"
unofficial letter,"અનધિકૃત પત્ર, બિનઅધિકૃત પત્ર"
unofficial note,અનધિકૃત નોંધ
unofficial strike,ગેરકાયદે હડતાળ
unopposed,નિર્વિરોધ
unpaid wages,બિનચૂકવેલી મજૂરી/વેતન
unparliamentary,બિનસંસદીય
unpopular,"અલોકપ્રિય, બિનલોકપ્રિય"
unprecedented,અભૂતપૂર્વ
unpredictable,"અપ્રત્યાશિત, આગાહી ન કરી શકાય તેવું"
unproductive,બિનઉત્પાદક
unproductive labour,બિનઉત્પાદક મજૂરી
unprofitable,"અલાભકારી, બિનફાયદાકારક"
unpunctual,"સમયપાલનમાં ન માનનાર, સમયચુસ્ત ન હોય તેવું"
unqualified,"અયોગ્ય, બિનશરતી"
unqualified apology,બિનશરતી માફી
unquestionable,"શંકારહિત, નિઃસંદેહ, નિઃશંક, અસંદિગ્ધ, સ્વયંસ્પષ્ટ"
unrealizable sum,"ડૂબેલી રકમ, અપ્રાપ્ય રકમ"
unreasonable,અનુચિત
unrecorded,"વણનોંધેલું, વણનોંધાયેલું"
unregistered document,વણનોંધાયેલો દસ્તાવેજ
unregistered firm,વણનોંધાયેલી ફર્મ (વ્યાપારી પેઢી)
unreserved vacancy,અનારક્ષિત જગ્યા (નોકરીની)
unsafe,અસુરક્ષિત
unsatisfactory,"અસંતોષકારક, અસંતોષજનક"
unsecured,અસુરક્ષિત
unsecured loan,અસુરક્ષિત કરજ
unserviceable,"બેકાર, નકામું, બિનઉપયોગી"
unskilled,"અકુશળ, બિનકુશળ"
unskilled labour,"બિનકુશળ મજૂર, બિનકુશળ શ્રમિક"
unsound mind,"વિક્રુત માનસ, ચંચળ મન ધરાવનાર"
unspecified,અસ્પષ્ટ
unstable,અસ્થિર
unstable government,અસ્થિર સરકાર
unstarred,"અતારાંકિત, બિનતારાંકિત"
unsuitable,"અનુપયુક્ત, અયોગ્ય, મેળ ન ખાય તેવું"
untenable,અસમર્થનીય
untouchability,અસ્પૃશ્યતા
untrained,"અપ્રશિક્ષિત, તાલીમ્હીન"
untrustworthy,"બિનભરોસાપાત્ર, અવિશ્વસનીય"
unused,"ઉપયોગમાં લેવાયા વિનાનું, બિનવપરાશી"
unusual delay,અસામાન્ય વિલંબ
unutilized grant,વણવપરાયેલું અનુદાન
unwarranted,"અનધિકૃત, અકારણ, અનૌચિત્યવાળું"
unwilling,"અનિચ્છા, અયોગ્ય, અપાત્ર, કુપાત્ર"
unworthy,"નકામું, બિનઉપયોગી"
up to date,અદ્યતન
updation,અદ્યતનીકરણ
upgrade,"ઉન્નયન કરવું, ઉપર કે આગળ લઇ જવું"
upgrading,"ઉન્નયન, ઉપર લઇ જવું"
upgrading of post,પદોન્નયન
uphold,"પુષ્ટ કરવું, પુષ્ટિ આપવી, માન્યતા આપવી, મર્યાદા જાળવવી"
upkeep,"સંભાળ, સારસંભાળ"
uplift,ઉત્થાન
upper,"ઉપરનું, ઉચ્ચ"
upper age limit,ઉપલી વયમર્યાદા
uppermost,સર્વોપરી
upright,"ખરું, સાચું"
upset,"અસ્તવ્યસ્ત, વિક્ષુબ્ધ"
upward communication,"ઉર્ધ્વમુખી, સંચાર"
upward trend,ઉર્ધ્વમુખી પ્રવૃત્તિ
urban,"શહેરી, નગરી"
urbanization,શહેરીકરણ
urgency,અત્યાવશ્યક્તા
urgent,"તરત, તુરંત, અતિ આવશ્યક"
urgent action,તુરંત કાર્યવાહી
urgent call,"તુરંત કોલ, ત્વરિત કોલ"
urgent slip,"અત્યાવશ્યક પર્ચી, અત્યાવશ્યક સ્લીપ"
usage,ઉપયોગ
useful,ઉપયોગી
user,"ઉપયોગ કરનાર, ઉપભોક્તા"
user item,ઉપભોક્તા વસ્તુ
usual,"સામાન્ય, સામાન્યતઃ, સાધારણપણે"
usurp,"હડપ કરી જવું, ઓળખી જવું"
utility,ઉપયોગીતા
utilization,"ઉપ્યોજન, ઉપયોગ"
utilization certificate,ઉપયોગનું (નું) પ્રમાણ પત્ર
vacancy,"જગ્યા, નોકરીમાં ખાલી જગ્યા"
vacant post,ખાલી પડેલું પદ
