Kannada,English
ಟ್ರಿಪಲ್ ಎಂಟೆಂಟೆ,Triple entente
ವಿಜಯೋತ್ಸವ,Triumph
ವಿಜಯೋತ್ಸವ,Triumph
ಪ್ರಕ್ಷುಬ್ಧತೆ,Turmoil
ನಿರಂಕುಶ ಹತ್ಯೆ,Tyrannicide
ನಿರಂಕುಶ ಹತ್ಯೆ,Tyrannicide
ದೌರ್ಜನ್ಯ,Tyranny
ದೌರ್ಜನ್ಯ,Tyranny
ನಿರಂಕುಶಾಧಿಕಾರಿ,Tyrant
ಉಹ್ಲಾನ್,Uhlan
ಉಕಾಸೆ,Ukase
ಉಕಾಸೆ,Ukase
ಉಲೇಮಾ,Ulema
ಅಲ್ಟಿಮೇಟಮ್,Ultimatum
ಅಲ್ಟಿಮೇಟಮ್,Ultimatum
ಚಿಕ್ಕಪ್ಪ ಸ್ಯಾಮ್,Uncle sam
ಅಂಡರ್-ಕಿಂಗ್,Under-king
ಯುನೈಟೆಡ್ ಐರಿಶ್‌ಮೆನ್,United Irishmen
ವಿಶ್ವಸಂಸ್ಥೆ,United Nations
ಯುನೈಟೆಡ್ ಪ್ರಾಂತ್ಯಗಳು,United Provinces
ಯುನೈಟೆಡ್ ಪ್ರಾಂತ್ಯಗಳು,United Provinces
ಏಕರೂಪದ ಕೋಟೆ,Univallated fort
ಸಾರ್ವತ್ರಿಕ ರಾಜ,Universal monarch
ಸಾರ್ವತ್ರಿಕ ಮತದಾನದ ಹಕ್ಕು,Universal suffrage
ದಂಗೆ,Uprising
ದುರುಪಯೋಗ,Usurpation
ದರೋಡೆಕೋರ,Usurper
ರಾಮರಾಜ್ಯ,Utopia
ವಿಧ್ವಂಸಕ,Vandal
ವಿಧ್ವಂಸಕತೆ,Vandalism
ವ್ಯಾನ್ಗಾರ್ಡ್,Vanguard
ವ್ಯಾನ್ಗಾರ್ಡ್,Vanguard
ವ್ಯಾನ್ಗಾರ್ಡ್,Vanguard
ವರಂಗಿಯನ್,Varangian
ವರಂಗಿಯನ್ ಕಾವಲುಗಾರ,Varangian guard
ವಾಸಲ್,Vassal
ವಾಸಲ್,Vassal
ವಾಸಲ್ ರಾಜ್ಯ,Vassal state
ವ್ಯಾಟಿಕನ್ ಕೌನ್ಸಿಲ್,Vatican Council
ಹಡಗು,Vessel
ಹಡಗು,Vessel
ಹಡಗು,Vessel
ಉಪರಾಜ,Vice-king
ವೈಸರಾಯ್,Viceroy
ವೈಸರಾಯಲ್ಟಿ=ವೈಸ್ರಾಯಶಿಪ್,Viceroyalty=viceroyship
ವಿಕ್ಟರ್,Victor
ವಿಜಯ,Victory
ವಿಲೀನ್,Villein
ಪ್ರಯಾಣ,Voyage
ದುರ್ಬಲ ಕೋಟೆ,Vulnerable fortress
ವಾಲ್ ಪೇಂಟಿಂಗ್,Wall painting
ವಾಲ್ ಪೇಂಟಿಂಗ್,Wall painting
ಯುದ್ಧ,War
ಯುದ್ಧಾಧಿಪತಿ,War-lord
ಯೋಧ,Warrior
ಯೋಧ,Warrior
ಯೋಧ,Warrior
ಯುದ್ಧನೌಕೆ,Warship
ವಾಚ್-ವರ್ಡ್,Watch-word
ಕಲ್ಯಾಣ ರಾಜ್ಯ,Welfare state
ಕಲ್ಯಾಣ ಕೆಲಸ,Welfare Work
ವಿಗ್,Whig
ಬಿಳಿ ಧ್ವಜ,White flag
ಬಿಳಿಯರ ಹೊರೆ,Whitemen's burden
ವಿಶ್ವ ಸಾಮ್ರಾಜ್ಯ,World empire
ವಿಶ್ವ ಚಳುವಳಿ,World movement
ವಿಶ್ವ ರಾಜಕೀಯ,World politics
ವಿಶ್ವ ಶಕ್ತಿ,World power
ವಿಶ್ವ ಯುದ್ಧ,World war
ವ್ರೀಕರ್,Wreeker
ಧ್ವಂಸ ತಿದ್ದುಪಡಿ,Wrecking amendment
ಕ್ಸೆನೆಲಾಸಿಸ್,Xenelasis
ಅನ್ಯದ್ವೇಷ,Xenophobia
ಯಾಂಕೀ,Yankee
ಹಳದಿ ಜಾಕೆಟ್,Yellow jacket
ಹಳದಿ ಮನುಷ್ಯ,Yellow man
ಹಳದಿ ಅಪಾಯ,Yellow peril
ಹಳದಿ ಪ್ರೆಸ್,Yellow press
ಯಂಗ್ ಟರ್ಕ್ಸ್,Young Turks
ಜೀಯಸ್,Zeus
ಜಿಯೋನಿಸಂ,Zionism
ಝೋರಾಸ್ಟ್ರಿಯನ್ ಧರ್ಮ,Zoroastrianism
