Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Strong room,"ਤਿਜੋਰੀ ਕਮਰਾ, ਸੁਰਖਿਅਤ ਕਮਰਾ"
Structural,ਢਾਂਚਾਗਤ
Structure,"ਬਨਾਵਟ, ਰਚਨਾ"
Structured interview,ਬਨਾਵਟੀ ਸਖਿਆਤਕਾਰ
Structured pay,ਢਾਂਚਾਗਤ ਵੇਤਨ
Struggle,"ਸੰਘਰਸ਼, ਜਦੋਜਹਦ"
Stubborn,"ਜਿੱਦੀ, ਹਠੀ"
Studious,"ਪੜ੍ਹਾਕੂ, ਮੇਹਨਤੀ"
Study,ਅਧਿਅਨ
Study leave,ਅਧਿਅਨ ਛੁੱਟੀ
Stuff,ਸਮੱਗਰੀ
Stupendous,"ਅਸਚਰਮਈ, ਭਾਰੀ"
Style,"ਸ਼ੈਲੀ, ਢੰਗ"
Sub (subordinate),ਨਾਯਬ ਉਪ(ਪਦ ਨਾਂ)
Sub-committee,ਉਪ ਸਮਿਤੀ
Sub-contract,"ਉਪ ਠੇਕਾ, ਉਪ ਕਰਾਰ"
Sub-district,ਉਪ ਜ਼ਿਲਾ
Sub-division,"ਉਪ-ਖੰਡ, ਉਪ-ਮੰਡਲ, ਉਪ ਵਿਭਾਜਨ"
Sub-head,ਉਪ ਸ਼ੀਸ਼
Subject,"ਵਿਸ਼ਾ, ਵਿਸ਼ਾ ਵਸਤੂ"
Subjective,"ਅੰਤਰ ਮੁਖੀ, ਵਿਅਕਤੀਗਤ"
Subjudice,ਨਿਆਂ ਅਧੀਨ
Sublease,ਉਪ ਧੱਟਾ
Subletting,ਉਪ ਕਿਰਾਇਆ ਦਾਰੀ
Submission,"ਪਰਸਤੁਤੀਕਰਣ, ਮਨਣਾ, ਸਵੀਕਾਰ ਕਰਨਾ"
Submissive,"ਸ਼ਿਸ਼ਟ, ਨਿਮਰਤਾ, ਦੱਬ"
Subordinate office,ਅਧੀਨ ਦਫ਼ਤਰ
Subordinate services,ਅਧੀਨ ਸੇਵਾਵਾਂ
Subordinate staff,"ਅਧੀਨ ਕਰਮਚਾਰੀ ਵਰਗ, ਅਧੀਨ ਸਟਾਫ਼"
Subparagraph,ਉਪ ਪੈਰਾ
Subrule,ਉਪ ਨਿਯਮ
Subscribe,"ਚੰਦਾ ਯਾ ਫੀਸ ਦੇਣਾ, ਗ੍ਰਾਹਕ ਬਨਣਾ, ਸਮਰਥਨ ਕਰਨਾ, ਸਹਿਮਤ ਹੋਣਾ"
Subscribed capital,"ਚੰਦਾ ਦੇਣ ਵਾਲਾ, ਹਸਤਾਖਰ ਕਰਨਾ"
Subscriber,"ਗ੍ਰਾਹਕ, ਹਸਤਾਖਰ ਕਰਨਾ"
Subscription,"ਦਾਨ, ਚੰਦਾ"
Subsection,ਉਪ ਧਾਰਾ
Subsequent,"ਬਾਅਦ ਦਾ, ਉੱਤਰਵਰਤੀ"
Subsequent action,ਉੱਤਰਹਤੀ ਕਾਰਵਾਈ
Subsequently,ਬਾਅਦ ਵਿਚ
Subsidiary,ਸਹਾਇਕ
Subsidiary bodies,ਗੌਣ(ਸਹਾਇਕ) ਨਿਕਾਅ
Subsidiary industry,ਗੌਣ ਉਪਯੋਗ
Subsidiary mandate,ਸਹਾਇਕ ਆਦੇਸ਼
Subsidiary receipt,ਗੌਣ ਪ੍ਰਾਪਤੀ ਪੱਤਰ
Subsidiary register,ਸਹਾਇਕ ਰਜਿਸਟਰ
Subsidise,ਮਾਲੀ ਸਹਾਇਤਾ ਦੇਣੀ
Subsidised,ਮਾਲੀ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ
Subsidized accommodation,ਮਾਲੀ ਸਹਾਇਤਾ ਪ੍ਰਾਪਤ ਅਵਾਸ
Subsidy,"ਮਾਲੀ ਸਹਾਇਤਾ, ਆਰਥਿਕ ਸਹਾਇਤਾ"
Subsistence,ਗੁਜ਼ਾਰਾ
Subsistence allowance,ਗੁਜ਼ਾਰਾ ਭੱਤਾ
Subsistence grant,ਗੁਜ਼ਾਰਾ ਅਨੁਦਾਨ ਅਟਿਆ
Substandard,"ਘਟਿਆ, ਮਿਆਰ ਤੋਂ"
Substantial,ਠੋਸ
Substantiate,"ਸਿੱਧ ਕਰਨਾ, ਪੁਖਤਾ ਕਰਨਾ, ਸਬੂਤ ਦੇਣਾ"
Substantive,ਮੂਲ
Substantive pay,ਮੂਲ ਪਦ ਵੇਤਨ
Substantive post,ਮੂਲ ਪਦ
Substitute,"ਇਵਜੀ, ਪ੍ਰਤਿਸਥਾ, ਕਰਨਾ"
Substitution,"ਪ੍ਰਤਿਸਥਾਪਨ, ਦੀ ਥਾਂ ਤੇਰਖਣਾ"
Sub sub-paragraph,ਉਪ-ਉਪ ਪੈਰਾ
Suburban,ਉਪ ਨਗਰੀ
Subvention,"ਸਰਕਾਰੀ ਇਸਦਾਦ, ਧਰਮਾਰਥ ਸਹਾਇਤਾ"
Subversion,"ਤਬਾਹੀ, ਬਰਬਾਦੀ"
Subway,ਭੂਮੀਗਤ ਮਾਰਗ
Succeeding,ਉੱਤਰ ਵਰਤੀ
Succession,ਉੱਤਰ ਅਧਿਕਾਰ
Successive,"ਸਿਲਸਿਲੇਵਾਰ, ਕ੍ਰਮ ਅਨੁਸਾਰ"
Successor,ਉੱਤਰ ਅਧਿਕਾਰੀ
Succour,"ਸਹਾਇਤਾ, ਮਦਦ, ਸਹਾਇਤਾ ਦੇਣੀ"
Sue,ਮੁਕਦਮਾ ਚਲਾਉਣਾ
Suffer,"ਸਹਿਣਾ(ਦੁਖਭਾਗੀ, ਪਰਭ੍ਰਤ)"
Suffering,"ਕਸ਼ਟ, ਪੀੜਾ"
Sufficient,ਕਾਫੀ
Suffix,ਪਿਛੇਤਰ
Suffrage,ਮਤ-ਅਧਿਕਾਰ
Suggestion,ਸੁਝਾਅ
Suggestion box,ਸੁਝਾਅ ਪੇਟੀ
Suggestions book,ਸੁਝਾਅ ਪੁਸਤਿਕਾ
Suggestive,"ਸੂਚਕ, ਵਿਚਾਰ-ਉੱਤੇਜਕ"
Suicide,ਆਤਮ ਹਤਿਆ
Suit,"ਦਾਵਾ, ਮੁਕੱਦਮਾ"
Suitability,ਉਚਿਤਤਾ
Suitable action,"ਢੁੱਕਵੀ, ਕਾਰਵਾਈ"
Suited,ਢੁੱਕਵੀ
Sum,"ਰਕਮ, ਜੋੜ"
Summarily,"ਸਰਸੀ ਤੋਰ ਤੇ, ਸਾਰ ਵਿਚ"
Summary,ਸਾਰ
Summary trial,ਸਾਂਖਿਅਸਤ ਸੰਖੇਪ ਮੁਕੱਦਮਾ
Summing up,"ਨਿਚੋੜ, ਉਪਸੰਹਾਰ, ਸਮਾਹਾਰ"
Summit,"ਸ਼ਿਖਰ, ਸ਼ਿਖਰ ਸੰਮੇਲਨ"
Summon,"ਸੰਮਨ ਕਰਨਾ, ਬੁਲਾਉਣਾ"
Sumptuary allowance,ਖਰਚ ਭੱਤਾ
Sum up,ਸਾਰ-ਤਤ ਦੇਣਾ
Sundry,"ਫੁੱਟਕਰ, ਵੱਖ ਖਰਚੇ"
Suo moto,"ਆਪਣੇ ਆਪ, ਸਵੈ ਪ੍ਰੇਰਣਾ ਨਾਲ"
Superannuation,"ਰਿਟਾਇਰਮੇਂਟ, ਸੇਵਾ ਮੁਕਤੀ"
Superannuation pension,ਰਿਟਾਇਰ ਮੇਂਟ ਪੇਂਸ਼ਨ
Superficial,"ਉਪਰਲੀ, ਸਤਹੀ"
Superfluous,"ਫਾਲਤੂ, ਹੈਰ ਜਰੂਰੀ, ਅਰਿਰਿਕਤ, ਬਹੁਤ ਜ਼ਿਆਦਾ"
Superimpose,ਉਪੱਰ ਸਥਾਪਿਤ ਕਰਨਾ
Superior,"ਉੱਚ, ਸ਼ਰੇਸ਼ਠ"
Superiority,"ਉੱਚਤਾ, ਸਰੇਸ਼ਠਤਾ"
Supernumerary,ਬਹੁ ਗਿਣਤੀ
Supernumerary post,ਬਹੁ ਗਿਣਤੀ ਪਦ
Superscribe,ਉੱਤੇ ਲਿਖਣਾ
Superscription,"ਅਪਿਲਿਖਤ, ਉਤਲੀ ਲਿਖਤ, ਪਤਾ"
Supersede,ਪ੍ਰਤਿਸਥਾਪਨ ਕਰਨਾ
Supersession,"ਪ੍ਰਤਿਸਥਾਪਨ, ਅਧੀਕ੍ਰਮਣ"
Superstructure,ਉਤਲਾ ਢਾਂਚਾ
Supertax,ਅਧਿਕਰ
Super timescale,ਅਧੀਸਮਾਂ ਮਾਨ
Supervision,"ਪਰਿਵੇਖਯ, ਦੇਖਰੇਖ"
Supervisor,ਪਰਿਵੇਖਕ
Supervisory staff,ਪਟਿਵੇਖੀ ਕਰਮਚਾਰੀ ਵਰਗ
Supplement,"ਪੂਰਕ, ਅਨੁਪੂਰਕ, ਜੋੜਨਾ"
Supplementary,ਅਨੁਪੂਰਕ
Supplementary budget,ਅਨੁਪੂਰਕ ਬਜਟ
Supplementary cost,ਅਨੁਪੂਰਕ ਲਾਗਤ
Supplementary demand,ਅਨੁਪੂਰਕ ਮਾਂਗ
Supplementary grant,ਅਨੁਪੂਰਕ ਅਨੁਦਾਨ
Supplementary question,"ਅਨੁਪੂਰਕ ਪ੍ਰਸ਼ਨ, ਪੂਰਕ ਪ੍ਰਸ਼ਨ"
Supplementary rules,ਅਨੁਪੂਰਕ ਨੇਮਾਂਵਲੀ
Supplier,ਪੂਰਤੀਕਰਤਾ
Supply,"ਪੂਰਤੀ, ਪੂਰਤੀ ਕਰਨਾ"
Support,"ਸਮਰਥਨ, ਹਿਮਾਇਤ, ਸਹਾਰਾ ਦੇਨਾ, ਪਾਲਨ ਪੋਸ਼ਣ, ਸਹਾਇਤਾ, ਮਦਦ, ਆਧਾਰ"
Supporter,ਸਮਰਤਕ
Supporting documents,ਸਮਰਥਕ ਦਸਤਾਵੇਜ਼
Suppress,"ਦਮਨ ਕਰਨਾ, ਦਬਾਨਾ"
Supremacy,ਸਰਵ ਉੱਚਤਾ
Supreme,"ਉੱਚਤਮ, ਸਰਵ-ਉਚ"
Surcharge,ਅਧਿਭਾਰ
Surety,"ਜਮਾਨਤ, ਜਮਾਨਤੀ"
Surety bond,ਜਮਾਨਤੀ ਪੱਤਰ
Surface inspection,ਸਤਹੀ ਨਿਰੀਖਣ
Surface transport,ਜਮੀਨੀ ਆਵਾਜਾਹੀ
Surgery,ਚੀੜ-ਫਾੜ (ਸਰਜਰੀ)
Surname,ਕੁਲ ਨਾਂ
Surplus,"ਵਾਧਾ, ਫਾਲਤੂ"
Surplus budget,ਬਚਤ ਵਾਲਾ ਬਜਟ
Surplus report,ਵਾਧਾ ਰਿਪੋਰਟ
Surplus staff,ਵਾਧੂ ਕਰਮਚਾਰੀ ਵਰਗ
Surprise check,"ਨਿਰੀਖਣ, ਜਾਂਚ"
Surprise visit,"ਅਚਨਚੇਤੀ ਨਿਰੀਖਣ, ਅਚਨਚੇਤੀ ਦੋਰਾ"
Surrender,ਸਮਰਧਣ
Surroundings,"ਪਰਿਵੇਸ਼, ਅੜੋਸ-ਪੜੋਸ"
Surtax,"ਅਤੀਕਰ, ਵਾਧੂਕਰ"
Surveillance,ਨਿਗਰਾਨੀ
Survey,ਸਰਵੇਖਣ
Survey report,ਸਰਵੇਖਣ ਰਿਪੋਰਟ
Survival,ਉੱਤਰਜੀਵਤਾ
Surviving,ਉਤੱਰਜੀਵੀ
Survivor,ਉਤੱਰਜੀਵੀ
Susceptibility,ਗ੍ਰਹਿਣਸ਼ੀਲਤਾ
Suspect,"(ਵਿਅਕਤੀ) ਸੰਦੇਹ ਕਰਨਾ, ਸੰਦੇਹਪੂਰਨ"
Suspend,ਮੁਅਤੱਲ ਕਰਨਾ
Suspense,"ਸ਼ਸ਼ੋਪੰਜ, ਜਿਗਿਆਸਾ, ਉਤਸੁਕਤਾ"
Suspense account,ਸਸਪੇਂਸ ਖਾਤਾ
Suspension,ਮੁਅੱਤਲੀ
Suspension order,ਮੁਅਤੱਲੀ ਅਦੇਸ਼
Suspicion,"ਸਂਦੇਹ, ਸ਼ੱਕ"
Sustainable,ਦੀਰਘਕਾਲਿਕ
Sustainable growth,ਦੀਰਘਕਾਲਿ ਵਾਧਾ
Sustained,"ਦੀਰਘਦਾਲਿਕ, ਲਗਾਤਾਰ, ਮਾਨਿਆ ਗਿਆ"
Swear,"ਸਪਥ ਲੈਣਾ, ਸ਼ਪਖ ਗ੍ਰਹਿਣ ਕਰਨਾ"
Swearing-in-ceremony,ਸ਼ਪਖ ਗ੍ਰਹਿਣ ਸਮਾਰੋਹ
Syllabus,ਪਾਠ ਵੇਰਵਾ
Symbol,ਪ੍ਰਤੀਕ
Symmetry,"ਸਮਰੂਪਤਾ, ਸਮ-ਤੁਲਨਾ"
Sympathy,"ਹਮਦਰਦੀ, ਸਮਵੇਦਨਾ"
Sympathy strike,ਹਿਮਾਇਤੀ ਹੜਤਾਲ
Symposium,"ਸੰਵਾਦ, ਗੋਸਟੀ"
Symptom,ਲਛਣ
Synchronise,ਸਮਕਾਲੀ ਹੋਣਾ
Synopsis,"ਰੂਪਰੇਖਾ, ਵਿਸ਼ਾ-ਸੰਖੇਪ, ਸਾਰ-ਸਂਖੇਪ"
Synthesis,"ਸੰਸ਼ਲੇਸ਼ਲ, ਕਨਾਉਟੀ"
Synthetic,ਸੰਸ਼ਲੇਸ਼ਣ
System,"ਪੱਧਤੀ, ਪ੍ਰਣਾਲੀ, ਨਿਕਾਅ-ਤੰਤਰ"
Systematic,ਵਿਵਸਾਥਿਤ
Systematic work,"ਵਿਵਸਥਿਤ ਕੰਮ, ਕ੍ਰਮਬੱਧ ਕੰਮ"
Systems analysis,ਤੰਤਰ ਵਿਸ਼ਲੇਸ਼ਣ
Tab folder,ਟੈਬ ਫੋਲਡਰ
Table,"ਸਾਰਨੀ, ਸੂਚੀ ਪਟਲ, ਮੇਜ਼"
Tableau,ਝਾਂਕੀ
Table of contents,ਵਿਸ਼ਾ ਸੂਚੀ
Table of the house,ਸਦਨ ਪਟਲ
Tabular,"ਸਾਰਣੀਬੱਧ, ਤਹਿਦਾਰ"
Tabulated statement,ਸਾਰਣੀਬੱਧ ਵੇਰਵਾ
Tabulation,"ਸਾਰਣੀਕਰਨ, ਤਾਲਿਕਾ-ਵਿਵਸਥਾ"
Tabulator,"ਸਾਰਣੀਯੰਤਰ, ਸਾਰਣੀਕਾਰ"
Tackle,"ਸੁਲਝਾਣਾ, ਨਿਪਟਾਨਾ, ਨਿਜਿੱਠਣਾ"
Tact,"ਜੁਗਤੀ, ਨਿਪੁੰਨਤਾ"
Tactful,"ਵਿਹਾਰਕੁਸ਼ਲਤਾ, ਪ੍ਰਬੀਣ, ਚਤੁਰ"
Tactic,"ਚਾਤੁਰੀ, ਤਰਕੀਬ"
Tag,"ਟੈਗ, ਨੱਥੀ ਕਰਨਾ"
Take home pay,ਹੱਥ ਰੋਕੜ ਰਕਮ (ਤਨਖਾਹ)
Take over,"ਕਾਰਜ ਭਾਰ ਸੰਤਾਲਣਾ, ਅਧਿਕਾਰ ਲੈਣਾ"
Talented,ਪ੍ਰਤਿਭਾਸ਼ਾਲੀ ਕਾਬਲ
Talent search,ਪ੍ਰਤਿਭਾ ਖੋਜ
Tally,"ਮਿਲਾਣ, ਮੇਲ ਖਾਣਾ, ਗਿਣਤੀ, ਜੋੜ, ਹਿਸਾਬ-ਕਿਤਾਬ"
Tally card,ਮਿਲਾਣ ਕਾਰਡ
Tampering,"ਹੇਰ-ਫੇਰ ਕਰਨਾ, ਗੜਬੜ ਕਰਨੀ, ਵਿਗਾੜਨਾ, ਛੇੜ ਛਾੜ ਕਰਨੀ"
Tangible,"ਮੂਰਤ, ਭੋਤਿਕ"
Tangible asset,ਭੋਤਿਕ ਸੰਪਤੀ
Tape,"ਟੇਪ, ਫੀਤਾ"
Tapping,"(ਸਾਧਨਾਂ ਦਾ) ਉਪਯੋਗ ਕਰਨਾ, ਫੀਤਾ ਲਗਾਉਣਾ, ਫੀਤੇ ਨਾਲ ਬੰਨਣਾ, ਟੈਪ ਕਰਨਾ(ਫੌਨ ਦਾ)"
Tardiness,"ਸ਼ਿਥਿਲਤਾ, ਆਲਸ"
Target,ਨਿਸ਼ਾਨਾ
Target date,ਮਿੱਥੀ ਹੋਈ ਤਾਰੀਕ
Tariff,"ਮਹਿਸੂਲ, ਚੁੰਗੀ, ਟੈਕਸ, ਦਰ ਸੂਚੀ"
Tarnish,"ਮਲੀਨਤਾ, ਵੱਟਾ ਜਾਂ ਦਾਗ ਲਾਉਣਾ"
Task,ਕਾਰਜ ਕੰਮ
Task force,"ਕਾਰਜ ਦਲ, ਕ੍ਰਤਿਕ ਬਲ"
Tax,ਕਰ
Tax abatement,ਕਰ ਦੀ ਘਾਟ
Taxable,ਕਰ ਯੋਗ
Taxable income,ਕਰ ਯੋਗ ਆਮਦਨੀ
Tax adjustment,ਕਰ ਸਮਾਯੋਜਨ
Tax assessment,ਕਰ ਨਿਰਧਾਰਣ
Taxation,"ਕਰਾਧਾਨ, ਮਹਿਸੂਲਬੰਦੀ, ਕਰ ਲਗਾਣਾ"
Tax avoidance (tax loophole),"ਕਰ ਬਚਾਉ ਦਾ ਰਾਹ, ਕਰ ਟਾਲਨਾ"
Tax consultant,ਕਰ ਸਲਾਹਕਾਰ
Tax declaration,ਕਰ ਸੰਬੰਧੀ ਘੋਸ਼ਣਾ (ਅੱਲਾਨ)
Tax deducted at source,ਸਰੌਤ ਤੇ ਕਟਿਆ ਗਿਆ ਕਰ
Tax deduction,ਕਰ ਕਟੋਤੀ
Tax evasion,ਕਰ ਅਸ ਵੰਚਨ
Tax exemption,ਕਰ ਛੋਟ
Tax free,ਕਰ ਮੁਕਤ
Tax payer,ਕਰਦਾਤਾ
Tax rebate,ਕਰ ਕਟੋਤੀ
Tax return,ਕਰ ਵਿਵਰਣ (ਵੇਰਵਾ)
Tax schedule,ਕਰ ਸੂਚੀ
Team spirit,"ਟੀਮ ਭਾਵਨਾ, ਸਹਿਯੋਗ ਭਾਵਨਾ"
Team work,ਟੀਮ ਕਾਰਜ
Tear gas,"ਆਂਸੂ ਗੈਸ, ਅਥਰੂੰ ਗੈਸ"
Technical,"ਤਕਨੀਕੀ, ਪਰਿਭਾਸ਼ਕ"
Technical advice,ਤਕਨੀਕੀ ਸਲਾਹ
Technical college,ਤਕਨੀਕੀ ਕਾਲੇਜ
Technical data,"ਤਕਨੀਕੀ ਅੰਕੜੇ, ਤਕਨੀਕੀ ਅਧਾਰ ਸਮੱਗਰੀ"
Technical post,ਤਕਨੀਕੀ ਅਹੁਦਾ
Technical qualification,ਤਕਨੀਕੀ ਯੋਗਤਾ
Technical skill,ਤਕਨੀਕੀ ਨਿਪੁੰਨਤਾ
Technical term,"ਤਕਨੀਕੀ ਸ਼ਬਦ, ਪਰਿਭਾਸ਼ਕ ਸ਼ਬਦ"
Technical training,ਤਕਨੀਕੀ ਸਿਖਲਾਈ
Technician,"ਤਕਨੀਸ਼ਿਅਨ, ਤਕਨੀਕਸਿਲਪੀ"
Technique,ਤਕਨੀਕ
Technocracy,ਉਦਯੋਗ ਵਿਗਿਆਨ ਤੰਤਰ
Technocrat,ਉਸਯੋਗ ਵਿਗਿਆਨੀ
Technological,ਉਦਯੋਗ ਵਿਗਿਆਨਿਕ
Technologist,ਉਦਯੋਗ ਵਿਗਆਨੀ
Technology,ਉਦਯੋਗ ਵਿਗਿਆਨ
Telebanking,ਦੂਰਬੈਂਕਿੰਗ
Telegram,ਤਾਰ
Telegraphic address,ਤਾਰ ਪਤਾ
Telegraphy,"ਤਾਰਪ ਸੰਚਾਰ, ਟੇਲੀਗ੍ਰਾਫੀ"
Teleprinter message,ਟੇਲੋਪ੍ਰਿੰਟਰ ਸੁਨੇਹਾ
Television,"ਦੂਦਰਸ਼ਨ, ਟੈਲੀਵਿਜ਼ਨ"
Teleworking,ਦੂਰ ਕਾਰਜ
Telex,ਟੇਲੇਕਸ
Teller,"ਗਣਕ, ਗਣਕ ਮਸ਼ੀਨ"
Temper,"ਮਿਜਾਜ, ਸੁਭਾਅ"
Temperament,ਸੁਭਾਅ. ਮਿਜਾਜ
Temperamental,"ਤੁਨਕ ਮਿਜਾਜ, ਗੁੱਸੇਵਾਲਾ"
Temperature,"ਤਾਪਮਾਨ, ਤਾਪ"
Tempo,"ਗਤੀ, ਟੇਮਪੋ"
Temporary,ਅਸਥਾਈ
Temporary advance,ਅਸਥਾਈ ਪੇਸ਼ਗੀ
Temporary appointment,ਅਸਥਾਈ ਭਰਤੀ
Temporary disability,ਅਸਥਾਈ ਅਪੰਗਤਾ
Temporary post,ਅਸਥਾਈ ਪਦ
Temporary restriction,ਅਸਥਾਈ ਪ੍ਰਤਿਬੰਧ
Temporary vacancy,ਅਸਥਾਈ ਖਾਲੀ ਥਾਂ
Temptation,ਲਾਲਚ
Tenable,"ਤਰਕ ਸੰਗਤ, ਮੰਨਣ ਯੋਗ"
Tenacity,"ਦ੍ਰਿੜਤਾ, ਲਗਨ"
Tenancy,ਕਿਰਾਏਦਾਰੀ ਕਾਸ਼ਤਕਾਰੀ
Tenant,"ਕਿਰਾਏਦਾਰ, ਕਾਸ਼ਤਕਾਰ"
Tendency,ਰੁਝਾਨ ਪ੍ਰਵਿਰਤੀ
Tender,"ਟੇਂਡਰ, ਟੇਂਡਰ ਦੇਣਾ, ਪੇਸ਼ ਕਰਨਾ"
Tender box,ਟੇਂਡਰ ਪੇਟੀ
Tenderer,ਟੇਂਡਰ ਦੇਣ ਵਾਲਾ
Tender notice,ਟੇਂਡਰ ਸੂਚਨਾ
Tentative,"ਅਣਅੰਤਿਮ, ਅਸਥਾਈ"
Tenure,"ਅਵਧੀ, ਕਾਰਜ-ਕਾਲ, ਪੱਟਾ"
Tenure of land,ਪੱਟੇਦਾਰੀ
Tenure of office,ਅਹੁਦਾਧਾਰਣ ਦੀ ਅਵਧੀ
Tenure of post,ਪਦਕਾਲ
Tenure of work,ਕਾਰਜ ਵਿਧੀ
Tenure post,ਮਿਆਦੀ ਪਦ
Term,"ਮਿਆਦ, ਸਤ੍ਰ"
Terminable,ਮਿਆਦੀ ਅੰਤ ਹੋਣ ਵਾਲਾ
Terminal (report etc.),ਮਿਆਦੀ(ਰਿਪੋਰਟ)
Terminal tax,ਸੀਮਾ ਕਰ
Termination,ਸਮਾਪਤੀ
Termination clause,ਸਮਾਪਤੀ ਖੰਡ
Termination notice,ਸਮਾਪਤੀ ਸੂਚਨਾ
Termination of service,ਸੇਵਾ ਸਮਾਪਤੀ
Terminology,ਸ਼ਬਦਾਵਲੀ
Term loan,ਮਿਆਦੀ ਕਰਜ
Term of office,ਪਦ ਅਵਧੀ
Terms,"ਬੰਧਨ, ਸ਼ਰਤ, ਸੰਬੰਧ"
Terms and conditions,ਬੰਧਨ ਤੇ ਸ਼ਰਤਾਂ
Terms of delivery,ਸਪੁਰਦਗੀ ਦੀਆਂ ਸ਼ਰਤਾਂ
Terms of reference,ਵਿਚਾਰ-ਯੋਗ ਵਿਸ਼ਾ
Terms of service,"ਨੋਕਰੀ ਦੀਆਂ ਸ਼ਰਤਾਂ, ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ"
Territory,"ਰਾਜਖੇਤਰ, ਪ੍ਰਦੇਸ਼, ਖੇਤਰ"
Terror,ਆਤੰਕ
Terrorism,"ਆਤੰਕਵਾਦੀ, ਦਹਿਸ਼ਤਗਰਦੀ"
Terrorist,"ਆਤੰਕਵਾਦੀ, ਦਹਿਸ਼ਤਗਰਦ"
Tertiary benefit,ਤੀਜੇ ਦਾ ਹਿੱਤਲਾਭ
Test,ਪਰੀਖਣ
Testament,ਵਸੀਅਤ
Test charge,"ਪਰੀਖਣ ਖਰਚ, ਜਾਂਚ ਖਰਚ"
Test check,ਨਮੂਨਾ ਜਾਂਚ
Tester,"ਪਰੀਖਕ, ਪਾਰਖੂ"
Testify,"ਗਵਾਹੀ ਦੇਣੀ, ਸਬੂਤ ਦੇਣਾ, ਸਿੱਧ ਕਰਨਾ, ਪ੍ਰਸਾਰਿਤ ਕਰਨਾ"
Testimonial,"ਪ੍ਰਸ਼ੰਸਾ ਪੱਤਰ, ਪ੍ਰਮਾਣਪੱਤਰ"
Testimony,"ਸਬੂਤ, ਪ੍ਰਮਾਣ"
Testing report,"ਪਰੀਖਣ ਰਿਪੋਰਟ, ਜਾਂਚ ਰਿਪੋਰਟ"
Text,"ਪਾਠ, ਕਲੇਵਰ"
Thankful,"ਅਭਾਰੀ, ਕ੍ਰਿਤੱਗ"
Theme,"ਵਿਸ਼ਾਵਸਤੂ, ਥੀਮ"
Therapy,ਚਿਕਿਤਸਾ
Third party,"ਤੀਜਾ ਪੱਖ, ਹੋਰ ਪੱਖ"
Thoroughly,ਪੂਰੀ ਤਰਾਂ
Thoughtful,ਵਿਚਾਰਸ਼ੀਲ
Threat,"ਧਮਕੀ, ਅੰਦੇਸ਼ਾ"
Thrift,ਕਿਫਾਇਤਸਾਰੀ
Through,"ਦੁਆਰਾ, ਮਧਿਅਮ ਨਾਲ, ਸਿੱਧਾ, ਪਾਰਗਾਮੀ"
Throw out,"ਅਸਵੀਕਾਰ ਕਰਨਾ, ਸੁੱਟਣਾ"
Thumb impression,"ਅੰਗੂਠੇ ਦਾ ਨਿਸ਼ਾਨ, ਅੰਗੂਠਾ ਚਿੰਨ੍ਹ"
Thumping majority,ਭਾਰੀ ਬਹੁਮੱਤ
Ticket,ਟਿਕਟ
Tie,"ਬੰਨਣਾ, ਗੰਢ(ਖੇਡ), ਬਰਾਬਰੀ, ਟਾਈ"
Tied loan,ਬੱਧ ਕਰਜਾ
Tier,"ਸਤਰ, ਟੀਅਰ"
Tilt,ਝੁਕਾਵ
Time,"ਸਮਾਂ, ਕਾਲ"
Time allowed,ਮਨਜ਼ੂਰ ਸਮਾਂ (ਮਿਆਦ)
Time barred,ਸਮਾਂ ਵਰਜਿਤ
Time bound,ਸਮੇਂਬੰਦ
Time card,ਸਮਾਂ ਕਾਰਡ
Time deposit (=fixed deposit),ਮਿਆਦ ਜਮਾ
Time keeping,ਸਮਾਂ ਪਾਲਨ
Time limit,ਸਮਾਂ ਸੀਮਾਂ
Time off,ਸਵੈ ਅਲਪ ਅਵਕਾਸ਼
Time overrun,ਸਮਾਂ ਲੰਘਣਾ
Timed programme,ਸਮਾਂ ਬੱਧ ਕਾਰਜ ਕ੍ਰਮ
Time rate (time work),ਕਾਲ-ਅਨੁਪਾਤੀ ਕਾਰਜ
Time recording machine,ਸਮਾਂ ਲੇਖਣ ਯੰਤ੍ਰ
Time scale,ਸਮਾਂ ਮਾਨ
Time schedule,ਸਮਾਂ ਸੂਚੀ
Time stamp,ਸਮਾਂ ਮੁਹਰ
Time study equipment,ਸਮਾਂ ਅਧਿਅਨ ਉਪਕਰਣ
Time table,"ਸਮਾਂ-ਸਾਰਣੀ, ਟਾਇਮ ਟੇਬਲ"
Timing,"ਸਮਾਂ, ਸਮਾਂ ਨਿਰਧਾਰਣ"
Tips,"ਅਗਾਂਹੂ ਸੰਕੇਤ, ਬਖਸ਼ੀਸ਼"
Title,"ਸਿਰਲੇਖ, ਉਪਾਧੀ, ਖਿਤਾਬ, ਪਦਵੀ, ਹਕ"
Title holder,ਹੱਕਦਾਰੀ
Toilet,"ਸ਼ੌਚਾਲਾ, ਸ਼ਿਗਾਰਕਮਰਾ"
Token,"ਸੰਕੇਤਕ, ਸੰਕੇਤ, ਟੋਕਨ, ਪ੍ਰਤੀਕ"
Token member,ਪ੍ਰਸੀਕਾਤਸਕ ਸਦਸ
Token pay,ਸੰਕੇਤਕ ਵੇਤਨ
