Marathi,Gujarati
प्रोग्राम करण्यायोग्य  साधन,કાર્યક્રમપાત્ર  સાધન
प्रोग्राम करण्यायोग्य  फंक्शन की,કાર્યક્રમપાત્ર  વિધેય ચાવી
प्रोग्राम करण्यायोग्य  इनपुट आउटपुट  साधन,કાર્યક્રમપાત્ર  ઇનપુટ આઉટપુટ  સાધન
प्रोग्राम करण्यायोग्य  तर्कशास्त्र अ‍ॅरे,કાર્યક્રમપાત્ર  તર્ક -એરે
प्रोग्राम करण्यायोग्य  देखभाल,કાર્યક્રમપાત્ર  જાળવણી
प्रोग्राम करण्यायोग्य  परिघीय  इंटरफेस,કાર્યક્રમપાત્ર  પેરિફેર  પ્રસારણ
प्रोग्राम करण्यायोग्य  फक्त वाचा  मेमरी,કાર્યક્રમપાત્ર  ફક્ત વાંચી  યાદ
प्रोग्राम करण्यायोग्य  दूरस्थ प्रदर्शन  टर्मिनल,કાર્યક્રમપાત્ર  રિમોટ ડિસ્પ્લે  અંતિમ
प्रोग्राम करण्यायोग्य  संचयन,કાર્યક્રમપાત્ર  સંગ્રહ
प्रोग्राम करण्यायोग्य  टर्मिनल,કાર્યક્રમપાત્ર  અંતિમ
प्रोग्राम केलेले  तपासा,કાર્યક્રમથી  તપાસ
प्रोग्राम केलेले  संगणक,કાર્યક્રમથી  કોમ્પ્યુટર
प्रोग्राम केलेले  डंप,કાર્યક્રમથી  ફેંકડી
प्रोग्राम केलेले  सूचना,કાર્યક્રમથી  સૂચના
प्रोग्राम केलेले तर्कशास्त्र,પ્રોગ્રામ કરેલ તર્ક
प्रोग्राम केलेले तर्कशास्त्र  रचना,પ્રોગ્રામ કરેલ તર્ક  કળ
प्रोग्राम केलेले  ऑपरेटर सिस्टम,કાર્યક્રમથી  પ્રચાર -પદ્ધતિ
प्रोग्रामर,કાર્યક્રમ કરનાર
प्रोग्रामर युनिट,પ્રોગ્રામર એકમ
प्रोग्रामिंग,કાર્યક્રમ
प्रोग्रामिंग  सुसंगतता,કાર્યક્રમ  સુસંગતતા
प्रोग्रामिंग  वातावरण,કાર્યક્રમ  વાતાવરણ
प्रोग्रामिंग  फ्लोचार्ट,કાર્યક્રમ  વહેણ
प्रोग्रामिंग प्रवाह  आकृती,કાર્યક્રમ પ્રવાહ  ચિત્ર
प्रोग्रामिंग  इंग्रजी,કાર્યક્રમ  ભાષા
प्रोग्रामिंग  मॉड्यूल,કાર્યક્રમ  વિધિ
प्रोग्रामिंग  विधान,કાર્યક્રમ  નિવેદન
प्रोग्रामिंग  समर्थन  वातावरण,કાર્યક્રમ  ટેકો  વાતાવરણ
प्रोग्रामिंग  प्रणाली,કાર્યક્રમ  પદ્ધતિ
प्रोग्रामिंग  सिद्धांत,કાર્યક્રમ  સિદ્ધાંત
प्रोग्राम मोड,કાર્યક્રમ
कार्यक्रम  बदल,કાર્યક્રમ  ફેરફાર
प्रोग्राम मॉड्यूल,કાર્યક્રમ મોડ્યુલ
कार्यक्रम मूळ,કાર્યક્રમની ઉત્પત્તિ
प्रोग्राम पॅकेज,કાર્યક્રમ
कार्यक्रम  पॅरामीटर,કાર્યક્રમ  પરિમાણ
कार्यक्रम पोस्टिट,કાર્યક્રમ પછીનો કાર્યક્રમ
कार्यक्रम  तयारी,કાર્યક્રમ  તૈયારી
प्रोग्राम रीड-इन,પ્રોગ્રામ-ઇન
कार्यक्रम नोंदणी,કાર્યક્રમ રજિસ્ટર
कार्यक्रम  स्थानांतरण,કાર્યક્રમ  ફેરબદલ
कार्यक्रम चालवा,કાર્યક્રમ
प्रोग्राम शेड्यूलर,કાર્યક્રમ સમયપત્રક
कार्यक्रम विभाग,કાર્યક્રમ ક્ષેત્ર
कार्यक्रम  विभाग,કાર્યક્રમ  -ને વિભાજન
कार्यक्रम निवड,કાર્યક્રમ પસંદગી
कार्यक्रम निवडकर्ता,કાર્યક્રમ પસંદગીકાર
कार्यक्रम संवेदनशील  दोष,સંવેદનશીલ કાર્યક્રમ  દોષ
कार्यक्रम संवेदनशील  मालफंक्शन,સંવેદનશીલ કાર્યક્રમ  ખામી
कार्यक्रम  तपशील,કાર્યક્રમ  વિશિષ્ટતા
कार्यक्रम  विधान,કાર્યક્રમ  નિવેદન
कार्यक्रम चरण,કાર્યક્રમ -પગલું
प्रोग्राम स्टॉप,કાર્યક્રમ બંધ
प्रोग्राम स्टोरेज,કાર્યક્રમ સંગ્રહ
कार्यक्रम रचना,કાર્યક્રમનું માળખું
प्रोग्राम स्विच,કાર્યક્રમ સ્વીચ
कार्यक्रम चाचणी,કાર્યક્રમ પરીક્ષણ
कार्यक्रम चाचणी  वेळ,કાર્યક્રમ પરીક્ષણ  સમય
प्रोग्राम ट्रेसिंग,કાર્યક્રમ
कार्यक्रम  परिवर्तन,કાર્યક્રમ  પરિવર્તન
कार्यक्रम  अनुवाद,કાર્યક્રમ  ભાષાંતર
प्रोग्राम युनिट,કાર્યક્રમ એકમ
कार्यक्रम  सत्यापन,કાર્યક્રમ  ખરાઈ
प्रगतीशील कॅरी,પ્રગતિશીલ વહન
पुरोगामी  ओव्हरफ्लो,પ્રગતિશીલ  છીનવી લેવું
प्रोजेक्शन  कार्य,પ્રક્ષેપણ  કાર્ય
प्रॉमप्ट,તકરાર
त्वरित सुविधा,તાત્કાલિક સુવિધા
पुरावा यादी,સાબિતી યાદી
प्रचारित त्रुटी,પ્રચારિત ભૂલ
प्रचार त्रुटी,પ્રસારિત ભૂલ
प्रसार  स्थिर,પ્રસાર  સતત
प्रसार विलंब,પ્રસવ વિલંબ
प्रसार तोटा,પ્રસવ
योग्य पूर्वज,યોગ્ય પૂર્વજ
योग्य सबग्राफ,યોગ્ય પેટા -ઉપગ્રા
प्रॉपर्टी डिटेक्टर,મિલકત -તપાસ
येथे प्रमाण  अंतर,પ્રમાણ  અંતર
प्रस्तावित  कॅल्क्युलस,દરખાસ્ત સંબંધી  કલન
मालकी सॉफ्टवेअर,ખાનગી માલિકી
मालकी कार्यक्रम,માલિકી કાર્યક્રમ
संरक्षित फील्ड,રક્ષિત ક્ષેત્ર
संरक्षित फाईल,રક્ષિત ફાઈલ
संरक्षित स्थान,રક્ષિત સ્થાન
संरक्षित मेमरी,રક્ષિત સ્મૃતિ
संरक्षण चॅनेल,રક્ષણ માર્ગ
संरक्षण डोमेन,સંરક્ષણ ક્ષેત્ર
संरक्षण की,સંરક્ષણ મહત્ત્વ
संरक्षण  यंत्रणा,રક્ષણ  યંત્ર
संरक्षण कालावधी,રક્ષણ ગાળો
संरक्षक फ्रेम,રવાના રક્ષક
प्रोटोकॉल,પ્રોટોકોલ
प्रोटोकॉल कन्व्हर्टर,પ્રોટોકોલ કન્વર્ટર
प्रोटोकॉल पदानुक्रम,પ્રોટોકોલ
प्रोटोकॉल  अनुवाद,પ્રોટોકોલ  ભાષાંતર
प्रोटोटाइप प्रोग्राम,અનુયાયી કાર્યક્રમ
प्रोटोटाइप  विधान,પ્રોટોટાઇપ  નિવેદન
सिद्ध करत आहे,સાબિતી
वेळ सिद्ध,સાબિત સમય
छद्म अनुप्रयोग  कार्यक्रम,સ્યુડોપ્રિપિકેશન  કાર્યક્રમ
स्यूडोकलॉक,સરોદક
छद्म कोड,સ્યુડો કોડ
स्यूडोकर्सर,Pોરસોર્સર
स्यूडोफाइल पत्ता,સ્યુડોફાઇલનું સરનામું
छद्म-इंस्ट्रक्शन,સ્યુડો-સૂચના
छद्म भाषा,ભાષા -ભાષા
छद्म-आवाज  क्रम,સ્યુડો અવાજ  અનુક્રમ
छद्म ऑपकोड,સ્યુડો ઓપ્કોડ
छद्म ऑपरेशन,સ્યુડો ઓપરેશન
छद्म यादृच्छिक,રેન્ડમ
छद्म यादृच्छिक  क्रमांक,રેન્ડમ  નંબર
छद्म व्हेरिएबल,સ્યુડો ચલ
प्रकाशन  इंग्रजी,પ્રકાશન  ભાષા
सार्वजनिक डेटा  नेटवर्क,જાહેર માહિતી  નેટવર્ક
सार्वजनिक की प्रणाली,જાહેર મુખ્ય પદ્ધતિ
सार्वजनिक संदेश  सेवा,જાહેર સંદેશ  સેવા
सार्वजनिक नेटवर्क,જાહેર નેટવર્ક
सार्वजनिक पॅकेट  नेटवर्क,સાર્વજનિક પેકેટ  નેટવર્ક
खाली नोंदणी करा,નીચે રજિસ્ટર ખેંચો
रजिस्टर वर खेचा,રજિસ્ટર પુલ અપ
नाडी,નાડી
नाडी मोठेपणा,પલ્સ કંપનવિસ્તાર
नाडी मोठेपणा  मॉड्यूलेशन,પલ્સ કંપનવિસ્તાર  વિપુલતા
नाडी कोड,નાડી
नाडी कालावधी,નાડી અવધિ
नाडी निर्मिती,નાડી ઉત્પાદન
नाडी जनरेटर,નાડી જનરેટર
नाडी उंची,નાડી .ંચાઈ
पल्सर,ધબકારા
नाडी दर,હૃદય ના ધબકારા નો દર
नाडी पुनर्जन्म,નાડી નવજીન
नाडी पुनरावृत्ती  वारंवारता,નાડી પુનરાવર્તન  આવર્તન
नाडी पुनरावृत्ती  दर,નાડી પુનરાવર્તન  દર
नाडी आकार,નાડી
नाडी स्ट्रेचर,પલ્સ
नाडी स्ट्रिंग,નાડીની તાર
नाडी ट्रेन,નાડી
नाडी-ट्रिगर  फ्लिप-फ्लॉप,પલ્સથી ટ્રિગર  ફલીપ ફલોપ
नाडी रुंदी,નાડી પહોળાઈ
पंपिंग लेम्मा,પમ્પિંગ લેમ્મા
पंच,પંચ
पंच कार्ड,પંચ કાર્ડ
पंच स्तंभ,પંચ
पंच कार्ड,મુક્કોવાળો કાર્ડ
पंच कार्ड  वाचक,મુક્કોવાળો કાર્ડ  વાચકો
पंच पेपर  टेप,મુક્કો  ટેપ
पंच टेप,મુક્કી ટેપ
पंच टेप कोड,મુક્કાબાજી
पंच टेप  वाचक,મુક્કી ટેપ  વાચકો
पंचिंग स्थिती,મુક્કો
पंचिंग स्टेशन,મુક્કો
पंच पथ,પંચ
पंच स्थिती,મુક્કાબાજીની સ્થિતિ
पंच पंक्ती,પંચ
पंच स्टेशन,પંકડિયા સ્ટેશન
पंच टेप,પંચ
पंच टेप कोड,પંચ
विरामचिन्हे,વિરામચિહ્ન
विरामचिन्हे  वर्ण,વિરામચિહ્ન  પાત્ર
विरामचिन्हे  चिन्ह,વિરામચિહ્ન  પ્રતીક
शुद्ध बायनरी  संख्या  चिन्ह,શુદ્ધ દ્વિસંગી  સંખ્યા  પ્રતીક
शुद्ध  मशीन-सहाय्यक  अनुवाद,શુદ્ધ  યંત્ર સહાયિત  ભાષાંતર
शुद्ध मशीन  अनुवाद,શુદ્ધ યંત્ર  ભાષાંતર
पुश,દબાણ
पुश-बटण डायलिंग,પુશ-બટન ડાયલિંગ
खाली ढकला,નીચે તરફ ધકેલો
खाली ढकला  ऑटोमाटा,નીચે તરફ ધકેલો  નકલો
खाली ढकला  ऑटोमेशन,નીચે તરફ ધકેલો  સ્વચાલિતતા
पुश-डाऊन यादी,નીચેની સૂચિ
पुश-डाऊन रांग,પુશ-ડાઉન કતાર
पुश-डाऊन स्टॅक,પુશ-ડાઉન સ્ટેક
पुश-डाऊन स्टोरेज,દબાણ-સંગ્રહ
सूचना पुश करा,દબાણ સૂચના
उडी मारा  सूचना,Jumpંચું કૂદવું  સૂચના
पुश-अप यादी,દબાણ-યાદી
पुश-अप स्टोरेज,દબાણ-સંગ્રહ
क्वाड-बस  ट्रान्सीव्हर,ક્વાડ બસ  ફેર
क्वाड घनता,ચતુય ઘનતા
चतुष्पाद  प्रोग्रामिंग,ચતુર્ભુજ  કાર્યક્રમ
चतुर्भुज मोठेपणा मॉड्यूलेशन,ચતુર્ભુજ કંપનવિસ્તાર મોડ્યુલેશન
चतुर्भुज,ત્રિજડી
चौपट,ચાર
चतुर्भुज लांबी  नोंदणी करा  (= Uadruple  नोंदणी नोंदणी),ચતુર્ભુજ લંબાઈ  નોંધણી કરવી  (= Uadrple  નોંધણી)
चौरस नोंदणी,ચારગણા રજિસ્ટર
पात्रता,લાયકાત ધરાવનાર
गुणवत्ता हमी,ગુણવત્તા ખાતરી
परिमाण,જથ્થો
क्वांटिफायर,માત્રા
परिमाण त्रुटी,જથ્થો ભૂલ
परिमाण आवाज,પ્રમાણ
परिमाण  अनिश्चितता,જથ્થો  અનિશ્ચિતતા
परिमाण,જથ્થો
क्वांटिझर,કિંમતો કરનાર
क्वांटिझर आवाज,જથ્થાબંધ અવાજ
परिमाण त्रुटी,જથ્થો
क्वांटम घड्याळ,જથ્થો
क्वांटम वेळ,જથ્થો
चतुर्थांश वेग,ત્રિમાસિક ગતિ
चतुर्थांश चौरस  गुणक,ક્વાર્ટર ચોરસ  ગુણાકાર
चौकडी,ચોકડી
क्वार्ट्ज विलंब ओळ,ક્વાર્ટઝ વિલંબ રેખા
अर्ध सूचना  (= छद्म  सूचना),સાચી સૂચના  (= સ્યુડો  સૂચના)
क्वाटरनरी लॉजिक,ચતુર્ભુજ તર્ક
चतुर्थांश  ऑपरेटर,ચતુર્ભુજ  Operatorપરેટર
क्वेरी,પ્રશંસાપૂર્વક
क्वेरी भाषा,કાલ્પનિક ભાષા
क्वेरी प्रक्रिया,પૂછપરછ
क्वेरी स्टेशन,સંપ્રદાયનું મથક
रांग,કતાર
रांगाची कमतरता,કતલ ભીડ
रांग नियंत्रण  ब्लॉक,કતાર નિયંત્રણ  અવરોધ
रांगेत प्रवेश  पद्धत,કતારમાં પ્રવેશ  પદ્ધતિ
रांग डेटा सेट,કતાર ડેટા સેટ
रांगेत अनुक्रमित  अनुक्रमे  पद्धत,કતારું  ક્રમિક  પદ્ધતિ
रांगेत टेलिकम्युनिकेशन प्रवेश पद्धत,કતારમાં ટેલિકમ્યુનિકેશન પ્રવેશ પદ્ધતિ
रांग घटक,કતાર તત્વ
रांग दुवा शब्द,કતાર કડી શબ્દ
रांग  व्यवस्थापन,કતાર  સંચાલન
रांगेत,કતાર
रांगेत विश्लेषण,કતાર વિશ્લેષણ
रांगेत यादी,કતાર સૂચિ
रांगेत सिद्धांत,સિદ્ધાંત
रांगेत वेळ,કતારમાં સમય
क्विबिनरी कोड  (= बाय्किनरी  कोड),Quંચી નળીનો સંકેત  (= બિકર  સંકેત
द्रुत-प्रवेश  मेमरी,ઝડપી- acc ક્સેસ  યાદ
द्रुत क्रमवारी,ઝડપી પ્રકાર
द्रुत प्रारंभ,ઝડપી શરૂઆત
शांतता,શાંત થવું
शांत,શાંત
शांत  परिस्थिती,શાંત  શરત
क्वालरी,સાંકેતિક
क्विनरी सिस्टम,આવન -પદ્ધતિ
पंचक,પ્રખ્યાત
रॅक,દાદર
रॅकिंग,ઉશ્કેરાટ
रेडियल ट्रान्सफर,રેડિયલ -તબદીલી
रेडिओ सामान्य  वाहक,રેડિયો સામાન્ય  માલવાહક
रेडिओ रिले सिस्टम,રેડિયો રિલે પદ્ધતિ
रेडिओ  टेलीपायराइटर,રેડિયો  ટેલિટાઇપરાઇટર
रेडिक्स,Radંચે
रेडिक्स पूरक,રેડિક્સ પૂરક
रेडिक्स एक्सचेंज,રેડિક્સ વિનિમય
रेडिक्स-मिनस-वन  पूरक  (= कमी झाले  रेडिक्स  पूरक),એક  પૂરક બનાવવું  (= ઓછું  Radંચે  પૂરક)
रेडिक्स नोटेशन,રેડિક્સ સંકેત
रेडिक्स संख्यात्मक  प्रणाली,રેડિક્સ અંક  પદ્ધતિ
रेडिक्स पॉईंट,રેડિક્સ પોઇન્ટ
रेडिक्स सॉर्टिंग,Radતરફી
रॅग्ड अ‍ॅरे,ખડખડતું એરે
रॅम डंप,રેમ ડમ્પ
रॅम लोडर,રેમ લોડર
रॅम मेल बॉक्स,રામ મેઇલ પેટી
राम (रँडम  मेमरीमध्ये प्रवेश करा),રેમ (રેન્ડમ  પ્રવેશ મેમરી)
रॅम रीफ्रेश,રામશર
यादृच्छिक प्रवेश,યાર્દચ્છિક પ્રવેશ
यादृच्छिक प्रवेश  साधन,યાર્દચ્છિક પ્રવેશ  સાધન
यादृच्छिक प्रवेश  इनपुट-आउटपुट,યાર્દચ્છિક પ્રવેશ  ઇનપુટ આઉટપુટ
यादृच्छिक प्रवेश  मेमरी,યાર્દચ્છિક પ્રવેશ  યાદ
यादृच्छिक प्रवेश  पद्धत,યાર્દચ્છિક પ્રવેશ  પદ્ધતિ
यादृच्छिक प्रवेश  प्रोग्रामिंग,યાર્દચ્છિક પ્રવેશ  કાર્યક્રમ
यादृच्छिक प्रवेश  क्रमवारी,યાર્દચ્છિક પ્રવેશ  પ્રકાર
यादृच्छिक प्रवेश  संचयन,યાર્દચ્છિક પ્રવેશ  સંગ્રહ
यादृच्छिक प्रवेश  प्रणाली,યાર્દચ્છિક પ્રવેશ  પદ્ધતિ
यादृच्छिक अल्गोरिदम,રેન્ડમ અલ્ગોરિધમનો
यादृच्छिक डेटा सेट,અવ્યવસ્થિત ડેટા સમૂહ
यादृच्छिक की-टू  पत्ता  परिवर्तन,-નું  સંબોધન  પરિવર્તન
यादृच्छिक तर्कशास्त्र,યથાર્થ તરલ
यादृच्छिक आवाज,યથાર્થ અવાજ
यादृच्छिक संख्या,યાર્દચારા નંબર
यादृच्छिक संख्या  जनरेटर,યાર્દચારા નંબર  જનરેટર
यादृच्छिक संख्या  क्रम,યાર્દચારા નંબર  અનુક્રમ
यादृच्छिक संख्या  मालिका,યાર્દચારા નંબર  શ્રેણી
यादृच्छिक प्रक्रिया,અવ્યવસ્થિત પ્રક્રિયા
यादृच्छिक स्कॅन,યથાયોગિક સ્કેન
यादृच्छिक क्रम,યથાર્થ ક્રમ
श्रेणी,શ્રેણી
श्रेणी तपासणी,સરખામણી
श्रेणी शोधक,શ્રેણી શોધક
रँक परस्परसंबंध  गुणांक,દરજ્જો  સમતોલ
वेगवान प्रवेश,ઝડપી પ્રવેશ
वेगवान प्रवेश पळवाट,ઝડપી પ્રવેશ લૂપ
वेगवान प्रवेश  मेमरी,ઝડપી પ્રવેશ  યાદ
रास्टर,રાસાયણિક
रास्टर गणना,રાસ્ટર ગણતરી
रास्टर प्रदर्शन  सेवा,રાસ્ટર પ્રદર્શન  સેવા
रास्टर ग्राफिक्स,રાસ્ટર ગ્રાફિક્સ
रास्टर ग्रिड,રાસ્ટર ગ્રીડ
रास्टर-मोड  ग्राफिक प्रदर्शन,રાસાયણિક ફેરફાર  ગ્રાફિક પ્રદર્શન
रास्टर प्लॉटर,રાસ્ટર કાવતરાખોર
रास्टर स्कॅन,રાસ્ટર સ્કેન
रास्टर युनिट,રાસાયણિક એકમ
दर आणि मार्ग  ऑपरेटर,દર અને માર્ગ  Operatorપરેટર
दर केंद्र,દર કેન્દ્ર
रेट नाडी,દર નાડી
गुणोत्तर नियंत्रण,ગુણોત્તર નિયંત્રણ
तर्कसंगत भाषा,તર્કસંગત ભાષા
कच्ची माहिती,અધ કચરી માહિતી
पोहोचते,પ્રતિબિંબ
रीचिबिलिटी मॅट्रिक्स,પહોંચ
वाचा,વાંચવું
एम्पलीफायर वाचा,એમ્પ્લીફાયર વાંચો
वाचा आणि पुनर्संचयित करा  चक्र,વાંચો અને પુન restore સ્થાપિત  ચક્ર
परत वाचा आणि मुद्रित करा,પાછા વાંચો અને છાપો
परत चेक वाचा,બેક ચેક વાંચો
नियंत्रण लाइन वाचा,નિયંત્રણ લાઇન વાંચો
चक्र वेळ वाचा,ચક્ર સમય વાંચો
वाचक,વાચકો
वाचक-सहकारी,વાચક
वाचक दुभाषे,વાચક
वाचक प्रिंटर,વાચક મુદ્રક
त्रुटी वाचा,ભૂલ કરવી
वाचक सॉर्टर,વાચક સોર્ટર
डोके वाचा,વડા
वाचन,પ્રયોગ
वाचन प्रवेश  वेळ,વાચનની પહોંચ  સમય
डोके वाचणे  (= डोके),વાચન  (= માથું)
सूचना वाचा,સૂચના વાંચો
फक्त वाचा,ફક્ત વાંચી
केवळ वाचनीय स्मृती  (रॉम),ફક્ત વાંચો  (રોમ)
फक्त स्टोरेज वाचा,ફક્ત સંગ્રહ વાંચો
वाचा,Readતરવું
रीडआउट डिव्हाइस,રીડઆઉટ ઉપકરણ
मार्ग वाचा,માર્ગ વાંચો
प्रक्रिया-लेखन वाचा,પ્રક્રિયા લખો
संरक्षण वाचा,રક્ષણ વાંચો
वाचन दर,વાંચી દર
प्रकाशन वाचा,પ્રકાશન વાંચન
उलट वाचा,Read લટું વાંચો
स्कॅटर वाचा,વેરવિખેર વાંચો
स्क्रीन वाचा,સ્ક્રીન વાંચો
वाचा स्टेशन,વાંચનનું કેન્દ્ર
वेळ वाचा,સમયનો સમય વાંચો
वेळ घड्याळ वाचा,સમય ઘડિયાળ વાંચો
वेळ वाचा  इंग्रजी,સમયનો સમય વાંચો  ભાષા
लिहिताना वाचा,લખતી વખતે વાંચો
वाचा लिहा  चॅनल,વાંચો લખો  માર્ગ
वाचा/लेखन तपासणी  निर्देशक,વાંચો/લખો ચેક  સૂચક
वाचा/लेखन चक्र,ચક્ર વાંચો/લખો
वाचा/लिहा लाइन,લાઇન વાંચો/લખો
स्टोरेज वाचा/लिहा,સંગ્રહ વાંચો/લખો
सज्ज प्रवेश  टर्मिनल,તૈયાર પ્રવેશ  અંતિમ
सज्ज अट,તૈયાર સ્થિતિ
तयार प्रकाश,તૈયાર પ્રકાશ
सज्ज राज्य,તૈયાર રાજ્ય
सज्ज स्थिती शब्द,તૈયાર સ્થિતિ શબ્દ
वास्तविक पत्ता,વાસ્તવિક સરનામું
वास्तविक स्थिर,વાસ્તવિક સ્થિર
क्षेत्र,ક્ષેત્ર
वास्तविक स्टोरेज,વાસ્તવિક સંગ્રહ
वास्तविक स्टोरेज  व्यवस्थापन,વાસ્તવિક સંગ્રહ  સંચાલન
प्रत्यक्ष वेळी,વાસ્તવિક સમય
रिअल टाइम चॅनेल,રીઅલ ટાઇમ ચેનલ
रिअल टाइम क्लॉक  मॉड्यूल,રીઅલ ટાઇમ ક્લોક  વિધિ
वास्तविक वेळ नियंत्रण,વાસ્તવિક સમય નિયંત્રણ
रिअल टाइम इनपुट,વાસ્તવિક સમય ઇનપુટ
प्रत्यक्ष वेळी  ऑपरेशन,વાસ્તવિક સમય  સંચાલન
रिअल टाइम आउटपुट,રીઅલ ટાઇમ આઉટપુટ
प्रत्यक्ष वेळी  प्रक्रिया,વાસ્તવિક સમય  પ્રક્રિયા
रिअल टाइम उपग्रह  संगणक,રીઅલ ટાઇમ સેટેલાઇટ  કોમ્પ્યુટર
प्रत्यक्ष वेळी  सिम्युलेशन,વાસ્તવિક સમય  સિમ્યુલેશન
रिअल टाइम काम करणे,વાસ્તવિક સમય કામ કરે છે
रिकॉल रेशो,યાદ કરાવવું
रिकॉल सिग्नल,રિકોલ સિગ્નલ
प्राप्त करा  व्यत्यय,પ્રાપ્ત કરવું  અટકાયત
पाय प्राप्त करा,પગ મેળવો
फक्त प्राप्त करा,માત્ર પ્રાપ્ત કરો
प्राप्तकर्ता,પ્રાપ્તકર્તા
प्राप्तकर्ता अलगाव,પ્રાપ્તિકરણ એકલતા
रिसीव्हर सिग्नल,પ્રાપ્તી સંકેત
मार्जिन प्राप्त,ગાળો
प्राप्त  परफोरेटर,પ્રાપ્ત  છિદ્રક
रीक्रिक्युलेटिंग लूप,પુનરાવર્તિત લૂપ
ओळख  अचूकता,માન્યતા  ચોકસાઈ
ओळख  वर्ण,માન્યતા  પાત્ર
ओळख डिव्हाइस,માન્યતા -ઉપકરણ
ओळख लॉजिक,માન્યતાનો તર્ક
पुनर्वसन,પુન: સંસ્મરણ કરવું
पुनर्प्राप्ती,પુનર્રૂપચાર
सलोखा,સમાધાન
पुनर्रचना,પુન: રૂપરેખા
पुनर्रचना,પુનર્રચના
पुनर्रचना,પુનર્નિર્માણ
रेकॉर्ड अवरोधित करणे,વિક્રમજનક અવરોધ
रेकॉर्ड तपासणी वेळ,રેકોર્ડ સમય
रेकॉर्ड नियंत्रण  वेळापत्रक,રેકર્ડ નિયંત્રણ  અનુસૂચિ
रेकॉर्ड गणना,દફતર ગણતરી
रेकॉर्ड वर्णन,દફતર વર્ણન
रेकॉर्ड केलेला मजकूर,નોંધાયેલું લખાણ
रेकॉर्ड स्वरूप,દફતરનું રૂપરેખા
रेकॉर्ड स्वरूप  वर्णनकर्ता,દફતરનું રૂપરેખા  વર્ણનકર્તા
रेकॉर्ड अंतर,રેકર્ડ ગેપ
रेकॉर्ड गट,જૂથ
रेकॉर्ड हेड,રેકર્ડ હેડ
रेकॉर्डिंग क्षेत्र,નોંધણી ક્ષેત્ર
रेकॉर्डिंग घनता,વિપુલતા
रेकॉर्डिंग हेड,વિપુલ નોંધણી
रेकॉर्डिंग माध्यम,નોંધણી માધ્યમ
रेकॉर्डिंग मोड,રેકોર્ડિંગ મોડ
ट्रंक रेकॉर्डिंग,રેકોર્ડિંગ થડ
रेकॉर्ड की,રેકર કી
रेकॉर्ड लेआउट,દફતર -લેઆઉટ
रेकॉर्ड लांबी,રેકર્ડ લંબાઈ
रेकॉर्ड चिन्ह,રેકન પર નિશાની
रेकॉर्ड मध्यम,રેકર્ડ માધ્યમ
रेकॉर्ड नाव,રેકર્ડ નામ
रेकॉर्ड क्रमांक,રેકર નંબર
रेकॉर्ड तयार,રેકોર્ડ તૈયાર
रेकॉर्ड विभाजक  वर्ण,વિજેતા  પાત્ર
रेकॉर्ड पत्रक,દફતરદાર
रेकॉर्ड सॉर्टिंग,છટણી
रेकॉर्ड स्टोरेज  चिन्हांकित करा,દફતર સંગ્રહ  ચિહ્ન
रेकॉर्ड पट्टी,રેકર પટ્ટી
रेकॉर्ड प्रकार,રેકોર્ડ પ્રકાર
पुनर्प्राप्त करण्यायोग्य त्रुटी,પુન ove પ્રાપ્તિની ભૂલ
पुनर्प्राप्ती  व्यवस्थापन  समर्थन,પુન: પ્રાપ્તિ  સંચાલન  ટેકો
पुनर्प्राप्ती निर्मिती,પુન recoveryપ્રાપ્તિ ઉત્પન્ન
पुनर्प्राप्ती दिनचर्या,પુન recoveryપ્રાપતિ
पुनर्प्राप्ती प्रणाली,વસૂલાત પદ્ધતિ
पुनरावृत्ती,પુનરાવર્તન
पुनरावृत्ती,પુનરાવર્તન
पुनरावृत्ती प्रमेय,પુનરાવર્તન પ્રમેય
रिकर्सिव्ह वंश  पार्सिंग,પુનરાવર્તિત વંશ  પાર્કસ
रिकर्सिव्ह फंक्शन,પુનરાવર્તિત કાર્ય
रिकर्सिव्ह यादी,પુનરાવર્તિત યાદી
पुनरावृत्तीपणे परिभाषित  क्रम,પુનરાવર્તિત  અનુક્રમ
पुनरावृत्ती  अविभाज्य संच,પુનરાવર્તિત રીતે  ગણિત
रिकर्सिव्ह प्रक्रिया,પુનરાવર્તિત પ્રક્રિયા
रिकर्सिव्ह रिलेशन,પુનરાવર્તિત સંબંધ
रिकर्सिव्ह नित्यक्रम,પુનરાવર્તક નિત્યક્રમ
रिकर्सिव्ह सेट,પુનરાવર્તિત સમૂહ
Redact,Redભું કરવું
रेडिएशन,Redણપત્ર
कपात मशीन,ઘટાડો મશીન
रिडंडंसी,નિરર્થકતા
रिडंडंसी तपासणी,નિરર્થકતા તપાસ
रिडंडंसी तपासणी  बिट,નિરર્થકતા તપાસ  ગાળો
रिडंडंसी तपासणी  वर्ण,નિરર્થકતા તપાસ  પાત્ર
ची रिडंडंसी  डेटा,નિરર્થકતા  માહિતી
निरर्थक  वर्ण,નકામું  પાત્ર
रिडंडंट कोड,રિબન્ડન્ટ કોડ
पुनर्निर्मिती,પુનર્જીવન
रींटेरेबल लोड  मॉड्यूल,ફરી સમારંભનો ભાર  વિધિ
रींटेरेबल  कार्यक्रम,ફરીથી તૈયાર  કાર્યક્રમ
रींटेरेबल  दिनचर्या,ફરીથી તૈયાર  રોજિંદા
रींटेरेबल  सबरूटिन,ફરીથી તૈયાર  Subલટ
