Tamil,Assamese
"1.பொது டொமைன், 2.பொது டொமைன்","১.ৰাজহুৱা ডমেইন, ২.ৰাজহুৱা ডমেইন"
பொது விசை குறியாக்கம்,ৰাজহুৱা কি&#39; এনক্ৰিপচন
துடிப்பு,নাড়ী
துடிப்பு குறியீடு பண்பேற்றம்,পালছ ক&#39;ড মডুলেচন
பல்ஸ் டிஜிட்டல் மாடுலேஷன் (PDM),পালছ ডিজিটেল মডুলেচন (PDM)
ஸ்பந்தாவளி,স্পন্দাৱলি
நிறுத்தற்குறி,বিৰাম চিহ্ন
"அழுத்தம், நிரப்பு","চাপ, ভৰোৱা"
ஆட்டோமேட்டாவைப் பதிவிறக்கவும்,ডাউনলোড automata
செங்குத்து பட்டியல்,উলম্ব তালিকা
நால்வகை,দ্বিঘাত
"1.தகுதி, 2.தகுதி","১.অৰ্হতা, ২.অৰ্হতা"
அளவி,quantifier
அளவிட,পৰিমাণীকৰণ কৰা
அளவுகோல்,ভাগফল
குவாண்டம்,কোৱাণ্টাম
குவாண்டம் கடிகாரம்,কোৱাণ্টাম ঘড়ী
"1.குவாண்டம் கபுடான், 2.குவாண்டம் கம்ப்யூட்டேஷன்","১.কোৱাণ্টাম কপুটান, ২.কোৱাণ্টাম গণনা"
உதாரண வினவல்,উদাহৰণ প্ৰশ্ন
"1. விசாரணை, 2. விசாரணை","১/ অনুসন্ধান, ২/ অনুসন্ধান"
கேள்வி மொழி,প্ৰশ্ন ভাষা
வினவல் செயலாக்கம்,প্ৰশ্ন প্ৰক্ৰিয়াকৰণ
வரிசை,লানি পতা
வரிசை மேலாண்மை,শাৰী ব্যৱস্থাপনা
வரிசை பதிவு,শাৰী পঞ্জীয়ন
"1. வரிசை நெட்வொர்க், 2. வரிசை நெட்வொர்க்","1. শাৰী নে&#39;টৱৰ্ক, 2. শাৰী নে&#39;টৱৰ্ক"
வரிசை கோட்பாடு,শাৰী তত্ত্ব
விரைவான அணுகல் நினைவகம்,দ্ৰুত অভিগম মেমৰি
அளவுகோல்,ভাগফল
ரேடியோ அலைவரிசை குறுக்கீடு (RFI),ৰেডিঅ&#39; ফ্ৰিকুৱেন্সি ইন্টাৰফেৰেন্স (RFI)
ரேடிக்ஸ்,ৰেডিক্স
சீரற்ற அணுகல் கணினி உபகரணங்கள் (RACE),ৰেণ্ডম এক্সেছ কম্পিউটাৰ সঁজুলি (RACE)
சீரற்ற அணுகல் நினைவகம் (RAM),ৰেণ্ডম এক্সেছ মেমৰি (RAM)
சீரற்ற ஸ்கேனிங்,ৰেণ্ডম স্কেনিং
"1.ராஸ்டர், 2.ராஸ்டர்","১.ৰেষ্টাৰ, ২.ৰেষ্টাৰ"
ராஸ்டர் ஸ்கேனிங்,ৰেষ্টাৰ স্কেনিং
மறு பொறியியல்,পুনৰ অভিযান্ত্ৰিকীকৰণ
புத்துயிர் பெறுதல்,পুনৰুজ্জীৱিতকৰণ
"1. அணுகல், 2. அணுகல்","1. অভিগম্যতা, 2. অভিগম্যতা"
வாசிப்பு,পঢ়ি থকা
படிக்கும் தலை,ৰিডিং হেড
"1. படிக்க மட்டும், 2. படிக்க மட்டும்","১.কেৱল পঢ়া, ২.কেৱল পঢ়া"
"1. படிக்க மட்டும் நினைவகம், 2. படிக்க மட்டும் நினைவகம்","1. কেৱল পঢ়া মেমৰি, 2. কেৱল পঢ়া মেমৰি"
படிக்கும் எழுத்து தலை,পঢ়া লিখাৰ মূৰ
"1. வாசிப்பு சுழற்சி, 2. எழுதும் சுழற்சி","1. পঢ়া চক্ৰ, 2. লিখা চক্ৰ"
"1. வாசிப்பு சுழற்சி, 2. எழுதும் தலை","১.পঢ়া চক্ৰ, ২.লিখাৰ মূৰ"
"1. வாசிப்பு நினைவகம், 2. எழுதும் நினைவகம்","1. পঢ়া স্মৃতি, 2. লিখা স্মৃতি"
வாசகர்,পাঠক
"வாசிப்பு, வாசிப்பு","পঢ়া, পঢ়া"
"1.வாசிப்பு, 2.பின் வாசிப்பு","১.পঢ়া, ২.পঢ়া পোষ্ট কৰা"
உண்மையான நேரம்,সময় বাস্তৱ
"1. விரைவான பதில் செயலாக்கம், 2. உடனடி பதில் செயலாக்கம்","1. দ্ৰুত সঁহাৰি প্ৰক্ৰিয়াকৰণ, 2. তাৎক্ষণিক সঁহাৰি প্ৰক্ৰিয়াকৰণ"
பெறுபவர்,ৰিচিভাৰ
அங்கீகார தர்க்கம்,চিনাক্তকৰণ যুক্তি
மறு நிரலாக்க பரிமாற்றம்,পুনৰ প্ৰগ্ৰেমিং স্থানান্তৰ
பதிவு,নথিভুক্ত
"1. ரெக்கார்டிங் ஹெட், 2. ரெக்கார்டிங் ஹெட்","১/ ৰেকৰ্ডিং হেড, ২. ৰেকৰ্ডিং হেড"
சரிசெய்யக்கூடிய பிழை,সংশোধনযোগ্য ভুল
பூர்த்தி,পূৰ্ণতা
மறுநிகழ்வு தேற்றம்,পুনৰাবৃত্তি উপপাদ্য
மீள் சுழற்சி,পুনঃব্যৱহাৰ
சுழல் செயல்பாடு,পুনৰাবৃত্তিমূলক ফলন
மினியேட்டரைஸ்டு இன்ஸ்ட்ரக்ஷன் செட் கம்ப்யூட்டர் (RISC),ক্ষুদ্ৰ নিৰ্দেশনা ছেট কম্পিউটাৰ (RISC)
பணிநீக்கம்,অতিৰিক্ততা
"1.சுதந்திர வட்டு, 2.வட்டுகளின் கூடுதல் வரிசை (சிவப்பு)","1.স্বাধীন ডিস্ক, 2.ডিস্কৰ অতিৰিক্ত এৰে (ৰঙা)"
மறு நுழைவு,পুনৰ প্ৰৱেশ
மறு நுழைவு குறியீடு,পুনৰ প্ৰৱেশ ক&#39;ড
குறிப்பு,সন্দৰ্ভ
மேற்கோளிட்ட நேர்மை,ৰেফাৰেন্সিয়েল অখণ্ডতা
பிரதிபலிப்பு,প্ৰতিফলনশীলতা
பிரதிபலிப்பு,প্ৰতিফলন
ஒளிவிலகல்,বিবৰ্তন
புத்துணர்ச்சி,সতেজতা
மீளுருவாக்கம்,পুনৰুত্পাদন
பதிவு,পঞ্জীয়ন কৰা
வழக்கமான இலக்கணம்,নিয়মীয়া ব্যাকৰণ
உறவு,সম্পৰ্ক
தொடர்புடைய தரவுத்தளம்,সম্পৰ্কীয় ডাটাবেছ
தொடர்புடைய தரவுத்தள மேலாண்மை அமைப்பு (RDBMS),সম্পৰ্কীয় তথ্যকোষ ব্যৱস্থাপনা ব্যৱস্থা (RDBMS)
தொடர்புடைய மாதிரி,সম্পৰ্কীয় আৰ্হি
"1. உறவினர், 2. உறவினர்","1. আপেক্ষিক, 2. আপেক্ষিক"
உறவினர் முகவரி,আপেক্ষিক সম্বোধন
"1. ரிலே, 2. பரிமாற்றம்","1. ৰিলে, 2. সংক্ৰমণ"
நம்பகத்தன்மை மாதிரி,নিৰ্ভৰযোগ্যতা আৰ্হি
நம்பகமானது,নিৰ্ভৰযোগ্য
"1. இடமாற்றம் செய்யக்கூடிய குறியீடு, 2. இடமாற்றக்கூடிய தரவு","1. স্থানান্তৰ কৰিব পৰা ক&#39;ড, 2. স্থানান্তৰ কৰিব পৰা তথ্য"
இதுவரை,দূৰ
தொலை ஊட்டி,ৰিম&#39;ট ফিডাৰ
தொலைதூர வேலை நுழைவு,দূৰৱৰ্তী কৰ্ম প্ৰৱেশ
"1.தொலைநிலை அமர்வு தொடக்கம், 2.தொலைநிலை உள்நுழைவு","1.দূৰৱৰ্তী অধিবেশন আৰম্ভ, 2.দূৰৱৰ্তী প্ৰৱেশ"
தொலைநிலை நடைமுறை அழைப்பு (RPC),দূৰৱৰ্তী পদ্ধতি আমন্ত্ৰণ (RPC)
தொலை உணர்வு,ৰিম&#39;ট চেন্সিং
மறுபெயரிடுதல்,নামকৰণ কৰা
"1. வழங்குதல், 2. அர்ப்பணிப்பு","1.ৰেণ্ডাৰিং, 2.উচৰ্গাকৰণ"
ரிப்பீட்டர்,ৰিপিটাৰ
பதில்,উত্তৰদিশ
"1. கோரிக்கை, 2. கோரிக்கை","1. অনুৰোধ, 2. অনুৰোধ"
கருத்துக் கோரிக்கை (RFC),মন্তব্যৰ অনুৰোধ (RFC)
"1.கோரிக்கை நெறிமுறை, 2.பதிலளிப்பு நெறிமுறை","1.অনুৰোধ প্ৰট&#39;কল, 2.প্ৰতিক্ৰিয়া প্ৰট&#39;কল"
சுழல் நிரல்,পুনৰাবৃত্তিমূলক প্ৰগ্ৰেম
ஆராய்ச்சி,গৱেষণা
மீட்டெடுப்பு சுழற்சி,পুনৰুদ্ধাৰ কৰা চক্ৰ
நினைவிடவாதி,স্মৃতিবিদ
வேறுபாடு,পাৰ্থক্য
வளங்கள்,সম্পদসমূহ
பதில் நேரம்,সঁহাৰিৰ সময়
"1.மறுதொடக்கம், 2.மறுதொடக்கம்","1.পুনৰ আৰম্ভ, 2.পুনৰ আৰম্ভ"
மறுசீரமைப்பு,পুনৰুদ্ধাৰ কৰা
மீண்டும் தடம்,পুনৰ ট্ৰেচ কৰক
"1. மீண்டும் அனுப்புதல், 2. மறு தொடர்பு","1. পুনৰ প্ৰেৰণ, 2. পুনৰ যোগাযোগ"
மீட்பு,পুনৰুদ্ধাৰ
மீண்டும் முயற்சி செய்,পুনৰ চেষ্টা কৰক
"1.பின்னடைவு, 2.திரும்புதல்","1.ৰিগ্ৰেছন, 2.ৰিটাৰ্ণ"
பின்னடைவு குறியீடு,ৰিগ্ৰেছন ক&#39;ড
பின்னடைவு விசை,ৰিগ্ৰেছন কি&#39;
மீண்டும் பயன்படுத்தக்கூடிய குறியீடு,পুনৰ ব্যৱহাৰযোগ্য ক&#39;ড
மீண்டும் எழுதக்கூடியது,পুনৰ লিখিব পৰা
rgb மானிட்டர்,rgb মনিটৰ
நாடா,ফিতা
அதிகாரப்பூர்வ பிரச்சினை,চৰকাৰী বিষয়টো
"1.ரோபோ, 2.மெக்கானிக், 3.மெக்கானிசம்","১.ৰবট, ২.মেকানিক, ৩.মেকানিজম"
"1.இயந்திர அறிவியல், 2.இயந்திரவியல் மானுடவியல்","১.যান্ত্ৰিক বিজ্ঞান, ২.যান্ত্ৰিক নৃতত্ত্ব"
"வலுவான, வலுவான","শক্তিশালী, শক্তিশালী"
பங்கு,ভূমিকা
மீண்டும் உருளும்,আকৌ ৰোলিং কৰা
விழுங்குதல்,engulfment
வெளியேற்றம்,আউটফ্ল&#39;
"1. படிக்க மட்டும் நினைவகம், 2. படிக்க மட்டும் நினைவகம் (ROM)","1. কেৱল পঢ়া মেমৰি, 2. কেৱল পঢ়া মেমৰি (ROM)"
அசல்,মূলত
பெற்றோர் அடைவு,মূল পঞ্জিকা
தோராய பிழை,আনুমানিক ভুল
"1.ரௌட்டர், 2.ரவுட்டர்","১.ৰাউটাৰ, ২.ৰাউটাৰ"
"வழிசெலுத்துதல், வழிசெலுத்துதல்","ৰুটিং, ৰুটিং"
RS232C இடைமுகம்,RS232C আন্তঃপৃষ্ঠ
RSA குறியாக்கம்,RSA এনক্ৰিপচন
ஆர்டிசி,rtc
பணியிட குறியீட்டு முறை,ৱৰ্কিং ডিটেইল ক&#39;ডিং
பதவிக்காலம்,কাৰ্যকাল
இயக்க பிழை,চলনসময়ৰ ত্ৰুটি
"1. மாதிரி, 2. மாதிரி","1. নমুনা, 2. নমুনা"
மாதிரி,নমুনা সংগ্ৰহ কৰা
"1.செயற்கைக்கோள், 2.செயற்கைக்கோள்","১.উপগ্ৰহ, ২.উপগ্ৰহ"
செறிவூட்டல்,চেচুৰেচন
சேமிக்க,সঞ্চয় কৰা
"1. அளவிடுதல், 2. அளவிடுதல்","1. স্কেলেবিলিটি, 2. স্কেলেবিলিটি"
அளவுகோல்,স্কেলাৰ
ஸ்கேனிங்,স্কেনিং কৰা
நிலப்பரப்பு,ভূচিত্ৰ
திட்டமிடுபவர்,scheduler
திரை பிரதிபலிப்பு ப்ரொஜெக்டர்,স্ক্ৰীণ প্ৰতিফলন প্ৰজেক্টৰ
கையால் எழுதப்பட்ட தாள்,চিত্ৰনাট্য
ஸ்கிரிப்டிங் மொழி,লিপিৰ ভাষা
"1.சுருள், 2.சுருள்","১.কইল, ২.স্ক্ৰল"
ஒத்திசைவான தரவு இணைப்பு கட்டுப்பாடு (SDLC),সমকালীন তথ্য সংযোগ নিয়ন্ত্ৰণ (SDLC)
"1.ஆய்வு, 2.கண்டுபிடிப்பு","১.অন্বেষণ, ২.আৱিষ্কাৰ"
தேடல் இயந்திரம்,চাৰ্চ ইঞ্জিন
தேடல் மரம்,search tree
"1.ஆராய்தல், 2.கண்டுபிடித்தல்","1.অন্বেষণ, 2.আৱিষ্কাৰ"
இரண்டாம் நிலை,মাধ্যমিক
"1.துறை, 2.துறை","১.খণ্ড, ২.খণ্ড"
பாதுகாப்பு கொள்கை,সুৰক্ষা নীতি
தேடல் சொல்,সন্ধান শব্দ
"1.பிரிவு, 2.பிரிவு","১.ধাৰা, ২.ধাৰা"
"1. பிரித்தல், 2. பிரிவு","১.বিভাজন, ২.বিভাজন"
தேர்வு வரிசையாக்கம்,নিৰ্বাচন সজাই পৰাই তোলা
"1.தன்னிரக்கம், 2.தன்னிரக்கம்","1.স্বয়ংক্ৰিয় সম্পূৰ্ণ, 2.স্বয়ংক্ৰিয় সম্পূৰ্ণ"
"1.சொற்பொருள், 2.சொற்பொருள்","১.অৰ্থবিজ্ঞান, ২.অৰ্থবিজ্ঞান"
செமாஃபோர்,চেমাফোৰ
குறைக்கடத்தி,অৰ্ধপৰিবাহী
கற்பனை வலை,fantasy web
தொடர் அணுகல் முறை,ক্ৰমিক অভিগম পদ্ধতি
அடுத்தடுத்து,ক্ৰমাগত
தொடர்,ছিৰিয়েল
"1.சேவையகம், 2.சேவையகம்","1.চাৰ্ভাৰ, 2.চাৰ্ভাৰ"
சர்வர் செயலிழப்பு,চাৰ্ভাৰ ক্ৰেচ
சர்வர் உரிமம்,চাৰ্ভাৰ অনুজ্ঞাপত্ৰ
சர்வோ பெருக்கி,চাৰ্ভো বহুগুণক
தொகுப்பு,set of
குறிப்பிட்ட புள்ளி,নিৰ্দিষ্ট বিন্দু
மேலாண்மை,ব্যৱস্থা
நிழல்,ছাঁ
ஒளிப்பதிவு,চিনেমাট&#39;গ্ৰাফী
பேய்,অনুসৰণ কৰা
கோப்பு பகிர்வு,ফাইলটো শ্বেয়াৰ কৰক
பகிரப்பட்ட அணுகல்,অংশীদাৰী অভিগম
பகிர்தல்,ভাগ কৰি দে
"1. அடைப்புக்குறிகள், 2. கவசம், 3. ஷெல், 4. ஷெல்","১/ ব্ৰেকেট, ২. কৱচ, ৩. শ্বেল, ৪. শ্বেল"
இடப்பெயர்ச்சி சின்னம்,বিচ্যুতিৰ চিহ্ন
குறுகிய பாதை,চুটি পথ
குறுகிய அறிவுறுத்தல்,চুটি নিৰ্দেশনা
உடன்பிறப்பு,সহোদৰ
"1. பக்க விளைவு, 2. எதிர் விளைவு","1. পাৰ্শ্বক্ৰিয়া, 2. প্ৰতি প্ৰভাৱ"
அடையாளம் பிட்,sign bit
சிக்னல்,সূত্ৰ
சமிக்ஞை செயலாக்கம்,সংকেত প্ৰক্ৰিয়াকৰণ
குறிப்பீடு,সংকেত
"1.சிக்னல்-ஒலி விகிதம், 2.சிக்னல்-இரைச்சல் விகிதம்","1.সংকেত-শব্দ অনুপাত, 2.সংকেত-শব্দ অনুপাত"
"1.கையொப்பம், 2. கையொப்பம்","১.চহী, ২. স্বাক্ষৰ"
மார்க்கர் சோதனை,মাৰ্কাৰ পৰীক্ষা
குறிப்பிடத்தக்க மதிப்பெண்கள்,উল্লেখযোগ্য নম্বৰ
சிலிக்கான் சிப்,ছিলিকন চিপ
எளிய அஞ்சல் பரிமாற்ற நெறிமுறை (SMTP),সৰল মেইল স্থানান্তৰ প্ৰটোকল (SMTP)
ஒற்றை,একক
"1. ஒரு சமிக்ஞை முனை, 2. சிம்ப்ளக்ஸ் முனை","1. এটা সংকেত ন&#39;ড, 2. simplex ন&#39;ড"
உருவகப்படுத்துதல்,চিমুলেচন
பின்பற்றுபவர்,অনুকৰণকাৰী
"1.ஒரே நேரத்தில், 2.ஒரே நேரத்தில்","১.সমকালীন, ২.সমকালীন"
ஒரே நேரத்தில் செயலாக்கம்,একেলগে প্ৰক্ৰিয়াকৰণ
தனி,একক
"1.தள உரிமம், 2.தள உரிமம்","1.ছাইট লাইচেন্স, 2.ছাইট লাইচেন্স"
"1.அளவு, 2.அளவு","১.আকাৰ, ২.আকাৰ"
அளவீடு,জোখ-মাখ কৰা
"1. உவமை, 2. உவமை","1. চিত্ৰণ, 2. চিত্ৰণ"
புளூட்டி,প্লুটি
"1.புளூட்டி, 2.புளூட்டிகாரன்","১.প্লুটি, ২.প্লুটিকাৰন"
"1. வெட்டு, 2. வெட்டு","১.স্লেচ, ২.কাট"
கணினியின் கீழ்,কম্পিউটাৰৰ অধীনত
பாம்பு ஜன்னல் நெறிமுறை,snake উইন্ডো প্ৰট&#39;কল
"1. புறக்கணிப்பு, 2. சரணடைதல்","1. বাদ দিয়া, ২. আত্মসমৰ্পণ কৰা"
ஸ்லாட்,ছাঁদ
SCSI (SCSI),SCSI (SCSI)
ஸ்மார்ட் கார்டு,স্মাৰ্ট কাৰ্ড
நத்தை அஞ்சல்,শামুক মেইল
ஸ்னாப்ஷாட்,স্নেপশ্বট
"1.மென்மையான கணக்கீடு, 2.மென்மையான கணக்கீடு","১.চফ্ট কম্পিউটেচন, ২.চফ্ট কম্পিউটেচন"
மென்மையான நகல்,চফ্ট কপি
எளிதான எழுத்துரு,সহজ ফন্ট
மென்பொருள்,ছ’ফ্টৱেৰ
மென்பொருள் பொறியியல்,চফট্ ৱেৰ ইঞ্জিনিয়াৰিং
மென்பொருள் உரிமம்,চফ্টৱেৰ অনুজ্ঞাপত্ৰ
மென்பொருள் திருட்டு,চফ্টৱেৰ পাইৰেচি
ஸ்பெக்ட்ரம்,বৰ্ণালী
"1.திருகு, 2.சுழல்","1.স্ক্ৰু, 2.স্পাইৰেল"
"1.விவர தாள், 2.விரிதாள்","1.বিস্তাৰিত পত্ৰিকা, 2.স্প্ৰেডশ্বীট"
தரநிலை,মানদণ্ড
நிலையான பொதுவான மார்க்அப் மொழி (SGML),প্ৰামাণিক সাধাৰণীকৃত মাৰ্কআপ ভাষা (SGML)
தரப்படுத்தல்,প্ৰামাণিককৰণ
காத்திருக்கும் நேரம்,অপেক্ষাৰ সময়
தாரக் லன்,তাৰক লান
நட்சத்திர நிலை,তৰাৰ অৱস্থান
ஆரம்ப பிட்,আৰম্ভণিৰ বিট
"1. பற்றாக்குறை, 2. பற்றாக்குறை, 3. பற்றாக்குறை நெருக்கடி","1. অভাৱ, 2. অভাৱ, 3. অভাৱ সংকট"
"1.நிலை நினைவகம், 2.நிலை நினைவகம்","1.ষ্টেটিক মেমৰি, 2.ষ্টেটিক মেমৰি"
நிலை சேனல்,ষ্টেটাছ চেনেল
"1.படி அளவு, 2.படி அளவுகள்","1.পদক্ষেপৰ আকাৰ, 2.পদক্ষেপৰ মাত্ৰা"
இடைநிறுத்தம் மற்றும் காத்திருப்பு நெறிமுறை,বিৰতি আৰু অপেক্ষা প্ৰট&#39;কল
முறிவு குறியீடு,ব্ৰেক ক&#39;ড
இடைநிறுத்த விசை,pause key
சேமிப்புத்திறன்,সংৰক্ষণযোগ্যতা
சேமிக்கப்பட்ட நிரல்,সংৰক্ষিত প্ৰগ্ৰেম
தொடர் தரவு,শৃংখলা তথ্য
"1.கட்டமைக்கப்பட்ட குறியாக்கம், 2.கட்டமைக்கப்பட்ட குறியீட்டு முறை","1.গাঁথনিযুক্ত এনকোডিং, 2.গাঁথনিযুক্ত ক&#39;ডিং"
கட்டமைக்கப்பட்ட வினவல் மொழி (SQL),গঠনমূলক প্ৰশ্ন ভাষা (SQL)
"1. சிற்றேடு, 2. பாணி கடிதம்","১.ব্ৰ&#39;চাৰৰ শ্বীট, ২. শৈলীৰ চিঠি"
துணை அடைவு,উপ-ডাইৰেকটৰি
"1.சப்நெட், 2.சப்நெட்","১.চাবনেট, ২.চাবনেট"
துணை மரம்,উপবৃক্ষ
"1. சுருக்கம், 2. சுருக்கம்","১.সংক্ষিপ্তকৰণ, ২.সংক্ষিপ্তকৰণ"
"1. சூப்பர் கம்ப்யூட்டர், 2. சூப்பர் கம்ப்யூட்டர்","১.ছুপাৰ কম্পিউটাৰ, ২.ছুপাৰ কম্পিউটাৰ"
"1.சூப்பர் கம்ப்யூட்டேஷன், 2.சூப்பர் கம்ப்யூட்டேஷன்","১.ছুপাৰ কম্পিউটেচন, ২.ছুপাৰ কম্পিউটেচন"
முக்கிய திறவுகோல்,কি&#39; চাবি
சிறந்த பயனர்,শীৰ্ষ ব্যৱহাৰকাৰী
மேற்பார்வை கற்றல்,তত্বাৱধানত শিক্ষণ
துணை சிப்,সহায়ক চিপ
நிகர மாறுபாடு,নেট ভ্যাৰিয়েন্স
"1.நிகர மாறுபாடு, 2.பிரிவு, 3.சர்ஃபான்","১.নেট ভ্যাৰিয়েন্স, ২.অংশ, ৩.ছাৰফান"
இடமாற்று,অদলবদল
பிணைப்பிலுள்ள,ইনবাউণ্ড
வெளியேற்றம்,আউটফ্ল&#39;
பரிமாற்றம்,শ্বেপিং
"1.சுவிட்ச்டு நெட்வொர்க்,2. நெட்வொர்க் மாறியது","1.চুইচ কৰা নেটৱৰ্ক, 2. চুইচ কৰা নেটৱাৰ্ক"
மாறுதல்,চুইচিং
மாறுதல் கொள்கை,চুইচিং নীতি
குறியீட்டு நிரலாக்கம்,প্ৰতীকী প্ৰগ্ৰেমিং
ஒத்திசைவு,সমন্বয়
ஒத்திசைப்பான்,সমন্বয়ক
ஒத்திசைவான,সমকালীন
ஒத்திசைவான எண் படிநிலை (SDH),সমকালীন সংখ্যাগত হাইৰাৰ্কি (SDH)
வாக்கிய பகுப்பாய்வு,বাক্য বিশ্লেষণ
அமைப்பு பகுப்பாய்வு,ব্যৱস্থা বিশ্লেষণ
கணினி பொறியியல்,চিষ্টেম ইঞ্জিনিয়াৰিং
"1. சிஸ்டம் பிரேக்கர், 2. சிஸ்டம் ஹேக்கர்","১/ চিষ্টেম ব্ৰেকাৰ, ২/ চিষ্টেম হেকাৰ"
கணினி ஒருங்கிணைப்பான்,চিস্টেম ইন্টিগ্ৰেটৰ
கணினி பதிவு,চিস্টেম লগ
அமைப்பு கவர்,চিস্টেম কভাৰ
கணினி நெட்வொர்க் அமைப்பு (SNA),ব্যৱস্থাপ্ৰণালীৰ নে&#39;টৱৰ্ক গঠন (SNA)
"1. சிஸ்டம் புரோகிராமர், 2. சிஸ்டம் புரோகிராமர்","1. চিস্টেম প্ৰগ্ৰেমাৰ, 2. চিস্টেম প্ৰগ্ৰেমাৰ"
"1. கணினி மறுதொடக்கம், 2. கணினி மறுதொடக்கம்","1. ব্যৱস্থাপ্ৰণালী পুনৰাৰম্ভ, 2. ব্যৱস্থাপ্ৰণালী পুনৰাৰম্ভ"
அமைப்பு நிறுத்தம்,চিস্টেম সমাপ্তি
அமைப்பு சோதனை,চিস্টেম পৰীক্ষা
அமைப்பு பயன்பாடு,চিস্টেম সঁজুলি
"1. முறையான குறியீடு, 2. முறையான குறியீடு","1. পদ্ধতিগত সংহিতা, 2. পদ্ধতিগত সংহিতা"
tab கட்டளை,টেব কমাণ্ড
அட்டவணை,অনুসূচী
அட்டவணை கண்ணோட்டம்,টেবুলাৰ অভাৰভিউ
அட்டவணை இடம்,টেবুলৰ স্থান
தகடு,ফলক
"1.அட்டவணை, 2.வரிசை வரிசை","1.tabular, 2.এৰে এৰে"
அட்டவணை செயல்பாடு,টেবুলেচন ফাংচন
"1. குறிக்கப்பட்ட கட்டிடக்கலை, 2. குறிக்கப்பட்ட அமைப்பு","১.চিহ্নিত স্থাপত্য, ২.চিহ্নিত গঠন"
குறிக்கப்பட்ட படக் கோப்புப் படிவம் (TIFF),চিহ্নিত চিত্ৰ ফাইল প্ৰপত্ৰ (TIFF)
டேன்டெம் அமைப்பு,টেণ্ডেম ব্যৱস্থা
டேப் அடர்த்தி,টেপ ঘনত্ব
டேப் கவர்,টেপ কভাৰ
தார் கோப்பு,tar ফাইল
வேலை,কাম
வேலை வழிகாட்டி,ৱৰ্ক গাইড
பணி திட்டமிடுபவர்,কাৰ্য্যসূচীকাৰী
டிரான்ஸ்மிஷன் கண்ட்ரோல் புரோட்டோகால்/இன்டர்நெட் புரோட்டோகால் (TCP/IP),সংক্ৰমণ নিয়ন্ত্ৰণ প্ৰটোকল/ইণ্টাৰনেট প্ৰটোকল (TCP/IP)
வெட்டு அறுவை சிகிச்சை,কাটিং অপাৰেচন
தொலைத்தொடர்பு,টেলিকমিউনিকেচন
தொலைத்தொடர்பு,টেলিকমিউনিকেচন
தொலை தொடர்பு,টেলিকম
தொலைதொடர்பு,টেলিকনফাৰেন্স
"1. தந்தி, 2. தந்தி","১.টেলিগ্ৰাফ, ২.টেলিগ্ৰাফী"
"1. டெலிமீட்டர், 2. டெலிமெட்ரி","১.টেলিমিটাৰ, ২.টেলিমেট্ৰি"
"1.தொலைபேசி, 2.தொலைபேசி","১.টেলিফোন, ২.টেলিফোন"
தொலைபேசி,টেলিফোন
"1.டெலிபிரிண்டர், 2.டெலிபிரிண்டர்","১.টেলিপ্ৰিণ্টাৰ, ২.টেলিপ্ৰিণ্টাৰ"
தொலைச் செயலாக்கம்,টেলিপ্ৰচেছিং
"1. தூர்தர்ஷன், 2. தொலைக்காட்சி, 3. தூர்தர்ஷன்","১/ দূৰদৰ্শন, ২.দূৰদৰ্শন, ৩.দূৰদৰ্শন"
டெலக்ஸ்,টেলেক্স
"1.trap away, 2.telnet","১.নেটৱৰ্ক, ২.টেলনেট"
"1.வெப்பம், 3.வெப்பநிலை","১.গৰম, ৩.তাপমাত্ৰা"
"1. ஷேப் பிளேட், 2. டெம்ப்ளேட், 3. ரூபா","১.আকৃতিৰ প্লেট, ২.সাঁচ, ৩.ৰূপা"
பத்தின் நிரப்பு,দহৰ পৰিপূৰক
டெரா பைட்,টেৰা বাইট
டெர்ரா ஃபாலோப்ஸ்,টেৰা ফেলপছ
"1.எண்ட் பாயிண்டர், 2.டெர்மினல் கர்சர்","1.এণ্ড পইণ্টাৰ, 2.টাৰ্মিনেল কাৰ্চাৰ"
"1.முடிவு முனை, 2.முனை முனை","1.এণ্ড ন&#39;ড, 2.টাৰ্মিনেল ন&#39;ড"
முனைய சாளரம்,টাৰ্মিনেল উইন্ডো
முடிவு,ending
முப்படை,ট্ৰাই-বেছ
மூன்று அடிப்படை செயல்பாடு,তিনিটা বেচ অপাৰেচন
சோதனை,পৰীক্ষা কৰা হৈছে
சோதனை கவரேஜ்,পৰীক্ষাৰ কভাৰেজ
சோதனை செயல்படுத்தல்,পৰীক্ষা নিষ্পাদন
சோதனை தரவு,পৰীক্ষাৰ তথ্য
"1.உரை, 2. படிப்பு பொருள்","১.পাঠ, ২. অধ্যয়নৰ সামগ্ৰী"
உரை பெட்டி,লিখনী বাকচ
உரை கர்சர்,লিখনী কাৰ্চাৰ
உரை திருத்தி,টেক্সট সম্পাদক
உரை கோப்பு,লিখনী নথিপত্ৰ
பாடத்திட்டம்,পাঠ্যক্ৰম
உரை செயலாக்கம்,টেক্সট প্ৰচেছিং
பேச்சு-உரை (TTS),বক্তৃতা-পাঠ (TTS)
அமைப்பு மேப்பிங்,টেক্সচাৰ মেপিং
"1.டி ஃபிளிப் ஃப்ளாப், 2.டி-பைனோமீட்டர்","১.টি ফ্লিপ ফ্লপ, ২.টি-বাইনোমিটাৰ"
வெப்ப முத்திரை வெப்ப,তাপীয় ছীলাৰ
