abatement,অবসান
senior grade,বরিষ্ঠপদ/শ্রেণী/বর্গ/পর্যায়
senior management,বরিষ্ঠব্যবস্থাপন/প্রবন্ধন
senior scale,বরিষ্ঠবেতনমান
senior timescale,বরিষ্ঠসময়-মান
seniority,"বরিষ্ঠতা, জ্যেষ্ঠতা"
seniority system,বরিষ্ঠতাপদ্ধতি
seniority-cum-fitness,বরিষ্ঠতাওউপযুক্ততা
seniority-cum-merit,বরিষ্ঠতাওসহ-যোগ্যতাক্রম
seniormost,বরিষ্ঠতম
sensation,"সংবেদনশীল, আলোড়ন"
sensitive,"সংবেদনশীল, স্পর্শকাতর"
sentence,"বাক্য, দণ্ড, শাস্তি"
separated family,পৃথগন্নপরিবার
separation,পৃথগবাস
sequence,অনুক্রম
serial list,ক্রমসূচি
serial number,"ক্রমাঙ্ক, ক্রমসংখ্যা"
series,"মালা, শ্রেণী"
serious,"গুরু, গুরুতর, গুরুত্বপূর্ণ"
servant,"সেবক, চাকর"
serve,"সেবাকরা, আদেশমানা, দেওয়া/প্রদানকরা"
service,"কৃত্যক, কর্ম, চাকরি, সেবা"
service book,কৃত্যকবই/পুস্তিকা
service conditions,কৃত্যকশর্তাবলী
service contract,কৃত্যকচুক্তি
service of summon,সমনমানা/তামিলকরা
service postage stamp,সরকারিডাকটিকিট
service record,সেবাবৃত্তান্ত/রেকর্ড
service roll,কৃত্যকসূচি
service rules,কৃত্যকবিধি
service verification,সেবা/কৃত্যকসত্যতাপ্রমাণ/যাচাই
serviceable,"কর্মেরযোগ্য, মেরামতযোগ্য, পরিষেবাযোগ্য"
session,"অধিবেশন, পাঠবর্ষ, শিক্ষবর্ষ"
session of parliament,সংসদঅধিবেশন
set,"সমুচ্চয়, গুচ্ছ, জোড়া"
set aside,"বাতিলকরা, খারিজকরা"
set-up,"কাঠামো, ব্যবস্থা"
settlement,"নিষ্পত্তি, বন্দোবস্ত, ফয়সালা, প্রজাবিলি, পত্তন, ভূ-বাসন"
severally,"পৃথকভাবে, স্বতন্ত্রভাবে"
severance of relations,সম্বন্ধবিচ্ছেদ
severe action,কঠোরপদক্ষেপ
sewage,বাহিতমল
sex,"লিঙ্গ, যৌন, কাম"
sex discrimination,লিঙ্গবৈষম্য
share,"ভাগ, অংশ"
share holder,"অংশভাগী, অংশীদার"
sharing,সহভাজন
shift,"পালা, স্থানপরিবর্তন"
shift system,পালাব্যবস্থা
shift transfer,পালাপরিবর্তন
shifting,স্থানপরিবর্তন
short leave,অল্পাবধিছুটি
short notice,সংক্ষিপ্ত(ক্ষুদ্র)বিজ্ঞপ্তি/সূচনা
short staffed,স্বল্পসংখ্যককর্মীবিশিষ্ট
short term,স্বল্পকালীন
short title,সংক্ষিপ্তশীর্ষক/নাম
short-term-course,স্বল্পকালীনপাঠক্রম
shortage,"ঘাটতি, অল্পতা"
shortage of manpower,জনবল/লোকবলঘাটতি
shortfall,ঘাটতি
shorthand,"সংকেতলিপি, লঘুলিপি"
shortlist,"নির্বাচিত, লঘুসূচি"
show cause notice,কারণদর্শানোরবিজ্ঞপ্তি
shut down,বন্ধহওয়া
sick industry,রুগ্নশিল্প
sick leave,অসুস্থতাজনিতছুটি/অবকাশ
sick report,অসুস্থতাপ্রতিবেদন
sickness benefit,"অসুস্থতাকালীনসুবিধা, রোগকালীনসুবিধা"
sign,"চিহ্ন, সংকেত, স্বাক্ষর, সই(সহি)"
signature,"স্বাক্ষর, সই(সহি)"
signature campaign,স্বাক্ষরঅভিযান
signature pad,স্বাক্ষরপ্যাড/খাতা
significant,"তাৎপর্যপূর্ণ, মহত্বপূর্ণ"
signify,"ব্যক্তকরা, প্রকটকরা"
similar,"সদৃশ, অভিন্ন"
simple interest,সরলসুদ
simultaneous,"সমসাময়িক, একইসময়ে"
simultaneously,"সমসাময়িকভাবে, একইসময়েসংঘটিত"
sincere,"নিষ্ঠাবান, সত্যনিষ্ঠ"
sine die,অনিশ্চিতকালঅবধি
sine qua non,অপরিহার্যশর্ত
single entry system,এককপ্রবিষ্টিপদ্ধতি
single fare,একতরফেরভাড়া
single file system,একনথি/ফাইলপদ্ধতি
sir,"শ্রীযুক্ত, মান্যবর"
site,"ক্ষেত্র, স্থল, স্থান"
site plan,স্থলনকশা
sitting member,বর্তমানসদস্য
situation,পরিস্থিতি
situations vacant,"পদরিক্তি, পদশূন্য"
situations wanted,পদপ্রার্থনীয়
skeleton staff,স্বল্পকর্মীবর্গ
skilled labourer,"দক্ষশ্রমিক, পটুশ্রমিক"
slack season,"মন্দারকাল, শিথিলপর্ব"
slackness,"শিথিলতা, ঢিলেমি"
slander,অপমানকরকথা
sleeper class,শায়নযান/শ্রেণী
sliding scale,বিসর্পীমান
slip,"চিরকূট, ত্রুটি"
slow down,"গতিহ্রাস, ধীরগতিহওয়া"
slum,বস্তি
slump,মন্দা
small savings fund,স্বল্পসঞ্চয়নিধি
small scale enterprise,ক্ষুদ্রায়তনউদ্যোগ
small scale industry,ক্ষুদ্রায়তনশিল্প
smartness,স্ফূর্তি
smooth,"মসৃণ, সহজ"
snap inspection,আকস্মিকনিরীক্ষণ
snap strike,আকস্মিকধর্মঘট
social security,সামাজিকসুরক্ষা
social welfare,সমাজকল্যাণ
sodiarity,"ঐক্যবদ্ধ, একজুট"
software,প্রক্রিয়াসামগ্রী/সফটওয়্যর
sojourn,"অবস্থান, বিরাম"
sole,একমাত্র
sole agency,একমাত্রএজেন্সি/সংস্থা
sole owner,একমাত্রমালিক
solemn,"সত্যনিষ্ঠ, গম্ভীর"
solemn affirmation,সত্যনিষ্ঠপ্রতিজ্ঞান
solemnity,সত্যনিষ্ঠতা
solemnize,বিধিবৎসত্যনিষ্ঠাসহকরা
solemnly,সত্যনিষ্ঠাপূর্বক
solicit,যাচ্‌ঞাকরা
solitary,"নিঃসঙ্গ, নির্জন, একান্ত, একা"
solitary case,একমাত্রমাম্লা/বিষয়
solution,"সমাধান, নিরসন, দ্রবণ"
solve,"সমাধানকরা, নিরসনকরা"
sorting,বাছাই
sorting appliance,বাছাইউপযন্ত্র
source,উৎস
source of income,আয়েরউৎস
souvenir,"স্মারনিকা, স্মারকগ্রন্থ"
sovereign,সার্বভৌম
sovereignty,সার্বভৌমত্ব
space,"মহাকাশ, স্থান, ক্ষেত্র"
spacing,লেখালেখিতেছাড়দেওয়া
spade work,"প্রারম্ভিককার্য, প্রস্তুতিহীনকাজ"
spare,অতিরিক্ত
spare copy,অতিরিক্তপ্রতিলিপি
spare time,অতিরিক্তসময়
speaker,"বক্তা, আলোচক, অধ্যক্ষ"
special,বিশেষ
special ability test,বিশেষযোগ্যতাপরীক্ষা
special allowance,বিশেষভাতা
special cell,বিশেষকক্ষ
special commendation,বিশেষপ্রোৎসাহন/প্রশংসা
special compensatory allownce,বিশেষক্ষতিপূরণভাতা
special drive,বিশেষঅভিযান/উদ্যোগ
special grant,বিশেষঅনুদান
special messanger,বিশেষবার্তাবাহক
special pay,বিশেষবেতন
special power of attorney,বিশেষমোক্তারনামা/ওকালতনামা
special protection group (SPG),বিশেষসুরক্ষাগোষ্ঠী/দল
specialist,বিশেষজ্ঞ
specialization,বিশেষজ্ঞতা
specific,"নির্দিষ্ট, বিনির্দিষ্ট"
specific denial,স্পষ্টখণ্ডন/অস্বীকার
specific reason,নির্দিষ্টকারণ
specification,"বিনির্দেশ, নির্দিষ্টবিবরণ"
specimen signature,নমুনাস্বাক্ষর
speculation,"অনুমান, পরিকল্পনা"
speech,"ভাষণ, বাক"
speed,"গতি, দ্রুততা, শীঘ্রতা"
speed breaker,গতিরোধক
speed limit,গতিসীমা
speed post,দ্রুতগামীপত্র
speedy action,দ্রুতপদক্ষেপ
sphere,ক্ষেত্র
spiral binding,ঘূর্ণায়মানআবন্ধন
split duty,বিভাজিতদ্বায়িত্ব
spokesman (=spokes person),প্রবক্তা
sponsor,"পোষক, পোষণকরা"
sponsorship,পোষকতা
spot inspection,"স্থলপরীক্ষা, সরেজমিনপরীক্ষা"
spot payment,"স্থলপরিশোধ, সরেজমিনপরিশোধ"
spouse,"স্বামীবাস্ত্রী, বিবাহিত"
squad,"দল, স্কোয়াড"
stability,"স্থিরতা, স্থায়িত্ব"
staff,কর্মচারী
staff association,কর্মচারীসংঘ
staff inspection unit (SIU),কর্মচারীনিরীক্ষণএকক
staff quarter,কর্মীআবাস
staff room,কর্মচারীকক্ষ
staff welfare fund,কর্মচারীকল্যাণনিধি
stage,"স্তর, পর্যায়, মঞ্চ"
stagnation,গতিরোধ
stake,অংশীদারী
stalemate,গতিঅবরোধ
stamp,"ডাকটিকিট, সিলমোহর, মুদ্রা, ছাপ"
stamp duty,মুদ্রাঙ্কশুল্ক
stamp pad,সিলমোহরপ্যাড
stamp paper,মুদ্রাঙ্কিতকাগজ
stamped envelope,টিকিটসংলগ্নখাম
stand,"অবস্থান, বাসস্ট্যান্ড, ঘাট"
standard,আদর্শ/মান্য
standard agreement,আদর্শ/মান্যচুক্তি
standard deduction,আদর্শ/মান্যব্যবকলন
standard format,আদর্শ/মান্যসংরূপ
standard man-hours,আদর্শশ্রমঘন্টা
standard of living,জীবনযাপনেরমান
standard performance,আদর্শকাজকর্ম
standard rate,আদর্শহার/মূল্য
standardization,"মান-সমীকরণ, প্রমিতকরণ"
standby arrangement,আপাতউপযোগীব্যবস্থা
standing,স্থায়ী
standing commission,স্থায়ীআয়োগ/কমিশন
standing committee,স্থায়ীসমিতি
standing order,স্থায়ীআদেশ
standstill,থেমেযাওয়া
starred,তারাঙ্কিত
starred question,তারাঙ্কিতপ্রশ্ন
starter,আরম্ভক
starting salary,আরম্ভিকবেতন
state,"রাজ্য, অঙ্গরাজ্য, রাষ্ট্র, স্থিতি, অবস্থা"
state banquet,"সরকারিভোজ, রাজভোজ"
state government,রাজ্যসরকার
state guest,রাজকীয়অতিথি
state list,রাজ্যসূচি
state of health,স্বাস্থ্যঅবস্থা/স্থিতি
statement,প্রতিবেদন
statement of account,লেখাবিবরণ
statement of facts,তথ্যপ্রতিবেদন
statesman,"রাজপুরুষ, সম্মানিতরাজব্যক্তিত্ব"
static,স্থির
station,"কেন্দ্র, স্টেশন"
station leave,স্টেশনত্যাগেরঅনুমতি
stationary stock,"সামগ্রীমজুত, উপকরণমজুত"
stationery,"সামগ্রী, উপকরণ"
statistical,পরিসংখ্যানসংক্রান্ত
statistical data,পরিসংখ্যানতথ্য/বিবরণ
statistics,"পরিসংখ্যান, রাশিবিজ্ঞান"
status,"প্রতিষ্ঠা, মর্যাদা"
status quo,স্থিতাবস্থা
status report,স্থিতিপ্রতিবেদন
status symbol,প্রতিষ্ঠাপ্রতীক
statute,"বিধিবদ্ধ, বিধিনিয়ম"
statutory,বিধিবদ্ধ
statutory body,বিধিবদ্ধসংস্থা
statutory holiday,বিধিবদ্ধছুটি
statutory rights,বিধিবদ্ধঅধিকার
stay,"স্থগিতাদেশ, থামানো, বন্ধকরণ, থাকা"
STD (subsriber trunk dialling),এসটিডি
steady growth,সততবৃদ্ধি
steep increase,তীব্রবৃদ্ধি
steering committee,পরিচালনসমিতি
stenography,"লঘুলিপি, সাঁটলিপি"
sterilization,"অনুর্বরীকরণ, বন্ধ্যকরণ"
stern action,কঠোরপদক্ষেপ
stigma,"লাঞ্ছনা, কলঙ্ক"
stimulation,উদ্দীপন
stipend,"বৃত্তি, বেতন"
stipulate,অনুবন্ধকরা
stipulated time limit,অনুবন্ধিতসময়সীমা
stipulation,শর্ত
stock,"মজুত, সংভার"
stock register,"মজুতবই, সংভারবই"
stock valuation,মজুতসামগ্রীরমূল্যায়ণ
stock-taking,মজুতসমীক্ষা
stopgap arrangement,অন্তর্বর্তীকালীনব্যবস্থা
storage,গুদামজাতকরণ
storage capacity,ধারণক্ষমতা
storage space,মজুতেরস্থান/জায়গা
store,ভাণ্ডার
straight,"সোজা, সরল, স্পষ্ট"
strain,"ভার, চাপ"
strange,"অপরিচিত, বিচিত্র"
stranger,অপরিচিতব্যক্তি
strata,স্তর
strategy,"কৌশল, রণনীতি"
stratification,স্তরণ
streamline,সুপ্রবাহীকরা
strength,"সামর্থ্য, শক্তি"
strengthen,"মজবুতকরা, শক্তিশালীকরা"
strenuous,শ্রমসাধ্য
stress,"ভার, চাপ"
stress management,ভারপ্রবন্ধন
strict,"কড়া, কঠোর"
strictly,কঠোরভাবে
strictness,কঠোরতা
stricture,অবক্ষেপ
strike,"ধর্মঘট, আঘাতকরা, কেটেদেওয়া"
strike call,ধর্মঘটের/হরতালেরআহবান
stringency,"কঠোরতা, কড়ামনোভাব"
strip,পট্টি
strive,প্রয়াসকরা
strong room,সুরক্ষিতকক্ষ
structural,"গঠনগত, কাঠামোগত"
structure,"গঠন, কাঠামো"
structured interview,সংরচিতসাক্ষাৎকার
structured pay,সংরচিতবেতন
struggle,"সংগ্রাম, সংঘর্ষ"
stubborn,"জেদ, একগুয়ে"
studios,"পাঠাসক্ত, অধ্যয়নশীল"
study,অধ্যয়ন
study leave,শিক্ষাছুটি
stuff,সামগ্রী
stupendous,"বিস্ময়কর, বৃহৎ, ভারী"
style,"শৈলী, ঢং"
sub (subordinate),অধস্তন
sub sub-paragraph,উপউপঅনুচ্ছেদ
sub-committee,উপ-সমিতি
sub-contract,উপ-চুক্তি/ঠিকা
sub-district,উপ-জেলা
sub-division,"মহকুমা, উপবিষয়"
sub-head,"অনুশীর্ষ, অনুখাত"
subject,"বিষয়, প্রজা"
subjective,"আত্মনিষ্ঠ, বিষয়নিষ্ঠ, ব্যক্তিক"
subjudice,"বিচারাধীন, বিচারাপেক্ষ"
sublease,"দর-ইজারাদেওয়া, দরপাট্টাদেওয়া, বর্গাদেওয়া"
subletting,উপভাড়াটে
submission,"নিবেদন, মানা, স্বীকারকরা, জমাদেওয়া"
submissive,"বিনীত, বিনম্র"
subordinate office,অধস্তনকার্যালয়
subordinate services,অধীনস্তসেবা/পরিষেবা
subordinate staff,অধস্তনকর্মচারী
subparagraph,উপঅনুচ্ছেদ
subrule,উপনিয়ম
subscribe,"চাঁদাদেওয়া, গ্রাহকহওয়া, সহমতহওয়া"
subscribed capital,অভিদত্তপুঞ্জি
subscriber,"গ্রাহক, হস্তাক্ষরদাতা"
subscription,"অভিদান, চাঁদা"
subsection,"উপধারা, উপবিভাগ"
subsequent,"পরবর্তী, উত্তরকালীন"
subsequent action,পরবর্তীপদক্ষেপ
subsequently,উত্তরকালীন
subsidiary,"গৌণ, সহায়ক"
subsidiary bodies,উপসংস্থা
subsidiary industry,সহায়ক/উপশিল্প
subsidiary mandate,সম্পূরকআদেশ
subsidiary receipt,সহায়করসিদ
subsidiary register,সহায়করেজিস্টার/খাতা
subsidise,"সরকারেরআর্থিকসহায়তাদান, ভর্তুকিদান"
subsidised,"আর্থিকসহায়তাদান, ভর্তুকিদান"
subsidized accommodation,সহায়তাপ্রাপ্তআবাস
subsidy,"সহায়ক, ভর্তুকি"
subsistence,"বিদ্যমানতা, অস্তিত্ব, নির্বাহ"
subsistence allowance,খোরাকি
subsistence grant,নির্বাহঅনুদান
substandard,নিম্নমান
substantial,"বাস্তবিক, প্রকৃত, প্রকৃতঅস্তিত্বপূর্ণ, দেহী"
substantiate,"সিদ্ধকরা, প্রমাণকরা, বাস্তবায়িতকরা"
substantive,"অস্তিত্বব্যঞ্জক, স্বতন্ত্র, মূল"
substantive pay,মূলপদবেতন
substantive post,মূলপদ
substitute,"বিকল্প, পরিবর্ত, প্রতিস্থাপন"
substitution,"বিকল্প, পরিবর্ত, প্রতিস্থাপনকরা"
suburban,"উপনগরীয়, শহরতলী"
subvention,সরকারিঅর্থসাহায্য
subversion,"ধ্বংস, পরাভব"
subway,"ভূগর্ভস্থপথ, পাতালপথ"
succeeding,উত্তরবর্তী
succession,"উত্তরাধিকার, পারম্পর্য, পর্যায়"
successive,"পরম্পরাগত, ধারাবাহিক"
successor,"উত্তরাধিকারী, উত্তরবর্তী"
succour,"(সংকটে/দুর্দশাদিতে)সাহায্য, উদ্ধার"
sue,"মামলাআনা, নালিশকরা"
suffer,"সহ্যকরা, পীড়িতহওয়া"
suffering,"শাস্তি, যন্ত্রণাপ্রভৃতিভোগ"
sufficient,পর্যাপ্ত
suffix,"পরপ্রত্যয়, পরসর্গ, অন্তেযুক্তহয়এমন"
suffrage,ভোটাধিকার
suggestion,"প্রস্তাব, ইঙ্গিত, ব্যঞ্জনা"
suggestion box,প্রস্তাববাক্স
suggestions book,প্রস্তাবপুস্তিকা
suggestive,"ইঙ্গিতময়, ব্যঞ্জনাময়"
suicide,"আত্মহত্যা, আত্মহনন"
suit,"মামলা, মকদ্দমা"
suitability,"উপযুক্ততা, ঔচিত্য"
suitable action,উপযুক্তপদক্ষেপ
suited,উপযুক্ত
sum,"রাশি, যোগফল, জোড়"
sum up,সমাহারকরা
summarily,"সংক্ষেপে, সরাসরিভাবে"
summary,"সংক্ষিপ্তসার, সারসংক্ষেপ, চুম্বক"
summary trial,সরাসরিবিচার
summing up,"উপসংহার, সমাহার"
summit,শিখরসম্মেলন
summon,"আহবানপত্র, সমন, ডেকেপাঠানো"
sumptuary allowance,ব্যয়ভাতা
sundry,"বিবিধ, রকমারি"
suo moto,স্বতঃপ্রবৃত্ত
super timescale,অধিসময়মান
superannuation,অবসরগ্রহণ
superannuation pension,অবসরভাতা/পেনশন
superficial,উপরিতল/ভাসাভাসা
superfluous,"অনাবশ্যক, প্রয়োজনাতিরিক্ত"
superimpose,প্রত্যারোপকরা
superior,"সেরা, উচ্চ, ঊর্দ্ধতন, উপরওয়ালা"
superiority,শ্রেষ্ঠতা
supernumerary,সংখ্যাতিরিক্ত
supernumerary post,সংখ্যাতিরিক্তপদ
superscribe,উপরোল্লিখিত
superscription,উপরোল্লিখন
supersede,অতিক্রমকরা
supersession,"রহিতকরা, বাতিলকরা, অতিক্রমণ"
superstructure,"অধিকাঠামো, উপরতল"
supertax,অধিকর
supervision,"পর্যবেক্ষণ, অবেক্ষণ, তত্ত্বাবধান"
supervisor,"পর্যবেক্ষক, অবেক্ষক, তত্ত্বাবধায়ক"
supervisory staff,তত্ত্বাবধানকর্মী
supplement,"ক্রোড়পত্র, পূরণ, সম্পূরণ, অনুপূরণ"
supplementary,"অনুপূরক, অতিরিক্ত"
supplementary budget,অনুপূরকআয়ব্যয়ক
supplementary cost,অনুপূরকব্যয়
supplementary demand,অনুপূরকচাহিদা/দাবি
supplementary grant,অনুপূরকঅনুদান
supplementary question,অনুপূরক/অতিরিক্তপ্রশ্ন
supplementary rules,অনুপূরক/অতিরিক্তনিয়মাবলী
supplier,"সরবরাহকারী, জোগানদার"
supply,"সরবরাহ, জোগান"
support,"সমর্থন, অবলম্বন, সহায়তা"
supporter,"সমর্থক, সহায়ক"
supporting documents,সমর্থকদস্তাবেজ
suppress,"দমনকরা, গোপনকরা"
supremacy,সর্বোচ্চতা
supreme,"উচ্চতম, সর্বোচ্চ"
surcharge,"অধিকর, অধিভার"
surety,"জামিন, প্রতিভূ"
surety bond,"জামিন, মুচলেকা"
surface inspection,ভূতলনিরীক্ষণ
surface transport,ভূতলপরিবহণ
surgery,শল্যচিকিৎসা
surname,"বংশনাম, পদবী"
surplus,"উদবৃত্ত, বাড়তি"
surplus budget,উদবৃত্তআয়ব্যয়ক
surplus report,উদবৃত্তপ্রতিবেদন
surplus staff,উদবৃত্তকর্মী
surprise check,আকস্মিকনিরীক্ষণ
surprise visit,আকস্মিকপরিভ্রমণ
surrender,"সমর্পণ, ত্যাগ, আত্মসমর্পণ"
surroundings,"পরিপার্শ্ব, পরিবেষ্টন"
surtax,উপরিকর
surveillance,নজরদারি
survey,"সমীক্ষা, জরিপ, পরিমাপ"
survey report,সমীক্ষাপ্রতিবেদন
survival,"উদ্বর্তন, উত্তরজীবী"
surviving,"উত্তরজীবী, অবশিষ্ট"
survivor,উত্তরজীবী
susceptibility,"সংবেদনশীলতা, সুগ্রাহীতা"
suspect,সন্দেহভাজন
suspend,"নিলম্বিতকরা, নিষ্ক্রিয়ণ, সাময়িককর্মচ্যুতকরা"
suspense,"উৎকন্ঠাপূর্ণ, অনিশ্চয়তা"
suspense account,নিলম্বিতহিসাব
suspension,"নিলম্বন, নিষ্ক্রিয়ণ, সাময়িকবরখাস্ত"
suspension order,নিলম্বনআদেশ
suspicion,"সন্দেহ, অবিশ্বাস"
sustainable,"ধারণকরেরাখা, ধরেরাখা, অব্যাহত"
sustainable growth,অব্যাহতবৃদ্ধি
sustained,অব্যাহত
swear,শপথকরা
swearing-in-ceremony,শপথগ্রহণঅনুষ্ঠান
syllabus,"সারসংক্ষেপবানির্ঘণ্ট, পাঠ্যসূচি"
symbol,"প্রতীক, সংকেত, চিহ্ন"
symmetry,প্রতিসাম্য
sympathy,"সমবেদনা, সহানুভূতি"
sympathy strike,সমবেদনাজনিতধর্মঘট
symposium,আলোচনাচক্র
symptom,লক্ষণ
synchronise,সমলয়করা
synopsis,"সার, সার-বিবরণ"
synthesis,সংশ্লেষ
synthetic,"সংশ্লেষী, কৃত্রিম"
system,"ব্যবস্থা, পদ্ধতি, প্রণালী"
systematic,"রীতিবদ্ধ, প্রণালীবদ্ধ, যথাপ্রণালী"
systematic work,প্রণালীবদ্ধকাজ/কর্ম
systems analysis,তন্ত্রবিশ্লেষণ
tab folder,ট্যাবফোল্ডার
table,"সারণী, তালিকা"
table of contents,বিষয়সারণী
table of the house,সদনসত্র
tableau,মনেরউপরেস্পষ্টছবিরন্যায়ছাপ
tabular,সারণী
tabulated statement,সারণীবদ্ধবিবরণ
tabulation,সারণীবন্ধন
tabulator,সারণীকর্তা
tackle,"যন্ত্রপাতি, কলকব্জা, সাজসরঞ্জাম"
tact,পরেরমনবুঝেচলারক্ষমতা
tactful,কৌশলী
tactic,"কর্মাদিসাধনেরকৌশল, কৌশলীপন্থা"
tag,নথ
take home pay,হাতেপাওয়াবেতন
take over,কার্যভারগ্রহণ
talent search,মেধাঅন্বেষণ
talented,স্বাভাবিকসহজাতবাবিশেষকর্মদক্ষতাসম্পন্ন
tally,"মেলক, মিল"
tally card,মিলপত্র
tampering,"বিকৃতকরা, নষ্টকরা, হের-ফেরকরা"
tangible,"মূর্ত, বাস্তব, শরীরী"
tangible asset,বাস্তবসম্পদ
tape,ফিতা
tapping,আড়িপাতা
tardiness,"শিথিলতা, আলস্য"
target,"লক্ষ্য, নিশানা"
target date,উদ্দিষ্টতারিখ
tariff,"মাশুল, শুল্ক"
tarnish,"কালিমালিপ্তকরা, কলঙ্কিতকরা"
task,কার্য
task force,বিশেষকার্যসাধনগোষ্ঠী
tax,কর
tax abatement,করঅবসান
tax adjustment,করসমন্বয়ন
tax assessment,করনির্ধারণ
tax avoidance (tax loophole),করপরিহার
tax consultant,আয়করপরামর্শদাতা
tax declaration,করঘোষণা
tax deducted at source,আয়েরউৎসথেকেকরব্যবকলন/বাদ
tax deduction,করব্যবকলন/বাদ
tax evasion,করএড়ানো
tax exemption,করছাড়
tax free,করমুক্ত
tax payer,করদাতা
tax rebate,করহ্রাস
tax return,আয়করবিবরণ
tax schedule,আয়করঅনুসূচি
taxable,করযোগ্য
taxable income,করযোগ্যআয়
taxation,করারোপ
team spirit,দলগতভাবনা/উদ্দীপনা
team work,দলগতকর্ম
tear gas,কাঁদানেগ্যাস
technical,"প্রকরণগত, প্রায়োগিক"
technical advice,প্রায়োগিকপরামর্শ/উপদেশ
technical college,প্রায়োগিককলেজ
technical data,প্রায়োগিকতথ্য
technical post,প্রায়োগিকপদ
technical qualification,প্রায়োগিকযোগ্যতা
technical skill,প্রায়োগিকদক্ষতা
technical term,প্রায়োগিকপর্ব/পরিভাষা
technical training,প্রায়োগিকপ্রশিক্ষণ
technician,"যন্ত্রবিদ, প্রয়োগকুশলী"
technique,"প্রয়োগকৌশল, কলাকৌশল"
technocracy,পরিচালনা
technocrat,প্রযুক্তিবিদ
technological,"প্রাযুক্তিক, প্রায়োগিক, প্রকৌশলগত"
technologist,"প্রযুক্তিবিদ, প্রকৌশলী"
technology,"প্রযুক্তিবিদ্যা, প্রকৌশল"
telebanking,টেলিফোনযোগেব্যাঙ্কিংপরিষেবা
telegram,তারবার্তা
telegraphic address,তারঠিকানা
telegraphy,তারসঞ্চার
teleprinter message,দূরমুদ্রকবার্তা
television,দূরদর্শন
teleworking,টেলিফোনেরমাধ্যমেকার্যসাধন
telex,তারবার্তাপ্রেরণেরউপায়বিশেষ
teller,"কথক, গণনাকারী, খাজাঞ্চি"
temper,"মেজাজ, স্বভাব"
temperament,শারীরিকবামানসিকধাত/মেজাজ/স্বভাব
temperamental,মেজাজী
temperature,তাপমাত্রা
tempo,"গতি, টেম্পোগাড়ি"
temporary,"অস্থায়ী, সাময়িক"
temporary advance,অস্থায়ীঅগ্রিম
temporary appointment,অস্থায়ীনিয়োগ
temporary disability,অস্থায়ীঅপারগতা/অক্ষ্মতা
temporary post,অস্থায়ীপদ
temporary restriction,অস্থায়ীনিষেধাজ্ঞা/বাধা
temporary vacancy,অস্থায়ীশূন্যপদ
temptation,প্রলোভন
tenable,মান্য
tenacity,"দৃঢ়তা, মনোযোগ"
tenancy,প্রজাস্বত্ব
tenant,"প্রজা, ভাড়াটে"
tendency,"প্রবণতা, প্রবৃত্তি, ঝোঁক"
tender,"দরপত্র, মূল্যজ্ঞাপন, টেন্ডার"
tender box,দরপত্রবাক্স
tender notice,দরপত্রবিজ্ঞপ্তি
tenderer,দরপত্রদাতা
tentative,উপস্থিতমতো
tenure,"মেয়াদ, মধ্যস্বত্ব"
tenure of land,পাট্টাদারীকাল
tenure of office,পদধারণঅবধি
tenure of post,পদকাল
tenure of work,"কার্যকাল, কর্মজীবন"
tenure post,মেয়াদীপদ
term,"শর্ত, অভিধা, পরিভাষা, পদ, রাশি, সংখ্যা, নাম"
term loan,মেয়াদীঋণ
term of office,"পদেরমেয়াদ, কার্যকাল"
terminable,"সমাপ্য, সমাপনীয়"
terminal (report etc.),প্রান্তীয়প্রতিবেদন
terminal tax,সীমাকর
termination,অবসান
termination clause,অবসানবিধি
termination notice,অবসানবিজ্ঞপ্তি
termination of service,সেবাঅবসান
terminology,পারিভাষিকশব্দ
terms,"শর্ত, সম্বন্ধ"
terms and conditions,শর্তাবলী
terms of delivery,বিলির/অর্পণেরশর্ত
terms of reference,বিচার্যবিষয়
terms of service,চাকরিরশর্ত
territory,"রাজ্যক্ষেত্র, অঞ্চল"
terror,সন্ত্রাস
terrorism,সন্ত্রাসবাদ
terrorist,সন্ত্রাসবাদী
tertiary benefit,তৃতীয়সুবিধা
test,"পরীক্ষা, অভীক্ষা"
test charge,পরীক্ষণব্যয়/খরচ
test check,নমুনাপরীক্ষণ
testament,"সাক্ষ্য, শেষইচ্ছাপত্র, উইল"
tester,পরীক্ষক
testify,সাক্ষ্যদেওয়া
testimonial,"প্রশংসাপত্র, শংসাপত্র"
testimony,"সাক্ষ্য, পরিসাক্ষ্য"
testing report,পরীক্ষণপ্রতিবেদন/রিপোর্ট
text,"মূলপাঠ, মূল"
thankful,কৃতজ্ঞ
theme,বিষয়বস্তু
therapy,চিকিৎসা
third party,"অন্যপক্ষ, তৃতীয়পক্ষ"
thoroughly,পূর্ণায়ত
thoughtful,বিচারশীল
threat,আশঙ্কা
thrift,মিতব্যয়
through,"দ্বারা, মধ্যমে, সোজা, পারগামী"
throw out,"অস্বীকারকরা, ফেলেদেওয়া"
thumb impression,টিপসই
thumping majority,"অনেকবহুমত, অনেকভোটে"
ticket,টিকিট
tie,"বাঁধা, জোট"
tied loan,নিবদ্ধঋণ
tier,"স্তর, পদশ্রেণী"
tilt,ঝোঁকা
time,"সময়, কাল"
time allowed,অনুমতসময়
time barred,তামাদি
time bound,সময়বদ্ধ
time card,সময়কার্ড/পত্র
time deposit (=fixed deposit),মেয়াদীজমা
time keeping,সময়পালন
