ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
shorthand,ಶೀಘ್ರಲಿಪಿ
shortlist,ಲಘುಪಟ್ಟಿ
show cause notice,ಕಾರಣ ಕೇಳುವ ಸೂಚನೆ
shut down,ಮುಚ್ಚು
sick industry,ರೋಗಗ್ರಸ್ತ ಉದ್ಯಮ
sick leave,ಕಾಯಿಲೆ ರಜೆ
sick report,ಕಾಯಿಲೆ ವರದಿ
sickness benefit,ಕಾಯಿಲೆ ಪ್ರಯೋಜನ
sign,"ಚಿಹ್ನೆ, ರುಜುಮಾಡು, ಗುರುತು"
signature,"ರುಜು, ಹಸ್ತಾಕ್ಷರ, ಸಹಿ"
signature campaign,ಸಹಿ ಚಳುವಳಿ
signature pad,ಸಹಿ ಪ್ಯಾಡು
significant,ಮಹತ್ವದ
signify,"ಸೂಚಿಸು, ತಿಳಿಯ ಪಡಿಸು, ಮಹತ್ವಪೂರ್ಣವಾಗಿರು"
similar,"ಸದೃಶ, ಒಂದೇರೀತಿಯ, ಸಮರೂಪದ"
simple interest,ಸರಳ ಬಡ್ಡಿ
simultaneous,"ಏಕಕಾಲದ, ಒಂದೇ ಸಮಯದ"
simultaneously,ಏಕಕಾಲದಲ್ಲಿ
sincere,"ಪ್ರಾಮಾಣಿಕ, ನಿಷ್ಠಾವಂತ"
sine die,ಅನಿರ್ದಿಪ್ಟಕಾಲ
sine qua non,"ಅತ್ಯಾವಶ್ಯಕ, ಅನಿವಾರ್ಯ"
single entry system,"ಏಕ ದಾಖಲೆ ಪದ್ದತಿ, ಏಕ ಗವಾಕ್ಷ ಕ್ರಮ, ಒಂದೇ ಪ್ರದೇಶಕ್ರಮ"
single fare,"ಒಂದು ಕಡೆ ಪ್ರಯಾಣಧರ, ವೆಚ್ಚ"
single file system,ಏಕ ಕಡತ ಪದ್ಧತಿ
sir,"ಸ್ವಾಮಿ, ಒಡೆಯ"
site,ನಿವೇಶನ
site plan,ನಿವೇಶನದ ನಕ್ಷೆ
sitting member,"ಹಾಲಿ ಸದಸ್ಯ, ಆಸೀನ ಸದಸ್ಯ"
situation,"ಸನ್ನಿವೇಶ, ಪರಿಸ್ಥಿತಿ"
situations vacant,ಖಾಲಿ ಇರುವ ಸ್ಥಾನಗಳು
situations wanted,ಬೇಕಾಗಿರುವ ಸ್ಥಾನಗಳು
skeleton staff,ಅತ್ಯಲ್ಪ ಸಿಬ್ಬಂದಿ
skilled labourer,ಕುಶಲಕಾರ್ಮಿಕ
slack season,ಶಿಥಿಲ ಕಾಲಮಾನ
slackness,ಶಿಥಿಲತೆ
slander,"ನಿಂದೆ, ಅಪಮಾನ"
sleeper class,ಶಯನ ಶ್ರೇಣಿ
sliding scale,ಸರಿದಾಡುವ ವೇತನಶ್ರೇಣಿ
slip,ಚೀಟಿ
slow down,ನಿಧಾನ ಮಾಡು
slum,"ಕೊಳೆಗೇರಿ, ಕೊಳಚೆಪ್ರದೇಶ"
slump,ಕುಸಿತ
small savings fund,ಸಣ್ಣ ಉಳಿತಾಯನಿಧಿ
small scale enterprise,ಸಣ್ಣ ಪ್ರಮಾಣದ ಉದ್ಯಮ
small scale industry,ಸಣ್ಣ ಪ್ರಮಾಣದ ಕೈಗಾರಿಕೆ
smartness,"ಚುರುಕುತನ, ಚತುರತೆ, ನಾಜೂಕುತನ"
smooth,ನಯವಾದ
snap inspection,"ದಿಢೀರ್ ತನಿಖೆ, ಅನಿರೀಕ್ಷಿತ ತನಿಖೆ"
snap strike,ದಿಢೀರ್ಮುಷ್ಕರ
social security,ಸಾಮಾಜಿಕ ಭದ್ರತೆ
social welfare,ಕುಟುಂಬ ಕಲ್ಯಾಣ
sodiarity,ಏಕತೆ
software,"ಸಾಫ್ಟ್ ವೇರ್, ತಂತ್ರಾಂಶ"
sojourn,"ತಂಗು, ವಸತಿ ಮಾಡು"
sole,ಏಕೈಕ
sole agency,ಏಕೈಕ ಕಾರ್ಯಭಾರ
sole owner,ಏಕಮಾತ್ರ ಒಡೆಯ
solemn,ಶ್ರದ್ಧಾ ಪೂರ್ವಕ
solemn affirmation,ಶ್ರದ್ಧಾ ಪೂರ್ವಕ ದೃಢೀಕರಣ
solemnity,"ಸತ್ಯನಿಷ್ಠೆ, ಗಾಂಭೀರ್ಯ"
solemnize,"ಅನುಷ್ಠಾಪಿಸುವುದು, ವಿಧಿವತ್ತಾಗಿ ನೆರವೇರಿಸುವುದು"
solemnly,"ಶ್ರದ್ಧಾ ಪೂರ್ವಕವಾಗಿ, ನಿಷ್ಠೆಪೂರ್ವಕ"
solicit,"ಪ್ರಾರ್ಥಿಸು, ಕೋರು, ಬೇಡು, ಆಹ್ವಾನಿಸು, ವಿನಂತಿಸು"
solitary,"ಏಕಮಾತ್ರ, ಏಕಾಕಿ, ಒಂಟಿಗ"
solitary case,ಏಕೈಕ ಪ್ರಕರಣ
solution,"ಪರಿಹಾರ, ದ್ರಾವಣ, ಸಮಾಧಾನ"
solve,"ಬಿಡಿಸು, ಪರಿಹರಿಸು"
sorting,ವಿಂಗಡಿಸು
sorting appliance,ವಿಂಗಡಣೆಯ ಸಾಧನೆ
source,ಮೂಲ
source of income,ಆದಾಯದ ಮೂಲ
souvenir,ಸ್ಮರಣ ಸಂಚಿಕೆ
sovereign,ಸಾರ್ವಭೌಮ
sovereignty,ಸಾರ್ವ ಭೌಮತ್ವ
space,"ಜಾಗ, ಅವಕಾಶ, ಬಾಹ್ಯಾಕಾಶ"
spacing,ಜಾಗ ಬಿಡುವುದು
spade work,ಪ್ರಾರಂಭಿಕ ಕಾರ್ಯ
spare,"ಉಳಿಸು, ರಕ್ಷಿಸು, ಬಿಡಿ"
spare copy,ಹೆಚ್ಚಿನ ಪ್ರತಿ
spare time,ಬಿಡುವಿನ ವೇಳೆ
speaker,"ಸಭಾಪತಿ, ಭಾಷಣಕಾರ"
special,ವಿಶೇಷ
special ability test,ವಿಶೇಷ ಯೋಗ್ಯತಾ ಪರೀಕ್ಷೆ
special allowance,ವಿಶೇಷ ಭತ್ಯೆ
special cell,ವಿಶೇಷ ಘಟಕ
special commendation,ವಿಶೇಷ ಪ್ರಶಂಸೆ
special compensatory allownce,ವಿಶೇಷ ಪರಿಹಾರ ಭತ್ಯೆ
special drive,"ವಿಶೇಷ ಆಂದೋಲನ, ವಿಶೇಷ ಏರ್ಪಾಟು"
special grant,ವಿಶೇಷ ಅನುದಾನ
special messanger,"ವಿಶೇಷ ಸಂದೇಶವಾಹಕ, ವಿಶೇಷದೂತ"
special pay,ವಿಶೇಷ ವೇತನ
special power of attorney,ನ್ಯಾಯವಾದಿಯ ವಿಶೇಷ ಅಧಿಕಾರ
special protection group (SPG),ವಿಶೇಷ ರಕ್ಷಣಾದಳ
specialist,"ತಜ್ಞ, ಪ್ರವೀಣ"
specialization,"ತಜ್ಞತೆ, ಪ್ರಾವೀಣ್ಯ"
specific,ನಿರ್ದಿಷ್ಟ
specific denial,ನಿರ್ದಿಷ್ಟ ನಿರಾಕರಣೆ
specific reason,ನಿರ್ದಿಷ್ಟ ಕಾರಣ
specification,"ವಿಶಿಷ್ಟ ವಿವರಣೆ, ತಪಶೀಲು"
specimen signature,ಮಾದರಿ ಸಹಿ
speculation,"ಕಲ್ಪನೆ, ಊಹಾಪೋಹ"
speech,"ಭಾಷಣ, ಮಾತು, ವಾಚಾ"
speed,ವೇಗ
speed breaker,ವೇಗ ನಿರೋಧಕ
speed limit,ವೇಗದ ಮಿತಿ
speed post,ಶೀಘ್ರ ಅಂಚೆ
speedy action,ಶೀಘ್ರ ಕ್ರಮ
sphere,ವಲಯ
spiral binding,ಸುರುಳಿ ರಕ್ಷಾಕವಚ
split duty,ವಿಭಜಿತ ಕರ್ತವ್ಯಕಾಲ
spokesman (=spokes person),ವಕ್ತಾರ
sponsor,ಪ್ರಾಯೋಜನೆ
sponsorship,ಪ್ರಾಯೋಜಕತ್ವ
spot inspection,ಸ್ಥಳ ಪರಿಶೀಲನೆ
spot payment,ಸ್ಥಳದಲ್ಲೇ ಪಾವತಿ ಮಾಡುವುದು
spouse,"ಗಂಡ, ಹೆಂಡತಿ/ಪತಿ, ಪತ್ನಿ, ಸ್ವದಾರ"
squad,"ಸಣ್ಣತಂಡ, ತುಕಡಿದಳ"
stability,"ಸ್ಥಿರತೆ, ದೃಢತೆ, ಭದ್ರತೆ"
staff,"ಸಿಬ್ಬಂದಿ ವರ್ಗ, ಸಿಬ್ಬಂದಿ"
staff association,ನೌಕರರ ಸಂಘ
staff inspection unit (SIU),ಸಿಬ್ಬಂದಿ ತನಿಖಾ ಘಟಕ
staff quarter,ಸಿಬ್ಬಂದಿ ವಸತಿ
staff room,ಸಿಬ್ಬಂದಿ ಕೊಠಡಿ
staff welfare fund,ಸಿಬ್ಬಂದಿ ಕ್ಷೇಮಾಭಿವೃದ್ಧಿ ನಿಧಿ
stage,"ಹಂತ, ಮೆಟ್ಟಲು, ಮಜಲು, ಘಟ್ಟ, ರಂಗಭೂಮಿ, ರಂಗಸ್ಥಳ, ಸ್ಥಿತಿ, ಅವಸ್ಥೆ, ನಿಲ್ದಾಣ, ಪ್ರದರ್ಶಿಸು, ಸಾದರಪಡಿಸು"
stagnation,ಸ್ಧಗಿತ ವೇತನ
stake,"ಪಣ, ಬಾಜಿ, ಬಾಜಿಕಟ್ಟು"
stalemate,ಇಕ್ಕಟ್ಟಿನ ಸ್ಥಿತಿ
stamp,"ಸ್ವಾಂಪ್, ಅಂಚೆ ಚೀಟಿ"
stamp duty,"ಮುದ್ರಾಂಕನ ತೆರಿಗೆಗಳು, ಶುಲ್ಕಗಳು"
stamp pad,ಸ್ಟಾಂಪ್ ಪ್ಯಾಡ್
stamp paper,"ಮುದ್ರಾಂಕಿತ ಕಾಗದ, ಸ್ಟಾಂಪ್ ಕಾಗದ"
stamped envelope,ಮುದ್ರಾಂಕಿತ ಲಕ್ಕೋಟೆ
stand,"ನಿಲ್ದಾಣ, ಉಮೇದುವಾರನಾಗು, ಚುನಾವಣೆಗೆ ನಿಲ್ಲು, ಅಭ್ಯರ್ಥಿಯಾಗು, ಪಕ್ಷ"
standard agreement,ಪ್ರಮಾಣೀಕೃತ ಒಪ್ಪಂದ
standard deduction,ಪ್ರಮಾಣೀಕೃತ ಕಡಿತ
standard format,ಪ್ರಮಾಣೀಕೃತ ಪ್ರಾರೂಪ
standard man-hours,"ಪ್ರಮಾಣೀಕೃತ ಕೆಲಸದ, ಗಂಟೆಗಳು ಪ್ರಮಾಣೀಕೃತಶ್ರಮಾವಧಿ"
standard of living,ಜೀವನ ಮಟ್ಟ
standard performance,"ಉನ್ನತ ಮಟ್ಟದ ಆಚರಣೆ, ಪ್ರಮಾಣಿಕೃತ ಮಟ್ಟದ ಆಚರಣೆ"
standard rate,ಪ್ರಮಾಣ ಬದ್ಧ ದರ
standardization,"ಪ್ರಮಾಣೀಕರಿಸುವುದು, ಪ್ರಮಾಣಬದ್ಧಿಕರಣ"
standby arrangement,"ಬದಲಿ ವ್ಯವಸ್ಥೆ, ಬದಲಿ ಏರ್ಪಾಟು"
standing,"ಸ್ಥಾಯಿ, ಸ್ಥಾನ, ಅನುಭವ, ಬೆಳೆದುನಿಂತ"
standing commission,ಸ್ಥಾಯಿಆಯೋಗ
standing committee,ಸ್ಥಾಯಿಸಮ್ಮತಿ
standing order,ಸ್ಥಾಯಿ ಆದೇಶ
standstill,ಸ್ಥಿರವಾಗಿ ನಿಲ್ಲು
starred,ನಕ್ಷತ್ರದ ಗುರುತು ಹಾಕಿದ
starred question,ನಕ್ಷತ್ರಗುರುತಿನ ಪ್ರಶ್ನೆ
starter,ಪ್ರಾರಂಭಿಸುವವ
starting salary,ಆರಂಭ ವೇತನ
state,"ರಾಜ್ಯ, ಹೇಳು, ನಿರೂಪಿಸು, ಅವಸ್ಥೆ, ಸ್ಥಿತಿ"
state banquet,"ರಾಜ್ಯಭೋಜನಸಮಾರಂಭ, ಔತಣ ಕೂಟ"
state government,ರಾಜ್ಯ ಸರಕಾರ
state guest,ರಾಜ್ಯದ ಅತಿಥಿ
state list,ರಾಜ್ಯ ಪಟ್ಟಿ
state of health,ಆರೋಗ್ಯದ ಸ್ಥಿತಿ
statement,"ಹೇಳಿಕೆ, ನಿವರಪತ್ರ"
statement of account,ಲೆಕ್ಕಪತ್ರದ ವಿವರಣೆ
statement of facts,ವಾಸ್ತವಾಂಶಗಳ ವಿವರಣೆ
statesman,"ಮುತ್ಸದ್ದಿ, ಚಾಣಾಕ್ಷ, ಬುದ್ಧಿವಂತ"
static,"ಸ್ಥಿರ, ಸ್ಥಾಯಿಸ್ವಭಾವದ"
station,"ಸ್ಥಳ, ಠಾಣೆ, ನಿಲ್ದಾಣ"
station leave,ಸ್ಥಳ ಬಿಡಲು ಅನುಮತಿ
stationary stock,ಲೇಖನ ಸಾಮಗ್ರಿಗಳ ಸಂಗ್ರಹ
stationery,ಲೇಖನ ಸಾಮಗ್ರಿಗಳು
statistical,ಅಂಕಿ-ಅಂಶಗಳ
statistical data,ಅಂಕಿ-ಅಂಶಗಳ ವಿವರ
statistics,"ಅಂಕಿ ಅಂಶಗಳು, ಸಂಖ್ಯಾ ಪರಿಶೀಲನ ಶಾಸ್ತ್ರ"
status,"ಸ್ಥಾನ ಮಾನ, ಅಂತಸ್ತು, ದರ್ಜೆ"
status quo,"ಯಥಾ ಸ್ಥಿತಿ, ಇದ್ದಸ್ಥಿತಿ"
status report,"ಸ್ಥಿತಿಯ ಯಾದಿ, ಸ್ಥಿತಿಯವರದಿ"
status symbol,ಸ್ಥಿತಿ ಸಂಕೇತ
statutory,ಶಾಸನಬದ್ಧ
statutory body,ಶಾಸನ ಬದ್ಧ ನಿಕಾಯ
statutory holiday,ಶಾಸನ ಬದ್ಧ ರಜೆ
statutory rights,"ಶಾಸನಬದ್ಧ ಅಧಿಕಾರಗಳು, ಶಾಸನಬದ್ಧ ಹಕ್ಕುಗಳು"
stay,"ತಡೆ, ತಡೆಯಾಜ್ಞೆ, ನಿರೋಧ, ಆಸರೆ, ಆಧಾರ"
STD (subsriber trunk dialling),ಎಸ್ ಟಿ ಡಿ
steady growth,ಸ್ಥಿರವಾದ ಬೆಳವಣಿಗೆ
steep increase,ತೀವ್ರ ಹೆಚ್ಚಳ
steering committee,ಚಾಲನಾ ಸಮಿತಿ
stenography,ಶೀಘ್ರಲಿಪಿ
sterilization,"ಸಂತಾನ ಶಕ್ತಿಹರಣ, ಬಂಜೆಗೊಳಿಸುವುದು"
stern action,"ಕಠೋರ ಕ್ರಮ, ಉಗ್ರ ಕ್ರಮ"
stigma,"ಕಳಂಕ, ವ್ಯಾಧಿಯ ನಿರ್ದಿಷ್ಟ ಲಕ್ಷಣ, ಚಿಹ್ನೆ"
stimulation,"ಉದ್ದೀಪನಗೊಳಿಸುವುದು, ಉತ್ತೇಜನಗೊಳಿಸುವುದು, ಪ್ರಚೋದಿಸುವುದು, ಉದ್ರೇಕಿಸುವುದು"
stipend,"ಶಿಷ್ಯ ವೃತ್ತಿ, ಶಿಷ್ಯ ವೇತನ, ತರಬೇತಿ ಭತ್ಯೆ, ಸ್ಟೈಪೆಂಡ್"
stipulate,"ಷರತ್ತು ಹಾಕು, ವಿಧಿಸು, ನಿಗದಿಪಡಿಸು"
stipulated time limit,"ವಿಧಿಸಿದ ಸಮಯಾವಧಿ, ನಿಗದಿಪಡಿಸಿದ ಕಾಲಾವಧಿ"
stipulation,"ಷರತ್ತು, ವಿಧಿಸುವುದು"
stock,"ದಾಸ್ತಾನು ಸರಕು, ಸರಕು ಸಂಗ್ರಹ"
stock register,ದಾಸ್ತಾನು ರಿಜಿಸ್ಟರು
stock valuation,ದಾಸ್ತಾನು ಮೌಲ್ಯನಿರ್ಣಯ
stock-taking,ದಾಸ್ತಾನು ಜಡತಿ
stopgap arrangement,ಮಧ್ಯಂತರದ ಏರ್ಪಾಟು
storage,"ಉಗ್ರಾಣ, ಸಂಗ್ರಹಣೆ"
storage capacity,ಸಂಗ್ರಹಣಾ ಸಾಮರ್ಥ್ಯ
storage space,ಉಗ್ರಾಣದ ಸ್ಥಳಾವಕಾಶ
store,"ಭಂಡಾರ, ಮಾರಾಟ ಸ್ಥಳ, ಸಂಗ್ರಹಿಸು"
straight,"ನೇರವಾದ, ನಿಷ್ಕಪಟ, ಪ್ರಾಮಾಣಿಕ, ಋಜು ಸ್ವಭಾವದ"
strain,"ದಣಿವು, ಮಿತಿ ಮೀರಿದಂಡಿಸು, ವಿಷಮ, ವಿಕೃತ, ಹದಗೆಟ್ಟ"
strange,"ಅಪರೂಪ, ವಿರಳ, ವಿಚಿತ್ರ"
stranger,ಅಪರಿಚಿತ
strata,"ಹಂತ, ಮಟ್ಟ"
strategy,"ತಂತ್ರ, ವ್ಯೂಹ"
stratification,ಸ್ತರೀಕರಣ
streamline,ಸುವ್ಯವಸ್ಥಿತ ಗೊಳಿಸು
strength,"ಶಕ್ತಿ, ಬಲ, ಸಾಮರ್ಥ್ಯ, ತ್ರಾಣ, ತೀಕ್ಷ್ಣತೆ, ತಾಕತ್ತು"
strengthen,"ಶಕ್ತಿಯುತನಾಗಿ ಮಾಡು, ಬಲಗೊಳಿಸು, ಸಶಕ್ತಗೊಳಿಸು"
strenuous,"ಕಷ್ಟಕರ, ಪರಿಶ್ರಮದ, ಅವಿರತ"
stress,ಒತ್ತಡ
stress management,ಒತ್ತಡ ನಿರ್ವಹಣೆ
strict,"ಬಿಗಿಯಾದ, ಕಟ್ಟುನಿಚ್ಚಾದ, ಕರಾರುವಾಕ್ಕಿನ"
strictly,"ನಿಷ್ಕೃಷ್ಟವಾಗಿ ಹೇಳುವುದಾದರೆ, ಕರಾರುವಾಕ್ಕಾಗಿ ಹೇಳುವುದಾದರೆ"
strictness,"ನಿಷ್ಕೃಷ್ಟ, ಕರಾರು ಹಕ್ಕು"
stricture,"ಖಂಡನೆ, ಭರ್ತ್ಸನೆ"
strike,"ಮುಷ್ಕರ, ಸಂಪು, ಹೊಡೆ, ಏಟು ಕೊಡು, ಎರಗು"
strike call,ಮುಷ್ಕರದ ಕರೆ
stringency,"ಕಠೋರತೆ, ಮುಗ್ಗಟ್ಟು"
strip,ಪಟ್ಟಿ
strive,"ಪ್ರಯತ್ನಿಸು, ಹೆಣಗು"
strong room,"ಭದ್ರಕೋಣೆ, ಭೇದಿಸಲು ಅಸಾಧ್ಯವಾದ ಕೋಣೆ"
structural,"ರಚನಾತ್ಮಕ, ವಿನ್ಯಾಸದ"
structure,"ರಚನೆ, ನಿರ್ಮಿತಿ, ವಿನ್ಯಾಸ"
structured interview,ರೂಪಿತ ಸಂದರ್ಶನ
structured pay,ಸಂರಚಿತ ವೇತನ
struggle,"ಹೋರಾಟ, ಒದ್ದಾಟ"
stubborn,"ಹಟಮಾರಿ, ಜಗ್ಗದ, ಮೊಂಡು, ಪಟ್ಟುಹಿಡಿದ"
studios,"ಅಧ್ಯಯನಶೀಲ, ಪರಿಶ್ರಮ"
study,"ಅಧ್ಯಯನ, ಪರಿಶೀಲನೆ"
study leave,ಅಧ್ಯಯನ ರಜೆ
stuff,"ಸಾಮಗ್ರಿ, ಸತ್ವ"
stupendous,"ಆಶ್ಚರ್ಯಕರ, ಬಹುದೊಡ್ಡ, ಭವ್ಯ, ವಿಶಾಲ"
style,ಶೈಲಿ
sub (subordinate),"ಉಪ, ಒಳ, ಕೆಳಗಣ"
sub sub-paragraph,ಉಪ ಉಪ ಕಂಡಿಕೆ
sub-committee,ಉಪ ಸಮಿತಿ
sub-contract,"ಉಪ ಕರಾರು, ಒಳ ಕರಾರು"
sub-district,ಉಪ ಜಿಲ್ಲೆ
sub-division,ಉಪ ವಿಭಾಗ
sub-head,ಉಪ ಶೀರ್ಷಿಕೆ
subject,"ವಿಷಯ, ಪ್ರಜೆ, ಅಧೀನ"
subjective,ವ್ಯಕ್ತಿನಿಷ್ಠ
subjudice,ನ್ಯಾಯಾಲಯದ ವಿಚಾರಣೆಯಲ್ಲಿರುವ
sublease,"ಒಳಗುತ್ತಿಗೆ, ಒಳಗೇಣಿ"
subletting,ಒಳಬಾಡಿಗೆಗೆ ಕೊಡು
submission,"ಸಲ್ಲಿಸುವುದು, ಸಲ್ಲಿಕೆ, ಒಪ್ಪಿಗೆ, ಸಮರ್ಪಣ"
submissive,"ನಮ್ರ, ವಿಧೇಯ"
subordinate office,ಅಧೀನ ಕಛೇರಿ
subordinate services,ಅಧೀನ ಸೇವೆಗಳು
subordinate staff,ಅಧೀನ ಸಿಬ್ಬಂದಿ
subparagraph,ಉಪಕಂಡಿಕೆ
subrule,ಉಪ ನಿಯಮ
subscribe,"ರುಜುಮಾಡು, ಚಂದಾ, ವಂತಿಗೆ ಕೊಡು"
subscribed capital,ಕೊಡಲು ಒಪ್ಪಿಕೊಂಡ ಬಂಡವಾಳ
subscriber,"ಚಂದಾದಾರ, ರುಜು ಮಾಡಿದವ"
subscription,ಚಂದಾ
subsection,ಉಪ ವಿಭಾಗ
subsequent,"ತರುವಾಯದ, ನಂತರದ"
subsequent action,ನಂತರದ ಕ್ರಮ
subsequently,"ನಂತರ, ತರುವಾಯ"
subsidiary,"ಅಧೀನ, ಸಹಾಯಕ, ಗೌಣ, ಉಪಕಾರಕ"
subsidiary bodies,ಅಧೀನ ಅಂಗ ನಿಕಾಯಗಳು
subsidiary industry,"ಅಧೀನ ಅಂಗ ಅಧೀನ ಉದ್ಯಮಗಳು, ಉಪಕಾರಕ ಉದ್ಯಮ"
subsidiary mandate,ಉಪ ಕಟ್ಟಾಜ್ಞೆ
subsidiary receipt,ಗೌಣ ರಸೀತಿ
subsidiary register,ಅಧೀನ ವಹೀ
subsidise,ಸಹಾಯ ಧನನೀಡು
subsidized,ಸಹಾಯ ಧನ ನೀಡಲಾದ
subsidized accommodation,ಸಹಾಯಧನ ನೀಡಲಾದ ವಾಸಸ್ಥಳ
subsidy,ಸಹಾಯಧನ
subsistence,"ಸಾರ, ಸಾರಾಂಶ, ವಿಷಯ, ವಾಸ್ತವಾಂಶ"
subsistence allowance,ನಿರ್ವಹಣಾ ಭತ್ಯೆ
subsistence grant,ನಿರ್ವಹಣಾ ಅನುದಾನ
substandard,ಕಳಪೆ ಗುಣ ಮಟ್ಟದ
substantial,ಗಣನೀಯ
substantiate,"ಪುಷ್ಟೀಕರಿಸು, ರಜುವಾತು ಮಾಡು"
substantive,"ಮುಖ್ಯ, ಮೂಲ, ಸ್ಥಿರ"
substantive pay,ಖಾಯಂ ವೇತನ
substantive post,ಖಾಯಂ ಹುದ್ದೆ
substitute,"ಪ್ರತಿಯೋಜಿಸು, ಬದಲಾಗಿ ಸೇರಿಸು, ಪ್ರತಿಸ್ಥಾಪಿಸು"
substitution,"ಬದಲಾಗಿ ಸೇರಿಸುವುದು, ಪ್ರತಿಯೋಜಿಸುವುದು"
suburban,ಉಪನಗರದ
subvention,"ಆರ್ಥಿಕ ಸಹಾಯ, ದ್ರವ್ಯಸಹಾಯ, ಧನಸಹಾಯ"
subversion,"ಉರುಳಿಸುವುದು, ನಾಶ ಮಾಡುವುದು"
subway,"ಸುರಂಗ ಮಾರ್ಗ, ಒಳದಾರಿ"
succeeding,"ಉತ್ತರ ವರ್ತಿಯಾಗಿ ಬರುವ, ತರುವಾಯಬರುವ"
succession,ಉತ್ತರಾಧಿಕಾರ
successive,ಅನುಕ್ರಮವಾಗಿ ಬರುವ
successor,"ಉತ್ತರಾಧಿಕಾರಿ, ಅನುವರ್ತಿ"
succour,ಕಷ್ಟದಲ್ಲಿ ಸಹಾಯ ನೀಡುವುದು
sue,ದಾವೆಹೂಡು
suffer,"ಅನುಭವಿಸು, ಸಹಿಸು, ಅವಕಾಶಕೊಡು, ನಷ್ಟಹೊಂದು, ಪಾಡುಪಡು"
suffering,"ಅನುಭವಿಸುತ್ತಿರುವ, ಸಹಿಸುತ್ತಿರುವ, ನಷ್ಟಹೊಂದುತ್ತಿರುವ"
sufficient,"ಸಾಕಷ್ಟು, ಪರ್ಯಾಪ್ತ"
suffix,"ಪದದ ಅನಂತರ ಸೇರಿಸುವ, ಪ್ರತ್ಯಯ"
suffrage,ಮತಾಧಿಕಾರ
suggestion,"ಸೂಚನೆ, ಸಲಹೆ"
suggestion box,"ಸೂಚನೆ ಪೆಟ್ಟಿಗೆ, ಸಲಹಾ ಪೆಟ್ಟಿಗೆ"
suggestions book,"ಸೂಚನಾ ಪುಸ್ತಕ, ಸಲಹಾ ಪ್ರಸ್ತಕ"
suggestive,ಸೂಚಕ
suicide,ಆತ್ಮಹತ್ಯೆ
suit,"ದಾವೆ, ವ್ಯಾಜ್ಯ, ಉಪಯುಕ್ತತೆ"
suitability,"ಯೋಗ್ಯವಾದ, ಯುಕ್ತವಾದ"
suitable action,"ಉಚಿತ, ತಕ್ಕ, ಕ್ರಮ"
suited,"ತಕ್ಕ, ಉಪಯುಕ್ತ"
sum,"ಮೊಬಲಗು, ಹಣ, ಮೊತ್ತ"
sum up,ವಾದವನ್ನು ಸಂಕ್ಷಿಪ್ತವಾಗಿ ಹೇಳುವುದು
summarily,"ಸಾರಾಂಶವಾಗಿ, ಒಟ್ಟಾರೆಯಾಗಿ"
summary,ಸಾರಾಂಶ
summary trial,ಸಂಕ್ಷಿಪ್ತ ಅಧಿವಿಚಾರಣೆ
summing up,ಸಾರಾಂಶರೂಪವಾಗಿ
summit,ಶೃಂಗ ಸಮ್ಮೇಳನ
summon,"ಸಮನ್-ಕರೆ, ಸಮನ್, ಹಾಜರಾಗಿ ಇರಲು ಆದೇಶ"
sumptuary allowance,ಆತಿಥ್ಯಭತ್ಯೆ
sundry,"ಚಿಲ್ಲರೆ, ವಿವಿಧ"
suo moto,ತಾನಾಗಿಯೇ
super timescale,"ವರಿಷ್ಠ ಕಾಲಿಕ ವೇತನ ಶ್ರೇಣಿ, ಸೂಪರ್ ಟೈಂ ವೇತನ ಶ್ರೇಣಿ"
superannuation,ವಯೋನಿವೃತ್ತಿ
superannuation pension,ವಯೋ ನಿವೃತ್ತಿಪಿಂಚಣಿ
superficial,"ಮೇಲು ಮೇಲಿನ, ಮೇಲೆತೋರುವ"
superfluous,"ಅಧಿಕ, ಹೆಚ್ಚಿನ"
superimpose,ಮೇಲಿನಿಂದ ಹೇರು
superior,"ವರಿಷ್ಠ, ಹಿರಿಯ"
superiority,"ಮೇಲರಿಮೆ, ಹಿರಿತನ"
supernumerary,"ಅಧಿಕ ಸಂಖ್ಯೆಯ, ಹೆಚ್ಚುವರಿ ಸಂಖ್ಯೆಯ"
supernumerary post,"ಅಧಿಕ ಸಂಖ್ಯೆಯ ಹುದ್ದೆ, ಹೆಚ್ಚವರಿ ಸಂಖ್ಯೆಯ ಹುದ್ದೆ"
superscribe,ಮೇಲುಗಡೆ ಬರೆಯುವುದು
superscription,ಮೇಲ್ಬರಹ
supersede,"ರದ್ದುಗೊಳಿಸು, ಹಿಂದೆಹಾಕು, ಅಧಿಕ್ರಮಿಸು"
supersession,"ರದ್ದು ಗೊಳಿಸುವಿಕೆ, ಹಿಂದೆ ಹಾಕುವಿಕೆ, ಅಧಿಕ್ರಮಿಸುವಿಕೆ"
superstructure,ಮೇಲು ಕಟ್ಟಡ
supertax,ಮೇಲು ತೆರಿಗೆ
supervision,"ಮೇಲ್ವಿಚಾರಣೆ, ಉಸ್ತುವಾರಿ"
supervisor,ಮೇಲ್ವಿಚಾರಕ
supervisory staff,ಮೇಲ್ವಿಚಾರಣಾ ಸಿಬ್ಬಂದಿ
supplement,ಪೂರಕ
supplementary,ಪೂರಕವಾದ
supplementary budget,"ಪೂರಕ ಆಯವ್ಯಯ, ಬಜೆಟ್"
supplementary cost,ಪೂರಕ ಬೆಲೆ
