Punjabi,Assamese
ਪ੍ਰੀਮੀਅਰਸ਼ਿਪ,প্ৰিমিয়াৰ লীগ
ਪ੍ਰਧਾਨਗੀ,ৰাষ্ট্ৰপতিত্ব
ਪ੍ਰਧਾਨਗੀ,ৰাষ্ট্ৰপতিত্ব
ਪ੍ਰਧਾਨ,ৰাষ্ট্ৰপতি
ਪ੍ਰਧਾਨ,ৰাষ্ট্ৰপতি
ਪ੍ਰਧਾਨਗੀ ਮੰਡਲ,প্ৰেচিডিয়াম
ਪ੍ਰਧਾਨ ਮੰਤਰੀ,প্ৰধানমন্ত্ৰী
ਪ੍ਰਿਮੋਜਨੀਚਰ,প্ৰাইমোজেনিচাৰ
ਪ੍ਰਿੰ,প্ৰিন্স
ਪ੍ਰਿੰ,প্ৰিন্স
ਪ੍ਰਿੰਸ ਬਿਸ਼ਪ,প্ৰিন্স বিচপ
ਪ੍ਰਿੰਸ ਕੰਸੋਰਟ,প্ৰিন্স কনচৰ্ট
ਪ੍ਰਿੰਸ ਰੀਜੈਂਟ,প্ৰিন্স ৰিজেণ্ট
ਪਿੰਸ ਰੀਗਨੈਂਟ,পিন্স ৰেগনেণ্ট
ਰਾਜਕੁਮਾਰੀ ਰੀਜੈਂਟ,ৰাজকুমাৰী ৰিজেণ্ট
ਰਾਜਕੁਮਾਰੀ ਰਾਇਲ,ৰাজকুমাৰী ৰয়েল
ਰਿਆਸਤ,প্ৰিন্সিপালিটি
ਰਿਆਸਤ,প্ৰিন্সিপালিটি
ਰਿਆਸਤ,প্ৰিন্সিপালিটি
ਇਨਾਮ,পুৰষ্কাৰ
ਇਨਾਮ,পুৰষ্কাৰ
ਇਨਾਮੀ ਰਕਮ,পুৰস্কাৰৰ ধন
ਪੇਸ਼ੇਵਰ ਸਿਪਾਹੀ,পেছাদাৰী সৈনিক
ਵਾਅਦਾ,প্ৰতিশ্ৰুতি
ਪ੍ਰੋਮੋਨਟਰੀ ਕਿਲਾ,প্ৰমন্টৰী দুৰ্গ
ਰੱਖਿਅਕ,প্ৰটেক্টৰেট
ਰੱਖਿਅਕ,প্ৰটেক্টৰেট
ਰੱਖਿਅਕ,প্ৰটেক্টৰেট
ਪ੍ਰੋਟੇਜ,Protégé
ਉਪਦੇਸ਼,উৎপত্তিস্থল
ਉਪਦੇਸ਼,উৎপত্তিস্থল
ਪ੍ਰੋਵੇਨੈਂਸ ਸਿਸਟਮ,প্ৰভেনেন্স ব্যৱস্থা
ਪ੍ਰੋ-ਜ਼ੀਓਨਿਸਟ,জিয়নিষ্ট সমৰ্থক
ਜਨਤਕ ਦੁਸ਼ਮਣ,ৰাজহুৱা শত্ৰু
ਜਨਤਕ ਦੁਸ਼ਮਣ,ৰাজহুৱা শত্ৰু
ਵਿਰਾਮ,বিৰাম চিহ্ন
ਪੁਨਿਕ ਯੁੱਧ,পুনিক যুদ্ধ
ਪਿਉਰਿਟਨ,পিউৰিটান
ਪੁਸ਼,পুচ্চ
ਕਵਾਡਰਿਗਾ,কোৱাড্ৰিগা
ਚੌਗੁਣਾ ਗਠਜੋੜ,চতুৰ্ভুজ মিত্ৰতা
ਕਵੇਕਰ,কোৱাকাৰ
ਰਾਣੀ,ৰাণী
ਰਾਣੀ ਪਤਨੀ,ৰাণী কনচৰ্ট
ਰਾਣੀ ਦਾਜ ਦੇਣ ਵਾਲਾ,ৰাণী বিধৱা
ਮਹਾਰਾਣੀ,কুইনডম
ਮਹਾਰਾਣੀ,কুইনডম
ਰਾਣੀ ਮਾਂ,ৰাণী মা
ਰਾਣੀ ਰਾਜੀ,ৰাণী ৰাজত্ব কৰা
ਕੁਇਜ਼ਲਿੰਗ,কুইছলিং
ਕੁਇਜ਼ਲਿੰਗ,কুইছলিং
ਕਿਰਾਇਆ ਛੱਡ ਦਿਓ,ভাড়া এৰি দিয়ক
ਕੰਬਣੀ,কুইভাৰ
ਵਾਰੰਟੋ,Quo warranto
ਦੌੜ,জাতি
ਨਸਲੀ ਸਰਵਉੱਚਤਾ,বৰ্ণবাদী আধিপত্য
ਰੈਕ,ৰেক
ਰੈਕ,ৰেক
ਛਾਪਾ ਮਾਰਿਆ,অভিযান
ਛਾਪਾ ਮਾਰਿਆ,অভিযান
ਰਾਮਪਾਰਟ,ৰেমপাৰ্ট
ਰਾਮਪਾਰਟ,ৰেমপাৰ্ট
ਲੁੱਟ,ৰেনছাক
ਰਿਹਾਈ,মুক্তিপণ
ਰਿਹਾਈ,মুক্তিপণ
ਤਬਾਹੀ,ৰেভেজ
ਤਬਾਹੀ,ৰেভেজ
ਖੇਤਰ,ৰাজ্য
ਪਿਛਲਾ ਗਾਰਡ,ৰিয়াৰ গাৰ্ড
ਰੀਅਰ ਗਾਰਡ ਐਕਸ਼ਨ,ৰিয়াৰ গাৰ্ডৰ একচন
ਬਾਗੀ,বিদ্ৰোহী
ਬਗਾਵਤ,বিদ্ৰোহ
ਬਗਾਵਤ ਦੀ ਮਾਨਤਾ,বিদ্ৰোহৰ স্বীকৃতি
ਰੀਕੰਡਕਸ਼ਨ,পুনৰ পৰিবাহী
ਪੁਨਰ ਖੋਜ,গোপনীয়তা
ਪੁਨਰ ਨਿਰਮਾਣ,পুনৰ্গঠন
ਰਿਕਾਰਡ,নথিভুক্ত
ਰਿਕਾਰਡ ਦਫਤਰ,ৰেকৰ্ড অফিচ
ਰਿਟਾਇਰਮੈਂਟ ਰਿਕਾਰਡ ਕਰੋ,অৱসৰৰ অভিলেখ
ਲਾਲ ਕਮੀਜ਼,ৰঙা চাৰ্ট
ਸੁਧਾਰ,সংস্কাৰ
ਸ਼ਰਨਾਰਥੀ,শৰণাৰ্থী
ਰੀਗਾਲੀਆ,ৰেগালিয়া
ਰੀਗਾਲੀਆ,ৰেগালিয়া
ਰੀਗਾਲੀਆ,ৰেগালিয়া
ਰੀਜੈਂਸੀ,ৰিজেন্সি
ਰੀਜੈਂਟ,ৰিজেণ্ট
ਰੀਜੈਂਟ ਰਾਣੀ,ৰিজেণ্ট কুইন
Regicide,ৰেজিচাইড
ਰੈਜੀਸਾਈਡਸ,ৰেজিচাইড
ਸ਼ਾਸਨ,শাসন ব্যৱস্থা
ਸ਼ਾਸਨ,শাসন ব্যৱস্থা
ਖੇਤਰ,অঞ্চল
ਰੀਜਨਲ ਸਾਲ,ৰেগনাল বছৰ
ਰੀਗਨੈਂਟ,ৰেগনেণ্ট
ਰੈਗਨਮ,ৰেগনাম
ਰੀਚ,ৰাইচ
ਰਾਜ ਕਰੋ,ৰাজত্ব কৰক
ਰਾਜ ਕਰੋ,ৰাজত্ব কৰক
ਰਾਜ ਕਰਨ ਵਾਲਾ ਪਰਿਵਾਰ,ৰাজত্ব কৰা পৰিয়াল
ਦਹਿਸ਼ਤ ਦਾ ਰਾਜ,আতংকৰ ৰাজত্ব
ਦਹਿਸ਼ਤ ਦਾ ਰਾਜ,আতংকৰ ৰাজত্ব
ਮਜ਼ਬੂਤ,শক্তিশালী কৰক
ਮਜ਼ਬੂਤੀ,শক্তিবৰ্ধক
ਬਹਾਲੀ,পুনৰ নিযুক্তি
ਮੁੜ ਨਿਵੇਸ਼ ਕਰੋ,পুনৰ বিনিয়োগ কৰক
ਰੀਲੇਅ ਪੋਸਟ,ৰিলে পোষ্ট
ਰੀਲੇਅ ਰੂਟ,ৰিলেৰ পথ
ਰੀਲੇਅ ਸਿਸਟਮ,ৰিলে ব্যৱস্থা
ਜਾਰੀ ਕਰੋ,মুক্তি দিয়া
ਜਾਰੀ ਕਰੋ,মুক্তি দিয়া
ਤਿਆਗ,ত্যাগ
ਤਿਆਗ,ত্যাগ
ਰੀਪਰਟਰੀ (=ਸੂਚੀ),ৰেপাৰ্টৰী (=ইনভেণ্টৰী)
ਰਿਪੋਜ਼ਟਰੀ,ভঁৰাল
ਰਿਪੋਜ਼ਟਰੀ,ভঁৰাল
ਗਣਤੰਤਰ,ৰিপাব্লিক
ਗਣਤੰਤਰ ਦਿਵਸ,গণৰাজ্য দিৱস
ਰੀਸਕ੍ਰਿਪਟ,পুনৰ লিপিবদ্ধ কৰক
ਰੀਸਕ੍ਰਿਪਟ,পুনৰ লিপিবদ্ধ কৰক
ਨਿਵਾਸੀ,বাসিন্দা
ਬਹਾਲੀ,পুনৰুদ্ধাৰ
ਪੁਨਰ-ਉਥਾਨ,পুনৰুত্থান
ਪੁਨਰ-ਉਥਾਨ,পুনৰুত্থান
ਪਿੱਛੇ ਹਟਣਾ,পশ্চাদপসৰণ
ਉਲਟਾ (ਇੱਕ ਸਿੱਕੇ ਦਾ),ওলোটা (এটা মুদ্ৰাৰ)
ਬਗਾਵਤ,বিদ্ৰোহ
ਇਨਕਲਾਬ,বিপ্লৱ
"ਇਨਕਲਾਬ, ਫ੍ਰੈਂਚ","বিপ্লৱ, ফৰাচী"
ਇਨਕਲਾਬ ਸ਼ਾਨਦਾਰ,বিপ্লৱ গৌৰৱময়
"ਇਨਕਲਾਬ, ਉਦਯੋਗਿਕ","বিপ্লৱ, ঔদ্যোগিক"
ਵਧ ਰਿਹਾ ਹੈ,ৰাইজিং
ਰਟਨ-ਬੋਰੋ,পচি যোৱা-বৰো
ਰਫ ਰਾਈਡਰਜ਼,ৰাফ ৰাইডাৰ
ਗੋਲ-ਸਿਰ,ঘূৰণীয়া মূৰ
ਰੂਟ,ৰাউট
ਸ਼ਾਹੀ ਦਰਸ਼ਕ,ৰয়েল দৰ্শক
ਸ਼ਾਹੀ ਚਾਰਟਰ,ৰয়েল চাৰ্টাৰ
ਰਾਇਲ ਕਰੈਸਟ,ৰয়েল ক্ৰেষ্ট
ਰਾਇਲ ਕਰੈਸਟ,ৰয়েল ক্ৰেষ্ট
ਸ਼ਾਹੀ ਫ਼ਰਮਾਨ,ৰয়েল ডিক্রী
ਰੁਬਰਿਕ,ৰুব্ৰীক
ਖੰਡਰ,ধ্বংসাৱশেষ
ਦੌੜਾਕ,দৌৰবিদ
ਸਾੜ-ਫੂਕ,ভেঙুচালি কৰা
ਸਾਬਰ,ছাবেৰ
ਸਾਬਰ,চেব্ৰেছ
ਕੁਰਬਾਨੀ,ত্যাগ
ਕੁਰਬਾਨੀ,ত্যাগ
ਕੁਰਬਾਨੀ,ত্যাগ
ਸੁਰੱਖਿਅਤ ਆਚਰਣ,নিৰাপদ আচৰণ
ਸੁਰੱਖਿਆ,সুৰক্ষা
ਸੁਰੱਖਿਆ,সুৰক্ষা
ਸੁਰੱਖਿਆ ਦੇ ਫਰਜ਼,সুৰক্ষাৰ কৰ্তব্য
ਸੈਲੀ,চেলি
ਸੈਲੀ-ਪੋਰਟ,চেলি-পৰ্ট
ਰਾਜਦੰਡ,ৰাজদণ্ড
ਸਿਮੀਟਰ,স্কিমিটাৰ
ਦੂਜੀ ਜਾਇਦਾਦ,দ্বিতীয় বাগিচা
ਸੰਪਰਦਾ,পন্থা
ਸੰਪਰਦਾ,পন্থা
ਦੌਰਾ,বাজেয়াপ্ত
ਦੌਰਾ,বাজেয়াপ্ত
ਸੈਨੇਟ,চেনেট
ਸੈਨੇਟ,চেনেট
ਸੈਨੇਟ,চেনেট
ਸੈਨੇਟ,চেনেট
ਸੇਵਾ (= ਬਾਰਡਰ ਜਾਂ ਵਿਲੀਨ),Serf (=bordar বা villein)
ਸੇਵਾ (= ਬਾਰਡਰ ਜਾਂ ਵਿਲੀਨ),Serf (=bordar বা villein)
ਸਰਫਡਮ (ਸੇਰਫਹੁਡ ਜਾਂ ਸਰਫੇਜ),দাসত্ব (serfhood বা serfage)
ਸਰਫਡਮ (ਸੇਰਫਹੁਡ ਜਾਂ ਸਰਫੇਜ),দাসত্ব (serfhood বা serfage)
ਸ਼ੈਡੋ ਰਾਜਾ,ছাঁ ৰজা
ਪੈਸੇ ਭੇਜੋ,জাহাজৰ ধন
ਸਦਮਾ ਫੌਜਾਂ (= ਤੂਫਾਨ ਫੌਜਾਂ),শ্বক সৈন্য (=ধুমুহা সৈন্য)
ਛੋਟੀ ਸੰਸਦ,চুটি সংসদ
ਝੜਪ,স্কিমিছ
ਗੁਲਾਮ,দাস
ਗੁਲਾਮੀ,দাসত্ব
ਗੁਲਾਮੀ,দাসত্ব
ਸਿਪਾਹੀ ਰਾਜਨੇਤਾ,সৈনিক ৰাষ্ট্ৰনেতা
ਬਰਛੀ,বৰশী
ਬਰਛੀ—ਸਿਰ,বৰশীৰ মূৰ
ਗੋਲਾ,গোলক
ਸਫ੍ਰੈਗਿਸਟਿਕਸ,স্ফ্ৰেজিষ্টিকছ
ਸਿਸਟਮ ਨੂੰ ਵਿਗਾੜਦਾ ਹੈ,ব্যৱস্থা নষ্ট কৰে
ਸਕਵਾਇਰ,স্কোৱায়াৰ
ਸਕਵਾਇਰ,স্কোৱায়াৰ
ਸਕਵਾਇਰਚਾਰੀ,স্কুয়াৰআৰ্চি
ਸਕਵਾਇਰਚਾਰੀ,স্কুয়াৰআৰ্চি
ਮਿਆਰੀ,মানদণ্ড
ਮਿਆਰੀ-ਦਾਤਾ,ষ্টেণ্ডাৰ্ড-বাহক
ਖੜੀ ਫੌਜ,থিয় হৈ থকা সেনাবাহিনী
ਸਥਾਈ ਆਦੇਸ਼,ষ্টেণ্ডিং অৰ্ডাৰ
ਸਥਾਈ ਆਦੇਸ਼,ষ্টেণ্ডিং অৰ্ডাৰ
ਸਟੇਟਸਮੈਨ,ৰাষ্ট্ৰনেতা
ਪੱਥਰ ਦਾ ਸ਼ਿਲਾਲੇਖ,শিলৰ শিলালিপি
ਤੂਫ਼ਾਨ ਫ਼ੌਜ,ধুমুহাৰ সৈন্য
ਰਣਨੀਤੀ,কৌশল
ਰਣਨੀਤੀ,কৌশল
ਰਣਨੀਤੀ,কৌশল
ਰਣਨੀਤੀ,কৌশল
ਸਟਰੈਟੋਕਰੇਸੀ,ষ্ট্ৰেট’ক্ৰেচি
ਝਗੜਾ,বিবাদ
ਝਗੜਾ,বিবাদ
ਮਜ਼ਬੂਤ ਪਕੜ,শক্তিশালী ধৰি ৰখা
ਮਜ਼ਬੂਤ ਪਕੜ,শক্তিশালী ধৰি ৰখা
ਸਹਾਇਕ ਟੈਲਾਇੰਸ,সহযোগী টেলায়েন্স
ਉਤਰਾਧਿਕਾਰ,উত্তৰাধিকাৰ
ਉੱਤਰਾਧਿਕਾਰੀ,উত্তৰাধিকাৰী
ਮੱਤਭੇਦ,ভোটাধিকাৰ
ਮਤਦਾਤਾ,ভোটাধিকাৰী
ਸਲਤਨਤ,চুলতানত্ব
ਸਲਤਨਤ ਦੀ ਮਿਆਦ,চুলতানত্বৰ যুগ
ਸਮਰਪਣ,সমৰ্পণ
ਸੁਜ਼ਰੇਨ,চুজেৰেইন
ਸੁਜ਼ਰੇਨ ਰਾਜ,চুজেৰেইন ৰাজ্য
ਤਲਵਾਰਬਾਜ਼,তৰোৱালধাৰী
ਟੈਮਨੀ ਸੋਸਾਇਟੀ,টামমানী ছ&#39;চাইটি
ਗੁੱਸੇ ਵਾਲੀ ਤਲਵਾਰ,টেম্পাৰড তৰোৱাল
ਕਿਰਾਏਦਾਰ,ভাড়াতীয়া
ਕਿਰਾਏਦਾਰ,ভাড়াতীয়া
ਖੇਤਰ,অঞ্চল
ਖੇਤਰ,অঞ্চল
ਖੇਤਰੀ ਸਰਕਾਰ,টেৰিটৰী চৰকাৰ
ਅੱਤਵਾਦ,সন্ত্ৰাসবাদ
ਤੀਜੀ ਜਾਇਦਾਦ,তৃতীয় বাগিচা
ਤਿੰਨ ਜਾਇਦਾਦਾਂ,তিনিটা বাগিচা
ਕਰ,টোল
ਟੋਲ ਹਾਊਸ,টোল হাউচ
ਕਬਰ,সমাধিস্থল
ਟੋਰੀ,ট&#39;ৰী
ਟੋਟੇਮ,টটেম
ਟਾਵਰ,টাৱাৰ
ਟਾਵਰ,টাৱাৰ
ਜਿੱਤ ਦਾ ਟਾਵਰ,বিজয়ৰ টাৱাৰ
ਗੱਦਾਰ,বিশ্বাসঘাতক
ਧੋਖੇਬਾਜ਼ੀ,বিশ্বাসঘাতকতা
ਦੇਸ਼ਧ੍ਰੋਹ,দেশদ্ৰোহ
ਸੰਧੀ,সন্ধি
ਲੜਾਈ ਦੁਆਰਾ ਅਜ਼ਮਾਇਸ਼ (=ਲੜਾਈ ਦੁਆਰਾ ਪਗਡੰਡੀ),যুদ্ধৰ দ্বাৰা পৰীক্ষা (=যুদ্ধৰ দ্বাৰা ট্ৰেইল)
ਸ਼ਰਧਾਂਜਲੀ,শ্ৰদ্ধাঞ্জলি
ਸ਼ਰਧਾਂਜਲੀ,শ্ৰদ্ধাঞ্জলি
ਸ਼ਰਧਾਂਜਲੀ ਜ਼ਮੀਨ,শ্ৰদ্ধাঞ্জলি ভূমি
ਤੀਹਰਾ ਗਠਜੋੜ,ট্ৰিপল এলায়েন্স
ਤ੍ਰੈ ਗੁਣ,ট্ৰিপল এণ্টেণ্ট
ਜਿੱਤ,জয়লাভ
ਜਿੱਤ,জয়লাভ
ਗੜਬੜ,অস্থিৰতা
ਜ਼ਾਲਮ,অত্যাচাৰী হত্যা
ਜ਼ਾਲਮ,অত্যাচাৰী হত্যা
ਜ਼ੁਲਮ,অত্যাচাৰ
ਜ਼ੁਲਮ,অত্যাচাৰ
ਜ਼ਾਲਮ,অত্যাচাৰী
ਉਹਲਾਨ,উহলান
ਉਕਾਸੇ,উকাচে
ਉਕਾਸੇ,উকাচে
ਉਲੇਮਾ,উলেমা
ਅਲਟੀਮੇਟਮ,আলটিমেটাম
ਅਲਟੀਮੇਟਮ,আলটিমেটাম
ਅੰਕਲ ਸੈਮ,ককাক ছেম
ਅਧੀਨ-ਰਾਜੇ,আণ্ডাৰ-কিং
ਸੰਯੁਕਤ ਆਇਰਿਸ਼ਮੈਨ,ইউনাইটেড আইৰিছমেন
ਸੰਯੁਕਤ ਰਾਸ਼ਟਰ,যুক্তৰাষ্ট্ৰ
ਸੰਯੁਕਤ ਸੂਬੇ,সংযুক্ত প্ৰভিন্স
ਸੰਯੁਕਤ ਸੂਬੇ,সংযুক্ত প্ৰভিন্স
ਵਿਲੱਖਣ ਕਿਲਾ,ইউনিভেলেটেড দুৰ্গ
ਯੂਨੀਵਰਸਲ ਰਾਜਾ,সাৰ্বজনীন ৰজা
ਯੂਨੀਵਰਸਲ ਮਤਾ,সাৰ্বজনীন ভোটাধিকাৰ
ਵਿਦਰੋਹ,বিদ্ৰোহ
ਹੜੱਪਣਾ,দখল কৰা
ਹੜੱਪਣ ਵਾਲਾ,দখলদাৰী
ਯੂਟੋਪੀਆ,ইউটোপিয়া
ਵੰਦਲ,ভাণ্ডাল
ਬਰਬਾਦੀ,ভাঙি-ছিঙি পেলোৱা
ਵੈਨਗਾਰਡ,ভ্যানগাৰ্ড
ਵੈਨਗਾਰਡ,ভ্যানগাৰ্ড
ਵੈਨਗਾਰਡ,ভ্যানগাৰ্ড
ਵਾਰੰਜੀਅਨ,ভাৰংগিয়ান
ਵਾਰੰਜੀਅਨ ਗਾਰਡ,ভাৰংগিয়ান গাৰ্ড
ਵਾਸਲ,ভেছাল
ਵਾਸਲ,ভেছাল
ਵਾਸਲ ਰਾਜ,ভেছাল অৱস্থা
ਵੈਟੀਕਨ ਕੌਂਸਲ,ভেটিকান কাউন্সিল
ਜਹਾਜ਼,পাত্ৰ
ਜਹਾਜ਼,পাত্ৰ
ਜਹਾਜ਼,পাত্ৰ
ਉਪ-ਰਾਜੇ,উপ-ৰজা
ਵਾਇਸਰਾਏ,ভাইচৰয়
ਵਾਇਸਰਾਏਲਟੀ = ਵਾਇਸਰਾਇਟੀ,ভাইচৰয়লিটি=ভাইচৰয়শ্বিপ
ਵਿਕਟਰ,ভিক্টৰ
ਜਿੱਤ,বিজয়
ਵਿਲੀਨ,ভিলেইন
ਯਾਤਰਾ,জলপথে গমন
ਕਮਜ਼ੋਰ ਕਿਲ੍ਹਾ,দুৰ্বল দুৰ্গ
ਕੰਧ ਚਿੱਤਰਕਾਰੀ,ৱাল পেইন্টিং
ਕੰਧ ਚਿੱਤਰਕਾਰੀ,ৱাল পেইন্টিং
ਜੰਗ,যুদ্ধ
ਯੁੱਧ-ਪ੍ਰਭੂ,যুদ্ধ-প্ৰভু
ਯੋਧਾ,যোদ্ধা
ਯੋਧਾ,যোদ্ধা
ਯੋਧਾ,যোদ্ধা
ਜੰਗੀ ਜਹਾਜ਼,যুদ্ধজাহাজ
ਪਹਿਰਾ-ਸ਼ਬਦ,ৱাচ-ৱৰ্ড
ਕਲਿਆਣਕਾਰੀ ਰਾਜ,কল্যাণকামী ৰাষ্ট্ৰ
ਭਲਾਈ ਕਾਰਜ,কল্যাণমূলক কাম
ਵਿਗ,হুইগ
ਚਿੱਟਾ ਝੰਡਾ,বগা পতাকা
ਗੋਰਿਆਂ ਦਾ ਬੋਝ,বগা মানুহৰ বোজা
ਵਿਸ਼ਵ ਸਾਮਰਾਜ,বিশ্ব সাম্ৰাজ্য
ਵਿਸ਼ਵ ਅੰਦੋਲਨ,বিশ্ব আন্দোলন
ਵਿਸ਼ਵ ਰਾਜਨੀਤੀ,বিশ্ব ৰাজনীতি
ਵਿਸ਼ਵ ਸ਼ਕਤੀ,বিশ্ব শক্তি
ਵਿਸ਼ਵ ਯੁੱਧ,বিশ্বযুদ্ধ
ਵਿਕਰੇਤਾ,ৰেকাৰ
ਵਿਨਾਸ਼ਕਾਰੀ ਸੋਧ,ধ্বংসাত্মক সংশোধনী
ਜ਼ੈਨੇਲੇਸਿਸ,জেনেলাচিছ
ਜ਼ੈਨੋਫੋਬੀਆ,বিদেশী ঘৃণা
ਯੈਂਕੀ,য়েংকি
ਪੀਲੀ ਜੈਕਟ,হালধীয়া জেকেট
ਪੀਲਾ ਆਦਮੀ,হালধীয়া মানুহ
ਪੀਲਾ ਖ਼ਤਰਾ,হালধীয়া বিপদ
ਪੀਲਾ ਪ੍ਰੈਸ,হালধীয়া প্ৰেছ
ਨੌਜਵਾਨ ਤੁਰਕ,যুৱ তুৰ্কী
ਜ਼ਿਊਸ,জিউছ
ਜ਼ਾਇਓਨਿਜ਼ਮ,জায়নিজম
ਜੋਰੋਸਟ੍ਰੀਅਨਵਾਦ,জৰদস্তি ধৰ্ম
