ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
selection procedure,സെലക്ഷന്‍ പ്രക്രിയ
selection test,തിരഞ്ഞെടുപ്പ് പരീക്ഷ
self-appraisal (self-assessment),സ്വയം നിരുപണം
self-confidence,ആത്മ വിശ്വാസം
self-contained note,സ്വത:പൂര്‍ണമായ നോട്ട്
self-employment,സ്വന്തമായുള്ള പണി
self-explanatory,"സ്വയം സ്പഷ്ടമായ, സ്വതസ്പഷ്ടം"
self-government,സ്വയംഭരണം
semester,സെമിസ്റ്റര്‍
semi-autonomous,അര്‍ധ-സ്വയം ഭരണാവകാശമുള്ള
semi-skilled labour,അര്‍ധകശല ശ്രമികര്‍
seminar,സെമിനാര്‍
senate,സെനറ്റ്
sender,പ്രേഷകന്‍
senior,"സീനിയര്‍, ജ്യേഷ്ഠ, വരിഷ്ഠ"
senior administrative grade,സീനിയര്‍ അഡ്മിനിസ്ട്രേറ്റിവ് ഗ്രേഡ്
senior grade,സീനിയര്‍ ഗ്രേഡ്
senior management,സീനിയര്‍ മാനേജ്മെന്‍റ്
senior scale,സീനിയര്‍ സ്കെയിൽ
senior timescale,സീനിയര്‍ ടൈം സ്കെയിൽ
seniority,സീനിയോറിറ്റി
seniority system,സീനിയൊറിറ്റി സിസ്റ്റം
seniority-cum-fitness,"വരിഷ്ഠതയും സ്വസ്ഥതയും, സീനിയോരിറ്റി-കം-ഫിറ്റ്നെസ്"
seniority-cum-merit,"വരിഷ്ഠതയും യോഗ്യതയും, സീനിയോറിറ്റി-കം-മെറിറ്റ്"
seniormost,ഏറ്റവും സീനിയര്‍
sensation,സംവേദനം
sensitive,സംവേദനശിലമായ
sentence,"വാചകം, ശിക്ഷാവിധി"
separated family,ഭിന്നിച്ച കുടുംമ്പം
separation,"വേര്‍പാട്, വിയോഗം"
sequence,"അനുക്രമം, വിന്‍തുടര്‍ച്ച"
serial list,ക്രമസൂചി
serial number,ക്രമനംമ്പര്‍
series,"പരമ്പര, തുടര്‍ച്ച, അനുക്രമം"
serious,ഗൌരവമായ
servant,"സേവകന്‍, ജീവനക്കാരന്‍"
serve,"സേവിക്കുക, പരിസേവനം ചെയ്യുക, നടത്തുക, നിര്‍വഹിക്കുക"
service,"സര്‍വീസ്, സേവനം"
service book,സര്‍വീസ് ബുക്ക്
service conditions,"സര്‍വീസ് നിബന്ധനകൾ, സേവന വ്യവസ്ഥകൾ"
service contract,സര്‍വീസ് കോണ്‍ട്രാക്ട്
service of summon,സമന്‍സ് നടത്തൽ
service postage stamp,സര്‍വീസ് പോസ്റ്റേജ് സ്റ്റാമ്പ്
service record,സര്‍വ്വീസ് റിക്കാര്‍ഡ്
service roll,സര്‍വീസ് റോൾ
service rules,സര്‍വീസ് നിയമങ്ങൾ
service verification,സര്‍വീസ് സത്യാപനം
serviceable,ഉപയോഗിക്കാവുന്ന
session,"സെഷന്‍, സമ്മേളനം"
session of parliament,പാര്‍ലമെന്‍റ് സെഷന്‍
set,"വയ്ക്കുക, സ്ഥാപിക്കുക"
set aside,"ദുര്‍ബലപ്പെടുത്തുക, അസ്ഥിരപ്പെടുത്തുക, തള്ളിക്കളയുക"
set-up,"വ്യവസ്ഥ, വ്യവസ്ഥിതി, സജ്ജീകരിക്കുക (കംപ്യൂട്ടര്‍)"
settlement,"സന്ധി, ദീരുമാനം, കണെ്‍ടഴുത്ത്, കുടിയിരിപ്പ്"
severally,വെവ്വെറായി
severance of relatiions,ബന്ധം വിടര്‍ത്തൽ
severe action,കടുത്ത നടപടി
sewage,"അഴുക്കുചാൽ, കുപ്പച്ചാൽ, ഓവുവെള്ളം, ചവറ്, മലം"
sex,"സ്ത്രീപുരുഷഭേദം, ലിംഗം"
sex discrimination,ലിംഗ വിവേചനം
share,"ഷെയര്‍, പങ്ക്, ഓഹരി, ഭാഗം"
share holder,"ഓഹരിയുടമസ്ഥന്‍, ഓഹരിക്കാരന്‍"
sharing,പങ്കിടുക
shift,ഷിഫ്റ്റ്
shift system,ഷിഫ്റ്റ് സന്ര്വദായം
shift transfer,ഷിഫ്റ്റ് ട്രാന്‍സ്ഫര്‍
shifting,മാറ്റുക
short leave,ഹ്രസ്വകാലാവധി
short notice,ചുരുങ്ങിയ നോട്ടീസ്
short staffed,"പണിക്കാര്‍ കുറവുള്ള, വേണ്ടത്ര ജോലിക്കാരില്ലാത്ത"
short term,ഹ്രസ്വകാലം
short title,ഹ്രസ്വ ശീര്‍ഷകം
short-term-course,ഹ്രസ്വകാല കൊഴ്സ്
shortage,"കമ്മി, അപര്യാപ്തി"
shortage of manpower,"മാനവശക്തിയുടെ കുറവ്, വേണ്ടത്ര ജോലിക്കാര്‍ ഇല്ലായ്മ"
shortfall,"കുറവ്, ഇടിവ്, അഭാവം"
shorthand,ചുരുക്കെഴുത്ത്
shortlist,ലഘുസൂചി
show cause notice,"കാരണം കാണിക്കല്‍നോട്ടീസ്, ഷോകാസ്നോട്ടീസ്"
shut down,അടയ്ക്കുക
sick industry,ഉപവ്യവസായം
sick leave,രോഗാവധി
sick report,അസ്വസ്ഥത റിപ്പോര്‍ട്ട്
sickness benefit,അസ്വസ്ഥത അനുകൂല്യം
sign,"ചിഹ്നം, അടയാളം ഒപ്പുവയ്ക്കുക"
signature,"കൈയൊപ്പ്, ഒപ്പ്"
signature campaign,കൈയൊപ്പ് ശേഖരിക്കുന്ന പ്രസ്ഥാനം
signature pad,"ഒപ്പുപാഡ്, ഹസ്താക്ഷര പാഡ്"
significant,പ്രമുഖ
signify,"ചുരുക്കുക, ലഘൂകരിക്കുക"
similar,സദൃശമായ
simple interest,"ക്രമപ്പലിശ, സാധാരണപലിശ"
simultaneous,ഒരേസമയത്തുള്ള
simultaneously,ഒരേസമയത്ത്
sincere,ആത്മാര്‍ഥതയുള്ള
sine die,"അനിശ്ചിതകാലത്തേക്ക്, തീയതി നിശ്ചയിക്കാതെ"
sine qua non,അനിവാദ്യമായ നിബന്ധന
single entry system,ഒറ്റക്കുറിപ്പു സന്ര്വദായം
single fare,ഒരുവശത്തേക്കുള്ള യാത്ര ച്ചെലവ്
single file system,സിംഗിൾ ഫയൽ പദ്ധതി
sir,"സര്‍, ശ്രീമാന്‍"
site,"സ്ഥാനം, സ്ഥലം"
site plan,പരിസരചിത്രം
sitting member,"തത്സമയ മെമ്പര്‍, നിലവിലുള്ള അംഗം"
situation,"സ്ഥിതി, പരിതസ്ഥിതി"
situations vacant,ജോലി ഒഴിവുണ്ട്
situations wanted,ജോലി ആവശ്യമാണ്
skeleton staff,ചുരുങ്ങിയ സ്റ്റാഫ്
skilled labourer,വിദഗ്ധ തൊഴിലാളികൾ
slack season,പണിത്തിരക്കു കുറഞ്ഞ സമയം
slackness,ശിഥിലത
slander,"അപമാനവാക്ക്, നിന്ദ"
sleeper class,സ്ലീപ്പര്‍ ക്ലാസ്
sliding scale,സ്ലൈഡിങ് സ്കെയിൽ
slip,"സ്ലിപ്പ്, കുറിപ്പ്, തുമ്പ്"
slow down,മന്ദമാവുക
slum,ചേരി
slump,"വിലയിടിവ്, സതംഭനാവസ്ഥ"
small savings fund,ചെറുകിട സമ്പാദ്യ നിധി
small scale enterprise,ചെറുകിട ഉദ്യമം
small scale industry,ചെറുകിട വ്യവസായം
smartness,ചെറുചുറുക്ക്
smooth,നിര്‍വിഘ്നമായ
snap inspection,ആകസ്മിക നിരീക്ഷണം/ഇന്‍സ്പെക്ഷന്‍
snap strike,ആകസ്മിക പണിമുടക്ക്
social security,സാമൂഹ്യ സുരക്ഷിതത്വം
social welfare,സാമൂഹ്യക്ഷേമം
sodiarity,സഹാനുഭാവം
software,സോഫ്റ്റ് വെയര്‍
sojourn,"അവസ്ഥാനം, തല്‍ക്കാല വാസം"
sole,ഏകമാത്രമായ
sole agency,ഏകമാത്ര ഏജന്‍സി
sole owner,ഏകമാത്ര ഉടയസ്ഥന്‍
solemn,"ഗാംഭീര്യം, സത്യനിഷ്ഠ, ഗൌരവമുള്ള"
solemn affirmation,ദൃഡപ്രതിജ്ഞ
solemnity,"ഗാംഭീദ്യം, സത്വനിഷ്ഠ"
solemnize,"ചടങ്ങു നടത്തൽ, ആഘോഷിക്കൽ"
solemnly,"സഗൌരവം, സത്യനിഷ്ഠ യോടെ, ഗൌരവബുദ്ധ്യാ"
solicit,"അര്‍ഥിക്കുക, യാചിക്കുക"
solitary,ഏകാന്ത
solitary case,ഒറ്റ വ്യവഹാരം
solution,"പരിഹാരം, ലായനി"
solve,"പരിഹരിക്കുക, തെളിയിക്കുക"
sorting,"ഇനംതിരിക്കൽ, വകത്തിരിക്കൽ, സോര്‍ട്ടിങ്"
sorting appliance,വേര്‍തിരിക്കുന്ന സാധനം
source,"ഉദ്ഗമം, ഉദ്ഭവസ്ഥാനം, മൂലം"
source of income,ആദായമാര്‍ഗങ്ങൾ
souvenir,സ്മാരകഗ്രസ്ഥം
sovereign,പരമാധികാരമുള്ള
sovereignty,പരമാധികാരം
space,"ഇടം, സ്ഥലം"
spacing,"ഇടമിടൽ, സ്പേസിങ്"
spade work,പ്രാരംഭജോലി
spare,അധികമുള്ള
spare copy,അധികമുള്ള പകര്‍പ്പ
spare time,ഒഴിവുസമയം
speaker,"സ്പീക്കര്‍, അധ്യക്ഷന്‍"
special,"സ്പെഷ്യൽ, പ്രത്യേകം വിശേഷാൽ, പ്രത്യേകമായ"
special ability test,വിശേഷ യോഗ്യതാ പരീക്ഷ
special allowance,സ്പെഷ്യല്‍ബത്ത
special cell,സ്പെഷ്യൽ സെൽ
special commendation,പ്രത്യേകമായ പ്രശംസ
special compensatory allownce,പ്രത്യേക നഷ്ടപരിഹാര ബത്ത
special drive,വിശിഷ്ട പ്രസ്ഥാനം/അഭിമാനം
special grant,"പ്രത്യേക ഗ്രാന്‍റ്, പ്രത്യേക സഹായധനം"
special messanger,"പ്രത്യേക സന്ദേശവാഹകന്‍, പ്രത്യേക ദൂതന്‍"
special pay,പ്രത്യേക ശമ്പളം
special power of attorney,സ്പെഷ്യൽ പവര്‍ ഓഫ് അട്ടോര്‍ണി
special protection group (SPG),വിശിഷ്ട രക്ഷാസേന
specialist,"സ്പെഷ്യലിസ്റ്റ്, വിശേഷജ്ഞന്‍"
specialization,വിശേഷവല്‍ക്കരണം
specific,"വിശിഷ്ടമായ, വ്യക്തമായ, പ്രത്യേകം, സിദ്ധൌഷധം"
specific denial,സ്പഷ്ടമായ ഖണ്ഡനം
specific reason,പ്രത്യേക കാരണം/സ്പഷ്ടമായ കാരണം
specification,"വിശിഷ്ടവിവരണം, വിശിഷ്ടീകരണം"
specimen signature,മാതൃകയൊപ്പ്
speculation,"സാട്ടാക്കച്ചവടം, ഊഹക്കച്ചവടം"
speech,"പ്രസംഗം, ഭാഷണം, ഉക്തി"
speed,"സ്പീഡ്, വേഗത"
speed breaker,സ്പീഡ് ബ്രേക്കര്‍
speed limit,"ഗതിസീമ, സ്പീഡ് ലിമിറ്റ്"
speed post,സ്പീഡ് പോസ്റ്റ്
speedy action,ത്വരിത നടപടി
sphere,മണ്ഡലം
spiral binding,സ്പൈറൽ ബൈന്റിംഗ്
split duty,വിഖണ്ഡിതമായ ഡ്യൂട്ടി
spokesman (=spokes person),വക്താവ്
sponsor,"പ്രായോജകന്‍, പുരസ്കര്‍ത്താവ്"
sponsorship,സ്പോന്‍സര്‍ഷിപ്പ്
spot inspection,സംഭവസ്ഥല ഇന്‍സ്പക്ഷന്‍
spot payment,"ഉടന്‍ പണം കൊടുക്കൽ, സ്ഥലത്ത് വച്ച് പണം കൊടുക്കൽ"
spouse,"ഭാര്യ, ഭര്‍ത്താവ്"
squad,സ്ക്വാഡ്
stability,"സ്ഥിരത, സ്ഥായിത്വം"
staff,"സ്റ്റാഫ്, ജോലിക്കാര്‍, ജീവനക്കാര്‍, ഉദ്യോഗസ്ഥന്മാര്‍"
staff association,"ജീവനക്കാരുടെ സംഘം, സ്റ്റാഫ് അസോസിയെഷന്‍"
staff inspection unit (SIU),സ്റ്റാഫ് ഇന്‍സ്പെക്ഷന്‍ യൂണിറ്റ്
staff quarter,സ്റ്റാഫ് ക്വാര്‍ട്ടര്‍
staff room,സ്റ്റാഫ് റും
staff welfare fund,സ്റ്റാഫ് വെല്‍ഫെയര്‍ ഫണ്ട്
stage,"സ്റ്റേജ്, അവസ്ഥ, ഘട്ടം, ദശ"
stagnation,"സ്തംഭനാവസ്ഥ, നിശ്ചലാവസ്ഥ"
stake,"കുറ്റി, ഊന്ന്, താങ്ങ്"
stalemate,സ്തംഭനാവസ്ഥ
stamp,"സ്റ്റാമ്പ്, മുദ്ര, മുദ്രയടിക്കുക"
stamp duty,"മുദ്രവരി, സ്റ്റാമ്പ് നികുതി"
stamp pad,സ്റ്റാമ്പ് പാഡ്
stamp paper,മുദ്രപ്പത്രം
stamped envelope,സ്റ്റാമ്പ് ഒട്ടിച്ച കവര്‍
stand,"സ്റ്റാന്‍ഡ്, നിലപാട്, നിലയം, നില്‍ക്കുക"
standard agreement,സ്റ്റാന്‍ഡാര്‍ഡ് കരാര്‍
standard deduction,മാനകമായ കിഴിവ്/കുറയ്ക്കൽ
standard format,മാനകമായ ഫോര്‍മറ്റ്
standard man-hours,മാനക മാനവ മണിക്കൂറുകൾ
standard of living,ജീവതനിലവാരം
standard performance,മാനക നിഷ്പാദനം
standard rate,സ്റ്റാന്‍ഡാര്‍ഡ് നിരക്ക്
standardization,"മാനകീകരണം, തിട്ടപ്പെടുത്തൽ"
standby arrangement,നിബന്ധനപാലിക്കുന്ന ഏര്‍പ്പാട്
standing,"സേവനകാലം, സ്ഥിതി, സ്ഥായിയായ"
standing commission,"സ്റ്റാന്‍ഡിങ് കമ്മിഷന്‍, സ്ഥിരംകമ്മിഷൻ"
standing committee,"സ്റ്റാന്‍ഡിങ് കമ്മിറ്റി, സ്ഥിരം കമ്മിറ്റി"
standing order,"സ്റ്റാന്‍ഡിങ് ഉത്തരവ്, നിലവിലുള്ള ഉത്തരവ്, സ്ഥിരം ഉത്തരവ്"
standstill,"നിലയ്ക്കൽ, നിശ്ചലനില"
starred,നക്ഷത്ര അടയാളമിട്ട
starred question,അടയാളമിട്ട ചോദ്യങ്ങൾ
starter,തുടങ്ങുന്നവന്‍
starting salary,തുടക്ക ശമ്പളം
state,"സ്റ്റേറ്റ്, രാഷ്ട്രം, സംസ്ഥാനം, സ്ഥിതി"
state banquet,"സ്റ്റേറ്റ് ബാങ്ക്വറ്റ്, രാജഭോജനം"
state government,സംസ്ഥാനഗവണ്മെന്‍റ്
state guest,"സ്റ്റേറ്റ് ഗസ്റ്റ്, സര്‍ക്കാര്‍അതിഥി"
state list,സംസ്ഥാനലിസ്റ്റ്
state of health,സ്വസ്ഥ്യ സ്ഥിതി
statement,"പ്രസ്താവന, വിവരണം, മൊഴി"
statement of account,"അക്കൌണ്ട‍ു വിവരം, കണക്കു വിവരം"
statement of facts,സംഗതിവിവരണം
statesman,രാജ്യതന്ത്രജ്ഞന്‍
static,സ്ഥിരമായ
station,"സ്റ്റേഷന്‍, നിലയം, കാര്യാലയം"
station leave,സ്റ്റേഷന്‍ വിടാനുള്ള അനുവാദം
stationary stock,സ്റ്റേഷനറി സ്റ്റോക്
stationery,"സ്റ്റേഷനറി, എഴുത്തുസാമാനം, ലേഖനസാമഗ്രി"
statistical,സ്ഥിതിവിവരസംബന്ധമായ
statistical data,സ്ഥിതിവിവരം സമ്പന്ധിച്ച ഡാറ്റ
statistics,"സാംഖ്യികം, സ്ഥിതിവിവരശാസ്ത്രം"
status,പദവി
status quo,"പൂര്‍വസ്ഥിതി, യഥാപൂര്‍വ സ്ഥിതി–സ്റ്റാറ്റസ്ക്കോ"
status report,സ്റ്റാറ്റസ് റിപ്പോര്‍ട്ട്
status symbol,ഉന്നത പദവിയുടെ അടയാളം
statute,പ്രതിമ
statutory,സ്റ്റാറ്റ്യുട്ടറി
statutory body,സ്റ്റാറ്റ്യുട്ടറി ബോഡി
statutory holiday,സ്റ്റാറ്റ്യുട്ടറി അവധി ദിവസം
statutory rights,നിയമദത്ത അധികാരം
stay,"സ്റ്റേ, നിറുത്തി വയ്പ്, നിരോധം, താമസം, താമസിക്കുക"
STD (subsriber trunk dialling),എസ്സ്.ടീ.ഡി.
steady growth,സ്ഥിരമായ
steep increase,തീവ്യവൃദ്ധി
steering committee,സ്റ്റിയറിങ് കമ്മിറ്റി
stenography,സ്റ്റെനൊഗ്രാഫി
sterilization,സ്റ്റെറിലൈസേഷന്‍
stern action,"കളങ്കം, അപമാനം"
stigma,"കളങ്കം, അപമാനം"
stimulation,ഉത്തേജനം
stipend,"സ്റ്റൈപന്‍ഡ്, സഹായധനം, വൃത്തി"
stipulate,നിശ്ചയിക്കുക
stipulated time limit,നിശ്ചിയച്ച സമയസീമ
stipulation,നിശ്ചയം
stock,സ്റ്റോക്ക്
stock register,സ്റ്റോക്ക് രജിസ്റ്റര്‍
stock valuation,സ്റ്റോക്ക്
stock-taking,സ്റ്റോക്കെടുപ്പ്
stopgap arrangement,താത്കാലിക ഏര്‍പ്പാട്
storage,"സംഭരണം, സഞ്ചയനം"
storage capacity,"സംഭരണക്ഷമത, സാഭരണ ധാരിത"
storage space,സംഭരണ സ്ഥലം
store,"സ്റ്റോര്‍, കലവറ, ഭണ്ഡാരം"
straight,"നേരേ, സ്പഷ്ടമായ"
strain,കഠിനാധ്വാനം
strange,"വിചിത്രമായ, അപരിചിതമായ"
stranger,അപരിചിതന്‍
strata,തലം
strategy,"രണനീതി, കാര്യനയം"
stratification,സ്തരീകരണം
streamline,കാര്യക്ഷമമാക്കുക
strength,ബലം
strengthen,ശക്തിപ്പെടുത്തുക
strenuous,ശ്രമസാന്ധ്യമായ
stress,ആയാസം
stress management,സ്ട്രെസ് മാനേജ്മെന്‍റ്
strict,"കര്‍ശനമായ, നിശിത"
strictly,"കൃത്യമായി, കണിശമായി"
strictness,കര്‍ശനം
stricture,"അവക്ഷേപം, താക്കീത്, പ്രതികൂലവിമര്‍ശം"
strike,"പണിമുടക്ക്, പണിമുടക്കുക"
strike call,പണിമുടക്കിനുള്ള ആഹ്വാനം
stringency,"കര്‍ശനം, ധനാഭാവം"
strip,"അഴിക്കുക, തുണ്ട്, തുണ്ടുനിലം"
strive,പ്രയത്നിക്കുക
strong room,"സ്ട്രോങ് റൂം, ബന്തവസ്സുമുറി"
structural,സംരചനാത്മകമായ
structure,"പണിപ്പാട്, ഘടന"
structured interview,സംരചിക്കപ്പെട്ട ഇന്‍റര്‍വ്യൂ
structured pay,സംരചിത വേതനം
struggle,സംഘര്ഷം
stubborn,പിടിവാശിയുള്ള
studios,സ്റ്റുഡിയോ
study,"അധ്യയനം, പഠനം, പഠനശാല"
study leave,പഠനാവധി
stuff,"പദാര്‍ഥം, സാമഗ്രി, ദ്രവ്യം, നിറയ്ക്കുക"
stupendous,വിസ്മയാവഹമായ
style,"ശൈലി, രീതി, നാരായം"
sub (subordinate),"ഉപ, അനു, താഴെയുള്ള"
sub sub-paragraph,ഉപ-ഉപ പാരഗ്രാഫ്
sub-committee,"സബ്കമ്മിറ്റി, ഉപസമിതി"
sub-contract,സബ്കോണ്‍ട്രാക്റ്റ്
sub-district,സബ് ഡിസ്ട്രിക്ട്
sub-division,സബ്ഡിവിഷന്‍
sub-head,ഉപശീര്‍ഷം
subject,വിഷയം
subjective,ആത്മനിഷ്ഠമായ
subjudice,"വിചാരണയിലിരിക്കുന്ന, സബ്ജുഡിസ്"
sublease,ഉപ
subletting,വീണ്ടും വാടകയ്ക്ക് കൊടുക്കുക
submission,"സബ്മിഷന്‍, സമര്‍പ്പണം, ബോധിപ്പിക്കുന്നത്"
submissive,വിനീതനായ
subordinate office,"കീഴിലുള്ള ആഫീസ്, അധീനസ്ഥ കാര്യാലയം"
subordinate services,സബോഡിനേറ്റ് സര്‍വീസ്
subordinate staff,കീഴ്ജീവനക്കാര്‍
subparagraph,ഉപ പാരഗ്രാഫ്
subrule,"ഉപചട്ടം, ഉപനിയമം"
subscribe,"വരികൊടുക്കുക, സമ്മതിക്കുക"
subscribed capital,പിരിവു മുതൽ
subscriber,"വരിക്കാരന്‍, കൈയൊപ്പിടുന്നവന്‍"
subscription,"വരി, വരിസംഖ്യ, കൈയൊപ്പ്"
subsection,ഉപവകുപ്പ്
subsequent,"പിന്നീടുള്ള, തുടര്‍ന്നുള്ള"
subsequent action,തുടര്‍ന്നുള്ള നടപടി
subsequently,അതിനുശേഷം
subsidiary,സഹായക
subsidiary bodies,സഹായക നികായങ്ങൾ
subsidiary industry,ഉപവ്യവസായം
subsidiary mandate,സഹായക സമാദേശം
subsidiary receipt,അപ്രധാനമായ വരവ്/കടലാസ്
subsidiary register,സഹായക രജിസ്റ്റര്‍
subsidise,"സബ്സിഡി നല്‍കുക, സഹായധനം നല്‍കുക"
subsidised,സഹായധനം നല്‍കിയിട്ടുള്ള
subsidized accommodation,സഹായധനം നല്‍കിയിട്ടുള്ള വാസസ്ഥലം
subsidy,"സബ്സിഡി, ധനസഹായം"
subsistence,ഉപജീവനം
subsistence allowance,ഉപജീവനബത്ത
subsistence grant,"നിര്‍വാഹഗ്രാന്‍റ്, ഉപജീവനഗ്രാന്‍റ്"
substandard,"തരം കുറഞ്ഞ, സബ് സ്റ്റാന്‍ഡര്‍ഡ്"
substantial,സാരമായ
substantiate,തെളിയിക്കുക
substantive,മൌലികമായ
substantive pay,മൌലീക പദവിക്കുള്ള ശമ്പളം
substantive post,മൌലികമായ പദവി
substitute,"പ്രതിസ്ഥാപനം ചെയ്യുക, പകരം ആൾ"
substitution,പ്രതിസ്ഥാപനം ചെയ്യൽ
suburban,"പരിസരം, നഗരപ്രാന്തം"
subvention,"രാജകീയ സഹായത, സാമ്പത്തിക സഹായം"
subversion,ധ്വംസം
subway,സബ്്വേ
succeeding,തുടര്‍ന്നുള്ള
succession,"പിന്‍തുടര്‍ച്ച, പിന്‍തുടര്‍ച്ചാവകാശം"
successive,"ഉത്തരോത്തരം, ആനുക്രമികമായ"
successor,"പിന്‍ഗാമി, പിന്‍തുടര്‍ച്ചാവകാശി"
succour,"സഹായം, ഉപകരിക്കുക"
sue,"വ്യവഹാരപ്പെടുത്തുക, വ്യവഹാരപ്പെട്ട"
suffer,ക്ലേശം അനുഭവിക്കുക
suffering,"വൃഥ, ക്ലേശം"
sufficient,മതിയായ
suffix,"പ്രത്യയം, ഒടുവില്‍ചേര്‍ക്കുക"
suffrage,വോട്ടവകാശം
suggestion,"അഭിപ്രായം, നിര്‍ദേശം"
suggestion box,നിര്‍ദേശ ബാക്സ്
suggestions book,നിര്‍ദേശ പുസ്തകം
suggestive,നിര്‍ദേശാത്മകമായ
suicide,ആത്മഹത്യ
suit,"സൂട്ട്, വ്യവഹാരം, അന്യായം"
suitability,അനുയോജ്യത
suitable action,ഉചിതമായ നടപടി
suited,ഉപയുക്തമായ
sum,തുക
sum up,സാരംശം നല്‍കുക
summarily,പെട്ടെന്ന്
summary,"സംക്ഷേപം, ചുരുക്കം"
summary trial,"സമ്മറി വിചാരണ, ചുരുക്കവിചാരണ"
summing up,ഉപസംഹാരം
summit,"ശിഖരം, ഉച്ചതലം"
summon,സമന്‍സ്
sumptuary allowance,വ്യയക്രമീകരണ
sundry,"വിവധ, ചില്ലറ, പലവിധ"
suo moto,സ്വമേധയാ
super timescale,സൂപ്പര്‍ ടൈംസ്കെയിൽ
superannuation,അധിവര്‍ഷത
superannuation pension,അധിവര്‍ഷപ്പെന്‍ഷന്‍
superficial,"പുറമെയുള്ള, ഉപരിഭാഗത്തുള്ള, ഉപരില്ലവ"
superfluous,അതിരിക്തമായ
superimpose,അധ്യാരോപണം
superior,"ശ്രേഷ്ഠ, വരിഷ്ഠ, ഉച്ച"
superiority,ശ്രേഷ്ഠത
supernumerary,"സൂപ്പര്‍ന്യൂമററി, സംഖ്യാധിക"
supernumerary post,അധിസംഖ്യ പദവി
superscribe,ഉപരിലേഖം ചെയ്ക
superscription,"ഉപരിലേഖം, മേല്‍വിലാസം"
supersede,പുറംതള്ളുക
supersession,അതിലംഘനം
superstructure,മുകള്‍പ്പണി
supertax,"സൂപ്പര്‍ടാക്സ്, മേല്‍നികുതി, അധികാരം, അധികനികുതി"
supervision,"മേല്‍നോട്ടം, പര്യവേഷണം"
supervisor,സൂപ്പര്‍വൈസര്‍
supervisory staff,സൂപ്പര്‍വൈസറിസ്റ്റാഫ്
supplement,"സപ്ലിമെന്‍റ്, അനുപൂരണം, പൂരിപ്പിക്കുന്ന, സംപൂരകം"
supplementary,"പൂരകം, സപ്ലിമെന്‍റ്റി ബജറ്റ്"
supplementary budget,"പൂരകബജറ്റ്, സപ്ലിമെന്‍ററി ബജറ്റ്"
supplementary cost,സപ്ലിമെന്‍ററി കോസ്റ്റ്
supplementary demand,ഉപധനാഭ്യര്‍ഥന
supplementary grant,"പൂരകഗ്രാന്‍റ്, സപ്ലിമെന്‍ററി ഗ്രാന്‍റ്"
supplementary question,ഉപചോദ്യങ്ങൾ
supplementary rules,ഉപനിയമങ്ങൾ
supplier,സപ്ലൈ ചെയ്യുന്നവന്‍
supply,"സപ്ലൈ, പ്രധാനം, വിതരണം"
support,"പിന്തുണ, അനുകൂലിക്കുക"
supporter,സമര്‍ഥകന്‍
supporting documents,സമര്‍ഥക പ്രമാണങ്ങൾ
suppress,അടിച്ചമര്‍ത്തുക
supremacy,മേല്‍ക്കോയ്മ
supreme,പരമ
surcharge,സര്‍ചാര്‍ജ്
surety,"ജാമ്യം, ജാമ്യക്കാരന്‍, ഉറപ്പ്"
surety bond,ജാമ്യപത്രം
surface inspection,"ഉപരിതല പരിശോധന, ഉപരിതലനിരീക്ഷണം"
surface transport,ഉപരിതല ഗതാഗതം
surgery,"സര്‍ജറി, ശസ്ത്രക്രിയ"
surname,"തറവാട്ടുപേര്, കുലനാമം"
surplus,"മിച്ചം, അധികമുള്ള"
surplus budget,മിച്ച ബജറ്റ്
surplus report,അധിശേഷ റിപ്പോര്‍ട്ട്
surplus staff,ആവശ്യത്തിനധികമുളള സ്റ്റാഫ്
surprise check,മിന്നല്‍പരിശോധന
surprise visit,"മിന്നല്‍സന്ദര്‍ശനം, ആകസ്മിക നിരീക്ഷണം"
surrender,"സറണ്ട‍ര്‍, കീഴടങ്ങൽ, തിരിച്ചേല്‍പ്പിക്കൽ, വിട്ടുകൊടുക്കൽ"
surroundings,പരിസര പ്രദേശം
surtax,"സര്‍ടാക്സ്, അതികരം"
surveillance,"കാവൽ, മേല്‍നോട്ടം"
survey,"സര്‍വേ, സര്‍വേക്ഷണം"
survey report,സര്‍വേ റിപ്പോര്‍ട്ട്
survival,അതിജീവനം
surviving,അതിജീവിക്കുന്ന
survivor,അതിജീവിക്കുന്നവന്‍
susceptibility,പ്രവണത
suspect,"സംശയിക്കുക, സംശയിതന്‍"
suspend,"സസ്പെന്‍ഡു ചെയ്യുക, നിറുത്തിവയ്ക്കുക"
suspense,സസ്പെന്‍സ്
suspense account,സസ്പെന്‍സ്കണക്ക്
suspension,"സസ്പെന്‍ഷന്‍, നിറുത്തിവയ്ക്കൽ, നിലംബനം"
suspension order,സസ്പെന്‍ഷന്‍ ഓര്‍ഡര്‍
suspicion,സംശയം
sustainable,ധാരണീയമായ
sustainable growth,ധാരണീയമായ വര്‍ധനവ്
sustained,തുടര്‍ച്ചയായി
swear,ശപഥം ചെയ്യുക
swearing-in-ceremony,ശപഥഗ്രഹണച്ചടങ്ങ്
syllabus,"സിലബസ്, പാഠ്യവിവരണം, പാഠ്യപദ്ധതി"
symbol,ചിഹ്നം
symmetry,"സമ്മിതി, രൂപതുല്യത"
sympathy,അനുഭാവം
sympathy strike,അനുഭാവ പണിമുടക്ക്
symposium,"സിന്വോസിയം, പരിസംവാദം"
