English,Malayalam
Negative rake,നെഗറ്റീവ് റേക്ക്
Net efficiency,നെറ്റ് കാര്യക്ഷമത
Network,നെറ്റ്വർക്ക്
Network analyser,നെറ്റ്‌വർക്ക് അനലൈസർ
Network constant,നെറ്റ്‌വർക്ക് സ്ഥിരാങ്കം
Neutral axis,ന്യൂട്രൽ അക്ഷം
No gauge,ഗേജ് ഇല്ല
No load,ലോഡ് ഇല്ല
No parking,പാർക്കുചെയ്യരുത്
Nominal size,നാമമാത്ര വലിപ്പം
Non circular,വൃത്താകൃതിയിലുള്ളതല്ല
Non condensing engine,ഘനീഭവിക്കാത്ത എഞ്ചിൻ
Non corrosive,നശിപ്പിക്കാത്തത്
Non destructive test,വിനാശകരമല്ലാത്ത പരിശോധന
Non ferrous,നോൺ ഫെറസ്
Non metallic,ലോഹമല്ലാത്തത്
Non-ferrous foundry,നോൺ-ഫെറസ് ഫൗണ്ടറി
Nonlinear distortion,രേഖീയമല്ലാത്ത വക്രീകരണം
Normal,സാധാരണ
Normal,സാധാരണ
Normal pitch,സാധാരണ പിച്ച്
Normalisation,നോർമലൈസേഷൻ
Normalized curve,നോർമലൈസ്ഡ് കർവ്
Nose bit,മൂക്ക് കട്ട്
Notch,നോച്ച്
Notch,നോച്ച്
Notch sensitivity,നോച്ച് സെൻസിറ്റിവിറ്റി
Notch toughness,നോച്ച് കാഠിന്യം
Notched bar,നോച്ച്ഡ് ബാർ
No-volt alarm,നോ-വോൾട്ട് അലാറം
Nuclear energy,ആണവോർജം
Nut,നട്ട്
Nut tap,നട്ട് ടാപ്പ്
Oblique cone,ചരിഞ്ഞ കോൺ
Observation,നിരീക്ഷണം
Off centre drilling,ഓഫ് സെന്റർ ഡ്രില്ലിംഗ്
Oil brake,ഓയിൽ ബ്രേക്ക്
Oil engine,ഓയിൽ എഞ്ചിൻ
Oil feed hole,എണ്ണ തീറ്റ ദ്വാരം
Oil fired furnace,എണ്ണ കത്തിച്ച ചൂള
Oiling,എണ്ണയിടൽ
Oilless bearing,എണ്ണയില്ലാത്ത ചുമക്കൽ
Open belt drive,ബെൽറ്റ് ഡ്രൈവ് തുറക്കുക
Open cam,കാമറ തുറക്കുക
Open coiled spring,ഓപ്പൺ കോയിൽഡ് സ്പ്രിംഗ്
Open cycle,ഓപ്പൺ സൈക്കിൾ
Operating cost,നടത്തിപ്പ് ചിലവ്
Operating point,പ്രവർത്തന പോയിന്റ്
Operation,ഓപ്പറേഷൻ
Operation,ഓപ്പറേഷൻ
Operational planning,പ്രവർത്തന ആസൂത്രണം
Operator,ഓപ്പറേറ്റർ
Operator,ഓപ്പറേറ്റർ
Opportunity cost,ഒന്ന് തിരഞ്ഞെടുക്കുമ്പോൾ മറ്റൊന്ന് നഷ്ടമാകൽ
Opposed piston engine,എതിർക്കുന്ന പിസ്റ്റൺ എഞ്ചിൻ
Optimisation,ഒപ്റ്റിമൈസേഷൻ
Optimum compression ratio,ഒപ്റ്റിമൽ കംപ്രഷൻ അനുപാതം
Optimum design,ഒപ്റ്റിമൽ ഡിസൈൻ
Optimum efficiency,ഒപ്റ്റിമൽ കാര്യക്ഷമത
Organisation,സംഘടന
Orifice,ദ്വാരം
Orifice meter,ഓറിഫിസ് മീറ്റർ
Original design,യഥാർത്ഥ ഡിസൈൻ
Oscillating axle,ഓസിലേറ്റിംഗ് ആക്സിൽ
Oscillation,ആന്ദോളനം
Oscillator,ഓസിലേറ്റർ
Oscillogram,ഓസിലോഗ്രാം
Oscillograph,ഓസിലോഗ്രാഫ്
Oscilloscope,ഓസിലോസ്കോപ്പ്
Otto cycle,ഓട്ടോ സൈക്കിൾ
Otto engine,ഓട്ടോ എഞ്ചിൻ
Outgoing,ഔട്ട്ഗോയിംഗ്
Outgoing quantity,ഔട്ട്ഗോയിംഗ് അളവ്
Outlay,ചെലവ്
Outlet,ഔട്ട്ലെറ്റ്
Outlet,ഔട്ട്ലെറ്റ്
Outlet area,ഔട്ട്ലെറ്റ് ഏരിയ
Outline,രൂപരേഖ
Outline,രൂപരേഖ
Output,ഔട്ട്പുട്ട്
Output,ഔട്ട്പുട്ട്
Output,ഔട്ട്പുട്ട്
Output energy,ഔട്ട്പുട്ട് ഊർജ്ജം
Outside cylinder,പുറത്ത് സിലിണ്ടർ
Outside lap,പുറത്ത് മടിയിൽ
Oven,ഓവൻ
Over damped system,ഓവർ ഡാംപ്ഡ് സിസ്റ്റം
Over damping,ഓവർ ഡാംപിംഗ്
Over drive,ഓവർ ഡ്രൈവ്
Over running clutch,ഓവർ റണ്ണിംഗ് ക്ലച്ച്
Over steering,ഓവർ സ്റ്റിയറിംഗ്
Over time,അധിക സമയം
Overflow,ഓവർഫ്ലോ
Overflow,ഓവർഫ്ലോ
Overhauling,ഓവർഹോൾ ചെയ്യുന്നു
Overhead valve engine,ഓവർഹെഡ് വാൽവ് എഞ്ചിൻ
Overlap,ഓവർലാപ്പ്
Overlap,ഓവർലാപ്പ്
Oversize,അമിത വലിപ്പം
Overtaking,മറികടക്കുന്നു
Overturning,മറിച്ചിടുന്നു
Oxy-acetylene cutting,ഓക്സി-അസെറ്റിലീൻ കട്ടിംഗ്
Oxy-acetylene flame,ഓക്സി-അസെറ്റിലീൻ ജ്വാല
Pack,പാക്ക്
Pack carburising,പാക്ക് കാർബറൈസിംഗ്
Packaging,പാക്കേജിംഗ്
Packing,പാക്കിംഗ്
Packing,പാക്കിംഗ്
Packing industry,പാക്കിംഗ് വ്യവസായം
Pad,പാഡ്
Pad bolt,പാഡ് ബോൾട്ട്
Pan head,പാൻ തല
Parallel flow heat exchanger,പാരലൽ ഫ്ലോ ഹീറ്റ് എക്സ്ചേഞ്ചർ
Parallel shank drill,സമാന്തര ഷങ്ക് ഡ്രിൽ
Parent metal,പാരന്റ് മെറ്റൽ
Parking brake,പാർക്കിങ് ബ്രേക്ക്
Parking lot,പാർക്കിംഗ് സ്ഥലം
Parking place,പാർക്കിംഗ് സ്ഥലം
Parting,വേർപിരിയൽ
Parting line,വിഭജന ലൈൻ
Parting off,പിരിയുന്നു
Parting sand,വിഭജിക്കുന്ന മണൽ
Parting tool,വിഭജന ഉപകരണം
Pattern,മാതൃക
Pattern shop,പാറ്റേൺ ഷോപ്പ്
Pedestal bearing,പീഠം വഹിക്കുന്നത്
Pedestal bearing,പീഠം വഹിക്കുന്നത്
Peen nut,പീൻ നട്ട്
Peening,പീനിംഗ്
Pelton turbine,പെൽട്ടൺ ടർബൈൻ
Penetration,നുഴഞ്ഞുകയറ്റം
Penstock,പെൻസ്റ്റോക്ക്
Percussion drill,പെർക്കുഷൻ ഡ്രിൽ
Perforated pipe,സുഷിരങ്ങളുള്ള പൈപ്പ്
Perforating machine,സുഷിരം യന്ത്രം
Periodic conduction,ആനുകാലിക ചാലകം
Periodic couple,ആനുകാലിക ദമ്പതികൾ
Permeability,പ്രവേശനക്ഷമത
Permissible stress,അനുവദനീയമായ സമ്മർദ്ദം
Petrol engine,പെട്രോൾ എഞ്ചിൻ
Petrolium cracking,പെട്രോളിയം പൊട്ടൽ
Phase displacement,ഘട്ടം സ്ഥാനചലനം
Phase distortion,ഘട്ടം വക്രീകരണം
Photo elasticity,ഫോട്ടോ ഇലാസ്തികത
Physical constant,ഫിസിക്കൽ സ്ഥിരാങ്കം
Piercing die,തുളച്ച് മരിക്കുന്നു
Piezometer,പീസോമീറ്റർ
Pillar,സ്തംഭം
Pillar drilling machine,പില്ലർ ഡ്രില്ലിംഗ് മെഷീൻ
Pin hinge,പിൻ ഹിഞ്ച്
Pin hole,പിൻ ദ്വാരം
Pin joint,പിൻ ജോയിന്റ്
Pin,പിൻ
Pin,പിൻ
Pin,പിൻ
Pinch bar,പിഞ്ച് ബാർ
Pipe fitting,പൈപ്പ് ഫിറ്റിംഗ്
Pipe flow,പൈപ്പ് ഒഴുക്ക്
Pipe foundry,പൈപ്പ് ഫൗണ്ടറി
Pipe thread,പൈപ്പ് ത്രെഡ്
Piping,പൈപ്പിംഗ്
Piston,പിസ്റ്റൺ
Piston effort,പിസ്റ്റൺ ശ്രമം
Piston ring,പിസ്റ്റൺ റിംഗ്
Piston rod,പിസ്റ്റൺ വടി
Piston stroke,പിസ്റ്റൺ സ്ട്രോക്ക്
Pit,കുഴി
Pit casting,കുഴി കാസ്റ്റിംഗ്
Pit moulding,കുഴി മോൾഡിംഗ്
Pit saw file,പിറ്റ് സോ ഫയൽ
Pitch,പിച്ച്
Pitch circle,പിച്ച് സർക്കിൾ
Pitch cylinder,പിച്ച് സിലിണ്ടർ
Pitch error,പിച്ച് പിശക്
Pitch line,പിച്ച് ലൈൻ
Pitch point,പിച്ച് പോയിന്റ്
Pitching,പിച്ചിംഗ്
Pitching,പിച്ചിംഗ്
Pitching,പിച്ചിംഗ്
Pitot tube,പിറ്റോട്ട് ട്യൂബ്
Pitting,കുഴികൾ
Pivot,പിവറ്റ്
Plain bearing,പ്ലെയിൻ ബെയറിംഗ്
Plan,പ്ലാൻ ചെയ്യുക
Plan,പ്ലാൻ ചെയ്യുക
Planchet,പ്ലാൻചെറ്റ്
Plane,വിമാനം
Plane,വിമാനം
Plane strain,വിമാനം ബുദ്ധിമുട്ട്
Plane stress,വിമാന സമ്മർദ്ദം
Planer,പ്ലാനർ
Planer centre,പ്ലാനർ സെന്റർ
Planing machine,പ്ലാനിംഗ് മെഷീൻ
Planishing,പ്ലാനിഷിംഗ്
Planning,ആസൂത്രണം
Plant,പ്ലാന്റ്
Plant and machinery,പ്ലാന്റും യന്ത്രങ്ങളും
Plant factor,സസ്യ ഘടകം
Plant layout,പ്ലാന്റ് ലേഔട്ട്
Plant machinery,പ്ലാന്റ് മെഷിനറി
Plasma flame cutting,പ്ലാസ്മ ജ്വാല മുറിക്കൽ
Plastic analysis,പ്ലാസ്റ്റിക് വിശകലനം
Plastic deformation,പ്ലാസ്റ്റിക് രൂപഭേദം
Plastic hinge,പ്ലാസ്റ്റിക് ഹിഞ്ച്
Plastic limit,പ്ലാസ്റ്റിക് പരിധി
Plastic pattern,പ്ലാസ്റ്റിക് പാറ്റേൺ
Plate,പാത്രം
Play,കളിക്കുക
Pliers,പ്ലയർ
Plotting,പ്ലോട്ടിംഗ്
Plug gauge,പ്ലഗ് ഗേജ്
Pneumatic,ന്യൂമാറ്റിക്
Pneumatic aspirator,ന്യൂമാറ്റിക് ആസ്പിറേറ്റർ
Pneumatic actuator,ന്യൂമാറ്റിക് ആക്യുവേറ്റർ
Pneumatic drill,ന്യൂമാറ്റിക് ഡ്രിൽ
Pneumatic gauge,ന്യൂമാറ്റിക് ഗേജ്
Pneumatic hammer,ന്യൂമാറ്റിക് ചുറ്റിക
Point contact,പോയിന്റ് കോൺടാക്റ്റ്
Point gauge,പോയിന്റ് ഗേജ്
Pole split converter,പോൾ സ്പ്ലിറ്റ് കൺവെർട്ടർ
Polytropic compression,പോളിട്രോപിക് കംപ്രഷൻ
Polytropic exponent,പോളിട്രോപിക് എക്‌സ്‌പോണന്റ്
Pool boiling,തിളയ്ക്കുന്ന കുളം
Potential drop,സാധ്യതയുള്ള ഡ്രോപ്പ്
Power hammer,പവർ ചുറ്റിക
Precision drilling machine,കൃത്യമായ ഡ്രില്ലിംഗ് മെഷീൻ
Precision grinding,കൃത്യമായ പൊടിക്കൽ
Pressure control device,സമ്മർദ്ദ നിയന്ത്രണ ഉപകരണം
Pressure filter,പ്രഷർ ഫിൽട്ടർ
Pressure gauge,പ്രഷർ ഗേജ്
Primary air,പ്രാഥമിക വായു
Primary balancing,പ്രാഥമിക ബാലൻസിങ്
Primary component,പ്രാഥമിക ഘടകം
Primary couple,പ്രാഥമിക ദമ്പതികൾ
Probability,സാധ്യത
Process chart,പ്രോസസ്സ് ചാർട്ട്
Process industry,പ്രക്രിയ വ്യവസായം
Process planning,പ്രക്രിയ ആസൂത്രണം
Processing,പ്രോസസ്സിംഗ്
Processing,പ്രോസസ്സിംഗ്
Producer gas,പ്രൊഡ്യൂസർ ഗ്യാസ്
Product design,ഉല്പ്പന്നത്തിന്റെ രൂപകല്പ്പന
Production,ഉത്പാദനം
Production,ഉത്പാദനം
Production efficiency,ഉൽപ്പാദനക്ഷമത
Production engineer,പ്രൊഡക്ഷൻ എഞ്ചിനീയർ
Production line,പ്രൊഡക്ഷൻ ലൈൻ
Production order,പ്രൊഡക്ഷൻ ഓർഡർ
Production planning,ഉൽപ്പാദന ആസൂത്രണം
Productive capacity,ഉൽപാദന ശേഷി
Productivity,ഉത്പാദനക്ഷമത
Profile,പ്രൊഫൈൽ
Profile,പ്രൊഫൈൽ
Progressive aging,പുരോഗമന വാർദ്ധക്യം
Progressive blanking,പുരോഗമനപരമായ ബ്ലാങ്കിംഗ്
Project,പദ്ധതി
Project,പദ്ധതി
Projection welding,പ്രൊജക്ഷൻ വെൽഡിംഗ്
Proof stress,സമ്മർദ്ദം തെളിയിക്കുന്നു
Propellent,പ്രൊപ്പല്ലന്റ്
Propeller,പ്രൊപ്പല്ലർ
Propelling force,പ്രേരണ ശക്തി
Property,സ്വത്ത്
Proportional limit,ആനുപാതിക പരിധി
Proportioning,അനുപാതം
Propulsion,പ്രൊപ്പൽഷൻ
Prototype,പ്രോട്ടോടൈപ്പ്
Proximate analysis,പ്രോക്സിമേറ്റ് വിശകലനം
Pull,വലിക്കുക
Pull tool,ടൂൾ വലിക്കുക
Pulsating load,സ്പന്ദിക്കുന്ന ലോഡ്
Pulverised,പൊടിച്ചു
Pulverised fuel,പൊടിച്ച ഇന്ധനം
Pumice stone,പ്യൂമിസ് കല്ല്
Pump,അടിച്ചുകയറ്റുക
Pump diffuser,പമ്പ് ഡിഫ്യൂസർ
Pump head,പമ്പ് തല
Pump plunger,പമ്പ് പ്ലങ്കർ
Pumped storae plant,പമ്പ് ചെയ്ത സ്റ്റോർ പ്ലാന്റ്
Pumping,പമ്പിംഗ്
Punch,പഞ്ച്
Punch card,പഞ്ച് കാർഡ്
Punch press die,പഞ്ച് പ്രസ്സ് ഡൈ
Punching,പഞ്ചിംഗ്
Punching machine,പഞ്ചിംഗ് മെഷീൻ
Pure bending,ശുദ്ധമായ വളവ്
Pure rolling,ശുദ്ധമായ റോളിംഗ്
Pure shear,ശുദ്ധമായ കത്രിക
Push button,ഞെക്കാനുള്ള ബട്ടണ്
Pyrometer,പൈറോമീറ്റർ
Pyroscope,പൈറോസ്കോപ്പ്
Quality control,ഗുണനിലവാര നിയന്ത്രണം
Quality of mix,മിശ്രിതത്തിന്റെ ഗുണനിലവാരം
Quality of steam,നീരാവിയുടെ ഗുണനിലവാരം
Quality standard,ഗുണനിലവാര നിലവാരം
Quantitative analysis,അളവ് വിശകലനം
Quench zone,ക്വഞ്ച് സോൺ
Quenching,ശമിപ്പിക്കുന്നു
Quenching bath,ശമിപ്പിക്കുന്ന കുളി
Quenching machine,ശമിപ്പിക്കുന്ന യന്ത്രം
Quick freezing,ദ്രുത മരവിപ്പിക്കൽ
Quick lime,പെട്ടെന്നുള്ള നാരങ്ങ
Quick return motion,ദ്രുത മടക്ക ചലനം
Rachet brace,റേച്ചെ ബ്രേസ്
Racing,റേസിംഗ്
Rack,റാക്ക്
Rack & gear pinion,റാക്ക് &amp; ഗിയർ പിനിയൻ
Racking force,റാക്കിംഗ് ശക്തി
Radial,റേഡിയൽ
Radial drill,റേഡിയൽ ഡ്രിൽ
Radial drilling machine,റേഡിയൽ ഡ്രില്ലിംഗ് മെഷീൻ
Radial feed,റേഡിയൽ ഫീഡ്
Radial flow,റേഡിയൽ ഫ്ലോ
Radial slot,റേഡിയൽ സ്ലോട്ട്
Radiant absorptivity,റേഡിയന്റ് ആഗിരണം
Radiant energy,വികിരണ ഊർജ്ജം
Radiation efficiency,റേഡിയേഷൻ കാര്യക്ഷമത
Radiation pyrometer,റേഡിയേഷൻ പൈറോമീറ്റർ
Radiation shielding,റേഡിയേഷൻ ഷീൽഡിംഗ്
Radiator,റേഡിയേറ്റർ
Radius,ആരം
Rag bolt,റാഗ് ബോൾട്ട്
Rag wheel,റാഗ് വീൽ
Rail,റെയിൽ
Ram jet,റാം ജെറ്റ്
Ram type turret lathe,റാം ടൈപ്പ് ടററ്റ് ലാത്ത്
Ramming,റാമിംഗ്
Rankine cycle,റാങ്കിൻ സൈക്കിൾ
Rankine efficiency,റാങ്കിൻ കാര്യക്ഷമത
Rare metal,അപൂർവ ലോഹം
Ratchet,റാറ്റ്ചെറ്റ്
Ratchet wheel,റാറ്റ്ചെറ്റ് വീൽ
Rate,നിരക്ക്
Rated output,റേറ്റുചെയ്ത ഔട്ട്പുട്ട്
Rating,റേറ്റിംഗ്
Rating,റേറ്റിംഗ്
Rating of machine,യന്ത്രത്തിന്റെ റേറ്റിംഗ്
Rating scale,റേറ്റിംഗ് സ്കെയിൽ
Raw material,അസംസ്കൃത വസ്തു
Reaciton force,റിയാസിറ്റൺ ഫോഴ്സ്
Reaction rate constant,പ്രതികരണ നിരക്ക് സ്ഥിരം
Reaciton turbine,റിയാസിറ്റൺ ടർബൈൻ
Reading,വായന
Reamer,റീമർ
Reaming,റീമിംഗ്
Rebound test,റീബൗണ്ട് ടെസ്റ്റ്
Reciprocating compressor,റെസിപ്രോക്കേറ്റിംഗ് കംപ്രസർ
Reciprocating engine,റെസിപ്രോക്കേറ്റിംഗ് എഞ്ചിൻ
Reciprocating motion,പരസ്പര ചലനം
Reciprocating pump,റെസിപ്രോക്കേറ്റിംഗ് പമ്പ്
Reciprocity,പരസ്പരബന്ധം
Reciprocity,പരസ്പരബന്ധം
Recirculation,പുനഃചംക്രമണം
Reconditioning,റീകണ്ടീഷനിംഗ്
Reconditioning,റീകണ്ടീഷനിംഗ്
Record,രേഖപ്പെടുത്തുക
Recording temperature,താപനില രേഖപ്പെടുത്തുന്നു
Rectilinear absorber,റെക്റ്റിലീനിയർ അബ്സോർബർ
Rectilinear motion,റെക്റ്റിലീനിയർ ചലനം
Red hardness,ചുവന്ന കാഠിന്യം
Red lead,ചുവന്ന ലീഡ്
Red shot,ചുവന്ന ഷോട്ട്
Reducing atmosphere,അന്തരീക്ഷം കുറയ്ക്കുന്നു
Reducing die,മരണം കുറയ്ക്കുന്നു
Reducing flame,ജ്വാല കുറയ്ക്കുന്നു
Reduction gearing,റിഡക്ഷൻ ഗിയറിംഗ്
Refractory,റിഫ്രാക്റ്ററി
Refrigeration,റഫ്രിജറേഷൻ
Refrigerator,റഫ്രിജറേറ്റർ
Regeneration,പുനരുജ്ജീവനം
Regeneration,പുനരുജ്ജീവനം
Regenerative brake,പുനരുൽപ്പാദിപ്പിക്കുന്ന ബ്രേക്ക്
Regenerative braking,പുനരുൽപ്പാദിപ്പിക്കുന്ന ബ്രേക്കിംഗ്
Regenerative steam accumulator,പുനരുൽപ്പാദിപ്പിക്കുന്ന സ്റ്റീം അക്യുമുലേറ്റർ
Reheat cycle,വീണ്ടും ചൂടാക്കൽ ചക്രം
Reheater,റീഹീറ്റർ
Releif valve,റിലീഫ് വാൽവ്
Recovability,വീണ്ടെടുക്കൽ
Repair,നന്നാക്കുക
Replacement cost,മാറ്റിസ്ഥാപിക്കാനുള്ള ചെലവ്
Reproducer,പുനർനിർമ്മാതാവ്
Re-run,വീണ്ടും പ്രവർത്തിപ്പിക്കുക
Residual gas,ശേഷിക്കുന്ന വാതകം
Residual strength,ശേഷിക്കുന്ന ശക്തി
Resilience,പ്രതിരോധശേഷി
Resilient gearing,പ്രതിരോധശേഷിയുള്ള ഗിയറിംഗ്
Resistance welding,റെസിസ്റ്റൻസ് വെൽഡിംഗ്
Resisting couple,എതിർക്കുന്ന ദമ്പതികൾ
Restitution,പുനഃസ്ഥാപനം
Restitution,പുനഃസ്ഥാപനം
Resultant pressure,ഫലമായുണ്ടാകുന്ന സമ്മർദ്ദം
Return bend,മടക്ക വളവ്
Reverse bend test,റിവേഴ്സ് ബെൻഡ് ടെസ്റ്റ്
Reverse curve,റിവേഴ്സ് കർവ്
Reversible adiabatic compression,റിവേഴ്സിബിൾ അഡിയബാറ്റിക് കംപ്രഷൻ
Reversible adiabatic expansion,റിവേഴ്സിബിൾ അഡിയബാറ്റിക് എക്സ്പാൻഷൻ
Reversible engine,റിവേഴ്സിബിൾ എഞ്ചിൻ
Reversible isothermal compression,റിവേഴ്സിബിൾ ഐസോതെർമൽ കംപ്രഷൻ
Reversible stress,വിപരീത സമ്മർദ്ദം
Reversing mechanism,റിവേഴ്‌സിംഗ് മെക്കാനിസം
Reverted gear train,തിരിച്ചിട്ട ഗിയർ ട്രെയിൻ
Reynold's number,റെയ്നോൾഡിന്റെ നമ്പർ
Rib,വാരിയെല്ല്
Rich fuel,സമ്പന്നമായ ഇന്ധനം
Right hand helix,വലത് കൈ ഹെലിക്സ്
Rigid,അയവില്ലാത്ത
Rigid coupling,കർക്കശമായ കപ്ലിംഗ്
Rim,റിം
Rimming,റിമ്മിംഗ്
Ring nut,റിംഗ് നട്ട്
Ringing fit,റിംഗിംഗ് ഫിറ്റ്
Rivet,റിവറ്റ്
Rivetted joint,റിവറ്റഡ് ജോയിന്റ്
Rivetter,റിവേറ്റർ
Rivetting die,റിവറ്റിംഗ് ഡൈ
Rivetting machine,റിവറ്റിംഗ് മെഷീൻ
Rocker shaft,റോക്കർ ഷാഫ്റ്റ്
Rod,വടി
Roll,റോൾ ചെയ്യുക
Roll forming,റോൾ രൂപീകരണം
Rolled section,ഉരുട്ടിയ ഭാഗം
Rolled steel,ഉരുട്ടിയ ഉരുക്ക്
Rolled thread bolt,ഉരുട്ടിയ ത്രെഡ് ബോൾട്ട്
Roller bearing,റോളർ ബെയറിംഗ്
Roller mill,റോളർ മിൽ
Rolling,ഉരുളുന്നു
Rolling,ഉരുളുന്നു
Rolling load,റോളിംഗ് ലോഡ്
Rolling mill,റോളിംഗ് മിൽ
Root,റൂട്ട്
Rope brake,റോപ്പ് ബ്രേക്ക്
Rope way,കയർ വഴി
Rotary,റോട്ടറി
Rotary compressor,റോട്ടറി കംപ്രസർ
Rotary converter,റോട്ടറി കൺവെർട്ടർ
Rotary drive,റോട്ടറി ഡ്രൈവ്
Rotary file,റോട്ടറി ഫയൽ
Rotary pump,റോട്ടറി പമ്പ്
Rotary speed,റോട്ടറി വേഗത
Rotary welding set,റോട്ടറി വെൽഡിംഗ് സെറ്റ്
Rotate,തിരിക്കുക
Rotating cylinder,കറങ്ങുന്ന സിലിണ്ടർ
Rotating disc,കറങ്ങുന്ന ഡിസ്ക്
Rotation,ഭ്രമണം
Rotational kinetic energy,ഭ്രമണ ഗതികോർജ്ജം
Roto-finish,റോട്ടോ-ഫിനിഷ്
Rotor,റോട്ടർ
Rough file,പരുക്കൻ ഫയൽ
Rough tool,പരുക്കൻ ഉപകരണം
Roughing teeth,പരുക്കൻ പല്ലുകൾ
Round file,വൃത്താകൃതിയിലുള്ള ഫയൽ
Router,റൂട്ടർ
Router,റൂട്ടർ
Routing,റൂട്ടിംഗ്
Routing tool,റൂട്ടിംഗ് ഉപകരണം
Rubber,റബ്ബർ
Rudder,ചുക്കാൻ
Run,ഓടുക
Runner,ഓട്ടക്കാരൻ
Runner,ഓട്ടക്കാരൻ
Rupture,പിളര്പ്പ്
Rust-proof metal,റസ്റ്റ് പ്രൂഫ് മെറ്റൽ
Saddle,സാഡിൽ
Safe,സുരക്ഷിതം
Safe guard,സുരക്ഷിത കാവൽ
Safe landing,സുരക്ഷിതമായ ലാൻഡിംഗ്
Safe working stress,സുരക്ഷിതമായ ജോലി സമ്മർദ്ദം
Salvage,സാൽവേജ്
Sample,സാമ്പിൾ
Sampling,സാമ്പിളിംഗ്
Sand blasting,മണൽ പൊട്ടിക്കൽ
Sand mould,മണൽ പൂപ്പൽ
Sand moulding,മണൽ മോൾഡിംഗ്
Saturated air,പൂരിത വായു
Saturated steam,പൂരിത നീരാവി
Saturation,സാച്ചുറേഷൻ
Saw,കണ്ടു
Saw mill,സോ മിൽ
Saw tooth clutch,ടൂത്ത് ക്ലച്ച് കണ്ടു
Sawing machine,സോവിംഗ് മെഷീൻ
Sclae model,സ്‌ക്ലേ മോഡൽ
Scavenging,തോട്ടിപ്പണി
Scheduling,ഷെഡ്യൂളിംഗ്
Scrap iron,സ്ക്രാപ്പ് ഇരുമ്പ്
Scraping,സ്ക്രാപ്പിംഗ്
Screw,സ്ക്രൂ
Screw cutting lathe,സ്ക്രൂ കട്ടിംഗ് ലാത്ത്
Screw driver,സ്ക്രൂഡ്രൈവർ
Screw driver,സ്ക്രൂ ഡ്രൈവർ
Screw feed,സ്ക്രൂ ഫീഡ്
Screw impeller,സ്ക്രൂ ഇംപെല്ലർ
Screw jack,സ്ക്രൂ ജാക്ക്
Screw pitch gauge,സ്ക്രൂ പിച്ച് ഗേജ്
Screw thread,സ്ക്രൂ ത്രെഡ്
Scriber,സ്‌ക്രൈബർ
Scriber,സ്‌ക്രൈബർ
Seam,സീം
Seam welding,സീം വെൽഡിംഗ്
Seat,ഇരിപ്പിടം
Seating,ഇരിപ്പിടം
Seating,ഇരിപ്പിടം
Secondary hardening,ദ്വിതീയ കാഠിന്യം
Secondary stress,ദ്വിതീയ സമ്മർദ്ദം
Self adjusting brake,സ്വയം ക്രമീകരിക്കുന്ന ബ്രേക്ക്
Self centring chuck,സ്വയം കേന്ദ്രീകരിക്കുന്ന ചക്ക്
Self energizing brake,സ്വയം ഊർജ്ജസ്വലമായ ബ്രേക്ക്
Self hardening steel,സ്വയം കാഠിന്യം സ്റ്റീൽ
Self ignition,സ്വയം ജ്വലനം
Self ignition engine,സ്വയം ഇഗ്നിഷൻ എഞ്ചിൻ
Self lubrication bearing,സ്വയം ലൂബ്രിക്കേഷൻ ബെയറിംഗ്
Semi automatic arc welding,സെമി ഓട്ടോമാറ്റിക് ആർക്ക് വെൽഡിംഗ്
Semi diesel engine,സെമി ഡീസൽ എഞ്ചിൻ
Semi skilled workman,അർദ്ധ വിദഗ്ധ തൊഴിലാളി
Sensible energy,സെൻസിബിൾ എനർജി
Separation clearance,വേർതിരിക്കൽ ക്ലിയറൻസ്
Sepctrum analyser,സെപ്ക്ട്രം അനലൈസർ
Serial comparator,സീരിയൽ താരതമ്യക്കാരൻ
Serration gauge,സെറേഷൻ ഗേജ്
Service,സേവനം
Service life,സേവന ജീവിതം
Servo drive,സെർവോ ഡ്രൈവ്
Setting,ക്രമീകരണം
Setting,ക്രമീകരണം
Setting,ക്രമീകരണം
Setting,ക്രമീകരണം
Setting down,സജ്ജീകരിക്കുന്നു
Shaft,ഷാഫ്റ്റ്
Shaft,ഷാഫ്റ്റ്
Shaft basis system,ഷാഫ്റ്റ് അടിസ്ഥാന സംവിധാനം
Shaft seal,ഷാഫ്റ്റ് സീൽ
Shank,കണങ്കാല്
Shaper,ഷേപ്പർ
Shaping,രൂപപ്പെടുത്താനും
Sharp curve,മൂർച്ചയുള്ള വക്രം
Shear force,ഷിയർ ഫോഴ്സ്
Shear pin,ഷിയർ പിൻ
Shear resistance,ഷിയർ പ്രതിരോധം
Shear strain,ഷിയർ സ്ട്രെയിൻ
Shear stress,കത്രിക സമ്മർദ്ദം
Shearing die,ഷിയറിംഗ് ഡൈ
Sheave,ഷീവ്
Sheet metal,ഷീറ്റ് മെറ്റൽ
Shellac bond,ഷെല്ലക്ക് ബോണ്ട്
Shime gauge,ഷൈം ഗേജ്
Shock valve,ഷോക്ക് വാൽവ്
Shop tool,ഷോപ്പ് ഉപകരണം
Short peening,ഷോർട്ട് പീനിംഗ്
Shortness,ഷോർട്ട്നെസ്സ്
Shot blasting,ഷോട്ട് സ്ഫോടനം
Shoulder punch,തോളിൽ പഞ്ച്
Shrink fit,ചുരുക്കുക
Shrinkage allowance,ചുരുങ്ങൽ അലവൻസ്
Shrinkage allowance,ചുരുങ്ങൽ അലവൻസ്
