Punjabi,English
ਖੁਦਾਈ,Excavation
ਸ਼ਾਨਦਾਰ,Excellent
ਅਪਵਾਦ,Exception
ਬੇਮਿਸਾਲ,Exceptional
ਵਧੇਰੇ,Excess
ਐਕਸਚੇਂਜ,Exchange
ਖਜ਼ਾਨੇ,Exchequer
ਆਬਕਾਰੀ (= ਆਬਕਾਰੀ ਡਿ duty ਟੀ),Excise (=excise duty)
ਬਾਹਰ ਕੱ .ੋ,Exclude
ਨਿਵੇਕਲਾ,Exclusive
ਬਹਾਨਾ,Excuse
ਚਲਾਓ,Execute
ਕਾਰਜਕਾਰੀ,Executive
ਕਾਰਜਕਾਰੀ ਕਮੇਟੀ,Executive committee
ਕਾਰਜਕਾਰੀ ਸ਼ਕਤੀ,Executive power
ਕਾਰਜਕਾਰੀ,Executives
ਕਾਰਜਕਾਰੀ ਅਮਲੇ,Executive staff
ਛੋਟ,Exempt
ਛੋਟ,Exemption
ਕਸਰਤ,Exercise
ਸਾਬਕਾ ਗ੍ਰੇਟੀਆ,Ex-gratia
ਸਾਬਕਾ ਗ੍ਰੈਟੀਆ ਭੁਗਤਾਨ,Ex-gratia payment
ਨਿਕਾਸ,Exhaust
ਥਕਾਵਟ,Exhaustive
ਪ੍ਰਦਰਸ਼ਨੀ,Exhibit
ਤਹਿ,Exigency
Exim ਨੀਤੀ,Exim policy
ਨਿਕਾਸ,Exit
ਬੰਦ ਕਰੋ ਇੰਟਰਵਿ.,Exit interview
ਬੰਦ ਕਰਨ ਦੀ ਨੀਤੀ,Exit policy
ਵਗਣ ਦੀ ਪੋਲ,Exit poll
ਸਾਬਕਾ ਕਾਰਜਕਾਰੀ,Ex-officio
ਸਹਿਯੋਗੀ,Exonerate
ਵਿਸਥਾਰ,Expansion
ਸਾਬਕਾ ਪਾਰਟ,Ex-parte
ਮਿਆਦ ਪੁੱਗਣ,Expatriation
Expedient,Expedient
ਤੇਜ਼,Expedite
ਕੱ exp ੋ,Expel
ਖਰਚ,Expenditure
ਤਜਰਬਾ,Experience
ਪ੍ਰਯੋਗ,Experiment
ਮਾਹਰ,Expert
ਮਿਆਦ ਖਤਮ,Expiry
ਅੰਤ ਦੀ ਤਾਰੀਖ,Expiry date
ਵਿਆਖਿਆ,Explanation
ਸਪਸ਼ਟ,Explicit
ਸ਼ੋਸ਼ਣ,Exploitation
ਪੜਚੋਲ,Explore
ਧਮਾਕਾ,Explosion
ਨਿਰਯਾਤ,Export
ਸਾਬਕਾ ਪੋਸਟ ਫੈਕਟੋ,Ex-post facto
ਐਕਸਪ੍ਰੈਸ,Express
ਸਮੀਕਰਨ,Expression
ਕੱ ul ੇ ਜਾਣ,Expulsion
ਐਕਸਗਰਜ,Expunge
ਵਧਾਓ,Extend
ਹੱਦ,Extent
ਬਾਹਰੀ,External
ਜਬਰਦਸਤੀ,Extortion
ਵਾਧੂ,Extra
ਐਬਸਟਰੈਕਟ,Extract
ਅਸਧਾਰਨ,Extraordinary
ਅਤਿਕਥਨੀ,Extravagant
ਕੱਟੜਪੰਥੀ,Extremist
ਐਕਸਟਰੋਵਰਟ,Extrovert
ਅੱਖ ਗਵਾਹ,Eye witness
ਮਨਘੜਤ,Fabricate
ਅੰਕਿਤ ਮੁੱਲ,Face value
ਸਹੂਲਤ,Facilitate
ਸਹੂਲਤ,Facility
ਪੱਖ,Facsimile
ਤੱਥ,Fact
ਧੜੇਬੰਦੀ,Factionalism
ਕਾਰਕ,Factor
ਫੈਕਟਰੀ,Factory
ਤੱਥ,Factual
ਫੈਕਲਟੀ,Faculty
ਫੇਲ,Fail
ਮੇਲਾ,Fair
ਵਿਸ਼ਵਾਸ,Faith
ਫਰਜ਼ੀ,Fake
ਪਰਿਵਾਰ,Family
ਅਕਾਲ,Famine
ਕਿਰਾਇਆ,Fare
ਅਲਵਿਦਾ,Farewell
ਖੇਤੀ,Farming
ਥਕਾਵਟ,Fatigue
ਨੁਕਸ,Fault
ਹੱਕ,Favour
ਸੰਭਾਵਨਾ,Feasibility
ਫੈਡਰੇਸ਼ਨ,Federation
ਫੀਸ,Fee
ਸੁਝਾਅ,Feed back
ਮਹਿਸੂਸ,Feeling
ਪ੍ਰਸੰਗ,Felicitate
ਸਾਥੀ,Fellow
ਫੈਲੋਸ਼ਿਪ,Fellowship
Female ਰਤ,Female
ਉਪਜਾ.,Fertile
ਕਾਲਪਨਿਕ,Fictitious
ਵਫ਼ਾਦਾਰੀ,Fidelity
ਖੇਤਰ,Field
ਚਿੱਤਰ,Figure
ਫਾਈਲ,File
ਫਾਈਲਿੰਗ,Filing
ਫਿਲਮ,Film
ਅੰਤਿਮ,Final
ਵਿੱਤ,Finance
ਵਿੱਤੀ,Financial
ਫਾਇਰਮੈਨਾਈਅਰ,Financier
ਖੋਜ,Findings
ਵਧੀਆ,Fine
ਕਲਾ,Fine arts
ਫਿੰਗਰ ਪ੍ਰਿੰਟ,Finger print
ਮੁਕੰਮਲ ਮਾਲ,Finished goods
ਅੱਗ,Fire
ਫਾਇਰਿੰਗ,Firing
ਫਰਮ,Firm
ਮੁਢਲੀ ਡਾਕਟਰੀ ਸਹਾਇਤਾ,First aid
ਬਹੁਤ ਵਧੀਆ,First class
ਪਹਿਲਾ ਭਾਗ,First division
ਪਹਿਲੀ ਜਾਣਕਾਰੀ ਰਿਪੋਰਟ,First information report
ਫਿਸਕਲ,Fiscal
ਮੱਛੀ ਪਾਲਣ,Fisheries
ਫਿੱਟ,Fit
ਤੰਦਰੁਸਤੀ,Fitness
ਠੀਕ ਕਰੋ,Fix
ਨਿਰਧਾਰਤ,Fixation
ਸਥਿਰ,Fixed
ਝੰਡਾ,Flag
ਫਲੈਪ,Flap
ਫਲੈਟ,Flat
ਫਲੀਟ,Fleet
ਲਚਕਤਾ,Flexibility
ਉਡਾਣ,Flight
ਹੜ੍ਹ ਰਾਹਤ,Flood relief
ਫਲੋਰ,Floor
ਵਹਾਅ,Flow
ਉਤਰਾਅ-ਚੜ੍ਹਾਅ,Fluctuation
ਭਰੂਣ,Foeticide
ਫੋਲਡਰ,Folder
ਫੋਲੀਓ,Folio
ਅਨੁਸਰਣ ਕਰੋ,Follow
ਅਨੁਸਰਣ ਕਰ ਰਹੇ ਹਨ,Following
ਚੇਲੇ,Follower
Foment,Foment
ਪੈਰ ਨੋਟ,Foot note
ਜ਼ਬਰਦਸਤੀ ਮਜ਼ਦੂਰੀ,Forced labour
ਪੂਰਵ ਅਨੁਮਾਨ,Forecast
ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਸਿੱਟਾ,Foregone conclusion
ਵਿਦੇਸ਼ੀ,Foreign
ਫੋਰਮੈਨ,Foreman
ਫੌਰਨੂਨ,Forenoon
ਦੂਰਦਰਸ਼ਨ,Foresight
ਅਗਲਾਵਰਡ,Foreword
ਜ਼ਬਰਦਸਤ,Forfeit
ਜਾਅਲੀ,Forged
ਧੋਖਾਧੜੀ,Forgery
ਫਾਰਮ,Form
ਰਸਮੀ,Formal
ਫਾਰਮੈਟ,Format
ਸਾਬਕਾ,Former
ਫਾਰਮੂਲਾ,Formula
ਤੁਰੰਤ,Forthwith
ਅੱਗੇ,Forward
ਫਾਰਵਰਡਿੰਗ ਪੱਤਰ,Forwarding letter
ਬੁਨਿਆਦ,Foundation
ਭਾਗ,Fraction
ਫਰੈਂਚਾਇਜ਼ੀ,Franchise
ਧੋਖਾਧੜੀ,Fraud
ਮੁਫਤ,Free
ਫ੍ਰੀਜ਼,Freeze
ਭਾੜੇ,Freight
ਬਾਰੰਬਾਰਤਾ,Frequency
ਬਾਲਣ,Fuel
ਪੂਰੇ ਪੈਮਾਨੇ,Full-scale
ਫੰਕਸ਼ਨ,Function
ਫੰਡ,Fund
ਕੱਟੜਪੰਥੀ,Fundamentalism
ਸਜਾਏ,Furnish
ਅਗਲੀ ਕਾਰਵਾਈ,Further action
ਲਾਭਦਾਇਕ ਰੁਜ਼ਗਾਰ,Gainful employment
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ ਕਿੱਤਾ,Gainful occupation
ਗੇਟ ਪਾਸ,Gate pass
ਗਜ਼ਟਡ,Gazetted
ਗਜ਼ਟਿਡ ਛੁੱਟੀ,Gazetted holiday
ਜਨਰਲ,General
ਆਮ ਪ੍ਰਸ਼ਾਸਨ,General administration
ਜਨਰਲ ਬਾਡੀ,General body
ਆਮ ਚੋਣਾਂ,General election
ਜਨਰਲ ਮੀਟਿੰਗ,General meeting
ਆਮ ਅਭਿਆਸ,General practice
ਆਮ ਪ੍ਰਕਿਰਿਆ,General procedure
ਆਮ ਨਿਯਮ,General rule
ਜਨਰਲ ਵਾਰਡ,General ward
ਪੀੜ੍ਹੀ,Generation
ਪ੍ਰਤਿਭਾਵਾਨ,Genius
ਸੱਚਾ,Genuine
ਤੋਹਫਾ,Gift
ਗਿਸਟ,Gist
ਗਲੋਬਲ ਟੈਂਡਰ,Global tender
ਸ਼ਬਦਾਵਲੀ,Glossary
ਟੀਚਾ,Goal
ਥੱਲੇ ਜਾਓ,Godown
ਸੁਨਹਿਰੀ ਹੈਂਡਸ਼ੇਕ (= ਸੁਨਹਿਰੀ ਪੈਰਾਸ਼ੂਟ),Golden handshake(=golden parachute)
ਚੰਗਾ,Good
ਚੰਗਾ ਚਾਲ-ਚਲਣ,Good conduct
ਚੰਗੇ ਵਿਸ਼ਵਾਸ,Good faith
ਚੰਗੇ ਦਫਤਰ,Good offices
ਸਦਭਾਵਨਾ,Goodwill
ਸ਼ਾਸਨ,Govern
ਸ਼ਾਸਨ,Governance
ਸਰਕਾਰ,Government
ਭਾਰਤ ਸਰਕਾਰ,Government of India
ਭਾਰਤ ਸਰਕਾਰ ਚਿੰਤਾ ਕਰਦਾ ਹੈ,Government of India Concern
ਭਾਰਤ ਸਰਕਾਰ ਦਾ ਕੰਮ,Government of India Undertaking
ਸਰਕਾਰ ਪ੍ਰੈਸ,Government press
ਸਰਕਾਰੀ ਨੌਕਰ ਨਿਯਮ ਕਰਦੇ ਹਨ,Government servants conduct rules
ਸਰਕਾਰੀ ਸੇਵਾ,Government service
ਗ੍ਰੇਡਿੰਗ,Gradation
ਗ੍ਰੇਡ,Grade
ਗਰੇਡਿੰਗ,Grading
ਗ੍ਰੈਜੂਏਟ,Graduate
ਗ੍ਰੈਜੂਏਟਡ ਤਨਖਾਹ,Graduated wages
ਗ੍ਰੈਜੂਏਟ ਟ੍ਰੇਨੀ,Graduate trainee
ਭ੍ਰਿਸ਼ਟਾਚਾਰ,Graft
ਸਮੁੱਚੀ ਗਿਣਤੀ,Grand total
ਗ੍ਰਾਂਟ,Grant
ਗ੍ਰਾਂਟ-ਇਨ-ਏਡ,Grant-in-aid
ਅੰਗੂਰ,Grapevine
ਗ੍ਰਾਫ,Graph
ਗ੍ਰਾਥੋਲੋਜੀ,Graphology
ਸ਼ੁਕਰਗੁਜ਼ਾਰ,Grateful
ਭੇਂਟ,Gratuity
ਹਰੇ ਹੱਥ,Green hand
ਨਮਸਕਾਰ,Greeting
ਸ਼ਿਕਾਇਤ,Grievance
ਦੁਖਦਾਈ,Grievous
ਕੁੱਲ,Gross
ਕੁੱਲ ਰਕਮ,Gross amount
ਕੁੱਲ ਦੁਰਾਚਾਰ,Gross misconduct
ਘੋਰ ਲਾਪਰਵਾਹੀ,Gross negligence
ਕੁੱਲ ਮੁਨਾਫ਼ਾ,Gross profit
ਕੁੱਲ ਮਾਲੀਆ,Gross revenue
ਕੁੱਲ ਕੁਲ,Gross total
ਬੇਬੁਨਿਆਦ,Groundless
ਜ਼ਮੀਨ ਕਿਰਾਇਆ,Ground rent
ਆਧਾਰ,Grounds
ਸਮੂਹ,Group
ਗਰੁੱਪਿੰਗ ਅਤੇ ਗਰੇਡਿੰਗ,Grouping and grading
ਗਾਰੰਟੀ,Guarantee
ਗਰੰਟਰ,Guarantor
ਗਾਰਡ,Guard
ਗਾਰਡ ਫਾਈਲ,Guard file
ਸਰਪ੍ਰਸਤ,Guardian
ਮਹਿਮਾਨ ਘਰ,Guest house
ਗਾਈਡ,Guide
ਦਿਸ਼ਾ ਨਿਰਦੇਸ਼,Guidelines
ਦੋਸ਼ੀ,Guilt
ਆਦਤ,Habit
ਆਦਤ,Habitual
ਅੱਧ-ਛੁੱਟੀ,Half-holiday
ਅੱਧਾ ਤਨਖਾਹ,Half pay
ਹਾਲ,Hall
ਰੁਕੋ,Halt
ਹੱਥ,Hand
ਹੈਂਡਬਿਲ,Handbill
ਹੈਂਡਬੁੱਕ,Handbook
ਅਪਾਹਜ,Handicap
ਹੈਂਡਲ,Handle
ਹੈਂਡਲੌਮ,Handloom
ਸੌਖਾ,Handy
ਹਵਾਲੇ ਕੀਤਾ,Hand-over
ਲਿਖਤ,Handwriting
ਪਰੇਸ਼ਾਨੀ,Harassment
ਹਾਰਬਰ,Harbour
ਸਖਤ ਮਿਹਨਤ,Hard labour
ਹਾਰਡਵੇਅਰ,Hardware
ਮਿਹਨਤੀ,Hard working
Houulge,Haulage
ਹਾਵਕਰ,Hawker
ਖਤਰਾ,Hazard
ਸਿਰ,Head
ਮੁਖ਼ ਦਫ਼ਤਰ,Head office
ਹੈੱਡਕੁਆਟਰ,Headquarter
ਸਿਹਤ ਸਰਟੀਫਿਕੇਟ,Health certificate
ਸੁਣਵਾਈ,Hearing
ਸੁਣਵਾਈ,Hearsay
ਭਾਰੀ ਵਾਹਨ,Heavy vehicle
ਵਾਰਸ,Heir
ਨੂੰ ਆਯੋਜਿਤ,Held up
ਇਸ ਵਿਚ,Herewith
ਵਿਰਾਸਤ,Heritage
ਹਾਇਰਾਰਚੀ,Hierarchy
ਉੱਚ ਅਧਿਕਾਰ,Higher authority
ਉੱਚ ਗ੍ਰੇਡ,High grade
ਉੱਚ ਪੱਧਰ,High level
ਉੱਚ ਪੱਧਰੀ ਫੈਸਲਾ,High level decision
ਹਾਈਲਾਈਟਸ,Highlights
ਉੱਚ ਅਧਿਕਾਰੀ,High official
ਉੱਚ ਪ੍ਰਥਾ,High priorty
ਹਾਈ ਸਕੂਲ,High school
ਹਿੰਦੀ ਵਰਜਨ,Hindi version
ਕਿਰਾਏ 'ਤੇ,Hire
ਭਾੜੇ,Hiring
ਇਤਿਹਾਸ ਸ਼ੀਟ,History sheet
ਹੋਰਡਿੰਗ,Hoarding
ਹੋਲਡਿੰਗ,Holding
ਛੁੱਟੀ,Holiday
ਮੱਥਾ ਟੇਕਣਾ,Homage
ਘਰ,Home
ਕਤਲੇਆਮ,Homicide
ਇਮਾਨਦਾਰ,Honest
ਮਾਣ,Honorarium
ਆਨਰੇਰੀ,Honorary
ਸਨਮਾਨ,Honour
ਹੋਸਟਲ,Hostel
ਦੁਸ਼ਮਣੀ,Hostile
ਘਰ ਦਾ ਕਿਰਾਇਆ,House rent
ਹਾ House ਸ ਕਿਰਾਇਆ ਭੱਤਾ,House rent allowance
ਮਕਾਨ ਟੈਕਸ,House tax
ਹਾ ousing ਸਿੰਗ,Housing
ਹਾ ousing ਸਿੰਗ ਸੁਸਾਇਟੀ,Housing society
ਹਯੂ ਅਤੇ ਰੋਵੋ,Hue and cry
Humane,Humane
ਮਨੁਖੀ ਅਧਿਕਾਰ,Human rights
ਅਪਮਾਨ,Humiliation
ਸਫਾਈ,Hygiene
ਹਾਇਪੋਪੁੱਟ,Hypothecation
ਮਨੁੱਖ ਸ਼ਕਤੀ ਦੀ ਰੋਕਥਾਮ,Hortage of manpower
ਵਿਚਾਰ,Idea
ਆਦਰਸ਼,Ideal
ਇਕੋ ਜਿਹਾ,Identical
ਪਛਾਣ,Identification
ਪਛਾਣ,Identity
ਪਹਿਚਾਨ ਪਤਰ,Identity card
ਅਗਿਆਨਤਾ,Ignorance
ਅਣਡਿੱਠ,Ignore
ਗੈਰ ਕਾਨੂੰਨੀ,Illegal
ਗੈਰਕਾਨੂੰਨੀ ਹੜਤਾਲ,Illegal strike
ਨਾਜਾਇਜ਼,Illegible
ਮਾੜੀ ਭਾਵਨਾ,Ill-feeling
ਨਾਜਾਇਜ਼,Illicit
ਅਨਪੜ੍ਹ,Illiteracy
ਤਰਕਸ਼ੀਲ,Illogical
ਉਦਾਹਰਣ,Illustration
ਚਿੱਤਰ,Image
ਅਸੰਤੁਲਨ,Imbalance
ਅਪਵਿੱਤਰ,Immature
ਤੁਰੰਤ,Immediate
ਤੁਰੰਤ ਕਾਰਵਾਈ,Immediate action
ਤੁਰੰਤ ਅਧਿਕਾਰੀ,Immediate officer
ਪ੍ਰਵਾਸੀ,Immigrant
ਅਨੈਤਿਕ,Immoral
ਅਚੱਲ,Immovable
ਇਮਿ .ਨ,Immune
ਛੋਟ,Immunity
ਅਸਰ,Impact
ਨਿਰਪੱਖ,Impartial
ਮਹਾਂਮਾਰੀ,Impeachment
ਰੁਕਾਵਟ,Impediment
ਜ਼ਰੂਰੀ,Imperative
ਇਮਪੁਸੇਸ਼ਨ,Impersonation
ਲਾਗੂ,Implement
ਪ੍ਰਭਾਵਿਤ,Implicate
ਪ੍ਰੇਰਕ,Implicit
ਆਯਾਤ,Import
ਮਹੱਤਵਪੂਰਨ,Important
ਆਯਾਤਕਾਰ,Importer
ਘਟੀਆ,Impost
ਅਵਿਸ਼ਵਾਸੀ,Impound
ਪ੍ਰਭਾਵ,Impression
ਗਰਭਵਤੀ,Imprest
ਗਲਤ,Improper
ਸੁਧਾਰ,Improve
ਸੁਧਾਰ,Improvement
ਸੁਧਾਰ,Improvisation
ਭਾਵ,Impute
ਅਸ਼ੁੱਭ ਸਮੇਂ,In abeyance
ਅਸਮਰਥਾ,Inability
ਪਹੁੰਚਯੋਗ,Inaccessible
ਅਯੋਗ,Inadmissible
ਅਣਜਾਣੇ ਵਿਚ,Inadvertently
ਉਦਘਾਟਨ,Inauguration
ਨਕਦ,In cash
ਪ੍ਰੇਰਕ,Incentive
ਘਟਨਾ,Incidental
ਝੁਕਾਅ,Inclination
ਸੰਮਲਿਤ,Inclusive
ਗੁਮਨਾਮ,Incognito
ਆਮਦਨੀ,Income
ਆਮਦਨ ਟੈਕਸ,Income tax
ਇਨਕਮ ਟੈਕਸ ਕਲੀਅਰੈਂਸ ਸਰਟੀਫਿਕੇਟ,Income tax clearance certificate
ਇਨਕਮ ਟੈਕਸ ਰਿਟਰਨ,Income tax return
ਆਉਣ ਵਾਲੇ,Incoming
ਅਯੋਗਤਾ,Incompetency
ਅਯੋਗ,Incompetent
ਅਧੂਰਾ,Incomplete
ਨਿਰਵਿਘਨ,Inconclusive
ਅਸੰਗਤ,Incongruous
ਅਸੰਗਤਤਾ,Inconsistency
ਅਸੁਵਿਧਾ,Inconvenience
ਸ਼ਾਮਲ,Incorporated
ਗਲਤ,Incorrect
ਅਵਿਸ਼ਵਾਸੀ,Incredible
ਵਾਧਾ,Increment
ਮੌਜੂਦਾ,Incumbent
ਰੁਮਾਲ,Incumbrance
ਮੁਆਵਜ਼ਾ,Indemnification
ਇੰਡੈਂਟ,Indent
ਅਜਾਦੀ ਦਿਵਸ,Independence day
ਸੁਤੰਤਰ,Independent
ਇੰਡੈਕਸ,Index
ਇੰਡੈਕਸ ਕਾਰਡ,Index card
ਸੰਕੇਤ,Indication
ਦੋਸ਼ੀ,Indict
ਉਦਾਸੀ,Indifference
ਅਸਿੱਧੇ,Indirect
ਇੰਡੀਸਸੀਟਲਾਈਨ,Indiscipline
ਬੇਵਕੂਫੀ,Indiscretion
ਅੰਨ੍ਹੇਵਾਹ,Indiscriminate
ਨਿਰਵਿਘਨ,Indisputable
ਸਿਧਾਂਤ,Indistinct
ਇਨਸੋਰਸਮੈਂਟ,Indorsement
ਵਿਅਕਤੀਗਤ,Individual
ਸ਼ਾਮਲ,Induction
ਡੁਪਲਿਕੇਟ ਵਿਚ,In duplicate
ਉਦਯੋਗਿਕਤਾ,Industrialization
ਉਦਯੋਗਿਕ ਸਟਾਫ,Industrial staff
ਮਿਹਨਤੀ,Industrious
ਉਦਯੋਗ,Industry
ਅਯੋਗਤਾ,Inefficiency
ਅਸਮਾਨਤਾ,Inequity
ਅਟੱਲ,Inevitable
Inepypted,Inexpedient
ਤਜਰਬੇਕਾਰ,Inexperienced
ਵਾਸਤਵ ਵਿੱਚ,In fact
ਲਾਗ,Infection
ਘਟੀਆ,Inferior
ਕਮਜ਼ੋਰੀ,Infirmity
ਮਹਿੰਗਾਈ,Inflation
ਮਹਿੰਗਾਈ ਦਰ,Inflation rate
ਪ੍ਰਭਾਵਸ਼ਾਲੀ,Influential
ਗੈਰ ਰਸਮੀ,Informal
ਜਾਣਕਾਰੀ,Information
ਬੁਨਿਆਦੀ .ਾਂਚਾ,Infrastructure
ਉਲੰਘਣਾ,Infringe
ਉਲੰਘਣਾ,Infringement
ਘ੍ਰਿਣਾਯੋਗ,Infructuous
ਅੰਦਰੂਨੀ,Inherent
ਵਿਰਾਸਤ,Inherit
ਸ਼ੁਰੂਆਤੀ,Initial
ਸ਼ੁਰੂਆਤੀ,Initials
ਸ਼ੁਰੂ,Initiate
ਬਿਰਤਾਂਤ,Injuction
ਸੱਟ,Injury
ਇਨਲੈਂਡ ਪੱਤਰ,Inland letter
ਟੀਕਾ,Inoculation
ਇੰਪੁੱਟ,Input
ਪੜਤਾਲ,Inquiry
ਸੰਮਿਲਿਤ ਕਰੋ,Insert
ਸਮਝ,Insight
ਮੁਆਇਨਾ,Inspect
ਇੰਸਪੈਕਟਰ,Inspector
ਅਸਥਿਰਤਾ,Instability
ਇੰਸਟਾਲੇਸ਼ਨ,Installation
ਕਿਸ਼ਤ,Instalment
ਭੜਕਾਓ,Instigate
ਭੜਕਣਾ,Instigation
ਸੰਸਥਾ,Institute
ਹਦਾਇਤ,Instruction
ਸਾਧਨ,Instrument
ਇੰਸੂਬਿਡੇਸ਼ਨ,Insubordination
ਬੀਮਾ,Insurance
ਬੀਮਾ,Insure
ਅਟੁੱਟ,Integral
ਏਕੀਕਰਣ,Integration
ਇਕਸਾਰਤਾ,Integrity
ਸਮਝਦਾਰ,Intelligible
ਤੀਬਰ,Intensive
ਇਰਾਦਾ,Intent
ਗੱਲਬਾਤ ਕਰਨੀ,Interaction
ਹੋਰ ਗੱਲਾਂ ਨਾਲ,Inter alia
ਅੰਤਰ-ਵਿਭਾਗੀ,Inter-departmental
ਦਿਲਚਸਪੀ,Interest
ਦਖਲ,Interfere
ਅੰਤਰਿਮ,Interim
ਅੰਤਰਿਮ ਆਰਡਰ,Interim order
ਅੰਤਰਿਮ ਰਾਹਤ,Interim relief
ਅੰਤਰਿਮ ਰਿਪੋਰਟ,Interim report
ਵਿਚਕਾਰਲੇ,Intermediate
ਇੰਟਰਮੀਡੀਏਟ ਕਾਲਜ,Intermediate college
ਇੰਟਰਨੈੱਟ,Intern
ਅੰਦਰੂਨੀ,Internal
ਅੰਤਰਰਾਸ਼ਟਰੀ ਕਾਨੂੰਨ,International law
ਇੰਟਰਨਸ਼ਿਪ,Internship
ਇੰਟਰਪੋਲੇਸ਼ਨ,Interpolation
ਵਿਆਖਿਆ,Interpretation
ਪੁੱਛਗਿੱਛ,Interrogate
ਵਿਘਨ,Interrupt
ਰੁਕਾਵਟ,Interruption
ਅੰਤਰ ਸੇ,Inter se
ਦਖਲ,Intervene
ਦਖਲ,Intervention
ਇੰਟਰਵਿ view,Interview
ਇੰਟਰਵਿ ie,Interviewee
ਇੰਟਰਵਿ er ਅਰ,Interviewer
ਸੂਚਕ,Intimate
ਜਾਣਕਾਰੀ,Intimation
ਡਰਾਉਣੀ,Intimidation
ਅਸਹਿਣਸ਼ੀਲਤਾ,Intolerance
ਨਸ਼ਾ,Intoxication
Intriccy,Intricacy
ਗੁੰਝਲਦਾਰ,Intricate
ਪੇਸ਼,Introduce
ਜਾਣ ਪਛਾਣ,Introduction
ਅਵੈਧ,Invalid
ਅਵੈਧਤਾ,Invalidity
ਹਮੇਸ਼ਾ,Invariably
ਪੜਤਾਲ,Investigation
ਨਿਵੇਸ਼,Investment
ਸੱਦਾ,Invitation
ਅਣਇੱਛਤ,Involuntary
ਸ਼ਾਮਲ,Involved
ਆਈਪਸੋ ਫੈਕਟਰੀ,Ipso facto
ਆਈ ਪੀ ਐਸ ਏ ਜੂਅਰ,Ipso jure
ਤਰਕਹੀਣ,Irrational
ਅਣਚਾਹੇ,Irrecoverable
ਅਨਿਯਮਿਤ,Irregular
Ir ੁਕਵਾਂ ਨਹੀਂ,Irrelevant
ਗੈਰ ਜ਼ਿੰਮੇਵਾਰਾਨਾ,Irresponsible
ਅਟੱਲ,Irrevocable
ਮੁੱਦੇ,Issue
ਆਰਡਰ ਜਾਰੀ ਕਰੋ,Issue order
ਮੁੱਦਾ,Issue price
ਆਈਟਮ,Item
ਨੌਕਰੀ,Job
ਕੰਮ ਦਾ ਵੇਰਵਾ,Job description
ਨੌਕਰੀ ਦਾ ਮੁਲਾਂਕਣ,Job evaluation
ਨੌਕਰੀ ਫ੍ਰੀਜ਼,Job freeze
ਨੌਕਰੀ ਲੱਭਣ ਲਈ,Job hunting
ਬੇਰੁਜ਼ਗਾਰ,Jobless
ਨੌਕਰੀ-ਅਧਾਰਤ,Job-oriented
ਨੌਕਰੀ ਦੀ ਰੋਟੇਸ਼ਨ,Job rotation
ਨੌਕਰੀ ਦੀ ਸੰਤੁਸ਼ਟੀ,Job satisfaction
ਨੌਕਰੀ ਦੀ ਸੁਰੱਖਿਆ,Job security
ਨੌਕਰੀ ਦਾ ਵੇਰਵਾ,Job specification
ਨੌਕਰੀ ਦਾ ਅਧਿਐਨ,Job study
ਨੌਕਰੀ ਦਾ ਕੰਮ,Job work
ਜੁੜੋ,Join
ਤਾਰੀਖ ਸ਼ਾਮਲ ਹੋਣ,Joining date
ਭੁਗਤਾਨ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਣਾ,Joining pay
ਅੰਤਰਾਲ ਵਿੱਚ ਸ਼ਾਮਲ ਹੋਣਾ,Joining period
ਰਿਪੋਰਟ ਸ਼ਾਮਲ ਹੋਣ,Joining report
ਸ਼ਾਮਲ ਹੋਣ ਨਾਲ,Joining time
ਜੁਆਇੰਟ,Joint
ਸੰਯੁਕਤ ਖਾਤਾ,Joint account
ਸੰਯੁਕਤ ਕੇਡਰ,Joint cadre
ਸੰਯੁਕਤ ਕਮੇਟੀ,Joint committee
ਸੰਯੁਕਤ ਸਲਾਹਕਾਰ ਕਮੇਟੀ,Joint consultative committee
ਸੰਯੁਕਤ ਪਰਿਵਾਰ,Joint family
ਸਾਂਝੇ ਤੌਰ ਤੇ,Jointly
ਸਾਂਝੇ ਅਤੇ ਬਹੁਤ ਸਾਰੇ,Jointly and severally
ਸੰਯੁਕਤ ਮਾਲਕੀ,Joint ownership
ਸੰਯੁਕਤ ਜ਼ਿੰਮੇਵਾਰੀ,Joint responsibility
ਗਠਜੌੜ੍ਹ,Joint venture
ਰਸਾਲਾ,Journal
ਪੱਤਰਕਾਰ,Journalist
ਨਿਰਣਾ,Judgement
ਨਿਆਂਇਕ,Judicial
ਨਿਆਂਇਕ ਹਿਰਾਸਤ,Judicial custody
ਜੁਡੀਸ਼ੀਅਲ ਜਾਂਚ,Judicial enquiry
ਨਿਆਂਇਕ ਨੋਟਿਸ,Judicial notice
ਨਿਆਂਇਕ ਸ਼ਕਤੀ,Judicial power
ਜੁਡੀਸ਼ੀਅਲ ਸੇਵਾ,Judicial service
ਨਿਆਂਪਾਲਿਕਾ,Judiciary
ਨਿਆਈ,Judicious
ਜੂਨੀਅਰ ਪ੍ਰਬੰਧਕੀ ਗ੍ਰੇਡ,Junior administrative grade
ਜੂਨੀਅਰ ਕਲਰਕ,Junior clerk
ਰੈਂਕ ਵਿੱਚ ਜੂਨੀਅਰ,Junior in rank
ਜੂਨੀਅਰਤਾ,Juniority
