Gujarati,Assamese
સંવેદનશીલતા,সংবেদনশীলতা
રેઝિસ્ટર વોલ્ટેજ,ৰেজিষ্টৰ ভল্টেজ
સોયુઝ ટર્મિનલ,সোয়ুজ টাৰ্মিনেল
ચાહક જનરેટર,স্প্ৰেড জেনেৰেটৰ
પ્રારંભિક એકમ,প্ৰস্তুতিমূলক একক
ઓસિલેશન,দোলন
ડોલન ચોક,ডোলান চক
સ્વીચ બ્રેકર,চুইচ ব্ৰেকাৰ
સ્વિચ કરેલ કેપેસિટર,চুইচ কৰা কেপাচিটৰ
સ્વિચ કરેલ ગેઇન એમ્પ્લીફાયર,চুইচ কৰা লাভ এম্প্লিফায়াৰ
સ્વિચિંગ,চুইচিং
બીજગણિત સ્વિચિંગ,বীজগণিত সলনি কৰা
સ્વિચિંગ સર્કિટ,চুইচিং চাৰ্কিট
સ્વિચિંગ પાવર સપ્લાય,চুইচিং পাৱাৰ চাপ্লাই
સ્વિચિંગ રેગ્યુલેટર,চুইচিং নিয়ন্ত্ৰক
સ્વિચિંગ વેવફોર્મ,চুইচিং তৰংগ আকৃতি
સ્વિચ કરેલ પ્રોગ્રામેબલ ટાઈમર,চুইচ কৰা প্ৰগ্ৰেমেবল টাইমাৰ
હસ્તાક્ષર,চিহ্ন
પ્રતીક સમયગાળો,চিহ্ন সময়কাল
પ્રતીકાત્મક લેબલ,প্ৰতীকী লেবেল
સિંક્રનસ વિભાજક,সমকালীন বিভাজক
સિંક્રનસ સર્કિટ,সমকালীন বৰ্তনী
સિંક્રનસ સિગ્નલ,সমকালীন সংকেত
સિંક્રોનાઇઝર,সমন্বয়ক
સિંક્રનસ કેલ્ક્યુલેટર,সমকালীন কেলকুলেটৰ
સિંક્રનસ ડિટેક્ટર,সমকালীন ডিটেক্টৰ
સિંક્રનસ ટ્રાન્સમિશન,সমকালীন সংক্ৰমণ
સિંક્રનસ શોધ,সমকালীন ধৰা পেলোৱা
વાક્ય રચના,বাক্য গঠন
ફ્રીક્વન્સી સિન્થેસાઇઝર,ফ্ৰিকুৱেন্সি চিন্থেচাইজাৰ
"શરીર ડિઝાઇન, સિસ્ટમ ડિઝાઇન","শৰীৰৰ ডিজাইন, ব্যৱস্থাৰ ডিজাইন"
ટી-પાઇ રૂપાંતરણો,টি-পাই ৰূপান্তৰসমূহ
"ટેકોમીટર, રોટેશનલ વોલ્ટમીટર","টেকোমিটাৰ, ঘূৰ্ণনীয় ভল্টমিটাৰ"
પૂંછડીનો પ્રવાહ,ঠেংৰ ধাৰা
ટાંકી સર્કિટ,টেংক বৰ্তনী
ટેન્ટેલમ કેપેસિટર,টেন্টালাম কেপাচিটৰ
હકાલપટ્ટી,বহিষ্কাৰ কৰা
ટેપ રિપ્લે,টেপ পুনৰাবৃত্তি
"રીમુવર, ચીપિયો","ৰিমুভাৰ, এক্সট্ৰেক্টৰ"
tarbel પાનું,tarbel পৃষ্ঠা
ટી-કનેક્ટર,টি-সংযোগকাৰী
ટેલિડેલ્ટસ કાગળ,টেলিডেল্টাছ কাগজ
પ્રવાસ માપન,ট্যুৰ জোখ-মাখ
"ટેલિફોની, ટેલિફોની","টেলিফোনি, টেলিফোনি"
ટેલિગ્રાફર,টেলিগ্ৰাফ
"ટેલિવિઝન, દૂરદર્શન","টেলিভিছন, দূৰদৰ্শন"
ટેલિવિઝન કેમેરા,টেলিভিছনৰ কেমেৰা
ટેલિવિઝન રીસીવર,টেলিভিছন ৰিচিভাৰ
ટેલિગોન પ્રમેય,টেলিগন উপপাদ্য
ટેટ્રોડ,টেট্ৰ&#39;ড
ગરમીનું વળતર,তাপ ক্ষতিপূৰণ
"રવા, સ્ફટિક","ৰাভা, স্ফটিক"
હીટ-વોલ્ટેજ કન્વર્ટર,তাপ-ভোল্টেজ ৰূপান্তৰক
કામચલાઉ ડેટા રજિસ્ટર,অস্থায়ী তথ্য পঞ্জীয়ন
ટર્મિનલ,টাৰ্মিনেল
પરીક્ષણ લીડ,পৰীক্ষাৰ সীহ
પરીક્ષણ સંકેત,পৰীক্ষা সংকেত
ચતુર્થાંશ અણુ,চতুৰ্থ পৰমাণু
થર્મલ વહેણ,তাপীয় পানীৰ বৈ যোৱা
થર્મલ આઇસોલેશન,তাপীয় পৃথকীকৰণ
"થર્મલ અવાજ, થર્મલ અવાજ","তাপীয় শব্দ, তাপীয় শব্দ"
થર્મલ ઓક્સિડેશન,তাপীয় অক্সিডেচন
થર્મલ પ્રતિકાર,তাপ প্ৰতিৰোধ ক্ষমতা
થર્મલ એસ્કેપ,তাপীয় পলায়ন
ગરમી વિરામ,তাপ বিৰতি
થર્મલ સ્થિરતા,তাপীয় স্থিৰতা
થર્મિઓનિક ઉત્સર્જન,তাপীয় নিৰ্গমন
ગરમી પ્રતિકાર,তাপ প্ৰতিৰোধ ক্ষমতা
થર્મોકોલ,তাপযুগল
થર્મલ અસર,তাপীয় প্ৰভাৱ
ગરમી નિયંત્રક,তাপ নিয়ন্ত্ৰক
થેવેનિન પ્રમેય,থেভেনিন উপপাদ্য
પાતળી પટલ,পাতল আৱৰণ
પાતળા પટલ કેપેસિટર,পাতল পৰ্দাৰ কেপাচিটৰ
પાતળા પટલ પ્રતિકાર,পাতল পৰ্দাৰ প্ৰতিৰোধ ক্ষমতা
થોરિયમ કોટેડ ટંગસ્ટન કેથોડ,থ’ৰিয়াম আৱৰণযুক্ত টাংষ্টেন কেথ’ড
સત્તા નિયમ,ক্ষমতা নিয়ম
ટ્રિપલ સર્કિટ,ট্ৰিপল চাৰ্কিট
ત્રિ-રાજ્ય રેમ,ত্ৰি-ৰাজ্যৰ ৰাম
ટ્રાઇ-એન્ડ રેગ્યુલેટર,ট্ৰাই-এণ্ড নিয়ন্ত্ৰক
સિલ ડિટેક્ટર,sill ডিটেক্টৰ
ઉંબરો વોલ્ટેજ,sill ভল্টেজ
થાઇરાટ્રોન ટ્યુબ,থাইৰাট্ৰন টিউব
"પુનઃરોકાણ, અલ્પજીવી","পুনৰ বিনিয়োগ, অল্পকালীন"
ટિકલર ઓસિલેટર,টিকলাৰ দোলক
ચુસ્ત જોડાણ,টাইট কাপলিং
ઝુકાવ,হেলনীয়া কৰা
સમય આધારિત સર્કિટ,সময় ভিত্তিক বৰ্তনী
ટાઈમર જનરેટર,টাইমাৰ জেনেৰেটৰ
સમય આધાર વોલ્ટેજ,টাইম বেচ ভল্টেজ
કૉલ વિલંબ,কল বিলম্ব
સમય ઝોન પ્રતિબિંબિતતા,সময় মণ্ডল প্ৰতিফলনশীলতা
સમય માર્કર જનરેટર,টাইম মাৰ্কাৰ জেনেৰেটৰ
કાલ ભાગી,কাল ভাগী
સમય વિન્ડો,সময় উইন্ডো
સમય મોડ સ્વિચિંગ,টাইমিং মোড চুইচিং
"સમય નિયંત્રક, સમય નિયંત્રક","সময় নিয়ন্ত্ৰক, সময় নিয়ন্ত্ৰক"
કૉલ કંટ્રોલર મોટર,কল কন্ট্ৰ&#39;লাৰ মটৰ
સમય સેટ ડાયાગ્રામ,সময় নিৰ্ধাৰণ ডায়াগ্ৰাম
સમય ગોઠવણ જિટર,সময় সমন্বয় jitter
ક્રોનોમીટર માર્કર જનરેટર,ক্ৰ&#39;ন&#39;মিটাৰ মাৰ্কাৰ জেনেৰেটৰ
કૉલ એડજસ્ટર નેટવર્ક,কল এডজাষ্টাৰ নেটৱৰ্ক
ટી-નેટવર્ક,টি-নেটৱৰ্ক
ટૉગલ સ્વીચ,টগল চুইচ
ટોકન બસ નેટવર્ક,টোকেন বাছ নেটৱাৰ্ক
ટોકન નેટવર્ક,টোকেন নেটৱাৰ্ক
સ્વીકાર્ય ફેરફાર,গ্ৰহণযোগ্য পৰিৱৰ্তন
વોકલ બ્લાસ્ટ જનરેટર,কণ্ঠ বিস্ফোৰণ জেনেৰেটৰ
ટોરોઇડ,toroid
ટોરસ એન્ટેના,torus এন্টেনা
સંપૂર્ણ હાર્મોનિક વિકૃતિ,সম্পূৰ্ণ হাৰমনিক বিকৃতি
ટોટેમ ધ્રુવ,টটেম খুঁটা
ટોટેમ-પોલ ટ્રાન્ઝિસ્ટર,টটেম-মেৰু ট্ৰেঞ্জিষ্টৰ
ટચ સ્વીચ,টাচ চুইচ
સ્પર્શેન્દ્રિય અવાજ,স্পৰ্শযোগ্য কণ্ঠস্বৰ
ટી-પેડ,টি-পেড
ત્રેવડી,ট্ৰেবল
"ટ્રેસીંગ, ટ્રેસીંગ","ট্ৰেচিং, ট্ৰেচিং"
"ટ્રેક બોલ, ટ્રેક બોલ","ট্ৰেক বল, ট্ৰেক বল"
અનુપાલન,অনুবৰ্তী
ટ્રેકિંગ અને કંટ્રોલ સર્કિટ,ট্ৰেকিং আৰু নিয়ন্ত্ৰণ বৰ্তনী
"પાછળનો ભાગ, પાછળનો ભાગ","বেক কোৰ, ট্ৰেইলিং কোৰ"
કોચ,প্ৰশিক্ষক
અનુપાલન,অনুবৰ্তী
પારસ્પરિકતા,পাৰস্পৰিকতা
આંતરવાહકતા,আন্তঃপৰিবাহীতা
ટ્રાન્સડ્યુસર,ট্ৰেন্সডুচাৰ
સ્થાનાંતરણ લાક્ષણિકતાઓ,স্থানান্তৰ বৈশিষ্ট্যসমূহ
ટ્રાન્સફર કાર્ય,স্থানান্তৰ কাৰ্য্য
નફો ટ્રાન્સફર કરો,ট্ৰেন্সফাৰ লাভ
રૂપાંતર,ৰূপান্তৰ
"ટ્રાન્સફોર્મર, ટ્રાન્સફોર્મર","ট্ৰেন্সফৰ্মাৰ, ট্ৰেন্সফৰ্মাৰ"
ટ્રાન્સફોર્મર જોડી એમ્પ્લીફાયર,ট্ৰেন্সফৰ্মাৰ সংযুক্ত এম্প্লিফায়াৰ
ટ્રાન્સફોર્મર કપ્લીંગ,ট্ৰেন্সফৰ্মাৰ কাপলিং
ચલ કાર્યક્ષમતા,পৰিৱৰ্তনশীল কাৰ্যক্ষমতা
ક્ષણિક,ক্ষণিক
ક્ષણિક ઉલ્લંઘન,ক্ষণিক উলংঘা
ક્ષણિક પ્રતિભાવ,ক্ষণিক সঁহাৰি
ક્ષણિક રિટાર્ડર,ক্ষণস্থায়ী ৰিটাৰ্ডাৰ
ટ્રાન્ઝિસ્ટર બ્લોક,ট্ৰেঞ্জিষ্টৰ ব্লক
ટ્રાન્ઝિસ્ટર વર્તમાન લાભ,ট্ৰেঞ্জিষ্টৰ কাৰেণ্ট লাভ
ટ્રાન્ઝિસ્ટર સ્વીચ,ট্ৰেঞ্জিষ্টৰ চুইচ
ટ્રાન્ઝિસ્ટર,ট্ৰেঞ্জিষ্টৰ
ટ્રાન્ઝિસ્ટર અવાજ,ট্ৰেঞ্জিষ্টৰৰ শব্দ
ટ્રાન્ઝિસ્ટર રેગ્યુલેટર,ট্ৰেঞ্জিষ্টৰ নিয়ন্ত্ৰক
પ્રસ્થાન સમય,প্ৰস্থানৰ সময়
સંક્રમણ કેપેસિટર,ট্ৰেঞ্জিচন কেপাচিটৰ
સંક્રમણ પરિબળ,ট্ৰেঞ্জিচন ফেক্টৰ
સંક્રમણ આવર્તન,ট্ৰেঞ্জিচন ফ্ৰিকুৱেন্সি
સંક્રમણ ઝોન,ট্ৰেঞ্জিচন জ&#39;ন
ટ્રાન્સફર બફર,স্থানান্তৰ বাফাৰ
ટ્રાન્સમિશન નુકશાન,সংক্ৰমণ ক্ষতি
અભેદ્યતા,পাৰ্যমান্যতা
"મોકલનાર, મોકલનાર","কনচাইনাৰ, কনচাইনাৰ"
આવર્તન ટ્રાન્સમીટર,ফ্ৰিকুৱেন্সি ট্ৰেন্সমিটাৰ
પારદર્શક કચડી,স্বচ্ছ লেচ
ટ્રાન્સપોન્ડર,ট্ৰেন্সপণ্ডাৰ
પરિવહન ગુણક,পৰিবহণ বহুগুণক
સ્પષ્ટ કારણ,স্পষ্ট কাৰণ
ક્રોસ પ્રતિકાર,ক্ৰছ ৰেজিষ্টেন্স
ત્રાંસી તરંગ,অনুপ্ৰস্থ তৰংগ
ટ્રાન્સવિચ,ট্ৰেন্সউইচ
નેટ,জাল
ટ્રેપેઝોઇડલ તરંગ,ট্ৰেপেজ&#39;ইডাল তৰংগ
પ્રગતિશીલ તરંગ ટ્યુબ,প্ৰগতিশীল তৰংগ নলী
ગ્રુવ અલગ,খাঁজ পৃথকীকৰণ
triac,triac
ત્રિકોણાકાર સ્ક્વેર વેવ કન્વર્ટર,ত্ৰিকোণীয় বৰ্গ তৰংগ ৰূপান্তৰক
ત્રિકોણાકાર-સાઇન વેવ કન્વર્ટર,ত্ৰিকোণীয়-চাইন তৰংগ ৰূপান্তৰক
ત્રિકોણાકાર તરંગ જનરેટર,ত্ৰিকোণীয় তৰংগ উৎপাদক
ટ્રિગર,ট্ৰিগাৰ
ટ્રિગર ડાયોડ,ট্ৰিগাৰ ডাইঅ&#39;ড
ટ્રિગર પલ્સ,ট্ৰিগাৰ পালছ
ટ્રાન્ઝિસ્ટર,ট্ৰেঞ্জিষ্টৰ
"સૂક્ષ્મ ગોઠવણો, ટ્રીમ","সূক্ষ্ম সামঞ্জস্য, ট্ৰিম"
માઇક્રો એડજસ્ટર,মাইক্ৰ&#39; এডজাষ্টাৰ
triode,ট্ৰাইঅ&#39;ড
વિભાજિત જન્માક્ષર,বিভক্ত ৰাশিফল
ટ્રિપલ ચોકસાઇ નંબર,ট্ৰিপল প্ৰিচিচন নম্বৰ
ત્રણ તબક્કાનું બફર,তিনিটা পৰ্যায়ৰ বাফাৰ
ત્રિપુટી તર્ક,ট্ৰাইড লজিক
ટ્રોકોટ્રોન,ট্ৰ&#39;ক&#39;ট্ৰন
ખલેલ વેરવિખેર કડી,বিক্ষিপ্ততা বিক্ষিপ্ত লিংক
ટ્રોપોસ્ફિયર,ট্ৰপ&#39;স্ফিয়াৰ
મુશ્કેલીનિવારક,সমস্যা সমাধানকাৰী
વાસ્તવિક પાવર કન્વર્ટર,ৰিয়েল পাৱাৰ কনভাৰ্টাৰ
સાચું ચોરસ-મીન રૂટ વોલ્ટમીટર,সঁচা বৰ্গ-গড় মূল ভল্টমিটাৰ
સત્ય ટેબલ,সত্য টেবুল
ટી-રાજ્ય,টি-অৱস্থা
ટીટીએલ,টিটিএল
ટ્યુબ્યુલર કેપેસિટર,টিউব্যুলাৰ কেপাচিটৰ
ટ્યુન કરેલ એમ્પ્લીફાયર,টিউন কৰা এম্প্লিফায়াৰ
ટ્યુન કલેક્ટર ઓસિલેટર,টিউন কৰা সংগ্ৰাহক দোলক
ટ્યુન કરેલ ડ્રેઇન ઓસિલેટર,টিউন কৰা ড্ৰেইন দোলক
વોકલ કોર,কণ্ঠৰ মূল
ટ્યુનિંગ નેટવર્ક,টিউনিং নেটৱৰ্ক
વોકલ કોર્ડ,কণ্ঠৰ তন্ত্ৰ
"ટનલ ડાયોડ, ટનલ ડાયોડ","টানেল ডাইঅ&#39;ড, টানেল ডাইঅ&#39;ড"
"ટનલીંગ ઇફેક્ટ, ટનલીંગ ઇફેક્ટ","টানেলিং ইফেক্ট, টানেলিং ইফেক্ট"
ટર્બાઇન ફ્લોમીટર,টাৰ্বাইন ফ্ল&#39;মিটাৰ
સંક્રમણ સમયગાળો,ট্ৰেঞ্জিচন পিৰিয়ড
રહેવાનો સમય,অন্তৰ্নিহিত সময়
પ્રારંભ સમય,আৰম্ভণিৰ সময়
ટર્નસ્ટાઇલ એન્ટેના ટ્વિટર,টাৰ্ণষ্টাইল এন্টেনা টুইটাৰ
Twitter,টুইটাৰত
યમલ અગરક,যমল আগৰক
ટ્વીન-ટી નોચ ફિલ્ટર,টুইন-টি নটচ ফিল্টাৰ
yaml ચા ઓસિલેટર,yaml চাহ দোলক
ટ્વિસ્ટેડ જોડી,টুইষ্টেড পেয়াৰ
ટ્વિસ્ટેડ રિંગ કાઉન્ટર,টুইষ্টেড ৰিং কাউণ্টাৰ
ટ્વિસ્ટેડ-નેમેટિક પ્રવાહી,টুইষ্টেড-নেমেটিক লিকুইড
દ્વિ-માર્ગી નેટવર્ક,দ্বিমুখী নেটৱৰ্ক
ટ્વિસ્ટ્રોન,টুইষ্ট্ৰন
"યુ-આર્ટ, યુ-સર્ટ","উ-আৰ্ট, উ-ছাৰ্ট"
અલ્ટ્રાસોનિક ફોલ્ટ ડિટેક્ટર,আল্ট্ৰাছ&#39;নিক ফল্ট ডিটেক্টৰ
અલ્ટ્રાસોનિક આવર્તન,আল্ট্ৰাছ&#39;নিক ফ্ৰিকুৱেন্সি
અલ્ટ્રાવાયોલેટ લાઇટ સોર્સ/લેમ્પ,অতিবেঙুনীয়া পোহৰৰ উৎস/লেম্প
યુવી કિરણોત્સર્ગ,UV বিকিৰণ
યુમેટિક,ইউমেটিক
અસંતુલિત ભાર (બલ્જ),ভাৰসাম্যহীন বোজা (bulge)
અવિરત તાણ ગેજ,অবিৰত ষ্ট্ৰেইন গেজ
બિનશરતી ઉછાળો,নিঃচৰ্ত বাউন্স
અનડેમ્પ્ડ ઓસિલેશન,undamped দোলন
સંવર્ધન,ইনব্ৰেডিং
વશ,বশ কৰা
નીચા ભીના ઓસિલેશન,কম ডেম্প কৰা দোলন
પાણીની અંદર કેમેરા,পানীৰ তলৰ কেমেৰা
આંતર જમીન નેટવર્ક,আন্তঃভূমি নেটৱৰ্ক
પ્રત્યાવર્તન,অবাধ্য
પાણીની અંદર માઇક્રોફોન (વોઇસ ક્લાયન્ટ),পানীৰ তলৰ মাইক্ৰ&#39;ফোন (ভইচ ক্লায়েণ্ট)
એકપક્ષીય સંપાદન,একপক্ষীয় অধিগ্ৰহণ
સિંગલ એન્ટેના,একক এন্টেনা
ઘરેલું રજિસ્ટર,ঘৰুৱা পঞ্জীয়ন
જંકશન ટ્રાન્ઝિસ્ટર,এটা জংচন ট্ৰেঞ্জিষ্টৰ
એકપક્ષીયકરણ,একপক্ষীয়কৰণ
એકધ્રુવીય ઉપકરણ,ইউনিপোলাৰ ডিভাইচ
એકલ જોડાણ,একক পৰিশিষ্ট
સિંગલ સિલેક્ટર (ટેલ),একক নিৰ্বাচক (Tel)
એકમ થ્રસ્ટ/ઇમ્પલ્સ,ইউনিট থ্ৰাষ্ট/ইম্পলছ
માહિતી એકમ,তথ্য একক
એકમ પગલું,ইউনিট ষ্টেপ
સિંગલ વાઇબ્રેટર,একক ভাইব্ৰেটৰ
એકમ ગેઇન એમ્પ્લીફાયર,ইউনিট গেইন এম্প্লিফায়াৰ
યુનિટ ગેઇન બેન્ડ વિસ્તરણ,ইউনিট গেইন বেণ্ড সম্প্ৰসাৰণ
એકમ પાવર પરિબળ,ইউনিট শক্তি কাৰক
સાર્વત્રિક ફિલ્ટર,ইউনিভাৰ্চেল ফিল্টাৰ
સાર્વત્રિક દરવાજો,ইউনিভাৰ্চেল গেট
ઉભયજીવી મોટર,উভচৰ মটৰ
"સાર્વત્રિક શંટ, બાજુનો માર્ગ","ইউনিভাৰ্চেল শ্বাণ্ট, পাৰ্শ্বীয় পথ"
સાર્વત્રિક ટ્રંક સર્કિટ,ইউনিভাৰ্চেল ট্ৰাংক চাৰ্কিট
સાર્વત્રિક કોઇલિંગ,ইউনিভাৰ্চেল কইলিং
અનિયમિત વીજ પુરવઠો,অনিয়মিত শক্তি যোগান
અનશિલ્ડ કેબલ,অৰক্ষাহীন কেবল
અનશિલ્ડ વાયર,ৰক্ষাহীন তাঁৰ
અનટ્વિસ્ટેડ ટ્રાન્સફોર્મર,অটুইষ্টেড ট্ৰেন্সফৰ্মাৰ
વર્ટિકલ કન્વર્ટર,উলম্ব ৰূপান্তৰক
અપડાઉન કેલ્ક્યુલેટર,আপডাউন কেলকুলেটৰ
"અપલિંક, અપલિંક","আপলিংক, আপলিংক"
ઓવરહેડ આવર્તન,ওভাৰহেড ফ্ৰিকুৱেন্সি
ઉચ્ચ પ્લેબેક આવર્તન,উচ্চ প্লেবেক কম্পাঙ্ক
ઓવરહેડ ટ્રીપ પોઈન્ટ,ওভাৰহেড ট্ৰিপ পইণ্ট
એપ્લિકેશન પરિબળ,প্ৰয়োগৰ কাৰক
વી-ચેનલ સ્વિચિંગ,ভি-চেনেল চুইচিং
વી-મોડ્યુલેટર,ভি-মডুলেটৰ
V-F (વોલ્ટેજ/ફ્રિકવન્સી કન્વર્ટર),V-F (ভোল্টেজ/ফ্ৰিকুৱেন্সি কনভাৰ্টাৰ)
વેક્યુમ હીટ જંકશન,ভেকুৱাম তাপ সংযোগস্থল
વેક્યુમ બાઉન્ડ ઇલેક્ટ્રોસ્ટેટિક વોલ્ટમીટર,ভেকুৱাম বাউণ্ড ইলেক্ট্ৰষ্টেটিক ভল্টমিটাৰ
વેક્યુમ ગેજ,ভেকুৱাম গেজ
વેક્યૂમ નળી,ভেকুৱাম নলী
વેક્યુમ ટ્યુબ સર્કિટ,ভেকুৱাম টিউব বৰ্তনী
વેક્યુમ ટ્યુબ વોલ્ટમીટર (VTVM),ভেকুৱাম টিউব ভল্টমিটাৰ (VTVM)
વેલેન્સ બેન્ડ,ভেলেন্স বেণ্ড
વેલેન્સ ઇલેક્ટ્રોન,ভ্যালেন্স ইলেক্ট্ৰন
ડ્રોપ-ઓફ પોઈન્ટ,ড্ৰপ-অফ পইণ্ট
વાલ્વ સુધારક,ভালভ সংশোধক
વરાળ તબક્કા દ્રાવક,বাষ্প পৰ্যায়ৰ দ্রাৱক
વેક્ટર ડાયોડ,ভেক্টৰ ডাইঅ&#39;ড
વેક્ટર ડાયોડ મોડ્યુલેટર,ভেক্টৰ ডাইঅ&#39;ড মডুলেটৰ
પાત્ર ટ્યુનર,চৰিত্ৰ টিউনাৰ
ચલ કેપેસિટર,ভেৰিয়েবল কেপাচিটৰ
ચલ પ્રેરક,ভেৰিয়েবল ইণ্ডুচাৰ
ચલ મોડ્યુલસ વિભાજક,ভেৰিয়েবল মডুলাছ বিভাজক
ચલ બેકલાઇટ,ভেৰিয়েবল বেকলাইট
ચલ પ્રતિક્રિયા,ভেৰিয়েবল ৰিয়েক্টেন্স
ચલ પ્રતિકાર,ভেৰিয়েবল ৰেজিষ্টেন্স
"વેરિયેબલ ટ્રાન્સફોર્મર, વેરિયેબલ ટ્રાન્સફોર્મર","ভেৰিয়েবল ট্ৰেন্সফৰ্মাৰ, ভেৰিয়েবল ট্ৰেন্সফৰ্মাৰ"
variac,variac
વેરીકેપ,ভেৰিকাপ
varistor,varistor
વોરલી લૂપ ટેસ્ટ,warley লুপ পৰীক্ষা
વેરોમીટર (પ્રતિક્રિયા પોટેંશિયોમીટર),ভেৰ&#39;মিটাৰ (বিক্ৰিয়া পটেনচ&#39;মিটাৰ)
મીણ,মোম
VBE ગુણક,VBE বহুগুণক
વીસીપી (વિડિયો કેસેટ પ્લેયર),ভিচিপি (ভিডিঅ&#39; কেছেট প্লেয়াৰ)
વીસીઆર (વિડિયો કેસેટ રેકોર્ડર),ভিচিআৰ (ভিডিঅ&#39; কেছেট ৰেকৰ্ডাৰ)
v-મોડ્યુલેટર,v-মডুলেটৰ
વેક્ટર,ভেক্টৰ
વેક્ટર ડિસ્પ્લે,ভেক্টৰ প্ৰদৰ্শন
વેક્ટર ગ્રાફિક્સ,ভেক্টৰ গ্রাফিক্স
વેક્ટર અવબાધ મીટર,ভেক্টৰ ইম্পিডেন্স মিটাৰ
વેક્ટર સૂચના,ভেক্টৰ নিৰ্দেশনা
વેક્ટર નેટવર્ક વિશ્લેષક,ভেক্টৰ নেটৱৰ্ক বিশ্লেষক
વેક્ટર દર્શક,ভেক্টৰ দৰ্শক
વેક્ટર વિક્ષેપ,ভেক্টৰ ইন্টাৰপ্ৰট
વેચાણ કરનાર મશીન,ভেণ্ডিং মেচিন
વેન્ટિલેશન,বায়ু চলাচল
વેર્નિયર કેલ્ક્યુલેટર,vernier কেলকুলেটৰ
વર્નિયર ઇન્ટરપોલેશન,ভাৰ্নিয়াৰ ইন্টাৰপলেচন
વેર્નિયર પોટેંશિયોમીટર,vernier পটেনচিঅ&#39;মিটাৰ
વર્ટિકલ એન્ટેના,উলম্ব এন্টেনা
ઊભી અવગણના,উলম্ব বাদ দিয়া
તેજસ્વી રંગીન પટ્ટી,উজ্জ্বল ৰঙৰ বেণ্ড
ઊભી આવર્તન,উলম্ব কম্পাঙ্ক
આત્યંતિક લાભ,চৰম লাভ
વર્ટિકલ કંટ્રોલર,উলম্ব নিয়ন্ত্ৰক
ક્ષિતિજ નિયંત્રક,দিগন্ত নিয়ন্ত্ৰক
આડી ટ્રેસ,অনুভূমিক ট্ৰেচ
વર્ટિકલ ગેપ,উলম্ব ফাঁক
આગળ અંતરાલ સૂચના,ফৰৱাৰ্ড ইন্টাৰভেল নিৰ্দেশনা
વર્ટિકલ અંતરાલ પરીક્ષણ સંકેત,উলম্ব ব্যৱধান পৰীক্ষা সংকেত
વર્ટિકલ ધ્રુવીકરણ,উলম্ব মেৰুকৰণ
વર્ટિકલ પ્રોગ્રામિંગ,উলম্ব প্ৰগ্ৰেমিং
વર્ટિકલ પ્રોગ્રામિંગ,উলম্ব প্ৰগ্ৰেমিং
વર્ટિકલ રીઝોલ્યુશન,উলম্ব ৰিজ&#39;লিউচন
વર્ટિકલ ટ્રેસ,উলম্ব ট্ৰেচ
વર્ટિકલ ચિત્ર સિલિન્ડર,উলম্ব ছবিৰ চিলিণ্ডাৰ
ઝડપી સ્કેનિંગ,দ্ৰুত স্কেনিং
વર્ટિકલ સિંક્રનાઇઝેશન,উলম্ব সমন্বয়
વર્ટિકલ ટ્રેસ,উলম্ব ট্ৰেচ
વર્ટિકલ ટ્રાન્ઝિસ્ટર,উলম্ব ট্ৰেঞ্জিষ্টৰ
આડું સ્કેનિંગ,অনুভূমিক স্কেনিং
અતિ ઉચ્ચ ઘનતા ફોર્મેટ,অতি উচ্চ ঘনত্বৰ বিন্যাস
ખૂબ જ ઉચ્ચ ઘનતા શરીર,অতি উচ্চ ঘনত্বৰ শৰীৰ
ખૂબ જ ઉચ્ચ આવર્તન (VHF),অতি উচ্চ কম্পাঙ্ক (VHF)
અલ્ટ્રા હાઇ સ્પીડ ઇન્ટિગ્રેટેડ સર્કિટ (VHSIC),আল্ট্ৰা হাই স্পীড ইন্টিগ্ৰেটেড চাৰ্কিট (VHSIC)
લાર્જ ઇન્ટિગ્રેશન (VLSI),বৃহৎ সংহতি (VLSI)
ખૂબ ઓછી આવર્તન (VLF),অতি কম কম্পাঙ্ক (VLF)
ખૂબ ઓછી આવર્તન ટ્રાન્સમિશન,অতি কম কম্পাঙ্ক সংক্ৰমণ
શેષ બાજુ બેન્ડ,অৱশিষ্ট কাষৰ বেণ্ড
વીએચડીએલ,ভিএইচডিএল
હાર્મની VHF,হাৰমনি ভিএইচএফ
વાઇબ્રેશન ગેલ્વેનોમીટર (VHS),কম্পন গেলভানোমিটাৰ (VHS)
અટકેલું ગેલ્વેનોમીટર,ষ্টেগাৰড গেলভানোমিটাৰ
વિડિયો એડીસી,ভিডিঅ&#39; adc
"વિડિયો એમ્પ્લીફાયર, વિઝ્યુઅલ એમ્પ્લીફાયર","ভিডিঅ’ এম্প্লিফায়াৰ, ভিজুৱেল এম্প্লিফায়াৰ"
વિડિઓ ગુણવત્તા,ভিডিঅ&#39; বৈশিষ্ট্যসমূহ
વિડિઓ સપ્લાયર,ভিডিঅ&#39; যোগানকাৰী
વિડિઓ બેન્ડ-પહોળાઈ,ভিডিঅ&#39; বেণ্ড-উইডথ
"વિડિયો કેસેટ, વિઝ્યુઅલ કેસેટ","ভিডিঅ&#39; কেছেট, দৃশ্যমান কেছেট"
વિડિયો કેસેટ રેકોર્ડર,ভিডিঅ&#39; কেছেট ৰেকৰ্ডাৰ
વિડિઓ નિયંત્રક,ভিডিঅ&#39; নিয়ন্ত্ৰক
