Odiya,Telugu
ମଲଚିଂ |,మల్చింగ్
ମୁଲ୍,ముల్
ମଲ୍ଟି ଷ୍ଟୋରୀ କ୍ରପ୍ |,బహుళ అంతస్తుల పంట
ଏକାଧିକ ସମ୍ପର୍କ |,బహుళ సహసంబంధం
ଏକାଧିକ ଫସଲ,బహుళ పంట
ଏକାଧିକ କ୍ରପ୍ ଇଣ୍ଡେକ୍ସ |,బహుళ పంట సూచిక
ଏକାଧିକ କ୍ରସ୍ |,బహుళ క్రాస్
ଏକାଧିକ ପ୍ରତିରୋଧ,బహుళ ప్రతిఘటన
ମଲ୍ଟିଭାରୀ,మల్టీవియారిట్
ବହୁମୁଖୀ |,మల్టీజోటిక్
ମମିଫିକେସନ୍ |,మమ్మీఫికేషన్
ମୂଖ୍ୟ ଫଳ |,మమ్మీ చేసిన పండు
ମୁସ୍କୋଭାଇଟ୍ |,మస్కోవైట్
ମୂଷା,పుట్టగొడుగు
ମୁଟାଗେନ୍ |,ముటాజెన్
ମୁଟିଆଣ୍ଟ |,ఉత్పరివర్తన
ମୁଟିସନ୍ |,మ్యుటేషన్
ମ୍ୟୁଚୁଆଲ୍ ପ୍ରତିବନ୍ଧକ |,పరస్పర నిరోధం
ମ୍ୟୁଚୁଆଲଜ,పరస్పరవాదం
ମାଇସେଲିୟମ୍,మైసిలియం
ମାଇକୋଲୋଜି |,మైకాలజీ
MyCoplaSma,మైకోప్లాస్మా
Mycorrihiza,మైకోరిజా
ମାସ୍,మేస్
ମାଦର |,మదర్
ମାଡାହାକା |,మధుకా
ମେକାଇଜ୍,మొక్కజొన్న
ମାକାନାରୁ ମାକାନା |,మఖనా
ମାଣ୍ଡାରିନ୍ |,మాండరిన్
ଆମ୍ବ ରୋଟିର୍ |,మామిడి జింగర్
ଆମ୍ବ,మామిడి
"ମାର୍ଗୋସା, ନେମେ |","మార్గోసా, వేప"
ମାରିଗୋଲ୍ଡ |,బంతి పువ్వు
ମାଷ୍ଟିକ୍ ଗଛ |,మాస్టిక్ చెట్టు
ମେରିଲ୍,మెరిల్
ମେସ୍ତା |,మెస్టా
ମେଣ୍ଟ,పుదీనా
ମୋଲୋକା ବିନ୍ |,మోలుకా బీన్
ମାଙ୍କଡ଼ ଜ୍ୟାକ |,మంకీ జాక్
ମୋରିଙ୍ଗା,మోరింగ
ସକାଳ ଗ glory ରବ (convolvulus),ఉదయం కీర్తి (కాన్వోల్వులస్)
ମସବବି,మోసాంబి
ପୋକ ବିନ୍,చిమ్మట బీన్
ମୁଲବେରୀ |,మల్బరీ
ମୂଷା,పుట్టగొడుగు
ମୁସ୍କର ମେଲନ୍ |,కర్బూజ
ମୂଷା,మస్క్
ସୋରିଷ |,ఆవాలు
ମିରଟ,మర్టల్
ମାନଚିତ୍ର ଗ୍ରୀନ୍ ଘାସ |,మాపియర్ గడ్డి
Mealy ବଗ୍ |,మీలీ బగ్
ମିଡଜ,మిడ్జ్
ମାଇଟ୍,పురుగులు
ମାଙ୍କଡ଼,కోతి
ମଶା,దోమ
ପୋକ,చిమ్మట
ପାଣିପାଗ ବିଜ୍ଞାନୀ |,వాతావరణ శాస్త్రవేత్త
ମାଇକ୍ରୋବିଡିଓଲୋଜିଷ୍ଟ |,మైక్రోబయాలజిస్ట్
MyCoogistist,మైకాలజిస్ట్
ନାନୋଟେକ୍ନୋଲୋଜି |,నానోటెక్నాలజీ
Nappiform,నేపిఫార్మ్
ନାର୍କୋଟିକ୍ |,మాదకద్రవ్య
ନାସ୍ତିକ୍ ଆନ୍ଦୋଳନ |,నాస్టిక్ ఉద్యమం
ଜାତୀୟ ପ୍ରଦର୍ଶନ,జాతీయ ప్రదర్శన
ଜାତୀୟକରଣ (ଜମିର),భూమి యొక్క భూమి యొక్క)
ପ୍ରାକୃତିକ,సహజ
ପ୍ରାକୃତିକ କ୍ଷୟ |,సహజ కోత
ପ୍ରାକୃତିକ ଚାଷ,సహజ వ్యవసాయం
ପ୍ରାକୃତିକ ସମ୍ପଦ,సహజ వనరులు
ପ୍ରାକୃତିକ ଚୟନ,సహజమైన ఎన్నిక
ପ୍ରାକୃତିକ ଉଦ୍ଭିଦ |,సహజ వృక్షసంపద
ବେକ (ହୋର୍ଟ),మెడ (హార్ట్)
ନୋକ୍ରୋସାଇସ୍,నెక్రోసిస్
ଅମୃତଭଣ୍ଡା,తేనె
ନକାରାତ୍ମକ ଆଲୋଲୋପାଥି |,ప్రతికూల అల్లెలోపతి
ନୋଟିସାଇଡ୍ |,నెమాటిసైడ్
ନେମାଟୋଡ୍ ପ୍ରତିରୋଧକ ମୂଳ ଅଟେ |,నెమటోడ్ రెసిస్టెంట్ రూట్‌స్టాక్
ନେମାଟୋଲୋଜି,నెమటాలజీ
ନୋମୋନି,నియోటెని
ନିଟ୍ ଆସିମିସନ୍ ହାର (ନରୀ),నికర చికిత్స రేటు
ନିଟ୍ ଲାଭ,నికర లాభం
ନିଟ୍ ଆୟ (ଫାର୍ମ ଆୟ),నికర ఆదాయం (వ్యవసాయ ఆదాయం)
ନିଟ୍ ଜଳସେଚନ ଆବଶ୍ୟକତା |,నికర నీటిపారుదల అవసరం
ନିଟ୍ ଉତ୍ପାଦକତା |,నికర ఉత్పాదకత
ନେଟ୍ ରିଟର୍ନ,నికర రాబడి
ଜାଲ,నెట్టింగ్
ନୂର୍ନ,న్యూరాన్
ନିରପେକ୍ଷ |,తటస్థ
ନିରପେକ୍ଷବାଦ,తటస్థత
ନିରପେୟାରକରଣ,తటస్థీకరణ
ନିରପେକ୍ଷ ମାଟି |,తటస్థ నేల
ନ୍ୟୁଟ୍ରନ୍ ଆର୍ଦ୍ରତା ମିଟର |,న్యూట్రాన్ తేమ మీటర్
ନାଚେ,సముచితం
ନିକୋଟିନ୍ |,నికోటిన్
ରାତି ମାଟି |,రాత్రి నేల
ନାଇଟ୍ରେଟ୍ ଆସିମିଟ୍ |,నైట్రేట్ సమీకరణ
ନାଇଟ୍ରେଟ୍ ହ୍ରାସ,నైట్రేట్ తగ్గింపు
ବିଷାକ୍ତତା,నైట్రేట్ విషపూరితం
ନାଇଟ୍ରସ୍,నైట్రే
ନାଇଟ୍ରିକ୍ ଇନହିବିଟର୍ |,నైట్రిఫికేషన్ ఇన్హిబిటర్
ନାଇଟ୍ରୋଜେନ୍ ଆସିମିଗ୍ନାସନ୍ |,నత్రజని సమీకరణ
ନାଇଟ୍ରୋଜେନ୍ ଚକ୍ର |,నత్రజని చక్రం
ନାଇଟ୍ରୋଜେନ ଅଭାବ |,నత్రజని లోపం
ନାଇଟ୍ରୋଜେନ୍ ଫିକ୍ସନ୍ |,నత్రజని స్థిరీకరణ
ନଟ୍ରୋଜେନସ୍,నత్రజని
ନୋବାଇଲାଇଜେସନ୍,నోబిలైజేషన్
ସମ୍ଭ୍ରାନ୍ତ କଏନ |,నోబెల్ చెరకు
ରାତିସାରା,రాత్రి
ନୋଡ୍,నోడ్
ନୋଡୁଲେଟେଡ୍ ଉଦ୍ଭିଦ |,నాడ్యులేటెడ్ ప్లాంట్
ନୋବୁସନ,నాడ్యులేషన్
ନୋଡଲ୍ କରନ୍ତୁ |,నాడ్యూల్
ନାମାଦ୍),సంచార
ସମ୍ଭ୍ରାନ୍ତ,నామకరణం
ଅଣ ଆଲେଲେକ୍ସ |,నాన్ అల్లెలిక్
ଅଣ କ୍ୟାପିଟିଲାରି pour ାଳି |,కేశనాళికలు కాని రంధ్రం
ଅଣ ଦକ୍ଷ ଫସଲ |,పోటీ లేని పంట
ନିର୍ବିଶେଷ ପରିବର୍ତ୍ତନ |,అర్ధంలేని మ్యుటేషన్
ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ନୁହେଁ |,ముఖ్యమైనది కాదు
ଅଣ-ଏସିଡ୍ ଜଟିଳ ଗଠନ |,నాన్-యాసిడ్ ఏర్పడే ఎరువులు
ଅଣ-ସଂଯୋଜନ,నాన్-కంజుగేషన్
ଅଣ-ବର୍ଣ୍ଣିତ (ପଶୁ),నాన్-డిస్క్రిప్ట్ (జంతువు)
ଅଣ-ଜରୁରୀ ଉପାଦାନ |,అనవసరమైన మూలకం
ଅଣ-ହୋମୋଜେନସ୍ |,నాన్-హామోజెనస్
ଅଣ-ହୋମୋଲୋଜସ୍ |,నాన్-హోమోలాగస్
ଅଣ-ପୋଲାର ଯ ound ଗିକ |,ధ్రువ రహిత సమ్మేళనం
ଅଣ-ନବୀକରଣ ଯୋଗ୍ୟ ଶକ୍ତି |,పునరుత్పాదక శక్తి
ଅଣ-ସିଲେକ୍ଟିଭ୍ ଯୋଗାଯୋଗ ହରବିକାଇଡ୍ |,నాన్-సెలెక్టివ్ కాంటాక్ట్ హెర్బిసైడ్
ଅଣ-ସିଲେକ୍ଟିଭ୍ ହରବାଇସିଡ୍ |,ఎంపిక కాని హెర్బిసైడ్
ଅଣ-ସିମ୍ବାଜ୍ିକ୍ ନାଇଟ୍ରୋଜେନ୍ ଫିକ୍ସିସନ୍ |,నాన్-సింబియోటిక్ నత్రజని స్థిరీకరణ
ସାଧାରଣ ବଣ୍ଟନ,సాధారణ పంపిణీ
ସାଧାରଣ ବିହନ,సాధారణ మొలకల
ସାଧାରଣ ସମାଧାନ,సాధారణ పరిష్కారం
ନର୍ମିଜ୍ କରିବା,సాధారణీకరణ
ଉତ୍ତର ବ୍ଲୋଟିଂ |,ఉత్తర బ్లాటింగ్
ଉଲ୍ଲେଖନୀୟ ରୋଗ,నోటిఫైబుల్ డిసీజ్
ନା-ରୋପଣ କରିବା ପର୍ଯ୍ୟନ୍ତ |,నో-టిల్ నాటడం
ବିଷାକ୍ତ ତୃଣକ |,విషపూరిత కలుపు మొక్కలు
ପରମାଣୁ ଚୁମ୍ବକୀୟ |,అణు అయస్కాంత
ନ୍ୟୁକ୍ଲିୟ ଏସିଡ୍ |,న్యూక్లియై ఆమ్లం
ନ୍ୟୁଲିଭାକ୍ଟର୍,న్యూక్లియోబాక్టర్
ନ୍ୟୁକ୍ଲାଇଲସସ୍,న్యూక్లియోలస్
ନ୍ୟୁକଲିଟାଇଡ୍ |,న్యూక్లియోటైడ్
ନ୍ୟୁକ୍ଲିୟସ୍,న్యూక్లియస్
ନଲ୍ ହାଇପୋଥେସିସ୍ |,శూన్య పరికల్పన
Nullisomic,నల్లిసోమిక్
েLL- ମ୍ୟୁଟେସନ୍ |,శూన్య-మ్యుటేషన్
ନର୍ସ ସେଲ୍ |,నర్సు సెల్
ନର୍ସ କ୍ରପ୍ |,నర్సు పంట
ନର୍ସରୀ,నర్సరీ
ବାଦାମ |,గింజ
ପୁଷ୍ଟିକର ସାଇକେଲ ଚଲାଇବା |,పోషక సైక్లింగ్
ପୁଷ୍ଟିକର ଅଭାବ ଲକ୍ଷଣ |,పోషక లోపం లక్షణాలు
ପୁଷ୍ଟିକର,పోషణ
ପୁଷ୍ଟିକର ମୂଲ୍ୟ |,పోషక విలువలు
ପୁଷ୍ଟିକର ମୂଲ୍ୟ ସୂଚକାଙ୍କ |,పోషక విలువ సూచిక
କୃଷି ସହିତ ଜଡିତ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଉଦ୍ଭିଦଗୁଡିକର ନାମ |,వ్యవసాయానికి సంబంధించిన ముఖ్యమైన మొక్కల పేర్లు
ନାଗାଇ କ୍ୟାମ୍ପେଫୋର |,నాగై కర్పూరం
ନରସିସସ୍ |,నార్సిసస్
ନିଗେଲା |,నిగెల్లా
ନାଇଜର,నైజర్
ନାଇଟ୍ ଜସ୍ମିନ୍ |,రాత్రి జాస్మిన్
ନିପା ପଦ୍ମ,నిపా పామ్
ବାଦାମ ଘାସ |,గింజ గడ్డి
ବାଦାମ ସେଜ୍ |,గింజ సెడ్జ్
Nutmegg,జాజికాయ
ନେମୋଡେଡ୍ |,నెమటోడ్
Nut ୱେବଭିଲ୍ |,గింజ వీవిల్
ନେମୁଟୋଲୋଜିଷ୍ଟ,నెమటాలజిస్ట్
ଏରୋବ ଲଗାନ୍ତୁ |,ఏరోబ్‌లను నిర్బంధించండి
AnaRobobes ବାଧ୍ୟତାମୂଳକ |,వాయురహిత వాయురహితం
ପର୍ସାଇଟ୍ ପ୍ୟସ୍ତ ହୁଅନ୍ତୁ |,పరాన్నజీవిని తొలగించండి
ବାଧ୍ୟତାମୂଳକ,బాధ్యత
ଅଫ୍ ଷ୍ଟାଟଗୁଡିକ,ఆఫ్-టైప్ ప్లాంట్లు
ତେଲ କେକ୍,ఆయిల్ కేక్
ଓକାଜାକି ଖଣ୍ଡ |,ఒకాజాకి భాగం
ଓଲେରିକାଲ୍ଟର,ఒలెరికూర్
ଅଲିଗୋଜି |,ఒలిగోజీన్
ଓଲିଗୋନୁଲିଟିଡ୍ |,ఒలిగోన్యూక్లియోటైడ్
ଓଲିଭ୍ ତେଲ,ఆలివ్ నూనె
ଓମେଗା -3 ଫ୍ୟାଟି ଏସିଡ୍ |,ఒమేగా -3-కొవ్వు ఆమ్లం
Omnivours,సర్వశక్తులు
ଅଯୋଜନ |,ఆంకోజీన్
OncOpenentic ଜୀବାଣୁ |,ఆంకోజెనిక్ వైరస్
ଅଙ୍କୋଲୋଜି |,ఆంకాలజీ
ଅନ୍-ଫାର୍ମ ଅନୁସନ୍ଧାନ |,ఆన్-ఫార్మ్ రీసెర్చ్
Oocyte,ఓసైట్
ପରିଚାଳନା ମୂଲ୍ୟ,నిర్వహణ ఖర్చు
ଓପନ୍ |,ఒపెరాన్
ସୁଯୋଗ କ୍ରପ୍ କରିବା |,అవకాశం పంట
Optimum doe,వాంఛనీయ మోతాదు
ସର୍ବୋତ୍କୃଷ୍ଟ ଅର୍ଥନ dooe ତିକ ମାତ୍ରା |,వాంఛనీయ ఆర్థిక మోతాదు
ବଗିଚା ଦକ୍ଷତା |,ఆర్చర్డ్ సామర్థ్యం
ଜ organici େଇ କୃଷି,సేంద్రీయ వ్యవసాయం
ଜ organic ବିକ କୋଷଲଏଡ୍ |,సేంద్రీయ ఘర్షణలు
ଜ Organ ବିକ ଚାଷ |,సేంద్రీయ వ్యవసాయం
ଜ organic ବ ଖର |,సేంద్రీయ ఎరువు
ଜଜିକ୍ ବିଷୟ |,సేంద్రీయ పదార్థం
ଜ organic ବିକ ନଟ୍ରୋଜେନ (ମାଟି),సేంద్రియ నఠీ
ଜ Organ ବିକ ଫସଫରସ୍ |,సేంద్రీయ భాస్వరం
ଜ organic ବ ମାଟି |,సేంద్రీయ నేల
ଜ organic ବିକ ବସ୍,సేంద్రీయ వ్యర్థాలు
ଜ organic ବ୍ |,సేంద్రీయ
ସଂଗଠିତ ମାର୍କେଟିଂ |,ఆర్గనైజ్డ్ మార్కెటింగ్
ସଂଗଠନ,ఆర్గానోజెనిసిస్
ସଂଗଠନ ମୂଲ୍ୟାଙ୍କନ |,ఆర్గానోలెప్టిక్ మూల్యాంకనం
ଅର୍ନଲାଇନ୍,అలంకార శాస్త్రం
ଓଡ଼ିଆ ବିହନ |,ఆర్థడాక్స్ సీడ్
ଅର୍ଥୋଗୋନାଲ୍ ପଲିନୋମିଆଲ୍ ସମୀକରଣ |,ఆర్తోగోనల్ బహుపది సమీకరణం
ଓସମୋସିସ୍ |,ఓస్మోసిస్
ଓସମୋଟିକ୍ ପ୍ରଭାବ,ఓస్మోటిక్ ప్రభావం
ଓସମୋଟିକ୍ ସମ୍ଭାବନା |,ఓస్మోటిక్ సంభావ్యత
ବ୍ରେକ୍ ଆଉଟ୍,అకస్మాత్తుగా వ్యాపించడం
ପ୍ରଜାତି,అవుట్ బ్రీడింగ్
ଚୁଲି,పొయ్యి
ଓଭରୱିନ୍ୱର୍ |,ఓవర్‌వింటర్
ଓଭରଲିପ୍ ପି generation ଼ି |,తరం అతివ్యాప్తి
ଓଭମ୍ |,అండం
ଅକ୍ସିଡେସନ୍,ఆక్సీకరణ
ଅକ୍ସିଲୋଫାଇଟ୍ |,ఆక్సిలోఫైట్స్
ଓଟସ୍ |,వోట్స్
ତେଲ ଖଜୁରୀ |,ఆయిల్ పామ్
ଓଲେଣ୍ଡର୍,ఒలిండర్
ଅଲିଭ୍,ఆలివ్
ପିଆଜ |,ఉల్లిపాయ
ଓଫିୟମ୍ ପପି |,నల్లమందు గసగసాలు
"ଓରିଏଣ୍ଟାଲ୍ ପ୍ଲେନ, ୟୁରୋପୀୟ ବିମାନ ଗଛ |","ఓరియంటల్ విమానం, యూరోపియన్ విమానం చెట్టు"
ପ୍ୟାକିଂ,ప్యాకింగ్
ପ୍ୟାଡକ୍ |,పాడాక్
ଯୋଡି ହୋଇଥିବା ଧାଡି ରୋପଣ |,జత చేసిన వరుస నాటడం
ସ୍ଥନତା,పాలటబిలిటీ
ପାନିକଲ,పానికిల్
ପାରାସୀଙ୍କ ବିସର୍ଜନ |,పారాసెంట్రిక్ విలోమం
ପାରାମିଟର,పరామితి
ପରଜୀବୀ,పరాన్నజీవి
ପାର୍ ବିମାନ,పార్బోయిలింగ్
ପେଣ୍ଟିମା,పరేన్చైమా
ପିତାମାତା ପଥର |,పేరెంట్ రాక్
ନାବିକ ମରୁଡ଼ି,పార్మనెంట్ కరువు
18 ପାର୍ଟନେନେସିସ୍,పార్థినోజెనిసిస్
ଆଂଶିକ କାରକ ଉତ୍ପାଦନ |,పాక్షిక కారకాల ఉత్పాదకత
ଅଂଶଗ୍ରହଣକାରୀ ଗ୍ରାମାଞ୍ଚଳ ମୂଲ୍ୟାଙ୍କନ |,పాల్గొనే గ్రామీణ మదింపు
କଣିକା ଘନତା |,కణ సాంద్రత
ନିଷ୍କ୍ରିୟ ଅବଶୋଷଣ |,నిష్క్రియాత్మక శోషణ
ଚାରଣଭୂମି,పచ్చిక
ପେସ୍ୟୁନାଇଜେସନ୍,పచ్చిక పట్టణీకరణ
PCR (ପଲିମେରୀ ଶୃଙ୍ଖଳା ପ୍ରତିକ୍ରିୟା),పిసిఆర్
କୃଷକ ଚାଷ,రైతు వ్యవసాయం
ପିଟ୍ (ମାଟି),మట్టి
ପେଡଗୁଡିକ,పెడ్
ପେଡିକେଲ୍ |,పెడిసెల్
Pedigree,పూర్వీకుల నుండి వంశక్రమము
ପେଡୋଜେନିସ୍ |,పెడోజెనిసిస్
ମିଥ୍ୟାବାଦୀ |,పెడోలజీ
ଚୋପା,పీల్
ପିଲିଂ,పీలింగ్
ପେଲେଟିଂ,గుళికల
PerColation |,పెర్కోలేషన్
ଚିରସ୍ଥାୟୀ |,శాశ్వత
Pericantricାଂଶ ବିସର୍ଜନ |,పెరిసెంట్రిక్ విలోమం
ପେରି-ସହରୀ,పెరి-అర్బన్
Permly,పారగమ్యత
ଗମ୍ଭୀରତା,స్వయం సమృద్ధ వ్యవసాయ పర్యావరణాభివృద్ధి
ସ୍ଥାୟୀ ୱିଲିଙ୍ଗ୍ ପଏଣ୍ଟ (pwp),శాశ్వత విల్టింగ్ పాయింట్ (పిడబ్ల్యుపి)
ନିର୍ଦ୍ଦିଷ୍ଟତା ତୃପ୍ତି |,పెర్మబిలిటీ గుణకం
Permyion ହାର,పారగమ్యత రేటు
ପରୀମେୟର,పెర్మీమీటర్
କ୍ରମାଗତ ହରବିକାଇଡ୍ |,నిరంతర హెర్బిసైడ్
କୀଟନାଶସ୍ତ୍ର,పురుగుమందు
ପେଟ୍ରୋଫାଇଟ୍ |,పెట్రోఫైట్
ଫଜ୍,ఫేజ్
ଚାପରେ ପ୍ଲାଣ୍ଟିଂ |,దశల నాటడం
ଫାସମିଡ୍ |,ఫాస్మిడ్
Phellogen,ఫెలోజెన్
ପର୍ଯ୍ୟାଖିକ୍ ଯ ounds ଗିକ |,ఫినోలిక్ సమ్మేళనాలు
ଫେନୋଜି,ఫినాలజీ
ଫେନୋଟାଇପ୍ |,ఫినోటైప్
ଫେରୋମୋନିଅନ୍,ఫేర్మోన్
ଭୋର୍ଥ,ఫ్లోయమ్
ଫସଫେଟ୍ ଫିକ୍ସିଂ |,ఫాస్ఫేట్ ఫిక్సేషన్
ଫସଫେଟ୍ ପଥର |,ఫాస్ఫేట్ రాక్
ଫସଫେଟ୍ ଦ୍ରବ୍ୟୁଟାଇଜେସନ୍ |,ఫాస్ఫేట్ ద్రావణీకరణ
ଫସଫେଟ୍ ସୋଜିଲିଜ୍ |,ఫాస్ఫేట్ ద్రావణీకరణ
ଫସପ୍ୟାଟାଇଡ୍ |,ఫాస్ఫాటైడ్
ଫସଫୋ-ଜିପସମ୍ |,ఫాస్ఫో-జిప్సం
ଫସଫୋଲିପିଡ୍ |,ఫాస్ఫోలిపిడ్
ଫସଫୋରୀ,ఫాస్ఫోరైలేషన్
ଫଟୋ ସ୍ପେକ୍ଟ୍ରୋୋମିଟର |,ఫోటో స్పెక్ట్రోమీటర్
ଫଟୋଆଉଡ଼ିଓଫ୍ରଫ,ఫోటోఆటోట్రోఫ్
ଫୋଟୋମେକ୍ିକାଲ୍ ପ୍ରତିକ୍ରିୟା |,ఫోటోకోమికల్ రియాక్షన్
ଫୋଟୋଡିଂମାସୀକରଣ,ఫోటోడెసెంపోజిషన్
ଫଟୋଗ୍ରାଟ୍ରି,ఫోటోమెట్రీ
ଫଟୋ ବର୍ର୍ଫୋର୍ଫେର୍ଜ୍ସ୍,ఫోటోమోర్ఫోజెనిసిస్
ଫୋଟିନ୍,ఫోటాన్
ଫଟୋ-ଅକ୍ସିଡେସନ୍ |,ఫోటో-ఆక్సీకరణ
ଫଟୋ,ఫోటోపెరియోడ్
ଫୋର୍ସିଓବାଦୀତା,ఫోటోపెరియోడిజం
ଫଟଫେଫୋସଫୋର୍ଡ,ఫోటోఫాస్ఫోరైలేషన్
ଫୋଟୋଆରେକ୍ଟିଭେସନ୍,ఫోటోరియాక్టివేషన్
ଫୋଟୋଲେସ୍ପର୍ |,ఫోటోరిసెప్టర్
ଫଟୋଗ୍ରାସ୍ପିରେସନ୍,ఫోటోర్‌స్పిరేషన్
ଫଟୋସ nthesis,కిరణజన్య సంయోగక్రియ
ଫଟୋସାଇନ୍ଥେଟିକ୍ ଦକ୍ଷତା |,కిరణజన్య సంయోగ సామర్థ్యం
ଫଟୋଶ୍ୟାଣ୍ଟେଟିକ୍ କୋଟିସେଣ୍ଟ୍ |,కిరణజన్య సంయోగక్రియ
ଫଟୋସ nat ରୀୟ ଭାବରେ |,కిరణజన్య సంయోగపరంగా
ଫଟୋଟ୍ରୋପିଜିମ୍ |,ఫోటోట్రోపిజం
ଫୁଲା,ఫైలోడీ
Phillotixky,ఫైలోటాక్సీ
ଶାରୀରିକ ପାଣିପାଗ,భౌతిక వాతావరణం
ଶାରୀରିକ ବ୍ୟାଘାତ,శారీరక రుగ్మత
ଶାରୀରିକ ଇଚ୍ଛାକୃତ ମରୁଡ଼ି |,శారీరక కరువు
ଶାରୀରିକ କ୍ଷତି |,శారీరక నష్టం
ଶାରୀରିକ ପରିପକ୍ୱତା,శారీరక పరిపక్వత
ପୃଷ୍ଟି,ఫైటోక్రోమ్
ପୃ datoextraction,ఫైటోఎక్స్ట్రాక్షన్
ଫାଇଟୋନାସ୍,ఫైటోమాస్
ପୃଷ୍ଟୋମୋଡଡ୍,ఫైటోమాటోడ్
Phyoremediabation,ఫైటోరేమీడియేషన్
ପୃଷ୍ଜୀସ୍ରୋଫୋର,ఫైటోసిడెఫోర్
PhyToToxic,ఫైటోటాక్సిక్
ପୃy,ఫైటోట్రోన్
Pictogract,పిక్టోగ్రాఫ్
ପାଇ ଚିତ୍ର |,పై రేఖాచిత్రం
ପାଇଜୋମିଟର |,పైజోమీటర్
ପିଚର୍ ଚାଷ,పిచ్చర్ వ్యవసాయం
ସ୍ଥାନ (ସାର),పూలమైన పూల సంకోచము
ସ୍ଥାନ,మావి
ବାଡ଼ିଯାନ |,ప్లానింగ్
ଉଦ୍ଭିଦ ପ୍ରଜନନ,మొక్కల పెంపకం
ଉଦ୍ଭିଦ ଘନତା |,మొక్క సాంద్రత
ଉଦ୍ଭାବନ ଉଦ୍ଭିଦ |,మొక్కల జీవావరణ శాస్త్రం
ଅଭିବୃଦ୍ଧି ପ୍ରୋତ୍ସାହନ |,మొక్కల పెరుగుదల ప్రమోటర్
ଅଭିବୃଦ୍ଧି ନିୟମକ ଉଦ୍ଭିଦ |,మొక్కల పెరుగుదల నియంత్రకం
ଉଦ୍ଭିଦ ପରିଚୟ,మొక్కల పరిచయం
ଉଦ୍ଭିଦଗୁଡିକ,మొక్కల పోషకాలు
ଉଦ୍ଭାବନ ପୁଷ୍ଟିକର |,మొక్కల పోషణ
କ୍ୱାରାଣ୍ଟାଇନ୍ ନିୟମାବଳୀ |,మొక్కల నిర్బంధ నియంత్రణ
ଉଦ୍ଭିଦ ଟିସୁ ପରୀକ୍ଷା |,మొక్కల కణజాల పరీక్ష
ବୃକ୍ଷରୋପଣ ଫସଲ |,తోటల పంటలు
ରୋପଣକାରୀ,ప్లాంటర్
ବଳକା ସାମଗ୍ରୀ,నాటడం పదార్థం
ବାଣ୍ଡିବା ଅନୁପାତ,నాటడం నిష్పత్తి
ପ୍ଲାସା,ప్లాస్మా
ପ୍ଲାଜ୍ମା ମେମ୍ବ୍ରା |,ప్లాస్మా జ్ఞాపకం
ପ୍ଲାଜ୍ମିଡ୍,ప్లాస్మిడ్
ପ୍ଲାଜମୋଡେସମା,ప్లాస్మోడెస్మాటా
ପ୍ଲାଜମାଇଲ୍ସ,ప్లాస్మోలిసిస్
ପ୍ଲାଷ୍ଟିକ୍ |,ప్లాస్టిసిటీ
ପଟେଷ୍ଟିକର,ప్లాస్టికల్చర్
ପ୍ଲାଷ୍ଟେଡ୍,ప్లాస్టిడ్
ନୟୋଟ୍ରୋପିକ୍ ଜିନ୍ |,ప్లియోట్రోపిక్ జన్యువు
ପ୍ଲଟ୍ (ପରୀକ୍ଷାମୂଳକ),ప్లాట్లు (ప్రయోగాత్మక)
ହଲିଂ,దున్నుట
ହଳ-,ప్లగ్-సోల్
ହଳ- ସୋଲ୍ ପ୍ଲେସମେଣ୍ଟ |,ప్లగ్-సోల్ ప్లేస్‌మెంట్
ପ୍ଲୁଭିଆଲ୍ ଚାଉଳ ଜମି |,ప్లూవియల్ రైస్ ల్యాండ్స్
ପ୍ଲୁଭିକ୍ |,ప్లవిక్
ନିମୋଟିକ୍ ସ୍ପ୍ରେର୍ |,న్యూమాటిక్ స్ప్రేయర్
ନିମାରଫୋକରେ,న్యుమాటోఫోర్
ପୋଡ଼ୋଜଲ୍ ମାଟି |,పోడ్జోల్ నేల
ପୋଡ଼ଜୋଲିଅନେସନ୍,పోడ్జోలైజేషన్
ବିନ୍ଦୁ ମ୍ୟୁଟେସନ୍,పాయింట్ మ్యుటేషన్
ପଏସନ୍ ବଣ୍ଟନ |,పాయిసన్ పంపిణీ
ପ୍ରଦର୍ଶକ,పరాగసంపర్కం
ପଲିଏମ୍ବ୍ରୋନି |,పాలిఎంబ్రోనీ
ପଲିମେରାଇଜେସନ୍,పాలిమరైజేషన్
ପଲିମର୍ଫାଇଜ୍ |,పాలిమార్ఫిజం
ପଲିସିପର୍ମୀ |,పాలిస్పెర్మీ
ପଲିଟେନ୍ କ୍ରୋମୋଜୋମ୍ |,పాలిటెన్ క్రోమోజోమ్
ପୁଏଲୋଜି,పోమోలజీ
ଜନସଂଖ୍ୟା,జనాభా
ପୋରୋସିଟି (ପୋରେ-ସ୍ପେସ୍),సున్నభావము (రంధ్ర-స్థలం)
ପରବର୍ତ୍ତୀ ଉଦୀୟୃତ,పోస్ట్-ఆవిర్భావం
ଅମଳ ପୋଷ୍ଟ କରନ୍ତୁ |,పోస్ట్ హార్వెస్ట్
ଅମୋଜ-ଅମଳ ଟିଲଗ୍ |,పంటకోత పంట
ପୋଲାସିୟମ୍ ଅବଶୋଷଣ ଅନୁପାତ |,పొటాషియం శోషణ నిష్పత్తి
