English,Odiya
light gun,ହାଲୁକା ବନ୍ଧୁକ |
light pen,ହାଲୁକା କଲମ |
line adapter,ରେଖା ଆଡାପ୍ଟର |
line editing,ରେଖା ସମ୍ପାଦନା |
line printer,ରେଖା ପ୍ରିଣ୍ଟର୍ |
Linear,ରେଖା
lines per minute (LPM),ପ୍ରତି ମିନିଟରେ ରେଖା (LPM)
Link,ଲିଙ୍କ୍ |
linked list,ଲିଙ୍କ୍ ତାଲିକା |
LINUX,LINUX
liquid crystal display (LCD),ତରଳ ସ୍ଫଟିକ୍ ପ୍ରଦର୍ଶନ (LCD)
list processing,ତାଲିକା ପ୍ରକ୍ରିୟାକରଣ |
Literal,ଆକ୍ଷରିକ
Live,ଲାଇଭ୍ |
live node,ଲାଇଭ୍ ନୋଡ୍ |
Load,ଲୋଡ୍ କର |
load module,ଲୋଡ୍ ମଡ୍ୟୁଲ୍
Local,ସ୍ଥାନୀୟ
local access,ସ୍ଥାନୀୟ ପ୍ରବେଶ
local area network (Lan),ସ୍ଥାନୀୟ କ୍ଷେତ୍ର ନେଟୱାର୍କ (ଲାନ୍)
local definition,ସ୍ଥାନୀୟ ପରିଭାଷା |
local exchange,ସ୍ଥାନୀୟ ବିନିମୟ |
local memory,ସ୍ଥାନୀୟ ସ୍ମୃତି
local mode,ସ୍ଥାନୀୟ ମୋଡ୍ |
local variable,ଲୋକାଲ୍ ଭେରିଏବଲ୍ |
Lock,ଲକ୍ କରନ୍ତୁ |
locked file,ଲକ୍ ହୋଇଥିବା ଫାଇଲ୍ |
log in=log on,ଲଗ୍ ଇନ୍ = ଲଗ୍ ଇନ୍ କରନ୍ତୁ |
log off-log out,ଲଗ୍ ଆଉଟ୍ ଆଉଟ୍ କରନ୍ତୁ |
Logging,ଲଗିଂ
logic analyser,ତର୍କ ବିଶ୍ଳେଷଣକାରୀ |
logic bomb,ଲଜିକ୍ ବୋମା |
logic card,ଲଜିକ୍ କାର୍ଡ |
logic chart (flow chart),ଲଜିକ୍ ଚାର୍ଟ (ଫ୍ଲୋ ଚାର୍ଟ)
logic circuit,ଲଜିକ୍ ସର୍କିଟ୍ |
logic design,ତାର୍କିକ ଡିଜାଇନ୍ |
logic diagram,ତାର୍କିକ ଚିତ୍ର
logic flow chart,ତର୍କ ପ୍ରବାହ ଚାର୍ଟ |
logic function,ତାର୍କିକ କାର୍ଯ୍ୟ
logic gate,ତାର୍କିକ ଫାଟକ
logic programming,ଲଜିକ୍ ପ୍ରୋଗ୍ରାମିଂ |
logic shift,ତର୍କ ପରିବର୍ତ୍ତନ
logic state,ତର୍କ ସ୍ଥିତି |
logic switch,ଲଜିକ୍ ସୁଇଚ୍ |
logic unit,ତର୍କ ଏକକ |
Logical,ଯୁକ୍ତିଯୁକ୍ତ |
logical connection,ଯୁକ୍ତିଯୁକ୍ତ ସଂଯୋଗ |
logical data structure,ତାର୍କିକ ତଥ୍ୟ ଗଠନ
logical diagram,ତାର୍କିକ ଚିତ୍ର
logical expression,ଯୁକ୍ତିଯୁକ୍ତ ଅଭିବ୍ୟକ୍ତି |
logical flow chart (flow chart),ଲଜିକାଲ୍ ଫ୍ଲୋ ଚାର୍ଟ (ଫ୍ଲୋ ଚାର୍ଟ)
logical IF,ଯୁକ୍ତିଯୁକ୍ତ IF
logical operation,ଲଜିକାଲ୍ ଅପରେସନ୍
logical operator,ଲଜିକାଲ୍ ଅପରେଟର୍ |
logical relation,ଯୁକ୍ତିଯୁକ୍ତ ସମ୍ପର୍କ |
logical scheme,ଲଜିକାଲ୍ ସ୍କିମ୍ |
logical symbol,ଯୁକ୍ତିଯୁକ୍ତ ପ୍ରତୀକ |
logical type,ଲଜିକାଲ୍ ପ୍ରକାର |
logical value,ତାର୍କିକ ମୂଲ୍ୟ
logical variable,ଲଜିକାଲ୍ ଭେରିଏବଲ୍ |
look ahead carry,ଆଗକୁ ଦେଖ
look ahead set,ଆଗକୁ ସେଟ୍ ଦେଖନ୍ତୁ |
Look-up,ଉପରୁକୁ ଦେଖ
Loop,ଲୁପ୍ |
loop control,ଲୁପ୍ କଣ୍ଟ୍ରୋଲ୍ |
loop initialization,ଲୁପ୍ ପ୍ରାରମ୍ଭିକରଣ |
loop modification,ଲୁପ୍ ପରିବର୍ତ୍ତନ
loop network,ଲୁପ୍ ନେଟୱାର୍କ |
loop start,ଲୁପ୍ ଆରମ୍ଭ
loop termination,ଲୁପ୍ ସମାପ୍ତି |
loop-back test,ଲୁପ୍-ବ୍ୟାକ୍ ପରୀକ୍ଷା |
loosely coupled,ଖାଲି ଯୋଡି |
lossless compression,କ୍ଷତିହୀନ ସଙ୍କୋଚନ |
lossy compression,କ୍ଷତିକାରକ ସଙ୍କୋଚନ |
low byte,କମ୍ ବାଇଟ୍ |
low level language,ନିମ୍ନ ସ୍ତରର ଭାଷା |
low pass filter,ନିମ୍ନ ପାସ୍ ଫିଲ୍ଟର୍ |
lower bound,ନିମ୍ନ ବନ୍ଧା |
mac protocol (medium access control),ମ୍ୟାକ୍ ପ୍ରୋଟୋକଲ୍ (ମଧ୍ୟମ ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ)
Machine,ମେସିନ୍
machine address,ଯନ୍ତ୍ର ଠିକଣା
machine code,ମେସିନ୍ କୋଡ୍
machine cycle,ମେସିନ୍ ଚକ୍ର |
machine dependent language,ମେସିନ୍ ନିର୍ଭରଶୀଳ ଭାଷା |
machine dependent software,ମେସିନ୍ ନିର୍ଭରଶୀଳ ସଫ୍ଟୱେର୍ |
machine error,ମେସିନ୍ ତ୍ରୁଟି |
machine idle time,ମେସିନ୍ ନିଷ୍କ୍ରିୟ ସମୟ |
machine independent language,ମେସିନ୍ ସ୍ୱାଧୀନ ଭାଷା |
machine instruction,ଯନ୍ତ୍ର ନିର୍ଦ୍ଦେଶ
machine intelligence,ଯନ୍ତ୍ର ବୁଦ୍ଧି
machine language,ମେସିନ୍ ଭାଷା
machine learning,ଯନ୍ତ୍ର ଶିକ୍ଷା
machine operation,ମେସିନ୍ ଅପରେସନ୍
machine oriented language,ମେସିନ୍ ଆଧାରିତ ଭାଷା |
machine run,ମେସିନ୍ ଚଲାଇବା |
machine simulation,ମେସିନ୍ ଅନୁକରଣ
machine spoiled time,ମେସିନ୍ ନଷ୍ଟ ହୋଇଥିବା ସମୟ |
machine translation,ମେସିନ୍ ଅନୁବାଦ
machine word,ମେସିନ୍ ଶବ୍ଦ |
macro (=macro instruction),ମାକ୍ରୋ (= ମାକ୍ରୋ ନିର୍ଦ୍ଦେଶ)
macro argument,ମାକ୍ରୋ ଆର୍ଗୁମେଣ୍ଟ୍ |
macro assembly program,ମାକ୍ରୋ ଆସେମ୍ବଲି ପ୍ରୋଗ୍ରାମ୍ |
macro call,ମାକ୍ରୋ କଲ୍ |
macro code,ମାକ୍ରୋ କୋଡ୍ |
macro command,ମାକ୍ରୋ କମାଣ୍ଡ୍ |
macro declaration,ମାକ୍ରୋ ଘୋଷଣା
macro definition,ମାକ୍ରୋ ସଂଜ୍ଞା
macro flow chart,ମାକ୍ରୋ ଫ୍ଲୋ ଚାର୍ଟ |
macro generator,ମାକ୍ରୋ ଜେନେରେଟର
macro instruction,ମାକ୍ରୋ ନିର୍ଦ୍ଦେଶ
macro language,ମାକ୍ରୋ ଭାଷା |
macro library,ମାକ୍ରୋ ଲାଇବ୍ରେରୀ |
macro parameter,ମାକ୍ରୋ ପାରାମିଟର |
macro processing,ମାକ୍ରୋ ପ୍ରକ୍ରିୟାକରଣ |
macro processor,ମାକ୍ରୋ ସଞ୍ଚାଳକ |
macro programming,ମାକ୍ରୋ ପ୍ରୋଗ୍ରାମିଂ |
macro prototype,ମାକ୍ରୋ ପ୍ରୋଟୋଟାଇପ୍ |
Macro-coding,ମାକ୍ରୋ-କୋଡିଂ |
magabyte (MB),ମାଗାବାଇଟ୍ (MB)
magic character,ଯାଦୁ ଚରିତ୍ର |
magic number,ଯାଦୁ ସଂଖ୍ୟା
magnetic bubble memory,ଚୁମ୍ବକୀୟ ବବୁଲ୍ ସ୍ମୃତି
magnetic card,ଚୁମ୍ବକୀୟ କାର୍ଡ |
magnetic cell,ଚୁମ୍ବକୀୟ କକ୍ଷ |
magnetic character,ଚୁମ୍ବକୀୟ ଚରିତ୍ର |
magnetic core storage,ଚୁମ୍ବକୀୟ କୋର ସଂରକ୍ଷଣ
magnetic disk,ଚୁମ୍ବକୀୟ ଡିସ୍କ |
magnetic disk address,ଚୁମ୍ବକୀୟ ଡିସ୍କ ଠିକଣା
magnetic disk memory,ଚୁମ୍ବକୀୟ ଡିସ୍କ ସ୍ମୃତି
magnetic drum,ଚୁମ୍ବକୀୟ ଡ୍ରମ୍ |
magnetic encoding,ଚୁମ୍ବକୀୟ ଏନକୋଡିଂ |
magnetic head,ଚୁମ୍ବକୀୟ ମୁଣ୍ଡ
magnetic ink,ଚୁମ୍ବକୀୟ ଇଙ୍କି |
magnetic ink character recognition (MICR),ଚୁମ୍ବକୀୟ ଇଙ୍କି ବର୍ଣ୍ଣ ଚିହ୍ନ (MICR)
magnetic media,ଚୁମ୍ବକୀୟ ମିଡିଆ |
magnetic reading,ଚୁମ୍ବକୀୟ ପଠନ |
magnetic recording,ଚୁମ୍ବକୀୟ ରେକର୍ଡିଂ |
magnetic storage,ଚୁମ୍ବକୀୟ ସଂରକ୍ଷଣ
magnetic strip,ଚୁମ୍ବକୀୟ ଷ୍ଟ୍ରିପ୍ |
magnetic tape,ଚୁମ୍ବକୀୟ ଟେପ୍ |
magnetic tape cartridge,ଚୁମ୍ବକୀୟ ଟେପ୍ କାର୍ଟ୍ରିଜ୍ |
magnetic tape drive,ଚୁମ୍ବକୀୟ ଟେପ୍ ଡ୍ରାଇଭ୍ |
magnetic tape header,ଚୁମ୍ବକୀୟ ଟେପ୍ ହେଡର୍ |
magnetic tape librarian,ଚୁମ୍ବକୀୟ ଟେପ୍ ଲାଇବ୍ରେରିଆନ୍ |
magnetic tape transport,ଚୁମ୍ବକୀୟ ଟେପ୍ ପରିବହନ |
magnetic tape unit,ଚୁମ୍ବକୀୟ ଟେପ୍ ୟୁନିଟ୍ |
magnetic thin film,ଚୁମ୍ବକୀୟ ପତଳା ଚଳଚ୍ଚିତ୍ର |
magnetic track,ଚୁମ୍ବକୀୟ ଟ୍ରାକ୍ |
magneto optic storage,ଚୁମ୍ବକୀୟ ଅପ୍ଟିକ୍ ଷ୍ଟୋରେଜ୍ |
magnetographic printer,ଚୁମ୍ବକୀୟ ପ୍ରିଣ୍ଟର୍ |
Magnetostriction,ଚୁମ୍ବକୀୟ
magnetostrictive tablet,ଚୁମ୍ବକୀୟ ଟାବଲେଟ୍ |
mail box,ମେଲ୍ ବାକ୍ସ
mail merge,ମେଲ୍ ମିଶ୍ରଣ |
main control unit,ମୁଖ୍ୟ ନିୟନ୍ତ୍ରଣ ଏକକ |
main frame,ମୁଖ୍ୟ ଫ୍ରେମ୍ |
main frame system,ମୁଖ୍ୟ ଫ୍ରେମ୍ ସିଷ୍ଟମ୍ |
main memory,ମୁଖ୍ୟ ସ୍ମୃତି
main program,ମୁଖ୍ୟ ପ୍ରୋଗ୍ରାମ୍
main storage,ମୁଖ୍ୟ ଭଣ୍ଡାର |
main switch,ମୁଖ୍ୟ ସୁଇଚ୍
Maintenance,ରକ୍ଷଣାବେକ୍ଷଣ
maintenance panel,ରକ୍ଷଣାବେକ୍ଷଣ ପ୍ୟାନେଲ୍ |
maintenance time,ରକ୍ଷଣାବେକ୍ଷଣ ସମୟ
major cycle,ପ୍ରମୁଖ ଚକ୍ର |
major device,ପ୍ରମୁଖ ଉପକରଣ
major key,ମୁଖ୍ୟ ଚାବି |
major state,ପ୍ରମୁଖ ରାଜ୍ୟ |
major structure,ପ୍ରମୁଖ ଗଠନ
major task,ପ୍ରମୁଖ କାର୍ଯ୍ୟ
majority element,ସଂଖ୍ୟା କିମ୍ବା ପ୍ରତୀକ ସହିତ ଅକ୍ଷର ମଧ୍ଯ ବ୍ୟବହାର କରି
majority gate,ସଂଖ୍ୟା କିମ୍ବା ପ୍ରତୀକ ସହିତ ଅକ୍ଷର ମଧ୍ଯ ବ୍ୟବହାର କରି
majority operation,ସଂଖ୍ୟା କିମ୍ବା ପ୍ରତୀକ ସହିତ ଅକ୍ଷର ମଧ୍ଯ ବ୍ୟବହାର କରି
makeup time,ମେକଅପ୍ ସମୟ |
malfunction routine,ତ୍ରୁଟି ନିତ୍ୟକର୍ମ |
management development,ପରିଚାଳନା ବିକାଶ
management information system (MIS),ପରିଚାଳନା ସୂଚନା ବ୍ୟବସ୍ଥା (MIS)
management science,ପରିଚାଳନା ବିଜ୍ଞାନ |
Manchester coding,ମଞ୍ଚେଷ୍ଟର କୋଡିଂ |
Manifolding,ମନିଫୋଲ୍ଡିଂ |
manipulated variable,ମନିପ୍ୟୁଟେଡ୍ ଭେରିଏବଲ୍ |
manipulating indexing,ଇଣ୍ଡେକ୍ସ କରିବା
man-machine simulation,ମ୍ୟାନ୍-ମେସିନ୍ ଅନୁକରଣ |
manual address switch,ମାନୁଆଲ୍ ଠିକଣା ସୁଇଚ୍ |
manual analysis,ମାନୁଆଲ ବିଶ୍ଳେଷଣ |
manual answering,ମାନୁଆଲ ଉତ୍ତର
manual entry,ମାନୁଆଲ ପ୍ରବେଶ
manual exchange,ମାନୁଆଲ ବିନିମୟ
manual input,ମାନୁଆଲ୍ ଇନପୁଟ୍ |
manual operation,ମାନୁଆଲ୍ ଅପରେସନ୍ |
many to many relationship,ଅନେକ ସମ୍ପର୍କ ପାଇଁ ଅନେକ |
many to one decoder,ଅନେକରୁ ଗୋଟିଏ ଡିକୋଡର୍ |
map method,ମାନଚିତ୍ର ପଦ୍ଧତି
Mapping,ମ୍ୟାପିଂ
Margin,ମାର୍ଜିନ୍
margin error,ମାର୍ଜିନ୍ ତ୍ରୁଟି |
marginal check,ମାର୍ଜିନାଲ ଯାଞ୍ଚ
marginal test,ମାର୍ଜିନାଲ ପରୀକ୍ଷା
mark detection,ଚିହ୍ନ ଚିହ୍ନଟ
mark reading,ପ reading ଼ିବା ଚିହ୍ନ |
mark scanning,ମାର୍କ ସ୍କାନିଂ
mark sense,ଚିହ୍ନ ଚିହ୍ନ
Marker,ମାର୍କର
Marking,ମାର୍କିଂ
marking wave,ତରଙ୍ଗ ଚିହ୍ନିତ
markov chain,ମାର୍କୋଭ୍ ଶୃଙ୍ଖଳା |
markov source,ମାର୍କୋଭ ଉତ୍ସ |
mark-up language,ମାର୍କ ଅପ୍ ଭାଷା |
Maser,ମାସର
Maser,ମାସର
Mask,ମାସ୍କ
mask bit,ମାସ୍କ ବିଟ୍ |
mask programmable device,ମାସ୍କ ପ୍ରୋଗ୍ରାମେବଲ୍ ଡିଭାଇସ୍ |
mask register,ମାସ୍କ ରେଜିଷ୍ଟର |
masked ROM,ମାସ୍କଡ୍ ROM |
Masking,ମାସ୍କିଂ |
mass data,ବହୁ ତଥ୍ୟ
mass memory,ଜନ ସ୍ମୃତି
massively parallel,ବହୁଳ ଭାବରେ ସମାନ୍ତରାଳ |
Master,ଗୁରୁ
master card,ମାଷ୍ଟର କାର୍ଡ |
master clock,ମାଷ୍ଟର ଘଣ୍ଟା |
master consol,ମାଷ୍ଟର କନସୋଲ୍ |
master data,ମୂଖ୍ୟ ତଥ୍ୟ |
master diagram,ମୂଖ୍ୟ ଚିତ୍ର
master file,ମାଷ୍ଟର ଫାଇଲ୍ |
master group,ମାଷ୍ଟର ଗ୍ରୁପ୍ |
master key,ମାଷ୍ଟର କି
master library tape,ମାଷ୍ଟର ଲାଇବ୍ରେରୀ ଟେପ୍ |
master processor,ମାଷ୍ଟର ସଞ୍ଚାଳକ |
master program,ମାଷ୍ଟର ପ୍ରୋଗ୍ରାମ୍ |
master station,ମାଷ୍ଟର ଷ୍ଟେସନ୍ |
master tape,ମାଷ୍ଟର ଟେପ୍ |
master terminal,ମାଷ୍ଟର୍ ଟର୍ମିନାଲ୍ |
master/slave device,ମାଷ୍ଟର / ଦାସ ଉପକରଣ |
master/slave system,ମାଷ୍ଟର / ଦାସ ପ୍ରଣାଳୀ |
Match,ମ୍ୟାଚ୍
Matching,ମେଳ ଖାଉଛି
mathematical programming,ଗାଣିତିକ ପ୍ରୋଗ୍ରାମିଂ
mathematical simulation,ଗାଣିତିକ ଅନୁକରଣ
Matrix,ମାଟ୍ରିକ୍ସ
matrix printer,ମ୍ୟାଟ୍ରିକ୍ସ ପ୍ରିଣ୍ଟର୍ |
matrix switch,ମ୍ୟାଟ୍ରିକ୍ସ ସୁଇଚ୍ |
matrix table,ମ୍ୟାଟ୍ରିକ୍ସ ଟେବୁଲ୍ |
maxi computer,ମ୍ୟାକ୍ସି କମ୍ପ୍ୟୁଟର |
Maxicomputer,ମ୍ୟାକ୍ସିକ୍ କମ୍ପ୍ୟୁଟର |
maximal element,ସର୍ବାଧିକ ଉପାଦାନ |
maxterm (standard sum term),maxterm (ମାନକ ରାଶି ଶବ୍ଦ)
maxwell daemon,ମ୍ୟାକ୍ସୱେଲ ଡେମନ୍ |
Mean,ଅର୍ଥ
mean repair time,ଅର୍ଥ ମରାମତି ସମୟ |
mean time between failure (MTBF),ବିଫଳତା ମଧ୍ୟରେ ସମୟ (MTBF)
mean time between failure (MTBF),ବିଫଳତା ମଧ୍ୟରେ ସମୟ (MTBF)
mean time to failure,ବିଫଳତାର ସମୟ |
mean time to repair,ମରାମତି ପାଇଁ ସମୟ |
mean time to repair (MTTR),ମରାମତି ପାଇଁ ସମୟ (MTTR)
medium scale integration (MSI),ମଧ୍ୟମ ମାପ ଏକୀକରଣ (MSI)
medium scale integration (MSI),ମଧ୍ୟମ ମାପ ଏକୀକରଣ (MSI)
medium term storage device,ମଧ୍ୟମ ଅବଧି ସଂରକ୍ଷଣ ଉପକରଣ |
megabit per second (MB Ps),ପ୍ରତି ସେକେଣ୍ଡରେ ମେଗାବିଟ୍ (MB Ps)
member object,ସଦସ୍ୟ ବସ୍ତୁ |
member record,ସଦସ୍ୟ ରେକର୍ଡ |
Memory,ସ୍ମୃତି
memory array,ମେମୋରୀ ଆରେ
memory bank,ମେମୋରୀ ବ୍ୟାଙ୍କ
memory buffer register,ମେମୋରୀ ବଫର୍ ରେଜିଷ୍ଟର |
memory bus,ମେମୋରୀ ବସ୍
memory card,ମେମୋରୀ କାର୍ଡ
memory cell,ମେମୋରୀ ସେଲ୍
memory compaction,ସ୍ମୃତି ସଙ୍କୋଚନ
memory core,ମେମୋରୀ କୋର୍
memory cycle,ସ୍ମୃତି ଚକ୍ର
memory data register,ମେମୋରୀ ଡାଟା ରେଜିଷ୍ଟର |
memory dump,ମେମୋରୀ ଡମ୍ପ
memory exchange,ସ୍ମୃତି ବିନିମୟ
memory hierarchy,ସ୍ମୃତି କ୍ରମ
memory instruction,ସ୍ମୃତି ନିର୍ଦ୍ଦେଶ
memory management,ସ୍ମୃତି ପରିଚାଳନା
memory map,ସ୍ମୃତି ମାନଚିତ୍ର
memory mapped I/O,ମେମୋରୀ ମ୍ୟାପ୍ I / O
memory model,ମେମୋରୀ ମଡେଲ୍ |
memory module,ମେମୋରୀ ମଡ୍ୟୁଲ୍
memory pointer register,ମେମୋରୀ ପଏଣ୍ଟର୍ ରେଜିଷ୍ଟର |
memory power,ସ୍ମୃତି ଶକ୍ତି
memory protection,ସ୍ମୃତି ସୁରକ୍ଷା
memory reference instruction,ମେମୋରୀ ରେଫରେନ୍ସ ନିର୍ଦ୍ଦେଶ
memory resident program,ସ୍ମୃତି ବାସିନ୍ଦା କାର୍ଯ୍ୟକ୍ରମ |
memory unit,ମେମୋରୀ ୟୁନିଟ୍
Menu,ମେନୁ
menu bar,ମେନୁ ବାର୍ |
menu drive,ମେନୁ ଡ୍ରାଇଭ୍ |
menu selection,ମେନୁ ଚୟନ
menu-driven program,ମେନୁ-ଚାଳିତ ପ୍ରୋଗ୍ରାମ୍ |
Merge,ମିଶ୍ରଣ କରନ୍ତୁ |
merge exchange sort,ବିନିମୟ ସର୍ଟ ମିଶ୍ରଣ କରନ୍ତୁ |
merge sort,ମିଶ୍ରଣ ସର୍ଟ
Merging,ମିଶ୍ରଣ
mesh network,ଜାଲ ନେଟୱାର୍କ
Messagaing,ମେସେଜିଂ
Message,ବାର୍ତ୍ତା |
message authentication,ବାର୍ତ୍ତା ପ୍ରାମାଣିକିକରଣ |
message box,ବାର୍ତ୍ତା ବାକ୍ସ
message circuit,ବାର୍ତ୍ତା ସର୍କିଟ |
message format,ବାର୍ତ୍ତା ଫର୍ମାଟ୍ |
message header,ବାର୍ତ୍ତା ହେଡର୍ |
message mode,ବାର୍ତ୍ତା ମୋଡ୍
message passing,ବାର୍ତ୍ତା ପାସ୍ କରୁଛି |
message polling,ବାର୍ତ୍ତା ମତଦାନ
message queue,ବାର୍ତ୍ତା କ୍ରମ |
message switch,ମେସେଜ୍ ସୁଇଚ୍ |
message text,ବାର୍ତ୍ତା ପାଠ
message transfer agent,ବାର୍ତ୍ତା ସ୍ଥାନାନ୍ତର ଏଜେଣ୍ଟ |
meta assembler,ମେଟା ଆସେମ୍ବଲର୍ |
meta class,ମେଟା କ୍ଲାସ୍ |
meta compilation,ମେଟା ସଂକଳନ
meta compiler,ମେଟା କମ୍ପାଇଲର୍
meta language,ମେଟା ଭାଷା |
meta network,ମେଟା ନେଟୱାର୍କ |
meta system,ମେଟା ସିଷ୍ଟମ୍ |
Method,ପଦ୍ଧତି
metropolitan area network (MAN),ମହାନଗର କ୍ଷେତ୍ର ନେଟୱାର୍କ (MAN)
Micro,ମାଇକ୍ରୋ |
micro code,ମାଇକ୍ରୋ କୋଡ୍
micro computer,ମାଇକ୍ରୋ କମ୍ପ୍ୟୁଟର |
micro controller,ମାଇକ୍ରୋ ନିୟନ୍ତ୍ରକ |
micro cycle,ମାଇକ୍ରୋ ଚକ୍ର |
micro electronic mechanical system (MEMS),ମାଇକ୍ରୋ ଇଲେକ୍ଟ୍ରୋନିକ୍ ମେକାନିକାଲ୍ ସିଷ୍ଟମ୍ (MEMS)
micro electronics,ମାଇକ୍ରୋ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
micro miniauthorization,ମାଇକ୍ରୋ ମିନିଅଥାଇଜେସନ୍ |
micro order,ମାଇକ୍ରୋ କ୍ରମ |
micro/mainframe link,ମାଇକ୍ରୋ / ମେନ୍ ଫ୍ରେମ୍ ଲିଙ୍କ୍ |
Microchip,ମାଇକ୍ରୋଚିପ୍ |
Microcobol,ମାଇକ୍ରୋକୋବଲ୍ |
Microcode,ମାଇକ୍ରୋକୋଡ୍ |
Microfiche,ମାଇକ୍ରୋଫିଚ୍ |
Microfloppy,ମାଇକ୍ରୋଫ୍ଲପି |
microform reader,ମାଇକ୍ରୋଫର୍ମ ପାଠକ |
Microframe,ମାଇକ୍ରୋଫ୍ରେମ୍ |
Micrographics,ମାଇକ୍ରୋଗ୍ରାଫିକ୍ |
Microphone,ମାଇକ୍ରୋଫୋନ୍ |
Microphotograph,ମାଇକ୍ରୋଫୋଟୋଗ୍ରାଫ୍ |
microprocessing unit,ମାଇକ୍ରୋପ୍ରୋସେସିଂ ୟୁନିଟ୍ |
Microprocessor,ମାଇକ୍ରୋପ୍ରୋସେସର୍ |
microprocessor chip,ମାଇକ୍ରୋପ୍ରୋସେସର୍ ଚିପ୍ |
microprocessor compiler,ମାଇକ୍ରୋପ୍ରୋସେସର୍ କମ୍ପାଇଲର୍ |
microprocessor unit (MPU),ମାଇକ୍ରୋପ୍ରୋସେସର ୟୁନିଟ୍ (MPU)
Microprogram,ମାଇକ୍ରୋପ୍ରୋଗ୍ରାମ୍ |
Microsequence,ମାଇକ୍ରୋସେକେନ୍ସ |
Microsoft,ମାଇକ୍ରୋସଫ୍ଟ |
microsoft windows,ମାଇକ୍ରୋସଫ୍ଟ ୱିଣ୍ଡୋ |
Microwave,ମାଇକ୍ରୋୱେଭ୍ |
microwave link,ମାଇକ୍ରୋୱେଭ୍ ଲିଙ୍କ୍ |
microwave propagation,ମାଇକ୍ରୋୱେଭ୍ ବିସ୍ତାର |
middle management,ମଧ୍ୟମ ପରିଚାଳନା
Middleware,ମିଡିଲୱେର୍ |
Midicomputer,ମିଡିକମ୍ପୁଟର |
Midpoint,ମିଡପଏଣ୍ଟ |
Midterm,ମଧ୍ୟବର୍ତ୍ତୀ
migration path,ସ୍ଥାନାନ୍ତରଣ ପଥ
million instructions per second (MIPS),ପ୍ରତି ସେକେଣ୍ଡରେ ମିଲିୟନ୍ ନିର୍ଦ୍ଦେଶ (MIPS)
minicomputer,minicomputer
Minidiskette,ମିନିଡିସ୍କେଟ୍ |
minimal kernel,ସର୍ବନିମ୍ନ କର୍ଣ୍ଣଲ |
minimal product,ସର୍ବନିମ୍ନ ଉତ୍ପାଦ |
minimal tree,ସର୍ବନିମ୍ନ ଗଛ |
minimax (min-max) algorithm,ମିନିମାକ୍ସ (ମିନି-ସର୍ବାଧିକ) ଆଲଗୋରିଦମ |
minimax procedure,ମିନିମାକ୍ସ ପ୍ରଣାଳୀ |
minimum cost spanning tree,ସର୍ବନିମ୍ନ ମୂଲ୍ୟ ବିସ୍ତାର ବୃକ୍ଷ |
minimum latency coding,ସର୍ବନିମ୍ନ ବିଳମ୍ବ କୋଡିଂ |
minor device,ଛୋଟ ଉପକରଣ
Minterim,ମିନିଟରମ୍ |
minus flag,ମାଇନସ୍ ପତାକା |
minus flag,ମାଇନସ୍ ପତାକା |
minus zone,ମାଇନସ୍ ଜୋନ୍ |
mirror,ଦର୍ପଣ |
mirror site,ଦର୍ପଣ ସାଇଟ୍ |
mixed-radix notation,ମିଶ୍ରିତ-ରେଡିକ୍ସ ନୋଟେସନ୍ |
Mixer,ମିକ୍ସର୍ |
Mnemonic,ମେନେମୋନିକ୍ |
mnemonic address,ସ୍ମୃତି ଠିକଣା
Mnemonics,ମେନେମୋନିକ୍ସ |
Mobile,ମୋବାଇଲ୍ |
mobile computing,ମୋବାଇଲ୍ ଗଣନା
Model,ମଡେଲ୍ |
modeless editor,ମୋଡଲେସ୍ ଏଡିଟର୍ |
Modelling,ମଡେଲିଂ
Modem,ମୋଡେମ୍
Moderate,ମଧ୍ୟମ
Moderation,ମଧ୍ୟମତା
Moderator,ମୋଡରେଟର୍
modified instruction,ପରିବର୍ତ୍ତିତ ନିର୍ଦ୍ଦେଶ
Modifier,ପରିବର୍ତ୍ତନକାରୀ
modifier bit,ପରିବର୍ତ୍ତକ ବିଟ୍
Modify,ପରିବର୍ତ୍ତନ କରନ୍ତୁ |
Modular,ମଡ୍ୟୁଲାର୍ |
Modularity,ମଡ୍ୟୁଲେରିଟି
Modulation,ମଡ୍ୟୁଲେସନ୍
Module,ମଡ୍ୟୁଲ୍
module architecture,ମଡ୍ୟୁଲ୍ ସ୍ଥାପତ୍ୟ
Monitor,ମନିଟର
monitoring program,ମନିଟରିଂ ପ୍ରୋଗ୍ରାମ୍ |
monocrome display,ମୋନୋକ୍ରୋମ୍ ପ୍ରଦର୍ଶନ |
monolithic integrated circuit,ମୋନୋଲିଥିକ୍ ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ସର୍କିଟ୍ |
monolithic technology,ମୋନୋଲିଥିକ୍ ଟେକ୍ନୋଲୋଜି |
monospace font,ମୋନୋସ୍ପେସ୍ ଫଣ୍ଟ |
Monostable,ମୋନୋଷ୍ଟେବଲ୍ |
Monotoricity,ଏକାଗ୍ରତା |
Morph,ମର୍ଫ୍ |
Morpheme,ମର୍ଫେମ୍ |
Morphism,ମର୍ଫିଜିମ୍ |
Mortgage,ବନ୍ଧକ
mosfet (MOSFET),ମସଫେଟ୍ (MOSFET)
