ab initio,"आरंभत, प्रारंभापासून"
tact,1. चातुर्य 2. हातोटी 3.युक्ती
tactful,1. चतुर 2.युक्तीबाज
tactic,1. डावपेचाचा 2. चातुर्ययुक्‍त
tag,1. बंध2. खूणचिट्ठी
take home pay,हातातील पगार
take over,"कार्यभार घेणे, कार्यभार साभाळने"
talent search,गुणज्ञशोध
talented,"प्रज्ञावंत, गुणी"
tally,"मेळ बसवणे, मेळ बसणे"
tally card,पडताळ कार्ड
tampering,"घालमेल, लुडबूड, बिघाड, अनाधिकृत फिरवाफिरव करणे"
tangible,"मूर्त, स्‍पष्‍ट"
tangible asset,मूर्त सम्पत्ती
tape,1. फीत 2. नाडी 3. नवार
tapping,"संसांधनाचा उपयोग करणे, फोन टेप करने"
tardiness,"आळस, शिथिलता, सुस्ती"
target,"लक्ष्य, ध्यैय"
target date,लक्ष्य दिनांक
tariff,प्रशुल्क
tarnish,"बट्टा लावणे, बिटणे"
task,"नेमून दिलेल काम, नियुक्‍त-कार्य"
task force,"नियुक्‍त कार्य बल, कृति दल"
tax,"कर बसवणे, ताण देणे, कर आकारणे"
tax abatement,कर कपात
tax adjustment,कर समायोजन
tax assessment,कराचे निर्धारण
tax avoidance (tax loophole),करटाळणे
tax consultant,कर सल्लागार
tax declaration,"कर घोषणा, कर जाहीर करणे"
tax deducted at source,"मिळकती वर वजाकेलेला कर, उत्पन्न वजावट कर"
tax deduction,करवजावट
tax evasion,कर चुकणे
tax exemption,कर माफी
tax free,करमुक्‍त
tax payer,करदाता
tax rebate,"कर सुट, कर सवलत"
tax return,कर विवरण
tax schedule,"कर अनुसूची, कर परिशिष्‍ट"
taxable,"कर योग्य, कर लावण्या जोगा"
taxable income,"करयोग्य उत्पन्न, करयोग्य मिळकत"
taxation,"कराधान, कर व्यवस्था"
team spirit,"संघभाव, सांधिक कृति"
team work,"सांधिक कार्य, सांधिक कृति"
tear gas,अश्रुधूर
technical,"तांत्रिक, तंत्र"
technical advice,तांत्रिक सल्ला
technical college,तांत्रिक महाविद्यालय
technical data,तांत्रिक आकडेवारी
technical post,तांत्रिक पद
technical qualification,तांत्रिक अर्हता
technical skill,तांत्रिक कौशल्य
technical term,"पारिभाषिक शब्द, पारिभाषिक शब्द, तांत्रिक शब्द"
technical training,"तांत्रिक प्रशिक्षण, तंत्र प्रशिक्षण"
technician,तंत्रज्ञ
technique,तंत्र
technocracy,तंत्र सत्ता
technocrat,तंत्र सत्ताधिष्‍‍टा
technological,"तंत्रविद्याविषयक, तंत्र-शास्त्रविषयक"
technologist,तंत्र विध्याशास्त्री
technology,"तंत्र शास्त्र, तंत्र विद्या"
telebanking,दूरस्थ बँकिंग
telegram,तार
telegraphic address,"तारेचा पत्ता, तार पत्ता"
telegraphy,"तारविद्या, तार संप्रेषण"
teleprinter message,"दूर संदेशवाहक, तार संदेश"
television,दूरचित्रवाणी
teleworking,दूरस्थ कार्य
telex,"टेलिप्रिन्टर द्वारे संदेश वहन, टेलेक्स"
teller,1. गणक 2. सांगणारा
temper,"1. सौम्य करणे 2. पाणी देणे 3. पाणी चढवणे, स्वभाव"
temperament,"प्रवृत्ति, पिंड, स्वभावुवैचित्र्य, विचित्र स्वभाव"
temperamental,"रागीट, क्रोधीस्वभावाचा"
temperature,"तापमान, ताप"
tempo,"घटना, कार्य वगैरे यांचावेग, जोश, वेगमानता, वेग"
temporary,"तात्पुरता, अस्थायी"
temporary advance,"तात्पुरती उचल, अस्थायी अगाऊ उचल"
temporary appointment,अस्थायीनियुक्ती
temporary disability,अस्थायी प्रतिबंध
temporary post,अस्थायी पद
temporary restriction,अस्थायी प्रतिबंध
temporary vacancy,अस्थायी रिक्‍त पद
temptation,मोह
tenable,"समर्थनीय, टिकण्यासारखा"
tenacity,"आग्रहीपणा, चिवटपणा"
tenancy,"कुळवहिवाट, भाडेदारी, कुळवहिवाटीची मुदत"
tenant,"भाडेकरी, किसान, कूळ"
tendency,"प्रवृत्ति, कल"
tender,निविदा
tender box,निविदा पेटी
tender notice,निविदा सूचना
tenderer,"निविदाकार, दोणारा"
tentative,"तात्पुरता, संभावित"
tenure,"पदावधि, कार्यकाळ"
tenure of land,जमिन धारण अवधि
tenure of office,पदावधि
tenure of post,अवधिपद
tenure of work,कार्यावधि
tenure post,सावाधिपद
term,"कार्यकाळ, सत्र"
term loan,मुदत कर्झ
term of office,पदावधि
terminable,"समाप्‍तियोग्य, मुदती"
terminal (report etc.),"सीमा, सत्रभागांत, अंतिम"
terminal tax,सीमा कर
termination,समाप्‍त करणे
termination clause,समाप्तीखंड
termination notice,समाप्तीसूचना
termination of service,सेवासमाप्ती
terminology,"परिभाषा, शब्दावली"
terms,नियम
terms and conditions,"नियम व अटी, अटी आणि शर्ती"
terms of delivery,वितरण नियम
terms of reference,"विचारणीय मुद्‍दे, विचारार्थ विषय"
terms of service,सेवेच्या अटी
territory,"1. राज्यक्षेत्र 2. प्रदेश, प्रादेशिक"
terror,दहशत
terrorism,दहशतवाद
terrorist,दहशतवादी
tertiary benefit,तृतीयावस्था लाभ
test,1. पारख करणे 2. कस लावून पाहणे 3. चाचणी घेणे
test charge,चाचणी खर्च
test check,चाचणीदाखल तपासणी
testament,"मृत्यूपत्र, अंत्य-लेख"
tester,"निरिक्षक, पारखी"
testify,1. साक्ष देणे 2. प्रमाणित करणे 3. वरून दिसून येणे
testimonial,"प्रशंसापत्र, दाखला"
testimony,"पुरावा, साक्ष"
testing report,"तपासणी अहवाल, पडताळणी अहवाल"
text,पाठ
thankful,"आभारी, कृतज्ञ"
theme,विषय
therapy,उपचारपद्धती
third party,"त्रयस्थ पक्ष, तृतीय पक्ष, अन्य पक्ष"
thoroughly,"परिपूर्णपणे, सांगोंपागपणे, विस्तारपूर्वक"
thoughtful,"विचारपूर्ण, चिंतनशील, समंजस"
threat,धमकी
thrift,काटकसर
through,"मार्फत, च्या द्वारे"
throw out,फेकणे
thumb impression,"अंगठा निशान, अंगठयाचा ठसा"
thumping majority,प्रचंड बहुमत
ticket,"तिकिट, प्रवेशपत्र"
tie,"1. बांधणे, बांधून ठेवणे 2. बंधन घालणे"
tied loan,"बांधील ऋणः, कर्ज"
tier,स्तर
tilt,"कलंडणे, झुकणे"
time,"काळ, वेळ"
time allowed,"मंजुर वेळ, स्वीकृत वेळ"
time barred,मुदतीबाहेर गेलेला
time bound,"वेळेवर, काल मर्यादा, काल-बंधन"
time card,वेळ कार्ड
time deposit (=fixed deposit),मुदती ठेव
time keeping,"वेळ पाळणे, काल परिरक्षा"
time limit,काल मर्यादा
time off,अल्पावधि
time overrun,वेळेचे उल्लंघन
time rate (time work),कालानुरूपमूल्य
time recording machine,काल मापक यंत्र
time scale,समयश्रेणी
time schedule,वेळापत्रक
time stamp,"वेळशिक्का, वेळेचा ठसा"
time study equipment,कालाध्यन साधन
time table,"वेळापत्रक, समय-सारणी"
timed programme,नियोजित कार्यक्रम
timing,"वेळ, वेळ निर्धारण"
tips,"1. कळते करणे, गुप्‍त सूचना, आगाऊ, संकेत"
title,1. पदवी 2. हक्क 3. शीर्षक
title holder,हक्क धारक
toilet,"प्रसाधन, प्रसाधनकक्ष, शौचालय, प्रसाधन गृह"
token,1. चिन्ह 2. प्रतीक 3. निशाणी
token member,प्रतिनिधिक सदस्य
token pay,लाक्षणिक वेतन
token strike,"लाक्षणिक संप, संकेतात्मक संप"
tone,1. स्वर 2. प्रवृत्ति 3. रंगमेळ
tone down,"हलका करणे, नरम पडणे, उतरणे"
tone up,शक्‍ती वाढवणे
tool,1. हत्यार 2. साधन
tool down strike,कामकाज बंद संप
top,1. टोक 2. माथा 3. भोवरा
top level decision,उच्च स्तरीय निर्णय
top management,उच्चव्यवस्थापन
top official,"उच्च अधिकारी, वरिष्‍ठ अधिकारी"
top priority,प्रथम प्राधान्य
top ranking,वरचा क्रमांक
top secret,"अत्यंत गुप्‍त गोष्‍ट, अत्यंत गुप्‍त बाब"
topic,विषय
topmost,सर्वोच्च
topography,1. प्रदेशवर्णन 2. प्रदेश-ज्ञान 3. प्रदेशवर्णनशास्त्र
torture,छळ करणे
total,एकूण
total service,"एकूण सेवा, पूर्ण सेवा"
tough,"अवघड काम, कठोर"
tour,"1. दौरा, फिरती 2. पर्यटन, यात्रा"
tour programme,"दौरा कार्यक्रम, फिरतीचा कार्यक्रम"
tour report,"पर्यटन प्रतिवेदन, पर्यटन अहवाल, यात्रावृत्तांत"
tout,"दलाल, मध्यस्थी"
town (city),"नगर, शहर"
township,"वसाहत, वस्ती"
trace,"1. गिरवणे 2. शोधून काढणे 3. माग काढणे, मागमूस"
tract,1. भूभाग 2. लघुप्रबंध
traction,"ओढ़णे, खेचणे"
trade agreement,व्यवसाय करार
trade union,"श्रमिकसंघ, कामगार संघ"
tradition,परंपरा
train,"प्रशिक्षण देणे, शिकवून तरबेज करणे, रेल्वे गाड़ी"
trainee,"प्रशिक्षार्थी, शिकाऊ उमेदवार"
traineeship,"प्रशिक्षण जहाज, शिकाऊ उमेदवारी भत्ता"
trainer,प्रशिक्षक
training,प्रशिक्षण
training centre,प्रशिक्षण केंद्र
training college,प्रशिक्षण महाविद्यालय
training division,प्रशिक्षण विभाग
training institute,प्रशिक्षण संस्था
training period,प्रशिक्षण कालावधी
training programme,प्रशिक्षण कार्यक्रम
training unit,प्रशिक्षण घटक
trait,"विशेष लक्षण, विशेष गुण"
traitor,"देशद्रोही, द्रोही, विश्‍वासघातकी"
tranquility,प्रशांतता
transaction,1. व्यवहार 2. कार-भार 3. देवघेव
transaction of business,"व्यवसायाचीदेवघेव, व्यवसाय संचालन"
transcription,"प्रतिलेखन, लिप्यांकन"
transfer,1. स्थानांतरण 2. हस्तांतरण 3. लेखांतरण
transfer entry,हस्तांतरण प्रविष्टि
transfer fee,हस्तांतरण शुल्क(फी)
transfer memorandum,हस्तांतरण निवेदन
transfer on deputation,प्रतिनियुक्ति वर स्थानांतरण
transfer order,"स्थानांतरण आदेश, बदली आदेश"
transferable goods,"स्थानांतरणीय वस्तू, वहन योग्य वस्तू"
transformation,रूपांतर
transit,"वाटचाल, प्रवास, पारगमन, संक्रमण"
transit duty,"संक्रमण शुल्क, दळणवळण शुल्क"
transit pass,"संक्रमण पास, दळण-वळणप्रवेश पत्र"
transit visa,दळण-वळण पार पत्र
transit workshop,स्थानांतरण कार्यशाळा
transitional,"संक्रमणकालीन, संक्रमणा-त्मक"
translation,1. अनुवाद 2. भाषांतर
transliteration,लिप्यंतरण
transmission,1. पारेषण 2. पाठवणे
transmit,"प्रेषित करणे, प्रेषण, पारेषण (टपाल)"
transport,"परिवहन, वाहतूक"
transport allowance,परिवहन भत्ता
transportation,परिवहन
transposition,"स्थानांतर करणे, स्थानांची अदलाबदल"
trap,"सापळा, डाव"
travel,प्रवास करणे
travel expenses,प्रवासखर्च
traveller’s cheque,प्रवासी धनादेश
travelling allowance,प्रवास भत्ता
travelling allowance bill,प्रवास भत्ताबील
travelling concession,प्रवास सवलत
treachery,विश्‍वासघात
treason,राष्‍ट्रदोह
treasury,"कोषागार, राजकोष"
treasury bench,मंत्रीवर्ग
treasury deposit recipt(T.D.R.),कोषागारठेव पावती
treasury receipt,कोषागार पावती
treasury voucher,कोषगार-वाउचर
treat,1. वागवणे 2. उपचार करणे 3. परामर्श घेणे
treaty,"तह, संधि"
treaty of extradition,"प्रत्यार्पण संधि, करार"
trek,दूर्गम प्रवास मार्ग
trend,1. प्रवाह 2. ओढ़ा
trespass,अपप्रवेश करणे
trial,"1. अन्वीक्षा, प्रयोग 2. न्याय चौकशी, विचारपूस"
trial balance,जमा शिल्लक पडताळणी
trial period,परिक्षण कालावधि
tribal area development,अनुसूचीत जमाती/जन-जाती विकास क्षेत्र
tribal welfare,अनुसूचीत जमाती कल्याण
tribe,अनुसूचीत जमात
tribunal,न्यायाधिकरण
tribute,"खंडणी, आदरांजली, श्रद्धांजली"
trim,"नीटनेटके करणे, सुबक कापणे"
trip,"सहल, फेरी"
tripartite,"त्रिदल, त्रिपक्षीय"
triple,"तिहेरी, तिप्‍पट"
triplicate,तीन प्रतीत
true copy,"सत्य प्रत, खरी प्रत"
trunk call,"नगरांतर भाष, नगरांतर दूरध्वनि, ट्रंक कॉल"
trust,1. विश्‍वास 2. न्यास 3. विश्‍वस्त मंडळ
trustee,विश्‍वस्त
trustworthy,विश्‍वासनीय
turn down,"अस्वीकार, अमान्य"
turnkey basis,मूळाधार
turnout,उत्पादन
turnover,उलाढाल
turpitude,"अधोगती, नीच-पणा"
tutelage,"पालकत्व, पाल्य-दशा"
twin city,जुळेशहर
twin sharing basis,द्विविभाजन आधार
type,"1. मुद्र 2. टंक 3. नमुना, टंकन, प्रारूप"
typescript,टंकित प्रत
typewriter,टंकलेखन यंत्र
typewriting,"टंकलेखन, टंकन करणे"
typical,"1. नमुनेदार 2. प्रातिनिधिक, विशिष्‍ट्जातिसूचक"
typing,टंकलेखन
typing machine,"टंकन यंत्र, टंकलेखन मशीन"
typing pool,टंकन पूल
typographical error,मुद्रण चुक
ulterior motive,गोपनीय शेरा
ultimate,"अंतिम, शेवटचा"
ultimate consignee,अंतिम प्राप्‍तकर्ता
ultimate cost,शेवटची लागत
ultimate goal,अंतिम ध्येय
ultimately,"अंतिमतः, अंतिमरीत्या, अखेरीस"
ultimately objective,"अंतिम उद्‍देश्य, अखेरचे ध्येय"
ultimatum,"निर्वाणीचा शब्द, निर्वाणीचा खलिता, अंतिम चेतावणी"
ultimo,"गेल्या-महिन्यातील, मागील महिन्यातील"
ultravires,"शक्‍तिबाह्म, शक्‍तिबाहेर, अधिकाराबाहेर"
umpire,पंच
unacceptable,अस्वीकार्य
unaccompanied baggage,विखुरलेले सामान
unaided,"साह्‌यन दिलेला, असहाय्यित, साह्‌य न मिळालेला, अप्राप्‍तानु-दान, मदतविहीन"
unambiguous,असंदिग्ध
unanimity,"सर्वसंमति, एकमत, मतैक्य"
unanimous,"सर्वसंमत, एकमताचा"
unanimous decision,"सर्वानुमतेनिर्णय, सर्वसंमत निर्णय"
unassuming,विनम्र
unattached,अलिप्‍त
unauthorized,"अनधिकृत, प्राधिकृत नसेलेला"
unavoidable,"अटळ, अपरिहार्य"
unavoidable circumstances,अपरिहार्य परिस्थिति
unavoidable delay,अपरिहार्य विलंब
unbecoming,"न शोभणारा, अशोभनीय"
uncashed,अवटीत
uncertain,अनिश्‍चित
unclaimed,"अस्वामिक, न मागितलेला"
unclaimed baggage,"बेवारस सामान, वस्तु, अदायिक वस्तू"
unclassified,अवर्गीकृत
uncommitted,"स्वतंत्र, अप्रतिबंधित"
uncommon,"असामान्य, विरळा"
uncompromising,1. बिनतडजोडीचा
unconditional,विनाशर्त
unconfirmed,"पुष्‍टी न दिलेला, कायम नसलेला"
unconfirmed report,अस्पष्‍ट अहवाल
unconstitutional,"बेसनदशीर, असंवैधानिक"
uncontested,बिन विरोध
uncontrolled,अनियंत्रित
uncorroborated,"अपरिपुष्‍ट, विशुद्ध, अनिर्णीत"
uncovered demand,अपूर्ण मागणी
undated,अदिनांकित
undelivered letter,अवितरित पत्र
under,"खाली, अनुसार"
under assessment,"अल्पनिर्धारण, निर्धारणाधीन, निर्धारणाधीन"
under billing,कमी रकमेचे बिल बनवणे
under certificate of posting,"टपाल दाखला घेवुन, टपाल प्रमाणीत"
under consideration,विचाराधीन
under employed,अप-नियोजित
under employment,नियोजनाधीत
under examination,परीक्षाधीन
under invoicing,बीजकाधीन
under reference,संदर्भाधीन
under-age,"अल्पवय, अहपायु"
under-estimate,"अवप्राक्कलन करणे, कमी लेखणे, कमी किंमतधरणे"
under-hand dealing,गोपनीय सौदा
under-manned,"क्रमाधीन, संख्याधीन"
under-paid,"अल्प पगार प्राप्‍ती, अल्प वेतन धारक"
under-population,कमी लोकसंख्या
under-production,"न्यूनउत्पादन, अल्प-उत्पादन"
under-utilization,अल्प-उपयोग
under-valuation,"अल्प-मूल्य, कमी किंमत"
underconsumption,"अल्प-उपभोग, अल्प-खपत"
underdeveloped,"अल्प-विकसित, अविकसित, न्यूनविकसीत"
undergraduate,"उपस्नातक, पदवी पूर्व, स्नातक पूर्व"
underground,1. भूमिगत 2.भूयारी
underlined,अधोरेखीत
undersigned,"खाली सही करणारा, अधोहस्ताक्षरीत"
understanding,1. जाणीव 2. आकलनशक्‍ति 3. सलोखा
undertake,1. हाती घेणे 2. जबाबदारी 3. वचन देणे
undertaking,1. उपक्रम 2. वचन
undertrial,"अन्वीक्षाधीन, न्याय-चौकशीअधीन, विचाराधीन"
undesirable,अक्षेपार्ह
undignified,"अप्रशस्त, अशोभनीय, अभद्र"
undisbursed loan,अवितरित कर्ज
undisputed,निर्विवाद
undivided,"अविभक्‍त, अविभाजित"
undoubtedly,"निरपवादपणे, निःसंशयपणे"
undue,"गैरवाजवी, अनुचित"
undue delay,"गैरवाजवी विलंब, गैरवाजवी उशीर"
undue influence,गैरवाजवी दडपण
unearned income,"न कमवलेले उत्पन्न, अकमाऊ"
unearth,"प्रकाशात आणणे, उकरून काढणे"
uneconomical,अलाभकारी
unemployment,"बेकारी, बेरोजगारी"
uneven land,असमान भूमि
unexpected delay,अनपेक्षित विलंब
unexpired,"1. उरलेला 2. अभुक्‍त, असमाप्‍त"
unfair,"अनुचित, गैर"
unfair dismissal,अनुचित बरखास्ती
unfair labour practices,गैर श्रम व्यवहार
unfair means,"अनुचित मार्ग, गैर मार्ग"
unfavourable,प्रतिकूल
unfit,अयोग्य
unfit for promotion,बढ़तीस अयोग्य
unforeseen,"अनपेक्षित, अकल्पित, पूर्वी कल्पना नसलेला, अदृश्य"
unforeseen charges,अकल्पित भार
unforeseen circumstances,अकल्पित परिस्थिती
unicameral,"एक सदनी, एकगृहीय"
unicameral legislature,एकगृही विधानमंडळ
unification,एकीकरण
unified scale,एकत्र वेतनमान
uniform,गणवेष
uniform increase,एकत्र वाढ
uniformity,एकरूपता
unilateral,"एकपक्षीय, एकतर्फी"
unilateral action,एकपक्षीय कार्यवाही एकतर्फीकार्यवाही
uninterrupted power supply,अखंड विजपूरवठा
uninterrupted service,अखंडीतसेवा
union,"1. संघ 2. एकजूट, संघटना"
union list,संघटना यादी
union territory,संघ प्रादेशिक राज्य
unionism,संघटनावाद
unique,"अनन्य, असाधारण, एकमात्र"
unit,1. पथक 2. घटक 3. एकक
unitary,"एकीय, एक"
united,संयुक्‍त
unity,"एकता, एकी, ऐक्य"
universal,"1. सार्वधिक, वैश्‍विक 2. सर्व-योग्य"
unjust,"अन्याय्‍य, अन्यायी"
unlawful,"1. विधिबाहय, बेकायदेशीर 2. अनैसर्गिक"
unlawful purpose,बेकायदेशीर हेतु
unlimited,"अमर्याद, अमर्यादित"
unlimited power,अमर्यदितशक्ती
unlisted,अ- अनुसूचित
unloading,उतरवणे
unmarried,अविवाहित
unnatural,अनैसर्गिक
unnatural death,अनैसर्गिक मृत्यु
unnecessary,अनावश्‍यक
unofficial,"1. अनौपचारिक 2. अनधिकृत, गैर-शासकीय"
unofficial letter,"अनौपचारिक पत्र, अशासकीय पत्र, गैर शासकीय पत्र"
unofficial note,"गैर शासकीय टिप्‍पणी, अशासकीय टिप्‍पणी"
unofficial strike,"अवैधानिक संप, बेकायदेशीर संप"
unopposed,"अविरोध, निर्विरोध"
unpaid wages,न मिळालेलीमजुरी
unparliamentary,लोकसभे बाहेरील
unpopular,"लोकांना अप्रिय, लोकांमध्ये अप्रिय"
unprecedented,अभूतपूर्व
unpredictable,"अकल्‍पित कथन, अंदाज न लागणे"
unproductive,अनुत्पादक
unproductive labour,अनुत्पादक मजुर
unprofitable,अलाभकारी
unpunctual,उशीर करणारा
unqualified,"अत्या आवश्‍यक अर्हत्ता नामलेला, पात्र नसलेला, अयोग्य"
unqualified apology,"विना शर्त, क्षमायाचना"
unquestionable,"अ-प्रश्‍नीय, निर्विवाद"
unrealizable sum,"बुडीत रक्कम, वापस न मिळणारी रक्कम"
unreasonable,"अयुक्‍तिक, गैरवाजवी"
unrecorded,अलिखित
unregistered document,विना नोंदणी दस्तावेज
unregistered firm,विनानोदणीकृतफर्म
unreserved vacancy,अन-आरक्षीत रिक्‍त पद
unsafe,असुरक्षित
unsatisfactory,असमाधानकारक
unsecured,असुरक्षीत
unsecured loan,असुरक्षीत कर्ज
unserviceable,"न बजावण्यायोग्य, वाढण्यास अयोग्य, अनुपयोगी"
unskilled,अकुशल
unskilled labour,"अकुशल मजुर, अकुशल कामगार"
unsound mind,"विकृत मन, सदोष मन"
unspecified,अवर्गीकृत
unstable,अस्थिर
unstable government,अस्थिर सरकार
unstarred,"अतारांकित, अचिन्हित"
unsuitable,"अयोग्य, गैरसोयीचा"
untenable,"न टिकण्य़ासारखा, असमर्थनीय"
untouchability,अस्पृश्यता
untrained,अप्रशिक्षित
untrustworthy,अविश्‍वसनीय
unused,न वापरलेले
unusual delay,असामान्य विलंब
unutilized grant,"अखर्चीक अनुदान, शिलक अनुदान"
unwarranted,"विनाकारण, अनाधिकृत"
unwilling,अनैच्छुक
unworthy,"अयोग्य, अपात्र"
up to date,"अद्यावत, आधुनिक"
updation,नूतनीकरण
upgrade,श्रेणीवाढ करणे
upgrading,श्रेणीवाढ
upgrading of post,पदाची श्रेणीवाढ
uphold,1. कायम करणे 2. उचलून धरणे
upkeep,1. टापटीप2. निगा 3. वरची
uplift,"उन्नति, उत्क्षेप"
upper,"उच्च, वरचा"
upper age limit,"उच्च आयु सीमा, वरची वयमर्यादा"
uppermost,"सर्वोपरि, सर्वोच्च, सर्वात"
upright,"खरा, योग्य"
upset,"गोंधळ होणे, करणे"
upward communication,ऊर्ध्वगामी सचार
upward trend,ऊर्ध्वगामी वृत्ति
urban,"नगर-नागरी, शहरी"
urbanization,शहरीकरण
urgency,तातडीने
urgent,तातडी
urgent action,"त्वरित कार्यवाही, तातडीचीकार्यवाही"
urgent call,तातडीचा कॉल
urgent slip,तातडीची पावती
usage,परिपाठ
useful,"उपयोगी, फायद्याचा"
user,उपयोगकर्ता
user item,उपभोग्य वस्तू
usual,"सामान्य, नेहमीचा, नित्य"
usurp,लुबाडणे
utility,"उपयोगिता, उपयुक्‍तता"
utilization,"वापर, उपयोजन"
utilization certificate,उपयोगीता प्रमाण पत्र
vacancy,"रिकामी जागा, रिक्‍त पद, रिक्‍तता"
vacant post,रिक्‍त पद
vacate,"सोडणे, रिकामा करणे, विलोपन करणे"
vacation,"मोठी सुटी, लांब सुटी"
vacation pay,"विश्रांती वेतन, सुट्‌टीचे वेतन"
vacuum,"पोकळी, निर्वात जागा"
vague idea,"अस्पष्‍ट कल्पना, संदिग्ध विचार"
valedictory address,निरोपाचे भाषण
valedictory function,समारोप सभारंभ
valedictory session,समारोप सत्र
valid,1. विधिग्राह्‌य2. बळकट 3. सप्रमाण वैध
valid argument,"विधिग्राहय प्रतिवाद, वैधप्रतिवाद"
valid reason,विधिमान्य कारण
validity date,वैधतादिनांक
valuation,"मूल्यन, मूल्यांकन"
valuation certificate,मूल्यांकन प्रमाणपत्र
valuation report,मूल्यांकन अहवाल
value,"मूल्यन करणे, मूल्यांकन करणे"
valuer,किंमत ठरबणारा
variable,"अस्थिर, चल, परिवर्ती"
variance,"विसंवाद, तफावत"
variant,विसंगत
variation,"भिन्नता, तफावत, चलन"
variation in quality,भिन्न गुणवत्ता
variety,"विविधता, प्रकार"
vehicle,वाहन
ventilate,हवा खेळवणे
venture,साहस
venue,1. स्थळ 2. संकेतस्थान
veracity,"सत्यवादित्व, खरेपणा"
verbal,1. शाब्दिक 2.क्रियादर्शक
verbal agreement,"मौखिक करार, अलिखित करार"
verbal discussion,"मौखिक चर्चा, अलिखित करार"
verbal order,"मौखिक आदेश, तोंडी आदेश"
verbal statement,"मौखिक जवाब, मौखिक साक्ष, तोंडी कथन"
verbal warning,"तोंडीताकीद, मौखिक चेतावणी"
verbatim,"शब्दशः प्रतिवृत्त, शब्दशः"
verbatim report,शब्दशःअहवाल
verdict,निर्णय
verification,"सत्यापण, पडताळणी"
verification of antecedents,पूर्वचरित्राची पडताळणी
verification of stores,मालाची पडताळणी
verification sheet,पडताळणी तक्ता/प्रपत्र
verified copy,पडताळलेली प्रत
vernacular,"देशी भाषा, मातृभाषा"
version,1. भाषांतर 2. पाठ 3. सांगणे
versus,"विरूद्ध, च्या विरुद्ध"
vertical communication,ऊर्ध्व संचार
vertical filing system,ऊर्ध्व फाईलपथ्छ
vertical mobility,ऊर्ध्वगतीशीलता
very good,फार चांगला
vessel,"1. पात्र 2. गलबत 3. जलयान, माल वाहक जहाज"
vest,"निहित करणे, निहित असणे, सत्ता देणे, अधिकार दिणे"
vested right,निहित अधिकार
veto,"1. नकाराधिकार 2. नकार, मनाई अधिकार"
vetting,"पुनरिक्षण, पुनः पडताळणी"
vettor,"पडताळणार, तपासणार"
via,"द्वारे, मार्गे"
via media,मीडिया द्वारा
viability,योग्यता
Viable,"1. जीवनक्षम 2. वर्धनक्षम, समर्थ"
vice,उप
vice versa,"उलट, त्याचप्रमाणे, च्या उलट"
vicious circle,दुषचक्र
victimise,"बळी घेणे, बळी देणे"
victimization,बळी घेणे
victory,विजय
video conferencing,दूरदृश्य वार्तालाप
view,"दृश्‍य, दृष्‍टिपथ"
view point,"दृष्‍टिकोन, दृष्‍टिकोण"
views,"विचार, स्वमत"
vigilance,"जागरूकता, दक्षता"
vigilance case,"सतर्कता प्रकरण, दक्षता प्रकरण"
vigilence clearance,दक्षता बेबाकी
vigorous,"उत्साही, जोमदार"
vindictive,प्रविशोधी
violate,"1. उल्लंघन करणे 2. भंग करणे, अतिक्रमण करणे"
violation,"1. भेग 2. भंग, अतिक्रमण"
virtue,1. सदगुण 2. सुकृत 3. पातिव्रत्य
virtuours,1. सदगुणी 2. सत्वशील
vis-a-vis,"समोरासमोर, तुलने ने"
visa,प्रवेशपत्र
visit,"भेट, दौरा"
visiting hours,भेटण्याची वेळी
visitor,"भेटणारा, पाहुणा, अतिथी"
visitor's book,"अभ्यागत पुस्तक, अतिथी नोंदवही"
visitor's gallery,"दर्शकांची रांग, दर्शक रांग"
visual,1. दृक 2. संबंधीचा 3. दृश्य
visual display,दृश्य पटल
visual inspection,प्रत्यक्ष तपासणी
visual publicity,दृश्‍‍य प्रचार
visualize,1. कल्पना करणे 2. कल्पनाचित्र रेखाटणे 3. मनश्‍चक्षूंनी पाहणे
vital,"1. जीवनविषयक 2. प्राणभूत, अतिमहत्त्वपूर्ण"
vital part,महत्वपूर्ण भाग
vital service,अत्यावश्यक सेवा
vital statistics,"जीवनविषयक आकडेवारी, जन्म-मृत्यु आकडे"
vitality,जीवनशक्ती
viva voce,"मौखिक परीक्षा, जोंडी परीक्षा"
vivid,चैतन्यमय. उठावदार
viz.,"अर्थात, म्हणजे"
vocabulary,शब्दसंग्रह
vocal,"1. वाचिक 2. मुखर 3. स्वरयुक्‍त, मौखिक"
vocation,व्यवसाय
vocational,"व्यवसाय, व्यावसायीक"
vocational guidance,व्यवसाय मार्गदर्शन
vocational training,व्यावसाय प्रशिक्षण
voice,"स्वर, प्रयोग, आवाज"
void,"निरर्थक, शून्य"
volume,"ग्रंथ, भाग, खंड"
voluminous,"फार मोठा, विपुल लिहिणारा, विपुल"
voluntary,"स्वंय, राजीखुशीचा, स्वेच्छापूर्वक, स्वयं सेवी"
voluntary agency,"स्वायत्त संस्था, स्वयंभावी संस्था, स्वयमसेवी संस्था"
voluntary settlement,स्वेच्छिक विल्हेवाट
voluntary work,स्वेच्छा कार्य
volunteer,स्वंयसेवक
votable,देयमत
vote,मत
vote of censure,निदां प्रस्ताव
vote of thanks,धन्यवाद
vote on account,लेखानुदान
voted,दत्तमत
voter,मतदार
voting,मतदान
voting by ballot,मतपप्रा द्वारे मतदान
voting right,मतादान अधिकार
vouched,समप्रमाणात
