Marathi,Punjabi
"प्लॉट, क्षेत्र, प्लॉट, प्लॉट","ਪਲਾਟ, ਖੇਤਰ, ਪਲਾਟ, ਪਲਾਟ"
प्लॉट केले,ਸਾਜਿਸ਼ ਕੀਤੀ
ग्राफिकल नियंत्रण,ਗ੍ਰਾਫਿਕਲ ਕੰਟਰੋਲ
प्लॉट केलेले वारंवारता वितरण,ਪਲਾਟ ਕੀਤੀ ਬਾਰੰਬਾਰਤਾ ਵੰਡ
प्लॉट केले,ਸਾਜਿਸ਼ ਕੀਤੀ
मसुदा तयार करणे,ਖਰੜਾ ਤਿਆਰ ਕਰਨਾ
मसुदा चार्ट,ਡਰਾਫਟ ਚਾਰਟ
कथानक,ਸਾਜਿਸ਼ਕਾਰ
मसुदा मध्यांतर,ਖਰੜਾ ਅੰਤਰਾਲ
मसुदा मशीन,ਡਰਾਫਟ ਮਸ਼ੀਨ
कर्षण,ਖਿੱਚ
आकर्षित केले,ਖਿੱਚਿਆ
स्ट्रिंग ओढा,ਖਿੱਚੋ ਸਤਰ
वायर ओढणे,ਤਾਰ ਖਿੱਚੋ
"स्टॉपर, प्लग","ਜਾਫੀ, ਪਲੱਗ"
प्लग-उशी पद्धत,ਪਲੱਗ-ਕੁਸ਼ਨ ਵਿਧੀ
प्लग फ्यूज,ਪਲੱਗ ਫਿਊਜ਼
प्लग करण्यायोग्य युनिट,ਪਲੱਗੇਬਲ ਯੂਨਿਟ
प्लगबोर्ड आकृती,ਪਲੱਗਬੋਰਡ ਚਿੱਤਰ
प्लंबगिला,ਪਲੰਬਗਿਲਾ
"मागे, मागे","ਵਾਪਸ, ਵਾਪਸ"
"plunger, plunger","plunger, plunger"
एकाधिक उत्पादन,ਮਲਟੀਪਲ ਉਤਪਾਦਨ
एकाधिक विखुरणे,ਮਲਟੀਪਲ ਸਕੈਟਰਿੰਗ
प्लुटोनियम,ਪਲੂਟੋਨੀਅਮ
प्लुटोनियम अणुभट्टी,ਪਲੂਟੋਨੀਅਮ ਰਿਐਕਟਰ
जलीय,ਜਲਮਈ
बॅक एअर ट्रान्समिशन,ਵਾਪਸ ਹਵਾ ਪ੍ਰਸਾਰਣ
वायवीय,ਨਿਊਮੈਟਿਕ
गॅस यांत्रिकी,ਗੈਸ ਮਕੈਨਿਕ
pokel-प्रभाव,pokel-ਪ੍ਰਭਾਵ
"कॉटेरी, इनडोअर, प्रोसेस्ड कार्ड मास, जॅब, पॉकेट","ਕੋਟੇਰੀ, ਇਨਡੋਰ, ਪ੍ਰੋਸੈਸਡ ਕਾਰਡ ਮਾਸ, ਜੈਬ, ਜੇਬ"
जेबी अँटेना,ਜੇਬੀ ਐਂਟੀਨਾ
"फोटोफॉर्मर, लाइट फंक्शन जनरेटर","ਫੋਟੋਫਾਰਮਰ, ਲਾਈਟ ਫੰਕਸ਼ਨ ਜਨਰੇਟਰ"
pooid वक्र,pooid ਵਕਰ
ponso गती,ponso ਗਤੀ
पॉइंट चार्ज,ਬਿੰਦੂ ਚਾਰਜ
पॉइंट चार्ज इलेक्ट्रॉन,ਬਿੰਦੂ ਚਾਰਜ ਇਲੈਕਟ੍ਰੋਨ
बिंदू संपर्क डायोड,ਪੁਆਇੰਟ ਸੰਪਰਕ ਡਾਇਓਡ
बिंदू संपर्क ट्रान्झिस्टर,ਬਿੰਦੂ ਸੰਪਰਕ ਟਰਾਂਜ਼ਿਸਟਰ
"अनुक्रमणिका गणित, धारदार गणित","ਸੂਚਕਾਂਕ ਗਣਿਤ, ਤਿੱਖਾ ਗਣਿਤ"
बिंदू त्रुटी,ਬਿੰਦੂ ਗਲਤੀ
बिंदू द्विध्रुव,ਬਿੰਦੂ ਡਾਈਪੋਲ
पॉइंट इलेक्ट्रोड,ਬਿੰਦੂ ਇਲੈਕਟ੍ਰੋਡ
पॉइंट इलेक्ट्रॉन,ਬਿੰਦੂ ਇਲੈਕਟ੍ਰੋਨ
पॉइंट फोकस,ਬਿੰਦੂ ਫੋਕਸ
बिंदू जाळी,ਬਿੰਦੂ ਜਾਲੀ
बिंदू वस्तुमान,ਬਿੰਦੂ ਪੁੰਜ
बिंदू उत्परिवर्तन,ਬਿੰਦੂ ਪਰਿਵਰਤਨ
पॉइंट ऑब्जेक्ट,ਬਿੰਦੂ ਵਸਤੂ
कॉम्पॅक्शन पॉइंट,ਸੰਕੁਚਿਤ ਬਿੰਦੂ
प्रति-बिंदू,ਵਿਰੋਧੀ ਬਿੰਦੂ
निरीक्षण बिंदू,ਨਿਰੀਖਣ ਬਿੰਦੂ
दुर्मिळ बिंदू,ਦੁਰਲੱਭ ਬਿੰਦੂ
निलंबन बिंदू,ਮੁਅੱਤਲ ਬਿੰਦੂ
हस्तांतरण बिंदू,ਤਬਾਦਲਾ ਬਿੰਦੂ
बिंदू कण,ਬਿੰਦੂ ਕਣ
पॉइंट ग्रेडियंट पद्धत,ਬਿੰਦੂ ਢਲਾਨ ਢੰਗ
बिंदू स्रोत,ਬਿੰਦੂ ਸਰੋਤ
बिंदू सममिती,ਬਿੰਦੂ ਸਮਰੂਪਤਾ
साइटवर रेडिओ ट्रान्समिशन,ਸਾਈਟ ਰੇਡੀਓ ਪ੍ਰਸਾਰਣ &#39;ਤੇ
बिंदू टक लावून पाहणे,ਬਿੰਦੂ ਘੂਰਨਾ
"सूचक, सूचक","ਸੰਕੇਤਕ, ਸੰਕੇਤਕ"
पिंटोलाइट दिवा,ਪਿੰਟੋਲਾਈਟ ਲੈਂਪ
दूषित,ਦੂਸ਼ਿਤ
विषबाधा,ਜ਼ਹਿਰ
"विषबाधा संगणक, विषबाधा संगणक","ਜ਼ਹਿਰੀਲਾ ਕੰਪਿਊਟਰ, ਜ਼ਹਿਰੀਲਾ ਕੰਪਿਊਟਰ"
विषबाधा विरोधी सूचक,ਜ਼ਹਿਰ ਵਿਰੋਧੀ ਸੂਚਕ
विष वितरण,ਜ਼ਹਿਰ ਦੀ ਵੰਡ
"ध्रुवीय, ध्रुवीय","ਧਰੁਵੀ, ਧਰੁਵੀ"
ध्रुवीय ज्योत,ਧਰੁਵੀ ਲਾਟ
ध्रुवीय अक्ष,ਧਰੁਵੀ ਧੁਰਾ
दिशात्मक मेणबत्ती शक्ती,ਦਿਸ਼ਾਤਮਕ ਮੋਮਬੱਤੀ ਦੀ ਸ਼ਕਤੀ
ध्रुवीय डायलेक्ट्रिक,ਧਰੁਵੀ ਡਾਈਲੈਕਟ੍ਰਿਕ
ध्रुवीय अंतर,ਧਰੁਵੀ ਦੂਰੀ
ध्रुवीय प्रदेश,ਧਰੁਵੀ ਖੇਤਰ
ध्रुवीय जाळी,ਧਰੁਵੀ ਜਾਲੀ
ध्रुवीय पदार्थ,ਧਰੁਵੀ ਪਦਾਰਥ
ध्रुवीय विकिरण नमुना,ਧਰੁਵੀ ਰੇਡੀਏਸ਼ਨ ਪੈਟਰਨ
ध्रुवीय किरण,ਧਰੁਵੀ ਕਿਰਨ
ध्रुवीय दुर्बिणी,ਧਰੁਵੀ ਦੂਰਬੀਨ
ध्रुवीय प्रमाण,ਧਰੁਵੀ ਅਨੁਪਾਤ
पोलारिमीटर,ਪੋਲੀਮੀਟਰ
polarimetry,ਧਰੁਵੀਮਿਤੀ
ध्रुवीय स्पेक्ट्रम,ਪੋਲਰਿਟੀ ਸਪੈਕਟ੍ਰਮ
ध्रुवीयता,ਧਰੁਵੀਤਾ
ध्रुवीकरण,ਧਰੁਵੀਕਰਨ
ध्रुवीकरण शुल्क,ਧਰੁਵੀਕਰਨ ਚਾਰਜ
ध्रुवीकरण इलेक्ट्रॉन,ਪੋਲਰਾਈਜ਼ਿੰਗ ਇਲੈਕਟ੍ਰੋਨ
ध्रुवीय वाढ,ਪੋਲਰਿਟੀ ਲੰਬਾਈ
ध्रुवीकरण घटक,ਧਰੁਵੀਕਰਨ ਕਾਰਕ
ध्रुवीकरण फिल्टर,ਧਰੁਵੀਕਰਨ ਫਿਲਟਰ
ध्रुवीकरण ओळख,ਧਰੁਵੀਕਰਨ ਪਛਾਣ
ध्रुवीकरण सूक्ष्मदर्शक,ਧਰੁਵੀਕਰਨ ਮਾਈਕ੍ਰੋਸਕੋਪ
कोर ध्रुवीकरण,ਕੋਰ ਧਰੁਵੀਕਰਨ
"डायलेक्ट्रिकचे ध्रुवीकरण, डायलेक्ट्रिकचे ध्रुवीकरण","ਡਾਈਇਲੈਕਟ੍ਰਿਕ ਦਾ ਧਰੁਵੀਕਰਨ, ਡਾਈਇਲੈਕਟ੍ਰਿਕ ਦਾ ਧਰੁਵੀਕਰਨ"
ध्रुवीकरण क्षमता,ਧਰੁਵੀਕਰਨ ਸੰਭਾਵਨਾ
ध्रुवीकरण वेक्टर,ਧਰੁਵੀਕਰਨ ਵੈਕਟਰ
"पोलारिस्कोप, ध्रुवीयदर्शक","polariscope, polariscope"
ध्रुवीकरण करणे,ਧਰੁਵੀਕਰਨ ਕਰਨ ਲਈ
ध्रुवीकृत घटक,ਪੋਲਰਾਈਜ਼ਡ ਕੰਪੋਨੈਂਟ
"polarized dielectric, polarized dielectric","ਪੋਲਰਾਈਜ਼ਡ ਡਾਈਲੈਕਟ੍ਰਿਕ, ਪੋਲਰਾਈਜ਼ਡ ਡਾਈਲੈਕਟ੍ਰਿਕ"
ध्रुवीकृत प्रकाश,ਪੋਲਰਾਈਜ਼ਡ ਰੋਸ਼ਨੀ
"polarizer, polarizer","polarizer, polarizer"
ध्रुवीकरण कोन,ਧਰੁਵੀਕਰਨ ਕੋਣ
ध्वनी फिल्टर,ਆਵਾਜ਼ ਫਿਲਟਰ
ध्रुवीकरण सूक्ष्मदर्शक,ਧਰੁਵੀਕਰਨ ਮਾਈਕ੍ਰੋਸਕੋਪ
ध्रुवीकरण पद्धत,ਧਰੁਵੀਕਰਨ ਢੰਗ
ध्रुवीय व्होल्टेज,ਪੋਲਰਿਟੀ ਵੋਲਟੇਜ
ध्रुवीयता,ਧਰੁਵੀਤਾ
ध्रुवीय स्पेक्ट्रम,ਪੋਲਰਿਟੀ ਸਪੈਕਟ੍ਰਮ
ध्रुवीय लंबवर्तुळाकार,ਪੋਲਰਿਟੀ ਅੰਡਾਕਾਰ
ध्रुवीय बंध,ਧਰੁਵੀ ਬੰਧਨ
ध्रुवीयता घसरण,ਧਰੁਵੀ ਗਿਰਾਵਟ
ध्रुवीकरण लंबवर्तुळ,ਧਰੁਵੀਕਰਨ ਅੰਡਾਕਾਰ
इलेक्ट्रोड ध्रुवीकरण,ਇਲੈਕਟ੍ਰੋਡ ਧਰੁਵੀਕਰਨ
ध्रुवीकरण क्षमता,ਧਰੁਵੀਕਰਨ ਸੰਭਾਵਨਾ
ध्रुवीकरण प्रतिकार,ਧਰੁਵੀਕਰਨ ਪ੍ਰਤੀਰੋਧ
ध्रुवीकरण स्पेक्ट्रोस्कोपी,ਧਰੁਵੀਕਰਨ ਸਪੈਕਟ੍ਰੋਸਕੋਪੀ
ध्रुवीकृत इलेक्ट्रोलाइट कॅपेसिटर,ਪੋਲਰਾਈਜ਼ਡ ਇਲੈਕਟ੍ਰੋਲਾਈਟ ਕੈਪਸੀਟਰ
ध्रुवीकृत इलेक्ट्रोमॅग्नेटिक विकिरण,ਪੋਲਰਾਈਜ਼ਡ ਇਲੈਕਟ੍ਰੋਮੈਗਨੈਟਿਕ ਰੇਡੀਏਸ਼ਨ
ध्रुवीकृत न्यूट्रॉन,ਧਰੁਵੀਕਰਨ ਨਿਊਟ੍ਰੋਨ
ध्रुवीकृत प्लग,ਪੋਲਰਾਈਜ਼ਡ ਪਲੱਗ
ध्रुवीकृत ग्रहण,ਪੋਲਰਾਈਜ਼ਡ ਰਿਸੈਪਟਕਲ
ध्रुवीकृत रिले,ਪੋਲਰਾਈਜ਼ਡ ਰੀਲੇਅ
ध्रुवीकरण सूक्ष्मदर्शक,ਧਰੁਵੀਕਰਨ ਮਾਈਕ੍ਰੋਸਕੋਪ
"ध्रुवीकरण शक्ती, ध्रुवीकरण शक्ती","ਧਰੁਵੀਕਰਨ ਸ਼ਕਤੀ, ਧਰੁਵੀਕਰਨ ਸ਼ਕਤੀ"
ध्रुवीकरण व्होल्टेज (संकलन क्षमता),ਧਰੁਵੀਕਰਨ ਵੋਲਟੇਜ (ਸੰਭਾਵੀ ਇਕੱਠਾ ਕਰਨਾ)
पोलरॉइड,ਪੋਲਰਾਇਡ
"पोलारॉन, पोलरॉन","ਪੋਲਾਰਨ, ਪੋਲਾਰੋਨ"
"ध्रुव, अनंत, संपर्क, ध्रुव","ਧਰੁਵ, ਅਨੰਤਤਾ, ਸੰਪਰਕ, ਧਰੁਵ"
ध्रुव प्रभाव,ਧਰੁਵ ਪ੍ਰਭਾਵ
ध्रुव प्रभाव,ਧਰੁਵ ਪ੍ਰਭਾਵ
ध्रुव अंतराल,ਖੰਭੇ ਅੰਤਰਾਲ
ध्रुवीय विभाग,ਧਰੁਵੀ ਖੰਡ
ध्रुवीयता,ਧਰੁਵੀਤਾ
पोलवर्ड,ਧਰੁਵ
पोल वेन कॉइल,ਪੋਲ ਵੈਨ ਕੋਇਲ
पोलोनियम,ਪੋਲੋਨੀਅਮ
polyatomic,polyatomic
विषमता,ਵਿਭਿੰਨਤਾ
पॉलीक्रोमॅटिक रेडिएशन,ਪੋਲੀਕ੍ਰੋਮੈਟਿਕ ਰੇਡੀਏਸ਼ਨ
पॉलीहेड्रल,polyhedral
मल्टीक्रिस्टलाइन,ਮਲਟੀਕ੍ਰਿਸਟਲਾਈਨ
बहुभुजीकरण,ਬਹੁਭੁਜੀਕਰਨ
बहुरूपी,ਬਹੁਰੂਪੀ
मल्टीफेस सर्किट,ਮਲਟੀਫੇਜ਼ ਸਰਕਟ
मल्टीफेस इंडक्शन मोटर,ਮਲਟੀਫੇਜ਼ ਇੰਡਕਸ਼ਨ ਮੋਟਰ
पॉलिमरिक स्त्रोत,ਪੋਲੀਮਰਿਕ ਸਰੋਤ
मल्टीस्टेज सिंक्रोनस जनरेटर,ਮਲਟੀਸਟੇਜ ਸਮਕਾਲੀ ਜਨਰੇਟਰ
मल्टीफेस सिस्टम,ਮਲਟੀਫੇਜ਼ ਸਿਸਟਮ
एकाधिक प्रिझम,ਮਲਟੀਪਲ ਪ੍ਰਿਜ਼ਮ
पॉलिस्टीरिन बार,ਪੋਲੀਸਟਾਈਰੀਨ ਬਾਰ
पालीरोड अँटेना,ਪਾਲੀਰੋਡ ਐਂਟੀਨਾ
पालीरोड अँटेना,ਪਾਲੀਰੋਡ ਐਂਟੀਨਾ
"बहुदिशात्मक, बहुविध, बहुविध","ਬਹੁ-ਦਿਸ਼ਾਵੀ, ਕਈ ਗੁਣਾ, ਕਈ ਗੁਣਾ"
मल्टीव्हेरिएट कॉम्प्रेशन वक्र,ਮਲਟੀਵੈਰੀਏਟ ਕੰਪਰੈਸ਼ਨ ਕਰਵ
बहुपदी प्रक्रिया,ਬਹੁਪਦ ਦੀ ਪ੍ਰਕਿਰਿਆ
बहुरूपी,ਬਹੁਰੂਪੀ
पॉलीटाइप संकल्पना,ਪੌਲੀਟਾਈਪ ਸੰਕਲਪ
Pomeranch चे प्रमेय,ਪੋਮਰੈਂਚ ਦਾ ਪ੍ਰਮੇਯ
पोमेरॉन,ਪੋਮੇਰੋਨ
"पूल, पूल","ਪੂਲ, ਪੂਲ"
कॉइल कॅथोड,ਕੋਇਲ ਕੈਥੋਡ
कॉइल कॅथोड ट्यूब,ਕੋਇਲ ਕੈਥੋਡ ਟਿਊਬ
पूल ठेव,ਪੂਲ ਡਿਪਾਜ਼ਿਟ
पुष्करिणी अणुभट्टी,ਪੁਸ਼ਕਾਰਿਣੀ ਰਿਐਕਟਰ
कमी शोषक,ਘੱਟ ਸੋਖਣ ਵਾਲਾ
विकिरण,ਕਿਰਨ
कमी रिझोल्यूशन,ਘੱਟ ਰੈਜ਼ੋਲਿਊਸ਼ਨ
कमी दृश्यमानता,ਘੱਟ ਦਿੱਖ
पॉइनकेअर इलेक्ट्रॉन,ਪੁਆਇੰਟਕੇਅਰ ਇਲੈਕਟ੍ਰਾਨ
बिंदू अपूर्णता,ਬਿੰਦੂ ਅਪੂਰਣਤਾ
ब्रेक पॉइंट,ਬਰੇਕ ਪੁਆਇੰਟ
लोकसंख्या उलथापालथ,ਆਬਾਦੀ ਉਲਟ
स्तराची लोकसंख्या,ਵਰਗ ਆਬਾਦੀ
रंध्रप्रसार,ਸਟੋਮੈਟਲ ਫੈਲਾਅ
सच्छिद्रता,porosity
पोरो प्रिझम,ਪੋਰੋ ਪ੍ਰਿਜ਼ਮ
"बंदर, बंदर, प्रवेशद्वार, इंधन गेट","ਬੰਦਰਗਾਹ, ਬੰਦਰਗਾਹ, ਗੇਟਵੇ, ਬਾਲਣ ਗੇਟ"
इंधन गेट क्षेत्र,ਬਾਲਣ ਗੇਟ ਖੇਤਰ
पोर्ट रडार संस्था,ਪੋਰਟ ਰਾਡਾਰ ਇੰਸਟੀਚਿਊਟ
पोर्टेबल,ਪੋਰਟੇਬਲ
पोर्टेबल अँटेना,ਪੋਰਟੇਬਲ antenna
पोर्टेबल डिव्हाइस,ਪੋਰਟੇਬਲ ਜੰਤਰ
पोर्टेबल मॉनिटर,ਪੋਰਟੇਬਲ ਮਾਨੀਟਰ
पोर्टेबल रिसीव्हर,ਪੋਰਟੇਬਲ ਰਿਸੀਵਰ
पोर्टेबल दूरदर्शन ट्रान्समीटर,ਪੋਰਟੇਬਲ ਟੈਲੀਵਿਜ਼ਨ ਟ੍ਰਾਂਸਮੀਟਰ
पोर्टेबल ट्रान्समीटर,ਪੋਰਟੇਬਲ ਟ੍ਰਾਂਸਮੀਟਰ
पोस्टर,ਪੋਸਟਰ
स्थान प्रभाव,ਸਥਾਨ ਪ੍ਰਭਾਵ
स्थान घटक,ਸਥਾਨ ਕਾਰਕ
स्थितीत्मक पुनर्गुंतवणूक,ਸਥਿਤੀ ਮੁੜ ਨਿਵੇਸ਼
स्थिती घटक,ਸਥਿਤੀ ਤੱਤ
"प्लेस आयसोमेरिझम, प्लेस आयसोमेरिझम","ਸਥਾਨ isomerism, ਸਥਾਨ isomerism"
स्थिती ओळ,ਸਥਿਤੀ ਲਾਈਨ
समतोल बिंदू,ਸੰਤੁਲਨ ਦਾ ਬਿੰਦੂ
स्थिती ऑपरेटर,ਸਥਿਤੀ ਆਪਰੇਟਰ
स्थिती प्रतिनिधित्व,ਸਥਿਤੀ ਦੀ ਨੁਮਾਇੰਦਗੀ
स्थिती क्रमांक,ਸਥਿਤੀ ਨੰਬਰ
अंतर मापक,ਦੂਰੀ ਗੇਜ
मसुदा प्लेट,ਡਰਾਫਟ ਪਲੇਟ
स्थिती वेक्टर,ਸਥਿਤੀ ਵੈਕਟਰ
"सकारात्मक, पैसा, सकारात्मक, सकारात्मक","ਸਕਾਰਾਤਮਕ, ਪੈਸਾ, ਸਕਾਰਾਤਮਕ, ਸਕਾਰਾਤਮਕ"
सकारात्मक प्रवेग,ਸਕਾਰਾਤਮਕ ਪ੍ਰਵੇਗ
सकारात्मक दुहेरी अपवर्तन,ਸਕਾਰਾਤਮਕ ਡਬਲ ਰਿਫ੍ਰੈਕਸ਼ਨ
"मनी चार्ज, मनी चार्ज","ਪੈਸੇ ਦਾ ਚਾਰਜ, ਪੈਸੇ ਦਾ ਚਾਰਜ"
संपत्ती पुरुषत्व,ਦੌਲਤ virility
सकारात्मक स्तंभ,ਸਕਾਰਾਤਮਕ ਕਾਲਮ
सकारात्मक क्रिस्टल,ਸਕਾਰਾਤਮਕ ਕ੍ਰਿਸਟਲ
सकारात्मक प्रवाह,ਸਕਾਰਾਤਮਕ ਮੌਜੂਦਾ
सकारात्मक स्त्राव,ਸਕਾਰਾਤਮਕ ਡਿਸਚਾਰਜ
ड्रम विरूपण,ਡਰੱਮ ਵਿਗਾੜ
सकारात्मक विद्युत चार्ज,ਸਕਾਰਾਤਮਕ ਇਲੈਕਟ੍ਰਿਕ ਚਾਰਜ
मनी इलेक्ट्रोड,ਪੈਸੇ ਇਲੈਕਟ੍ਰੋਡ
पैसे इलेक्ट्रॉन,ਪੈਸਾ ਇਲੈਕਟ੍ਰੋਨ
संपत्ती वाढवणे,ਦੌਲਤ ਦਾ ਵਾਧਾ
सकारात्मक त्रुटी,ਸਕਾਰਾਤਮਕ ਗਲਤੀ
सकारात्मक रिफिल,ਸਕਾਰਾਤਮਕ ਰੀਫਿਲ
सकारात्मक फिल्म फोटोमेट्री,ਸਕਾਰਾਤਮਕ ਫਿਲਮ ਫੋਟੋਮੈਟਰੀ
मनी ग्रिड ऑसिलेटर,ਮਨੀ ਗਰਿੱਡ ਔਸਿਲੇਟਰ
पैशाचे छिद्र,ਪੈਸੇ ਦੀ ਮੋਰੀ
सकारात्मक संवाद,ਸਕਾਰਾਤਮਕ ਪਰਸਪਰ ਪ੍ਰਭਾਵ
पैसा आयन,ਪੈਸਾ ਆਇਨ
सकारात्मक लेन्स,ਸਕਾਰਾਤਮਕ ਲੈਂਸ
"मनी मीटरिंग, पैसे बंद करणे (यंत्र)","ਪੈਸਾ ਮੀਟਰਿੰਗ, ਪੈਸਾ ਬੰਦ ਕਰਨਾ (ਯੰਤਰ)"
सकारात्मक मॉड्यूलेशन,ਸਕਾਰਾਤਮਕ ਸੰਚਾਲਨ
सकारात्मक क्षण,ਸਕਾਰਾਤਮਕ ਪਲ
मनी पीक मॉड्युलेशन,ਪੈਸੇ ਦੀ ਸਿਖਰ ਮੋਡਿਊਲੇਸ਼ਨ
सकारात्मक चित्र मॉड्यूलेशन,ਸਕਾਰਾਤਮਕ ਤਸਵੀਰ ਮੋਡੂਲੇਸ਼ਨ
सकारात्मक चित्र कला,ਸਕਾਰਾਤਮਕ ਤਸਵੀਰ ਕਲਾ
पैसे लीज,ਪੈਸੇ ਦੀ ਲੀਜ਼
पैशाचा खांब,ਪੈਸੇ ਦਾ ਖੰਭਾ
पैशाची क्षमता,ਪੈਸੇ ਦੀ ਸੰਭਾਵਨਾ
सकारात्मक प्रिंट सकारात्मक प्रिंट,ਸਕਾਰਾਤਮਕ ਪ੍ਰਿੰਟ ਸਕਾਰਾਤਮਕ ਪ੍ਰਿੰਟ
सकारात्मक मुद्रण तंत्रज्ञान,ਸਕਾਰਾਤਮਕ ਪ੍ਰਿੰਟ ਤਕਨਾਲੋਜੀ
पैशाचे किरण विश्लेषण,ਪੈਸੇ ਦੀ ਰੇ ਵਿਸ਼ਲੇਸ਼ਣ
पैशाचा किरण,ਪੈਸੇ ਦੀ ਕਿਰਨ
पैशाची प्रतिक्रिया,ਪੈਸੇ ਪ੍ਰਤੀਕਰਮ
प्रतिकाराची सकारात्मकता गुणांक,ਪ੍ਰਤੀਰੋਧ ਦੀ ਸਕਾਰਾਤਮਕਤਾ ਗੁਣਾਂਕ
पैशाचा प्रतिसाद,ਪੈਸੇ ਦਾ ਜਵਾਬ
सकारात्मक घूर्णन पातळी,ਸਕਾਰਾਤਮਕ ਰੋਟੇਸ਼ਨਲ ਪੱਧਰ
सकारात्मक पृष्ठभाग,ਸਕਾਰਾਤਮਕ ਸਤਹ
सकारात्मक कल,ਸਕਾਰਾਤਮਕ ਰੁਝਾਨ
मनी टर्मिनल,ਪੈਸੇ ਟਰਮੀਨਲ
सकारात्मक तामसन प्रभाव,ਸਕਾਰਾਤਮਕ tamson ਪ੍ਰਭਾਵ
सकारात्मक रचना,ਸਕਾਰਾਤਮਕ ਬਣਤਰ
सकारात्मक शून्य,ਸਕਾਰਾਤਮਕ ਜ਼ੀਰੋ
सकारात्मकतावादी,ਸਕਾਰਾਤਮਕ
संपत्ती,ਦੌਲਤ
पॉझिट्रॉन,ਪੋਜ਼ੀਟਰੋਨ
पॉझिट्रॉन उत्सर्जक,ਪੋਜ਼ੀਟਰੋਨ ਐਮੀਟਰ
पोझिट्रोनियम,positronium
संभाव्यता,ਸੰਭਾਵਨਾ
"संभाव्यता, संभाव्यता","ਸੰਭਾਵਨਾ, ਸੰਭਾਵਨਾ"
स्तंभ,ਥੰਮ੍ਹ
पोस्ट डिफ्लेक्शन प्रवेग,ਪੋਸਟ ਡਿਫਲੈਕਸ਼ਨ ਪ੍ਰਵੇਗ
पोस्ट डिफ्लेक्शन प्रवेग,ਪੋਸਟ ਡਿਫਲੈਕਸ਼ਨ ਪ੍ਰਵੇਗ
विक्षेपण प्रवेगक इलेक्ट्रोड,ਡਿਫਲੈਕਸ਼ਨ ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ
वाफळयोत्र नेमका,ਵਫਾਲਯੋਤਰਾ ਨੇਮੇਕਾ
पोस्ट ऑफिस बॉक्स,ਪੋਸਟ ਆਫਿਸ ਬਾਕਸ
पोस्ट ऑफिस रिले,ਪੋਸਟ ਆਫਿਸ ਰੀਲੇਅ
कमी कोर,ਘੱਟ ਕੋਰ
कमी चुंबक,ਘੱਟ ਚੁੰਬਕ
संभाव्य कार्य,ਸੰਭਾਵੀ ਫੰਕਸ਼ਨ
"संभाव्य (नाही, ), संभाव्य, संभाव्य (V, )","ਸੰਭਾਵੀ (ਨ, ), ਸੰਭਾਵੀ, ਸੰਭਾਵੀ (V, )"
संभाव्य सक्रिय,ਸੰਭਾਵੀ ਸਰਗਰਮ
संभाव्य तटबंदी,ਸੰਭਾਵੀ ਰੈਮਪਾਰਟ
संभाव्य बॉक्स,ਸੰਭਾਵੀ ਬਾਕਸ
संभाव्य वक्र,ਸੰਭਾਵੀ ਕਰਵ
संभाव्य घनता,ਸੰਭਾਵੀ ਘਣਤਾ
संभाव्य आकृती,ਸੰਭਾਵੀ ਚਿੱਤਰ
संभाव्य फरक,ਸੰਭਾਵੀ ਅੰਤਰ
संभाव्य विभाजक,ਸੰਭਾਵੀ ਵੱਖ ਕਰਨ ਵਾਲਾ
संभाव्य घट,ਸੰਭਾਵੀ ਗਿਰਾਵਟ
विकृती संभाव्य ऊर्जा,ਵਿਕਾਰ ਸੰਭਾਵੀ ਊਰਜਾ
संभाव्य ऊर्जा,ਸੰਭਾਵੀ ਊਰਜਾ
संभाव्य ऊर्जा पृष्ठ,ਸੰਭਾਵੀ ਊਰਜਾ ਪੰਨਾ
संभाव्य क्षेत्र,ਸੰਭਾਵੀ ਖੇਤਰ
संभाव्य प्रवाह,ਸੰਭਾਵੀ ਮੌਜੂਦਾ
संभाव्य प्रवाह क्षेत्र,ਸੰਭਾਵੀ ਵਹਾਅ ਖੇਤਰ
संभाव्य ग्रेडियंट,ਸੰਭਾਵੀ ਗਰੇਡੀਐਂਟ
संभाव्य उच्च,ਸੰਭਾਵੀ ਉੱਚ
संभाव्य अस्थिरता,ਸੰਭਾਵੀ ਅਸਥਿਰਤਾ
संभाव्य संपृक्तता,ਸੰਭਾਵੀ ਸੰਤ੍ਰਿਪਤਾ
संभाव्य विखुरणे,ਸੰਭਾਵੀ ਖਿੰਡਾਉਣ
संभाव्य संवेदनशीलता,ਸੰਭਾਵੀ ਸੰਵੇਦਨਸ਼ੀਲਤਾ
संभाव्य पृष्ठ,ਸੰਭਾਵੀ ਪੰਨਾ
संभाव्य उष्णता,ਸੰਭਾਵੀ ਗਰਮੀ
संभाव्य टर्मिनल,ਸੰਭਾਵੀ ਟਰਮੀਨਲ
संभाव्य सिद्धांत,ਸੰਭਾਵੀ ਥਿਊਰੀ
संभाव्य ट्रान्सफॉर्मर,ਸੰਭਾਵੀ ਟ੍ਰਾਂਸਫਾਰਮਰ
संभाव्य गोंधळ,ਸੰਭਾਵੀ ਉਲਝਣ
संभाव्य कूप,ਸੰਭਾਵੀ ਕੂਪ
विभव कूप मॉडेल्स,ਵਿਭਵ ਕੂਪ ਮਾਡਲਸ
