Bengali,Gujarati
পুনরুদ্ধারযোগ্য ত্রুটি,પુનઃપ્રાપ્ત ભૂલ
পুনরুদ্ধার,પુન: પ્રાપ્તિ
recursim উপপাদ্য,પુનરાવર્તિત પ્રમેય
পুনরাবৃত্তি,પુનરાવર્તન
পুনরাবৃত্ত ফাংশন,પુનરાવર્તિત કાર્ય
হ্রাসকৃত নির্দেশনা সেট কম্পিউটার (RISC),ઘટાડો સૂચના સેટ કમ્પ્યુટર (RISC)
অপ্রয়োজনীয়তা,નિરર્થકતા
স্বাধীন ডিস্কের অপ্রয়োজনীয় অ্যারে (RAID),સ્વતંત્ર ડિસ્કની રીડન્ડન્ટ એરે (RAID)
পুনঃপ্রবেশকারী,પુનઃ પ્રવેશ
পুনরায় প্রবেশকারী কোড,પુનઃપ્રવેશ કોડ
রেফারেন্স,સંદર્ભ
উল্লেখ সততা,સંદર્ભ અખંડિતતા
প্রতিফলন,પ્રતિબિંબ
প্রতিবিম্ব,પ્રતિબિંબ
প্রতিসরণ,રીફ્રેક્શન
রিফ্রেশ,તાજું કરો
পুনর্জন্ম,પુનર્જન્મ
নিবন্ধন,નોંધણી કરો
নিয়মিত ব্যাকরণ,નિયમિત વ્યાકરણ
সম্পর্ক,સંબંધ
সম্পর্কিত তথ্য ভাণ্ডার,રિલેશનલ ડેટાબેઝ
রিলেশনাল ডাটাবেস ম্যানেজমেন্ট সিস্টেম (RDBMS),રિલેશનલ ડેટાબેઝ મેનેજમેન્ટ સિસ્ટમ (RDBMS)
রিলেশনাল মডেল,રિલેશનલ મોડલ
আপেক্ষিক,સંબંધી
আপেক্ষিক ঠিকানা,સંબંધિત સંબોધન
রিলে,રિલે
নির্ভরযোগ্যতা মডেলিং,વિશ્વસનીયતા મોડેલિંગ
নির্ভরযোগ্য,વિશ્વસનીય
স্থানান্তরযোগ্য কোড,રિલોકેટેબલ કોડ
দূরবর্তী,દૂરસ્થ
দূরবর্তী হোস্ট,દૂરસ્થ યજમાન
দূরবর্তী কাজের এন্ট্রি,દૂરસ્થ જોબ એન્ટ્રી
দূরবর্তী লগ ইন,દૂરસ્થ લોગ-ઇન
দূরবর্তী পদ্ধতি কল (RPC),દૂરસ્થ પ્રક્રિયા કૉલ (RPC)
রিমোট সেন্সিং,રિમોટ સેન્સિંગ
নাম পরিবর্তন করুন,નામ બદલો
রেন্ডারিং,રેન્ડરીંગ
রিপিটার,રીપીટર
উত্তর দিন,જવાબ આપો
অনুরোধ,વિનંતી
মন্তব্যের জন্য অনুরোধ (RFC),ટિપ્પણીઓ માટે વિનંતી (RFC)
অনুরোধ/উত্তর প্রোটোকল,વિનંતી/જવાબ પ્રોટોકોલ
প্রোগ্রাম পুনরায় চালান,પ્રોગ્રામ ફરીથી ચલાવો
গবেষণা,સંશોધન
চক্র পুনরায় সেট করুন,રીસેટ ચક્ર
বাসিন্দা,રહેવાસી
রেজোলিউশন,ઠરાવ
সম্পদ,સંસાધનો
প্রতিক্রিয়া সময়,પ્રતિભાવ સમય
আবার শুরু,ફરી થી શરૂ કરવું
পুনরুদ্ধার করুন,પુનઃસ્થાપિત
রিট্রেস,રીટ્રેસ
রিট্রান্সমিশন,રીટ્રાન્સમિશન
পুনরুদ্ধার করুন,પુનઃપ્રાપ્ત કરો
পুনরায় চেষ্টা করা,ફરી પ્રયાસ કરો
প্রত্যাবর্তন,પરત
রিটার্ন কোড,રીટર્ન કોડ
রিটার্ন কী,રીટર્ન કી
পুনরায় ব্যবহারযোগ্য কোড,ફરીથી વાપરી શકાય તેવા કોડ
পুনর্লিখনযোগ্য,ફરીથી લખી શકાય તેવું
আরজিবি মনিটর,આરજીબી મોનિટર
ফিতা,રિબન
সঠিক সমস্যা,યોગ્ય મુદ્દો
রোবট,રોબોટ
যন্ত্রমানব নির্মাণ বিদ্যা,રોબોટિક્સ
বলিষ্ঠ,મજબુત
ভূমিকা,ભૂમિકા
ফিরে আসা,પાછા વળો
রোল ইন,રોલ ઇન કરો
রোল আউট,રોલ આઉટ
রম,રોમ
রুট,રુટ
রুট ডিরেক্টরি,રૂટ ડિરેક્ટરી
ত্রুটির রাউন্ড,ભૂલનો રાઉન્ડ
রাউটার,રાઉટર
রাউটিং,રૂટીંગ
RS232C ইন্টারফেস,RS232C ઇન્ટરફેસ
RSA এনক্রিপশন,RSA એન્ક્રિપ્શન
আরটিসি,આરટીસી
দৈর্ঘ্য এনকোডিং চালান,લંબાઈ એન્કોડિંગ ચલાવો
রান সময়,રન સમય
রান টাইম ত্রুটি,રનટાઈમ ભૂલ
নমুনা,નમૂના
স্যাম্পলিং,સેમ્પલિંગ
স্যাটেলাইট,ઉપગ્રહ
স্যাচুরেটিং,સંતૃપ્ત
সংরক্ষণ,સાચવો
পরিমাপযোগ্যতা,માપનીયતા
স্কেলার,સ્કેલર
স্ক্যানিং,સ્કેનિંગ
দৃশ্যকল্প,દૃશ્ય
সময়সূচী,શેડ્યૂલર
স্ক্রিন ইমেজ প্রজেক্টর,સ્ક્રીન ઇમેજ પ્રોજેક્ટર
লিপি,સ્ક્રિપ્ટ
স্ক্রিপ্টিং ভাষা,સ્ક્રિપ્ટીંગ ભાષા
স্ক্রোলিং,સ્ક્રોલિંગ
SDLC (সিক্রোনাস ডেটা লিঙ্ক নিয়ন্ত্রণ),SDLC (સિક્રોનસ ડેટા લિંક નિયંત્રણ)
অনুসন্ধান করুন,શોધો
খোঁজ যন্ত্র,શોધ એન્જિન
অনুসন্ধান গাছ,શોધ વૃક્ષ
অনুসন্ধান করা হচ্ছে,શોધી રહ્યાં છે
মাধ্যমিক,ગૌણ
সেক্টর,સેક્ટર
নিরাপত্তা নীতি,સુરક્ષા નીતિ
সময় নেওয়া,સમય શોધો
সেগমেন্ট,સેગમેન્ટ
সেগমেন্টেশন,વિભાજન
নির্বাচন বাছাই,પસંદગી સૉર્ટ
স্বয়ংসম্পূর্ণ,સ્વયં સમાયેલ
শব্দার্থবিদ্যা,અર્થશાસ્ત્ર
সেমাফোর,સેમાફોર
সেমিকন্ডাক্টর,સેમિકન્ડક્ટર
শব্দার্থিক ওয়েব,સિમોન્ટિક વેબ
অনুক্রমিক অ্যাক্সেস পদ্ধতি,અનુક્રમિક ઍક્સેસ પદ્ધતિ
সিরিয়াল,સીરીયલ
সিরিয়ালাইজার,સીરીયલાઇઝર
সার্ভার,સર્વર
সার্ভার ক্র্যাশ,સર્વર ક્રેશ
সার্ভার লাইসেন্স,સર્વર લાઇસન્સ
সার্ভো গুণক,સર્વો ગુણક
সেট,સેટ
চিহ্নিত করা,પોઈન્ટ નક્કી કરો
সেট আপ,સ્થાપના
ছায়া,છાંયો
শেডিং,શેડિંગ
ছায়া,પડછાયો
ফাইল শেয়ার করুন,ફાઈલ શેર કરો
ভাগ করা অ্যাক্সেস,વહેંચાયેલ ઍક્સેસ
শেয়ারিং,શેરિંગ
শেল,શેલ
চরিত্র পরিবর্তন,પાત્ર બદલો
শর্ট সার্কিট,શોર્ટ સર્કિટ
সংক্ষিপ্ত নির্দেশ,ટૂંકી સૂચના
ভাইবোন,બહેન
পার্শ্ব প্রতিক্রিয়া,આડઅસર
সাইন বিট,સાઇન બીટ
সংকেত,સિગ્નલ
সংকেত প্রক্রিয়াজাতকরণ,સિગ્નલ પ્રોસેસિંગ
সংকেত,સિગ્નલિંગ
শব্দ অনুপাত থেকে সংকেত,સિગ્નલ-ટુ-અવાજ ગુણોત્તર
স্বাক্ষর,સહી
স্বাক্ষর পরীক্ষা,સહી પરીક્ષણ
উল্লেখযোগ্য সংখ্যা,નોંધપાત્ર અંક
সিলিকন চিপ,સિલિકોન ચિપ
সাধারণ মেল ট্রান্সফার প্রোটোকল (SMTP),સિમ્પલ મેઇલ ટ્રાન્સફર પ્રોટોકોલ (SMTP)
সিমপ্লেক্স,સિમ્પ્લેક્સ
সিমপ্লেক্স নোড,સિમ્પ્લેક્સ નોડ
সিমুলেশন,સિમ્યુલેશન
সিমুলেটর,સિમ્યુલેટર
যুগপত,એક સાથે
যুগপত প্রক্রিয়াকরণ,એક સાથે પ્રક્રિયા
সিঙ্গেলটন,સિંગલટન
সাইটের লাইসেন্স,સાઇટ લાયસન્સ
আকার,કદ
সাইজিং,કદ બદલવાનું
স্কেচিং,સ્કેચિંગ
এড়িয়ে যান,છોડો
স্কিপিং,છોડવું
স্ল্যাশ,સ્લેશ
স্লেভ কম্পিউটার,ગુલામ કમ્પ્યુટર
স্লাইডিং উইন্ডো প্রোটোকল,સ્લાઇડિંગ વિન્ડો પ્રોટોકોલ
স্লিপ,સ્લિપ
স্লট,સ્લોટ
ছোট কম্পিউটার সিস্টেম ইন্টারফেস (SCSI),નાના કમ્પ્યુટર સિસ્ટમ ઇન્ટરફેસ (SCSI)
স্মার্ট কার্ড,સ્માર્ટ કાર્ડ
শামুক মেইল,ગોકળગાય મેલ
স্ন্যাপশট,સ્નેપશોટ
নরম কম্পিউটিং,સોફ્ટ કમ્પ્યુટિંગ
সফট কপি,સોફ્ટ કોપી
নরম ফন্ট,સોફ્ટ ફોન્ટ
সফটওয়্যার,સોફ્ટવેર
সফ্টওয়্যার প্রকৌশল,સોફ્ટવેર એન્જિનિયરિંગ
সফ্টওয়্যার লাইসেন্স,સોફ્ટવેર લાઇસન્સ
সফটওয়্যার পাইরেসি,સોફ્ટવેર ચાંચિયાગીરી
বর্ণালী,સ્પેક્ટ્રમ
সর্পিল,સર્પાકાર
শীট ছড়িয়ে,શીટ ફેલાવો
স্ট্যান্ডার্ড,ધોરણ
স্ট্যান্ডার্ড সাধারণীকৃত মার্কআপ ভাষা (SGML),માનક સામાન્યકૃત માર્કઅપ ભાષા (SGML)
প্রমিতকরণ,માનકીકરણ
Standby সময়,સ્ટેન્ડબાય સમય
তারকা LAN,સ્ટાર LAN
তারকা টপোলজি,સ્ટાર ટોપોલોજી
বিট শুরু,થોડી શરૂઆત કરો
অনাহার,ભૂખમરો
স্ট্যাটিক মেমরি&#39;,સ્થિર મેમરી&#39;
স্ট্যাটাস চ্যানেল,સ્થિતિ ચેનલ
ধাপে আকার,પગલું કદ
থামুন এবং প্রোটোকল অপেক্ষা করুন,રોકો અને પ્રોટોકોલ રાહ જુઓ
স্টপ কোড,સ્ટોપ કોડ
স্টপ কী,સ્ટોપ કી
সঞ্চয়যোগ্যতা,સંગ્રહક્ષમતા
সংরক্ষিত প্রোগ্রাম,સંગ્રહિત કાર્યક્રમ
স্ট্রিং ডেটা,સ્ટ્રિંગ ડેટા
কাঠামোগত কোডিং,સંરચિત કોડિંગ
কাঠামোগত ক্যোয়ারী ভাষা (SQL),સ્ટ્રક્ચર્ડ ક્વેરી લેંગ્વેજ (SQL)
শৈলী শীট,સ્ટાઇલ શીટ
সাব-ডিরেক্টরি,સબ-ડિરેક્ટરી
সাবনেট,સબનેટ
সাবট্রি,સબટ્રી
সারসংক্ষেপ,સારાંશ
সুপার কম্পিউটার,સુપર કમ્પ્યુટર
সুপার কম্পিউটিং,સુપર કમ્પ્યુટિંગ
সুপার কী,સુપર કી
সুপার ব্যবহারকারী,સુપર વપરાશકર્તા
তত্ত্বাবধানে শিক্ষা,નિરીક્ષણ કરેલ શિક્ષણ
সমর্থন চিপ,સપોર્ટ ચિપ
সার্ফ,સર્ફ
সার্ফিং,સર્ફિંગ
অদলবদল,સ્વેપ
অদলবদল,અદલાબદલી
অদলবদল করা,બહાર કાઢો
অদলবদল,અદલાબદલી
সুইচড নেটওয়ার্ক,સ્વિચ કરેલ નેટવર્ક
সুইচিং,સ્વિચિંગ
স্যুইচিং তত্ত্ব,સ્વિચિંગ થિયરી
প্রতীকী প্রোগ্রামিং,સાંકેતિક પ્રોગ્રામિંગ
সিঙ্ক্রোনাইজেশন,સિંક્રનાઇઝેશન
সিঙ্ক্রোনাইজার,સિંક્રોનાઇઝર
সিঙ্ক্রোনাস,સિંક્રનસ
সিঙ্ক্রোনাস ডিজিটাল হায়ারার্কি (SDH),સિંક્રનસ ડિજિટલ વંશવેલો (SDH)
সিনট্যাক্স বিশ্লেষণ,વાક્યરચના વિશ્લેષણ
ধারা বিশ্লেষণ,સિસ્ટમ વિશ્લેષણ
সিস্টেম ইঞ্জিনিয়ারিং,સિસ્ટમ એન્જિનિયરિંગ
সিস্টেম হ্যাকার,સિસ્ટમ હેકર
ব্যাবস্থা সংযোগকারক,સિસ્ટમ ઇન્ટિગ્રેટર
সিস্টেম লগ,સિસ્ટમ લોગ
সিস্টেম মাস্ক,સિસ્ટમ માસ્ક
সিস্টেম নেটওয়ার্ক আর্কিটেকচার (SNA),સિસ્ટમ નેટવર્ક આર્કિટેક્ચર (SNA)
সিস্টেম প্রোগ্রামার,સિસ્ટમ પ્રોગ્રામર
সিস্টেম রিস্টার্ট,સિસ્ટમ પુનઃપ્રારંભ કરો
সিস্টেম শাটডাউন,સિસ્ટમ બંધ
সিস্টেম পরীক্ষা,સિસ્ટમ પરીક્ષણ
সিস্টেম ইউটিলিটি,સિસ્ટમ ઉપયોગિતા
পদ্ধতিগত কোড,વ્યવસ્થિત કોડ
ট্যাব কমান্ড,ટેબ આદેશ
টেবিল,ટેબલ
টেবিল দেখুন,ટેબલ ઉપર જુઓ
টেবিল স্পেস,ટેબલ જગ્યા
ট্যাবলেট,ટેબ્લેટ
ট্যাবুলার অ্যারে,ટેબ્યુલર એરે
ট্যাবুলেটিং ফাংশন,ટેબ્યુલેટીંગ કાર્ય
ট্যাগ করা আর্কিটেকচার,ટૅગ કરેલ આર્કિટેક્ચર
ট্যাগ করা ছবি ফাইল ফরম্যাট (TIFF),ટૅગ કરેલ ઇમેજ ફાઇલ ફોર્મેટ (TIFF)
ট্যান্ডাম সিস্টেম,ટેન્ડમ સિસ્ટમ
টেপ ঘনত্ব,ટેપ ઘનતા
টেপ মাস্ক,ટેપ માસ્ક
tar ফাইল,ટાર ફાઇલ
টাস্ক,કાર્ય
টাস্ক বার,કાર્ય પટ્ટી
কাজের সূচি,કાર્ય અનુસૂચિ
TCP/IP (ট্রান্সমিশন কন্ট্রোল প্রোটোকল/ইন্টারনেট প্রোটোকল),TCP/IP (ટ્રાન્સમિશન કંટ્રોલ પ્રોટોકોલ/ઇન્ટરનેટ પ્રોટોકોલ)
টিয়ারডাউন অপারেশন,ફાડવાની કામગીરી
টেলিকম,ટેલિકોમ
টেলিযোগাযোগ,ટેલિકોમ્યુનિકેશન
টেলিকনফারেন্স,ટેલિકોન્ફરન્સ
টেলিকনফারেন্সিং,ટેલિકોન્ફરન્સિંગ
টেলিগ্রাফি,ટેલિગ્રાફી
টেলিমেট্রি,ટેલિમેટ્રી
টেলিফোন,ટેલિફોન
টেলিফোনি,ટેલિફોની
টেলিপ্রিন্টার,ટેલિપ્રિંટર
টেলিপ্রসেসিং,ટેલિપ્રોસેસિંગ
টেলিভিশন,ટેલિવિઝન
টেলেক্স,ટેલેક્સ
টেলনেট,ટેલનેટ
তাপমাত্রা,તાપમાન
টেমপ্লেট,ઢાંચો
দশের পরিপূরক,દસનું પૂરક
তেরা বাইট,ટેરા બાઈટ
তেরা ফ্লপ,તેરા ફ્લોપ
টার্মিনাল কার্সার,ટર્મિનલ કર્સર
টার্মিনাল নোড,ટર્મિનલ નોડ
টার্মিনাল উইন্ডো,ટર્મિનલ વિન્ડો
সমাপ্তি,સમાપ્તિ
টারনারি,ટર્નરી
টার্নারি অপারেশন,ટર્નરી ઓપરેશન
পরীক্ষা,ટેસ્ટ
পরীক্ষার কভারেজ,પરીક્ષણ કવરેજ
পরীক্ষা চালানো,ટેસ્ટ રન
টেস্ট-ডেটা,ટેસ્ટ-ડેટા
পাঠ্য,ટેક્સ્ટ
টেক্সট বক্স,ટેક્સ્ટ બોક્સ
পাঠ্য কার্সার,ટેક્સ્ટ કર્સર
টেক্সট সম্পাদক,ટેક્સ્ટ એડિટર
লেখার ফাইল,ટેક્સ્ટ ફાઇલ
পাঠ্য মোড,ટેક્સ્ટ મોડ
পাঠ্য প্রক্রিয়াকরণ,ટેક્સ્ટ પ્રોસેસિંગ
টেক্সট টু স্পিচ (TTS),ટેક્સ્ટ ટુ સ્પીચ (TTS)
টেক্সচার ম্যাপিং,ટેક્સચર મેપિંગ
টি-ফ্লিপ-ফ্লপ,ટી-ફ્લિપ-ફ્લોપ
থারমাল প্রিন্টার,થર્મલ પ્રિન્ટર
পাতলা ফিল্ম মেমরি,પાતળી ફિલ્મ મેમરી
পাতলা ফিল্ম ট্রানজিস্টর,પાતળા ફિલ્મ ટ્રાંઝિસ્ટર
মারধর,થ્રેશિંગ
থ্রেড,થ્રેડ
থ্রেডিং,થ્રેડીંગ
ত্রিস্তর নেটওয়ার্ক,ત્રીજું નેટવર્ક
থ্রুপুট,થ્રુપુટ
সময় জটিলতা,સમયની જટિલતા
টাইম ডিভিশন মাল্টিপ্লেক্সিং (TDM),ટાઇમ ડિવિઝન મલ્ટિપ્લેક્સિંગ (TDM)
সময় ফ্রেম,સમય ફ્રેમ
সময় ফ্রেম,સમય ફ્રેમ
সময় মেশিন,સમય યંત્ર
সময় শেষ,સમય સમાપ્ત
সময় পরিমাপ,સમય પરિમાણ
সময় সিরিজ,સમય શ્રેણી
সময় ভাগ,સમય વહેંચણી
সময় ভাগ করে নেওয়ার সিস্টেম,સમય વહેંચણી સિસ્ટમ
সময় স্ট্যাম্প,સમય સ્ટેમ્પ
টাইমিং ডায়াগ্রাম,સમય રેખાકૃતિ
আভা,રંગભેદ
টগল,ટૉગલ કરો
টগল করার গতি,ટૉગલ કરવાની ઝડપ
টোকেন,ટોકન
টোকেন বাস,ટોકન બસ
টোকেন বাস,ટોકન બસ
টোকেন বাস নেটওয়ার্ক,ટોકન બસ નેટવર્ક
টোকেন রিং,ટોકન રીંગ
টোকেন কথা,ટોકન ચર્ચા
টুল,સાધન
আপাদোমোস্তোক,ઉપરથી નીચે
টপ ডাউন ডিজাইন,ટોપ ડાઉન ડિઝાઇન
টপ ডাউন পার্সিং,ઉપરથી નીચેનું પદચ્છેદન
টপোলজি,ટોપોલોજી
স্পর্শ প্যাড,ટચ પેડ
স্পর্শ পর্দা,ટચ સ્ક્રીન
ট্রেস,ટ્રેસ
ট্রেসিং,ટ્રેસિંગ
ট্র্যাক,ટ્રેક
ট্র্যাক ডিস্ক,ટ્રેક ડિસ્ક
ট্র্যাক টেপ,ટ્રેક ટેપ
ট্র্যাকিং,ટ્રેકિંગ
লতা,ટ્રેલર
গতিপথ,માર્ગ
লেনদেন,સોદા
লেনদেন ফাইল,વ્યવહાર ફાઇલ
লেনদেনের লগ,વ્યવહાર લોગ
প্রতিলিপি,ટ્રાંસ્ક્રાઇબ કરો
ট্রান্সডুসার,ટ્રાન્સડ્યુસર
স্থানান্তর হার,ટ્રાન્સફર દર
স্থানান্তর সময়,ટ્રાન્સફર સમય
রূপান্তর,પરિવર્તન
ক্ষণস্থায়ী ত্রুটি,ક્ષણિક ભૂલ
ট্রানজিট সময়,પરિવહન સમય
উত্তরণ,સંક્રમણ
ট্রানজিটিভ,સંક્રમિત
ট্রানজিটিভিটি,સંક્રમણ
অনুবাদ,અનુવાદ
সংক্রমণ,ટ્રાન્સમિશન
ট্রান্সমিশন কন্ট্রোল প্রোটোকল (TCP),ટ્રાન્સમિશન કંટ્રોલ પ્રોટોકોલ (TCP)
পরিচলন রেখা,ટ્રાન્સમિશન લાઇન
ট্রান্সমিটার,ટ્રાન્સમીટર
স্বচ্ছতা,પારદર્શિતા
ট্রান্সপন্ডার,ટ્રાન્સપોન્ડર
পরিবহন,પરિવહન
স্থানান্তর,સ્થાનાંતરણ
ট্রান্সপুটার,ટ્રાન્સપ્યુટર
ট্রান্সরিভার,ટ્રાન્સરીવર
ফাঁদে ফেলা,ટ્રેપિંગ
ট্রাভার্স,ટ્રાવર્સ
গাছ (ট্রাভার্সাল),વૃક્ષ (ટ્રાવર્સલ)
গাছ নেটওয়ার্ক,વૃક્ષ નેટવર્ક
উপনদী সার্কিট,ઉપનદી સર્કિટ
তুচ্ছ গ্রাফ,તુચ્છ ગ્રાફ
সমস্যা অঙ্কুর,મુશ્કેલી શૂટ
ছাঁটা,કાપો
সঠিক তালিকা,સત્ય ટેબલ
টিউনার,ટ્યુનર
টানেলিং,ટનલીંગ
টানিং,ટ્યુનિંગ
টুপল,ટપલ
টার্বো প্যাসকেল,ટર્બો પાસ્કલ
টিউরিং মেশিন,ટ્યુરિંગ મશીન
সময় ঘুরিয়ে দিন,સમય ફેરવો
নথি ঘুরিয়ে দিন,દસ્તાવેજ ફેરવો
পরিবর্তনের ক্রম,ટર્નઅરાઉન્ડ ક્રમ
টুইন তারের,ટ્વીન કેબલ
পাকানো জোড়া,ટ્વિસ્ટેડ જોડી
দুই অংশ সংযোজনকারী,બે ભાગ એસેમ્બલર
দুই এর পরিপূরক,બે પૂરક
টাইপ,પ્રકાર
টাইপ মুখ,પ્રકાર ચહેરો
মাথা টাইপ করুন,પ્રકાર વડા
টাইপ চাকা,પ્રકાર વ્હીલ
টাইপিং,ટાઈપિંગ
আন ইন্টারপ্টেবল পাওয়ার সোর্স (ইউপিএস),અન ઇન્ટરપ્ટેબલ પાવર સ્ત્રોત (UPS)
unary অপারেশন,યુનરી ઓપરેશન
unary অপারেশন,યુનરી ઓપરેશન
unary অপারেটর,યુનરી ઓપરેટર
অনিশ্চয়তা,અનિશ્ચિતતા
শর্তহীন বিবৃতি,બિનશરતી નિવેદન
অগণিত,અગણિત
উন্মোচন,ઉઘાડું
সিদ্ধান্তহীন,અનિર્ણાયક
অনির্ধারিত,અવ્યાખ્યાયિત
অনির্ধারিত রেকর্ড,અવ્યાખ્યાયિત રેકોર્ડ
মুছে ফেলুন,કાઢી નાખો
আন্ডারস্কোর,નીચા
অনির্দেশিত,દિશાહીન
অনির্দেশিত গ্রাফ,નિર્દેશિત ગ્રાફ
undirectional সেবা সময়,દિશાહીન સેવા સમય
পূর্বাবস্থায় ফেরান,પૂર્વવત્ કરો
বিন্যাসহীন ডিস্ক,અનફોર્મેટેડ ડિસ્ક
ইউনিকাস্টিং,યુનિકાસ્ટિંગ
ইউনিকোড,યુનિકોડ
অনির্দেশিত গাছ,દિશાહીન વૃક્ષ
ইউনিফর্ম রিসোর্স লোকেটার (URL),યુનિફોર્મ રિસોર્સ લોકેટર (URL)
ইউনিপ্রসেসিং,યુનિપ્રોસેસિંગ
অনন্য,અનન્ય
ইউনিশিল্ড টুইস্টেড পেয়ার (UTP),યુનિશિલ્ડ ટ્વિસ્ટેડ જોડી (UTP)
ইউনিট,એકમ
ইউনিট ঠিকানা,એકમ સરનામું
একক ব্যবধান,એકમ અંતરાલ
অংশ পরিক্ষাকরণ,એકમ પરીક્ષણ
একক কোড,એકાત્મક કોડ
Uniterm,યુનિટર્મ
ইউনিভার্সাল অ্যাসিঙ্ক্রোনাস রিসিভার/ট্রান্সমিটার (UART),યુનિવર્સલ અસિંક્રોનસ રીસીવર/ટ્રાન્સમીટર (UART)
সর্বজনীন ফ্লিপ ফ্লপ,સાર્વત્રિક ફ્લિપ ફ્લોપ
সার্বজনীন সেট,સાર્વત્રિક સમૂહ
সার্বজনীন অক্ষর সেট,સાર્વત્રિક અક્ષર સમૂહ
ইউনিক্স,યુનિક્સ
আনলক,અનલોક કરો
অরক্ষিত ক্ষেত্র,અસુરક્ષિત ક્ષેત્ર
অরক্ষিত ফাইল,અસુરક્ષિત ફાઇલ
অগম্য,અગમ્ય
ছায়ামুক্ত করা,છાંયો
অরক্ষিত,અશિલ્ડ
অসফল কল,અસફળ કૉલ
উন্টার,ઊંટાર
অসঙ্গতি আপডেট করুন,વિસંગતતાઓને અપડેટ કરો
আপডেট করা ফাইল,અપડેટ કરેલી ફાઇલ
আপডেট করা হচ্ছে,અપડેટ કરી રહ્યું છે
আপগ্রেড করুন,અપગ્રેડ કરો
আপগ্রেড করুন,અપગ્રેડ કરો
আপলিংক,અપલિંક
আপলোড হচ্ছে,અપલોડ કરી રહ્યું છે
উপরের মেমরি এলাকা,ઉપલા મેમરી વિસ્તાર
আপস্ট্রিম,અપસ્ટ્રીમ
আপটাইম,અપટાઇમ
ঊর্ধ্বমুখী,ઉપર તરફ
ইউজনেট,યુઝનેટ
ব্যবহারকারী,વપરાશકર્તા
ব্যবহারিক দূত,વપરાશકર્તા એજન્ટ
ব্যবহারকারী প্রমাণীকরণ,વપરાશકર્તા પ્રમાણીકરણ
ব্যবহারকারীর ডেটাগ্রাম প্রোটোকল (UDP),વપરાશકર્તા ડેટાગ્રામ પ્રોટોકોલ (UDP)
ব্যবহারকারী বান্ধব,મૈત્રીપૂર્ણ વપરાશકર્તા
ব্যবহারকারী সনাক্তকরণ,વપરાશકર્તા ઓળખ
ব্যবহারকারীর পরিচয় (UID),વપરાશકર્તા ઓળખ (UID)
ব্যবহারকারী ইন্টারফেস,વપરાશકર્તા ઈન્ટરફેસ
ব্যবহারকারীর নাম,વપરાશકર્તા નામ
ব্যবহারকারীর প্রোফাইল,વપરાશકર્તા પ્રોફાઇલ
ইউটিলিটি,ઉપયોગિતા
ইউটিলিটি সফটওয়্যার,ઉપયોગિતા સોફ્ટવેર
বৈধ,માન્ય
বৈধতা,માન્યતા
বৈধতা প্রোটোকল,માન્યતા પ્રોટોકોલ્સ
বৈধতা পরীক্ষা,માન્યતા પરીક્ષણ
বৈধতা পরীক্ষা,માન્યતા તપાસ
মূল্য সংযোজন নেটওয়ার্ক (VAN),મૂલ્ય વર્ધિત નેટવર્ક (VAN)
ভ্যালু অ্যাডেড রিসেলার (VAR),મૂલ્ય વર્ધિત પુનર્વિક્રેતા (VAR)
বিলয়বিন্দু,અદ્રશ્ય થતું બિંદુ
ভাপওয়্যার,વેપરવેર
পরিবর্তনশীল,ચલ
পরিবর্তনশীল ঠিকানা,ચલ સરનામું
পরিবর্তনশীল বিট হার,ચલ બીટ દર
পরিবর্তনশীল ক্ষেত্রের দৈর্ঘ্য,ચલ ક્ષેત્ર લંબાઈ
পরিবর্তনশীল দৈর্ঘ্য কোড,ચલ લંબાઈ કોડ
পরিবর্তনশীল নাম,ચલ નામ
ভেরিয়েল,વેરિયેલ
ভেক্টর,વેક્ટર
ভেক্টর গ্রাফিক্স,વેક્ટર ગ્રાફિક્સ
ভেক্টর প্রসেসিং,વેક્ટર પ્રીસેસિંગ
vectored interrupts,વેક્ટર કરેલ વિક્ષેપો
ভেন ডায়াগ্রাম,વેન ડાયાગ્રામ
যাচাইকরণ এবং বৈধতা (V&amp;V),ચકાસણી અને માન્યતા (V&amp;V)
ভর্সন নিয্ন্ত্র্ন,સંસ્કરણ નિયંત્રણ
সংস্করণ সংখ্যা,સંસ્કરણ નંબર
ভার্টেক্স,શિરોબિંદુ
উল্লম্ব প্রসেসর,વર્ટિકલ પ્રોસેસર
খুব বড় স্কেল ইন্টিগ্রেশন (VLSI),ખૂબ મોટા પાયે એકીકરણ (VLSI)
খুব দীর্ঘ নির্দেশ শব্দ (VLIW),ખૂબ લાંબો સૂચના શબ્દ (VLIW)
ভিএইচডিএল,વીએચડીએલ
ভিডিও ক্যামেরা,વિડિયો કેમેરા
ভিডিও কনফারেন্সিং,વિડિયો કોન્ફરન્સિંગ
ভিডিও প্রদর্শন টার্মিনাল,વિડિઓ પ્રદર્શન ટર્મિનલ
ভিডিও প্রদর্শন ইউনিট,વિડિઓ પ્રદર્શન એકમ
ভিডিও গেম,વીડિયો ગેમ
ভিডিও গ্রাফিক অ্যাডাপ্টার (ভিজিএ),વિડિયો ગ્રાફિક એડેપ્ટર (VGA)
ভিডিও গ্রাফিক্স অ্যাডাপ্টার (ভিজিএ),વિડિયો ગ્રાફિક્સ એડેપ્ટર (VGA)
ভিডিও সার্ভার,વિડિઓ સર્વર
দেখুন,જુઓ
পোর্ট দেখুন,પોર્ટ જુઓ
