Odiya,Hindi
ପ୍ରୋକାରୀୋଟିକ୍ ସେଲ୍ |,प्राक्केंद्रकी कोशिका
ପ୍ରୋଲାକ୍ଟିନ୍ ହରମୋନକୁ ପ୍ରତିବନ୍ଧିତ କରେ (PIH),प्रोलैक्टिन संदमक हॉर्मोन
ପ୍ରୋଲାକ୍ଟିନ୍ ହରମୋନ୍ ରିଲିଜ୍ (PRH),प्रोलैक्टिन निर्मोचक हॉर्मोन
ପ୍ରୋଲାକ୍ଟିନ୍,प्रोलैक्टिन
ପ୍ରବନ୍ଧ,प्रचुरोद्भवन
ପ୍ରିମିମେରଜମରଣ,"प्राक्विभज्योतक, आद्यविभज्योतक"
ପ୍ରାଥମିକ ମେରିସମରଣ,प्राथमिक विभज्योतक
ଭେମୋଟାଫାଟ୍,"प्राक्मध्यावस्था, प्रमध्यावस्था"
ପ୍ରବୃଣ,प्रवणता
ପ୍ରୁସ ମୂଳ,अवस्तंभ मूल
ପ୍ରାସାଦଶ,प्रवर्ध्य
ଭୋଫାସ୍,पूर्वावस्था
Preyionbibacterium Sermaniii |,प्रॉपीओनिबैक्टीरियम शेर्मनाई
ପ୍ରୋସେନିମର୍ନନ୍ |,अग्रमस्तिष्क
Prosionchiyma,दीर्घऊतक
ପ୍ରୋକାସିସ୍ |,प्रोसोपिस
ପ୍ରୋସ୍ପିସ୍ ସିନେରିଆ (ଖଜ୍ରି),प्रोसोपिस सिनैरेरिया (खेज़ड़ी)
ପ୍ରୋଷ୍ଟାଗ୍ଲାଣ୍ଡିନ୍ |,प्रोस्टाग्लेन्डिन
ପ୍ରୋଷ୍ଟେଟ୍ ଗ୍ରନ୍ଥି |,"पुरःस्थ ग्रंथि, प्रोस्टेट ग्रंथि"
ଭୋଷ୍ଟେସିସ୍,कृत्रिम अंगरोप युक्ति
ପ୍ରୋଥେଟିକ୍ ଗୋଷ୍ଠୀ |,"योजीप्रेरक समूह, प्रोस्थेटिक समूह"
ପ୍ରୋସପୋମିୟମ୍,पुरोमुख
ପ୍ରଣାମ,शयान
ଭେର ମଦ୍ଦାରେ,पुंपूर्वी
ଭାଉଣ୍ଟର,पुंपूर्वता
ତ୍ରୁଟିସେତା |,प्रोटिएसी
ସୁରକ୍ଷିତ,प्रोटिएज़
ସୁରକ୍ଷିତ କ୍ଷେତ୍ର |,रक्षित क्षेत्र
ସୁରକ୍ଷା ବନାନ |,रक्षण वानिकी
ପ୍ରତିରକ୍ଷା,"रक्षी, संरक्षक, रक्षण"
ପ୍ରତିରକ୍ଷା ଯାନ୍ତ୍ରିକତା |,रक्षी क्रियाविधि
ପ୍ରୋଟିନ୍ ଡିଜିଙ୍ଗ୍ ଏନଜାଇମ୍ |,प्रोटीन पाचक एंजाइम
ପ୍ରୋଟିନ୍ ଗ୍ରାନୁଲ୍ |,प्रोटीन कणिका
ପ୍ରୋଟିନ୍ କିନ୍ଜା |,प्रोटीन काइनेस
ପ୍ରୋଟିନ୍ ସିନ୍ଥେସିସ୍ |,प्रोटीन संश्लेषण
ପ୍ରାଥମିକ ହବ୍ |,प्रोटीनमय धुरी
ପ୍ରୋଟିନ୍ସିସ୍ ସ୍ପଞ୍ଜିନ୍ ଫାଇବର |,प्रोटीनी स्पंजिन रेशा
ପ୍ରୋଟିନଏଡ୍ ମାଇକ୍ରୋ ସ୍ପେର୍ |,प्रोटीनाभ सूक्ष्मगोलक
ପ୍ରୋଟିନେରିସିଆ,प्रोटीन मेह
Prorogogleycan,प्रोटियोग्लाइकन
Prorogleys,प्रोटीन अपघटन
PriToLyLicItitn,प्रोटीन अपघटक एंजाइम
ପ୍ରୋଟରମିନାଲ୍ ଯୋଡି |,अंत्यपूर्व युग्मन
ପ୍ରୋଥାଲସ୍ |,प्रोथैलस
ପ୍ରୋଥୋକ୍ରାକ୍ସ |,अग्रवक्ष
ପ୍ରୋଥହର୍ମିନ |,प्रोथ्रोम्बिन
ପ୍ରୋଟିଷ୍ଟ୍ ଆଲଗା |,प्रजीव शैवाल
ପ୍ରମାଣଧାଟାକୁ,"आद्यजीव, प्रोटिस्टा"
ପ୍ରୋଟୋନୋକୋଜେନ |,प्राक्-कैन्सर जीन
ପ୍ରୋଟ୍ରିୟ-,आदिजीव
ପ୍ରୋସୋକର୍ଡଟା |,प्रोटोकॉर्डेटा
ପ୍ରୋଟିକ୍,आदिजीवन
ପ୍ରିଅନ୍ ଗ୍ରେଡିଏଣ୍ଟ୍ |,प्रोटॉन-प्रवणता
ପର୍ମୋମା,प्रथम तंतु
ପ୍ରୋଟପ୍ଲାସମ୍,"जीवद्रव्य, प्रोटोप्लाजम"
ପ୍ରୋଟୋପ୍ଲାଜମ୍ ସଂଗ୍ରହ,जीवद्रव्य संग्रहण
ପ୍ରୋଟୋପ୍ଲାଜ୍ ଏପିଟେଲିୟମ୍ |,जीवद्रव्यी उपकला
ପ୍ରୋଟୋପ୍ଲାଜମିକ୍ ଷ୍ଟାଣ୍ଡ |,जीवद्रव्यी रज्जुक
ପ୍ରୋଟୋପ୍ଲାଜମିକ୍ ଷ୍ଟ୍ରିମିଂ |,जीवद्रव्यी प्रवाह
ପ୍ରୋଟୋପ୍ଲାଜମିକ୍ ପଦାର୍ଥ |,जीवद्रव्यी पदार्थ
ପ୍ରୋଟପଲ୍ ସଂସ୍କୃତି,जीवद्रव्यक संवर्धन
ପ୍ରଣାଳୀ,प्रोटोरिऑन
ପ୍ରୋଟୋଟ୍ରୋଫ,"प्रपोषित, सर्वसंश्लेषी"
ପ୍ରୋଟୋଟାଇପ୍,आदिप्ररूप
ପ୍ରୋଟୋକକ୍ସନ୍,प्राक्आविष
ପ୍ରୋଟଞ୍ଜନ ପରଜୀବୀ |,प्रोटोजोआ परजीवी
ପ୍ରୋଟୋଜୋନ୍,"आदिजंतु, प्रोटोजोआ प्राणी"
ପ୍ରୋଟ୍ୟୁବେରାନ୍ସ |,प्रोद्वर्ध
ପ୍ରକ୍ସିମ,"समीपस्थ, निकटस्थ"
ପ୍ରକ୍ସିମାଲ୍ ନେଫ୍ରନ୍ |,समीपस्थ वृक्काणु
ବଂଶ,बालुकारागी
ଛଉଡିଓକୋମୋଲୋଲ୍ |,कूटप्रगुहिक
ଛଉକୋପୁପୁଲେଟ୍ |,कुटयुग्मन करना
ଛଉଡି ବିମେରୋ |,आभासी भ्रूण
ଛଉଧାରୀ |,आभासी तंतु
ଛଦ୍ମୟୁସ୍ ଫ୍ଲୋରୋସେନ୍ସ |,स्यूडोमोनास फ्लुओरिसेंस
ସିଜଡୋମାନା ପୁଟିୟା |,स्यूडोमोनास प्यूटिडा
ଛଦ୍ମ ଗ୍ୟୁର ଆରକ୍ରିନାନ୍ସ |,स्यूडोमोनास रूब्रिलिनियन्स
ଛୁଆ,"पादाभ, स्यूडोपोडिया"
ଛଉଡିଦୋଡ୍ ଷ୍ଟୋର,बीजाणुपादाभ
ଛଦ୍ମୀୟ ଏପିହେଲିୟମ୍ |,कूटस्तरीय उपकला
ଛଦ୍ଭୁଳପୋଲାର ସ୍ନାୟର କୋଷ ସେଲ୍ |,आभासी एकध्रुवी तंत्रि-कोशिका
Psilloybin,साइलोसाइबिन
Psollphyton,साइलोफाइटॉन
PsilSpesida,साइलॉप्सिडा
କରିଛନ୍ତିସଟୋଟାକୁଲା,सिटैक्यूला
Psittacus,सिटैक्स
ସାଇକୋଆକ୍ଟିଭ୍ drug ଷଧ |,मनःसक्रियक औषधि
ମାନସିକ ବିକୃତି |,मनोवैज्ञानिक विकार
ସାଇକୋମୋମିଟର ବିକାଶ |,मनःप्रेरक विकास
ସାଇକୋମୋଟର୍ ଉତ୍ସାହିତ |,मनःप्रेरक उद्दीपक
ସାଇକ୍ସୋମାଟିକ୍ |,मनःकायिक
ସାଇକ୍ରୋଫିଲିକ୍ |,"निम्नतापप्रिय, शीतरागी"
ଅପ୍ଟିଡୋଫାଇଟା |,टेरिडोफाइटा
ଲଗା,टेरिस
Pterobranch |,पक्षक्लोम
Pteroglutamic,टेरोग्लुटैमिक
ପେଣ୍ଟ୍ରୋଫାଇଲମ୍ |,टेरोफिलम
Pterestida,टेरोप्सिडा
Pterpus |,टेरोपस
D ଉତ୍ତୀପ ଓସମ୍ପାଲାଟ୍ ଗ୍ୟାଙ୍ଗଲିଅନ୍ |,टेरिगोपैलेटाइन गुच्छिका
Ptyalin,टायलिन
ଯ ub ବନାବସ୍ଥା |,यौवनारंभ
ପବ୍ ହାଡ |,जघनास्थि
ପୁବିସ୍,"जघनास्थि, प्यूबिस"
ପୁକିନିଆ |,पक्सिनिया
ପୁଫବଲ୍ |,पफबॉल
ପଗ୍ ମାର୍କ |,पगचिह्न
ମଡେଲ୍ ଟାଣନ୍ତୁ |,पुल मॉडल
ଫୁସଫୁସ ଆର୍ଥିକ |,फुप्फुस धमनी
ଫୁସଫୁସ ଧ୍ୱନାରେ |,फुप्फुसी श्वसन
ଫୁସଫୁସ ସେମିଲୁନାର୍ ଭଲଭ୍ |,फुप्फुस अर्धचंद्र कपाट
ଫୁସଫୁସ ଭଲଭ୍ |,फुप्फुसीय कपाट
ଫୁସଫୁସ ଶିରା |,फुप्फुसी शिरा
ଫୁସଫୁସ ଭେଣ୍ଟିଲେସନ୍ |,फुप्फुस संवातन
ନାଡ,स्पंद
ନାଡ,नाड़ी
ପଲଭିନସ୍,पर्णवृंत तल्प
ଦଣ୍ଡ ସ୍କ୍ୱୋର |,पनेट वर्ग
ପଣ୍ଟି ମାଛ |,पुंटी मीन
ପଣ୍ଟିଅସ୍,पन्टियस
ଛାତ୍ର,"तारा, पुतली"
ଶୁଦ୍ଧ ବନ୍ଧ,शुद्ध वंशज
ଶୁଦ୍ଧ-ପ୍ରଜନନ,शुद्ध प्रजनन
ଶୁଦ୍ଧ ସଂସ୍କୃତି,शुद्ध संवर्ध
ଶୁଦ୍ଧ ରେଖା,शुद्ध वंशक्रम
ଉଦ୍ଦେଶ୍ୟ,प्यूरीन
ଗେମେଟର ଶୁଦ୍ଧତା |,युग्मक शुद्धता
ପୁର୍କିନଜେ ଫାଇବର |,परकिंजे रेशा
ପୁଷା ତୁଷାରପାତ |,पूसा स्नोबॉल
ପୁଷ୍ଟୁଲ୍,स्फोट
ପିଲୋରିକ୍ ​​ଟୁବୁଲାର୍ ଗ୍ରନ୍ଥି |,जठरनिर्गम नलिकाकार ग्रंथि
ପିରାମିଡ୍,पिरैमिड
ବାୟୋମାସର ପିରାମିଡ୍ |,जैवसंहति पिरैमिड
ଶକ୍ତିର ପିରାମିଡ୍ |,ऊर्जा का पिरैमिड
ସଂଖ୍ୟାର ପିରାମିଡ୍ |,संख्या का पिरैमिड
ପିରାମିଡାଲ୍ ସେଲ୍ |,पिरैमिडी कोशिका
Pyridoxine,पिरिडॉक्सिन
Pyrimidine,पिरिमिडीन
ପାଇ୍ ରାଇଟ୍,"पाइराइट, माक्षिक"
Pyrolysis,"तापांशन, ताप अपघटन"
ପ୍ରାଥଭ,पाइरूवेट
ପ୍ରାଥମିକ ଦେହଡ୍ରୋଜେନେଜ୍ |,पाइरूवेट डिहाइड्रोजिनेस
ପାଇଫେଟ୍ ଫସଫେଟ୍ ଡିକିନାସ୍ |,पाइरूवेट फास्फेट डाइ-काइनेस
ପାଇଥନ୍,"अजगर, पाइथन"
ଉଡାଟ୍ରାଟସ୍ |,"वर्ग जालिका, क्वाड्रेट"
ଗୁଣାତ୍ମକ ଆନାଲିଟିକ୍ ବର୍ଣ୍ଣ |,गुणात्मक विश्लेषिक लक्षण
ଗୁଣାତ୍ମକ morphological ଆଭିମୁଖ୍ୟ |,गुणात्मक आकारिकीय उपागम
କ୍ୱାଣ୍ଟିନ,संगरोध
କ୍ୱାସି-ଫ୍ଲୁଇଡ୍ |,अर्थ-तरल
ଚତୁର୍ଦ୍ଦଶ ସମୟ |,चतुर्थक कल्प
Ountalary,"चतुष्क, चतुर्थ"
କ୍ୱର୍କସ୍ ଭୋଗେଣ୍ଡୁଣ୍ଡା |,क्वेर्कस फ्लोरिबंडा
କ୍ୱର୍କସ୍ ଚାନୁଗିନିସ୍ |,क्वेर्कस लैन्यूजिनोस
କ୍ୱେରସ୍କସ୍ ଲହୁକୋଟ୍ରୋଫୋର |,क्वेर्कस ल्यूकोट्राइकोफोरा
କ୍ୱେର୍କସ୍ ସେମିକାର୍ପିଏଲୋଲ୍ |,क्वेर्कस सेमीकार्पिफोलिया
ଶୀଘ୍ର ଅମଳ ବ feature ଶିଷ୍ଟ୍ୟ |,शीघ्र लब्धि लक्षण
Questence,प्रशांति
କ୍ୱିସସେଣ୍ଟ କକ୍ଷ |,प्रशांति कोशिका
କ୍ୱିନ୍,कुनैन
କ୍ୱିସେଣ୍ଟ ଷ୍ଟେଜ୍ |,शांत अवस्था
ରେନିନ୍ ଏନଜାଇମ୍ |,रेनिन एंजाइम
R-cells,आर-कोशिका
Rastem,असीमाक्षी
ଜାତି,असीमाक्षी
ରେସମୋଜ୍ ପ୍ରକାର |,असीमाक्षी प्रकार
ରାଚିସ୍,"प्राक्ष, रैकिस"
ରେଡିଆଲ୍ କଥା ହେଲା |,अरीय अर
ରେଡିଆଲ୍ ସମୃଦ୍ଧତା |,अरीय सममिति
ଉଜ୍ଜ୍ୱଳ,विकिरणी
ରେଡିଆଟା,रेडिएटा (अरक)
ବିକିରଣ,विकिरण
ବିକିରଣ ଡିଟେକ୍ଟର |,विकिरण संसूचक
ବିକିରଣ ଚିକିତ୍ସା,विकिरण चिकित्सा
ରେଡ଼ିଓ,मूलांकुर
ରେଡିଓଆକ୍ଟିଭ୍ ଆଇସୋଟୋପ୍ |,रेडियोऐक्टिव समस्थानिक
ରେଡିଓଆକ୍ଟିଭ୍ ନ୍ୟୁକ୍ଲିୟସ୍ |,रेडियोऐक्टिव नाभिक
ରେଡିଓଆକ୍ଟିଭ୍ ପ୍ରଦୂଷଣ |,रेडियोऐक्टिव प्रदूषण
ରେଡିଓଆକ୍ଟିଟିଭ୍ ଉତ୍ସ |,रेडियोऐक्टिव स्रोत
ରେଡିଓ ଆକ୍ଟସ୍,"रेडियोऐक्टिवता, रेडियोसक्रियता"
ରେଡିଓଗ୍ରାଫ୍,"विकिरणचित्र, रेडियोग्राफ"
ରେଡିଓସୋଟୋପ୍,"विकिरण समस्थानिक, रेडियोआइसोटोप"
ରେଡିଓଥେରାପି |,विकिरण चिकित्सा
ବ୍ୟାସାର୍ଦ୍ଧ,"बहिः प्रकोष्ठिका, रेडिअस"
ରାଡଲା,"रेतीजिह्वा, रैडुला"
ରାମସିଫଟିସ୍ |,रामापिथेकस
ଅନିୟମିତ ଯୋଡି |,यादृच्छिक युग्मन
ଅନିୟମିତ ଭାବରେ |,यादृच्छिकतः
ରାନୁଙ୍କୁଲସ୍ ଆକ୍ୱାଟିଲିସ୍ |,रैननकुलस एक्वेटिलिस
ରାଗ୍ |,रैफी
ରାଫାଇଡ୍ |,रैफाइड्स
ବିରଳ,"दुर्लभ, विरल"
ରସବେରୀ |,रसभरी
Rantus,रैटस
Raulwolia vomitoria,रौवॉल्फिया वोमिटोरिया
କଞ୍ଚାମାଲ୍,कच्चा माल
ରାଇ ଏବଂ ଡିସ୍କ ଫ୍ଲୋରେଟ୍ |,अर एवं बिम्ब पुष्पक
ପ୍ରତିକ୍ରିୟାଶୀଳ |,अभिकारक
ପ୍ରତିକ୍ରିୟା କେନ୍ଦ୍ର,अभिक्रिया केंद्र
Recapitution,पुनरावर्तन
କକ୍ଷ ଗ୍ରହଣ କରିବା |,ग्राही कोशिका
ସମ୍ପ୍ରତି,अभिनव
ଗ୍ରହଣ,"धानी, पात्र"
ରିସେପ୍ଟର,ग्राही
ରିସେପ୍ଟର ମଲୁଲ୍ |,ग्राही अणु
ଅବକ୍ଷୟ ଆଲେଲେ |,अप्रभावी विकल्पी
ରିସେସ୍ସିଭ୍ ଏଫିଷ୍ଟାସ୍ |,अप्रभावी प्रबलता
ରିସେସ୍ସିଭ୍ ଜିନ୍ |,अप्रभावी जीन
ରିସିଭେଭ୍ ସାଂଘାତିକ ଆଲେଲେ |,अप्रभावी घातक विकल्पी
ରିସିସିଭ୍ ୟୁନିଟ୍ ଫ୍ୟାକ୍ଟର୍ |,अप्रभावी यूनिट कारक
ପ୍ରାପ୍ତକର୍ତ୍ତା କକ୍ଷ,आदाता कोशिका
ପାରସ୍ପରିକ କ୍ରୁଶ,व्युत्क्रम प्रसंकरण
ପାରସ୍ପରିକ ସ୍ଥାନାନ୍ତର,पारस्परिक स्थानांतरण
ସ୍ୱୀକୃତି ସାଇଟ୍,अभिज्ञान स्थल
Relmbinant,पुनर्योगज
Relomcinant d.n.a. ଟେକ୍ନୋଲୋଜି,पुनर्योगज डी.एन.ए. प्रौद्योगिकी
Relmbinant ପ୍ରୋଟିନ୍ |,पुनर्योगज प्रोटीन
ରେଖମ,पुनर्योजन
ପୁନ omm ନିର୍ମାଣ DNA,पुनर्योजन डी.एन.ए.
ରେଖବେମିନେସନ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,पुनर्योजन आवृत्ति
ପୁନରାବୃତ୍ତି ନୋଡୁଲ୍ |,पुनर्योजन ग्रंथिका
ପୁନରୁଦ୍ଧାର ଷ୍ଟ୍ରୋକ୍ |,पुनःप्राप्ति स्ट्रोक
ରେକ୍ଟମ୍ |,"मलाशय, रेक्टम"
ନାଲି ଆଲଗା |,लाल शैवाल
ଲାଲ ରକ୍ତ କଣିକା (rbc),लाल रूधिर कोशिका (आर.बी.सी.)
ନାଲି ହାଡ ମଜ୍ଜା |,लाल अस्थि मज्जा
ନାଲି ମାଂସପେଶୀ |,लाल पेशी
ନାଲି ରଙ୍ଗର |,लाल वर्णक
ଚିନାଗାରର ଲାଲ୍ ଘୂର୍ଣ୍ଣନ |,गन्ने का लाल विगलन
ନାଲି ଟିଡ୍ |,लाल ज्वार
ରେଡକ୍ସ,रेडॉक्स
ଫଳ ହ୍ରାସ,कम फल आना
ହ୍ରାସ ହୋଇଥିବା ଟେଲବୋନ୍ ହ୍ରାସ |,लघुभूत पुच्छास्थि
ରିହାତକାଜାଜ,रिडक्टेस
ହ୍ରାସ,अपचयन
ହ୍ରାସ-ଅକ୍ସିଡେସନ୍ (ରେଡକ୍ସ),"अपचयन - ऑक्सीकरण, अपोपचयन"
ହ୍ରାସକାରୀ ଅମୃତ |,अपचायक अमीनीकरण
ପୃଷ୍ଠଭୂମି,परावर्ती पृष्ठ
ବିଶୋଧନ,परिष्करण
ପ୍ରତିଫଳିତ,परावर्तित
ପ୍ରତିଫଳନ,परावर्तन
ପ୍ରତିଫଳନ କାର୍ଯ୍ୟ |,प्रतिवर्ती क्रिया
ରେଫ୍ଲେକ୍ସ ଆର୍କ |,प्रतिवर्त चाप
ପ୍ରତିକାର,अपवर्तन
ପ୍ରତିକ୍ରିୟାଶୀଳ ସୂଚକାଙ୍କ |,अपवर्तनांक
ଫ୍ରିଜ୍ କରନ୍ତୁ |,प्रशीतित करना
ପୁନ el ନିର୍ମାଣ,पुनरूद्भवन
ପୁନ el ନିର୍ମାଣ,पुनरुत्पादन
ପୁନ el ନିର୍ମାଣ,पुनर्जनन
ପୁନ en ନିର୍ମାଣକାରୀ ଏକକ |,प्रशीतन यूनिट
ପୁନ en ନିର୍ମାଣ ବ୍ଲାଷ୍ଟମା |,पुनरुद्भवनी प्रमुकुल
ତ୍ରୁଟିର ପୁନ ener ନିର୍ମାଣ |,मुकुल का पुनरुद्भवन
ପ୍ଲାଣ୍ଟଲେଟ୍ ର ପୁନ ener ନିର୍ମାଣ |,पादपक पुनरुत्पादन
ଅଞ୍ଚଳ,क्षेत्र
ବିସ୍ତାରର ଅଞ୍ଚଳ |,दीर्घीकरण क्षेत्र
ପରିପକ୍ୱତାର ଅଞ୍ଚଳ |,परिपक्वन क्षेत्र
ରିଗ୍ରେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,समाश्रयण गुणांक
ନିୟମ,नियमन
ପୁନ is ନିର୍ମାଣର ମେମ୍ବ୍ରେନ୍ |,"राइसनर कला, राइसनर झिल्ली"
ଆପେକ୍ଷିକ ପ୍ରଚୁରତା |,सापेक्ष प्रचुरता
ଆରାମ,शिथिलन
ଆରାମ,विश्रांति
ଆରାମଦାୟକ,रिलैक्सिन
ରିଲିଜ୍ ଫ୍ୟାକ୍ଟର୍ (RF),विमोचन कारक
ରିମିକି ରିମୋଟା |,रेमोरा
ବୃକକ୍ କାଲକୁଲିୋଇ |,"गुर्दे की पथरी, वृक्क अश्मरी"
ରେନାଲ୍ କର୍ଟେକ୍ସ |,वृक्क वल्कुट
ରନାଲ୍ ମେଡୁଲା |,वृक्क मज्जा
ବୃନାଲ ପୋର୍ଟାଲ୍ ସିଷ୍ଟମ୍ |,वृक्क निवाहिका तंत्र
ରନାଲ୍ ପିରାମିଡ୍ |,वृक्क पिरैमिड
ବୃନାଲ ଗୁପ୍ତ,वृक्क स्राव
ରେନେଟ୍ ଟାବଲେଟ୍ |,रेनेट टिकिया
ରେନିନ୍ |,रेनिन
ମରାମତି ପୁନ en ନିର୍ମାଣ |,सुधारक पुनरुद्भवन
ପୁନରାବୃତ୍ତି DNA,पुनरावर्ती डी.एन.ए.
ପ୍ରତିସ୍ଥାପନ ସ୍ତର,प्रतिस्थापन स्तर
ବଦଳ ଅଗ୍ରଗାମୀ |,प्रतिस्थापन शल्यक्रिया
ପ୍ରତିକୃତି,प्रतिकृति प्लेटन
ନକଲ,प्रतिकृति
ନକଲ,प्रतिकृतीयन
ନକଲ ଫଙ୍କ୍ |,प्रतिकृतीयन द्विशाख
ନକଲକାରୀ |,प्रतिकृतिकारक
ରେପୋଲାରିସନ୍ ତରଙ୍ଗ |,पुनध्रुवर्ण तरंग
ଯୁକ୍ତିଯୁକ୍ତ,दमनशील
ଦମନକାରୀ ଅଣୁ |,दमनकारी अणु
ପ୍ରଜନନ,"जनन, पुनरुत्पादन"
ପ୍ରଜନନ ଏବଂ ଶିଶୁ ସ୍ୱାସ୍ଥ୍ୟ ସେବା |,जनन एवं बाल स्वास्थ्य देखभाल
ପ୍ରଜନନ ସ୍ୱାସ୍ଥ୍ୟ କାର୍ଯ୍ୟକ୍ରମ |,जनन स्वास्थ्य कार्यक्रम
ପ୍ରଜନନ ବିଚ୍ଛିନ୍ନତା |,जनन विलगन
ପ୍ରଜନନ ଟ୍ରାକ୍ଟ |,जनन पथ
ପ୍ରଜନନ,"जननता, जननक्षमता"
ସରୀସୃପ,सरीसृप
ଟ୍ରାଭେଲିଲିଆ,रेप्टीलिया
ରିସେପ୍ଟିଲିଆନ୍ ଜହ୍ନ ଉପକରଣ |,सरीसृप जबड़ा उपकरण
ପୁନରୁତ୍ଥାନ,रिसर्पिन
ସଂରକ୍ଷଣ ସେଲ୍ |,"निचित कोशिका, निचय कोशिका"
ଅବଶିଷ୍ଟ ଶରୀର,अवशिष्ट पिंड
ଅବଶିଷ୍ଟ ଶକ୍ତି,अवशिष्ट ऊर्जा
ଅବଶିଷ୍ଟ ଭଲ୍ୟୁମ୍,अवशिष्ट आयतन
ରେଜିନ,"रेजिन, राल"
ସମାଧାନ,वियोजन
ଶକ୍ତିର ସମାଧାନ,"वियोजन क्षमता, विभेदन क्षमता"
ପର୍ସନ୍,अनुनाद
ଶୂନ୍ୟ,श्वसन
ଶ୍ୱାସକ୍ରିୟା,"श्वसनी, श्वसन"
ଶ୍ୱାସକ୍ରିୟା କେନ୍ଦ୍ର,श्वसन केंद्र
ଶ୍ୱାସକ୍ରିୟା ମେମ୍ବ୍ରେନ୍ |,श्वसन-झिल्ली
ଶ୍ୱାସକ୍ରିୟା ଅଙ୍ଗ,श्वसन-अंग
ଶ୍ୱାସକ୍ରିୟା ପିଗମେଣ୍ଟ |,श्वसन वर्णक
ଶ୍ୱାସକ୍ରିୟା ସବଷ୍ଟ୍ରେଟ୍ |,श्वसन-पदार्थ
ପ୍ରତିକ୍ରିୟା,अनुक्रिया करना
ବିଶ୍ରାମ ଅବଧି,सुप्तिकाल
ମାଟି ଉର୍ବରତା ପୁନରୁଦ୍ଧାର କରିବା |,मृदा उर्वरता पुनःस्थापन
ପ୍ରତିବନ୍ଧକ ଏଣ୍ଡନାଡ୍ୟୁଜ୍ |,प्रतिबंधन एंडोन्यूक्लिएज
ପ୍ରତିବନ୍ଧକ ଏନଜାଇମ୍ |,प्रतिबंधन एंजाइम
ପ୍ରତିବନ୍ଧକ ଖଣ୍ଡର ଦ length ର୍ଘ୍ୟ ବିଶ୍ଳେଷଣ |,प्रतिबंध खंड दैर्ध्य विश्लेषण
ପ୍ରତିବନ୍ଧକ ସାଇଟ୍ |,प्रतिबंधन स्थल
ୱାଲପିଣ୍ଡି ପୁନଶ୍ଚାନ୍ତୁ |,मैलपीगी जालिका
ରେଟ୍ ଟେଷ୍ଟିସ୍ ପୁନର କରନ୍ତୁ |,वृषण जालिका
ଅବଧାରଣ,धारण
ଲେଖନ୍ତୁ,जालिकारूपी
ମତ୍ସ୍ୟଚନଗୁଡିକ,जालिकारूपी शिराविन्यास
ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତ ଶିରା |,जालिकायित शिरा
ରେଟିନିନା,दृष्टिपटल
ରେଟିନାଲ,दृष्टिपटलीय
ରେଟିନାଲ୍ ପ୍ରତିଛବି |,दृष्टिपटलीय प्रतिबिंब
ପ୍ରତ୍ୟାବର୍ତ୍ତନ ଯୋଗ୍ୟ ଧାରା |,प्रतिक्रामी प्रवृत्ति
ରେଟ୍ରୋଭିରସ୍ |,पश्च-विषाणु
ଓଲଟା ବିବର୍ତ୍ତନ |,उत्क्रमित विकास
ଓଲଟା ଓସମୋସିସ୍ |,उत्क्रम परासरण
ଓଲଟା ଟ୍ରାନ୍ସକ୍ରିବ୍ |,उत्क्रम अनुलेखन करना
ଓଲଟା ଟ୍ରାନ୍ସକ୍ରିପ୍ଟ |,उत्क्रम ट्रांसक्रिप्टेज
ଓଲଟା ଟ୍ରାନ୍ସକ୍ରିପସନ୍ |,उत्क्रम अनुलेखन
RH (RHESUS) ରକ୍ତ ଗୋଷ୍ଠୀ |,आर एच. (रीसस) रुधिर वर्ग
ରାହାବଭିସ୍,रैब्डाइटिस
ଦେଶବାହୀ,रेब्डॉम
Rhacoforus,रैकोफोरस
ରିମାଟିକ୍ ଜ୍ୱର |,रूमेटी ज्वर
R ଥିମାଟିକ୍ ହାର୍ଟ ରୋଗ |,रूमेटी हृद्रोग
ରିମାଟିଜିମ୍ |,"रूमेटिज्म, आमवात"
ରିମୋଟିଟୋଏଡ୍ ଆର୍ଥ୍ରାଇଟିସ୍ |,रूमेटी संधिशोथ
Rhino verus,रीनो विषाणु
Rhizobium Muniloti,राइजोबियम मैलिलोटाइ
Rhizଏଦ,मूलाभास
ରାଇଜୋମ୍ |,राइजोम
Rhizopha,राइजोफोरा
Rhizopus,राइजोपस
ରୋମ ଫ୍ୟାକ୍ଟର୍ |,Rho कारक
ରୋଡୋ ହୋଡୋଫିସିୟା |,रोडोफाइसी
ରୋଡୋପ୍ସିନ୍ |,रॉडोप्सिन
RHobenencehonlon),रॉमबेनसेफैलॉन
ରାଇନିଆ,राइनिया
ଗୀତିକ ସଂକୋଚନ |,लयबद्ध संकुचन
ପଟି,"पर्शुका, पसली"
Riboflinvin,राइबोफ्लेविन
ରିବନ୍ୟୁକ୍ଲେଜ୍ |,राइबोन्यूक्लिएज
Ribose,राइबोज
Ribosomal rna,राइबोसोमीय आर.एन.ए.
Ribooseome,राइबोसोम
ରିବୁଲୋଜ୍ ଦ୍ୱି-ଫସଫେଟ୍ |,रिबुलोस बाइफॉस्फेट
ରିକସ୍ |,रिकेट्स
ରିକେଟେଟିଆ |,रिकेट्सिया
ରିଜ୍,कटक
