ab initio,அடி முதலே
summarily,ஒட்டுமொத்தமாக
summary,"தொகுப்பு, பொழிப்பு, சுருக்கம்"
summary trial,சுருக்க விசாரணை
summing up,"தொகுத்துரைத்தல், முடிவுரை"
summit,"1. கொடு முடி, உச்சி 2. உச்சி மாநாடு"
summon,"1. அழைப்பாணை 2. அழைப்பாணை அனுப்பு, வரவழை"
sumptuary allowance,விருந்தோம்பல் படி
sundry,சில்லறையான
suo moto,"தானாகவே, தன்னிச்சையாக"
super timescale,அதிகப்படி காலமதிப்பு
superannuation,வயது முதிர்வு ஓய்வு
superannuation pension,"வயது முதிர்வு ஓய்வூதியம், மூப்பு ஓய்வூதியம்"
superficial,"மேலீடான, ஆழமற்ற"
superfluous,"தேவைக்கு மிகுதியான, மிகையான"
superimpose,"மேலும் விதி, மேலும் சுமத்து"
superior,1. மேலதிகாரி 2. மேம்பட்ட
superiority,"உயர்வு, மேம்பாடு"
supernumerary,மிகையான
supernumerary post,மிகையான பதவி இடம்
superscribe,மேலெழுது
superscription,"முகவரி, மேலெழுதுதல்"
supersede,கலைத்துக் கைக்கொள்
supersession,"கலைத்துக் கைக்கொள்ளல், பதிலிட்ட சுற்றீடு"
superstructure,மேற்கட்டுமானம்
supertax,மிகைவரி
supervision,மேற்பார்வை
supervisor,மேற்பார்வையாளர்
supervisory staff,மேற்பார்வைப் பணியாளர்
supplement,"1. சேர்ப்பு, இணைப்பு 2. நாளிதழ்ச் சிறப்பு வெளியீடு"
supplementary,1. துணை 2. தொடர்பான
supplementary budget,துணை வரவுசெலவுத் திட்டம்
supplementary cost,பிற்சேர்க்கை விலைமதிப்பு
supplementary demand,பிற்சேர்க்கை கோரல்
supplementary grant,துணை மானியம்
supplementary question,தொடர் வினா
supplementary rules,துணை விதிகள்
supplier,வழங்குபவர்
supply,"தேவைப் பொருள், வழங்கு பொருள்"
support,"ஆதரவு, தாங்கு"
supporter,"ஆதரவாளர், துணையாளர்"
supporting documents,"ஆதரவான ஆவணங்கள், சான்றுக்குரிய ஆவணங்கள்"
suppress,"அடக்கு, ஒடுக்கு"
supremacy,"தனி முதன்மை, மேலாதிக்கம், மீயுயர் ஆணையுரிமை"
supreme,"உச்ச உயர்வான, ஒப்புயர்வற்ற"
surcharge,"மேல்வரி, தண்டக் கட்டணம்"
surety,பிணையம்
surety bond,பிணை முறி
surface inspection,மேலளவிலான ஆய்வு
surface transport,தரைவழிப் போக்குவரத்து
surgery,அறுவை சிகிச்சை
surname,குடும்பப் பெயர்
surplus,மிகை
surplus budget,உபரி வரவுசெலவு அறிக்கை
surplus report,உபரி அறிக்கை
surplus staff,உபரிப் பணியாளர்
surprise check,திடுமென சோதனை செய்
surprise visit,திடீர் வருகை
surrender,"ஒப்புவிப்பு, புகலடை, சரணடை"
surroundings,"சுற்றுப்புறம், சூழல்"
surtax,மிகை வரி
surveillance,கடுங்கண்காணிப்பு
survey,நில அளவை
survey report,நில அளவை அறிக்கை
survival,"எஞ்சுதல், உயிர் பிழைத்திருத்தல்"
surviving,"எஞ்சியிருக்கின்ற, உயிர்வாழ்கின்ற, தொடர்ந்த வாழ்தல்"
survivor,எஞ்சியவர்
susceptibility,"ஏற்கும் பண்புள்ள, இயல்புற்ற"
suspect,"ஐயத்திற்குரியவர், ஐயம் கொள்"
suspend,"தற்காலிகமாக நீக்கு, தற்காலிகமாக நிறுத்தி வை"
suspense,"தொங்கலில் உள்ள, முடிவுறாத, புதிரான, பிடிபடாத"
suspense account,தனிக் கணக்கு
suspension,(வேலை) நிறுத்திவைத்தல்
suspension order,"நிறுத்தி வைத்தல் ஆணை, வேலைநீக்க ஆணை"
suspicion,"ஐயம், சந்தேகம்"
sustainable,நீடிக்கக்கூடிய
sustainable growth,"நீடித்த வளர்ச்சி, சுற்றுச்சூழல் தீங்கற்ற வளர்ச்சி"
sustained,"தளராது நீடித்த, தொடர்ந்த, விடா உறுதி வாய்ந்த"
swear,"உறுதி கூறு, உறுதிமொழி, சூளுரை"
swearing-in-ceremony,பதவி ஏற்பு விழா
syllabus,பாடத் திட்டம்
symbol,"அடையாளம், சின்னம்"
symmetry,செப்பம்
sympathy,"பரிவு, இரக்கம்"
sympathy strike,ஆதரவு வேலைநிறுத்தம்
symposium,கருத்தரங்கு
symptom,"நோய்க்குறி, முன் அறிகுறி"
synchronise,"ஒரே காலத்தில் நிகழ், ஒத்திசைவாக்கு"
synopsis,"சுருக்கம், பொழிப்பு"
synthesis,"கூட்டு, கலவை"
synthetic,"செயற்கையான, செயற்கைச் சேர்மமான"
system,முறை
systematic,முறையான
systematic work,"முறைப்படி ஆய்வு செய், படிப்படியே ஆய்வு செய்"
systems analysis,கணினிப் பகுப்பாய்வு
tab folder,"தாவல் அடைவு, கோப்புறை"
table,1. மேசை 2. அட்டவணை
table of contents,"பொருளடக்க அட்டவணை, பொருளடக்க வரிசை"
table of the house,அவை முன்
tableau,"ஒப்பனைக் காட்சி ஊர்தி, அலங்கார ஊர்தி"
tabular,அட்டவணைப்படுத்திய
tabulated statement,அட்டவணைப்படுத்திய அறிக்கை
tabulation,அட்டவணையிடு
tabulator,"அட்டவணையாளர், அட்டவணைப்படுத்துபவர்"
tackle,"சமாளி, எதிர்த்துப் போராடு"
tact,"நயமான நடத்தை, சாமர்த்தியம்"
tactful,"நுண் திறமுள்ள, சாமர்த்தியமான"
tactic,"தந்திர முறை, சூழ்வினைத் திறன்"
tag,"கூர் புரி, இணைப்புப் புரி"
take home pay,கையில் கிடைக்கும் சம்பளம்
take over,"பொறுப்பேற்பு, பொறுப்பு மாற்றிக்கொள், பொறுப்பேற்றுக்கொள்"
talent search,"திறனாளரைத் தேடுதல், திறமையை ஆராய்தல்"
talented,"திறன்வாய்ந்த, திறமை பெற்ற"
tally,"நேர் செய்தல், சரி செய்தல்"
tally card,ஒப்புமை அட்டை
tampering,"மோசடியான மாற்றம், மோசடியான திருத்தம்"
tangible,"தெளிவான, உறுதியான"
tangible asset,அசையாச் சொத்துகள்
tape,"1. நாடா, பட்டை, வார்ப்பட்டை 2. ஒலிப்பதிவு நாடா"
tapping,"1. கள்ளிறக்கு, குழாயில் திருகிப்பிடி 2. செய்தியை அறி"
tardiness,மெத்தனம்
target,"இலக்கு, குறிக்கோள்"
target date,இலக்கு நாள்
tariff,"சுங்க வரி, கட்டண வீதப் பட்டியல்"
tarnish,"கறை, களங்கம்"
task,"இடுபணி, கடும் உழைப்பு, கடமைப் பொறுப்பு"
task force,சிறப்புப் பணிப்பிரிவு
tax,வரி
tax abatement,வரிக் குறைப்பு
tax adjustment,வரி இசைவிப்பு
tax assessment,வரி மதிப்பீடு
tax avoidance (tax loophole),"வரி தவிர்ப்பு, வரி ஏய்ப்பு"
tax consultant,வரி ஆலோசகர்
tax declaration,வரி பிரகடனம்
tax deducted at source,வழங்குமிடத்துப் பிடித்தம் செய்யப்படும் வரி
tax deduction,வரிப் பிடித்தம்
tax evasion,வரி ஏய்த்தல்
tax exemption,வரி விலக்கு
tax free,வரியற்ற
tax payer,வரி செலுத்துநர்
tax rebate,வரி தள்ளுபடி
tax return,வருடாந்திர வரி அறிக்கை
tax schedule,வரிவிதிப்பு அட்டவணை
taxable,வரிக்கு உட்பட்ட
taxable income,"வரியிடத்தக்க வருமானம், வரி விதிக்கத்தக்க வருமானம்"
taxation,வரி விதிப்பு
team spirit,"குழு ஊக்கம், கூட்டு முயற்சி"
team work,குழு முயற்சி
tear gas,கண்ணீர்ப் புகை
technical,தொழில்நுட்ப
technical advice,தொழில்நுட்ப அறிவுரை
technical college,தொழில்நுட்பக் கல்லூரி
technical data,தொழில்நுட்பத் தரவு
technical post,தொழில்நுட்பப் பதவி
technical qualification,தொழில்நுட்பத் தகுதி
technical skill,தொழில்நுட்ப ஆற்றல்
technical term,தொழில்நுட்பச் சொல்
technical training,தொழில்நுட்பப் பயிற்சி
technician,தொழில்நுட்பப் பணியாளர்
technique,"செய்முறை நுட்பம், உத்தி"
technocracy,தொழில்நுட்ப வல்லுநர் நிர்வாகம்
technocrat,தொழில்நுட்ப அறிஞராட்சிக் கோட்பாட்டாளர்
technological,தொழில்நுட்பவியல் சார்ந்த
technologist,தொழில்நுட்பவியலாளர்
technology,தொழில்நுட்பவியல்
telebanking,தொலைபேசிவழி வங்கிச்சேவை
telegram,"தந்தி, தந்திச் செய்தி"
telegraphic address,தந்தி முகவரி
telegraphy,தந்திமுறை
teleprinter message,தொலைத் தட்டச்சு வழிச்செய்தி
television,தொலைக்காட்சி
teleworking,தொலைபேசிவழிப் பணி
telex,தொலையச்சு
teller,காசாளர்
temper,"1. உறுதிநிலை 2. மனநிலை, விருப்பு"
temperament,"உளப்பாங்கு, உணர்ச்சி இயல்பு, மனப்போக்கு"
temperamental,எதிர்பாராது மாறும் மனப்பாங்கு
temperature,தட்பவெப்பநிலை
tempo,"இசைவேகம், உத்வேகம், தெம்புணர்வு"
temporary,"தற்காலிகமான, நிலையர்ற"
temporary advance,தற்காலிக முன்பணம்
temporary appointment,தற்காலிகப் பணியமர்ப்பு
temporary disability,தற்காலிக ஊனம்
temporary post,தற்காலிகப் பதவி
temporary restriction,தற்காலிகக் கட்டுப்பாடு
temporary vacancy,தற்காலிகக் காலியிடம்
temptation,"கவர்ந்திழுப்பு, வேட்புணர்வு, இழுகவர்ச்சி"
tenable,"நிலைக்கக்கூடிய, ஏற்றுக்கொள்ளக்கூடிய"
tenacity,விடாப்பிடியான
tenancy,"நிலவார உரிமை, பயிரிடும் உரிமை, குத்தகை"
tenant,"குடியிருப்பவர், குத்தகைதாரர்"
tendency,"போக்கு, சார்பு"
tender,ஒப்பந்தப் புள்ளி
tender box,"ஒப்பந்தப்புள்ளிப் பெட்டி, ஒப்ப அறிவிப்புப் பெட்டி"
tender notice,ஒப்பந்தப்புள்ளி அறிவிப்பு
tenderer,ஒப்பந்தப்புள்ளிக்காரர்
tentative,"ஆயநிலையான, தற்காலிகமான"
tenure,"1. பதவிக்காலம், உரிமைக் காலம் 2 உடைமை உரிமை"
tenure of land,நிலப்பிடிமான உரிமைக்காலம்
tenure of office,"பதவிக்காலக்கெடு, பணியில் இருக்கும் காலம்"
tenure of post,பதவிக்கால அளவு
tenure of work,பணிக்கால அளவு
tenure post,உரிமைக்காலப் பணியிடம்
term,"1. சொல் 2. வரையறைக் காலம், பருவம்"
term loan,காலவரம்புடைய கடன்
term of office,"அலுவல் காலம், பதவிக் காலம்"
terminable,"முடிவுறுத்தத்தக்க, சிறிது காலத்துக்குப்பின் முடிவடையத்தக்க"
terminal (report etc.),இறுதி(அறிக்கை முதலியன)
terminal tax,"முடிவுறு வரி, சேர்முனை வரி, முடியும் இடத்திற்குரிய வரி"
termination,"1. முடிவு, இறுதிநிலை 2. பணி நீக்கம்"
termination clause,"பணிமுடிப்புப் பகுதி, பணிமுடிப்பு விதி"
termination notice,பணி முடிவுறுத்தல் அறிவிப்பு
termination of service,பணிமுடிப்புச் செய்தல்
terminology,"சொல்லியல், குறிப்பிட்ட துறைக்குரிய சொல்லாட்சி"
terms,"1. சொற்கள் 2. வரையறை, நிபந்தனைகள்"
terms and conditions,விதிமுறைகளும் வரையறைகளும்
terms of delivery,ஒப்படைப்பு நிபந்தனைகள்
terms of reference,குழுவின் ஆய்வெல்லை
terms of service,பணி நிபந்தனைகள்
territory,1. ஆட்சிப்பகுதி 2. நிலப்பகுதி
terror,"அச்சமூட்டுகிற, திகிலூட்டுகிற"
terrorism,"வன்முறைச் செயல், கொடுங்கோன்மை"
terrorist,"வன்முறையாளர், தீவிரவாதி"
tertiary benefit,மூன்றாம்நிலைப் பயன்கள்
test,"1. தேர்வு, தேர்வாய்வு 2. போட்டி ஆட்டம் 3. சோதனை"
test charge,சோதனைக் கட்டணம்
test check,"சோதனைச் சரிபார்ப்பு, தேர்வாய்வுச் சரிபார்ப்பு"
testament,சாசனம்
tester,"ஆய்வாளர், தேர்வாய்வாளர்"
testify,"சான்றளி, உறுதிப்படுத்து"
testimonial,நற்சான்றிதழ்
testimony,"சான்று, சான்றுரை"
testing report,சோதித்த அறிக்கை
text,"1. மூலப்பாடம், மூலப்பொருள், பாடம் 2. உரை"
thankful,நன்றியுள்ள
theme,கருப்பொருள்
therapy,"மருத்துவம், சிகிச்சை"
third party,"மூன்றாமவர், மூன்றாம் தரப்பு"
thoroughly,"முற்றிலுமாக, முழுமையாக"
thoughtful,"சிந்தனையார்ந்த, எண்ணிப் பார்க்கிற"
threat,"அச்சுறுத்தல், மருட்டம்"
thrift,"சிக்கனம், சேமிப்பு"
through,"மூலமாக, வழியாக"
throw out,வெளியே தள்ளு
thumb impression,பெருவிரல் பதிவு
thumping majority,மிகப் பெரும்பான்மை
ticket,சீட்டு
tie,"1. இழுபறி, சமமான நிலை, சிக்கல், வெற்றி தோல்வி இல்லா நிலை 2. முடிச்சு 3. கழுத்துப் பட்டி"
tied loan,இணைக்கப்பட்ட கடன்
tier,"அடுக்கு, வரிசை"
tilt,"ஒருபுறமாகச் சாய்தல், ஒருபுறமாகச் சரிதல்"
time,"காலம், நேரம்"
time allowed,அனுமதிக்கப்பட்ட நேரம்
time barred,"காலாவதியான, காலங்கடந்த"
time bound,காலவரையறைக்குட்பட்ட
time card,பணிநேர அட்டை
time deposit (=fixed deposit),குறித்த கால வைப்பு நிதி
time keeping,பணிநேரம் பதிவுசெய்தல்
time limit,கால வரம்பு
time off,இடைவேளை
time overrun,காலம் மிகக் கழிந்த
time rate (time work),நேரப்படியான ஊதியம்
time recording machine,காலம் குறிக்கும் பொறி
time scale,கால அளவை
time schedule,"காலம் குறிப்பிடப்பட்ட, நேர அட்டவணை"
time stamp,கால முத்திரை
time study equipment,கால ஆய்வுச்சாதனம்
time table,கால அட்டவணை
timed programme,நேரம் நிர்ணயித்த நிகழ்ச்சி
timing,கால நேரம்
tips,"குறிப்புக்கொடு, தூண்டு, சிறு துப்பு"
title,"1. தலைப்பு, பட்டப் பெயர் 2. உரிமை"
title holder,பட்டம் பெற்றவர்கள்
toilet,கழிப்பறை
token,"அடையாளம், அடையாள வில்லை, அறிகுறி"
token member,அடையாள உறுப்பினர்
token pay,அடையாள ஊதியம்
token strike,அடையாள வேலைநிறுத்தம்
tone,"குரலோசை, குரலமைவு"
tone down,"மந்தப்படுத்து, தணிவாக்கு"
tone up,"தொனியை உயர்த்து, அதிகப்படுத்து"
tool,கருவி
tool down strike,கருவி தொடா வேலை நிறுத்தம்
top,"உச்சி, மேல், பிறரை மிஞ்சு, வெல்"
top level discussion,உச்சநிலைப் பேச்சுவார்த்தை
top management,"உயர்நிலை நிர்வாகம், மேல்மட்ட நிர்வாகம்"
top official,உயர் அதிகாரி
top priority,உச்ச முதன்மை
top ranking,உச்ச நிலையில் உள்ள
top secret,"மேலான கமுக்கம், மிகவும் இரகசியமான"
topic,"தலைப்பு, முதற்பொருள்"
topmost,"மிக உயர்வான, உச்ச உயர்நிலையுள்ள"
topography,இட அமைப்பியல்
torture,சித்திரவதை
total,"மொத்தம், முழுமையான, கூட்டு"
total service,மொத்தப் பணிக்காலம்
tough,"1. கெட்டிப்பான, கட்டுறுதியான 2. கடுமையான, பிடிவாதமுடைய"
tour,"சுற்றுப்பயணம், சுற்றுலா"
tour programme,"பயண நிரல், பயணத்திட்டம்"
tour report,பயண அறிக்கை
tout,தரகர்
town (city),"நகரம், பேரூர், பட்டணம்"
township,நகரியம்
trace,"1. தடம், சுவடு, பதிவடையாளம் 2. கண்டுபிடி 3. வரை"
tract,"நிலப்பரப்புவெளி, திணைநலம்"
traction,இழுவை
trade agreement,வர்த்தக ஒப்பந்தம்
trade union,தொழிற்சங்கம்
tradition,"மரபு, பாரம்பரியம்"
train,"இருப்பூர்தி, தொடர்வண்டி"
trainee,பயிற்சி பெறுபவர்
traineeship,பயிற்சிப் பருவம்
trainer,பயிற்சி அளிப்பவர்
training,பயிற்சி
training centre,பயிற்சி மையம்
training college,பயிற்சிக் கல்லூரி
training division,பயிற்சித் துறை
training institute,பயிற்சி நிறுவனம்
training period,பயிற்சிக் காலம்
training programme,பயிற்சித் திட்டம்
training unit,பயிற்சிப் பிரிவு
trait,"தனித்திறக்கூறு, தனிப்பண்புத் திறம்"
traitor,"காட்டிக்கொடுப்பவன், துரோகி"
tranquility,அமைதி
transaction,"வணிக நடவடிக்கை, புழக்கம்"
transaction of business,அலுவல் நடவடிக்கை
transcription,"பார்த்து எழுதுதல், ஒலிப்புக்கேற்ப வரைதல், படி எடுத்தல்"
transfer,"பணி மாற்றம், இட மாற்றம்"
transfer entry,மாற்றல் குறிப்பு
transfer fee,மாற்றல் கட்டணம்
transfer memorandum,மாற்றாணைக் குறிப்பு
transfer on deputation,"வேற்றுப்பணியின் பேரில் மாற்றம், மாற்றுப்பணியின் பேரில் மாற்றம்"
transfer order,மாற்றல் ஆணை
transferable goods,மாற்றத்தக்க சரக்குகள்
transformation,"மாற்றம், உருமாற்றம்"
transit,"புடைபெயர்வு, இடம் கடந்து செல்க"
transit duty,இடம்பெயர்வுக் கட்டணம்
transit pass,"இடக்கடப்பு அனுமதி, கடப்புச்சீட்டு"
transit visa,"இடைத்தங்கல் அனுமதி, கடந்துசெல் அனுமதி"
transit workshop,நகரும் பணிமனை
transitional,"மாறிடையான, மாறிடைக்கால"
translation,"மொழிபெயர்ப்பு, மொழியாக்கம்"
transliteration,"ஒலிபெயர்ப்பு, எழுத்துப் பெயர்ப்பு"
transmission,"1. அனுப்புகை, செலுத்துகை 2. ஒலிபரப்புகை"
transmit,"அனுப்பு, செலுத்து, பரப்பு"
transport,"போக்குவரத்து, ஏற்றிச் செல்லுதல்"
transport allowance,பயணப்படி
transportation,"கொண்டு செல்லல், அனுப்புதல், சரக்கேற்றிச் செல்லுதல்"
transposition,இடம் மாற்றி வைப்பு
trap,"கண்ணி, வலைப்பொறி, சிக்கவை"
travel,பயணம்
travel expenses,பயணச் செலவுகள்
traveller’s cheque,பயணியர் காசோலை
travelling allowance,பயணப் படி
travelling allowance bill,பயணப்படிப் பட்டி
travelling concession,பயணச் சலுகை
treachery,நம்பிக்கை துரோகம்
treason,"தேசத் துரோகம், ராஜதுரோகம்"
treasury,கருவூலம்
treasury bench,சட்டமன்ற ஆளுங்கட்சி இருக்கைகள்
treasury deposit receipt (T.D.R.),கருவூல செலுத்து தொகை பற்றுச்சீட்டு
treasury receipt,"கருவூலப் பற்றுச்சீட்டு, கருவூல வரவு"
treasury voucher,கருவூலச் செலவுச் சீட்டு
treat,1. இன்ப விருந்து 2. இன்செய்தி 3. நடத்து 4. மருத்துவம் செய்
treaty,நாட்டிடை உடன்படிக்கை
treaty of extradition,நாட்டுக்கு ஒப்படைக்கும் ஒப்பந்தம்
trek,மலையேற்றம்
trend,"போக்கு, நாட்டம்"
trespass,"அத்து மீறுகை, எல்லை கடந்து செல்லுதல்"
trial,வழக்கு விசாரணை
trial balance,ஐந்தொகை
trial period,விசாரணைக்கால அளவு
tribal area development,பழங்குடியினர் பகுதி முன்னேற்றம்
tribal welfare,பழங்குடியினர் நலம்
tribe,பழங்குடி
tribunal,தீர்ப்பாயம்
tribute,"புகழுரை, பாராட்டு"
trim,"மிகைநீக்கு, ஒழுங்குபட வெட்டு"
trip,சிறு பயணம்
tripartite,"முப்பகுதிகளாகவுள்ள, முத்தரப்பு"
triple,"மும்மடங்கான, முக்கூறான"
triplicate,"முப்படியாக, மூன்றாம் படி"
true copy,"உண்மைப் படி, நேர்படி"
trunk call,"நெடுந்தொலைபேசி, நெடுந்தொலைப் பேச்சு"
trust,"நம்பிக்கை, பொறுப்பாட்சி"
trustee,பொறுப்பாட்சியர்
trustworthy,நம்பிக்கைக்குரிய
turn down,"ஏற்க மறு, தள்ளுபடி செய்"
turnkey basis,தொடக்கம் முதல் இறுதிவரையான ஏற்பாடு
turnout,"1. விளைபயன், செய்துமுடித்த அளவு 2. வாக்குப்பதிவு"
turnover,"விற்பனை அளவு, விற்றுமுதல்"
turpitude,"இழிகுணம், ஒழுங்கீனம், கயமை"
tutelage,"அடைக்கலத்தில் இரு, பிறர் பொறுப்பில் இரு"
twin city,இரட்டை நகரம்
twin sharing basis,"இரட்டைப் பகிர்வு அடிப்படை, இருவர் பகிர்மானம்"
type,"1. அச்சு 2. வகை, மாதிரி 3. தட்டச்சு"
typescript,"கையால் அச்சடி, தட்டச்சு செய்த எழுத்து"
typewriter,தட்டச்சுப் பொறி
typewriting,தட்டச்சு செய்தல்
typical,"மாதிரி, எடுத்துக்காட்டான, உருமாதிரியான"
typing,தட்டச்சு செய்
typing machine,தட்டச்சுக் கருவி
typing pool,மாதிரி வகைகள்
typographical error,தட்டச்சுப் பிழை
ulterior motive,"உள்நோக்கம், மறைமுக நோக்கம்"
ultimate,"இறுதிமுடிவான, கடைமுடிவான"
ultimate consignee,"கடைசியாகப் பெறுபவர், முடிவாகப் பெறுபவர்"
ultimate cost,இறுதிச் செலவுத் தொகை
ultimate goal,"இறுதிக் குறிக்கோள், முடிவான குறிக்கோள்"
ultimate objective,இறுதி நோக்கம்
ultimately,கடைசி முடிவாக
ultimatum,இறுதி எச்சரிக்கை
ultimo,சென்ற திங்களில்
ultravires,அதிகார வரம்பிழந்த
umpire,ஆட்ட நடுவர்
unacceptable,ஏற்க முடியாத
unaccompanied baggage,"தனிச்சுமைக்கட்டு, தனி மூட்டை"
unaided,"மானிய உதவிபெறாத, நிதி உதவி இல்லாத"
unambiguous,"பொருள் மயக்கமற்ற, நேரடிப் பொருள் தருகிற"
unanimity,"ஒருமுகப்போக்கு, ஒருமித்த தன்மை"
unanimous,ஒருமித்த
unanimous decision,ஒருமித்த முடிவு
unassuming,தற்பெருமையில்லாத
unattached,"பற்றற்ற, எதிலும் சேராத, தனித்த"
unauthorized,"அதிகாரம் பெறாத, உரிமையற்ற, அங்கீகாரமற்ற"
unavoidable,தவிர்க்க இயலா
unavoidable circumstances,தவிர்க்க இயலா சூழ்நிலைகள்
unavoidable delay,தவிர்க்க இயலாத தாமதம்
unbecoming,"தகுதிக்கேற்றதாக இல்லாத, இசைவுக்கேடான"
uncashed,பணமாற்றம் செய்யாத
uncertain,"உறுதியில்லாத, நிலையற்ற"
unclaimed,உரிமை கோரப்படாத
unclaimed baggage,உரிமை கோரப்படாத பை
unclassified,(இரகசிய)வகைப்படுத்தப்படாத
uncommitted,பொறுப்பில் ஈடுபாடற்ற
uncommon,வழக்கத்திற்கு மாறான
uncompromising,"விட்டுக்கொடுக்காத, விடாப்பிடியான, இணங்காத, உறுதியான"
unconditional,நிபந்தனையற்ற
unconfirmed,"உறுதிப்படுத்தப்படாத, உறுதிசெய்யப்படாத"
unconfirmed report,உறுதிப்படுத்தப்படாத அறிக்கை
unconstitutional,அரசமைப்புச் சட்டத்திற்கு முரணான
uncontested,"எதிர்ப்பின்றி, போட்டியின்றி, எதிராளியில்லாமல்"
uncontrolled,கட்டுப்படுத்தப்படாத
uncorroborated,உறுதியூட்டப்பெறாத
uncovered demand,"உள்ளடங்காத கோரிக்கை, வழக்குரையில் இடம் பெறாத உரிமை"
undated,தேதியிடப்படாத
undelivered letter,சேர்க்கப்படாத கடிதம்
under,கீழ்
under assessment,குறை மதிப்பீடு
under billing,"மலிவான விலை குறிக்கப்பட்ட, கட்டணம் குறை"
under certificate of posting,சான்று பொருந்திய அஞ்சல்வழி
under consideration,"பரிசீலனையில் உள்ளது, ஆய்வில் உள்ளது"
under employed,குறை வேலைபெற்ற
under employment,குறை வேலைவாய்ப்பு
under examination,பரிசீலனையிலுள்ளது
under invoicing,"பொருள்பட்டிக்குள் இடம்பெறாத, குறைவான விலைப்பட்டி"
under reference,பார்வையின் படி
under-age,வயது வராதவர்
under-estimate,குறைத்து மதிப்பிடு
under-hand dealing,"திருட்டுத்தனமான செயல், நயவஞ்சகமான செயல்"
under-manned,குறை மேலாண்மை உடைய
under-paid,போதிய ஊதியம் பெறா
under-population,குறை மக்கள்தொகை
under-production,"உற்பத்திக் குறைவு, தேவைக்கு ஈடற்ற உற்பத்தி"
under-utilization,"குறைவான பயன்பாடு, பயன்பாட்டிலுள்ள"
under-valuation,குறைவான மதிப்பீடு
underconsumption,குறை நுகர்ச்சி
underdeveloped,வளர்ச்சியடையாத
undergraduate,"இளநிலைபயில் மாணவர், பட்ட முன் மாணவர்"
underground,1. தலைமறைவாக 2. நிலத்தடியில்
underlined,"அடிக்கோடு, அடிக்கோடிட்ட"
undersigned,கீழே ஒப்பமிட்டுள்ளவர்
understanding,"உணர்திறன், உடன்பாடு"
undertake,"மேற்கொள், ஏற்றுக்கொள், உறுதி அளி"
undertaking,"உறுதிமொழி, தொழில் நிறுவனம், வணிக நிறுவனம்"
undertrial,விசாரணைக் கைதி
undesirable,"விரும்பத்தகாத, வெறுக்கத்தக்க"
undignified,கண்ணியமற்ற
undisbursed loan,பகிர்ந்தளிக்கப்படாத கடன்
undisputed,"விவாதத்திற்கு இடமற்ற, மறுக்க முடியாத"
undivided,பிரிக்கப்படாத
undoubtedly,"உறுதியாக, ஐயமின்றி"
undue,"தகாத, அளவுக்கு மேற்பட்ட"
undue delay,"தகாத தாமதம், தேவையற்ற சுணக்கம்"
undue influence,தகாத செல்வாக்கு
unearned income,ஈட்டாத வருவாய்
unearth,"தோண்டியெடு, கண்டு வெளிப்படுத்து"
uneconomical,"சிக்கனமற்ற, கட்டுபடியாகாத"
unemployment,வேலையின்மை
uneven land,சீரற்ற நிலம்
unexpected delay,எதிர்பாராத தாமதம்
unexpired,காலாவதியாகாத
unfair,"நியாயமற்ற, நேர்மையற்ற, செவ்வையற்ற"
unfair dismissal,நியாயமற்ற பணிநீக்கம்
unfair labour practices,நியாயமற்ற தொழில்துறை நடைமுறைகள்
unfair means,நேர்மையற்ற வழியில்
unfavourable,"எதிரான, அனுகூலமற்ற"
unfit,"தகுதியற்ற, பொருத்தமற்ற"
unfit for promotion,பதவி உயர்வுக்குத் தகுதியற்ற/பொருத்தமில்லாத
unforeseen,எதிர்பார்க்காத
unforeseen charges,"எதிர்பார்க்காத குற்றச்சாட்டுகள், எதிர்பார்க்காத கட்டணங்கள்"
unforeseen circumstances,எதிர்பார்க்காத சூழ்நிலைகள்
unicameral,ஒரே அவையுடைய
unicameral legislature,ஒரே அவையுடைய சட்டமன்றம்
unification,ஒன்றுபடுத்தல்
unified scale,ஒன்றுபடுத்திய ஊதியவிகித முறை
uniform,"1. ஒருபடித்தான, ஒரு சீரான 2. சீருடை"
uniform increase,ஒருசீரான உயர்வு
uniformity,"ஒரு சீர்மை, ஒத்திசைவான"
unilateral,"ஒருதலையான, ஒருதலைப்பட்சமான"
unilateral action,"ஒருதலையான நடவடிக்கை, ஒருதலையான செயல்"
uninterrupted power supply (UPS),தடையற்ற மின் வழங்கல்
uninterrupted service,"இடைமுறிவில்லாப் பணி, இடையறாத பணி, தொடர்பணி"
union,ஒன்றியம்
union list,மைய அரசின் அதிகாரப் பட்டியல்
union territory,மைய அரசின் எல்லைக்குட்பட்ட பகுதி
unionism,ஒருமைத்தன்மை
unique,"தனித்தன்மை வாய்ந்த, தன்னேரில்லா"
unit,"அலகு, பிரிவு"
unitary,ஒற்றையான
united,ஒன்றிணைக்கப்பட்ட
unity,ஒற்றுமை
universal,"உலக தழுவிய, எல்லோருக்குமான, உலகளாவிய"
unjust,"நேர்மையற்ற, நீதியற்ற, நியாயமற்ற"
unlawful,சட்டத்திற்கெதிரான
unlawful purpose,சட்டப்புறம்பான நோக்கம்
unlimited,வரம்பில்லா
unlimited power,வரம்பில்லா ஆற்றல்
unlisted,பட்டியலில் இடம் பெறாத
unloading,சுமையிறக்கு
unmarried,திருமணமாகா
unnatural,இயற்கைக்கு மாறான
unnatural death,இயற்கைக்கு மாறான மரணம்
unnecessary,தேவையில்லாத
unofficial,அலுவல்முறை சாராத
