Telugu,Marathi
రియాక్టివ్ లోడ్,प्रतिक्रियाशील भार
రీజెంట్ ఎచింగ్,अभिकर्मक एचिंग
రియల్ టైమ్ ట్రాన్స్మిషన్,रिअल टाइम ट्रान्समिशन
రీబ్రోడ్కాస్టింగ్,पुनर्बांधणी
రిసీవర్,प्राप्तकर्ता
యాంటెన్నా స్వీకరించడం,अँटेना प्राप्त
స్వీకరించే కేంద్రం,प्राप्त केंद्र
రిసెప్షన్,रिसेप्शन
రిసెప్షన్ నివేదిక,रिसेप्शन रिपोर्ट
రిసెప్షన్ సర్వే,रिसेप्शन सर्वेक्षण
పరస్పరం,परस्पर
పునర్నిర్మాణ వడపోత,पुनर्रचना फिल्टर
రికార్డ్ చేయదగినది,रेकॉर्ड करण्यायोग्य
రికార్డ్ చేయబడింది,रेकॉर्ड
రికార్డర్,रेकॉर्डर
రికార్డింగ్,मुद्रित करणे
రికార్డింగ్ బూత్,रेकॉर्डिंग बूथ
రికార్డింగ్ హెడ్,रेकॉर्डिंग हेड
డిస్క్‌లో రికార్డింగ్,डिस्कवर रेकॉर्डिंग
రికార్డింగ్ గది,रेकॉर्डिंग रूम
రికార్డింగ్ వ్యవస్థ,रेकॉर्डिंग सिस्टम
రికార్డింగ్ టేప్,रेकॉर्डिंग टेप
సరిదిద్దడం,दुरुस्ती
సరిదిద్దబడిన సిగ్నల్,सुधारित सिग्नल
రెక్టిఫైయర్,सुधारक
రీసైకిల్,रिसायकल
పునరావృతం,रिडंडंसी
అనవసరమై,निरर्थक
పునరావృత మూలకం,निरर्थक घटक
తిరిగి ఇంజనీరింగ్,पुन्हा अभियंता
తిరిగి స్వాధీనం,पुन्हा प्रवेश
రిఫరెన్స్ ఫ్రీక్వెన్సీ,संदर्भ वारंवारता
సూచన విలువ,संदर्भ मूल्य
పొరను ప్రతిబింబిస్తుంది,प्रतिबिंबित थर
మాధ్యమం ప్రతిబింబిస్తుంది,प्रतिबिंबित माध्यम
ఉపరితలం ప్రతిబింబిస్తుంది,प्रतिबिंबित पृष्ठभाग
ప్రతిబింబం,प्रतिबिंब
రిఫ్లెక్టర్,परावर्तक
యాంటెన్నా కోసం రిఫ్లెక్టర్,अँटेना साठी परावर्तक
వక్రీభవనం,अपवर्तन
వక్రీభవన సూచిక,अपवर्तक सूचकांक
శీతలీకరణ,रेफ्रिजरेशन
పునరుత్పత్తి,पुनर्जन्म
రిజిస్టర్,नोंदणी करा
వాల్వ్‌ను నియంత్రించడం,झडप नियंत्रित करणे
నియంత్రణ,नियमन
రెగ్యులేటర్,नियामक
నియంత్రణ,नियामक
అదనపుబల o,मजबुतीकरण
రిలేషనల్,संबंधीत
సాపేక్ష అనుమతి,सापेक्ष परवानगी
రిలే,रिले
రిలే సెంటర్,रिले सेंटर
రిలే మ్యూటింగ్,रिले निःशब्द
రిలే ట్రాన్స్మిటర్,रिले ट्रान्समीटर
విడుదల,सोडणे
వోల్ట్‌ను విడుదల చేయండి,रिलीज नाही व्होल्ट
విశ్వసనీయత,विश्वसनीयता
నమ్మదగినది,विश्वसनीय
రిమోట్,दूरस्थ
రిమోట్ కంట్రోల్,रिमोट कंट्रोल
రిమోట్ కంట్రోల్ మరియు నావిగేషన్ సిస్టమ్,रिमोट कंट्रोल आणि नेव्हिगेशन सिस्टम
రిమోట్ కంట్రోల్ యూనిట్,रिमोट कंट्रोल युनिट
రిమోట్ సిస్టమ్,रिमोट सिस्टम
రిమోట్‌గా నియంత్రించబడిన పరికరాలు,दूरस्थपणे नियंत्रित उपकरणे
కాయిల్‌ను పునరావృతం చేయండి,कॉइलची पुनरावृत्ती करा
రిపీటర్,रीपिटर
పున ment స్థాపన,बदली
నింపడం,पुन्हा भरती
పునరుత్పత్తి,पुनरुत्पादित
పునరుత్పత్తి,पुनरुत्पादन
తిరిగి రికార్డింగ్,पुन्हा रेकॉर्डिंग
పరిశోధన మరియు అభివృద్ధి,संशोधन आणि विकास
రీసెట్,रीसेट
అవశేషాల పునర్నిర్మాణం,अवशिष्ट रीशफलिंग
అవశేషాలు,अवशेष
ప్రతిఘటన,प्रतिकार
నిరోధక లోడ్,प्रतिकार भार
రెసిస్టర్,प्रतिरोधक
స్పష్టత,ठराव
ప్రతిధ్వని,अनुनाद
ప్రతిధ్వని ఫ్రీక్వెన్సీ,अनुनाद वारंवारता
ప్రతిధ్వని,अनुनाद
ప్రతిధ్వనించే లైన్,रेझोनंट लाइन
ప్రతిధ్వని,अनुनाद
వనరు,संसाधन
వనరుల భాగస్వామ్యం,संसाधन सामायिकरण
ప్రతిస్పందించే కాలం,प्रतिसाद कालावधी
ప్రతిస్పందన,प्रतिसाद
పునరుద్ధరణ,जीर्णोद्धार
ఫలితం,परिणामी
నిలుపుదల,धारणा
పున rans ప్రసారం,Retransmission
తిరిగి పొందడం,पुनर्प्राप्ती
తిరిగి పొందే ఇంజిన్,पुनर्प्राप्ती इंजिन
మళ్లీ ప్రయత్నించండి,पुन्हा प्रयत्न करा
తిరిగి,परत
తిరిగి మార్గం,परत मार्ग
ప్రతిధ్వని,पुनर्विचार
ప్రతిధ్వని సమయం,पुनर्विचार वेळ
రివర్స్ బయాస్డ్ డయోడ్,रिव्हर्स बायस्ड डायोड
రివర్స్ కరెంట్,उलट करंट
రివాల్వింగ్,रिव्हॉल्व्हिंग
రివైండ్,रिवाइंड
పునర్వ్యవస్థీకరణ ఫ్యూజ్,रीवायरेबल फ्यूज
రివైరింగ్,रीवायरिंग
తిరిగి వ్రాయబడుతుంది,पुन्हा लिहिण्यायोग्य
RF డ్రైవ్,आरएफ ड्राइव्ह
RF ఫీడర్,आरएफ फीडर
RF ప్రమాదాలు,आरएफ धोके
RF రక్షణ నిష్పత్తి,आरएफ संरक्षण प्रमाण
రియోస్టాట్,Rheostat
రిబ్బన్,रिबन
రివెట్,Rivet
రివర్టెడ్ ఉమ్మడి,Riveteted संयुक्त
రివర్టింగ్,Rivetting
RN ఛానల్,आरएन चॅनेल
రోబోట్,रोबोट
రోబోటిక్స్,रोबोटिक्स
వరుసలో,रोल इन
విడుదల,बाहेर पडा
రూట్,मूळ
రోటరీ,रोटरी
భ్రమణం,रोटेशन
మార్గం,मार्ग
రౌటర్,राउटर
సాధారణ కార్యకలాపాలు,नियमित ऑपरेशन्स
రౌటింగ్,मार्ग
రన్ సమయం,वेळ धाव
భద్రతా అమరిక,सुरक्षा व्यवस्था
భద్రతా ఇంటర్‌లాక్,सुरक्षा इंटरलॉक
సాగ్,Sag
విశిష్ట లక్షణాలు,ठळक वैशिष्ट्ये
నమూనా,नमुना
నమూనా మరియు హోల్డ్ సర్క్యూట్,नमुना आणि होल्ड सर्किट
నమూనా పరిమాణం,नमुन्याचा आकार
నమూనా డేటా,नमुना डेटा
నమూనా,नमुना
మాదిరి రేటు,नमूना दर
నమూనా సంతృప్తత,नमुना संपृक्तता
మాదిరి సిద్ధాంతం,नमुना सिद्धांत/प्रमेय
ఉపగ్రహ,उपग्रह
ఉపగ్రహ కమ్యూనికేషన్,उपग्रह संप्रेषण
ఉపగ్రహ కవరేజ్,उपग्रह कव्हरेज
ఉపగ్రహ డిజిటల్ లింక్,उपग्रह डिजिटल दुवा
ఉపగ్రహ జోక్యం,उपग्रह हस्तक्षेप
ఉపగ్రహ రేడియో,उपग्रह रेडिओ
ఉపగ్రహ రేడియో ప్రసారం,उपग्रह रेडिओ ट्रान्समिशन
ఉపగ్రహ ప్రసారం,उपग्रह प्रसारण
సంతృప్త గాలి,संतृप्त हवा
సంతృప్త కరెంట్,सॅच्युरेटिंग करंट
సంతృప్తత,संपृक्तता
టూత్ వేవ్ చూసింది,दात लाट सॉ
స్కేలబిలిటీ,स्केलेबिलिटी
స్కేల్,स्केल
స్కేల్ ఫ్యాక్టర్,स्केल फॅक्टर
స్కేలింగ్,स्केलिंग
స్కాన్ చేసిన పుంజం,स्कॅन केलेले बीम
స్కానర్,स्कॅनर
స్కానింగ్ ఫ్రీక్వెన్సీ,स्कॅनिंग वारंवारता
స్కానింగ్ లైన్,स्कॅनिंग लाइन
స్కాటరింగ్,विखुरलेले
దృష్టాంతంలో,परिस्थिती
షెడ్యూలర్,शेड्यूलर
స్కీమాటిక్,योजनाबद्ध
షాట్‌కీ అవరోధం,शॉटकी अडथळा
సింటిలేషన్,Scintillation
స్క్రాంబ్లర్,स्क्रॅम्बलर
స్క్రాంబ్లింగ్,स्क्रॅम्बलिंग
స్క్రాప్,स्क्रॅप
స్క్రాపింగ్,स्क्रॅपिंग
స్క్రాచ్,स्क्रॅच
స్క్రీన్,स्क्रीन
స్క్రీన్ బర్న్,स्क्रीन बर्न
స్క్రీన్ బైపాస్,स्क्रीन बायपास
స్క్రీన్ కరెంట్,स्क्रीन करंट
స్క్రీన్ గ్రిడ్,स्क्रीन ग्रीड
స్క్రీన్ సేవర్,स्क्रीन सेव्हर
స్క్రీన్‌డ్ కేబుల్,स्क्रीनिंग केबल
స్క్రీనింగ్,स्क्रीनिंग
స్క్రోల్,स्क्रोल
స్కోర్ల్ బార్,स्क्रोल बार
స్క్రోలింగ్,स्क्रोलिंग
శోధన యంత్రము,शोध इंजिन
ద్వితీయ,दुय्यम
ద్వితీయ సెల్,दुय्यम सेल
రంగం,क्षेत्र
విభాగం,विभाग
స్వీయ విశ్లేషణ,सेल्फ डायग्नोस्टिक
సెమీకండక్టర్,अर्धसंवाहक
పంపినవారు,प्रेषक
సున్నితత్వం,संवेदनशीलता
నమోదు చేయు పరికరము,सेन्सर
సీక్వెన్స్,क्रम
క్రమ,अनुक्रमांक
సీరియల్ యాక్సెస్,अनुक्रमांक प्रवेश
సీరియల్ పోర్ట్,सिरियल पोर्ट
సిరీస్ ప్రతిధ్వని,मालिका अनुनाद
సర్వర్,सर्व्हर
సెటప్,सेटअप
షేడింగ్,शेडिंग
నీడ,सावली
షానన్ సిద్ధాంతం,शॅननचे प्रमेय
షేపింగ్,आकार
షేర్‌వేర్,सामायिकवेअर
కోశం,म्यान
మార్పు,शिफ्ट
తరలించడం,शिफ्टिंग
షాక్,शॉक
షార్ట్ సర్క్యూట్,शॉर्ट सर्किट
షార్ట్ సర్క్యూట్ పరీక్ష,शॉर्ट सर्किट चाचणी
చిన్న తరంగం,शॉर्ट वेव्ह
షార్ట్ వేవ్ సెంటర్,शॉर्ट वेव्ह सेंटर
సత్వరమార్గం,शॉर्टकट
షట్డౌన్,शटडाउन
షట్డౌన్ సిగ్నల్,शटडाउन सिग्नल
సైడ్ బ్యాండ్,साइड बँड
సైడ్ బ్యాండ్ శక్తి,साइड बँड पॉवर
సిగ్నల్,सिग्नल
సిగ్నల్ వ్యాప్తి,सिग्नल मोठेपणा
సిగ్నల్ ఫ్లో గ్రాఫ్,सिग्नल फ्लो आलेख
సిగ్నల్ జనరేటర్,सिग्नल जनरेटर
సిగ్నల్ లైట్,सिग्नल लाइट
సిగ్నల్ రౌటింగ్,सिग्नल राउटिंग
సిగ్నల్ బలం,सिग्नल सामर्थ्य
సిగ్నల్ టు క్రాస్ టాక్ రేషియో,क्रॉस टॉक रेशोचे सिग्नल
శబ్దం నిష్పత్తికి సిగ్నల్,आवाजाचे प्रमाण सिग्नल
విస్మరించని శబ్దం నిష్పత్తికి సిగ్నల్,अन्वाट ध्वनी प्रमाण सिग्नल
సిగ్నలింగ్ మరియు మారడం,सिग्नलिंग आणि स्विचिंग
సిగ్నలింగ్ బిట్,सिग्नलिंग बिट
ముఖ్యమైన సైడ్‌బ్యాండ్‌లు,महत्त्वपूर्ण साइडबँड
సింప్లెక్స్,सिम्प्लेक्स
అనుకరణ,सिम्युलेशन
సిమ్యులేటర్,सिम्युलेटर
సిమల్‌కాస్ట్,सिमुलकास्ट
ఏకకాల మాస్కింగ్,एकाचवेळी मुखवटा
సైన్ భాగం,साइन घटक
సైన్ తరంగం,साइन वेव्ह
సింగిల్ ఫ్రీక్వెన్సీ నెట్‌వర్క్,एकल वारंवारता नेटवर्क
సింగిల్ ఫేజ్ మోటారు,सिंगल फेज मोटर
సైట్,जागा
సైట్ లేఅవుట్ ప్రణాళిక,साइट लेआउट योजना
నైపుణ్యం కలిగిన ఆపరేటర్,कुशल ऑपरेटर
దూరం దాటవేయండి,अंतर वगळा
స్కై వేవ్,स्काय वेव्ह
స్కై వేవ్ ప్రచారం,स्काय वेव्ह प्रसार
స్లాబ్,स्लॅब
స్లాంట్ మార్గం,तिरकस मार्ग
స్లాట్,स्लॉट
స్మార్ట్ కార్డ్,स्मार्ट कार्ड
సోడియం ఆవిరి దీపం,सोडियम वाष्प दिवा
మృదువైన కీ,मऊ की
సాఫ్ట్‌వేర్,सॉफ्टवेअर
సౌర కార్యకలాపాలు,सौर क्रिया
సౌర శక్తి,सौर उर्जा
సౌర మంటలు,सौर flares
సౌర శక్తితో,सौर उर्जा
ఘన స్థితి,ठोस राज्य
ఘన స్థితి నిల్వ,सॉलिड स्टेट स्टोरेज
సాలిడ్ స్టేట్ ట్రాన్స్మిటర్,सॉलिड स्टेट ट्रान्समीटर
క్రమబద్ధీకరించండి,क्रमवारी
ధ్వని,आवाज
ధ్వని శోషణ,ध्वनी शोषण
సౌండ్ బ్యాలెన్స్,ध्वनी शिल्लक
సౌండ్ డిటెక్టర్,ध्वनी शोधक
సౌండ్ మిక్సర్,ध्वनी मिक्सर
ధ్వని దృక్పథం,ध्वनी दृष्टीकोन
సౌండ్ పవర్,ध्वनी शक्ती
సౌండ్ ప్రూఫ్,ध्वनी पुरावा
సౌండ్ రికార్డింగ్,ध्वनी रेकॉर्डिंग
ధ్వని ప్రతిబింబం,ध्वनी प्रतिबिंब
ధ్వని ప్రసార నష్టం,ध्वनी संप्रेषण तोटा
మూలం,स्त्रोत
సోర్స్ ఎన్కోడర్,स्त्रोत एन्कोडर
స్థలం,जागा
అంతరిక్ష వైవిధ్యం,अंतराळ विविधता
స్పేస్ టెలికాస్టింగ్,स्पेस टेलिकास्टिंग
స్పేస్ వేవ్,स्पेस वेव्ह
అంతరం,अंतर
స్పామ్,स्पॅम
స్పామింగ్,स्पॅमिंग
వ్యవధి,कालावधी
విడి బిట్,मोकळा
విడిభాగాలు,अतिरिक्त
స్పార్కింగ్,स्पार्किंग
ప్రాదేశిక,स्थानिक
ప్రాదేశిక ప్రభావం,स्थानिक प्रभाव
ప్రాదేశిక పునరావృతం,स्थानिक रिडंडंसी
ప్రత్యేకమైన ప్రభావం,विशेष प्रभाव
స్పెషల్ ఎఫెక్ట్స్ యాంప్లిఫైయర్,विशेष प्रभाव एम्पलीफायर
స్పెషలైజేషన్,विशेषज्ञता
స్పెసిఫికేషన్,तपशील
స్పెక్ట్రల్ శోషణ,वर्णक्रमीय शोषण
స్పెక్ట్రల్ బ్యాండ్ రెప్లికేషన్,स्पेक्ट्रल बँड प्रतिकृती
స్పెక్ట్రల్ పంపిణీ,वर्णक्रमीय वितरण
స్పెక్ట్రల్ రిడెండెన్సీ,स्पेक्ट्रल रिडंडंसी
స్పెక్ట్రోఫోటోమీటర్,स्पेक्ट्रोफोटोमीटर
స్పెక్ట్రోస్కోప్,स्पेक्ट्रोस्कोप
స్పెక్ట్రం,स्पेक्ट्रम
స్పెక్ట్రమ్ ఎనలైజర్,स्पेक्ट्रम विश्लेषक
స్పెక్ట్రం ఆకృతి,स्पेक्ट्रम आकार
స్పీచ్ ఉచ్చారణ,भाषण बोलणे
స్పీచ్ ఛానల్,भाषण चॅनेल
స్పీచ్ కంప్రెషన్,भाषण कॉम्प्रेशन
స్పీచ్ ఎన్కోడింగ్,भाषण एन्कोडिंग
మాటలు గుర్తుపట్టుట,भाषण ओळख
స్పిన్,स्पिन
మురి,आवर्त
స్ప్లికింగ్,स्प्लिंग
స్ప్లిటర్,स्प्लिटर
స్పూల్,स्पूल
అరుదుగా,तुरळक
స్పాట్ కిరణాలు,स्पॉट बीम
స్ప్రెడ్ షీట్,पसरवा पत्रक
నకిలీ మరియు హార్మొనిక్ రేడియేషన్,उत्तेजक आणि हार्मोनिक रेडिएशन
నకిలీ సైడ్‌బ్యాండ్ పౌన .పున్యాలు,स्पुरियस साइडबँड फ्रिक्वेन्सी
పిండిన వీడియో,पिळलेला व्हिडिओ
స్టాంపింగ్,स्टॅम्पिंग
ప్రామాణిక సాఫ్ట్‌వేర్,मानक सॉफ्टवेअर
ప్రామాణీకరణ,मानकीकरण
స్టాండ్బై,स्टँडबाय
స్టాండ్బై పరికరాలు,स्टँडबाय उपकरणे
స్టాండింగ్ వేవ్,उभे लाट
స్టాండింగ్ వేవ్ రేషియో,स्थायी वेव्ह रेशो
టార్క్ ప్రారంభించడం,टॉर्क प्रारंभ करीत आहे
ప్రారంభ-స్టాప్,स्टार्ट-स्टॉप
స్టాటిక్,स्थिर
గణాంక పద్ధతి,सांख्यिकीय पद्धत
స్థితి,स्थिती
స్థితి సూచన,स्थिती संकेत
స్థిరమైన,स्थिर
స్టీరియో,स्टिरीओ
స్టీరియో బ్యాలెన్స్,स्टीरिओ शिल्लक
స్టీరియో ఎన్కోడర్,स्टीरिओ एन्कोडर
స్టీరియో జనరేటర్,स्टीरिओ जनरेटर
స్టీరియో మోడ్,स्टीरिओ मोड
స్టీరియో ట్రాన్స్మిషన్,स्टीरिओ ट्रान्समिशन
స్టీరియోఫోనిక్ సౌండ్ పునరుత్పత్తి,स्टिरिओफोनिक ध्वनी पुनरुत्पादन
స్టీరియోఫోనీ,स्टिरिओफोनी
స్టీరియోస్కోపీ,स्टिरिओस्कोपी
ఇప్పటికీ చిత్రం,तरीही चित्र
ఉద్దీపన,उत्तेजन
స్టాప్‌బ్యాండ్,स्टॉपबँड
నిల్వ,संचयन
నిల్వ బ్యాటరీ గది,स्टोरेज बॅटरी रूम
నిల్వ పరికరం,स्टोरेज डिव्हाइस
స్ట్రాటో ఆవరణ,स्ट्रॅटोस्फीयर
స్ట్రీమింగ్,प्रवाह
సాగదీయడం,ताणून लांब करणे
స్ట్రింగ్,स्ट्रिंग
నిర్మాణాత్మక,संरचित
స్టూడియో బ్లాక్,स्टुडिओ ब्लॉक
స్టూడియో సెంటర్,स्टुडिओ सेंटर
స్టూడియో లైటింగ్,स्टुडिओ लाइटिंग
స్టూడియో మానిటర్లు,स्टुडिओ मॉनिटर्स
స్టైలస్,स्टाईलस
సబ్‌బ్యాండ్ ఎన్‌కోడింగ్,सबबँड एन्कोडिंग
సబ్‌బ్యాండ్ మాస్కింగ్,सबबँड मास्किंग
సబ్‌బ్యాండ్ నమూనాలు,सबबँड नमुने
సబ్‌నెట్,सबनेट
సబ్‌యాంప్లింగ్,सबसॅम्पलिंग
చందాదారుడు,ग्राहक
ఆకస్మిక అయానోస్పియర్ భంగం,अचानक आयनोस्फीयरचा त्रास
సన్ స్పాట్ కార్యాచరణ,सूर्य स्पॉट क्रियाकलाप
సూపర్ పవర్ ట్రాన్స్మిటర్,सुपर पॉवर ट्रान्समीटर
సూపర్ నమూనా,सुपर सॅम्पलिंग
సూపర్ సాకెట్,सुपर सॉकेट
సూపర్హీట్ ఆవిరి,सुपरहीटेड वाफ
సూపర్హెటెరోడిన్,सुपरहेटरोडिन
సూపర్హెటెరోడైన్ కన్వర్టర్,सुपरहेटरोडिन कन्व्हर्टर
సూపర్హెటెరోడైన్ రిసీవర్,सुपरहेटरोडिन रिसीव्हर
అతిశయోక్తి,सुपरइम्पोज्ड (चालू)
సూపర్‌పోజిషన్,सुपरपोजिशन
సూపర్ స్థానం,सुपरपोजिशन
సూపర్సోనిక్,सुपरसोनिक
సరఫరా వాహిక,पुरवठा नलिका
అణచివేత గ్రిడ్,दडपशाही ग्रीड
ఉపరితల శబ్దం,पृष्ठभागाचा आवाज
ఉపరితల తరంగం,पृष्ठभाग लाट
సర్ఫింగ్,सर्फिंग
ఉప్పెన,लाट
పరిసరాలు,आसपासच्या
ససెప్టెన్స్,संवेदनाक्षमता
ససెప్టబిలిటీ,संवेदनशीलता
సస్పెండ్,निलंबित
స్వాప్,स्वॅप
స్వీప్ సర్క్యూట్,स्वीप सर्किट
స్విచ్,स्विच
స్విచ్ బోర్డు,स्विच बोर्ड
నియంత్రణ యూనిట్ ఆన్ చేయండి,नियंत्रण युनिट चालू करा
మారడం,स्विचिंग
చిహ్నం రేటు,प्रतीक दर
సుష్ట,सममितीय
సమకాలీన,समक्रमित (सिंक्रोनस)
సమకాలీకరణ పల్స్,समक्रमित नाडी
సమకాలీకరణ బదిలీ,समक्रमण हस्तांतरण
సమకాలీకరణ,संकालन
సమకాలీకరించబడింది,समक्रमित
సింక్రోనస్,सिंक्रोनस
సింక్రోనస్ మోటారు,सिंक्रोनस मोटर
సినర్జిక్,Synergic
సినర్జిస్టిక్,Synergistic
సినర్జీ,समन्वय
వాక్యనిర్మాణం,सिंटॅक्टिक
సింటాక్స్,मांडणी
సింటాక్స్ లోపం,वाक्यरचनेची चूक
సింథసైజర్,सिंथेसाइझर
సింథసైజర్ కార్డులు,सिंथेसाइझर कार्ड
వ్యవస్థ,प्रणाली
సిస్టమ్ ఆర్కిటెక్చర్,सिस्टम आर्किटेक्चर
సిస్టమ్ డిజైన్,सिस्टम डिझाइन
సిస్టమ్ మెను,सिस्टम मेनू
ట్యాగ్,टॅग
తిరిగి మాట్లాడు,परत बोला
టేప్,टेप
టేప్ రికార్డర్,टेप रेकोर्डर
టేప్ స్లైసింగ్,टेप काप
దెబ్బతింది,टेपर्ड
లక్ష్యం,लक्ष्य
సుంకం,आयात मालावरील जकात
టాస్క్ బార్,टास्क बार
సాంకేతిక,तांत्रिक
సాంకేతిక సవాలు,तांत्रिक आव्हान
సాంకేతిక అంశాలు,तांत्रिक वैशिष्ट्ये
సాంకేతిక మార్గదర్శకాలు,तांत्रिक मार्गदर्शक तत्त्वे
సాంకేతిక పరామితి,तांत्रिक मापदंड
సాంకేతిక నాణ్యత,तांत्रिक गुणवत्ता
సాంకేతిక స్నాగ్,तांत्रिक स्नॅग
టెక్నిక్,तंत्र
సాంకేతిక పరిమితి,तांत्रिक अडचणी
సాంకేతికం,तंत्रज्ञान
టెక్నాలజీ అసెస్‌మెంట్,तंत्रज्ञान मूल्यांकन
టెలికాస్టింగ్,टेलिकास्टिंग
టెలిసిన్,टेलिसिन
టెలిగ్రఫీ,टेलीग्राफी
టెలిమాటిక్స్,टेलिमेटिक्स
టెలిమెటరింగ్,टेलिमेटरिंग
టెలిఫోన్,टेलिफोन
టెలిటెక్స్ట్,टेलिटेक्स्ट
టెలివిజన్,टेलिव्हिजन
ఉష్ణోగ్రత,तापमान
ఉష్ణోగ్రత నియంత్రణ,तापमान नियंत्रण
తాత్కాలిక,ऐहिक
తాత్కాలిక నిర్వహణ,ऐहिक व्यवस्थापन
తాత్కాలిక పునరావృతం,ऐहिक अनावश्यकता
తన్యత బలం,ताणासंबंधीचा शक्ती
టెన్టకిల్,तंबू
టెరాలి,तेराबाइट (टीबी)
టెర్మినల్,टर्मिनल
టెర్మినల్ ఎడాప్టర్లు,टर्मिनल अ‍ॅडॉप्टर्स
టెర్మినల్ పరికరాలు,टर्मिनल उपकरणे
ముగించడం,संपुष्टात आणणे
ప్రతిఘటనను ముగించడం,समाप्त प्रतिकार
ముగింపు,समाप्ती
టెర్మినేటర్,टर्मिनेटर
టెర్రైన్ ప్రొఫైల్స్,भूप्रदेश प्रोफाइल
తృతీయ వైండింగ్,तृतीयक वळण
పరీక్ష,चाचणी
పరీక్ష డేటా,चाचणी डेटा
పరీక్ష చిత్రం,चाचणी प्रतिमा
పరీక్ష సిగ్నల్,चाचणी सिग्नल
టెస్టర్,परीक्षक
పరీక్ష,चाचणी
పరీక్షలు మరియు కొలత,चाचण्या आणि मोजमाप
ఉష్ణ శబ్దం,थर्मल आवाज
థర్మల్ ఓవర్లోడ్ రిలే,थर्मल ओव्हरलोड रिले
థర్మియోనిక్ రెక్టిఫైయర్,थर्मिओनिक रेक्टिफायर
థర్మోకపుల్,थर्माकोपल
థర్మామీటర్,थर्मामीटर
థర్మోస్టాట్,थर्मोस्टॅट
థింబుల్,थिम्बल
థోరియేటెడ్ ఫిలమెంట్,थोरिएटेड फिलामेंट
థ్రెడ్,धागा
మూడు దశల సరఫరా,तीन टप्प्यात पुरवठा
మూడు దశల ట్రాన్స్ఫార్మర్,तीन फेज ट्रान्सफॉर्मर
ప్రవేశం,उंबरठा
గొంతు మైక్రోఫోన్,घसा मायक्रोफोन
థ్రస్ట్,थ्रस्ट
థైరాట్రాన్,थायरट्रॉन
థైరిస్టర్,थायरिस्टर
వంపు,टिल्ट
టింబ్రే,लाकूड
సమయం,वेळ
టైమ్ బేస్,वेळ बेस
సమయ కోడ్,वेळ कोड
సమయం స్థిరాంకం,वेळ स्थिर
సమయం ఆలస్యం,वेळ विलंब
టైమ్ డొమైన్,वेळ डोमेन
సమయం నమూనా,वेळ नमुना
సమయం సాగదీయడం,वेळ ताणणे
టైమర్,टाइमर
టైటిల్ బార్,शीर्षक पट्टी
To మరియు fro కదలిక,टू आणि फ्रो मोशन
టోగుల్ స్విచ్,टॉगल स्विच
టోకెన్ రింగ్ నెట్‌వర్క్,टोकन रिंग नेटवर्क
ఓరిమి,सहिष्णुता
టోన్ కంట్రోల్,टोन नियंत्रण
టూల్ బార్,टूल बार
సాధనాలు,साधने
దంతాల గేరింగ్,दात तयार
టోపోలాజీ,टोपोलॉजी
టొరాయిడల్ వైండింగ్,टोरॉइडल वळण
టార్క్,टॉर्क
మొత్తం నాణ్యత నిర్వహణ (TQM),एकूण गुणवत्ता व्यवस्थापन (टीक्यूएम)
టోటలైజర్,एकूण
టవర్,टॉवर
ట్రేసర్,ट्रेसर
ట్రేసింగ్,ट्रेसिंग
ట్రాక్,ट्रॅक
ట్రాక్ బాల్,ट्रॅक बॉल
ట్రాకింగ్,ट्रॅकिंग
ట్రాఫిక్ నిర్వహణ,रहदारी व्यवस्थापन
లావాదేవీల ఫైల్ సిస్టమ్,ट्रान्झॅक्शनल फाइल सिस्टम
ట్రాన్స్‌కోడ్,ट्रान्सकोड
ట్రాన్స్‌డ్యూసెర్,ट्रान्सड्यूसर
ట్రాన్సీవర్,ट्रॅनसीव्हर
బదిలీ లక్షణాలు,हस्तांतरण वैशिष्ट्ये
బదిలీ ఫంక్షన్,हस्तांतरण कार्य
ట్రాన్స్ఫార్మర్,रोहीत्र
ట్రాన్స్ఫార్మర్ ఎక్సైటర్,ट्रान्सफॉर्मर एक्झिटर
ట్రాన్స్ఫార్మర్ ట్రాలీ,ट्रान्सफॉर्मर ट्रॉली
తాత్కాలిక,क्षणिक
తాత్కాలిక కోడింగ్,क्षणिक कोडिंग
అస్థిరమైన లోపం,क्षणिक त्रुटी
తాత్కాలిక మార్పిడి,क्षणिक स्विचिंग
ట్రాన్సిస్టర్,ट्रान्झिस्टर
అనువాదం,अनुवाद
అనువాదకుడు,अनुवादक
ప్రసార,संसर्ग
ప్రసార ఇంటర్ఫేస్,ट्रान्समिशन इंटरफेस
ప్రసారణ తంత్రి,ट्रान्समिशन लाइन
ప్రసార నష్టం,ट्रान्समिशन लॉस
ట్రాన్స్మిషన్ స్టూడియో,ट्रान्समिशन स्टुडिओ
ట్రాన్స్మిటర్,ट्रान्समीटर
ట్రాన్స్మిటర్ కంట్రోలర్,ट्रान्समीटर कंट्रोलर
ట్రాన్స్మిటర్ నిర్వహణ,ट्रान्समीटर देखभाल
ట్రాన్స్మిటర్ అవుట్ పుట్ పవర్,ट्रान्समीटर आउट पॉवर ठेवा
యాంటెన్నాను ప్రసారం చేస్తుంది,Ten न्टीना प्रसारित करणे
యాంటెన్నా లాభం ప్రసారం చేస్తుంది,Ten न्टीना गेन प्रसारित करणे
ప్రసార పౌన frequency పున్యం,प्रसारित वारंवारता
ట్రాన్స్మిటింగ్ స్టేషన్,प्रसारित स्टेशन
