Assamese,Marathi
চিহ্ন,सही करा
চিহ্ন সময়কাল,प्रतीक कालावधी
প্ৰতীকী লেবেল,प्रतीकात्मक लेबल
সমকালীন বিভাজক,समकालिक विभाजक
সমকালীন বৰ্তনী,सिंक्रोनस सर्किट
সমকালীন সংকেত,सिंक्रोनस सिग्नल
সমন্বয়ক,सिंक्रोनायझर
সমকালীন কেলকুলেটৰ,सिंक्रोनस कॅल्क्युलेटर
সমকালীন ডিটেক্টৰ,सिंक्रोनस डिटेक्टर
সমকালীন সংক্ৰমণ,सिंक्रोनस ट्रान्समिशन
সমকালীন ধৰা পেলোৱা,समकालिक ओळख
বাক্য গঠন,वाक्य निर्मिती
ফ্ৰিকুৱেন্সি চিন্থেচাইজাৰ,वारंवारता सिंथेसाइझर
"শৰীৰৰ ডিজাইন, ব্যৱস্থাৰ ডিজাইন","शरीर रचना, प्रणाली डिझाइन"
টি-পাই ৰূপান্তৰসমূহ,टी-पाई रूपांतरणे
"টেকোমিটাৰ, ঘূৰ্ণনীয় ভল্টমিটাৰ","टॅकोमीटर, रोटेशनल व्होल्टमीटर"
ঠেংৰ ধাৰা,शेपटीचा प्रवाह
টেংক বৰ্তনী,टाकी सर्किट
টেন্টালাম কেপাচিটৰ,टॅंटलम कॅपेसिटर
বহিষ্কাৰ কৰা,हकालपट्टी
টেপ পুনৰাবৃত্তি,टेप रीप्ले
"ৰিমুভাৰ, এক্সট্ৰেক্টৰ","रिमूव्हर, एक्स्ट्रॅक्टर"
tarbel পৃষ্ঠা,tarbel पृष्ठ
টি-সংযোগকাৰী,टी-कनेक्टर
টেলিডেল্টাছ কাগজ,टेलिडेल्टस पेपर
ট্যুৰ জোখ-মাখ,फेरफटका मापन
"টেলিফোনি, টেলিফোনি","टेलिफोनी, टेलिफोनी"
টেলিগ্ৰাফ,टेलिग्राफर
"টেলিভিছন, দূৰদৰ্শন","दूरदर्शन, दूरदर्शन"
টেলিভিছনৰ কেমেৰা,दूरदर्शन कॅमेरा
টেলিভিছন ৰিচিভাৰ,दूरदर्शन रिसीव्हर
টেলিগন উপপাদ্য,टेलिगॉन प्रमेय
টেট্ৰ&#39;ড,टेट्रोड
তাপ ক্ষতিপূৰণ,उष्णता भरपाई
"ৰাভা, স্ফটিক","rava, क्रिस्टल"
তাপ-ভোল্টেজ ৰূপান্তৰক,उष्णता-व्होल्टेज कनवर्टर
অস্থায়ী তথ্য পঞ্জীয়ন,तात्पुरती डेटा रजिस्टर
টাৰ্মিনেল,टर्मिनल
পৰীক্ষাৰ সীহ,चाचणी आघाडी
পৰীক্ষা সংকেত,चाचणी सिग्नल
চতুৰ্থ পৰমাণু,चतुर्थांश अणू
তাপীয় পানীৰ বৈ যোৱা,थर्मल प्रवाह
তাপীয় পৃথকীকৰণ,थर्मल अलगाव
"তাপীয় শব্দ, তাপীয় শব্দ","थर्मल आवाज, थर्मल आवाज"
তাপীয় অক্সিডেচন,थर्मल ऑक्सीकरण
তাপ প্ৰতিৰোধ ক্ষমতা,थर्मल प्रतिकार
তাপীয় পলায়ন,थर्मल एस्केप
তাপ বিৰতি,उष्णता खंडित
তাপীয় স্থিৰতা,थर्मल स्थिरता
তাপীয় নিৰ্গমন,थर्मिओनिक उत्सर्जन
তাপ প্ৰতিৰোধ ক্ষমতা,उष्णता प्रतिरोध
তাপযুগল,थर्मोकूपल
তাপীয় প্ৰভাৱ,थर्मल प्रभाव
তাপ নিয়ন্ত্ৰক,उष्णता नियंत्रक
থেভেনিন উপপাদ্য,थेवेनिन प्रमेय
পাতল আৱৰণ,पातळ पडदा
পাতল পৰ্দাৰ কেপাচিটৰ,पातळ पडदा कॅपेसिटर
পাতল পৰ্দাৰ প্ৰতিৰোধ ক্ষমতা,पातळ पडदा प्रतिकार
থ’ৰিয়াম আৱৰণযুক্ত টাংষ্টেন কেথ’ড,थोरियम लेपित टंगस्टन कॅथोड
ক্ষমতা নিয়ম,शक्ती नियम
ট্ৰিপল চাৰ্কিট,तिहेरी सर्किट
ত্ৰি-ৰাজ্যৰ ৰাম,त्रि-राज्य राम
ট্ৰাই-এণ্ড নিয়ন্ত্ৰক,ट्राय-एंड रेग्युलेटर
sill ডিটেক্টৰ,सिल डिटेक्टर
sill ভল্টেজ,खिडकीच्या चौकटीचा खालचा आडवा व्होल्टेज
থাইৰাট্ৰন টিউব,थायरट्रॉन ट्यूब
"পুনৰ বিনিয়োগ, অল্পকালীন","पुनर्गुंतवणूक, अल्पायुषी"
টিকলাৰ দোলক,टिकलर ऑसिलेटर
টাইট কাপলিং,घट्ट जोडणी
হেলনীয়া কৰা,तिरपा
সময় ভিত্তিক বৰ্তনী,वेळ आधारित सर्किट
টাইমাৰ জেনেৰেটৰ,टाइमर जनरेटर
টাইম বেচ ভল্টেজ,वेळ बेस व्होल्टेज
কল বিলম্ব,कॉल विलंब
সময় মণ্ডল প্ৰতিফলনশীলতা,टाइम झोन परावर्तकता
টাইম মাৰ্কাৰ জেনেৰেটৰ,वेळ मार्कर जनरेटर
কাল ভাগী,काळ भागी
সময় উইন্ডো,वेळ विंडो
টাইমিং মোড চুইচিং,टाइमिंग मोड स्विचिंग
"সময় নিয়ন্ত্ৰক, সময় নিয়ন্ত্ৰক","वेळ नियंत्रक, वेळ नियंत्रक"
কল কন্ট্ৰ&#39;লাৰ মটৰ,कंट्रोलर मोटरवर कॉल करा
সময় নিৰ্ধাৰণ ডায়াগ্ৰাম,वेळ सेट आकृती
সময় সমন্বয় jitter,वेळ समायोजन गोंधळ
ক্ৰ&#39;ন&#39;মিটাৰ মাৰ্কাৰ জেনেৰেটৰ,क्रोनोमीटर मार्कर जनरेटर
কল এডজাষ্টাৰ নেটৱৰ্ক,कॉल समायोजक नेटवर्क
টি-নেটৱৰ্ক,टी-नेटवर्क
টগল চুইচ,टॉगल स्विच
টোকেন বাছ নেটৱাৰ্ক,टोकन बस नेटवर्क
টোকেন নেটৱাৰ্ক,टोकन नेटवर्क
গ্ৰহণযোগ্য পৰিৱৰ্তন,स्वीकार्य बदल
কণ্ঠ বিস্ফোৰণ জেনেৰেটৰ,व्होकल ब्लास्ट जनरेटर
toroid,toroid
torus এন্টেনা,टॉरस अँटेना
সম্পূৰ্ণ হাৰমনিক বিকৃতি,संपूर्ण हार्मोनिक विकृती
টটেম খুঁটা,टोटेम पोल
টটেম-মেৰু ট্ৰেঞ্জিষ্টৰ,टोटेम-पोल ट्रान्झिस्टर
টাচ চুইচ,स्पर्श स्विच
স্পৰ্শযোগ্য কণ্ঠস্বৰ,स्पर्शिक स्वरीकरण
টি-পেড,टी-पॅड
ট্ৰেবল,तिप्पट
"ট্ৰেচিং, ট্ৰেচিং","ट्रेसिंग, ट्रेसिंग"
"ট্ৰেক বল, ট্ৰেক বল","ट्रॅक बॉल, ट्रॅक बॉल"
অনুবৰ্তী,अनुपालन
ট্ৰেকিং আৰু নিয়ন্ত্ৰণ বৰ্তনী,ट्रॅकिंग आणि कंट्रोल सर्किट
"বেক কোৰ, ট্ৰেইলিং কোৰ","मागील कोर, अनुगामी कोर"
প্ৰশিক্ষক,प्रशिक्षक
অনুবৰ্তী,अनुपालन
পাৰস্পৰিকতা,परस्पर
আন্তঃপৰিবাহীতা,इंटरकंडक्टिव्हिटी
ট্ৰেন্সডুচাৰ,ट्रान्सड्यूसर
স্থানান্তৰ বৈশিষ্ট্যসমূহ,हस्तांतरण वैशिष्ट्ये
স্থানান্তৰ কাৰ্য্য,हस्तांतरण कार्य
ট্ৰেন্সফাৰ লাভ,नफा हस्तांतरित करा
ৰূপান্তৰ,रूपांतरण
"ট্ৰেন্সফৰ্মাৰ, ট্ৰেন্সফৰ্মাৰ","ट्रान्सफॉर्मर, ट्रान्सफॉर्मर"
ট্ৰেন্সফৰ্মাৰ সংযুক্ত এম্প্লিফায়াৰ,ट्रान्सफॉर्मर जोडलेले अॅम्प्लिफायर
ট্ৰেন্সফৰ্মাৰ কাপলিং,ट्रान्सफॉर्मर कपलिंग
পৰিৱৰ্তনশীল কাৰ্যক্ষমতা,परिवर्तनीय कार्यक्षमता
ক্ষণিক,क्षणिक
ক্ষণিক উলংঘা,क्षणिक उल्लंघन
ক্ষণিক সঁহাৰি,क्षणिक प्रतिसाद
ক্ষণস্থায়ী ৰিটাৰ্ডাৰ,क्षणिक मंद
ট্ৰেঞ্জিষ্টৰ ব্লক,ट्रान्झिस्टर ब्लॉक
ট্ৰেঞ্জিষ্টৰ কাৰেণ্ট লাভ,ट्रान्झिस्टर चालू लाभ
ট্ৰেঞ্জিষ্টৰ চুইচ,ट्रान्झिस्टर स्विच
ট্ৰেঞ্জিষ্টৰ,ट्रान्झिस्टर
ট্ৰেঞ্জিষ্টৰৰ শব্দ,ट्रान्झिस्टरचा आवाज
ট্ৰেঞ্জিষ্টৰ নিয়ন্ত্ৰক,ट्रान्झिस्टर नियामक
প্ৰস্থানৰ সময়,प्रस्थानाची वेळ
ট্ৰেঞ্জিচন কেপাচিটৰ,संक्रमण कॅपेसिटर
ট্ৰেঞ্জিচন ফেক্টৰ,संक्रमण घटक
ট্ৰেঞ্জিচন ফ্ৰিকুৱেন্সি,संक्रमण वारंवारता
ট্ৰেঞ্জিচন জ&#39;ন,संक्रमण क्षेत्र
স্থানান্তৰ বাফাৰ,हस्तांतरण बफर
সংক্ৰমণ ক্ষতি,ट्रान्समिशन नुकसान
পাৰ্যমান্যতা,पारगम्यता
"কনচাইনাৰ, কনচাইনাৰ","पाठवणारा, पाठवणारा"
ফ্ৰিকুৱেন্সি ট্ৰেন্সমিটাৰ,वारंवारता ट्रान्समीटर
স্বচ্ছ লেচ,पारदर्शक कुंडी
ট্ৰেন্সপণ্ডাৰ,ट्रान्सपॉन्डर
পৰিবহণ বহুগুণক,वाहतूक गुणक
স্পষ্ট কাৰণ,स्पष्ट कारण
ক্ৰছ ৰেজিষ্টেন্স,क्रॉस प्रतिकार
অনুপ্ৰস্থ তৰংগ,आडवा लहर
ট্ৰেন্সউইচ,ट्रान्सविच
জাল,नेट
ট্ৰেপেজ&#39;ইডাল তৰংগ,ट्रॅपेझॉइडल लाट
প্ৰগতিশীল তৰংগ নলী,प्रगतीशील लहरी ट्यूब
খাঁজ পৃথকীকৰণ,चर वेगळे करणे
triac,triac
ত্ৰিকোণীয় বৰ্গ তৰংগ ৰূপান্তৰক,त्रिकोणी स्क्वेअर वेव्ह कनवर्टर
ত্ৰিকোণীয়-চাইন তৰংগ ৰূপান্তৰক,त्रिकोणी-साइन वेव्ह कनवर्टर
ত্ৰিকোণীয় তৰংগ উৎপাদক,त्रिकोणी लहर जनरेटर
ট্ৰিগাৰ,ट्रिगर
ট্ৰিগাৰ ডাইঅ&#39;ড,ट्रिगर डायोड
ট্ৰিগাৰ পালছ,ट्रिगर नाडी
ট্ৰেঞ্জিষ্টৰ,ट्रान्झिस्टर
"সূক্ষ্ম সামঞ্জস্য, ট্ৰিম","सूक्ष्म समायोजन, ट्रिम"
মাইক্ৰ&#39; এডজাষ্টাৰ,सूक्ष्म समायोजक
ট্ৰাইঅ&#39;ড,triode
বিভক্ত ৰাশিফল,विभाजन पत्रिका
ট্ৰিপল প্ৰিচিচন নম্বৰ,तिहेरी अचूक संख्या
তিনিটা পৰ্যায়ৰ বাফাৰ,तीन स्टेज बफर
ট্ৰাইড লজিক,त्रिकूट तर्क
ট্ৰ&#39;ক&#39;ট্ৰন,ट्रोकोट्रॉन
বিক্ষিপ্ততা বিক্ষিপ্ত লিংক,गोंधळ विखुरलेला दुवा
ট্ৰপ&#39;স্ফিয়াৰ,ट्रोपोस्फियर
সমস্যা সমাধানকাৰী,समस्यानिवारक
ৰিয়েল পাৱাৰ কনভাৰ্টাৰ,वास्तविक शक्ती कनवर्टर
সঁচা বৰ্গ-গড় মূল ভল্টমিটাৰ,खरे वर्ग-मीन रूट व्होल्टमीटर
সত্য টেবুল,सत्य सारणी
টি-অৱস্থা,टी-राज्य
টিটিএল,TTL
টিউব্যুলাৰ কেপাচিটৰ,ट्यूबलर कॅपेसिटर
টিউন কৰা এম্প্লিফায়াৰ,ट्यून केलेले अॅम्प्लीफायर
টিউন কৰা সংগ্ৰাহক দোলক,ट्यून केलेले कलेक्टर ऑसिलेटर
টিউন কৰা ড্ৰেইন দোলক,ट्यून केलेला ड्रेन ऑसिलेटर
কণ্ঠৰ মূল,व्होकल कोर
টিউনিং নেটৱৰ্ক,ट्यूनिंग नेटवर्क
কণ্ঠৰ তন্ত্ৰ,व्होकल कॉर्ड
"টানেল ডাইঅ&#39;ড, টানেল ডাইঅ&#39;ড","टनेल डायोड, टनेल डायोड"
"টানেলিং ইফেক্ট, টানেলিং ইফেক্ট","टनेलिंग इफेक्ट, टनेलिंग इफेक्ट"
টাৰ্বাইন ফ্ল&#39;মিটাৰ,टर्बाइन फ्लोमीटर
ট্ৰেঞ্জিচন পিৰিয়ড,संक्रमण कालावधी
অন্তৰ্নিহিত সময়,निवास वेळ
আৰম্ভণিৰ সময়,सुरवातीची वेळ
টাৰ্ণষ্টাইল এন্টেনা টুইটাৰ,टर्नस्टाइल अँटेना ट्वीटर
টুইটাৰত,twitter
যমল আগৰক,यमल आगरक
টুইন-টি নটচ ফিল্টাৰ,ट्विन-टी नॉच फिल्टर
yaml চাহ দোলক,yaml चहा oscillator
টুইষ্টেড পেয়াৰ,वळलेली जोडी
টুইষ্টেড ৰিং কাউণ্টাৰ,ट्विस्टेड रिंग काउंटर
টুইষ্টেড-নেমেটিক লিকুইড,twisted-nematic द्रव
দ্বিমুখী নেটৱৰ্ক,द्वि-मार्ग नेटवर्क
টুইষ্ট্ৰন,ट्विस्ट्रॉन
"উ-আৰ্ট, উ-ছাৰ্ট","u-art, u-sart"
আল্ট্ৰাছ&#39;নিক ফল্ট ডিটেক্টৰ,अल्ट्रासोनिक फॉल्ट डिटेक्टर
আল্ট্ৰাছ&#39;নিক ফ্ৰিকুৱেন্সি,प्रचंड कंपनसंख्या असलेल्या (ध्वनिलहरी) वारंवारता
অতিবেঙুনীয়া পোহৰৰ উৎস/লেম্প,अल्ट्राव्हायोलेट प्रकाश स्रोत/दिवा
UV বিকিৰণ,अतिनील विकिरण
ইউমেটিক,युमॅटिक
ভাৰসাম্যহীন বোজা (bulge),असंतुलित भार (फुगवटा)
অবিৰত ষ্ট্ৰেইন গেজ,अविरत स्ट्रेन गेज
নিঃচৰ্ত বাউন্স,बिनशर्त उसळी
undamped দোলন,undamped oscillation
ইনব্ৰেডিং,प्रजनन
বশ কৰা,वश
কম ডেম্প কৰা দোলন,कमी ओलसर दोलन
পানীৰ তলৰ কেমেৰা,पाण्याखालील कॅमेरा
আন্তঃভূমি নেটৱৰ্ক,आंतर जमीन नेटवर्क
অবাধ্য,अपवर्तक
পানীৰ তলৰ মাইক্ৰ&#39;ফোন (ভইচ ক্লায়েণ্ট),पाण्याखालील मायक्रोफोन (व्हॉइस क्लायंट)
একপক্ষীয় অধিগ্ৰহণ,एकतर्फी संपादन
একক এন্টেনা,सिंगल अँटेना
ঘৰুৱা পঞ্জীয়ন,घरगुती रजिस्टर
এটা জংচন ট্ৰেঞ্জিষ্টৰ,जंक्शन ट्रान्झिस्टर
একপক্ষীয়কৰণ,एकतर्फीकरण
ইউনিপোলাৰ ডিভাইচ,एकध्रुवीय उपकरण
একক পৰিশিষ্ট,एकल परिशिष्ट
একক নিৰ্বাচক (Tel),सिंगल सिलेक्टर (Tel)
ইউনিট থ্ৰাষ্ট/ইম্পলছ,युनिट थ्रस्ट/आवेग
তথ্য একক,माहिती युनिट
ইউনিট ষ্টেপ,युनिट पायरी
একক ভাইব্ৰেটৰ,एकल व्हायब्रेटर
ইউনিট গেইন এম্প্লিফায়াৰ,युनिट गेन एम्पलीफायर
ইউনিট গেইন বেণ্ড সম্প্ৰসাৰণ,युनिट गेन बँड विस्तार
ইউনিট শক্তি কাৰক,युनिट पॉवर फॅक्टर
ইউনিভাৰ্চেল ফিল্টাৰ,सार्वत्रिक फिल्टर
ইউনিভাৰ্চেল গেট,सार्वत्रिक गेट
উভচৰ মটৰ,उभयचर मोटर
"ইউনিভাৰ্চেল শ্বাণ্ট, পাৰ্শ্বীয় পথ","सार्वत्रिक शंट, पार्श्व मार्ग"
ইউনিভাৰ্চেল ট্ৰাংক চাৰ্কিট,युनिव्हर्सल ट्रंक सर्किट
ইউনিভাৰ্চেল কইলিং,सार्वत्रिक कॉइलिंग
অনিয়মিত শক্তি যোগান,अनियमित वीज पुरवठा
অৰক্ষাহীন কেবল,असुरक्षित केबल
ৰক্ষাহীন তাঁৰ,असुरक्षित वायर
অটুইষ্টেড ট্ৰেন্সফৰ্মাৰ,न वळलेला ट्रान्सफॉर्मर
উলম্ব ৰূপান্তৰক,अनुलंब कनवर्टर
আপডাউন কেলকুলেটৰ,अपडाउन कॅल्क्युलेटर
"আপলিংক, আপলিংক","अपलिंक, अपलिंक"
ওভাৰহেড ফ্ৰিকুৱেন্সি,ओव्हरहेड वारंवारता
উচ্চ প্লেবেক কম্পাঙ্ক,उच्च प्लेबॅक वारंवारता
ওভাৰহেড ট্ৰিপ পইণ্ট,ओव्हरहेड ट्रिप पॉइंट
প্ৰয়োগৰ কাৰক,अनुप्रयोग घटक
ভি-চেনেল চুইচিং,व्ही-चॅनल स्विचिंग
ভি-মডুলেটৰ,व्ही-मॉड्युलेटर
V-F (ভোল্টেজ/ফ্ৰিকুৱেন্সি কনভাৰ্টাৰ),V-F (व्होल्टेज/फ्रिक्वेंसी कनव्हर्टर)
ভেকুৱাম তাপ সংযোগস্থল,व्हॅक्यूम उष्णता जंक्शन
ভেকুৱাম বাউণ্ড ইলেক্ট্ৰষ্টেটিক ভল্টমিটাৰ,व्हॅक्यूम बाउंड इलेक्ट्रोस्टॅटिक व्होल्टमीटर
ভেকুৱাম গেজ,व्हॅक्यूम गेज
ভেকুৱাম নলী,व्हॅक्यूम रबरी नळी
ভেকুৱাম টিউব বৰ্তনী,व्हॅक्यूम ट्यूब सर्किट
ভেকুৱাম টিউব ভল্টমিটাৰ (VTVM),व्हॅक्यूम ट्यूब व्होल्टमीटर (VTVM)
ভেলেন্স বেণ্ড,व्हॅलेन्स बँड
ভ্যালেন্স ইলেক্ট্ৰন,व्हॅलेन्स इलेक्ट्रॉन
ড্ৰপ-অফ পইণ্ট,ड्रॉप-ऑफ पॉइंट
ভালভ সংশোধক,झडप सुधारक
বাষ্প পৰ্যায়ৰ দ্রাৱক,वाफ फेज सॉल्व्हेंट
ভেক্টৰ ডাইঅ&#39;ড,वेक्टर डायोड
ভেক্টৰ ডাইঅ&#39;ড মডুলেটৰ,वेक्टर डायोड मॉड्युलेटर
চৰিত্ৰ টিউনাৰ,वर्ण ट्यूनर
ভেৰিয়েবল কেপাচিটৰ,व्हेरिएबल कॅपेसिटर
ভেৰিয়েবল ইণ্ডুচাৰ,परिवर्तनीय प्रेरणक
ভেৰিয়েবল মডুলাছ বিভাজক,व्हेरिएबल मॉड्यूलस विभाजक
ভেৰিয়েবল বেকলাইট,व्हेरिएबल बॅकलाइट
ভেৰিয়েবল ৰিয়েক্টেন্স,परिवर्तनीय प्रतिक्रिया
ভেৰিয়েবল ৰেজিষ্টেন্স,परिवर्तनीय प्रतिकार
"ভেৰিয়েবল ট্ৰেন্সফৰ্মাৰ, ভেৰিয়েবল ট্ৰেন্সফৰ্মাৰ","व्हेरिएबल ट्रान्सफॉर्मर, व्हेरिएबल ट्रान्सफॉर्मर"
variac,variac
ভেৰিকাপ,varicap
varistor,varistor
warley লুপ পৰীক্ষা,वारली लूप चाचणी
ভেৰ&#39;মিটাৰ (বিক্ৰিয়া পটেনচ&#39;মিটাৰ),व्हॅरोमीटर (प्रतिक्रिया पोटेंशियोमीटर)
মোম,मेण
VBE বহুগুণক,VBE गुणक
ভিচিপি (ভিডিঅ&#39; কেছেট প্লেয়াৰ),VCP (व्हिडिओ कॅसेट प्लेअर)
ভিচিআৰ (ভিডিঅ&#39; কেছেট ৰেকৰ্ডাৰ),VCR (व्हिडिओ कॅसेट रेकॉर्डर)
v-মডুলেটৰ,v-मॉड्युलेटर
ভেক্টৰ,वेक्टर
ভেক্টৰ প্ৰদৰ্শন,वेक्टर प्रदर्शन
ভেক্টৰ গ্রাফিক্স,वेक्टर ग्राफिक्स
ভেক্টৰ ইম্পিডেন্স মিটাৰ,वेक्टर प्रतिबाधा मीटर
ভেক্টৰ নিৰ্দেশনা,वेक्टर सूचना
ভেক্টৰ নেটৱৰ্ক বিশ্লেষক,वेक्टर नेटवर्क विश्लेषक
ভেক্টৰ দৰ্শক,वेक्टर दर्शक
ভেক্টৰ ইন্টাৰপ্ৰট,वेक्टर व्यत्यय
ভেণ্ডিং মেচিন,विक्रीयंत्र
বায়ু চলাচল,वायुवीजन
vernier কেলকুলেটৰ,व्हर्नियर कॅल्क्युलेटर
ভাৰ্নিয়াৰ ইন্টাৰপলেচন,व्हर्नियर इंटरपोलेशन
vernier পটেনচিঅ&#39;মিটাৰ,व्हर्नियर पोटेंशियोमीटर
উলম্ব এন্টেনা,अनुलंब अँटेना
উলম্ব বাদ দিয়া,अनुलंब वगळणे
উজ্জ্বল ৰঙৰ বেণ্ড,चमकदार रंगीत पट्टी
উলম্ব কম্পাঙ্ক,अनुलंब वारंवारता
চৰম লাভ,अत्यंत फायदा
উলম্ব নিয়ন্ত্ৰক,अनुलंब नियंत्रक
দিগন্ত নিয়ন্ত্ৰক,होरायझन कंट्रोलर
অনুভূমিক ট্ৰেচ,क्षैतिज ट्रेस
উলম্ব ফাঁক,अनुलंब अंतर
ফৰৱাৰ্ড ইন্টাৰভেল নিৰ্দেশনা,पुढे अंतराल सूचना
উলম্ব ব্যৱধান পৰীক্ষা সংকেত,अनुलंब मध्यांतर चाचणी सिग्नल
উলম্ব মেৰুকৰণ,अनुलंब ध्रुवीकरण
উলম্ব প্ৰগ্ৰেমিং,अनुलंब प्रोग्रामिंग
উলম্ব প্ৰগ্ৰেমিং,अनुलंब प्रोग्रामिंग
উলম্ব ৰিজ&#39;লিউচন,तीक्ष्ण रिझोल्यूशन
উলম্ব ট্ৰেচ,अनुलंब ट्रेस
উলম্ব ছবিৰ চিলিণ্ডাৰ,अनुलंब चित्र सिलेंडर
দ্ৰুত স্কেনিং,जलद स्कॅनिंग
উলম্ব সমন্বয়,अनुलंब सिंक्रोनाइझेशन
উলম্ব ট্ৰেচ,अनुलंब ट्रेस
উলম্ব ট্ৰেঞ্জিষ্টৰ,अनुलंब ट्रान्झिस्टर
অনুভূমিক স্কেনিং,क्षैतिज स्कॅनिंग
অতি উচ্চ ঘনত্বৰ বিন্যাস,अल्ट्रा उच्च घनता स्वरूप
অতি উচ্চ ঘনত্বৰ শৰীৰ,खूप उच्च घनता शरीर
অতি উচ্চ কম্পাঙ্ক (VHF),खूप उच्च वारंवारता (VHF)
আল্ট্ৰা হাই স্পীড ইন্টিগ্ৰেটেড চাৰ্কিট (VHSIC),अल्ट्रा हाय स्पीड इंटिग्रेटेड सर्किट (VHSIC)
বৃহৎ সংহতি (VLSI),लार्ज इंटिग्रेशन (VLSI)
অতি কম কম্পাঙ্ক (VLF),खूप कमी वारंवारता (VLF)
অতি কম কম্পাঙ্ক সংক্ৰমণ,खूप कमी वारंवारता प्रेषण
অৱশিষ্ট কাষৰ বেণ্ড,अवशिष्ट बाजू बँड
ভিএইচডিএল,VHDL
হাৰমনি ভিএইচএফ,सुसंवाद VHF
কম্পন গেলভানোমিটাৰ (VHS),कंपन गॅल्व्हानोमीटर (VHS)
ষ্টেগাৰড গেলভানোমিটাৰ,स्तब्ध गॅल्व्हानोमीटर
ভিডিঅ&#39; adc,व्हिडिओ एडीसी
"ভিডিঅ’ এম্প্লিফায়াৰ, ভিজুৱেল এম্প্লিফায়াৰ","व्हिडिओ अॅम्प्लीफायर, व्हिज्युअल अॅम्प्लीफायर"
ভিডিঅ&#39; বৈশিষ্ট্যসমূহ,व्हिडिओ गुणवत्ता
ভিডিঅ&#39; যোগানকাৰী,व्हिडिओ पुरवठादार
ভিডিঅ&#39; বেণ্ড-উইডথ,व्हिडिओ बँड-रुंदी
"ভিডিঅ&#39; কেছেট, দৃশ্যমান কেছেট","व्हिडिओ कॅसेट, व्हिज्युअल कॅसेट"
ভিডিঅ&#39; কেছেট ৰেকৰ্ডাৰ,व्हिडिओ कॅसेट रेकॉर्डर
ভিডিঅ&#39; নিয়ন্ত্ৰক,व्हिडिओ कंट्रोलर
ভিডিঅ&#39; ডাটা টাৰ্মিনেল,व्हिडिओ डेटा टर्मिनल
ভিডিঅ&#39; ডিটেক্টৰ,व्हिडिओ डिटेक्टर
ভিডিঅ&#39; ডিস্ক,व्हिडिओ डिस्क
ভিডিঅ&#39; ডিস্ক ব্যৱস্থা,व्हिडिओ डिस्क सिस्टम
ভিডিঅ&#39; প্ৰদৰ্শন,व्हिडिओ प्रदर्शन
ভিডিঅ&#39; প্ৰদৰ্শন একক (VDU),व्हिडिओ डिस्प्ले युनिट (VDU)
ভিডিঅ&#39; ইলেক্ট্ৰনিক ষ্টেণ্ডাৰ্ড এছ&#39;চিয়েচন (VESA),व्हिडिओ इलेक्ट्रॉनिक मानक संघटना (VESA)
ভিডিঅ&#39; ফ্ৰিকুৱেন্সি,व्हिडिओ वारंवारता
ভিডিঅ&#39; গেম,व्हिडिओ गेम
ভিডিঅ&#39; গ্রাফিক অপ্টিমাইজাৰ (VGA),व्हिडिओ ग्राफिक ऑप्टिमायझर (VGA)
ভিডিঅ&#39; পাৰস্পৰিক ক্ৰিয়া সত্তা,व्हिडिओ परस्परसंवाद अस्तित्व
ভিডিঅ&#39; মেমৰি,व्हिडिओ मेमरी
ভিডিঅ&#39; পেজ,व्हिडिओ पृष्ठ
ভিডিঅ&#39; ফোন,चलचित्र दाखवण्याची सुविधा असलेले संपर्क यंत्र
ভিডিঅ&#39; প্ৰিএম্প্লিফায়াৰ,व्हिडिओ प्रीम्प्लीफायर
ভিডিঅ&#39; ৰাম,व्हिडिओ रॅम
v.ram,VRAM
ভিডিঅ&#39; টেপ,व्हिडिओ टेप
ভিডিঅ&#39; টেপ ৰেকৰ্ডিং,व्हिडिओ टेप रेकॉर्डिंग
ভিডিঅ&#39;টেপ ৰেকৰ্ড কৰা হৈছে,व्हिडिओ टेप रेकॉर्ड केला
ভিডিঅ&#39; টাৰ্মিনেল,व्हिडिओ टर्मिनल
ভিডিঅ&#39; পৰীক্ষা সংকেত,व्हिडिओ चाचणी सिग्नल
ভিডিঅ&#39; টেক্সট,व्हिडिओ मजकूर
ভিডিঅ&#39; টেক্সট ডাটা টাৰ্মিনেল,व्हिडिओ मजकूर डेटा टर्मिनल
ভিডিঅ&#39; পথ,व्हिडिओ मार्ग
ভিডিঅ&#39;কন টিউব,व्हिडिओकॉन ट्यूब
দৃশ্যমান তথ্য,व्हिज्युअल डेटा
ভিউফাইণ্ডাৰ,दृश्यदर्शक
পৰ্যবেক্ষণৰ দূৰত্ব,निरीक्षण अंतर
ভেৰিলগ,व्हेरिलॉग
ভাৰ্চুৱেল চেনেল,आभासी चॅनेल
ভাৰ্চুৱেল গ্ৰাউণ্ড কৰা,आभासी ग्राउंड
ভাৰ্চুৱেল উচ্চতা,आभासी उंची
ভাৰ্চুৱেল মেমৰি,आभासी स्मृती
ভাৰ্চুৱেল মেমৰি চিস্টেম,आभासी मेमरी प्रणाली
দৃশ্যমান পোহৰৰ বৰ্ণালী,दृश्यमान प्रकाश स्पेक्ट्रम
দৃশ্যৰ শিৰোনাম,दृश्य शीर्षक
ভিএমই,VME
v-মছ,v-मॉस
V-MOSFET,V-MOSFET
ভয়েচ মেছেজ,आवाज संदेश
টোন অপাৰেটেড চুইচ,टोन ऑपरेटेड स्विच
