Tamil,Bengali
தொடர்புடைய மாதிரி,রিলেশনাল মডেল
உறவினர்,আপেক্ষিক
உறவினர் முகவரி,আপেক্ষিক ঠিকানা
ரிலே,রিলে
நம்பகத்தன்மை மாடலிங்,নির্ভরযোগ্যতা মডেলিং
நம்பகமானது,নির্ভরযোগ্য
இடமாற்றம் செய்யக்கூடிய குறியீடு,স্থানান্তরযোগ্য কোড
ரிமோட்,দূরবর্তী
தொலை புரவலன்,দূরবর্তী হোস্ট
தொலைதூர வேலை நுழைவு,দূরবর্তী কাজের এন্ট্রি
தொலை உள்நுழைவு,দূরবর্তী লগ ইন
தொலை நடைமுறை அழைப்பு (RPC),দূরবর্তী পদ্ধতি কল (RPC)
தொலை உணர்வு,রিমোট সেন্সিং
மறுபெயரிடவும்,নাম পরিবর্তন করুন
வழங்குதல்,রেন্ডারিং
ரிப்பீட்டர்,রিপিটার
பதில்,উত্তর দিন
கோரிக்கை,অনুরোধ
கருத்துகளுக்கான கோரிக்கை (RFC),মন্তব্যের জন্য অনুরোধ (RFC)
கோரிக்கை/பதில் நெறிமுறை,অনুরোধ/উত্তর প্রোটোকল
நிரலை மீண்டும் இயக்கவும்,প্রোগ্রাম পুনরায় চালান
ஆராய்ச்சி,গবেষণা
மீட்டமைப்பு சுழற்சி,চক্র পুনরায় সেট করুন
குடியிருப்பாளர்,বাসিন্দা
தீர்மானம்,রেজোলিউশন
வளங்கள்,সম্পদ
பதில் நேரம்,প্রতিক্রিয়া সময়
மறுதொடக்கம்,আবার শুরু
மீட்டமை,পুনরুদ্ধার করুন
திரும்பப் பெறு,রিট্রেস
மறு பரிமாற்றம்,রিট্রান্সমিশন
மீட்டெடுக்கவும்,পুনরুদ্ধার করুন
மீண்டும் முயற்சிக்கவும்,পুনরায় চেষ্টা করা
திரும்பு,প্রত্যাবর্তন
திரும்ப குறியீடு,রিটার্ন কোড
திரும்பும் விசை,রিটার্ন কী
மீண்டும் பயன்படுத்தக்கூடிய குறியீடு,পুনরায় ব্যবহারযোগ্য কোড
மீண்டும் எழுதக்கூடியது,পুনর্লিখনযোগ্য
RGB மானிட்டர்,আরজিবি মনিটর
ரிப்பன்,ফিতা
சரியான பிரச்சினை,সঠিক সমস্যা
ரோபோ,রোবট
ரோபாட்டிக்ஸ்,যন্ত্রমানব নির্মাণ বিদ্যা
வலுவான,বলিষ্ঠ
பங்கு,ভূমিকা
திரும்பவும்,ফিরে আসা
உருட்டவும்,রোল ইন
உருட்டவும்,রোল আউট
ரோம்,রম
வேர்,রুট
ரூட் அடைவு,রুট ডিরেক্টরি
பிழை சுற்று,ত্রুটির রাউন্ড
திசைவி,রাউটার
ரூட்டிங்,রাউটিং
RS232C இடைமுகம்,RS232C ইন্টারফেস
RSA குறியாக்கம்,RSA এনক্রিপশন
ஆர்.டி.சி,আরটিসি
ரன் நீளம் குறியாக்கம்,দৈর্ঘ্য এনকোডিং চালান
இயக்க நேரம்,রান সময়
இயக்க பிழை,রান টাইম ত্রুটি
மாதிரி,নমুনা
மாதிரி எடுத்தல்,স্যাম্পলিং
செயற்கைக்கோள்,স্যাটেলাইট
நிறைவுற்றது,স্যাচুরেটিং
சேமிக்கவும்,সংরক্ষণ
அளவீடல்,পরিমাপযোগ্যতা
அளவுகோல்,স্কেলার
ஸ்கேன் செய்கிறது,স্ক্যানিং
காட்சி,দৃশ্যকল্প
திட்டமிடுபவர்,সময়সূচী
திரை பட ப்ரொஜெக்டர்,স্ক্রিন ইমেজ প্রজেক্টর
கையால் எழுதப்பட்ட தாள்,লিপি
ஸ்கிரிப்டிங் மொழி,স্ক্রিপ্টিং ভাষা
ஸ்க்ரோலிங்,স্ক্রোলিং
SDLC (ஒத்திசைவான தரவு இணைப்பு கட்டுப்பாடு),SDLC (সিক্রোনাস ডেটা লিঙ্ক নিয়ন্ত্রণ)
தேடு,অনুসন্ধান করুন
தேடல் இயந்திரம்,খোঁজ যন্ত্র
தேடல் மரம்,অনুসন্ধান গাছ
தேடி,অনুসন্ধান করা হচ্ছে
இரண்டாம் நிலை,মাধ্যমিক
துறை,সেক্টর
பாதுகாப்பு கொள்கை,নিরাপত্তা নীতি
நேரம் தேடுங்கள்,সময় নেওয়া
பிரிவு,সেগমেন্ট
பிரிவு,সেগমেন্টেশন
தேர்வு வகை,নির্বাচন বাছাই
தன்னை உள்ளடக்கியது,স্বয়ংসম্পূর্ণ
சொற்பொருள்,শব্দার্থবিদ্যা
செமாஃபோர்,সেমাফোর
செமிகண்டக்டர்,সেমিকন্ডাক্টর
சொற்பொருள் வலை,শব্দার্থিক ওয়েব
தொடர் அணுகல் முறை,অনুক্রমিক অ্যাক্সেস পদ্ধতি
தொடர்,সিরিয়াল
சீரியலைசர்,সিরিয়ালাইজার
சேவையகம்,সার্ভার
சர்வர் செயலிழப்பு,সার্ভার ক্র্যাশ
சர்வர் உரிமம்,সার্ভার লাইসেন্স
சர்வோ பெருக்கி,সার্ভো গুণক
அமைக்கவும்,সেট
அமைக்க புள்ளி,চিহ্নিত করা
அமைக்க,সেট আপ
நிழல்,ছায়া
நிழல்,শেডিং
நிழல்,ছায়া
கோப்பு பகிர்வு,ফাইল শেয়ার করুন
பகிரப்பட்ட அணுகல்,ভাগ করা অ্যাক্সেস
பகிர்தல்,শেয়ারিং
ஷெல்,শেল
மாற்றம் பாத்திரம்,চরিত্র পরিবর্তন
குறைந்த மின்னழுத்தம்,শর্ট সার্কিট
குறுகிய அறிவுறுத்தல்,সংক্ষিপ্ত নির্দেশ
உடன்பிறப்பு,ভাইবোন
பக்க விளைவு,পার্শ্ব প্রতিক্রিয়া
அடையாளம் பிட்,সাইন বিট
சிக்னல்,সংকেত
சமிக்ஞை செயலாக்கம்,সংকেত প্রক্রিয়াজাতকরণ
சிக்னலிங்,সংকেত
சமிக்ஞை-இரைச்சல் விகிதம்,শব্দ অনুপাত থেকে সংকেত
கையெழுத்து,স্বাক্ষর
கையெழுத்து சோதனை,স্বাক্ষর পরীক্ষা
குறிப்பிடத்தக்க இலக்கம்,উল্লেখযোগ্য সংখ্যা
சிலிக்கான் சிப்,সিলিকন চিপ
எளிய அஞ்சல் பரிமாற்ற நெறிமுறை (SMTP),সাধারণ মেল ট্রান্সফার প্রোটোকল (SMTP)
சிம்ப்ளக்ஸ்,সিমপ্লেক্স
எளிய முனை,সিমপ্লেক্স নোড
உருவகப்படுத்துதல்,সিমুলেশন
சிமுலேட்டர்,সিমুলেটর
ஒரே நேரத்தில்,যুগপত
ஒரே நேரத்தில் செயலாக்கம்,যুগপত প্রক্রিয়াকরণ
சிங்கிள்டன்,সিঙ্গেলটন
தள உரிமம்,সাইটের লাইসেন্স
அளவு,আকার
அளவிடுதல்,সাইজিং
வரைதல்,স্কেচিং
தவிர்க்கவும்,এড়িয়ে যান
ஸ்கிப்பிங்,স্কিপিং
ஸ்லாஷ்,স্ল্যাশ
அடிமை கணினி,স্লেভ কম্পিউটার
நெகிழ் சாளர நெறிமுறை,স্লাইডিং উইন্ডো প্রোটোকল
நழுவும்,স্লিপ
ஸ்லாட்,স্লট
சிறிய கணினி அமைப்பு இடைமுகம் (SCSI),ছোট কম্পিউটার সিস্টেম ইন্টারফেস (SCSI)
ஸ்மார்ட் கார்டு,স্মার্ট কার্ড
நத்தை அஞ்சல்,শামুক মেইল
ஸ்னாப்ஷாட்,স্ন্যাপশট
மென்மையான கணினி,নরম কম্পিউটিং
மென்மையான நகல்,সফট কপি
மென்மையான எழுத்துரு,নরম ফন্ট
மென்பொருள்,সফটওয়্যার
மென்பொருள் பொறியியல்,সফ্টওয়্যার প্রকৌশল
மென்பொருள் உரிமம்,সফ্টওয়্যার লাইসেন্স
மென்பொருள் திருட்டு,সফটওয়্যার পাইরেসি
ஸ்பெக்ட்ரம்,বর্ণালী
சுழல்,সর্পিল
விரிதாள்,শীট ছড়িয়ে
தரநிலை,স্ট্যান্ডার্ড
நிலையான பொதுவான மார்க்அப் மொழி (SGML),স্ট্যান্ডার্ড সাধারণীকৃত মার্কআপ ভাষা (SGML)
தரப்படுத்தல்,প্রমিতকরণ
காத்திருப்பு நேரம்,Standby সময়
நட்சத்திரம் LAN,তারকা LAN
நட்சத்திர இடவியல்,তারকা টপোলজি
தொடக்க பிட்,বিট শুরু
பட்டினி,অনাহার
நிலையான நினைவகம்&#39;,স্ট্যাটিক মেমরি&#39;
நிலை சேனல்,স্ট্যাটাস চ্যানেল
படி அளவு,ধাপে আকার
நிறுத்த மற்றும் காத்திரு நெறிமுறை,থামুন এবং প্রোটোকল অপেক্ষা করুন
நிறுத்த குறியீடு,স্টপ কোড
நிறுத்த விசை,স্টপ কী
சேமிப்புத்திறன்,সঞ্চয়যোগ্যতা
சேமிக்கப்பட்ட நிரல்,সংরক্ষিত প্রোগ্রাম
சரம் தரவு,স্ট্রিং ডেটা
கட்டமைக்கப்பட்ட குறியீட்டு முறை,কাঠামোগত কোডিং
கட்டமைக்கப்பட்ட வினவல் மொழி (SQL),কাঠামোগত ক্যোয়ারী ভাষা (SQL)
நடை தாள்,শৈলী শীট
துணை அடைவு,সাব-ডিরেক্টরি
சப்நெட்,সাবনেট
துணை மரம்,সাবট্রি
சுருக்கம்,সারসংক্ষেপ
சூப்பர் கணினி,সুপার কম্পিউটার
சூப்பர் கம்ப்யூட்டிங்,সুপার কম্পিউটিং
சூப்பர் சாவி,সুপার কী
சூப்பர் பயனர்,সুপার ব্যবহারকারী
மேற்பார்வை கற்றல்,তত্ত্বাবধানে শিক্ষা
ஆதரவு சிப்,সমর্থন চিপ
சர்ஃப்,সার্ফ
உலாவல்,সার্ফিং
இடமாற்று,অদলবদল
இடமாற்றம்,অদলবদল
மாற்றிக்கொள்,অদলবদল করা
இடமாற்றம்,অদলবদল
நெட்வொர்க் மாறியது,সুইচড নেটওয়ার্ক
மாறுகிறது,সুইচিং
மாறுதல் கோட்பாடு,স্যুইচিং তত্ত্ব
குறியீட்டு நிரலாக்கம்,প্রতীকী প্রোগ্রামিং
ஒத்திசைவு,সিঙ্ক্রোনাইজেশন
சின்க்ரோனைசர்,সিঙ্ক্রোনাইজার
ஒத்திசைவானது,সিঙ্ক্রোনাস
ஒத்திசைவான டிஜிட்டல் படிநிலை (SDH),সিঙ্ক্রোনাস ডিজিটাল হায়ারার্কি (SDH)
தொடரியல் பகுப்பாய்வு,সিনট্যাক্স বিশ্লেষণ
அமைப்பு பகுப்பாய்வு,ধারা বিশ্লেষণ
கணினி பொறியியல்,সিস্টেম ইঞ্জিনিয়ারিং
கணினி ஹேக்கர்,সিস্টেম হ্যাকার
கணினி ஒருங்கிணைப்பான்,ব্যাবস্থা সংযোগকারক
கணினி பதிவு,সিস্টেম লগ
அமைப்பு முகமூடி,সিস্টেম মাস্ক
கணினி நெட்வொர்க் கட்டமைப்பு (SNA),সিস্টেম নেটওয়ার্ক আর্কিটেকচার (SNA)
கணினி நிரலாளர்,সিস্টেম প্রোগ্রামার
கணினி மறுதொடக்கம்,সিস্টেম রিস্টার্ট
கணினி பணிநிறுத்தம்,সিস্টেম শাটডাউন
அமைப்பு சோதனை,সিস্টেম পরীক্ষা
அமைப்பு பயன்பாடு,সিস্টেম ইউটিলিটি
முறையான குறியீடு,পদ্ধতিগত কোড
tab கட்டளை,ট্যাব কমান্ড
மேசை,টেবিল
மேஜை மேலே பார்க்கவும்,টেবিল দেখুন
அட்டவணை இடம்,টেবিল স্পেস
டேப்லெட்,ট্যাবলেট
அட்டவணை வரிசை,ট্যাবুলার অ্যারে
அட்டவணை செயல்பாடு,ট্যাবুলেটিং ফাংশন
குறியிடப்பட்ட கட்டிடக்கலை,ট্যাগ করা আর্কিটেকচার
குறியிடப்பட்ட படக் கோப்பு வடிவம் (TIFF),ট্যাগ করা ছবি ফাইল ফরম্যাট (TIFF)
தண்டம் அமைப்பு,ট্যান্ডাম সিস্টেম
டேப் அடர்த்தி,টেপ ঘনত্ব
நாடா முகமூடி,টেপ মাস্ক
தார் கோப்பு,tar ফাইল
பணி,টাস্ক
பணிப்பட்டி,টাস্ক বার
பணி திட்டமிடுபவர்,কাজের সূচি
TCP/IP (டிரான்ஸ்மிஷன் கண்ட்ரோல் புரோட்டோகால்/இன்டர்நெட் புரோட்டோகால்),TCP/IP (ট্রান্সমিশন কন্ট্রোল প্রোটোকল/ইন্টারনেট প্রোটোকল)
கிழித்தல் செயல்பாடு,টিয়ারডাউন অপারেশন
தொலை தொடர்பு,টেলিকম
தொலைத்தொடர்பு,টেলিযোগাযোগ
தொலைதொடர்பு,টেলিকনফারেন্স
டெலி கான்பரன்சிங்,টেলিকনফারেন্সিং
தந்தி,টেলিগ্রাফি
டெலிமெட்ரி,টেলিমেট্রি
தொலைபேசி,টেলিফোন
டெலிபோனி,টেলিফোনি
டெலி பிரிண்டர்,টেলিপ্রিন্টার
டெலிபிராசசிங்,টেলিপ্রসেসিং
தொலைக்காட்சி,টেলিভিশন
டெலக்ஸ்,টেলেক্স
டெல்நெட்,টেলনেট
வெப்ப நிலை,তাপমাত্রা
டெம்ப்ளேட்,টেমপ্লেট
பத்து இன் நிரப்பு,দশের পরিপূরক
டெரா பைட்,তেরা বাইট
தேரா தோல்விகள்,তেরা ফ্লপ
டெர்மினல் கர்சர்,টার্মিনাল কার্সার
முனைய முனை,টার্মিনাল নোড
முனைய சாளரம்,টার্মিনাল উইন্ডো
முடித்தல்,সমাপ্তি
மும்முனை,টারনারি
மும்மை செயல்பாடு,টার্নারি অপারেশন
சோதனை,পরীক্ষা
சோதனை கவரேஜ்,পরীক্ষার কভারেজ
சோதனை ஓட்டம்,পরীক্ষা চালানো
சோதனை-தரவு,টেস্ট-ডেটা
உரை,পাঠ্য
உரை பெட்டி,টেক্সট বক্স
உரை கர்சர்,পাঠ্য কার্সার
உரை திருத்தி,টেক্সট সম্পাদক
உரை கோப்பு,লেখার ফাইল
உரை முறை,পাঠ্য মোড
உரை செயலாக்கம்,পাঠ্য প্রক্রিয়াকরণ
உரையிலிருந்து பேச்சு (TTS),টেক্সট টু স্পিচ (TTS)
அமைப்பு மேப்பிங்,টেক্সচার ম্যাপিং
டி-ஃபிளிப்-ஃப்ளாப்,টি-ফ্লিপ-ফ্লপ
வெப்ப அச்சுப்பொறி,থারমাল প্রিন্টার
மெல்லிய பட நினைவகம்,পাতলা ফিল্ম মেমরি
மெல்லிய பட டிரான்சிஸ்டர்,পাতলা ফিল্ম ট্রানজিস্টর
அடித்தல்,মারধর
நூல்,থ্রেড
திரித்தல்,থ্রেডিং
மூன்று அடுக்கு நெட்வொர்க்,ত্রিস্তর নেটওয়ার্ক
உற்பத்தி,থ্রুপুট
நேரம் சிக்கலானது,সময় জটিলতা
நேரப் பிரிவு மல்டிபிளெக்சிங் (டிடிஎம்),টাইম ডিভিশন মাল্টিপ্লেক্সিং (TDM)
கால அளவு,সময় ফ্রেম
கால அளவு,সময় ফ্রেম
கால இயந்திரம்,সময় মেশিন
நேரம் முடிந்தது,সময় শেষ
நேர அளவீடு,সময় পরিমাপ
நேரத் தொடர்,সময় সিরিজ
நேரம் பகிர்வு,সময় ভাগ
நேர பகிர்வு அமைப்பு,সময় ভাগ করে নেওয়ার সিস্টেম
நேர முத்திரை,সময় স্ট্যাম্প
நேர வரைபடம்,টাইমিং ডায়াগ্রাম
சாயல்,আভা
நிலைமாற்று,টগল
மாறுதல் வேகம்,টগল করার গতি
டோக்கன்,টোকেন
டோக்கன் பஸ்,টোকেন বাস
டோக்கன் பஸ்,টোকেন বাস
டோக்கன் பஸ் நெட்வொர்க்,টোকেন বাস নেটওয়ার্ক
டோக்கன் வளையம்,টোকেন রিং
அடையாளப் பேச்சு,টোকেন কথা
கருவி,টুল
மேலிருந்து கீழ்,আপাদোমোস্তোক
மேல் கீழ் வடிவமைப்பு,টপ ডাউন ডিজাইন
மேல் கீழே பாகுபடுத்துதல்,টপ ডাউন পার্সিং
கட்டமைப்பியல்,টপোলজি
டச் பேட்,স্পর্শ প্যাড
தொடு திரை,স্পর্শ পর্দা
சுவடு,ট্রেস
தடமறிதல்,ট্রেসিং
தடம்,ট্র্যাক
தட வட்டு,ট্র্যাক ডিস্ক
டிராக் டேப்,ট্র্যাক টেপ
கண்காணிப்பு,ট্র্যাকিং
டிரெய்லர்,লতা
பாதை,গতিপথ
பரிவர்த்தனை,লেনদেন
பரிவர்த்தனை கோப்பு,লেনদেন ফাইল
பரிவர்த்தனை பதிவு,লেনদেনের লগ
படியெடுக்கவும்,প্রতিলিপি
மின்மாற்றி,ট্রান্সডুসার
பரிமாற்ற விகிதம்,স্থানান্তর হার
பரிமாற்ற நேரம்,স্থানান্তর সময়
உருமாற்றம்,রূপান্তর
நிலையற்ற பிழை,ক্ষণস্থায়ী ত্রুটি
பயண நேரம்,ট্রানজিট সময়
மாற்றம்,উত্তরণ
இடைநிலை,ট্রানজিটিভ
டிரான்சிட்டிவிட்டி,ট্রানজিটিভিটি
மொழிபெயர்ப்பு,অনুবাদ
பரவும் முறை,সংক্রমণ
பரிமாற்ற கட்டுப்பாட்டு நெறிமுறை (TCP),ট্রান্সমিশন কন্ট্রোল প্রোটোকল (TCP)
ஒலிபரப்பு வரி,পরিচলন রেখা
டிரான்ஸ்மிட்டர்,ট্রান্সমিটার
வெளிப்படைத்தன்மை,স্বচ্ছতা
டிரான்ஸ்பாண்டர்,ট্রান্সপন্ডার
போக்குவரத்து,পরিবহন
இடமாற்றம்,স্থানান্তর
டிரான்ஸ்பியூட்டர்,ট্রান্সপুটার
பரிமாற்றி,ট্রান্সরিভার
பொறி,ফাঁদে ফেলা
தொடரவேண்டும்,ট্রাভার্স
மரம் (கடந்து செல்லும்),গাছ (ট্রাভার্সাল)
மரம் நெட்வொர்க்,গাছ নেটওয়ার্ক
கிளை சுற்று,উপনদী সার্কিট
அற்ப வரைபடம்,তুচ্ছ গ্রাফ
பிரச்சனை படப்பிடிப்பு,সমস্যা অঙ্কুর
துண்டிக்கவும்,ছাঁটা
உண்மை அட்டவணை,সঠিক তালিকা
ட்யூனர்,টিউনার
சுரங்கப்பாதை,টানেলিং
ட்யூனிங்,টানিং
டூபிள்,টুপল
டர்போ பாஸ்கல்,টার্বো প্যাসকেল
டூரிங் இயந்திரம்,টিউরিং মেশিন
நேரம் திரும்பவும்,সময় ঘুরিয়ে দিন
ஆவணத்தைத் திருப்புங்கள்,নথি ঘুরিয়ে দিন
திருப்பு வரிசை,পরিবর্তনের ক্রম
இரட்டை கேபிள்,টুইন তারের
முறுக்கப்பட்ட ஜோடி,পাকানো জোড়া
இரண்டு பகுதி அசெம்பிளர்,দুই অংশ সংযোজনকারী
இரண்டின் நிரப்பு,দুই এর পরিপূরক
வகை,টাইপ
வகை முகம்,টাইপ মুখ
வகை தலை,মাথা টাইপ করুন
வகை சக்கரம்,টাইপ চাকা
தட்டச்சு,টাইপিং
தடையில்லா ஆற்றல் மூலங்கள் (யுபிஎஸ்),আন ইন্টারপ্টেবল পাওয়ার সোর্স (ইউপিএস)
unary செயல்பாடு,unary অপারেশন
unary செயல்பாடு,unary অপারেশন
unary ஆபரேட்டர்,unary অপারেটর
நிச்சயமற்ற தன்மை,অনিশ্চয়তা
நிபந்தனையற்ற அறிக்கை,শর্তহীন বিবৃতি
கணக்கிட முடியாதது,অগণিত
வெளிக்கொணரும்,উন্মোচন
தீர்மானிக்க முடியாதது,সিদ্ধান্তহীন
வரையறுக்கப்படாத,অনির্ধারিত
வரையறுக்கப்படாத பதிவு,অনির্ধারিত রেকর্ড
நீக்குதல்,মুছে ফেলুন
அடிக்கோடிட்டு,আন্ডারস্কোর
திசைதிருப்பப்படவில்லை,অনির্দেশিত
திசைதிருப்பப்படாத வரைபடம்,অনির্দেশিত গ্রাফ
திசையற்ற சேவை நேரம்,undirectional সেবা সময়
செயல்தவிர்,পূর্বাবস্থায় ফেরান
வடிவமைக்கப்படாத வட்டு,বিন্যাসহীন ডিস্ক
யூனிகாஸ்டிங்,ইউনিকাস্টিং
யூனிகோட்,ইউনিকোড
ஒருமுகப்படுத்தப்படாத மரம்,অনির্দেশিত গাছ
சீரான ஆதார இருப்பிடம் (URL),ইউনিফর্ম রিসোর্স লোকেটার (URL)
செயலாக்கம் நீக்குகிறது,ইউনিপ্রসেসিং
தனித்துவமான,অনন্য
பாதுகாக்கப்படாத முறுக்கப்பட்ட ஜோடி (UTP),ইউনিশিল্ড টুইস্টেড পেয়ার (UTP)
அலகு,ইউনিট
அலகு முகவரி,ইউনিট ঠিকানা
அலகு இடைவெளி,একক ব্যবধান
அலகு சோதனை,অংশ পরিক্ষাকরণ
ஒற்றையாட்சி குறியீடு,একক কোড
யூனிடெர்ம்,Uniterm
உலகளாவிய ஒத்திசைவற்ற ரிசீவர்/டிரான்ஸ்மிட்டர் (UART),ইউনিভার্সাল অ্যাসিঙ্ক্রোনাস রিসিভার/ট্রান্সমিটার (UART)
உலகளாவிய ஃபிளிப் ஃப்ளாப்,সর্বজনীন ফ্লিপ ফ্লপ
உலகளாவிய தொகுப்பு,সার্বজনীন সেট
உலகளாவிய எழுத்துத் தொகுப்பு,সার্বজনীন অক্ষর সেট
யுனிக்ஸ்,ইউনিক্স
திறக்கவும்,আনলক
பாதுகாப்பற்ற களம்,অরক্ষিত ক্ষেত্র
பாதுகாப்பற்ற கோப்பு,অরক্ষিত ফাইল
அணுக முடியாதது,অগম্য
நிழலாடுதல்,ছায়ামুক্ত করা
கவசமின்றி,অরক্ষিত
தோல்வியுற்ற அழைப்பு,অসফল কল
உந்தார்,উন্টার
புதுப்பிப்பு முரண்பாடுகள்,অসঙ্গতি আপডেট করুন
புதுப்பிக்கப்பட்ட கோப்பு,আপডেট করা ফাইল
புதுப்பிக்கிறது,আপডেট করা হচ্ছে
மேம்படுத்தல்,আপগ্রেড করুন
மேம்படுத்தல்,আপগ্রেড করুন
இணைப்பு,আপলিংক
பதிவேற்றுகிறது,আপলোড হচ্ছে
மேல் நினைவக பகுதி,উপরের মেমরি এলাকা
அப்ஸ்ட்ரீம்,আপস্ট্রিম
முடிந்தநேரம்,আপটাইম
மேல்நோக்கி,ঊর্ধ্বমুখী
யூஸ்நெட்,ইউজনেট
பயனர்,ব্যবহারকারী
பயனர் முகவர்,ব্যবহারিক দূত
பயனர் அங்கீகாரம்,ব্যবহারকারী প্রমাণীকরণ
பயனர் டேட்டாகிராம் நெறிமுறை (யுடிபி),ব্যবহারকারীর ডেটাগ্রাম প্রোটোকল (UDP)
பயனர் நட்பு,ব্যবহারকারী বান্ধব
பயனர் அடையாளம்,ব্যবহারকারী সনাক্তকরণ
பயனர் அடையாளம் (UID),ব্যবহারকারীর পরিচয় (UID)
பயனர் இடைமுகம்,ব্যবহারকারী ইন্টারফেস
பயனர் பெயர்,ব্যবহারকারীর নাম
பயனர் சுயவிவரம்,ব্যবহারকারীর প্রোফাইল
பயன்பாடு,ইউটিলিটি
பயன்பாட்டு மென்பொருள்,ইউটিলিটি সফটওয়্যার
செல்லுபடியாகும்,বৈধ
சரிபார்த்தல்,বৈধতা
சரிபார்ப்பு நெறிமுறைகள்,বৈধতা প্রোটোকল
சரிபார்ப்பு சோதனை,বৈধতা পরীক্ষা
செல்லுபடியாகும் சோதனை,বৈধতা পরীক্ষা
மதிப்பு கூட்டப்பட்ட நெட்வொர்க் (VAN),মূল্য সংযোজন নেটওয়ার্ক (VAN)
மதிப்பு கூட்டப்பட்ட மறுவிற்பனையாளர் (VAR),ভ্যালু অ্যাডেড রিসেলার (VAR)
மறைந்து போகும் புள்ளி,বিলয়বিন্দু
வேப்பர்வேர்,ভাপওয়্যার
மாறி,পরিবর্তনশীল
மாறி முகவரி,পরিবর্তনশীল ঠিকানা
மாறி பிட் விகிதம்,পরিবর্তনশীল বিট হার
மாறி புல நீளம்,পরিবর্তনশীল ক্ষেত্রের দৈর্ঘ্য
மாறி நீளக் குறியீடு,পরিবর্তনশীল দৈর্ঘ্য কোড
மாறி பெயர்,পরিবর্তনশীল নাম
வேரியலே,ভেরিয়েল
திசையன்,ভেক্টর
திசையன் வரைகலை,ভেক্টর গ্রাফিক্স
வெக்டார் முன்னோடி,ভেক্টর প্রসেসিং
திசையன் குறுக்கீடுகள்,vectored interrupts
வென் வரைபடம்,ভেন ডায়াগ্রাম
சரிபார்ப்பு மற்றும் சரிபார்ப்பு (V&amp;V),যাচাইকরণ এবং বৈধতা (V&amp;V)
பதிப்பு கட்டுப்பாடு,ভর্সন নিয্ন্ত্র্ন
பதிப்பு எண்,সংস্করণ সংখ্যা
உச்சி,ভার্টেক্স
செங்குத்து செயலி,উল্লম্ব প্রসেসর
மிகப் பெரிய அளவிலான ஒருங்கிணைப்பு (VLSI),খুব বড় স্কেল ইন্টিগ্রেশন (VLSI)
மிக நீண்ட அறிவுறுத்தல் வார்த்தை (VLIW),খুব দীর্ঘ নির্দেশ শব্দ (VLIW)
வி.எச்.டி.எல்,ভিএইচডিএল
நிகழ்பதிவி,ভিডিও ক্যামেরা
வீடியோ கான்பரன்சிங்,ভিডিও কনফারেন্সিং
வீடியோ காட்சி முனையம்,ভিডিও প্রদর্শন টার্মিনাল
வீடியோ காட்சி அலகு,ভিডিও প্রদর্শন ইউনিট
வீடியோ கேம்,ভিডিও গেম
வீடியோ கிராஃபிக் அடாப்டர் (VGA),ভিডিও গ্রাফিক অ্যাডাপ্টার (ভিজিএ)
வீடியோ கிராபிக்ஸ் அடாப்டர் (VGA),ভিডিও গ্রাফিক্স অ্যাডাপ্টার (ভিজিএ)
வீடியோ சர்வர்,ভিডিও সার্ভার
காண்க,দেখুন
காட்சி துறைமுகம்,পোর্ট দেখুন
வியூபோர்ட்,ভিউপোর্ট
மெய்நிகர் சுற்று,ভার্চুয়াল সার্কিট
மெய்நிகர் செயல்பாடு,ভার্চুয়াল ফাংশন
மெய்நிகர் நினைவகம்,ভার্চুয়াল মেমরি
மெய்நிகர் தனியார் நெட்வொர்க்,ভার্চুয়াল প্রাইভেট নেটওয়ার্ক
மெய்நிகர் உண்மை,ভার্চুয়াল বাস্তবতা
மெய்நிகர் உண்மை,ভার্চুয়াল বাস্তবতা
மெய்நிகர் ரியாலிட்டி மார்க்அப் மொழி,ভার্চুয়াল বাস্তবতা মার্কআপ ভাষা
மெய்நிகர் ரியாலிட்டி மார்க்அப் மொழி (VRML),ভার্চুয়াল রিয়েলিটি মার্কআপ ভাষা (VRML)
மெய்நிகர் சேமிப்பக அணுகல் முறை,ভার্চুয়াল স্টোরেজ অ্যাক্সেস পদ্ধতি
மெய்நிகர் சேமிப்பு மேலாண்மை,ভার্চুয়াল স্টোরেজ ব্যবস্থাপনা
வைரஸ்,ভাইরাস
வைரஸ் கண்டறிதல்,ভাইরাস সনাক্তকরণ
வைரஸ் நிரல்,ভাইরাস প্রোগ্রাম
தெரிவுநிலை,দৃশ্যমানতা
பார்வை,দৃষ্টি
காட்சி அடிப்படை,ভিজ্যুয়াল বেসিক
காட்சி C++,ভিজ্যুয়াল C++
காட்சி காட்சி அலகு,চাক্ষুষ প্রদর্শন ইউনিট
விச்சுவல்,ভিচুয়াল
உண்மையான முகவரி,ভিচুয়াল ঠিকানা
காட்சி இயந்திரம் (VM),ভিচুয়াল মেশিন (ভিএম)
குரல்,ভয়েস
குரல் அஞ்சல்,ভয়েস মেইল
குரல் அஞ்சல் சேவையகம்,ভয়েস মেইল সার্ভার
குரல் அங்கீகாரம்,ভয়েস স্বীকৃতি
குரல் வலை,ভয়েস-নেট
நிலையற்ற நினைவகம்,উদ্বায়ী মেমরি
வேஃபர்,ওয়েফার
WAIS மேலாளர்,WAIS ম্যানেজার
காத்திருக்கவும்,মরার অপেক্ষা করুন
காத்திருங்கள் காயம்,ক্ষত অপেক্ষা করুন
காத்திருக்கும் குறியீடு,অপেক্ষা করা কোড
